"Candidates.Name...........BOOTH.NO"	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"87"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"89"	"80"	"29"	"17"	"0"	"198"	"2"	"2"	"5"	"2"	"10"	"3"	"268"
"90"	"81"	"154"	"4"	"2"	"185"	"2"	"5"	"2"	"0"	"42"	"5"	"401"
"91"	"82"	"441"	"16"	"2"	"15"	"1"	"3"	"0"	"1"	"0"	"5"	"484"
"92"	"83"	"131"	"116"	"8"	"28"	"7"	"9"	"8"	"11"	"20"	"52"	"390"
"93"	"84"	"378"	"134"	"13"	"106"	"6"	"12"	"5"	"11"	"11"	"20"	"696"
"94"	"85"	"279"	"11"	"2"	"94"	"1"	"2"	"2"	"0"	"2"	"1"	"394"
"95"	"86"	"283"	"18"	"7"	"214"	"5"	"7"	"4"	"1"	"2"	"9"	"550"
"96"	"87"	"519"	"13"	"1"	"139"	"8"	"16"	"1"	"2"	"5"	"29"	"733"
"97"	"88"	"255"	"5"	"3"	"79"	"3"	"4"	"1"	"0"	"1"	"4"	"355"
"98"	"89"	"149"	"6"	"5"	"276"	"7"	"11"	"1"	"0"	"5"	"8"	"468"
"99"	"90"	"325"	"14"	"9"	"198"	"11"	"6"	"5"	"3"	"6"	"7"	"584"
"100"	"91"	"365"	"117"	"10"	"132"	"5"	"4"	"8"	"5"	"2"	"13"	"661"
"101"	"92"	"296"	"91"	"7"	"91"	"5"	"11"	"1"	"7"	"8"	"8"	"525"
"102"	"93"	"281"	"152"	"9"	"97"	"9"	"21"	"3"	"8"	"13"	"30"	"623"
"103"	"94"	"56"	"115"	"8"	"384"	"14"	"11"	"12"	"5"	"16"	"16"	"637"
"104"	"95"	"275"	"291"	"9"	"111"	"4"	"12"	"4"	"9"	"7"	"8"	"730"
"105"	"96"	"34"	"29"	"2"	"222"	"9"	"5"	"18"	"2"	"0"	"11"	"332"
"106"	"97"	"195"	"167"	"10"	"118"	"4"	"2"	"5"	"6"	"4"	"4"	"515"
"107"	"98"	"53"	"17"	"4"	"373"	"7"	"1"	"0"	"0"	"1"	"6"	"462"
"108"	"99"	"43"	"47"	"3"	"400"	"6"	"2"	"1"	"4"	"2"	"0"	"508"
"109"	"100"	"292"	"8"	"4"	"298"	"14"	"10"	"5"	"5"	"5"	"15"	"656"
"110"	"101"	"260"	"8"	"4"	"183"	"1"	"6"	"5"	"4"	"2"	"19"	"492"
"111"	"102"	"76"	"18"	"0"	"388"	"7"	"1"	"1"	"1"	"0"	"1"	"493"
"112"	"103"	"49"	"13"	"4"	"435"	"2"	"2"	"1"	"0"	"1"	"2"	"509"
"113"	"104"	"405"	"72"	"8"	"52"	"7"	"7"	"1"	"1"	"5"	"11"	"569"
"114"	"105"	"339"	"29"	"6"	"183"	"6"	"24"	"7"	"6"	"8"	"28"	"636"
"115"	"106"	"64"	"6"	"2"	"368"	"8"	"10"	"7"	"6"	"2"	"6"	"479"
"116"	"107"	"189"	"33"	"6"	"246"	"5"	"5"	"7"	"1"	"2"	"2"	"496"
"117"	"108"	"135"	"19"	"5"	"254"	"3"	"7"	"6"	"1"	"1"	"11"	"442"
"118"	"109"	"274"	"285"	"19"	"76"	"5"	"8"	"5"	"6"	"8"	"10"	"696"
"119"	"110"	"127"	"315"	"11"	"98"	"9"	"11"	"12"	"13"	"34"	"50"	"680"
"120"	"111"	"221"	"4"	"6"	"189"	"6"	"9"	"6"	"3"	"0"	"5"	"449"
"121"	"112"	"253"	"176"	"12"	"182"	"111"	"17"	"5"	"3"	"12"	"4"	"775"
"122"	"113"	"105"	"119"	"8"	"295"	"30"	"14"	"5"	"3"	"6"	"7"	"592"
"123"	"114"	"234"	"55"	"4"	"35"	"2"	"2"	"3"	"1"	"0"	"4"	"340"
"124"	"115"	"287"	"45"	"6"	"152"	"20"	"5"	"8"	"3"	"6"	"6"	"538"
"125"	"116"	"484"	"17"	"10"	"237"	"19"	"10"	"5"	"5"	"11"	"36"	"834"
"126"	"117"	"124"	"91"	"8"	"279"	"15"	"11"	"12"	"9"	"15"	"13"	"577"
"127"	"118"	"422"	"65"	"7"	"53"	"4"	"7"	"1"	"7"	"8"	"9"	"583"
"128"	"119"	"387"	"71"	"5"	"200"	"10"	"6"	"8"	"2"	"3"	"18"	"710"
"129"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"130"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"132"	"120"	"520"	"10"	"3"	"9"	"1"	"3"	"1"	"3"	"4"	"19"	"573"
"133"	"121"	"161"	"8"	"7"	"147"	"11"	"15"	"6"	"1"	"6"	"15"	"377"
"134"	"122"	"182"	"103"	"6"	"88"	"7"	"6"	"2"	"3"	"4"	"2"	"403"
"135"	"123"	"240"	"13"	"1"	"160"	"4"	"5"	"2"	"1"	"1"	"2"	"429"
"136"	"124"	"228"	"49"	"6"	"351"	"17"	"8"	"7"	"6"	"10"	"28"	"710"
"137"	"125"	"371"	"23"	"2"	"118"	"7"	"6"	"3"	"3"	"1"	"8"	"542"
"138"	"126"	"250"	"12"	"1"	"107"	"3"	"11"	"3"	"1"	"5"	"13"	"406"
"139"	"127"	"481"	"42"	"2"	"247"	"10"	"14"	"2"	"5"	"2"	"12"	"817"
"140"	"128"	"357"	"88"	"7"	"73"	"6"	"4"	"7"	"5"	"5"	"5"	"557"
"141"	"129"	"200"	"98"	"8"	"198"	"13"	"5"	"4"	"5"	"4"	"11"	"546"
"142"	"130"	"183"	"31"	"1"	"122"	"7"	"6"	"8"	"8"	"5"	"23"	"394"
"143"	"131"	"127"	"11"	"3"	"241"	"14"	"9"	"7"	"3"	"9"	"18"	"442"
"144"	"132"	"191"	"19"	"2"	"168"	"2"	"4"	"2"	"2"	"4"	"9"	"403"
"145"	"133"	"330"	"21"	"6"	"261"	"10"	"9"	"1"	"0"	"2"	"5"	"645"
"146"	"134"	"92"	"73"	"4"	"31"	"5"	"3"	"0"	"11"	"17"	"17"	"253"
"147"	"135"	"183"	"175"	"15"	"134"	"11"	"14"	"6"	"8"	"20"	"32"	"598"
"148"	"136"	"318"	"57"	"15"	"239"	"7"	"19"	"11"	"6"	"7"	"29"	"708"
"149"	"137"	"322"	"44"	"3"	"50"	"1"	"1"	"1"	"0"	"1"	"0"	"423"
"150"	"138"	"445"	"155"	"4"	"64"	"4"	"11"	"6"	"2"	"2"	"8"	"701"
"151"	"139"	"257"	"63"	"5"	"93"	"6"	"3"	"2"	"2"	"8"	"2"	"441"
"152"	"140"	"244"	"59"	"4"	"65"	"1"	"3"	"1"	"4"	"2"	"8"	"391"
"153"	"141"	"220"	"115"	"5"	"27"	"0"	"3"	"2"	"2"	"1"	"0"	"375"
"154"	"142"	"253"	"32"	"6"	"217"	"8"	"7"	"5"	"2"	"2"	"8"	"540"
"155"	"143"	"374"	"104"	"8"	"119"	"5"	"6"	"2"	"3"	"2"	"2"	"625"
"156"	"144"	"118"	"145"	"7"	"307"	"16"	"5"	"0"	"2"	"2"	"2"	"604"
"157"	"145"	"97"	"6"	"1"	"150"	"1"	"1"	"3"	"0"	"2"	"5"	"266"
"158"	"146"	"86"	"2"	"2"	"142"	"0"	"3"	"0"	"1"	"0"	"0"	"236"
"159"	"147"	"159"	"2"	"2"	"125"	"6"	"6"	"2"	"1"	"0"	"11"	"314"
"160"	"148"	"130"	"1"	"2"	"100"	"1"	"3"	"1"	"1"	"0"	"3"	"242"
"161"	"149"	"230"	"52"	"4"	"241"	"16"	"10"	"3"	"1"	"7"	"21"	"585"
"162"	"150"	"209"	"80"	"10"	"56"	"1"	"7"	"6"	"6"	"11"	"27"	"413"
"163"	"151"	"280"	"86"	"6"	"209"	"8"	"4"	"6"	"10"	"10"	"7"	"626"
"164"	"152"	"153"	"106"	"3"	"49"	"4"	"5"	"2"	"3"	"7"	"3"	"335"
"165"	"153"	"321"	"71"	"8"	"322"	"14"	"11"	"10"	"4"	"7"	"20"	"788"
"166"	"154"	"330"	"170"	"14"	"139"	"13"	"15"	"7"	"10"	"19"	"18"	"735"
"167"	"155"	"144"	"202"	"20"	"315"	"6"	"5"	"8"	"6"	"8"	"1"	"715"
"168"	"156"	"306"	"166"	"9"	"110"	"11"	"10"	"9"	"8"	"10"	"23"	"662"
"169"	"157"	"345"	"27"	"5"	"126"	"6"	"4"	"4"	"1"	"2"	"4"	"524"
"170"	"158"	"280"	"222"	"6"	"73"	"3"	"7"	"2"	"2"	"7"	"4"	"606"
"171"	"159"	"420"	"35"	"2"	"129"	"7"	"7"	"0"	"6"	"0"	"18"	"624"
"172"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"173"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"175"	"160"	"314"	"13"	"3"	"196"	"2"	"9"	"0"	"2"	"1"	"1"	"541"
"176"	"161"	"352"	"52"	"2"	"177"	"2"	"7"	"2"	"8"	"3"	"11"	"616"
"177"	"162"	"218"	"95"	"2"	"325"	"9"	"6"	"1"	"5"	"3"	"4"	"668"
"178"	"163"	"332"	"175"	"7"	"54"	"1"	"5"	"3"	"5"	"10"	"16"	"608"
"179"	"164"	"257"	"112"	"8"	"32"	"2"	"10"	"4"	"7"	"13"	"9"	"454"
"180"	"165"	"458"	"7"	"1"	"199"	"8"	"5"	"4"	"2"	"0"	"11"	"695"
"181"	"166"	"231"	"16"	"4"	"407"	"13"	"1"	"3"	"1"	"3"	"14"	"693"
"182"	"167"	"10"	"1"	"5"	"561"	"9"	"2"	"10"	"2"	"0"	"3"	"603"
"183"	"168"	"318"	"10"	"4"	"219"	"3"	"7"	"5"	"1"	"6"	"10"	"583"
"184"	"169"	"30"	"4"	"2"	"591"	"17"	"7"	"3"	"4"	"3"	"19"	"680"
"185"	"170"	"216"	"63"	"2"	"161"	"6"	"8"	"2"	"3"	"1"	"2"	"464"
"186"	"171"	"273"	"90"	"5"	"109"	"3"	"6"	"5"	"5"	"6"	"12"	"514"
"187"	"172"	"27"	"14"	"2"	"529"	"3"	"2"	"0"	"2"	"0"	"1"	"580"
"188"	"173"	"144"	"23"	"4"	"321"	"8"	"9"	"6"	"13"	"6"	"16"	"550"
"189"	"174"	"67"	"4"	"5"	"426"	"15"	"7"	"8"	"5"	"5"	"23"	"565"
"190"	"175"	"329"	"6"	"4"	"285"	"12"	"9"	"6"	"4"	"12"	"32"	"699"
"191"	"176"	"396"	"33"	"7"	"287"	"14"	"12"	"12"	"7"	"4"	"25"	"797"
"192"	"177"	"359"	"45"	"9"	"202"	"19"	"14"	"17"	"11"	"8"	"21"	"705"
"193"	"178"	"364"	"11"	"3"	"266"	"15"	"13"	"9"	"0"	"1"	"29"	"711"
"194"	"179"	"328"	"47"	"3"	"335"	"7"	"9"	"3"	"2"	"6"	"24"	"764"
"195"	"180"	"237"	"6"	"3"	"396"	"7"	"10"	"2"	"2"	"3"	"11"	"677"
"196"	"181"	"386"	"3"	"4"	"183"	"8"	"4"	"4"	"2"	"0"	"1"	"595"
"197"	"182"	"390"	"37"	"10"	"342"	"7"	"13"	"3"	"4"	"3"	"4"	"813"
"198"	"183"	"716"	"24"	"7"	"96"	"5"	"12"	"1"	"2"	"1"	"10"	"874"
"199"	"184"	"181"	"4"	"4"	"108"	"7"	"4"	"1"	"2"	"1"	"8"	"320"
"200"	"185"	"128"	"39"	"3"	"156"	"6"	"16"	"5"	"2"	"11"	"15"	"381"
"201"	"186"	"4"	"0"	"0"	"427"	"1"	"0"	"2"	"0"	"1"	"1"	"436"
"202"	"186A"	"4"	"0"	"0"	"437"	"1"	"1"	"0"	"0"	"0"	"0"	"443"
"203"	"187"	"464"	"197"	"7"	"51"	"2"	"5"	"4"	"13"	"5"	"9"	"757"
"204"	"188"	"463"	"168"	"15"	"182"	"9"	"9"	"7"	"9"	"6"	"6"	"874"
"205"	"189"	"159"	"284"	"19"	"50"	"5"	"4"	"10"	"5"	"8"	"9"	"553"
"206"	"190"	"154"	"5"	"2"	"168"	"5"	"7"	"0"	"0"	"1"	"5"	"347"
"207"	"191"	"501"	"77"	"3"	"50"	"4"	"6"	"18"	"3"	"3"	"5"	"670"
"208"	"192"	"464"	"6"	"1"	"113"	"4"	"6"	"2"	"2"	"1"	"2"	"601"
"209"	"193"	"210"	"41"	"3"	"78"	"4"	"4"	"1"	"0"	"1"	"2"	"344"
"210"	"194"	"333"	"54"	"5"	"89"	"4"	"8"	"1"	"4"	"4"	"4"	"506"
"211"	"195"	"346"	"158"	"12"	"66"	"4"	"15"	"6"	"4"	"5"	"7"	"623"
"212"	"196"	"105"	"150"	"12"	"17"	"3"	"2"	"0"	"6"	"3"	"6"	"304"
"213"	"197"	"192"	"21"	"9"	"133"	"8"	"9"	"5"	"3"	"2"	"10"	"392"
"214"	"198"	"232"	"9"	"4"	"92"	"6"	"11"	"6"	"6"	"10"	"30"	"406"
"215"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"216"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"217"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"218"	"199"	"335"	"28"	"2"	"37"	"6"	"6"	"1"	"3"	"3"	"11"	"432"
"219"	"200"	"131"	"20"	"3"	"136"	"7"	"18"	"9"	"3"	"6"	"13"	"346"
"220"	"201"	"297"	"37"	"13"	"185"	"9"	"14"	"2"	"4"	"6"	"10"	"577"
"221"	"202"	"199"	"41"	"10"	"205"	"11"	"17"	"7"	"2"	"12"	"19"	"523"
"222"	"203"	"104"	"26"	"4"	"285"	"5"	"21"	"7"	"0"	"2"	"12"	"466"
"223"	"204"	"428"	"88"	"8"	"20"	"2"	"13"	"4"	"10"	"9"	"32"	"614"
"224"	"205"	"339"	"34"	"8"	"186"	"10"	"12"	"2"	"3"	"2"	"2"	"598"
"225"	"206"	"150"	"139"	"7"	"55"	"0"	"7"	"9"	"7"	"12"	"4"	"390"
"226"	"207"	"139"	"169"	"8"	"73"	"6"	"13"	"13"	"20"	"10"	"7"	"458"
"227"	"208"	"160"	"324"	"9"	"28"	"9"	"1"	"12"	"14"	"26"	"27"	"610"
"228"	"209"	"270"	"297"	"10"	"28"	"4"	"1"	"5"	"4"	"9"	"3"	"631"
"229"	"210"	"341"	"48"	"8"	"114"	"13"	"13"	"8"	"5"	"9"	"13"	"572"
"230"	"211"	"146"	"95"	"10"	"225"	"8"	"12"	"12"	"4"	"8"	"10"	"530"
"231"	"212"	"100"	"235"	"18"	"91"	"9"	"10"	"4"	"8"	"13"	"9"	"497"
"232"	"213"	"165"	"175"	"11"	"70"	"4"	"12"	"11"	"11"	"12"	"22"	"493"
"233"	"214"	"254"	"132"	"7"	"125"	"9"	"7"	"6"	"6"	"7"	"11"	"564"
"234"	"215"	"57"	"350"	"15"	"50"	"6"	"4"	"19"	"10"	"31"	"15"	"557"
"235"	"216"	"518"	"36"	"4"	"74"	"12"	"12"	"6"	"7"	"5"	"17"	"691"
"236"	"217"	"281"	"14"	"1"	"89"	"2"	"4"	"3"	"1"	"2"	"10"	"407"
"237"	"218"	"54"	"236"	"14"	"63"	"2"	"5"	"4"	"8"	"14"	"6"	"406"
"238"	"219"	"90"	"241"	"8"	"44"	"4"	"6"	"22"	"10"	"16"	"9"	"450"
"239"	"220"	"30"	"1"	"4"	"511"	"4"	"2"	"3"	"1"	"1"	"1"	"558"
"240"	"221"	"106"	"112"	"15"	"191"	"6"	"7"	"2"	"12"	"6"	"2"	"459"
"241"	"222"	"25"	"2"	"1"	"315"	"7"	"7"	"3"	"2"	"1"	"11"	"374"
"242"	"223"	"82"	"4"	"4"	"522"	"15"	"18"	"11"	"6"	"11"	"16"	"689"
"243"	"224"	"111"	"269"	"14"	"90"	"4"	"9"	"7"	"6"	"6"	"5"	"521"
"244"	"225"	"228"	"85"	"6"	"345"	"6"	"14"	"32"	"11"	"9"	"11"	"747"
"245"	"226"	"230"	"35"	"4"	"284"	"8"	"7"	"2"	"1"	"2"	"4"	"577"
"246"	"227"	"302"	"228"	"9"	"24"	"6"	"8"	"148"	"17"	"5"	"8"	"755"
"247"	"228"	"119"	"60"	"5"	"444"	"15"	"5"	"4"	"3"	"8"	"14"	"677"
"248"	"229"	"336"	"245"	"12"	"89"	"7"	"15"	"23"	"14"	"27"	"25"	"793"
"249"	"230"	"211"	"26"	"3"	"9"	"3"	"2"	"12"	"4"	"6"	"9"	"285"
"250"	"231"	"256"	"35"	"3"	"155"	"2"	"3"	"7"	"3"	"1"	"0"	"465"
"251"	"232"	"91"	"170"	"5"	"36"	"3"	"5"	"58"	"15"	"7"	"5"	"395"
"252"	"233"	"184"	"175"	"14"	"65"	"3"	"6"	"28"	"15"	"5"	"7"	"502"
