"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…81 - Alinagar Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 215245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"69"	"56"	"53"	"44"	"152"	"3"	"30"	""	"1"	"0"	"1"	"0"	"4"	"4"	"239"	""	"-"	"239"	""	""
"70"	"57"	"54"	"396"	"137"	"38"	"29"	""	"10"	"7"	"43"	"3"	"6"	"25"	"694"	""	"-"	"694"	""	""
"71"	"58"	"55"	"86"	"124"	"11"	"81"	""	"22"	"4"	"9"	"1"	"6"	"15"	"359"	""	"-"	"359"	""	""
"72"	"59"	"56"	"86"	"102"	"13"	"208"	""	"22"	"6"	"10"	"7"	"14"	"19"	"487"	""	"-"	"487"	""	""
"73"	"60"	"57"	"133"	"140"	"0"	"90"	""	"16"	"7"	"13"	"15"	"4"	"17"	"435"	""	"-"	"435"	""	""
"74"	"61"	"58"	"137"	"188"	"45"	"85"	""	"18"	"5"	"72"	"2"	"3"	"10"	"565"	""	"-"	"565"	""	""
"75"	"62"	"59"	"227"	"78"	"5"	"50"	""	"33"	"4"	"104"	"10"	"4"	"18"	"533"	""	"-"	"533"	""	""
"76"	"63"	"60"	"116"	"68"	"2"	"26"	""	"96"	"16"	"89"	"3"	"3"	"12"	"431"	""	"-"	"431"	""	""
"77"	"64"	"61"	"161"	"33"	"4"	"19"	""	"12"	"3"	"219"	"4"	"2"	"2"	"459"	""	"-"	"459"	""	""
"78"	"65"	"62"	"259"	"93"	"60"	"9"	""	"19"	"9"	"72"	"3"	"5"	"19"	"548"	""	"-"	"548"	""	""
"79"	"66"	"63"	"120"	"264"	"41"	"15"	""	"16"	"9"	"146"	"9"	"12"	"32"	"664"	""	"-"	"664"	""	""
"80"	"67"	"64"	"394"	"21"	"1"	"5"	""	"1"	"0"	"0"	"1"	"3"	"5"	"431"	""	"-"	"431"	""	""
"81"	"68"	"65"	"81"	"150"	"54"	"80"	""	"65"	"9"	"135"	"16"	"13"	"28"	"631"	""	"-"	"631"	""	""
"82"	"69"	"66"	"239"	"25"	"5"	"87"	""	"8"	"0"	"0"	"1"	"2"	"4"	"371"	""	"-"	"371"	""	""
"83"	"70"	"67"	"12"	"106"	"3"	"53"	""	"21"	"6"	"16"	"10"	"2"	"7"	"236"	""	"-"	"236"	""	""
"84"	"71"	"68"	"259"	"26"	"2"	"24"	""	"5"	"1"	"5"	"1"	"2"	"12"	"337"	""	"-"	"337"	""	""
"85"	"72"	"69"	"101"	"70"	"8"	"20"	""	"25"	"15"	"208"	"13"	"12"	"32"	"504"	""	"-"	"504"	""	""
"86"	"73"	"70"	"471"	"25"	"2"	"30"	""	"6"	"3"	"5"	"3"	"4"	"9"	"558"	""	"-"	"558"	""	""
"87"	"74"	"71"	"357"	"88"	"5"	"42"	""	"6"	"1"	"6"	"5"	"1"	"11"	"522"	""	"-"	"522"	""	""
"88"	"75"	"72"	"371"	"167"	"10"	"29"	""	"12"	"8"	"9"	"9"	"16"	"26"	"657"	""	"-"	"657"	""	""
"89"	"76"	"73"	"288"	"168"	"8"	"26"	""	"12"	"1"	"13"	"4"	"10"	"63"	"593"	""	"-"	"593"	""	""
"90"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"91"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"93"	"77"	"74"	"116"	"17"	"1"	"6"	""	"6"	"2"	"83"	"5"	"3"	"3"	"242"	""	"-"	"242"	""	""
"94"	"78"	"75"	"357"	"25"	"15"	"52"	""	"10"	"1"	"3"	"6"	"6"	"25"	"500"	""	"-"	"500"	""	""
"95"	"79"	"76"	"655"	"52"	"38"	"22"	""	"32"	"0"	"1"	"0"	"1"	"4"	"805"	""	"-"	"805"	""	""
"96"	"80"	"77"	"25"	"190"	"9"	"64"	""	"50"	"2"	"2"	"2"	"2"	"7"	"353"	""	"-"	"353"	""	""
"97"	"81"	"78"	"153"	"228"	"27"	"17"	""	"11"	"2"	"23"	"2"	"11"	"12"	"486"	""	"-"	"486"	""	""
"98"	"82"	"79"	"342"	"75"	"28"	"17"	""	"59"	"12"	"150"	"10"	"10"	"21"	"724"	""	"-"	"724"	""	""
"99"	"83"	"80"	"36"	"114"	"4"	"48"	""	"151"	"3"	"4"	"1"	"1"	"5"	"367"	""	"-"	"367"	""	""
"100"	"84"	"80A"	"34"	"38"	"2"	"17"	""	"241"	"9"	"2"	"2"	"4"	"11"	"360"	""	"-"	"360"	""	""
"101"	"85"	"81"	"162"	"188"	"9"	"28"	""	"8"	"7"	"101"	"5"	"4"	"12"	"524"	""	"-"	"524"	""	""
"102"	"86"	"81A"	"124"	"173"	"12"	"39"	""	"10"	"3"	"65"	"4"	"2"	"15"	"447"	""	"-"	"447"	""	""
"103"	"87"	"82"	"141"	"269"	"47"	"55"	""	"14"	"1"	"8"	"4"	"12"	"17"	"568"	""	"-"	"568"	""	""
"104"	"88"	"83"	"97"	"121"	"12"	"66"	""	"9"	"4"	"6"	"2"	"3"	"3"	"323"	""	"-"	"323"	""	""
"105"	"89"	"84"	"135"	"162"	"3"	"52"	""	"21"	"0"	"9"	"3"	"3"	"8"	"396"	""	"-"	"396"	""	""
"106"	"90"	"85"	"142"	"168"	"11"	"48"	""	"11"	"0"	"4"	"1"	"1"	"11"	"397"	""	"-"	"397"	""	""
"107"	"91"	"86"	"51"	"134"	"9"	"78"	""	"16"	"0"	"13"	"5"	"3"	"4"	"313"	""	"-"	"313"	""	""
"108"	"92"	"87"	"157"	"123"	"8"	"35"	""	"52"	"5"	"48"	"3"	"1"	"9"	"441"	""	"-"	"441"	""	""
"109"	"93"	"88"	"202"	"116"	"31"	"25"	""	"25"	"4"	"103"	"8"	"7"	"10"	"531"	""	"-"	"531"	""	""
"110"	"94"	"88A"	"234"	"31"	"5"	"17"	""	"16"	"3"	"43"	"2"	"2"	"6"	"359"	""	"-"	"359"	""	""
"111"	"95"	"89"	"26"	"308"	"8"	"21"	""	"14"	"4"	"5"	"3"	"4"	"11"	"404"	""	"-"	"404"	""	""
"112"	"96"	"90"	"84"	"156"	"7"	"34"	""	"9"	"4"	"11"	"5"	"13"	"30"	"353"	""	"-"	"353"	""	""
"113"	"97"	"91"	"36"	"182"	"30"	"34"	""	"27"	"9"	"77"	"10"	"17"	"30"	"452"	""	"-"	"452"	""	""
"114"	"98"	"92"	"69"	"252"	"61"	"89"	""	"35"	"16"	"40"	"3"	"7"	"17"	"589"	""	"-"	"589"	""	""
"115"	"99"	"93"	"194"	"38"	"24"	"28"	""	"18"	"16"	"310"	"13"	"14"	"21"	"676"	""	"-"	"676"	""	""
"116"	"100"	"94"	"48"	"157"	"97"	"21"	""	"2"	"5"	"30"	"4"	"4"	"11"	"379"	""	"-"	"379"	""	""
"117"	"101"	"94A"	"49"	"116"	"56"	"15"	""	"4"	"2"	"21"	"7"	"13"	"21"	"304"	""	"-"	"304"	""	""
"118"	"102"	"95"	"355"	"97"	"76"	"27"	""	"21"	"17"	"73"	"3"	"9"	"24"	"702"	""	"-"	"702"	""	""
"119"	"103"	"96"	"352"	"81"	"6"	"11"	""	"9"	"13"	"204"	"9"	"6"	"10"	"701"	""	"-"	"701"	""	""
"120"	"104"	"97"	"187"	"122"	"46"	"19"	""	"14"	"17"	"108"	"8"	"8"	"23"	"552"	""	"-"	"552"	""	""
"121"	"105"	"98"	"216"	"113"	"9"	"24"	""	"21"	"8"	"73"	"7"	"10"	"29"	"510"	""	"-"	"510"	""	""
"122"	"106"	"99"	"397"	"40"	"3"	"26"	""	"12"	"2"	"49"	"3"	"2"	"17"	"551"	""	"-"	"551"	""	""
"123"	"107"	"100"	"114"	"72"	"73"	"28"	""	"11"	"3"	"26"	"8"	"3"	"10"	"348"	""	"-"	"348"	""	""
"124"	"108"	"101"	"48"	"4"	"37"	"18"	""	"7"	"11"	"278"	"8"	"4"	"24"	"439"	""	"-"	"439"	""	""
"125"	"109"	"102"	"269"	"139"	"16"	"27"	""	"33"	"12"	"87"	"9"	"17"	"72"	"681"	""	"-"	"681"	""	""
"126"	"110"	"103"	"245"	"130"	"7"	"32"	""	"9"	"3"	"38"	"4"	"5"	"16"	"489"	""	"-"	"489"	""	""
"127"	"111"	"104"	"364"	"55"	"5"	"15"	""	"18"	"10"	"148"	"12"	"5"	"7"	"639"	""	"-"	"639"	""	""
"128"	"112"	"105"	"156"	"111"	"19"	"8"	""	"11"	"11"	"73"	"6"	"13"	"17"	"425"	""	"-"	"425"	""	""
"129"	"113"	"106"	"554"	"24"	"2"	"24"	""	"12"	"6"	"111"	"5"	"4"	"7"	"749"	""	"-"	"749"	""	""
"130"	"114"	"107"	"380"	"153"	"11"	"13"	""	"6"	"1"	"18"	"4"	"8"	"31"	"625"	""	"-"	"625"	""	""
"131"	"115"	"108"	"272"	"225"	"6"	"20"	""	"4"	"4"	"11"	"4"	"7"	"29"	"582"	""	"-"	"582"	""	""
"132"	"116"	"109"	"61"	"294"	"8"	"24"	""	"12"	"2"	"8"	"1"	"17"	"33"	"460"	""	"-"	"460"	""	""
"133"	"117"	"110"	"114"	"48"	"20"	"14"	""	"29"	"12"	"244"	"8"	"7"	"8"	"504"	""	"-"	"504"	""	""
"134"	"118"	"111"	"212"	"61"	"16"	"14"	""	"14"	"6"	"82"	"4"	"7"	"19"	"435"	""	"-"	"435"	""	""
"135"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"136"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"138"	"119"	"112"	"443"	"15"	"3"	"2"	""	"0"	"1"	"1"	"2"	"3"	"5"	"475"	""	"-"	"475"	""	""
"139"	"120"	"113"	"297"	"143"	"35"	"19"	""	"11"	"4"	"96"	"5"	"11"	"36"	"657"	""	"-"	"657"	""	""
"140"	"121"	"114"	"161"	"147"	"20"	"25"	""	"26"	"19"	"158"	"20"	"24"	"48"	"648"	""	"-"	"648"	""	""
"141"	"122"	"115"	"408"	"19"	"7"	"9"	""	"1"	"3"	"1"	"1"	"2"	"22"	"473"	""	"-"	"473"	""	""
"142"	"123"	"116"	"447"	"46"	"2"	"1"	""	"3"	"3"	"9"	"3"	"4"	"6"	"524"	""	"-"	"524"	""	""
"143"	"124"	"117"	"495"	"153"	"4"	"4"	""	"3"	"2"	"29"	"2"	"2"	"19"	"713"	""	"-"	"713"	""	""
"144"	"125"	"118"	"523"	"155"	"2"	"10"	""	"1"	"1"	"10"	"1"	"1"	"12"	"716"	""	"-"	"716"	""	""
"145"	"126"	"119"	"427"	"20"	"0"	"1"	""	"0"	"0"	"1"	"0"	"0"	"3"	"452"	""	"-"	"452"	""	""
"146"	"127"	"120"	"617"	"14"	"4"	"1"	""	"2"	"1"	"0"	"0"	"0"	"3"	"642"	""	"-"	"642"	""	""
"147"	"128"	"121"	"415"	"75"	"24"	"7"	""	"3"	"0"	"7"	"2"	"1"	"17"	"551"	""	"-"	"551"	""	""
"148"	"129"	"122"	"443"	"64"	"5"	"13"	""	"4"	"3"	"4"	"3"	"0"	"11"	"550"	""	"-"	"550"	""	""
"149"	"130"	"123"	"495"	"6"	"2"	"1"	""	"1"	"2"	"0"	"0"	"0"	"3"	"510"	""	"-"	"510"	""	""
"150"	"131"	"123A"	"294"	"9"	"2"	"0"	""	"0"	"0"	"0"	"0"	"2"	"3"	"310"	""	"-"	"310"	""	""
"151"	"132"	"124"	"289"	"186"	"9"	"19"	""	"35"	"6"	"65"	"8"	"1"	"8"	"626"	""	"-"	"626"	""	""
"152"	"133"	"125"	"453"	"85"	"5"	"5"	""	"8"	"2"	"30"	"6"	"4"	"24"	"622"	""	"-"	"622"	""	""
"153"	"134"	"126"	"561"	"28"	"1"	"3"	""	"2"	"0"	"2"	"0"	"2"	"8"	"607"	""	"-"	"607"	""	""
"154"	"135"	"127"	"254"	"269"	"13"	"13"	""	"20"	"6"	"15"	"6"	"8"	"17"	"621"	""	"-"	"621"	""	""
"155"	"136"	"128"	"116"	"131"	"5"	"7"	""	"5"	"0"	"5"	"4"	"8"	"17"	"298"	""	"-"	"298"	""	""
"156"	"137"	"129"	"139"	"201"	"25"	"2"	""	"5"	"2"	"12"	"1"	"13"	"13"	"413"	""	"-"	"413"	""	""
"157"	"138"	"130"	"185"	"91"	"6"	"57"	""	"16"	"4"	"6"	"1"	"8"	"42"	"416"	""	"-"	"416"	""	""
"158"	"139"	"131"	"301"	"134"	"18"	"12"	""	"20"	"15"	"129"	"16"	"19"	"35"	"699"	""	"-"	"699"	""	""
"159"	"140"	"132"	"75"	"303"	"16"	"47"	""	"10"	"4"	"14"	"23"	"17"	"24"	"533"	""	"-"	"533"	""	""
"160"	"141"	"133"	"81"	"214"	"3"	"53"	""	"53"	"5"	"18"	"208"	"6"	"17"	"658"	""	"-"	"658"	""	""
"161"	"142"	"134"	"31"	"241"	"6"	"14"	""	"18"	"8"	"86"	"23"	"7"	"10"	"444"	""	"-"	"444"	""	""
"162"	"143"	"135"	"84"	"64"	"8"	"7"	""	"17"	"14"	"142"	"15"	"6"	"16"	"373"	""	"-"	"373"	""	""
"163"	"144"	"136"	"229"	"145"	"6"	"23"	""	"13"	"11"	"34"	"35"	"13"	"29"	"538"	""	"-"	"538"	""	""
"164"	"145"	"137"	"140"	"221"	"4"	"27"	""	"9"	"3"	"38"	"5"	"10"	"19"	"476"	""	"-"	"476"	""	""
"165"	"146"	"138"	"32"	"409"	"7"	"54"	""	"28"	"6"	"9"	"2"	"13"	"16"	"576"	""	"-"	"576"	""	""
"166"	"147"	"139"	"36"	"344"	"5"	"24"	""	"7"	"2"	"3"	"1"	"6"	"18"	"446"	""	"-"	"446"	""	""
"167"	"148"	"140"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"-"	"0"	""	""
"168"	"149"	"141"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"-"	"0"	""	""
"169"	"150"	"142"	"381"	"213"	"9"	"44"	""	"11"	"7"	"43"	"16"	"12"	"36"	"772"	""	"-"	"772"	""	""
"170"	"151"	"143"	"174"	"84"	"16"	"23"	""	"12"	"11"	"93"	"5"	"4"	"13"	"435"	""	"-"	"435"	""	""
"171"	"152"	"144"	"118"	"169"	"3"	"35"	""	"6"	"7"	"138"	"8"	"12"	"14"	"510"	""	"-"	"510"	""	""
"172"	"153"	"145"	"179"	"145"	"6"	"6"	""	"15"	"8"	"127"	"6"	"10"	"20"	"522"	""	"-"	"522"	""	""
"173"	"154"	"146"	"207"	"175"	"9"	"10"	""	"17"	"16"	"125"	"7"	"17"	"49"	"632"	""	"-"	"632"	""	""
"174"	"155"	"147"	"60"	"306"	"9"	"54"	""	"9"	"7"	"25"	"5"	"15"	"25"	"515"	""	"-"	"515"	""	""
"175"	"156"	"148"	"23"	"374"	"11"	"61"	""	"13"	"3"	"25"	"6"	"12"	"12"	"540"	""	"-"	"540"	""	""
"176"	"157"	"149"	"169"	"378"	"13"	"42"	""	"19"	"4"	"54"	"6"	"5"	"31"	"721"	""	"-"	"721"	""	""
"177"	"158"	"150"	"269"	"192"	"6"	"24"	""	"7"	"1"	"5"	"3"	"9"	"28"	"544"	""	"-"	"544"	""	""
