"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"36"	"34"	"13"	"93"	"39"	"21"	"62"	"3"	"0"	"4"	"9"	"3"	"8"	"7"	"262"
"37"	"35"	"3"	"34"	"47"	"30"	"130"	"1"	"3"	"1"	"6"	"8"	"3"	"3"	"269"
"38"	"36"	"1"	"7"	"20"	"6"	"133"	"3"	"1"	"0"	"2"	"8"	"54"	"5"	"240"
"39"	"37"	"9"	"62"	"81"	"5"	"136"	"7"	"4"	"5"	"1"	"7"	"10"	"11"	"338"
"40"	"38"	"8"	"70"	"12"	"15"	"99"	"18"	"2"	"10"	"0"	"7"	"15"	"12"	"268"
"41"	"39"	"8"	"11"	"11"	"4"	"102"	"74"	"4"	"3"	"1"	"9"	"12"	"2"	"241"
"42"	"40"	"4"	"13"	"83"	"12"	"202"	"46"	"2"	"7"	"3"	"17"	"11"	"7"	"407"
"43"	"41"	"5"	"42"	"114"	"8"	"30"	"8"	"3"	"1"	"5"	"9"	"5"	"7"	"237"
"44"	"42"	"9"	"3"	"204"	"6"	"45"	"5"	"0"	"2"	"2"	"2"	"3"	"6"	"287"
"45"	"43"	"5"	"7"	"117"	"8"	"80"	"5"	"0"	"3"	"1"	"8"	"3"	"12"	"249"
"46"	"44"	"18"	"99"	"169"	"17"	"95"	"13"	"9"	"13"	"12"	"10"	"10"	"17"	"482"
"47"	"45"	"6"	"21"	"18"	"5"	"105"	"5"	"0"	"1"	"2"	"11"	"8"	"8"	"190"
"48"	"46"	"4"	"94"	"80"	"32"	"48"	"Page 81"	"of 6    3"	"10"	"13"	"11"	"12"	"12"	"327"
"49"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"51"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"52"	"47"	"12"	"69"	"225"	"12"	"18"	"3"	"3"	"3"	"7"	"5"	"11"	"8"	"376"
"53"	"48"	"5"	"17"	"16"	"10"	"215"	"3"	"1"	"2"	"2"	"4"	"0"	"5"	"280"
"54"	"49"	"3"	"12"	"18"	"7"	"194"	"7"	"1"	"7"	"3"	"5"	"6"	"10"	"273"
"55"	"50"	"7"	"122"	"191"	"57"	"91"	"1"	"2"	"4"	"3"	"1"	"9"	"5"	"493"
"56"	"51"	"26"	"129"	"102"	"64"	"78"	"4"	"1"	"2"	"4"	"5"	"1"	"11"	"427"
"57"	"52"	"10"	"47"	"167"	"35"	"112"	"11"	"6"	"2"	"5"	"9"	"5"	"11"	"420"
"58"	"53"	"17"	"21"	"64"	"14"	"101"	"7"	"2"	"4"	"9"	"6"	"8"	"17"	"270"
"59"	"54"	"10"	"19"	"158"	"36"	"122"	"6"	"3"	"11"	"15"	"2"	"5"	"17"	"404"
"60"	"55"	"7"	"5"	"291"	"13"	"30"	"7"	"7"	"9"	"14"	"12"	"8"	"18"	"421"
"61"	"56"	"26"	"28"	"312"	"10"	"32"	"9"	"3"	"15"	"9"	"15"	"13"	"14"	"486"
"62"	"57"	"5"	"21"	"302"	"11"	"139"	"4"	"3"	"1"	"8"	"6"	"12"	"4"	"516"
"63"	"58"	"12"	"21"	"316"	"23"	"124"	"17"	"4"	"7"	"12"	"6"	"9"	"44"	"595"
"64"	"59"	"6"	"6"	"184"	"9"	"47"	"7"	"2"	"2"	"16"	"5"	"8"	"22"	"314"
"65"	"60"	"7"	"11"	"368"	"27"	"56"	"13"	"14"	"5"	"21"	"9"	"14"	"25"	"570"
"66"	"61"	"11"	"20"	"270"	"11"	"38"	"5"	"2"	"0"	"6"	"6"	"2"	"7"	"378"
"67"	"62"	"22"	"17"	"142"	"55"	"125"	"12"	"9"	"15"	"15"	"14"	"18"	"35"	"479"
"68"	"63"	"7"	"102"	"75"	"101"	"94"	"3"	"1"	"1"	"3"	"3"	"5"	"16"	"411"
"69"	"64"	"8"	"22"	"150"	"27"	"97"	"9"	"1"	"5"	"14"	"9"	"7"	"13"	"362"
"70"	"65"	"1"	"1"	"31"	"6"	"96"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"146"
"71"	"66"	"7"	"44"	"171"	"28"	"40"	"4"	"0"	"1"	"7"	"5"	"0"	"3"	"310"
"72"	"67"	"9"	"19"	"181"	"52"	"48"	"6"	"3"	"3"	"9"	"7"	"3"	"5"	"345"
"73"	"68"	"4"	"5"	"263"	"4"	"98"	"6"	"5"	"2"	"9"	"8"	"7"	"12"	"423"
"74"	"69"	"8"	"7"	"211"	"11"	"131"	"4"	"1"	"1"	"4"	"8"	"4"	"8"	"398"
"75"	"70"	"3"	"12"	"146"	"14"	"117"	"3"	"1"	"0"	"6"	"9"	"3"	"8"	"322"
"76"	"71"	"3"	"10"	"234"	"10"	"48"	"4"	"0"	"1"	"5"	"4"	"10"	"3"	"332"
"77"	"72"	"0"	"3"	"56"	"3"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"77"
"78"	"73"	"4"	"8"	"314"	"6"	"78"	"7"	"4"	"4"	"3"	"10"	"7"	"7"	"452"
"79"	"74"	"16"	"7"	"248"	"14"	"59"	"7"	"4"	"4"	"7"	"9"	"7"	"7"	"389"
"80"	"75"	"12"	"8"	"180"	"10"	"33"	"12"	"5"	"7"	"14"	"20"	"11"	"31"	"343"
"81"	"76"	"9"	"35"	"96"	"15"	"16"	"5"	"4"	"1"	"11"	"2"	"2"	"23"	"219"
"82"	"77"	"7"	"14"	"145"	"16"	"44"	"12"	"3"	"6"	"13"	"17"	"18"	"28"	"323"
"83"	"78"	"10"	"8"	"31"	"55"	"144"	"19"	"3"	"10"	"5"	"9"	"23"	"26"	"343"
"84"	"79"	"9"	"3"	"16"	"16"	"140"	"5"	"1"	"3"	"4"	"5"	"5"	"5"	"212"
"85"	"80"	"45"	"25"	"101"	"24"	"218"	"11"	"6"	"10"	"11"	"10"	"24"	"17"	"502"
"86"	"81"	"21"	"9"	"75"	"8"	"193"	"7"	"7"	"10"	"10"	"13"	"27"	"23"	"403"
"87"	"82"	"24"	"9"	"89"	"6"	"138"	"7"	"5"	"12"	"9"	"18"	"20"	"23"	"360"
"88"	"83"	"8"	"3"	"18"	"1"	"148"	"11"	"3"	"4"	"14"	"18"	"23"	"9"	"260"
"89"	"84"	"11"	"2"	"59"	"14"	"183"	"11"	"7"	"10"	"11"	"18"	"26"	"14"	"366"
"90"	"85"	"14"	"15"	"89"	"22"	"156"	"18"	"10"	"10"	"14"	"21"	"58"	"11"	"438"
"91"	"86"	"0"	"1"	"66"	"31"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"
"92"	"87"	"18"	"11"	"100"	"27"	"166"	"9"	"1"	"5"	"9"	"2"	"7"	"7"	"362"
"93"	"88"	"7"	"12"	"53"	"9"	"112"	"8"	"3"	"5"	"9"	"14"	"5"	"25"	"262"
"94"	"89"	"17"	"11"	"137"	"13"	"130"	"5"	"0"	"7"	"9"	"9"	"19"	"24"	"381"
"95"	"90"	"19"	"35"	"48"	"8"	"196"	"7"	"3"	"3"	"7"	"8"	"23"	"9"	"366"
"96"	"91"	"8"	"5"	"97"	"11"	"88"	"5"	"2"	"2"	"6"	"4"	"9"	"9"	"246"
"97"	"92"	"7"	"21"	"150"	"12"	"48"	"Page 62"	"of 6    1"	"0"	"2"	"5"	"12"	"4"	"268"
"98"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"101"	"93"	"43"	"29"	"143"	"9"	"193"	"6"	"4"	"4"	"8"	"9"	"6"	"8"	"462"
"102"	"94"	"21"	"12"	"140"	"51"	"89"	"18"	"6"	"13"	"18"	"12"	"17"	"41"	"438"
"103"	"95"	"6"	"17"	"279"	"11"	"35"	"6"	"2"	"2"	"12"	"5"	"6"	"4"	"385"
"104"	"96"	"15"	"17"	"37"	"12"	"68"	"2"	"3"	"2"	"4"	"1"	"5"	"4"	"170"
"105"	"97"	"7"	"72"	"104"	"113"	"95"	"12"	"11"	"9"	"16"	"19"	"13"	"22"	"493"
"106"	"98"	"25"	"27"	"123"	"129"	"134"	"13"	"3"	"12"	"13"	"13"	"12"	"19"	"523"
"107"	"99"	"11"	"78"	"212"	"82"	"123"	"7"	"5"	"9"	"21"	"12"	"10"	"24"	"594"
"108"	"100"	"28"	"5"	"16"	"24"	"164"	"12"	"5"	"13"	"8"	"9"	"25"	"39"	"348"
"109"	"101"	"13"	"31"	"153"	"126"	"87"	"9"	"5"	"4"	"11"	"9"	"21"	"15"	"484"
"110"	"102"	"22"	"143"	"86"	"25"	"14"	"6"	"3"	"5"	"6"	"7"	"7"	"8"	"332"
"111"	"103"	"7"	"10"	"193"	"142"	"34"	"7"	"6"	"2"	"11"	"10"	"9"	"2"	"433"
"112"	"104"	"7"	"9"	"111"	"158"	"27"	"0"	"0"	"1"	"3"	"2"	"9"	"4"	"331"
"113"	"105"	"9"	"33"	"108"	"17"	"92"	"11"	"9"	"9"	"11"	"22"	"32"	"15"	"368"
"114"	"106"	"9"	"6"	"237"	"8"	"45"	"3"	"1"	"2"	"3"	"8"	"2"	"6"	"330"
"115"	"107"	"13"	"81"	"217"	"77"	"36"	"8"	"6"	"3"	"22"	"13"	"12"	"35"	"523"
"116"	"108"	"11"	"126"	"81"	"53"	"29"	"5"	"1"	"3"	"3"	"4"	"4"	"6"	"326"
"117"	"109"	"14"	"34"	"111"	"167"	"141"	"9"	"3"	"6"	"11"	"13"	"6"	"10"	"525"
"118"	"110"	"8"	"138"	"34"	"96"	"9"	"0"	"1"	"1"	"1"	"1"	"14"	"6"	"309"
"119"	"111"	"2"	"55"	"86"	"77"	"30"	"2"	"2"	"2"	"4"	"0"	"4"	"3"	"267"
"120"	"112"	"9"	"13"	"123"	"12"	"223"	"7"	"2"	"2"	"9"	"9"	"6"	"18"	"433"
"121"	"113"	"2"	"66"	"31"	"20"	"325"	"12"	"6"	"2"	"2"	"6"	"4"	"5"	"481"
"122"	"114"	"3"	"22"	"81"	"12"	"325"	"5"	"3"	"3"	"4"	"5"	"5"	"14"	"482"
"123"	"115"	"13"	"40"	"283"	"62"	"21"	"2"	"2"	"1"	"14"	"6"	"16"	"26"	"486"
"124"	"116"	"3"	"15"	"137"	"17"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"7"	"196"
"125"	"117"	"1"	"44"	"130"	"9"	"6"	"0"	"1"	"1"	"4"	"2"	"2"	"1"	"201"
"126"	"118"	"9"	"17"	"100"	"3"	"91"	"3"	"5"	"1"	"7"	"4"	"3"	"5"	"248"
"127"	"119"	"2"	"25"	"48"	"7"	"101"	"3"	"2"	"5"	"3"	"8"	"5"	"11"	"220"
"128"	"120"	"6"	"9"	"161"	"50"	"89"	"4"	"1"	"2"	"7"	"5"	"31"	"2"	"367"
"129"	"121"	"9"	"17"	"249"	"29"	"34"	"3"	"1"	"1"	"0"	"4"	"16"	"12"	"375"
"130"	"122"	"12"	"75"	"249"	"66"	"64"	"11"	"5"	"9"	"20"	"9"	"7"	"8"	"535"
"131"	"123"	"6"	"193"	"65"	"29"	"76"	"2"	"1"	"3"	"2"	"4"	"3"	"4"	"388"
"132"	"124"	"4"	"27"	"290"	"22"	"129"	"3"	"5"	"2"	"8"	"6"	"12"	"7"	"515"
"133"	"125"	"4"	"35"	"362"	"11"	"79"	"5"	"0"	"4"	"5"	"1"	"2"	"10"	"518"
"134"	"126"	"10"	"37"	"337"	"27"	"88"	"12"	"8"	"4"	"22"	"23"	"21"	"59"	"648"
"135"	"127"	"7"	"8"	"274"	"13"	"80"	"0"	"2"	"1"	"3"	"7"	"2"	"5"	"402"
"136"	"128"	"6"	"12"	"252"	"20"	"50"	"2"	"3"	"3"	"8"	"9"	"6"	"3"	"374"
"137"	"129"	"5"	"16"	"264"	"13"	"112"	"2"	"1"	"4"	"3"	"4"	"14"	"8"	"446"
"138"	"130"	"5"	"8"	"173"	"21"	"144"	"2"	"3"	"3"	"5"	"8"	"12"	"11"	"395"
"139"	"131"	"20"	"47"	"294"	"24"	"179"	"7"	"6"	"4"	"5"	"19"	"19"	"20"	"644"
"140"	"132"	"8"	"20"	"306"	"12"	"125"	"4"	"3"	"5"	"13"	"8"	"2"	"5"	"511"
"141"	"133"	"15"	"45"	"117"	"23"	"71"	"6"	"3"	"0"	"7"	"13"	"10"	"3"	"313"
"142"	"134"	"12"	"41"	"252"	"9"	"52"	"3"	"2"	"8"	"11"	"14"	"11"	"7"	"422"
"143"	"135"	"10"	"29"	"123"	"19"	"34"	"8"	"3"	"6"	"25"	"8"	"9"	"8"	"282"
"144"	"136"	"9"	"79"	"186"	"27"	"21"	"10"	"1"	"4"	"12"	"11"	"9"	"34"	"403"
"145"	"137"	"7"	"81"	"235"	"24"	"78"	"11"	"3"	"6"	"19"	"6"	"21"	"16"	"507"
"146"	"138"	"6"	"46"	"293"	"11"	"57"	"Page 93"	"of 6    5"	"2"	"18"	"13"	"12"	"16"	"488"
"147"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"150"	"139"	"8"	"7"	"281"	"8"	"16"	"3"	"4"	"4"	"13"	"12"	"2"	"16"	"374"
"151"	"140"	"19"	"63"	"310"	"31"	"119"	"9"	"0"	"5"	"16"	"18"	"12"	"28"	"630"
"152"	"141"	"6"	"9"	"10"	"13"	"458"	"4"	"7"	"4"	"5"	"8"	"15"	"13"	"552"
"153"	"142"	"10"	"9"	"384"	"27"	"82"	"12"	"1"	"3"	"13"	"11"	"8"	"9"	"569"
"154"	"143"	"1"	"3"	"210"	"6"	"37"	"3"	"2"	"2"	"8"	"0"	"0"	"3"	"275"
"155"	"144"	"11"	"14"	"71"	"12"	"181"	"7"	"5"	"9"	"5"	"8"	"6"	"8"	"337"
"156"	"145"	"8"	"51"	"237"	"15"	"29"	"3"	"4"	"3"	"20"	"15"	"14"	"25"	"424"
"157"	"146"	"7"	"69"	"149"	"30"	"69"	"3"	"2"	"5"	"14"	"8"	"10"	"23"	"389"
"158"	"147"	"16"	"41"	"171"	"6"	"35"	"3"	"2"	"4"	"5"	"3"	"7"	"17"	"310"
"159"	"148"	"4"	"11"	"381"	"12"	"6"	"1"	"1"	"5"	"14"	"4"	"2"	"22"	"463"
"160"	"149"	"18"	"7"	"140"	"15"	"57"	"5"	"5"	"9"	"3"	"9"	"6"	"16"	"290"
"161"	"150"	"20"	"2"	"19"	"18"	"333"	"10"	"4"	"6"	"6"	"3"	"2"	"10"	"433"
"162"	"151"	"47"	"28"	"305"	"26"	"50"	"12"	"10"	"7"	"13"	"7"	"10"	"9"	"524"
"163"	"152"	"17"	"18"	"351"	"14"	"94"	"12"	"2"	"9"	"14"	"18"	"8"	"14"	"571"
"164"	"153"	"15"	"21"	"293"	"21"	"114"	"13"	"54"	"8"	"12"	"5"	"3"	"2"	"561"
"165"	"154"	"12"	"14"	"156"	"45"	"67"	"18"	"7"	"5"	"8"	"25"	"5"	"8"	"370"
"166"	"155"	"5"	"19"	"189"	"36"	"97"	"9"	"2"	"4"	"15"	"10"	"34"	"3"	"423"
"167"	"156"	"12"	"67"	"108"	"21"	"75"	"1"	"2"	"3"	"5"	"10"	"27"	"1"	"332"
"168"	"157"	"15"	"48"	"279"	"22"	"105"	"15"	"12"	"9"	"26"	"30"	"56"	"29"	"646"
"169"	"158"	"25"	"39"	"172"	"31"	"144"	"15"	"8"	"23"	"21"	"20"	"44"	"26"	"568"
"170"	"159"	"3"	"30"	"89"	"18"	"22"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"167"
"171"	"160"	"3"	"93"	"103"	"6"	"53"	"2"	"2"	"3"	"1"	"4"	"2"	"0"	"272"
"172"	"161"	"15"	"64"	"147"	"22"	"85"	"4"	"3"	"2"	"11"	"9"	"4"	"9"	"375"
"173"	"162"	"9"	"46"	"167"	"13"	"49"	"10"	"0"	"4"	"12"	"5"	"23"	"10"	"348"
"174"	"163"	"6"	"23"	"125"	"13"	"109"	"5"	"6"	"6"	"9"	"11"	"116"	"8"	"437"
"175"	"164"	"8"	"66"	"358"	"5"	"50"	"9"	"3"	"7"	"18"	"9"	"11"	"14"	"558"
"176"	"165"	"5"	"18"	"93"	"4"	"15"	"1"	"2"	"0"	"4"	"4"	"2"	"2"	"150"
"177"	"166"	"14"	"76"	"21"	"4"	"48"	"1"	"31"	"7"	"2"	"4"	"6"	"7"	"221"
"178"	"167"	"13"	"48"	"246"	"15"	"183"	"14"	"16"	"7"	"14"	"24"	"27"	"21"	"628"
"179"	"168"	"9"	"4"	"125"	"4"	"167"	"10"	"8"	"12"	"6"	"7"	"9"	"9"	"370"
"180"	"169"	"12"	"6"	"8"	"2"	"382"	"9"	"1"	"9"	"1"	"8"	"10"	"10"	"458"
"181"	"170"	"8"	"30"	"296"	"41"	"61"	"12"	"5"	"6"	"15"	"18"	"6"	"11"	"509"
"182"	"171"	"3"	"10"	"108"	"89"	"62"	"1"	"2"	"3"	"4"	"3"	"2"	"4"	"291"
"183"	"172"	"11"	"48"	"142"	"61"	"103"	"10"	"4"	"1"	"4"	"12"	"9"	"5"	"410"
"184"	"173"	"17"	"34"	"247"	"12"	"84"	"4"	"5"	"8"	"3"	"1"	"1"	"3"	"419"
"185"	"174"	"9"	"79"	"161"	"12"	"17"	"4"	"3"	"3"	"5"	"3"	"6"	"7"	"309"
"186"	"175"	"10"	"84"	"60"	"56"	"44"	"9"	"4"	"14"	"11"	"10"	"33"	"18"	"353"
"187"	"176"	"4"	"19"	"68"	"4"	"32"	"4"	"3"	"2"	"5"	"4"	"2"	"3"	"150"
"188"	"177"	"13"	"14"	"154"	"41"	"88"	"7"	"4"	"2"	"2"	"8"	"6"	"1"	"340"
"189"	"178"	"4"	"15"	"47"	"17"	"320"	"8"	"5"	"5"	"6"	"6"	"10"	"13"	"456"
"190"	"179"	"17"	"57"	"216"	"126"	"43"	"4"	"3"	"3"	"6"	"3"	"4"	"2"	"484"
"191"	"180"	"6"	"33"	"86"	"86"	"66"	"5"	"2"	"3"	"8"	"6"	"10"	"8"	"319"
"192"	"181"	"1"	"9"	"184"	"13"	"45"	"3"	"5"	"3"	"8"	"4"	"4"	"6"	"285"
"193"	"182"	"6"	"5"	"190"	"15"	"116"	"12"	"3"	"3"	"12"	"11"	"11"	"5"	"389"
"194"	"183"	"1"	"7"	"230"	"17"	"15"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"277"
"195"	"184"	"14"	"27"	"92"	"6"	"38"	"Page 84"	"of 6    7"	"5"	"4"	"13"	"42"	"44"	"300"
"196"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"199"	"185"	"15"	"11"	"220"	"12"	"70"	"6"	"4"	"7"	"12"	"7"	"52"	"32"	"448"
"200"	"186"	"7"	"18"	"154"	"8"	"116"	"14"	"2"	"7"	"14"	"3"	"18"	"10"	"371"
"201"	"187"	"16"	"19"	"230"	"38"	"138"	"8"	"5"	"4"	"7"	"6"	"13"	"22"	"506"
"202"	"188"	"5"	"8"	"137"	"3"	"126"	"5"	"1"	"1"	"4"	"2"	"19"	"9"	"320"
"203"	"189"	"8"	"89"	"150"	"10"	"80"	"5"	"3"	"0"	"15"	"6"	"2"	"14"	"382"
"204"	"190"	"9"	"82"	"104"	"33"	"125"	"7"	"0"	"9"	"11"	"7"	"60"	"17"	"464"
"205"	"191"	"14"	"123"	"154"	"53"	"75"	"3"	"1"	"5"	"16"	"11"	"11"	"7"	"473"
"206"	"192"	"10"	"41"	"110"	"13"	"277"	"9"	"6"	"8"	"8"	"5"	"29"	"16"	"532"
"207"	"193"	"3"	"2"	"3"	"18"	"26"	"1"	"0"	"3"	"1"	"2"	"68"	"4"	"131"
"208"	"194"	"17"	"29"	"130"	"67"	"51"	"2"	"4"	"7"	"20"	"14"	"9"	"12"	"362"
"209"	"195"	"5"	"66"	"229"	"114"	"24"	"1"	"1"	"0"	"9"	"5"	"6"	"6"	"466"
"210"	"196"	"15"	"48"	"264"	"43"	"70"	"8"	"5"	"6"	"10"	"9"	"73"	"10"	"561"
"211"	"197"	"7"	"74"	"200"	"18"	"60"	"9"	"4"	"4"	"22"	"13"	"30"	"20"	"461"
"212"	"198"	"13"	"44"	"216"	"24"	"51"	"8"	"2"	"6"	"22"	"12"	"13"	"12"	"423"
"213"	"199"	"19"	"28"	"106"	"21"	"308"	"21"	"7"	"17"	"12"	"15"	"70"	"40"	"664"
"214"	"200"	"7"	"14"	"138"	"21"	"155"	"11"	"8"	"6"	"13"	"33"	"67"	"31"	"504"
"215"	"201"	"21"	"16"	"145"	"55"	"68"	"11"	"5"	"7"	"13"	"13"	"11"	"13"	"378"
"216"	"202"	"11"	"49"	"276"	"60"	"37"	"3"	"6"	"1"	"9"	"3"	"9"	"3"	"467"
"217"	"203"	"12"	"12"	"142"	"24"	"84"	"4"	"6"	"9"	"7"	"10"	"16"	"9"	"335"
"218"	"204"	"11"	"127"	"249"	"17"	"61"	"9"	"1"	"6"	"19"	"12"	"24"	"16"	"552"
