"Polling.Station.No."	"Anjani.Devi"	"Aman.Kumar"	"Deep.Narayan.Paswan"	"Pramod.Kumar.Das"	"Ram.Vilash.Paswan"	"Vijay...Kumar.Paswan"	"Gopal.Bharti"	"Nandlal.Paswan"	"Brajesh.Paswan"	"Birendr.a.Kumar.Das"	"Ajab..Lal.Baitha"	"Uttam.Das"	"Upendra.Paswan"	"Usha.Devi"	"Bhupen.dra.Kumar.Mandal"	"Hiralal.Paswan"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"18"	"15"	15	182	13	2	158	15	2	1	3	0	1	2	1	2	1	6	404	0	404	NA
"19"	"16"	2	167	7	2	182	9	5	3	2	0	4	4	6	4	4	4	405	0	405	NA
"20"	"17"	19	339	13	0	101	13	2	1	0	2	1	3	5	2	6	7	514	0	514	NA
"21"	"18"	6	195	3	1	85	8	5	1	5	3	4	10	11	1	15	21	374	0	374	NA
"22"	"19"	7	247	13	2	88	11	3	3	3	2	2	9	5	5	10	13	423	0	423	NA
"23"	"20"	11	310	10	8	188	12	5	4	2	5	1	12	4	7	14	19	612	0	612	NA
"24"	"21"	10	454	19	4	58	19	4	3	13	0	5	2	4	0	20	8	623	0	623	NA
"25"	"22"	7	429	14	0	59	17	0	2	3	1	1	1	5	2	5	5	551	0	551	NA
"26"	"23"	8	223	12	2	66	10	0	1	3	4	4	5	7	4	11	9	369	0	369	NA
"27"	"24"	7	292	13	4	133	15	6	0	4	3	1	3	4	3	1	6	495	0	495	NA
"28"	"25"	7	210	6	2	135	5	3	2	1	4	1	3	4	1	6	2	392	0	392	NA
"29"	"26"	25	202	16	14	383	25	9	10	5	7	9	22	11	8	12	29	787	0	787	NA
"30"	"27"	18	13	12	4	433	17	2	4	6	1	3	7	1	2	4	4	531	0	531	NA
"31"	"28"	6	249	10	2	63	14	2	37	17	4	5	7	3	5	5	4	433	0	433	NA
"32"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"34"	"29"	4	191	28	4	215	10	1	31	2	3	3	3	7	8	6	16	532	0	532	NA
"35"	"30"	15	276	16	5	133	13	4	14	5	4	30	1	4	3	9	5	537	0	537	NA
"36"	"31"	16	11	9	4	335	15	6	7	6	9	5	11	5	5	8	13	465	0	465	NA
"37"	"32"	17	50	18	1	396	40	5	7	1	2	5	15	3	3	4	8	575	0	575	NA
"38"	"33"	6	207	20	3	173	8	2	2	3	2	2	4	1	1	9	4	447	0	447	NA
"39"	"34"	3	58	27	1	107	10	2	0	3	1	1	4	0	0	2	4	223	0	223	NA
"40"	"35"	16	328	9	4	70	29	4	3	7	3	2	9	11	8	18	17	538	0	538	NA
"41"	"36"	12	225	69	1	72	64	4	1	3	0	2	2	0	4	2	1	462	0	462	NA
"42"	"37"	4	51	5	0	119	29	0	2	3	0	2	1	2	0	3	6	227	0	227	NA
"43"	"38"	5	74	14	0	146	17	2	0	0	0	0	1	4	1	3	4	271	0	271	NA
"44"	"39"	9	110	48	1	176	11	5	0	3	0	0	1	3	2	1	4	374	0	374	NA
"45"	"40"	7	236	22	3	90	68	5	2	5	1	1	2	1	2	5	4	454	0	454	NA
"46"	"41"	6	129	12	1	186	155	10	4	8	6	0	3	2	3	3	7	535	0	535	NA
"47"	"42"	9	98	44	5	189	201	4	3	4	1	2	2	5	6	3	6	582	0	582	NA
"48"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"50"	"43"	27	337	43	8	182	66	12	7	9	3	9	8	8	6	29	16	770	0	770	NA
"51"	"44"	4	112	31	4	155	45	5	21	4	2	0	2	5	8	51	17	466	0	466	NA
"52"	"45"	11	171	30	9	488	26	13	15	7	7	11	10	10	8	8	15	839	0	839	NA
"53"	"46"	21	257	20	9	317	34	7	5	14	4	6	5	2	7	5	11	724	0	724	NA
"54"	"47"	34	221	31	7	153	34	6	5	8	1	8	7	9	10	11	32	577	0	577	NA
"55"	"48"	5	291	29	2	88	78	9	1	2	2	1	1	0	1	6	4	520	0	520	NA
"56"	"49"	20	207	30	6	217	148	13	6	7	6	4	8	7	2	2	9	692	0	692	NA
"57"	"50"	46	126	48	4	177	27	2	7	31	3	0	5	51	5	3	22	557	0	557	NA
"58"	"51"	11	92	33	4	93	19	3	3	21	3	3	0	15	3	7	18	328	0	328	NA
"59"	"52"	13	136	24	7	254	15	3	2	20	6	2	10	26	10	6	16	550	0	550	NA
"60"	"53"	9	302	23	6	46	45	5	2	49	1	9	2	12	13	12	38	574	0	574	NA
"61"	"54"	52	247	28	1	176	23	1	5	28	5	2	6	4	4	3	11	596	0	596	NA
"62"	"55"	28	262	79	6	175	22	5	4	73	0	0	8	4	0	6	3	675	0	675	NA
"63"	"56"	36	157	66	5	129	5	4	1	27	3	0	10	4	6	3	7	463	0	463	NA
"64"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"66"	"57"	8	230	55	4	156	8	7	1	24	2	4	4	8	6	5	10	532	0	532	NA
"67"	"58"	21	189	20	7	285	35	10	7	13	5	3	7	11	7	16	11	647	0	647	NA
"68"	"59"	18	223	21	4	311	21	6	9	10	7	8	6	6	5	22	29	706	0	706	NA
"69"	"60"	4	97	9	3	18	25	4	0	6	1	1	1	0	1	6	1	177	0	177	NA
"70"	"61"	72	256	35	2	182	31	9	3	21	4	3	7	10	10	9	24	678	0	678	NA
"71"	"62"	6	121	11	2	308	32	4	2	5	6	6	13	5	6	6	11	544	0	544	NA
"72"	"63"	5	179	15	2	230	12	1	2	11	3	2	2	1	0	2	7	474	0	474	NA
"73"	"64"	7	300	33	2	74	15	2	7	5	3	6	7	6	4	12	18	501	0	501	NA
"74"	"65"	4	145	12	1	48	9	1	3	2	2	0	0	2	1	3	6	239	0	239	NA
"75"	"66"	36	317	47	4	72	30	6	4	7	2	4	5	9	8	11	13	575	0	575	NA
"76"	"67"	15	414	32	6	73	36	6	8	9	3	4	3	8	4	9	20	650	0	650	NA
"77"	"68"	10	346	15	0	25	12	6	3	7	2	2	3	6	1	3	7	448	0	448	NA
"78"	"69"	7	251	14	2	18	17	0	1	4	3	4	1	5	2	4	2	335	0	335	NA
"79"	"70"	0	100	7	3	58	3	1	3	2	1	3	1	3	1	3	1	190	0	190	NA
"80"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"82"	"71"	7	138	21	7	198	10	5	4	6	1	4	11	2	4	5	17	440	0	440	NA
"83"	"72"	66	216	15	2	243	17	1	5	1	5	2	4	3	2	3	15	600	0	600	NA
"84"	"73"	10	67	9	3	218	8	1	0	2	0	1	8	1	4	2	2	336	0	336	NA
"85"	"74"	3	78	9	0	237	12	3	2	0	1	0	5	2	1	8	5	366	0	366	NA
"86"	"75"	108	134	19	8	297	42	5	4	6	2	8	3	2	2	3	16	659	0	659	NA
"87"	"76"	16	141	11	3	247	32	1	6	0	1	2	9	0	2	4	8	483	0	483	NA
"88"	"77"	110	389	12	1	104	8	3	2	1	4	2	6	1	3	19	14	679	0	679	NA
"89"	"78"	17	185	15	4	182	11	0	0	5	4	2	1	4	5	2	6	443	0	443	NA
"90"	"78-A"	7	103	4	3	240	6	4	3	2	3	3	12	5	1	3	5	404	0	404	NA
"91"	"79"	13	394	17	2	168	96	5	8	7	1	5	7	8	6	5	3	745	0	745	NA
"92"	"80"	12	235	27	5	292	42	4	3	7	4	1	3	3	5	9	4	656	0	656	NA
"93"	"81"	27	280	15	0	111	79	12	5	9	7	5	5	13	8	8	21	605	0	605	NA
"94"	"82"	10	42	11	5	316	12	5	5	11	2	6	15	6	9	8	25	488	0	488	NA
"95"	"83"	13	89	23	3	174	17	7	5	9	4	4	17	3	11	4	13	396	0	396	NA
"96"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"98"	"84"	8	38	12	5	331	6	4	3	4	4	4	11	1	3	2	18	454	0	454	NA
"99"	"85"	27	211	19	3	307	34	4	9	8	7	7	42	5	8	6	11	708	0	708	NA
"100"	"86"	9	72	5	2	166	16	3	2	5	1	4	6	4	3	3	6	307	0	307	NA
"101"	"87"	10	45	2	3	378	12	4	3	3	3	6	8	5	5	4	12	503	0	503	NA
"102"	"88"	4	75	4	2	152	10	3	3	8	2	0	3	1	0	0	4	271	0	271	NA
"103"	"89"	5	181	13	3	112	59	4	3	4	6	5	8	12	7	10	8	440	0	440	NA
"104"	"90"	38	208	22	2	95	22	3	4	5	2	6	2	12	9	7	12	449	0	449	NA
"105"	"91"	95	38	6	5	245	7	3	1	1	2	1	8	0	3	7	16	438	0	438	NA
"106"	"92"	13	358	15	6	149	24	5	2	6	3	6	7	13	6	18	10	641	0	641	NA
"107"	"93"	4	170	7	0	73	21	0	2	3	2	0	2	1	4	4	7	300	0	300	NA
"108"	"94"	66	89	8	3	178	9	1	5	3	2	3	17	7	7	8	26	432	0	432	NA
"109"	"95"	5	164	20	3	63	6	0	0	0	2	0	2	3	1	4	12	285	0	285	NA
"110"	"96"	64	172	15	7	119	5	3	6	3	0	4	4	6	2	8	16	434	0	434	NA
"111"	"97"	5	91	4	1	102	10	1	1	3	1	1	5	5	3	3	4	240	0	240	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"114"	"98"	135	102	17	2	399	27	4	6	17	8	4	11	3	4	6	13	758	0	758	NA
"115"	"99"	1	111	11	5	175	7	1	0	5	0	2	4	3	1	4	2	332	0	332	NA
"116"	"100"	0	225	10	0	12	4	0	0	0	0	0	0	0	1	0	1	253	0	253	NA
"117"	"101"	4	116	8	3	107	6	4	0	5	2	0	6	1	1	1	4	268	0	268	NA
"118"	"102"	10	113	16	1	103	10	1	0	5	2	2	3	3	2	2	2	275	0	275	NA
"119"	"103"	65	130	11	2	204	8	2	1	6	4	6	5	6	4	5	21	480	0	480	NA
"120"	"104"	9	183	12	1	88	6	0	2	4	2	0	2	2	1	2	4	318	0	318	NA
"121"	"105"	7	254	14	3	134	16	8	3	7	3	3	2	3	3	6	0	466	0	466	NA
"122"	"106"	11	201	10	1	131	21	6	0	5	3	2	1	3	5	4	5	409	0	409	NA
"123"	"107"	5	70	6	3	206	31	5	1	2	0	3	8	7	1	2	1	351	0	351	NA
"124"	"108"	6	91	7	2	345	10	3	2	3	1	3	5	1	1	9	2	491	0	491	NA
"125"	"109"	3	153	3	1	80	8	4	2	2	0	1	3	2	5	10	12	289	0	289	NA
"126"	"109-A"	10	177	10	4	193	28	5	3	8	3	1	5	2	3	13	11	476	0	476	NA
"127"	"110"	3	171	5	0	42	2	1	0	2	0	0	0	1	2	2	3	234	0	234	NA
"128"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"130"	"111"	134	272	20	3	144	6	0	7	1	0	1	0	0	1	3	3	595	0	595	NA
"131"	"112"	41	75	6	0	139	10	1	1	0	2	2	5	2	1	6	4	295	0	295	NA
"132"	"113"	56	163	35	6	313	54	7	3	6	10	5	13	7	4	4	16	702	0	702	NA
"133"	"114"	47	320	22	2	92	23	5	2	2	0	1	3	5	2	8	7	541	0	541	NA
"134"	"115"	24	177	19	10	151	33	3	8	8	4	5	17	7	6	9	21	502	0	502	NA
"135"	"116"	4	25	4	0	152	4	1	2	0	1	0	7	1	1	7	5	214	0	214	NA
"136"	"117"	30	177	19	6	105	26	10	3	173	4	6	10	6	9	17	9	610	0	610	NA
"137"	"118"	5	275	14	3	42	7	0	3	2	3	5	3	6	7	15	12	402	0	402	NA
"138"	"119"	19	247	17	4	151	31	4	4	2	5	1	11	8	3	6	5	518	0	518	NA
"139"	"120"	0	13	2	1	30	7	2	0	0	1	1	0	1	0	1	3	62	0	62	NA
"140"	"121"	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	14	NA
"141"	"122"	9	309	13	8	111	62	1	4	9	5	9	7	16	5	8	16	592	0	592	NA
"142"	"123"	21	297	25	6	86	35	4	3	4	7	0	5	5	4	4	11	517	0	517	NA
"143"	"124"	10	218	10	3	120	16	2	5	2	4	2	5	5	3	3	3	411	0	411	NA
"144"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"146"	"125"	16	430	23	7	49	11	2	1	5	4	6	4	7	4	7	7	583	0	583	NA
"147"	"126"	11	311	14	4	31	20	3	1	6	1	2	0	7	3	2	5	421	0	421	NA
"148"	"127"	16	305	18	3	21	18	1	3	3	3	6	24	7	1	7	8	444	0	444	NA
"149"	"128"	26	301	20	5	39	17	3	3	1	1	3	3	5	1	2	5	435	0	435	NA
"150"	"129"	14	189	18	6	28	27	4	0	2	7	2	7	10	3	18	16	351	0	351	NA
"151"	"130"	9	380	30	7	86	17	8	7	9	4	0	44	14	9	9	18	651	0	651	NA
"152"	"131"	26	375	30	1	65	33	8	8	5	3	3	6	18	9	4	11	605	0	605	NA
"153"	"132"	24	322	23	4	38	42	8	0	4	2	2	2	11	5	2	12	501	0	501	NA
"154"	"133"	12	293	19	3	37	39	5	2	5	4	1	2	9	4	5	12	452	0	452	NA
"155"	"134"	23	303	61	4	88	29	10	4	6	7	3	13	5	4	11	20	591	0	591	NA
"156"	"135"	6	192	17	2	91	86	5	9	2	13	4	5	15	14	19	26	506	0	506	NA
"157"	"136"	23	249	11	2	177	30	4	1	4	4	6	2	15	8	10	11	557	0	557	NA
"158"	"137"	4	207	5	0	4	2	0	0	0	1	0	8	1	0	0	0	232	0	232	NA
"159"	"138"	46	146	20	5	257	176	19	9	3	7	6	8	9	7	7	18	743	0	743	NA
"160"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"162"	"139"	53	97	14	8	353	70	7	7	9	4	1	4	6	7	6	19	665	0	665	NA
"163"	"140"	21	301	29	2	111	100	9	3	3	2	9	4	6	9	5	14	628	0	628	NA
"164"	"141"	17	241	18	5	195	53	6	5	6	4	1	7	8	3	16	23	608	0	608	NA
"165"	"142"	9	30	6	12	530	20	4	6	9	8	9	37	3	4	7	31	725	0	725	NA
"166"	"143"	6	243	11	2	32	23	2	0	1	2	3	2	2	2	22	85	438	0	438	NA
"167"	"144"	5	129	1	0	43	8	2	1	0	3	5	2	6	2	3	6	216	0	216	NA
"168"	"145"	24	192	15	3	52	44	11	13	3	7	9	36	13	17	56	30	525	0	525	NA
"169"	"146"	10	206	11	1	85	43	2	7	9	3	3	5	12	22	29	14	462	0	462	NA
"170"	"147"	26	44	12	2	226	83	5	2	2	1	4	2	2	3	6	5	425	0	425	NA
"171"	"148"	27	25	11	3	319	8	1	8	1	2	3	4	3	0	4	8	427	0	427	NA
"172"	"149"	10	199	38	6	75	36	3	4	4	3	7	3	8	7	14	30	447	0	447	NA
"173"	"150"	4	239	30	0	76	20	2	0	3	3	1	2	3	3	10	27	423	0	423	NA
"174"	"151"	28	201	13	5	75	353	19	6	7	3	5	4	4	8	7	5	743	0	743	NA
"175"	"152"	29	397	13	1	23	106	6	3	2	3	3	5	8	0	15	24	638	0	638	NA
"176"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"178"	"153"	20	151	43	3	27	78	8	2	1	2	1	1	1	0	16	44	398	0	398	NA
"179"	"154"	33	231	48	2	14	53	4	6	13	3	3	4	5	6	22	57	504	0	504	NA
"180"	"155"	9	225	24	3	77	19	3	2	5	4	3	4	6	7	6	24	421	0	421	NA
"181"	"156"	26	274	28	5	120	116	7	12	8	8	6	11	23	20	18	33	715	0	715	NA
"182"	"157"	16	170	49	15	73	26	4	10	8	5	5	3	11	8	11	16	430	0	430	NA
"183"	"158"	9	128	72	6	66	42	7	6	4	8	8	4	3	8	9	20	400	0	400	NA
"184"	"159"	13	24	2	3	62	7	1	0	1	0	0	1	0	3	36	169	322	0	322	NA
"185"	"160"	18	106	11	1	120	45	2	3	2	4	4	4	7	11	53	322	713	0	713	NA
"186"	"161"	15	112	15	3	276	18	2	6	3	2	6	8	2	5	36	61	570	0	570	NA
"187"	"162"	4	126	6	0	88	101	3	0	0	2	1	1	3	1	4	7	347	0	347	NA
"188"	"163"	5	166	7	1	156	53	5	5	0	5	2	2	1	4	16	31	459	0	459	NA
"189"	"164"	6	190	8	2	45	12	2	1	0	0	0	1	2	0	2	19	290	0	290	NA
"190"	"165"	23	123	25	7	312	14	6	4	5	4	8	6	3	5	7	16	568	0	568	NA
"191"	"166"	26	75	25	14	537	31	2	6	7	4	2	9	3	6	13	31	791	0	791	NA
"192"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"194"	"167"	1	123	4	2	182	7	1	0	2	0	2	2	0	3	9	14	352	0	352	NA
"195"	"168"	13	24	29	10	312	13	1	2	8	2	3	2	2	9	9	23	462	0	462	NA
"196"	"169"	19	28	15	11	370	18	9	3	2	3	0	12	2	4	1	3	500	0	500	NA
"197"	"170"	12	210	14	4	151	12	5	3	3	8	4	4	9	10	12	16	477	0	477	NA
"198"	"171"	7	115	21	6	225	35	5	2	5	0	2	11	6	5	10	18	473	0	473	NA
"199"	"172"	8	106	26	4	102	55	5	3	6	1	4	3	3	1	14	18	359	0	359	NA
"200"	"173"	4	208	9	1	52	5	2	2	0	0	0	3	4	2	12	6	310	0	310	NA
"201"	"174"	6	87	20	3	127	7	1	2	7	0	3	2	3	5	6	15	294	0	294	NA
"202"	"175"	15	155	30	3	183	13	11	3	17	4	3	4	2	5	7	15	470	0	470	NA
"203"	"176"	14	143	21	2	55	113	2	2	10	3	7	2	2	8	22	40	446	0	446	NA
"204"	"177"	13	147	18	1	35	11	0	1	10	0	1	2	0	4	19	72	334	0	334	NA
"205"	"178"	15	80	19	4	254	35	4	1	10	9	5	23	5	10	7	23	504	0	504	NA
"206"	"179"	7	112	47	2	37	141	6	0	16	1	6	3	11	5	28	68	490	0	490	NA
"207"	"180"	36	120	155	4	90	19	3	5	4	0	4	2	2	8	14	18	484	0	484	NA
"208"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"210"	"181"	16	339	16	5	186	11	3	3	2	0	8	2	12	8	20	30	661	0	661	NA
"211"	"182"	14	237	14	3	43	17	4	1	0	2	4	2	5	1	5	3	355	0	355	NA
"212"	"183"	22	139	18	2	376	12	6	4	6	5	4	5	12	1	4	4	620	0	620	NA
"213"	"184"	3	158	12	4	63	12	3	0	3	0	3	5	6	4	11	14	301	0	301	NA
"214"	"185"	10	178	15	3	110	28	5	5	7	2	5	10	15	10	21	30	454	0	454	NA
"215"	"186"	2	44	8	1	200	10	5	1	0	0	1	2	1	0	3	32	310	0	310	NA
"216"	"187"	15	6	8	3	336	31	2	0	3	1	1	2	0	2	1	0	411	0	411	NA
"217"	"188"	0	99	6	0	209	14	1	0	2	0	1	6	0	2	2	4	346	0	346	NA
"218"	"189"	3	80	9	4	184	9	3	0	5	1	3	6	2	1	7	6	323	0	323	NA
"219"	"190"	9	140	32	3	307	28	7	9	13	3	8	38	10	11	11	22	651	0	651	NA
"220"	"191"	12	214	11	7	198	11	3	3	0	2	1	4	5	3	11	15	500	0	500	NA
"221"	"192"	20	79	18	15	221	18	5	4	9	2	2	2	3	7	4	7	416	0	416	NA
"222"	"193"	3	173	27	3	34	19	0	2	2	0	2	0	3	1	9	17	295	0	295	NA
"223"	"194"	1	109	35	1	101	50	2	2	0	0	0	0	3	0	1	2	307	0	307	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"226"	"195"	0	61	16	2	86	30	1	2	1	1	1	1	3	0	6	3	214	0	214	NA
"227"	"196"	1	1	1	0	178	2	0	1	1	0	0	3	0	0	0	2	190	0	190	NA
"228"	"197"	7	71	9	2	239	17	46	3	2	3	4	0	2	4	7	7	423	0	423	NA
"229"	"198"	8	308	15	1	106	10	2	2	2	3	3	6	7	7	5	12	497	0	497	NA
"230"	"199"	16	215	11	2	235	161	17	4	2	4	6	9	6	9	14	6	717	0	717	NA
"231"	"200"	18	169	10	2	60	3	44	0	2	2	1	2	3	6	10	10	342	0	342	NA
"232"	"201"	16	131	11	3	187	70	5	0	3	0	1	3	1	4	8	6	449	0	449	NA
"233"	"202"	11	21	4	2	493	8	2	3	1	2	3	2	1	5	3	10	571	0	571	NA
"234"	"203"	5	169	28	1	228	9	4	3	4	2	3	1	4	4	51	9	525	0	525	NA
"235"	"204"	10	208	26	3	94	8	4	6	38	0	3	10	8	10	11	10	449	0	449	NA
"236"	"205"	7	133	10	3	84	10	3	1	67	3	2	2	8	7	3	3	346	0	346	NA
"237"	"206"	10	41	3	3	388	7	2	1	11	1	3	6	2	5	4	11	498	0	498	NA
"238"	"207"	7	99	5	1	207	26	3	2	3	1	0	8	1	4	19	11	397	0	397	NA
"239"	"208"	9	347	8	2	86	66	7	0	3	3	2	2	2	3	2	0	542	0	542	NA
"240"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"242"	"209"	23	270	13	6	154	140	7	5	3	4	6	15	9	12	12	23	702	0	702	NA
"243"	"210"	11	226	22	3	192	128	11	14	4	6	4	4	2	4	14	13	658	0	658	NA
"244"	"211"	3	85	17	2	119	72	2	0	4	2	3	4	1	4	6	3	327	0	327	NA
"245"	"212"	6	261	19	0	69	89	4	2	5	2	2	5	2	0	1	0	467	0	467	NA
"246"	"213"	2	353	12	0	7	18	4	1	0	1	2	1	5	0	4	3	413	0	413	NA
"247"	"214"	6	215	15	0	31	24	0	0	1	1	1	1	1	1	17	2	316	0	316	NA
"248"	"215"	1	69	8	2	30	12	0	2	42	2	1	2	0	18	471	11	671	0	671	NA
"249"	"216"	5	149	20	2	54	13	3	1	14	0	0	1	5	6	44	15	332	0	332	NA
"250"	"216-A"	18	75	13	4	48	14	2	2	56	1	2	0	0	2	22	2	261	0	261	NA
"251"	"217"	9	206	38	1	41	34	2	3	11	4	0	2	9	15	171	23	569	0	569	NA
"252"	"218"	22	187	25	6	235	119	9	10	6	4	7	4	10	5	59	13	721	0	721	NA
"253"	"219"	17	158	25	4	191	47	3	2	2	5	2	5	6	4	29	7	507	0	507	NA
"254"	"220"	19	231	23	6	211	25	11	5	9	2	8	7	6	3	10	9	585	0	585	NA
"255"	"221"	3	75	9	0	252	6	3	1	28	2	3	4	4	3	9	6	408	0	408	NA
"256"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"258"	"222"	30	147	9	1	62	2	2	0	0	0	2	3	4	5	7	5	279	0	279	NA
"259"	"223"	12	188	17	3	222	8	6	5	9	4	4	10	4	5	12	18	527	0	527	NA
"260"	"224"	5	186	12	4	162	12	3	4	9	2	5	4	2	2	8	6	426	0	426	NA
"261"	"225"	2	174	10	6	80	4	1	2	5	1	1	4	4	1	3	12	310	0	310	NA
"262"	"226"	2	68	24	4	257	26	1	1	2	4	1	6	1	13	2	9	421	0	421	NA
"263"	"227"	6	133	12	5	328	22	4	1	4	3	2	5	1	6	13	75	620	0	620	NA
"264"	"228"	1	75	13	6	340	14	2	1	6	4	1	8	3	6	3	9	492	0	492	NA
"265"	"229"	4	431	21	1	189	69	2	1	3	2	1	2	4	2	2	3	737	0	737	NA
"266"	"230"	4	301	12	2	105	69	6	1	3	1	2	4	4	1	10	20	545	0	545	NA
