"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  147 Bakhri (s.C.)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"35"	"24"	"31"	"121"	"175"	"6"	"8"	"126"	"11"	"1"	"5"	"23"	"10"	"517"	"0"	"517"	"0"
"36"	"25"	"13"	"90"	"191"	"8"	"3"	"89"	"11"	"0"	"7"	"10"	"17"	"439"	"0"	"439"	"0"
"37"	"26"	"28"	"137"	"251"	"12"	"4"	"129"	"17"	"4"	"13"	"18"	"25"	"638"	"0"	"638"	"0"
"38"	"27"	"22"	"139"	"188"	"11"	"3"	"14"	"7"	"1"	"4"	"17"	"19"	"425"	"0"	"425"	"0"
"39"	"27A"	"32"	"116"	"257"	"18"	"9"	"75"	"12"	"8"	"9"	"9"	"15"	"560"	"0"	"560"	"0"
"40"	"28"	"42"	"88"	"255"	"11"	"5"	"56"	"12"	"5"	"5"	"12"	"17"	"508"	"0"	"508"	"0"
"41"	"29"	"43"	"121"	"422"	"17"	"5"	"52"	"13"	"5"	"12"	"16"	"24"	"730"	"0"	"730"	"0"
"42"	"30"	"41"	"46"	"573"	"18"	"8"	"113"	"20"	"9"	"6"	"7"	"12"	"853"	"0"	"853"	"0"
"43"	"31"	"54"	"27"	"185"	"5"	"8"	"258"	"11"	"2"	"6"	"5"	"15"	"576"	"0"	"576"	"0"
"44"	"32"	"17"	"163"	"78"	"6"	"5"	"166"	"42"	"8"	"10"	"23"	"20"	"538"	"0"	"538"	"0"
"45"	"33"	"12"	"211"	"48"	"2"	"1"	"26"	"3"	"1"	"7"	"38"	"51"	"400"	"0"	"400"	"0"
"46"	"34"	"57"	"267"	"93"	"8"	"10"	"41"	"6"	"2"	"2"	"13"	"31"	"530"	"0"	"530"	"0"
"47"	"35"	"84"	"89"	"291"	"7"	"9"	"93"	"22"	"9"	"6"	"15"	"22"	"647"	"0"	"647"	"0"
"48"	"36"	"48"	"79"	"254"	"11"	"11"	"53"	"13"	"5"	"6"	"10"	"2"	"492"	"0"	"492"	"0"
"49"	"37"	"133"	"253"	"76"	"7"	"10"	"30"	"5"	"11"	"9"	"28"	"27"	"589"	"0"	"589"	"0"
"50"	"38"	"97"	"99"	"300"	"11"	"3"	"23"	"6"	"3"	"5"	"5"	"10"	"562"	"0"	"562"	"0"
"51"	"39"	"144"	"239"	"218"	"7"	"8"	"22"	"15"	"9"	"12"	"31"	"65"	"770"	"0"	"770"	"0"
"52"	"40"	"148"	"178"	"275"	"13"	"12"	"55"	"21"	"7"	"8"	"23"	"38"	"778"	"0"	"778"	"0"
"53"	"41"	"44"	"249"	"139"	"2"	"5"	"27"	"12"	"4"	"5"	"17"	"49"	"553"	"0"	"553"	"0"
"54"	"42"	"8"	"260"	"3"	"2"	"1"	"35"	"4"	"1"	"2"	"18"	"10"	"344"	"0"	"344"	"0"
"55"	"43"	"108"	"83"	"182"	"5"	"8"	"56"	"11"	"2"	"8"	"7"	"12"	"482"	"0"	"482"	"0"
"56"	"44"	"140"	"67"	"385"	"17"	"14"	"108"	"13"	"9"	"9"	"7"	"11"	"780"	"0"	"780"	"0"
"57"	"45"	"26"	"205"	"246"	"5"	"0"	"51"	"7"	"4"	"11"	"20"	"34"	"609"	"0"	"609"	"0"
"58"	"46"	"14"	"313"	"118"	"4"	"2"	"67"	"3"	"4"	"5"	"30"	"23"	"583"	"0"	"583"	"0"
"59"	"47"	"19"	"254"	"73"	"5"	"4"	"115"	"4"	"4"	"7"	"21"	"17"	"523"	"0"	"523"	"0"
"60"	"48"	"123"	"95"	"76"	"1"	"14"	"275"	"14"	"4"	"2"	"4"	"12"	"620"	"0"	"620"	"0"
"61"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"62"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"63"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"64"	"49"	"22"	"20"	"462"	"11"	"5"	"85"	"5"	"7"	"13"	"2"	"4"	"636"	"0"	"636"	"0"
"65"	"50"	"11"	"111"	"568"	"14"	"5"	"53"	"7"	"2"	"2"	"7"	"8"	"788"	"0"	"788"	"0"
"66"	"51"	"16"	"95"	"384"	"10"	"4"	"79"	"12"	"4"	"10"	"13"	"29"	"656"	"0"	"656"	"0"
"67"	"52"	"29"	"460"	"200"	"15"	"4"	"25"	"7"	"12"	"8"	"36"	"35"	"831"	"0"	"831"	"0"
"68"	"53"	"38"	"196"	"130"	"12"	"5"	"33"	"13"	"4"	"16"	"22"	"46"	"515"	"0"	"515"	"0"
"69"	"54"	"312"	"140"	"90"	"3"	"2"	"49"	"9"	"5"	"8"	"8"	"13"	"639"	"0"	"639"	"0"
"70"	"55"	"124"	"78"	"155"	"3"	"4"	"64"	"2"	"4"	"1"	"2"	"9"	"446"	"0"	"446"	"0"
"71"	"56"	"54"	"141"	"142"	"9"	"9"	"191"	"5"	"1"	"5"	"3"	"15"	"575"	"0"	"575"	"0"
"72"	"57"	"166"	"274"	"192"	"14"	"9"	"102"	"10"	"10"	"13"	"33"	"52"	"875"	"0"	"875"	"0"
"73"	"58"	"51"	"310"	"40"	"1"	"4"	"70"	"2"	"2"	"4"	"14"	"9"	"507"	"0"	"507"	"0"
"74"	"59"	"15"	"349"	"28"	"7"	"4"	"16"	"3"	"5"	"6"	"38"	"26"	"497"	"0"	"497"	"0"
"75"	"60"	"15"	"183"	"220"	"6"	"2"	"323"	"16"	"3"	"6"	"17"	"31"	"822"	"0"	"822"	"0"
"76"	"61"	"16"	"73"	"147"	"8"	"9"	"260"	"7"	"3"	"4"	"10"	"23"	"560"	"0"	"560"	"0"
"77"	"62"	"13"	"74"	"142"	"5"	"6"	"267"	"15"	"5"	"5"	"9"	"20"	"561"	"0"	"561"	"0"
"78"	"63"	"48"	"218"	"272"	"10"	"11"	"100"	"11"	"2"	"7"	"19"	"28"	"726"	"0"	"726"	"0"
"79"	"64"	"26"	"330"	"80"	"6"	"1"	"10"	"3"	"0"	"3"	"11"	"8"	"478"	"0"	"478"	"0"
"80"	"65"	"60"	"91"	"226"	"8"	"2"	"190"	"15"	"3"	"8"	"8"	"15"	"626"	"0"	"626"	"0"
"81"	"66"	"13"	"207"	"288"	"6"	"11"	"132"	"11"	"3"	"10"	"33"	"37"	"751"	"0"	"751"	"0"
"82"	"67"	"18"	"64"	"269"	"1"	"4"	"177"	"2"	"0"	"4"	"4"	"7"	"550"	"0"	"550"	"0"
"83"	"68"	"16"	"9"	"254"	"10"	"1"	"118"	"6"	"3"	"6"	"1"	"5"	"429"	"0"	"429"	"0"
"84"	"69"	"50"	"56"	"124"	"5"	"4"	"75"	"12"	"4"	"6"	"6"	"14"	"356"	"0"	"356"	"0"
"85"	"70"	"71"	"32"	"258"	"5"	"8"	"238"	"13"	"8"	"5"	"7"	"11"	"656"	"0"	"656"	"0"
"86"	"71"	"85"	"61"	"219"	"3"	"4"	"130"	"8"	"2"	"11"	"10"	"28"	"561"	"0"	"561"	"0"
"87"	"72"	"31"	"57"	"154"	"2"	"2"	"229"	"7"	"7"	"5"	"7"	"12"	"513"	"0"	"513"	"0"
"88"	"73"	"28"	"91"	"287"	"13"	"5"	"141"	"13"	"5"	"11"	"12"	"26"	"632"	"0"	"632"	"0"
"89"	"74"	"17"	"58"	"122"	"3"	"2"	"170"	"7"	"3"	"9"	"6"	"15"	"412"	"0"	"412"	"0"
"90"	"75"	"14"	"49"	"202"	"3"	"2"	"132"	"7"	"1"	"7"	"11"	"21"	"449"	"0"	"449"	"0"
"91"	"76"	"47"	"83"	"404"	"9"	"4"	"67"	"7"	"4"	"6"	"9"	"15"	"655"	"0"	"655"	"0"
"92"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"93"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"95"	"77"	"10"	"52"	"122"	"4"	"7"	"197"	"6"	"1"	"4"	"5"	"19"	"427"	"0"	"427"	"0"
"96"	"78"	"24"	"71"	"200"	"5"	"5"	"131"	"9"	"1"	"3"	"2"	"8"	"459"	"0"	"459"	"0"
"97"	"79"	"68"	"112"	"179"	"12"	"8"	"114"	"6"	"16"	"11"	"26"	"22"	"574"	"0"	"574"	"0"
"98"	"80"	"71"	"211"	"49"	"10"	"8"	"241"	"4"	"2"	"6"	"13"	"22"	"637"	"0"	"637"	"0"
"99"	"81"	"11"	"49"	"258"	"6"	"4"	"39"	"4"	"4"	"8"	"10"	"19"	"412"	"0"	"412"	"0"
"100"	"82"	"18"	"43"	"109"	"2"	"3"	"48"	"6"	"3"	"3"	"5"	"4"	"244"	"0"	"244"	"0"
"101"	"83"	"54"	"88"	"132"	"7"	"4"	"51"	"2"	"0"	"10"	"14"	"38"	"400"	"0"	"400"	"0"
"102"	"84"	"78"	"95"	"326"	"4"	"3"	"46"	"4"	"5"	"12"	"6"	"8"	"587"	"0"	"587"	"0"
"103"	"85"	"39"	"19"	"197"	"5"	"0"	"24"	"5"	"2"	"3"	"4"	"8"	"306"	"0"	"306"	"0"
"104"	"86"	"25"	"152"	"344"	"12"	"16"	"149"	"8"	"10"	"26"	"30"	"19"	"791"	"0"	"791"	"0"
"105"	"87"	"22"	"73"	"146"	"9"	"3"	"96"	"4"	"2"	"6"	"8"	"27"	"396"	"0"	"396"	"0"
"106"	"87A"	"27"	"51"	"171"	"4"	"6"	"141"	"11"	"3"	"11"	"8"	"43"	"476"	"0"	"476"	"0"
"107"	"88"	"63"	"60"	"196"	"6"	"2"	"143"	"10"	"2"	"8"	"5"	"18"	"513"	"0"	"513"	"0"
"108"	"89"	"31"	"57"	"194"	"8"	"6"	"169"	"13"	"4"	"4"	"5"	"16"	"507"	"0"	"507"	"0"
"109"	"90"	"18"	"22"	"333"	"4"	"6"	"28"	"12"	"4"	"8"	"7"	"16"	"458"	"0"	"458"	"0"
"110"	"91"	"63"	"62"	"385"	"19"	"10"	"59"	"14"	"3"	"12"	"5"	"5"	"637"	"0"	"637"	"0"
"111"	"92"	"30"	"59"	"279"	"13"	"14"	"53"	"15"	"10"	"12"	"9"	"18"	"512"	"0"	"512"	"0"
"112"	"93"	"32"	"33"	"428"	"19"	"6"	"31"	"18"	"5"	"11"	"5"	"13"	"601"	"0"	"601"	"0"
"113"	"94"	"49"	"43"	"396"	"16"	"6"	"71"	"19"	"6"	"26"	"10"	"36"	"678"	"0"	"678"	"0"
"114"	"95"	"40"	"71"	"235"	"6"	"8"	"134"	"15"	"9"	"18"	"22"	"34"	"592"	"0"	"592"	"0"
"115"	"96"	"201"	"29"	"422"	"14"	"8"	"112"	"5"	"2"	"30"	"4"	"15"	"842"	"0"	"842"	"0"
"116"	"97"	"45"	"27"	"150"	"9"	"5"	"233"	"12"	"1"	"9"	"5"	"18"	"514"	"0"	"514"	"0"
"117"	"98"	"220"	"12"	"41"	"0"	"3"	"93"	"3"	"1"	"5"	"5"	"12"	"395"	"0"	"395"	"0"
"118"	"99"	"229"	"22"	"60"	"4"	"6"	"164"	"6"	"3"	"6"	"3"	"8"	"511"	"0"	"511"	"0"
"119"	"100"	"89"	"111"	"73"	"3"	"4"	"156"	"9"	"7"	"6"	"7"	"21"	"486"	"0"	"486"	"0"
"120"	"101"	"152"	"94"	"109"	"5"	"1"	"61"	"5"	"3"	"6"	"13"	"21"	"470"	"0"	"470"	"0"
"121"	"102"	"76"	"68"	"128"	"3"	"5"	"98"	"10"	"0"	"7"	"6"	"14"	"415"	"0"	"415"	"0"
"122"	"103"	"75"	"13"	"29"	"0"	"1"	"117"	"3"	"2"	"3"	"1"	"11"	"255"	"0"	"255"	"0"
"123"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"124"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"126"	"104"	"224"	"293"	"65"	"5"	"7"	"180"	"14"	"1"	"3"	"17"	"32"	"841"	"0"	"841"	"0"
"127"	"105"	"126"	"53"	"87"	"6"	"8"	"212"	"15"	"7"	"7"	"9"	"25"	"555"	"0"	"555"	"0"
"128"	"105A"	"133"	"72"	"80"	"6"	"3"	"124"	"11"	"6"	"5"	"10"	"13"	"463"	"0"	"463"	"0"
"129"	"106"	"108"	"169"	"177"	"11"	"6"	"88"	"14"	"6"	"10"	"28"	"37"	"654"	"0"	"654"	"0"
"130"	"107"	"41"	"34"	"454"	"7"	"6"	"81"	"8"	"9"	"11"	"5"	"13"	"669"	"0"	"669"	"0"
"131"	"108"	"188"	"75"	"256"	"10"	"15"	"210"	"15"	"11"	"20"	"16"	"44"	"860"	"0"	"860"	"0"
"132"	"109"	"33"	"70"	"133"	"4"	"5"	"383"	"13"	"3"	"6"	"9"	"22"	"681"	"0"	"681"	"0"
"133"	"110"	"15"	"51"	"87"	"5"	"5"	"289"	"17"	"5"	"8"	"14"	"20"	"516"	"0"	"516"	"0"
"134"	"111"	"76"	"53"	"292"	"11"	"11"	"298"	"18"	"7"	"5"	"17"	"13"	"801"	"0"	"801"	"0"
"135"	"112"	"176"	"35"	"219"	"10"	"8"	"96"	"20"	"4"	"5"	"6"	"23"	"602"	"0"	"602"	"0"
"136"	"113"	"61"	"129"	"360"	"8"	"8"	"85"	"10"	"2"	"5"	"11"	"25"	"704"	"0"	"704"	"0"
"137"	"114"	"62"	"189"	"253"	"5"	"9"	"148"	"23"	"15"	"9"	"26"	"37"	"776"	"0"	"776"	"0"
"138"	"115"	"64"	"149"	"350"	"12"	"3"	"82"	"11"	"6"	"7"	"10"	"9"	"703"	"0"	"703"	"0"
"139"	"116"	"33"	"11"	"405"	"8"	"4"	"27"	"3"	"1"	"5"	"2"	"6"	"505"	"0"	"505"	"0"
"140"	"117"	"68"	"48"	"258"	"2"	"2"	"23"	"7"	"2"	"4"	"2"	"7"	"423"	"0"	"423"	"0"
"141"	"118"	"94"	"206"	"304"	"14"	"11"	"91"	"9"	"3"	"3"	"14"	"18"	"767"	"0"	"767"	"0"
"142"	"119"	"116"	"309"	"232"	"8"	"4"	"106"	"8"	"4"	"4"	"9"	"14"	"814"	"0"	"814"	"0"
"143"	"120"	"71"	"210"	"280"	"11"	"3"	"166"	"20"	"3"	"11"	"15"	"27"	"817"	"0"	"817"	"0"
"144"	"121"	"38"	"103"	"280"	"4"	"8"	"98"	"9"	"9"	"6"	"8"	"17"	"580"	"0"	"580"	"0"
"145"	"122"	"15"	"107"	"175"	"7"	"8"	"87"	"10"	"1"	"5"	"14"	"17"	"446"	"0"	"446"	"0"
"146"	"123"	"93"	"47"	"1"	"4"	"0"	"4"	"1"	"2"	"1"	"8"	"6"	"167"	"0"	"167"	"0"
"147"	"124"	"127"	"208"	"109"	"11"	"8"	"141"	"5"	"3"	"6"	"7"	"19"	"644"	"0"	"644"	"0"
"148"	"125"	"175"	"295"	"66"	"2"	"5"	"33"	"4"	"3"	"4"	"6"	"28"	"621"	"0"	"621"	"0"
"149"	"126"	"108"	"223"	"156"	"13"	"8"	"158"	"25"	"6"	"8"	"24"	"33"	"762"	"0"	"762"	"0"
"150"	"127"	"60"	"198"	"236"	"15"	"9"	"53"	"15"	"2"	"5"	"13"	"34"	"640"	"0"	"640"	"0"
"151"	"128"	"174"	"203"	"120"	"8"	"7"	"104"	"9"	"1"	"8"	"15"	"6"	"655"	"0"	"655"	"0"
"152"	"129"	"43"	"198"	"305"	"10"	"10"	"57"	"16"	"3"	"7"	"11"	"14"	"674"	"0"	"674"	"0"
"153"	"130"	"48"	"192"	"354"	"13"	"8"	"95"	"21"	"5"	"8"	"16"	"35"	"795"	"0"	"795"	"0"
"154"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"155"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"157"	"131"	"24"	"84"	"269"	"7"	"7"	"22"	"10"	"3"	"5"	"10"	"10"	"451"	"0"	"451"	"0"
"158"	"132"	"34"	"183"	"103"	"5"	"5"	"27"	"3"	"1"	"3"	"13"	"15"	"392"	"0"	"392"	"0"
"159"	"132A"	"40"	"197"	"103"	"2"	"0"	"10"	"4"	"0"	"0"	"6"	"12"	"374"	"0"	"374"	"0"
"160"	"133"	"55"	"66"	"475"	"15"	"3"	"46"	"18"	"2"	"4"	"7"	"5"	"696"	"0"	"696"	"0"
"161"	"134"	"98"	"265"	"366"	"10"	"7"	"76"	"11"	"2"	"0"	"8"	"22"	"865"	"0"	"865"	"0"
"162"	"135"	"32"	"66"	"355"	"15"	"5"	"23"	"14"	"2"	"3"	"4"	"12"	"531"	"0"	"531"	"0"
"163"	"136"	"60"	"116"	"605"	"4"	"6"	"41"	"17"	"4"	"4"	"11"	"9"	"877"	"0"	"877"	"0"
"164"	"137"	"81"	"70"	"156"	"6"	"5"	"32"	"7"	"4"	"1"	"5"	"8"	"375"	"0"	"375"	"0"
"165"	"138"	"43"	"115"	"204"	"1"	"7"	"24"	"12"	"2"	"2"	"6"	"8"	"424"	"0"	"424"	"0"
"166"	"139"	"50"	"122"	"356"	"6"	"4"	"42"	"9"	"2"	"3"	"6"	"5"	"605"	"0"	"605"	"0"
"167"	"140"	"36"	"307"	"260"	"11"	"3"	"60"	"13"	"6"	"1"	"13"	"19"	"729"	"0"	"729"	"0"
"168"	"141"	"44"	"182"	"151"	"6"	"6"	"81"	"15"	"2"	"3"	"15"	"21"	"526"	"0"	"526"	"0"
"169"	"142"	"173"	"141"	"323"	"9"	"9"	"42"	"12"	"3"	"8"	"13"	"7"	"740"	"0"	"740"	"0"
"170"	"143"	"69"	"40"	"155"	"9"	"1"	"158"	"10"	"1"	"2"	"0"	"5"	"450"	"0"	"450"	"0"
"171"	"144"	"136"	"81"	"211"	"7"	"11"	"32"	"15"	"1"	"5"	"7"	"12"	"518"	"0"	"518"	"0"
"172"	"145"	"92"	"107"	"127"	"5"	"2"	"72"	"7"	"3"	"8"	"9"	"16"	"448"	"0"	"448"	"0"
"173"	"146"	"21"	"144"	"192"	"7"	"8"	"28"	"3"	"1"	"14"	"15"	"16"	"449"	"0"	"449"	"0"
"174"	"147"	"72"	"66"	"118"	"2"	"5"	"52"	"4"	"1"	"7"	"5"	"13"	"345"	"0"	"345"	"0"
"175"	"148"	"30"	"69"	"352"	"28"	"6"	"179"	"12"	"6"	"8"	"5"	"18"	"713"	"0"	"713"	"0"
"176"	"149"	"33"	"46"	"232"	"5"	"4"	"92"	"8"	"3"	"27"	"1"	"17"	"468"	"0"	"468"	"0"
"177"	"149A"	"24"	"105"	"120"	"7"	"13"	"173"	"6"	"5"	"14"	"6"	"17"	"490"	"0"	"490"	"0"
"178"	"150"	"20"	"109"	"207"	"6"	"8"	"212"	"13"	"9"	"23"	"17"	"31"	"655"	"0"	"655"	"0"
"179"	"151"	"25"	"27"	"355"	"8"	"4"	"177"	"10"	"10"	"22"	"12"	"21"	"671"	"0"	"671"	"0"
"180"	"152"	"25"	"114"	"188"	"6"	"8"	"71"	"20"	"10"	"13"	"19"	"28"	"502"	"0"	"502"	"0"
"181"	"153"	"18"	"38"	"182"	"2"	"3"	"211"	"58"	"4"	"5"	"1"	"12"	"534"	"0"	"534"	"0"
"182"	"154"	"36"	"38"	"176"	"3"	"7"	"84"	"8"	"1"	"2"	"2"	"6"	"363"	"0"	"363"	"0"
"183"	"155"	"30"	"10"	"229"	"12"	"8"	"54"	"13"	"3"	"3"	"2"	"7"	"371"	"0"	"371"	"0"
"184"	"156"	"27"	"33"	"178"	"7"	"2"	"273"	"42"	"11"	"7"	"5"	"17"	"602"	"0"	"602"	"0"
"185"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"186"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"187"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"188"	"157"	"32"	"28"	"321"	"15"	"11"	"110"	"33"	"9"	"16"	"11"	"21"	"607"	"0"	"607"	"0"
"189"	"158"	"17"	"15"	"246"	"2"	"6"	"71"	"12"	"1"	"1"	"1"	"4"	"376"	"0"	"376"	"0"
