"Ac..No."	"BOOTH_.NO"	"BOOTH_.EXT"	"Kaukab.Quadri"	"Jitendra.Singh"	"Nirmala.Devi"	"Dr..Ran.Vijay.Kumar"	"Ramayodhya.Prasad.Yadav"	"Suresh.Prasad.Yadav"	"Awadesh.Mishra"	"Kumari.Anupam.Sinha"	"Sanjay.Sharma"	"Chitranjan.Sharma"	"Devendra.Kumar"	"Madhusud.an.Prasad.Singh"	"Radheysh.yam.Yadav"	"Brijnanad.an.Singh.Yadav"	"TOTAL"	"SLNO"
"35"	219	33	""	33	19	6	401	150	9	4	15	16	17	12	8	4	17	711	35
"36"	219	34	""	23	7	2	332	70	4	4	8	6	6	4	6	3	10	485	36
"37"	219	35	""	8	6	0	267	108	2	0	4	3	1	4	4	3	6	416	37
"38"	219	36	""	53	5	6	335	61	9	4	17	16	5	12	7	4	6	540	38
"39"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	219	37	""	43	23	4	173	59	11	3	19	14	1	4	5	1	3	363	39
"41"	219	38	""	51	37	7	286	281	7	2	12	5	1	3	3	1	0	696	40
"42"	219	39	""	9	88	1	280	361	36	0	2	1	8	3	4	10	0	803	41
"43"	219	40	""	16	36	1	169	311	25	7	4	5	9	14	5	5	12	619	42
"44"	219	41	""	46	16	2	222	355	20	1	8	7	9	9	13	11	22	741	43
"45"	219	42	""	21	35	4	244	329	14	6	14	8	26	16	11	8	21	757	44
"46"	219	43	""	66	10	9	219	240	57	7	12	13	8	8	6	9	10	674	45
"47"	219	44	""	8	23	1	105	432	5	3	0	3	3	0	0	1	1	585	46
"48"	219	45	""	3	0	0	2	207	4	0	1	0	0	1	2	1	0	221	47
"49"	219	46	""	69	15	6	361	128	8	2	3	0	1	2	2	2	4	603	48
"50"	219	47	""	25	4	1	188	32	1	0	2	0	1	2	2	0	2	260	49
"51"	219	48	""	34	1	2	140	68	8	2	2	0	7	8	2	2	8	284	50
"52"	219	49	""	65	4	0	166	64	6	2	7	4	5	7	5	8	11	354	51
"53"	219	50	""	15	7	3	214	86	5	0	0	3	3	6	3	2	2	349	52
"54"	219	51	""	25	5	11	308	109	6	1	5	3	6	4	1	2	3	489	53
"55"	219	52	""	206	5	8	139	255	3	2	5	4	5	1	1	1	2	637	54
"56"	219	53	""	30	22	3	224	349	16	2	7	4	8	8	8	6	11	698	55
"57"	219	54	""	8	2	2	356	209	8	4	4	3	11	13	1	9	11	641	56
"58"	219	55	""	10	5	1	440	63	6	2	6	3	5	2	1	2	3	549	57
"59"	219	56	""	5	5	1	7	275	2	0	0	1	6	1	1	3	2	309	58
"60"	219	57	""	35	10	1	218	304	8	3	13	16	6	10	11	9	10	654	59
"61"	219	58	""	21	5	4	280	310	13	6	14	31	25	10	4	2	14	739	60
"62"	219	59	""	21	49	3	305	60	15	2	8	4	8	4	2	8	5	494	61
"63"	219	60	""	3	1	2	83	80	17	2	11	7	6	7	4	9	9	241	62
"64"	219	61	""	70	6	2	86	163	6	5	20	15	8	6	9	4	18	418	63
"65"	219	62	""	35	25	4	313	45	6	6	14	28	7	3	2	9	3	500	64
"66"	219	63	""	57	9	5	270	88	14	3	10	8	3	8	4	8	14	501	65
"67"	219	64	""	19	5	1	282	307	14	8	18	22	17	8	7	4	18	730	66
"68"	219	65	""	30	9	2	323	317	11	4	8	18	7	6	5	1	8	749	67
"69"	219	66	""	8	2	2	63	125	6	1	0	2	2	0	0	1	7	219	68
"70"	219	67	""	40	16	2	197	158	11	2	6	7	7	6	4	4	15	475	69
"71"	219	68	""	22	8	4	147	298	4	5	3	1	5	1	1	2	8	509	70
"72"	219	69	""	34	7	4	294	238	20	7	7	4	5	3	0	1	3	627	71
"73"	219	70	""	5	5	1	263	198	9	2	7	62	3	6	2	5	8	576	72
"74"	219	71	""	17	2	4	386	120	26	9	6	12	7	12	6	10	20	637	73
"75"	219	72	""	53	7	4	274	120	24	6	7	5	8	3	4	6	7	528	74
"76"	219	73	""	17	9	5	101	140	34	6	7	8	9	12	10	6	23	387	75
"77"	219	74	""	8	2	0	170	140	2	9	2	2	2	4	4	2	3	350	76
"78"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	219	75	""	16	9	1	238	71	10	1	8	10	3	10	1	2	8	388	77
"80"	219	76	""	49	41	10	228	137	63	10	14	44	8	5	2	9	7	627	78
"81"	219	77	""	7	0	0	367	39	2	3	0	1	1	0	0	1	1	422	79
"82"	219	78	""	19	9	5	144	362	34	11	17	13	15	9	8	6	18	670	80
"83"	219	79	""	5	16	1	249	101	6	1	2	20	8	6	3	1	3	422	81
"84"	219	80	""	3	6	0	242	28	1	0	2	1	1	2	0	1	6	293	82
"85"	219	81	""	4	0	0	179	71	3	1	1	1	6	1	2	2	1	272	83
"86"	219	82	""	54	7	1	246	115	10	6	10	18	8	7	5	1	4	492	84
"87"	219	83	""	7	2	2	91	315	4	1	2	1	8	1	4	2	7	447	85
"88"	219	84	""	34	8	1	250	149	15	2	12	10	15	12	17	10	39	574	86
"89"	219	85	""	25	20	3	350	120	13	1	7	7	9	12	9	4	15	595	87
"90"	219	86	""	46	3	3	330	50	18	2	11	5	5	1	2	4	6	486	88
"91"	219	87	""	4	4	4	168	344	10	3	4	9	12	7	7	7	21	604	89
"92"	219	88	""	240	8	2	103	63	7	4	3	4	2	9	4	5	19	473	90
"93"	219	89	""	247	5	2	127	82	5	1	4	2	2	5	1	5	14	502	91
"94"	219	90	""	1	1	0	7	229	4	0	2	1	1	1	0	0	3	250	92
"95"	219	91	""	17	1	3	173	235	9	7	7	3	10	11	8	8	21	513	93
"96"	219	92	""	9	3	3	204	430	16	4	5	6	5	3	2	4	3	697	94
"97"	219	93	""	35	3	4	309	340	14	3	5	6	1	2	4	1	3	730	95
"98"	219	94	""	15	0	2	164	163	50	6	6	4	11	9	6	5	14	455	96
"99"	219	95	""	22	0	1	72	240	12	2	4	3	1	0	0	2	0	359	97
"100"	219	96	""	18	12	2	140	107	7	2	6	1	1	0	1	1	3	301	98
"101"	219	97	""	6	3	3	33	127	5	3	2	1	2	1	5	1	3	195	99
"102"	219	98	""	33	3	3	19	181	4	2	1	1	2	1	3	3	9	265	100
"103"	219	99	""	14	4	3	33	182	15	3	4	4	3	2	4	4	10	285	101
"104"	219	100	""	15	7	0	297	152	14	5	3	2	9	10	6	4	14	538	102
"105"	219	101	""	38	13	1	240	136	8	6	11	2	4	4	2	1	4	470	103
"106"	219	102	""	69	0	1	155	43	5	2	0	1	4	3	1	3	4	291	104
"107"	219	103	""	3	2	3	165	76	11	0	0	1	1	2	1	2	3	270	105
"108"	219	104	""	4	0	2	378	27	2	0	1	0	1	0	1	0	1	417	106
"109"	219	105	""	11	0	1	180	70	0	1	1	0	1	5	2	2	4	278	107
"110"	219	106	""	4	0	2	12	292	11	1	1	5	2	3	1	1	5	340	108
"111"	219	107	""	11	0	0	198	195	6	28	2	5	6	3	1	0	5	460	109
"112"	219	108	""	10	9	1	83	166	4	0	2	4	3	1	2	3	4	292	110
"113"	219	109	""	11	0	7	78	240	11	6	14	5	6	4	2	3	11	398	111
"114"	219	110	""	29	6	1	151	239	6	3	3	6	8	2	1	3	5	463	112
"115"	219	111	""	41	7	2	144	166	11	2	5	4	5	4	2	4	5	402	113
"116"	219	112	""	24	5	2	136	181	8	3	8	4	7	2	1	1	3	385	114
"117"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	219	113	""	5	0	3	187	255	7	8	7	2	5	3	2	0	1	485	115
"119"	219	114	""	10	36	1	127	306	4	2	3	3	8	2	1	2	2	507	116
"120"	219	115	""	12	3	3	204	254	10	7	5	1	3	2	2	4	8	518	117
"121"	219	116	""	4	3	0	128	183	3	4	0	3	3	3	0	3	11	348	118
"122"	219	117	""	9	25	0	175	183	8	1	2	3	2	4	1	1	2	416	119
"123"	219	118	""	53	1	5	51	292	19	5	7	3	4	3	7	2	11	463	120
"124"	219	119	""	6	35	4	108	291	6	2	4	11	5	2	4	5	11	494	121
"125"	219	120	""	78	0	2	187	233	35	3	8	3	4	5	2	4	10	574	122
"126"	219	121	""	66	4	3	144	122	8	0	8	7	3	4	2	5	6	382	123
"127"	219	122	""	46	7	5	62	254	12	2	3	1	2	0	5	2	8	409	124
"128"	219	123	""	37	5	0	129	108	12	1	4	1	4	3	3	2	8	317	125
"129"	219	124	""	41	3	8	205	266	14	6	11	14	16	8	4	9	12	617	126
"130"	219	125	""	18	7	6	143	198	5	6	4	5	7	8	2	4	4	417	127
"131"	219	126	""	4	8	2	48	362	21	3	5	5	5	3	4	4	3	477	128
"132"	219	127	""	6	12	0	40	234	8	0	1	0	1	0	0	1	1	304	129
"133"	219	128	""	5	2	1	4	353	7	1	1	1	2	1	1	3	9	391	130
"134"	219	129	""	19	12	0	110	51	3	1	0	1	1	2	0	2	4	206	131
"135"	219	130	""	8	0	1	31	418	47	3	5	3	9	6	5	3	4	543	132
"136"	219	131	""	27	12	2	132	157	2	2	4	2	4	5	1	5	15	370	133
"137"	219	132	""	15	3	3	35	53	4	1	1	1	0	1	0	2	0	119	134
"138"	219	133	""	15	7	1	197	390	36	7	7	5	6	8	1	4	6	690	135
"139"	219	134	""	51	4	3	199	397	42	6	9	9	4	7	10	4	11	756	136
"140"	219	135	""	6	17	1	234	32	1	0	0	0	1	0	1	1	0	294	137
"141"	219	136	""	33	1	1	173	96	5	1	9	6	7	10	6	7	21	376	138
"142"	219	137	""	21	8	1	261	234	13	6	13	7	6	8	6	5	9	598	139
"143"	219	138	""	19	45	2	253	37	6	1	0	2	4	2	1	3	5	380	140
"144"	219	139	""	22	0	2	69	225	9	3	4	0	1	0	0	0	3	338	141
"145"	219	140	""	12	0	0	102	7	2	2	4	0	3	3	0	1	0	136	142
"146"	219	141	""	23	1	0	162	76	4	1	6	0	3	4	0	3	2	285	143
"147"	219	142	""	111	14	8	196	401	21	12	8	6	5	3	6	3	14	808	144
"148"	219	143	""	17	0	4	60	136	10	3	4	2	6	2	1	4	15	264	145
"149"	219	144	""	8	3	2	89	103	5	0	3	3	4	4	1	4	11	240	146
"150"	219	145	""	10	3	5	148	130	83	2	4	1	2	1	0	0	1	390	147
"151"	219	146	""	16	1	2	115	225	9	4	6	2	8	5	2	3	6	404	148
"152"	219	147	""	32	0	6	65	286	5	2	3	2	3	4	2	3	9	422	149
"153"	219	148	""	0	0	1	250	18	2	0	0	0	4	2	2	1	1	281	150
"154"	219	149	""	16	65	2	117	229	25	8	11	11	9	6	6	9	26	540	151
"155"	219	150	""	5	3	0	27	166	5	1	3	4	3	3	1	0	0	221	152
"156"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	219	151	""	40	146	8	133	159	9	2	7	7	5	10	4	12	17	559	153
"158"	219	152	""	75	12	7	168	171	8	4	10	3	8	7	3	2	11	489	154
"159"	219	153	""	24	7	3	166	153	14	7	13	4	8	4	3	10	18	434	155
"160"	219	154	""	11	11	2	90	197	10	2	9	4	2	5	0	7	18	368	156
"161"	219	155	""	13	2	0	19	207	3	0	0	1	3	1	1	0	16	266	157
"162"	219	156	""	3	25	2	382	60	6	2	4	3	4	10	2	4	3	510	158
"163"	219	157	""	54	22	7	302	293	15	6	16	10	11	7	5	5	9	762	159
"164"	219	158	""	27	42	10	229	262	7	5	4	13	6	5	2	4	9	625	160
"165"	219	159	""	55	3	4	301	231	6	4	2	3	1	5	4	10	5	634	161
"166"	219	160	""	14	15	6	218	382	15	5	8	2	7	3	3	8	11	697	162
"167"	219	161	""	42	12	3	77	99	7	0	1	1	1	0	1	0	1	245	163
"168"	219	162	""	9	0	17	27	248	10	4	5	4	1	0	2	1	4	332	164
"169"	219	163	""	2	1	2	70	100	10	1	2	3	9	6	1	2	6	215	165
"170"	219	164	""	8	8	0	262	119	7	1	5	4	6	1	0	1	1	423	166
"171"	219	164	"A"	13	1	0	109	313	17	1	2	3	4	1	3	5	7	479	167
"172"	219	165	""	18	6	4	442	206	17	32	7	10	18	13	8	9	17	807	168
"173"	219	166	""	17	3	3	94	336	14	5	7	11	4	4	8	6	15	527	169
"174"	219	167	""	11	5	9	210	33	27	6	7	3	9	15	4	4	7	350	170
"175"	219	168	""	8	27	4	106	99	13	3	5	2	2	2	2	0	1	274	171
"176"	219	169	""	267	13	2	136	116	10	0	7	6	5	1	0	6	11	580	172
"177"	219	170	""	327	9	8	202	106	25	2	7	3	1	3	5	1	7	706	173
"178"	219	171	""	27	5	5	181	94	13	4	3	1	5	2	3	2	4	349	174
"179"	219	172	""	31	4	2	292	150	35	8	7	16	15	11	7	9	31	618	175
"180"	219	173	""	18	14	2	199	107	7	4	6	5	9	14	8	8	12	413	176
"181"	219	174	""	18	1	3	90	106	12	6	7	13	10	12	4	5	18	305	177
"182"	219	175	""	27	3	4	282	98	5	6	3	12	1	1	3	4	2	451	178
"183"	219	176	""	32	3	3	112	397	3	2	6	3	6	4	3	1	6	581	179
"184"	219	177	""	17	2	3	214	144	4	5	7	10	6	4	2	1	8	427	180
"185"	219	178	""	6	0	2	152	159	15	5	8	7	10	5	4	4	5	382	181
"186"	219	179	""	5	21	1	234	315	14	2	4	11	14	4	3	5	3	636	182
"187"	219	180	""	17	1	1	27	356	27	10	2	14	12	7	4	3	12	493	183
"188"	219	181	""	19	8	13	200	403	9	3	7	6	10	5	2	5	5	695	184
"189"	219	182	""	10	13	4	247	253	13	1	2	1	1	1	2	2	9	559	185
"190"	219	183	""	5	28	4	213	55	0	2	1	1	1	3	1	1	2	317	186
"191"	219	184	""	12	19	5	330	326	10	4	5	1	9	11	6	4	13	755	187
"192"	219	185	""	18	15	15	304	257	7	2	12	2	8	11	6	5	13	675	188
"193"	219	186	""	0	1	0	23	215	2	0	0	2	3	1	0	1	0	248	189
"194"	219	187	""	13	9	4	61	217	46	4	6	2	3	4	2	2	8	381	190
"195"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	219	188	""	10	2	3	364	59	7	0	3	41	7	1	3	3	6	509	191
"197"	219	189	""	60	9	4	191	280	15	6	8	31	7	4	2	3	8	628	192
"198"	219	190	""	3	1	0	87	97	135	3	1	1	2	1	1	2	8	342	193
"199"	219	191	""	20	5	1	492	89	5	3	3	2	4	2	4	1	6	637	194
"200"	219	192	""	10	11	4	300	94	8	3	8	4	8	6	1	4	3	464	195
"201"	219	193	""	26	16	3	35	398	36	5	6	1	6	5	3	3	4	547	196
"202"	219	194	""	14	1	3	43	261	12	0	4	3	3	2	4	2	4	356	197
"203"	219	195	""	2	0	1	70	115	4	0	2	2	3	0	1	2	1	203	198
"204"	219	196	""	3	3	3	161	187	7	4	5	6	7	1	5	8	10	410	199
"205"	219	196	"A"	14	6	2	150	252	7	1	3	1	10	5	2	4	5	462	200
"206"	219	197	""	10	1	2	209	70	5	0	3	4	6	1	4	1	4	320	201
"207"	219	198	""	0	0	0	5	212	0	0	0	0	0	1	0	0	0	218	202
"208"	219	199	""	19	17	2	157	182	6	5	6	5	4	8	6	3	10	430	203
"209"	219	200	""	17	7	4	145	191	36	4	12	18	11	9	4	3	9	470	204
"210"	219	201	""	12	12	1	206	144	4	2	2	4	3	0	2	0	0	392	205
"211"	219	202	""	46	10	2	204	189	10	8	8	12	10	4	2	6	17	528	206
"212"	219	203	""	10	8	1	164	193	8	2	7	7	5	3	2	4	5	419	207
"213"	219	204	""	20	53	6	122	351	16	2	13	3	1	3	0	2	9	601	208
"214"	219	205	""	54	5	6	123	185	14	1	4	2	5	3	0	1	3	406	209
"215"	219	206	""	20	8	8	75	296	18	6	5	4	10	3	2	2	15	472	210
"216"	219	207	""	77	24	5	11	97	1	2	0	1	0	1	2	3	7	231	211
"217"	219	208	""	15	2	4	138	84	9	5	2	4	4	1	4	1	8	281	212
"218"	219	209	""	17	1	1	187	176	8	4	8	4	14	5	7	3	18	453	213
"219"	219	210	""	27	2	1	140	54	2	2	6	0	3	2	3	3	2	247	214
"220"	219	211	""	11	4	4	82	425	19	2	5	1	8	4	7	5	6	583	215
"221"	219	212	""	38	10	2	102	207	18	6	5	6	2	2	1	8	17	424	216
"222"	219	213	""	54	3	4	64	254	14	2	11	5	1	5	2	0	9	428	217
"223"	219	214	""	32	5	8	79	198	19	4	1	2	1	1	0	4	2	356	218
"224"	219	215	""	7	4	1	174	24	3	3	1	2	3	3	5	2	9	241	219
"225"	219	216	""	23	9	4	430	155	24	5	10	7	10	10	11	10	11	719	220
"226"	219	217	""	8	11	3	168	104	5	0	8	6	5	9	2	0	4	333	221
"227"	219	218	""	26	8	4	100	359	20	6	8	9	8	2	4	4	5	563	222
"228"	219	219	""	18	2	3	9	230	14	2	8	0	5	2	1	0	10	304	223
"229"	219	220	""	77	6	4	144	51	5	3	1	7	2	7	6	3	12	328	224
"230"	219	221	""	13	0	3	111	211	11	6	5	6	11	9	7	2	13	408	225
"231"	219	222	""	16	1	1	23	233	8	3	5	2	4	2	8	2	8	316	226
"232"	219	223	""	11	1	4	79	175	10	1	7	5	7	6	6	6	20	338	227
"233"	219	224	""	7	10	7	127	270	14	2	4	6	7	6	1	1	2	464	228
"234"	NA	NA	"BOOTH_ EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	219	225	""	25	2	2	350	6	2	0	1	0	1	6	0	2	2	399	229
"236"	219	226	""	5	6	3	184	131	7	2	1	2	3	3	2	3	4	356	230
"237"	219	227	""	17	3	2	124	517	23	5	2	11	10	3	7	7	11	742	231
"238"	219	228	""	7	2	1	265	16	9	4	7	2	2	2	1	5	2	325	232
"239"	219	229	""	12	24	3	98	88	4	1	3	2	0	1	1	0	0	237	233
"240"	219	230	""	41	17	5	245	322	8	9	9	6	15	14	5	15	19	730	234
"241"	219	231	""	36	0	1	300	18	2	0	2	3	4	4	3	6	3	382	235
"242"	219	232	""	113	79	7	248	202	13	3	6	1	4	5	3	6	4	694	236
"243"	219	233	""	8	29	3	228	71	9	2	7	2	3	3	3	2	0	370	237
"244"	219	234	""	12	1	0	162	103	10	1	1	2	4	5	6	3	6	316	238
"245"	219	235	""	56	22	2	383	145	20	2	6	3	4	3	4	6	1	657	239
"246"	219	236	""	16	2	3	241	226	8	0	11	15	7	7	9	10	17	572	240
"247"	219	237	""	7	1	0	131	274	11	2	4	14	4	1	0	0	4	453	241
"248"	219	238	""	27	5	2	146	153	14	1	1	30	2	4	1	4	5	395	242
"249"	219	239	""	13	3	0	309	98	5	3	9	67	2	1	3	0	1	514	243
"250"	219	240	""	12	0	0	137	270	67	9	3	10	17	8	8	4	10	555	244
"251"	219	241	""	13	4	1	49	236	12	2	4	1	0	2	1	4	3	332	245
"252"	219	242	""	11	15	2	281	102	8	4	10	2	9	4	8	8	9	473	246
"253"	219	243	""	12	27	3	258	93	5	0	3	3	4	6	4	5	8	431	247
"254"	219	244	""	49	13	10	186	311	33	15	18	7	13	10	9	8	19	701	248
"255"	219	245	""	123	6	4	200	49	6	2	2	2	5	8	3	4	6	420	249
"256"	219	246	""	10	1	4	302	245	71	8	3	3	1	7	1	4	6	666	250
"257"	219	247	""	185	7	3	156	70	13	1	5	4	4	4	6	10	12	480	251
"258"	219	248	""	17	6	3	27	443	81	6	7	8	10	2	5	2	17	634	252
"259"	219	249	""	22	5	3	54	298	19	1	2	4	3	1	3	1	5	421	253
"260"	219	249	"A"	9	1	5	142	180	53	7	14	6	10	6	4	3	7	447	254
"261"	219	250	""	9	1	1	439	96	9	0	6	1	4	3	2	1	2	574	255
"262"	219	251	""	13	5	2	243	148	7	2	23	13	7	10	5	9	19	506	256
"263"	219	NA	""	1	0	0	9	9	0	0	0	0	0	0	0	0	0	19	NA
"264"	NA	NA	""	8418	2640	777	47378	46684	3407	875	1508	1734	1445	1208	871	1027	2093	120065	NA
