"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"47"	"34"	"211"	"1"	"3"	"48"	"5"	"3"	"4"	"3"	"7"	"2"	"1"	"3"	"7"	"138"	"8"	"444"
"48"	"35"	"205"	"4"	"0"	"25"	"1"	"3"	"0"	"1"	"2"	"2"	"2"	"0"	"0"	"94"	"1"	"340"
"49"	"36"	"275"	"2"	"3"	"17"	"3"	"3"	"4"	"0"	"0"	"3"	"0"	"2"	"4"	"134"	"5"	"455"
"50"	"37"	"446"	"9"	"4"	"53"	"5"	"1"	"1"	"3"	"1"	"9"	"2"	"8"	"9"	"174"	"41"	"766"
"51"	"38"	"208"	"3"	"4"	"168"	"4"	"3"	"3"	"4"	"9"	"5"	"2"	"18"	"19"	"194"	"16"	"660"
"52"	"39"	"541"	"3"	"4"	"101"	"4"	"4"	"4"	"0"	"2"	"6"	"3"	"11"	"11"	"123"	"16"	"833"
"53"	"40"	"379"	"6"	"3"	"106"	"5"	"2"	"2"	"8"	"6"	"12"	"3"	"24"	"18"	"154"	"33"	"761"
"54"	"41"	"102"	"0"	"2"	"7"	"2"	"3"	"1"	"3"	"1"	"3"	"2"	"1"	"7"	"384"	"15"	"533"
"55"	"42"	"244"	"5"	"11"	"48"	"49"	"1"	"4"	"6"	"3"	"2"	"5"	"11"	"14"	"154"	"12"	"569"
"56"	"43"	"247"	"8"	"12"	"91"	"14"	"2"	"0"	"5"	"4"	"5"	"4"	"12"	"8"	"180"	"9"	"601"
"57"	"44"	"378"	"5"	"3"	"51"	"5"	"1"	"5"	"6"	"4"	"12"	"1"	"15"	"11"	"174"	"22"	"693"
"58"	"45"	"105"	"2"	"4"	"59"	"11"	"2"	"2"	"1"	"4"	"1"	"4"	"8"	"15"	"207"	"12"	"437"
"59"	"45A"	"263"	"1"	"4"	"46"	"4"	"1"	"0"	"0"	"2"	"2"	"1"	"7"	"9"	"133"	"10"	"483"
"60"	"46"	"132"	"7"	"5"	"69"	"96"	"9"	"7"	"3"	"3"	"8"	"10"	"7"	"12"	"286"	"27"	"681"
"61"	"47"	"43"	"2"	"1"	"7"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"11"	"268"	"4"	"343"
"62"	"48"	"110"	"4"	"10"	"29"	"5"	"4"	"3"	"0"	"1"	"3"	"4"	"6"	"13"	"244"	"9"	"445"
"63"	"49"	"101"	"7"	"9"	"111"	"305"	"7"	"1"	"13"	"7"	"10"	"5"	"32"	"20"	"149"	"37"	"814"
"64"	"50"	"227"	"5"	"5"	"56"	"70"	"5"	"4"	"2"	"5"	"8"	"3"	"12"	"9"	"256"	"26"	"693"
"65"	"51"	"146"	"4"	"6"	"75"	"114"	"1"	"0"	"6"	"5"	"32"	"3"	"13"	"9"	"60"	"12"	"486"
"66"	"52"	"203"	"2"	"5"	"165"	"38"	"5"	"4"	"9"	"3"	"7"	"6"	"29"	"11"	"51"	"17"	"555"
"67"	"53"	"154"	"2"	"9"	"12"	"95"	"5"	"3"	"4"	"3"	"8"	"5"	"6"	"12"	"174"	"50"	"542"
"68"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"69"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"70"	"54"	"133"	"4"	"5"	"60"	"74"	"8"	"2"	"4"	"2"	"3"	"3"	"7"	"7"	"119"	"12"	"443"
"71"	"55"	"71"	"2"	"7"	"153"	"41"	"1"	"3"	"2"	"4"	"5"	"4"	"21"	"15"	"80"	"12"	"421"
"72"	"56"	"115"	"2"	"0"	"147"	"25"	"5"	"1"	"4"	"1"	"4"	"8"	"26"	"19"	"99"	"26"	"482"
"73"	"57"	"204"	"7"	"8"	"59"	"117"	"5"	"4"	"8"	"5"	"9"	"4"	"8"	"7"	"37"	"12"	"494"
"74"	"58"	"114"	"7"	"9"	"88"	"20"	"5"	"6"	"2"	"3"	"5"	"3"	"12"	"16"	"304"	"17"	"611"
"75"	"59"	"318"	"11"	"9"	"157"	"11"	"4"	"4"	"1"	"3"	"2"	"4"	"19"	"10"	"33"	"12"	"598"
"76"	"60"	"459"	"7"	"5"	"21"	"4"	"0"	"0"	"2"	"1"	"3"	"1"	"6"	"1"	"23"	"8"	"541"
"77"	"61"	"350"	"4"	"9"	"60"	"18"	"4"	"1"	"6"	"2"	"3"	"3"	"16"	"20"	"164"	"26"	"686"
"78"	"62"	"334"	"13"	"10"	"84"	"15"	"3"	"4"	"2"	"1"	"5"	"1"	"10"	"7"	"46"	"12"	"547"
"79"	"63"	"120"	"3"	"5"	"36"	"8"	"3"	"6"	"5"	"2"	"2"	"0"	"13"	"7"	"398"	"15"	"623"
"80"	"64"	"128"	"6"	"6"	"58"	"2"	"8"	"2"	"3"	"5"	"7"	"4"	"11"	"6"	"243"	"16"	"505"
"81"	"65"	"24"	"6"	"3"	"96"	"9"	"5"	"3"	"7"	"8"	"5"	"3"	"23"	"23"	"534"	"56"	"805"
"82"	"66"	"190"	"6"	"7"	"70"	"5"	"2"	"2"	"9"	"7"	"9"	"5"	"8"	"27"	"410"	"40"	"797"
"83"	"67"	"151"	"5"	"8"	"49"	"25"	"3"	"4"	"5"	"1"	"7"	"1"	"12"	"12"	"208"	"21"	"512"
"84"	"67A"	"85"	"0"	"9"	"18"	"55"	"1"	"0"	"4"	"0"	"2"	"3"	"3"	"2"	"46"	"11"	"239"
"85"	"68"	"250"	"7"	"9"	"33"	"4"	"6"	"5"	"4"	"2"	"9"	"6"	"8"	"6"	"204"	"18"	"571"
"86"	"68A"	"127"	"2"	"10"	"69"	"3"	"3"	"1"	"1"	"3"	"5"	"5"	"4"	"9"	"171"	"8"	"421"
"87"	"69"	"111"	"5"	"3"	"138"	"9"	"2"	"2"	"3"	"2"	"6"	"5"	"27"	"21"	"248"	"25"	"607"
"88"	"70"	"102"	"5"	"4"	"7"	"1"	"0"	"1"	"4"	"1"	"10"	"1"	"4"	"29"	"351"	"29"	"549"
"89"	"71"	"221"	"5"	"4"	"23"	"33"	"2"	"3"	"5"	"7"	"11"	"2"	"4"	"17"	"233"	"28"	"598"
"90"	"72"	"143"	"4"	"2"	"45"	"96"	"6"	"3"	"2"	"2"	"3"	"5"	"4"	"12"	"342"	"13"	"682"
"91"	"73"	"129"	"6"	"8"	"81"	"5"	"1"	"3"	"4"	"4"	"5"	"7"	"14"	"32"	"393"	"14"	"706"
"92"	"74"	"234"	"2"	"14"	"225"	"7"	"1"	"3"	"6"	"4"	"8"	"7"	"44"	"38"	"236"	"36"	"865"
"93"	"75"	"147"	"5"	"7"	"142"	"3"	"3"	"0"	"2"	"6"	"1"	"3"	"17"	"15"	"129"	"10"	"490"
"94"	"75A"	"206"	"11"	"7"	"18"	"7"	"6"	"4"	"3"	"4"	"0"	"2"	"3"	"7"	"130"	"20"	"428"
"95"	"76"	"252"	"0"	"5"	"63"	"10"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"4"	"139"	"4"	"484"
"96"	"76A"	"97"	"3"	"4"	"125"	"69"	"2"	"3"	"0"	"5"	"1"	"7"	"10"	"14"	"101"	"29"	"470"
"97"	"77"	"205"	"6"	"11"	"80"	"9"	"3"	"5"	"8"	"7"	"2"	"7"	"23"	"14"	"264"	"28"	"672"
"98"	"78"	"222"	"4"	"11"	"42"	"14"	"11"	"4"	"3"	"5"	"7"	"3"	"1"	"4"	"257"	"6"	"594"
"99"	"79"	"58"	"12"	"16"	"227"	"14"	"5"	"4"	"3"	"5"	"3"	"2"	"41"	"29"	"365"	"19"	"803"
"100"	"80"	"490"	"7"	"8"	"2"	"7"	"2"	"1"	"3"	"0"	"4"	"2"	"3"	"7"	"67"	"16"	"619"
"101"	"81"	"100"	"6"	"14"	"185"	"85"	"2"	"3"	"3"	"3"	"0"	"2"	"7"	"6"	"60"	"6"	"482"
"102"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"103"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"104"	"82"	"271"	"6"	"0"	"25"	"2"	"1"	"2"	"3"	"2"	"3"	"2"	"4"	"7"	"137"	"33"	"498"
"105"	"83"	"224"	"7"	"10"	"145"	"20"	"1"	"1"	"1"	"3"	"3"	"3"	"16"	"12"	"157"	"15"	"618"
"106"	"84"	"164"	"2"	"8"	"78"	"67"	"1"	"2"	"4"	"3"	"6"	"6"	"7"	"6"	"139"	"9"	"502"
"107"	"85"	"138"	"4"	"0"	"36"	"63"	"3"	"2"	"1"	"3"	"10"	"5"	"6"	"5"	"135"	"18"	"429"
"108"	"86"	"316"	"2"	"4"	"98"	"7"	"0"	"2"	"3"	"3"	"9"	"3"	"18"	"11"	"105"	"24"	"605"
"109"	"87"	"256"	"13"	"23"	"45"	"12"	"3"	"4"	"5"	"3"	"7"	"0"	"4"	"9"	"118"	"16"	"518"
"110"	"88"	"182"	"5"	"6"	"193"	"298"	"9"	"3"	"5"	"10"	"5"	"24"	"43"	"12"	"79"	"24"	"898"
"111"	"89"	"250"	"8"	"13"	"81"	"49"	"8"	"4"	"9"	"8"	"5"	"2"	"16"	"19"	"266"	"20"	"758"
"112"	"90"	"65"	"7"	"13"	"35"	"18"	"7"	"3"	"2"	"1"	"3"	"1"	"9"	"14"	"215"	"11"	"404"
"113"	"90A"	"110"	"3"	"4"	"14"	"55"	"5"	"2"	"0"	"2"	"4"	"2"	"6"	"15"	"146"	"39"	"407"
"114"	"91"	"146"	"4"	"3"	"59"	"46"	"5"	"6"	"11"	"0"	"7"	"1"	"15"	"16"	"177"	"21"	"517"
"115"	"92"	"224"	"0"	"4"	"25"	"175"	"10"	"1"	"6"	"6"	"5"	"2"	"6"	"14"	"201"	"13"	"692"
"116"	"93"	"355"	"4"	"3"	"8"	"154"	"3"	"2"	"5"	"2"	"4"	"8"	"2"	"12"	"118"	"21"	"701"
"117"	"94"	"52"	"7"	"9"	"30"	"8"	"9"	"1"	"2"	"0"	"1"	"1"	"6"	"14"	"434"	"8"	"582"
"118"	"95"	"302"	"0"	"0"	"3"	"243"	"1"	"3"	"5"	"3"	"11"	"4"	"0"	"0"	"20"	"7"	"602"
"119"	"96"	"298"	"7"	"6"	"7"	"282"	"3"	"2"	"4"	"0"	"4"	"2"	"2"	"0"	"14"	"3"	"634"
"120"	"97"	"157"	"18"	"18"	"22"	"23"	"5"	"5"	"3"	"7"	"5"	"3"	"7"	"15"	"483"	"26"	"797"
"121"	"98"	"125"	"1"	"11"	"22"	"39"	"5"	"2"	"1"	"1"	"3"	"3"	"2"	"9"	"256"	"12"	"492"
"122"	"98A"	"41"	"2"	"1"	"66"	"2"	"1"	"1"	"3"	"3"	"5"	"7"	"7"	"13"	"247"	"19"	"418"
"123"	"99"	"287"	"9"	"9"	"60"	"20"	"2"	"4"	"7"	"6"	"13"	"5"	"22"	"18"	"238"	"29"	"729"
"124"	"100"	"277"	"8"	"25"	"14"	"66"	"6"	"6"	"4"	"2"	"12"	"4"	"4"	"11"	"209"	"32"	"680"
"125"	"101"	"96"	"4"	"1"	"43"	"9"	"1"	"0"	"1"	"0"	"4"	"3"	"4"	"6"	"124"	"15"	"311"
"126"	"102"	"93"	"4"	"8"	"98"	"10"	"1"	"3"	"7"	"3"	"0"	"1"	"16"	"13"	"144"	"10"	"411"
"127"	"102A"	"120"	"3"	"6"	"156"	"8"	"2"	"0"	"1"	"1"	"11"	"2"	"13"	"5"	"85"	"15"	"428"
"128"	"103"	"100"	"4"	"5"	"61"	"4"	"1"	"0"	"2"	"0"	"1"	"1"	"8"	"13"	"254"	"17"	"471"
"129"	"104"	"283"	"12"	"4"	"85"	"4"	"0"	"1"	"1"	"1"	"1"	"1"	"5"	"3"	"48"	"16"	"465"
"130"	"105"	"258"	"10"	"6"	"292"	"24"	"3"	"3"	"7"	"3"	"6"	"12"	"57"	"12"	"87"	"24"	"804"
"131"	"106"	"184"	"5"	"3"	"16"	"107"	"3"	"2"	"5"	"2"	"7"	"7"	"6"	"4"	"41"	"12"	"404"
"132"	"107"	"286"	"11"	"6"	"44"	"146"	"4"	"3"	"7"	"3"	"8"	"4"	"13"	"12"	"121"	"37"	"705"
"133"	"108"	"96"	"1"	"6"	"17"	"212"	"8"	"2"	"10"	"2"	"4"	"5"	"3"	"7"	"30"	"13"	"416"
"134"	"109"	"114"	"4"	"2"	"66"	"154"	"4"	"3"	"3"	"4"	"11"	"3"	"11"	"16"	"146"	"13"	"554"
"135"	"110"	"250"	"5"	"10"	"42"	"43"	"0"	"4"	"3"	"1"	"3"	"3"	"2"	"4"	"65"	"10"	"445"
"136"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"138"	"111"	"211"	"4"	"9"	"18"	"20"	"7"	"4"	"4"	"2"	"6"	"2"	"4"	"3"	"114"	"12"	"420"
"139"	"112"	"73"	"3"	"8"	"74"	"76"	"4"	"0"	"3"	"2"	"3"	"3"	"12"	"20"	"134"	"15"	"430"
"140"	"113"	"58"	"8"	"14"	"14"	"197"	"4"	"7"	"4"	"1"	"5"	"6"	"3"	"14"	"156"	"11"	"502"
"141"	"114"	"176"	"2"	"8"	"122"	"52"	"3"	"6"	"5"	"5"	"51"	"9"	"35"	"8"	"40"	"23"	"545"
"142"	"115"	"244"	"0"	"8"	"211"	"76"	"3"	"2"	"4"	"1"	"16"	"13"	"44"	"7"	"54"	"44"	"727"
"143"	"116"	"426"	"6"	"5"	"124"	"13"	"5"	"2"	"6"	"5"	"36"	"1"	"22"	"9"	"86"	"17"	"763"
"144"	"117"	"547"	"7"	"2"	"27"	"13"	"1"	"1"	"6"	"2"	"13"	"2"	"8"	"7"	"49"	"40"	"725"
"145"	"118"	"244"	"4"	"7"	"85"	"5"	"3"	"1"	"6"	"3"	"3"	"1"	"11"	"8"	"230"	"26"	"637"
"146"	"119"	"387"	"9"	"7"	"98"	"3"	"2"	"2"	"5"	"4"	"6"	"1"	"13"	"10"	"69"	"18"	"634"
"147"	"120"	"282"	"3"	"3"	"71"	"19"	"3"	"3"	"4"	"3"	"3"	"1"	"15"	"12"	"166"	"24"	"612"
"148"	"121"	"159"	"12"	"12"	"79"	"10"	"12"	"3"	"5"	"7"	"15"	"7"	"18"	"34"	"334"	"25"	"732"
"149"	"122"	"498"	"3"	"2"	"2"	"135"	"2"	"1"	"4"	"1"	"5"	"4"	"0"	"5"	"41"	"12"	"715"
"150"	"123"	"98"	"9"	"2"	"144"	"5"	"1"	"3"	"0"	"4"	"8"	"6"	"26"	"28"	"236"	"27"	"597"
"151"	"124"	"122"	"1"	"2"	"37"	"218"	"6"	"3"	"1"	"1"	"66"	"3"	"7"	"2"	"33"	"10"	"512"
"152"	"125"	"78"	"1"	"2"	"20"	"53"	"0"	"0"	"2"	"3"	"20"	"5"	"2"	"5"	"60"	"12"	"263"
"153"	"126"	"141"	"3"	"2"	"171"	"25"	"3"	"2"	"3"	"2"	"6"	"2"	"23"	"10"	"30"	"11"	"434"
"154"	"127"	"440"	"6"	"3"	"108"	"12"	"2"	"6"	"5"	"8"	"13"	"3"	"16"	"7"	"38"	"51"	"718"
"155"	"128"	"263"	"4"	"7"	"105"	"29"	"2"	"1"	"3"	"0"	"2"	"1"	"16"	"9"	"75"	"11"	"528"
"156"	"129"	"319"	"6"	"3"	"38"	"14"	"4"	"0"	"3"	"0"	"5"	"2"	"3"	"8"	"98"	"9"	"512"
"157"	"130"	"241"	"2"	"4"	"238"	"13"	"4"	"3"	"4"	"7"	"8"	"6"	"24"	"14"	"136"	"23"	"727"
"158"	"131"	"112"	"1"	"10"	"415"	"16"	"2"	"1"	"2"	"1"	"4"	"9"	"35"	"22"	"73"	"12"	"715"
"159"	"132"	"89"	"2"	"3"	"71"	"2"	"2"	"3"	"3"	"1"	"4"	"1"	"10"	"9"	"282"	"19"	"501"
"160"	"133"	"345"	"5"	"6"	"47"	"10"	"3"	"4"	"1"	"5"	"4"	"4"	"9"	"6"	"116"	"18"	"583"
"161"	"134"	"323"	"1"	"0"	"84"	"6"	"0"	"1"	"5"	"2"	"4"	"4"	"7"	"11"	"103"	"14"	"565"
"162"	"135"	"250"	"3"	"4"	"24"	"8"	"3"	"1"	"2"	"1"	"7"	"0"	"2"	"6"	"41"	"18"	"370"
"163"	"136"	"235"	"7"	"7"	"60"	"8"	"6"	"1"	"6"	"5"	"7"	"0"	"9"	"9"	"71"	"7"	"438"
"164"	"137"	"94"	"1"	"8"	"152"	"15"	"2"	"2"	"3"	"4"	"4"	"3"	"18"	"18"	"97"	"11"	"432"
"165"	"138"	"70"	"1"	"0"	"13"	"148"	"0"	"0"	"2"	"0"	"0"	"1"	"6"	"1"	"1"	"4"	"247"
"166"	"139"	"493"	"7"	"5"	"33"	"9"	"2"	"0"	"4"	"2"	"8"	"3"	"5"	"9"	"100"	"42"	"722"
"167"	"140"	"230"	"5"	"2"	"42"	"6"	"3"	"5"	"1"	"4"	"0"	"5"	"5"	"9"	"109"	"16"	"442"
"168"	"140A"	"222"	"2"	"4"	"36"	"5"	"1"	"0"	"2"	"3"	"6"	"5"	"3"	"9"	"114"	"13"	"425"
"169"	"141"	"171"	"4"	"7"	"224"	"11"	"0"	"2"	"4"	"6"	"5"	"3"	"27"	"11"	"104"	"18"	"597"
"170"	"BOOTH NO"	"ANNU SHUKLA"	"CHANDRA MOHAN CHANCHAL"	"DEONARAYAN PRASAD"	"BINOD KUMAR PANJIYAR"	"BHARAT PRASAD SINGH"	"JAINANDA N RAI"	"GYANENDRA KUMAR SINGH"	"NAVAL KISHOR JHA"	"RANWEER KUMAR RAJAN"	"RUPESH KUMAR SINGH"	"VINOD KUMAR OJHA"	"ABHITABH KUMAR KAMLESH"	"TRIBHUVAN RAI"	"RAJ KUMAR SAH"	"SATYANARAI N THAKUR"	"Total Valid Votes"
"171"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"172"	"142"	"177"	"8"	"11"	"276"	"61"	"7"	"6"	"7"	"13"	"2"	"6"	"43"	"17"	"173"	"27"	"834"
"173"	"143"	"51"	"0"	"0"	"234"	"10"	"0"	"1"	"3"	"2"	"3"	"3"	"25"	"10"	"15"	"4"	"361"
"174"	"144"	"177"	"1"	"1"	"17"	"15"	"1"	"2"	"1"	"1"	"3"	"0"	"1"	"0"	"11"	"10"	"241"
"175"	"145"	"214"	"1"	"2"	"112"	"104"	"3"	"7"	"3"	"1"	"8"	"9"	"17"	"15"	"41"	"30"	"567"
