"Total.No..of.Electors.in.Assembly.Constituency."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"71"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"110"	"29"	"111"	"12"	"1"	"2"	"220"	"5"	"7"	"2"	"2"	"1"	"5"	"6"	"2"	"1"	"16"	"393"
"111"	"30"	"143"	"7"	"5"	"3"	"418"	"4"	"10"	"10"	"1"	"1"	"3"	"3"	"5"	"4"	"12"	"629"
"112"	"31"	"37"	"12"	"5"	"1"	"536"	"8"	"3"	"6"	"1"	"3"	"6"	"5"	"4"	"4"	"25"	"656"
"113"	"32"	"38"	"18"	"1"	"2"	"330"	"5"	"2"	"7"	"0"	"1"	"2"	"3"	"2"	"5"	"13"	"429"
"114"	"33"	"133"	"8"	"1"	"2"	"484"	"5"	"8"	"21"	"3"	"2"	"6"	"10"	"4"	"4"	"34"	"725"
"115"	"34"	"258"	"10"	"10"	"4"	"436"	"5"	"5"	"3"	"2"	"3"	"13"	"7"	"8"	"4"	"37"	"805"
"116"	"35"	"47"	"3"	"7"	"2"	"303"	"3"	"2"	"8"	"1"	"2"	"1"	"2"	"1"	"3"	"9"	"394"
"117"	"36"	"173"	"3"	"1"	"4"	"203"	"1"	"1"	"1"	"0"	"0"	"4"	"3"	"5"	"1"	"12"	"412"
"118"	"37"	"209"	"4"	"8"	"3"	"451"	"7"	"16"	"10"	"6"	"1"	"11"	"3"	"5"	"18"	"20"	"772"
"119"	"38"	"213"	"32"	"1"	"2"	"56"	"1"	"21"	"1"	"3"	"3"	"3"	"0"	"5"	"3"	"20"	"364"
"120"	"38A"	"316"	"18"	"3"	"4"	"115"	"4"	"13"	"3"	"1"	"3"	"1"	"0"	"0"	"2"	"4"	"487"
"121"	"39"	"158"	"15"	"5"	"2"	"344"	"5"	"34"	"9"	"4"	"1"	"1"	"3"	"5"	"6"	"10"	"602"
"122"	"40"	"109"	"5"	"0"	"3"	"347"	"6"	"22"	"14"	"1"	"15"	"3"	"9"	"2"	"5"	"14"	"555"
"123"	"41"	"49"	"37"	"2"	"0"	"223"	"3"	"3"	"0"	"2"	"1"	"2"	"5"	"7"	"1"	"14"	"349"
"124"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"125"	"43"	"15"	"15"	"3"	"4"	"216"	"7"	"36"	"3"	"1"	"1"	"4"	"2"	"1"	"2"	"7"	"317"
"126"	"44"	"142"	"29"	"39"	"5"	"429"	"9"	"10"	"7"	"2"	"3"	"11"	"7"	"7"	"3"	"13"	"716"
"127"	"45"	"45"	"8"	"46"	"2"	"180"	"3"	"1"	"0"	"2"	"0"	"0"	"3"	"3"	"2"	"5"	"300"
"128"	"46"	"91"	"4"	"16"	"0"	"237"	"5"	"52"	"7"	"5"	"3"	"14"	"6"	"7"	"12"	"9"	"468"
"129"	"47"	"212"	"21"	"1"	"0"	"128"	"1"	"17"	"5"	"1"	"0"	"6"	"5"	"2"	"3"	"11"	"413"
"130"	"48"	"111"	"59"	"0"	"1"	"227"	"1"	"6"	"4"	"1"	"0"	"2"	"2"	"0"	"2"	"4"	"420"
"131"	"49"	"124"	"41"	"3"	"4"	"251"	"5"	"3"	"6"	"5"	"3"	"10"	"3"	"8"	"5"	"7"	"478"
"132"	"50"	"89"	"71"	"4"	"3"	"138"	"2"	"2"	"7"	"3"	"1"	"2"	"3"	"7"	"6"	"23"	"361"
"133"	"51"	"202"	"11"	"53"	"1"	"87"	"1"	"5"	"5"	"0"	"3"	"2"	"0"	"6"	"2"	"8"	"386"
"134"	"52"	"77"	"13"	"1"	"1"	"160"	"7"	"5"	"3"	"1"	"10"	"12"	"8"	"2"	"1"	"9"	"310"
"135"	"53"	"59"	"8"	"2"	"1"	"300"	"3"	"35"	"10"	"3"	"6"	"10"	"3"	"1"	"3"	"5"	"449"
"136"	"54"	"133"	"7"	"34"	"4"	"128"	"3"	"2"	"4"	"4"	"56"	"11"	"1"	"3"	"2"	"18"	"410"
"137"	"55"	"254"	"11"	"5"	"1"	"291"	"3"	"9"	"6"	"4"	"5"	"6"	"5"	"7"	"3"	"22"	"632"
"138"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"179"	"56"	"11"	"40"	"2"	"0"	"318"	"9"	"1"	"3"	"1"	"2"	"6"	"7"	"0"	"1"	"18"	"419"
"180"	"57"	"348"	"42"	"2"	"1"	"116"	"5"	"6"	"8"	"4"	"45"	"9"	"7"	"4"	"11"	"18"	"626"
"181"	"58"	"333"	"9"	"3"	"0"	"194"	"2"	"1"	"6"	"2"	"0"	"4"	"7"	"3"	"11"	"18"	"593"
"182"	"59"	"71"	"6"	"2"	"3"	"222"	"3"	"57"	"9"	"3"	"6"	"10"	"1"	"3"	"1"	"16"	"413"
"183"	"60"	"56"	"20"	"1"	"5"	"414"	"5"	"3"	"6"	"3"	"4"	"9"	"7"	"7"	"2"	"16"	"558"
"184"	"61"	"310"	"12"	"2"	"4"	"48"	"2"	"2"	"0"	"0"	"1"	"1"	"3"	"6"	"3"	"32"	"426"
"185"	"62"	"113"	"3"	"1"	"3"	"172"	"5"	"3"	"2"	"2"	"3"	"6"	"2"	"4"	"2"	"12"	"333"
"186"	"63"	"15"	"25"	"2"	"0"	"277"	"1"	"1"	"3"	"1"	"0"	"6"	"3"	"0"	"9"	"1"	"344"
"187"	"64"	"168"	"9"	"1"	"1"	"215"	"3"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"4"	"8"	"416"
"188"	"65"	"313"	"49"	"8"	"2"	"242"	"4"	"8"	"5"	"2"	"17"	"12"	"3"	"6"	"7"	"28"	"706"
"189"	"66"	"171"	"8"	"0"	"0"	"51"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"238"
"190"	"67"	"194"	"13"	"24"	"6"	"302"	"11"	"10"	"4"	"9"	"3"	"20"	"11"	"5"	"3"	"28"	"643"
"191"	"68"	"52"	"3"	"3"	"1"	"409"	"2"	"27"	"4"	"1"	"0"	"8"	"4"	"0"	"1"	"2"	"517"
"192"	"69"	"95"	"11"	"9"	"1"	"522"	"11"	"9"	"6"	"3"	"3"	"2"	"5"	"39"	"4"	"16"	"736"
"193"	"70"	"127"	"4"	"1"	"2"	"168"	"2"	"1"	"1"	"2"	"2"	"3"	"0"	"5"	"0"	"12"	"330"
"194"	"71"	"96"	"3"	"3"	"0"	"201"	"6"	"0"	"1"	"0"	"1"	"3"	"2"	"3"	"1"	"8"	"328"
"195"	"72"	"202"	"15"	"11"	"3"	"216"	"7"	"5"	"5"	"5"	"0"	"6"	"12"	"9"	"8"	"40"	"544"
"196"	"73"	"298"	"14"	"4"	"1"	"181"	"10"	"4"	"4"	"5"	"7"	"10"	"7"	"3"	"5"	"43"	"596"
"197"	"74"	"334"	"3"	"3"	"3"	"170"	"2"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"2"	"8"	"533"
"198"	"75"	"245"	"10"	"7"	"4"	"258"	"5"	"0"	"4"	"2"	"3"	"9"	"9"	"8"	"5"	"24"	"593"
"199"	"76"	"125"	"28"	"0"	"0"	"93"	"1"	"7"	"6"	"0"	"0"	"2"	"2"	"3"	"0"	"5"	"272"
"200"	"77"	"146"	"24"	"0"	"0"	"241"	"4"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"9"	"431"
"201"	"77A"	"157"	"19"	"29"	"0"	"167"	"0"	"3"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"387"
"202"	"78"	"116"	"1"	"0"	"2"	"95"	"3"	"0"	"6"	"0"	"0"	"4"	"3"	"1"	"1"	"4"	"236"
"203"	"79"	"214"	"6"	"5"	"0"	"415"	"3"	"0"	"4"	"1"	"1"	"4"	"1"	"2"	"4"	"18"	"678"
"204"	"80"	"239"	"9"	"2"	"3"	"218"	"3"	"0"	"7"	"1"	"1"	"5"	"2"	"3"	"4"	"8"	"505"
"205"	"81"	"248"	"16"	"3"	"2"	"57"	"1"	"0"	"3"	"1"	"0"	"0"	"3"	"2"	"0"	"9"	"345"
"206"	"82"	"113"	"32"	"7"	"2"	"389"	"6"	"11"	"5"	"3"	"5"	"9"	"8"	"4"	"3"	"18"	"615"
"207"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"248"	"83"	"244"	"4"	"63"	"4"	"135"	"5"	"1"	"4"	"0"	"2"	"5"	"3"	"5"	"3"	"22"	"500"
"249"	"84"	"96"	"7"	"3"	"3"	"322"	"2"	"4"	"3"	"0"	"1"	"2"	"3"	"2"	"2"	"23"	"473"
"250"	"85"	"268"	"9"	"1"	"2"	"91"	"7"	"1"	"4"	"2"	"0"	"7"	"2"	"12"	"5"	"37"	"448"
"251"	"86"	"181"	"14"	"2"	"5"	"193"	"7"	"10"	"8"	"1"	"3"	"3"	"4"	"4"	"6"	"20"	"461"
"252"	"87"	"190"	"18"	"4"	"3"	"166"	"4"	"1"	"3"	"1"	"0"	"2"	"2"	"6"	"1"	"15"	"416"
"253"	"88"	"139"	"2"	"2"	"1"	"139"	"2"	"4"	"1"	"2"	"2"	"10"	"9"	"6"	"4"	"12"	"335"
"254"	"89"	"42"	"1"	"0"	"5"	"503"	"3"	"25"	"4"	"2"	"4"	"5"	"4"	"2"	"2"	"12"	"614"
