"BOOTH.NO"	"UPENDRA.SAHANI"	"MAHAMMED.UMAR.SAIFULLAH.KHAN"	"RADHA.MOHAN.SINGH"	"RAMCHANDRA.SAHANI"	"VIJAY.PRASAD.GUPTA"	"BEMISAL.PRAVIN"	"ARJUN.SINGH.BHARTIY"	"MD..AINULLAH"	"PREMCHANDRA.PRASAD.YADAV"	"RAMBABU.CHAUDHARY"	"TOTAL"
"79"	71	3	32	2	11	34	7	11	423	11	4	538
"80"	72	0	9	0	0	36	0	11	132	2	3	193
"81"	73	10	8	66	47	96	12	58	260	32	18	607
"82"	74	23	3	17	321	145	7	51	17	4	4	592
"83"	75	26	12	30	209	38	13	149	24	7	6	514
"84"	76	8	11	9	96	53	4	11	23	10	8	233
"85"	77	11	79	17	193	21	8	292	66	6	9	702
"86"	78	28	37	4	90	74	5	68	57	24	14	401
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12
"89"	79	14	10	15	193	95	15	32	52	46	12	484
"90"	80	3	4	30	96	19	0	5	130	5	8	300
"91"	81	3	117	13	170	38	4	29	50	2	9	435
"92"	82	8	30	7	120	25	3	49	29	2	1	274
"93"	83	39	36	42	155	33	9	24	72	1	2	413
"94"	84	19	54	20	111	25	8	38	135	4	8	422
"95"	85	36	42	4	13	25	2	2	24	3	31	182
"96"	86	7	256	16	34	82	7	17	162	3	12	596
"97"	87	4	6	5	11	304	9	2	3	25	3	372
"98"	88	26	15	130	335	198	18	9	15	12	27	785
"99"	89	24	18	24	142	313	25	48	17	5	10	626
"100"	90	29	55	17	382	18	11	184	23	14	26	759
"101"	91	14	113	75	91	16	4	73	38	4	7	435
"102"	92	14	50	22	126	62	2	45	4	5	3	333
"103"	93	40	136	114	248	20	10	32	81	10	13	704
"104"	94	10	17	31	114	23	2	19	11	2	2	231
"105"	95	20	314	21	169	174	15	6	11	5	2	737
"106"	96	26	31	33	174	118	9	50	8	7	20	476
"107"	97	15	43	18	216	33	9	80	8	31	0	453
"108"	98	43	18	6	94	8	5	10	0	2	2	188
"109"	99	128	25	73	163	47	9	109	9	4	6	573
"110"	100	31	45	25	151	30	8	129	87	25	4	535
"111"	101	76	40	6	79	58	1	0	0	4	9	273
"112"	102	28	163	13	126	102	10	93	11	4	2	552
"113"	103	15	178	12	210	107	6	19	4	1	5	557
"114"	104	70	71	13	248	32	2	10	5	9	13	473
"115"	105	52	55	9	259	110	9	37	1	36	10	578
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12
"118"	106	96	25	6	133	207	7	5	32	9	6	526
"119"	107	42	45	8	196	117	10	5	2	11	10	446
"120"	108	20	54	9	233	107	7	23	2	1	2	458
"121"	109	28	111	10	221	123	10	7	95	7	8	620
"122"	110	30	37	2	170	28	4	45	5	1	0	322
"123"	111	162	39	19	69	150	14	151	28	10	4	646
"124"	112	47	50	6	50	163	15	114	4	5	7	461
"125"	113	55	60	8	315	145	15	3	2	2	5	610
"126"	114	26	313	19	80	55	8	5	6	7	13	532
"127"	115	12	118	9	241	281	5	7	13	8	4	698
"128"	116	70	34	6	164	191	11	51	67	5	8	607
"129"	117	3	61	6	134	137	5	17	7	1	3	374
"130"	118	6	103	5	52	154	10	6	1	7	1	345
"131"	119	16	6	10	261	215	7	3	3	2	4	527
"132"	120	7	2	8	138	138	10	6	3	5	7	324
"133"	121	5	33	9	126	211	9	1	3	10	5	412
"134"	122	154	44	18	310	152	13	22	9	7	4	733
"135"	123	11	47	10	328	233	10	7	11	6	6	669
"136"	124	57	38	10	314	163	9	16	4	16	5	632
"137"	125	6	1	9	208	16	8	3	3	6	8	268
"138"	126	6	3	3	67	122	1	2	1	3	0	208
"139"	127	463	4	6	99	4	3	0	1	1	0	581
"140"	128	80	6	12	392	195	9	14	5	14	9	736
"141"	129	78	6	17	535	65	16	15	8	4	8	752
"142"	130	94	20	10	449	36	12	4	10	4	13	652
"143"	131	60	20	20	340	267	26	20	7	13	30	803
"144"	132	16	5	20	294	122	9	4	58	5	6	539
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12
"147"	133	26	22	34	96	81	5	48	99	3	5	419
"148"	NA	6	8	20	147	150	7	41	63	3	3	448
"149"	134	11	26	11	141	38	6	14	269	11	8	535
"150"	NA	46	16	5	55	46	3	7	305	3	8	494
"151"	135	17	7	8	293	90	2	19	55	1	4	496
"152"	NA	9	54	9	83	60	1	2	194	2	6	420
"153"	136	4	65	9	22	239	3	6	174	4	4	530
"154"	137	11	50	34	415	318	15	11	43	16	12	925
"155"	138	5	140	15	96	347	8	3	58	4	17	693
"156"	139	27	67	12	322	211	7	22	116	11	8	803
"157"	140	9	39	8	380	184	5	4	7	4	2	642
"158"	141	7	55	9	100	67	1	1	69	0	0	309
"159"	142	17	11	18	466	186	5	10	167	5	2	887
"160"	143	12	200	20	145	207	6	2	96	4	4	696
"161"	144	42	33	9	395	245	6	24	4	3	4	765
"162"	145	5	35	5	434	200	5	15	6	3	4	712
"163"	146	6	37	17	289	230	14	76	18	5	5	697
"164"	147	20	104	6	95	178	6	25	42	2	3	481
"165"	148	43	33	3	36	79	1	3	106	9	6	319
"166"	149	3	59	8	152	125	2	92	76	2	1	520
"167"	150	17	53	9	128	265	13	25	76	8	5	599
"168"	151	11	45	2	78	123	4	42	182	5	5	497
"169"	152	13	120	4	258	224	6	6	20	2	5	658
"170"	153	19	48	20	268	414	19	30	10	7	11	846
"171"	154	1	53	4	32	56	1	1	17	2	5	172
"172"	155	11	27	8	231	263	14	10	16	6	7	593
"173"	156	7	40	7	391	178	14	22	26	6	23	714
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12
"176"	157	4	7	3	184	361	15	15	89	8	16	702
"177"	158	24	129	9	174	226	9	4	83	4	9	671
"178"	159	78	56	13	187	232	18	8	98	11	10	711
"179"	160	14	15	24	400	216	10	3	6	1	1	690
"180"	161	18	37	5	172	78	2	1	93	4	9	419
"181"	162	1	4	4	165	19	1	2	5	0	3	204
"182"	163	4	16	8	192	103	9	62	2	2	3	401
"183"	164	23	8	8	399	124	16	23	14	5	13	633
"184"	165	10	7	13	97	278	28	11	115	2	9	570
"185"	166	11	2	8	225	227	7	6	46	5	3	540
"186"	NA	18	10	9	206	196	12	20	64	8	2	545
"187"	167	4	22	10	172	95	9	19	70	6	9	416
"188"	168	30	16	29	270	218	16	6	110	10	13	718
"189"	169	12	50	12	219	246	7	14	98	8	12	678
"190"	170	2	16	8	237	43	13	8	81	0	4	412
"191"	171	7	197	12	44	23	4	5	359	7	11	669
"192"	172	11	14	27	394	170	17	98	51	4	13	799
"193"	173	20	81	8	231	205	8	72	11	7	8	651
"194"	174	45	81	11	139	151	10	10	76	9	16	548
"195"	175	2	30	5	80	131	5	16	56	14	2	341
"196"	176	28	19	16	232	212	13	6	3	4	4	537
"197"	177	20	37	12	189	366	19	7	5	6	9	670
"198"	178	19	22	20	325	407	30	9	20	7	17	876
"199"	179	39	8	8	271	192	8	4	14	4	2	550
"200"	180	8	230	9	163	76	12	81	5	18	9	611
"201"	181	6	32	2	108	289	19	11	3	24	4	498
"202"	182	25	71	7	157	134	2	21	7	8	6	438
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12
"205"	183	12	13	7	281	117	5	9	10	4	1	459
"206"	184	19	29	6	148	111	13	16	44	9	2	397
"207"	185	4	47	5	127	112	7	25	4	7	8	346
"208"	186	6	47	7	146	140	8	18	43	0	4	419
"209"	187	4	3	9	284	364	11	7	10	3	1	696
"210"	188	9	47	7	203	212	12	2	77	1	5	575
"211"	189	11	6	6	268	199	7	3	0	1	0	501
"212"	NA	10	7	6	126	298	20	6	21	7	5	506
"213"	190	9	85	20	73	190	15	33	75	3	7	510
"214"	191	22	137	31	129	203	25	59	13	6	8	633
"215"	192	3	111	21	100	167	12	25	14	3	8	464
"216"	193	18	16	15	132	113	19	178	7	5	7	510
"217"	194	11	25	10	146	335	12	86	4	3	9	641
"218"	195	7	17	7	307	261	22	13	10	11	13	668
"219"	196	18	10	37	202	173	27	31	31	7	5	541
"220"	197	12	11	19	440	88	11	19	70	9	15	694
"221"	198	4	8	3	68	5	1	27	0	0	0	116
"222"	199	22	4	28	269	149	17	4	9	8	7	517
"223"	NA	9	9	4	193	161	11	7	6	1	6	407
"224"	200	63	6	9	219	224	8	2	0	0	2	533
"225"	201	19	9	12	353	180	20	6	5	6	11	621
"226"	202	185	43	16	349	191	11	3	15	6	7	826
"227"	203	56	18	13	206	180	7	3	8	1	2	494
"228"	204	9	180	18	60	82	10	6	5	2	2	374
"229"	205	7	6	8	231	49	5	8	3	1	2	320
"230"	206	4	32	3	21	144	7	4	29	8	3	255
"231"	207	14	38	16	323	224	19	35	24	3	4	700
"232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	1	2	3	4	5	6	7	8	9	10	11	12
"234"	208	15	47	30	127	108	10	8	3	4	19	371
"235"	209	36	13	14	279	239	16	11	4	4	3	619
"236"	NA	5272	10922	6062	39021	26642	2236	10697	8890	2036	1589	113367
"237"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	NA	0	0	0	0	0	0	0	0	0	0	0
"239"	NA	5272	10922	6062	39021	26642	2236	10697	8890	2036	1589	113367
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"242"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
