"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"104&  gFkqv k  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"13"	"8"	"11"	"7"	"35"	"44"	"237"	"12"	"1"	"1"	"2"	"0"	"0"	""	"5"	"1"	"4"	"5"	"2"	"5"	"2"	"374"	""	"374"	""
"14"	"9"	"1"	"10"	"13"	"107"	"233"	"5"	"2"	"8"	"0"	"4"	"3"	""	"17"	"10"	"14"	"9"	"7"	"0"	"4"	"447"	""	"447"	""
"15"	"10"	"18"	"9"	"16"	"115"	"105"	"7"	"4"	"11"	"3"	"11"	"5"	""	"10"	"18"	"8"	"16"	"13"	"0"	"5"	"374"	""	"374"	""
"16"	"11"	"7"	"3"	"8"	"122"	"116"	"1"	"4"	"2"	"1"	"1"	"0"	""	"3"	"0"	"5"	"1"	"3"	"6"	"2"	"285"	""	"285"	""
"17"	"12"	"4"	"5"	"8"	"25"	"136"	"3"	"1"	"3"	"0"	"1"	"2"	""	"8"	"4"	"0"	"1"	"1"	"0"	"0"	"202"	""	"202"	""
"18"	"13"	"33"	"16"	"8"	"78"	"236"	"6"	"1"	"1"	"2"	"1"	"3"	""	"10"	"2"	"10"	"1"	"4"	"7"	"2"	"421"	""	"421"	""
"19"	"14"	"12"	"8"	"35"	"136"	"98"	"3"	"0"	"4"	"0"	"1"	"3"	""	"1"	"7"	"7"	"2"	"11"	"1"	"3"	"332"	""	"332"	""
"20"	"; ksx"	"163"	"118"	"253"	"1996"	"2223"	"63"	"32"	"55"	"27"	"55"	"61"	""	"140"	"96"	"95"	"72"	"111"	"44"	"43"	"5647"	""	"5647"	""
"21"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"22"	"d qy  ; ksx"	"163"	"118"	"253"	"1996"	"2223"	"63"	"32"	"55"	"27"	"55"	"61"	""	"140"	"96"	"95"	"72"	"111"	"44"	"43"	"5647"	""	"5647"	""
"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"25"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn
fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"26"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"27"	"15"	"16"	"6"	"18"	"221"	"146"	"7"	"4"	"1"	"1"	"6"	"6"	""	"18"	"9"	"12"	"5"	"21"	"12"	"14"	"523"	""	"523"	""
"28"	"16"	"4"	"9"	"140"	"402"	"156"	"4"	"1"	"2"	"3"	"3"	"3"	""	"5"	"11"	"3"	"2"	"9"	"2"	"3"	"762"	""	"762"	""
"29"	"17"	"19"	"21"	"23"	"281"	"173"	"4"	"1"	"2"	"3"	"5"	"40"	""	"5"	"4"	"6"	"3"	"3"	"5"	"4"	"602"	""	"602"	""
"30"	"18"	"2"	"3"	"39"	"130"	"52"	"1"	"0"	"2"	"1"	"0"	"1"	""	"6"	"1"	"2"	"1"	"2"	"2"	"0"	"245"	""	"245"	""
"31"	"19"	"32"	"10"	"35"	"336"	"63"	"1"	"1"	"0"	"1"	"2"	"1"	""	"3"	"2"	"4"	"3"	"4"	"5"	"3"	"506"	""	"506"	""
"32"	"20"	"8"	"7"	"11"	"165"	"70"	"0"	"1"	"1"	"0"	"0"	"0"	""	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"270"	""	"270"	""
"33"	"21"	"8"	"9"	"31"	"210"	"53"	"1"	"1"	"1"	"0"	"2"	"3"	""	"7"	"6"	"5"	"7"	"9"	"1"	"1"	"355"	""	"355"	""
"34"	"22"	"4"	"10"	"3"	"125"	"254"	"2"	"3"	"3"	"1"	"5"	"5"	""	"9"	"20"	"7"	"8"	"8"	"4"	"3"	"474"	""	"474"	""
"35"	"23"	"65"	"22"	"34"	"95"	"353"	"6"	"1"	"5"	"4"	"4"	"37"	""	"35"	"6"	"13"	"5"	"26"	"4"	"0"	"715"	""	"715"	""
"36"	"24"	"20"	"14"	"24"	"262"	"328"	"12"	"6"	"12"	"1"	"8"	"10"	""	"24"	"15"	"7"	"6"	"20"	"3"	"3"	"775"	""	"775"	""
"37"	"25"	"9"	"4"	"11"	"106"	"124"	"3"	"1"	"3"	"0"	"0"	"0"	""	"4"	"3"	"6"	"1"	"7"	"5"	"0"	"287"	""	"287"	""
"38"	"26"	"28"	"11"	"57"	"190"	"291"	"4"	"1"	"1"	"1"	"4"	"4"	""	"4"	"5"	"9"	"3"	"2"	"5"	"3"	"623"	""	"623"	""
"39"	"27"	"21"	"13"	"61"	"160"	"136"	"13"	"1"	"1"	"1"	"8"	"3"	""	"16"	"9"	"6"	"9"	"9"	"7"	"1"	"475"	""	"475"	""
"40"	"28"	"27"	"12"	"7"	"194"	"125"	"6"	"6"	"6"	"4"	"4"	"60"	""	"22"	"8"	"16"	"5"	"5"	"10"	"7"	"524"	""	"524"	""
"41"	"; ksx"	"263"	"151"	"494"	"2877"	"2324"	"64"	"28"	"40"	"21"	"51"	"173"	""	"158"	"100"	"97"	"59"	"125"	"67"	"44"	"7136"	""	"7136"	""
"42"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"163"	"118"	"253"	"1996"	"2223"	"63"	"32"	"55"	"27"	"55"	"61"	""	"140"	"96"	"95"	"72"	"111"	"44"	"43"	"5647"	""	"5647"	""
"43"	"d qy  ; ksx"	"426"	"269"	"747"	"4873"	"4547"	"127"	"60"	"95"	"48"	"106"	"234"	""	"298"	"196"	"192"	"131"	"236"	"111"	"87"	"12783"	""	"12783"	""
"44"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"45"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"46"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"47"	"29"	"2"	"1"	"19"	"273"	"91"	"1"	"1"	"4"	"1"	"2"	"2"	""	"11"	"14"	"3"	"6"	"4"	"3"	"1"	"439"	""	"439"	""
"48"	"30"	"15"	"5"	"17"	"240"	"338"	"8"	"1"	"6"	"1"	"4"	"5"	""	"4"	"4"	"11"	"2"	"10"	"9"	"4"	"684"	""	"684"	""
"49"	"31"	"34"	"14"	"32"	"246"	"164"	"4"	"6"	"6"	"2"	"5"	"4"	""	"32"	"12"	"15"	"10"	"24"	"9"	"15"	"634"	""	"634"	""
"50"	"32"	"10"	"11"	"10"	"308"	"235"	"11"	"4"	"4"	"3"	"9"	"5"	""	"30"	"14"	"5"	"4"	"15"	"3"	"7"	"688"	""	"688"	""
"51"	"33"	"6"	"4"	"119"	"114"	"13"	"0"	"0"	"0"	"2"	"2"	"0"	""	"2"	"2"	"3"	"1"	"6"	"0"	"0"	"274"	""	"274"	""
"52"	"34"	"55"	"2"	"18"	"79"	"32"	"0"	"0"	"2"	"0"	"1"	"1"	""	"19"	"0"	"1"	"2"	"2"	"3"	"0"	"217"	""	"217"	""
"53"	"35"	"39"	"7"	"38"	"480"	"48"	"3"	"3"	"4"	"1"	"2"	"2"	""	"20"	"18"	"10"	"4"	"6"	"0"	"1"	"686"	""	"686"	""
"54"	"36"	"80"	"6"	"8"	"29"	"185"	"2"	"0"	"0"	"0"	"0"	"2"	""	"15"	"5"	"13"	"2"	"9"	"1"	"0"	"357"	""	"357"	""
"55"	"37"	"113"	"3"	"16"	"120"	"69"	"0"	"0"	"2"	"0"	"2"	"2"	""	"9"	"3"	"4"	"7"	"13"	"4"	"2"	"369"	""	"369"	""
"56"	"37¼d½"	"61"	"9"	"11"	"244"	"49"	"2"	"4"	"2"	"3"	"5"	"2"	""	"3"	"3"	"10"	"7"	"20"	"4"	"1"	"440"	""	"440"	""
"57"	"38"	"49"	"12"	"95"	"55"	"72"	"5"	"5"	"4"	"1"	"2"	"4"	""	"0"	"5"	"14"	"10"	"13"	"0"	"0"	"346"	""	"346"	""
"58"	"39"	"13"	"9"	"122"	"9"	"79"	"1"	"3"	"1"	"1"	"1"	"5"	""	"7"	"4"	"16"	"3"	"2"	"0"	"0"	"276"	""	"276"	""
"59"	"40"	"11"	"20"	"63"	"150"	"284"	"5"	"2"	"5"	"4"	"2"	"8"	""	"26"	"13"	"25"	"9"	"32"	"4"	"13"	"676"	""	"676"	""
"60"	"41"	"13"	"4"	"276"	"36"	"47"	"4"	"4"	"3"	"1"	"2"	"3"	""	"54"	"4"	"21"	"5"	"17"	"0"	"2"	"496"	""	"496"	""
"61"	"; ksx"	"501"	"107"	"844"	"2383"	"1706"	"46"	"33"	"43"	"20"	"39"	"45"	""	"232"	"101"	"151"	"72"	"173"	"40"	"46"	"6582"	""	"6582"	""
"62"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"426"	"269"	"747"	"4873"	"4547"	"127"	"60"	"95"	"48"	"106"	"234"	""	"298"	"196"	"152"	"131"	"236"	"111"	"87"	"12783"	""	"12783"	""
"63"	"d qy  ; ksx"	"927"	"376"	"1591"	"7256"	"6253"	"173"	"93"	"138"	"68"	"145"	"279"	""	"530"	"297"	"303"	"203"	"409"	"151"	"133"	"19365"	""	"19365"	""
"64"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"65"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"66"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"67"	"42"	"10"	"9"	"31"	"123"	"281"	"4"	"1"	"9"	"2"	"1"	"2"	""	"19"	"3"	"1"	"7"	"1"	"2"	"1"	"507"	""	"507"	""
"68"	"43"	"8"	"17"	"15"	"107"	"67"	"3"	"4"	"2"	"0"	"4"	"6"	""	"34"	"5"	"6"	"3"	"3"	"0"	"0"	"284"	""	"284"	""
"69"	"44"	"2"	"9"	"27"	"54"	"165"	"3"	"2"	"2"	"1"	"0"	"1"	""	"5"	"0"	"2"	"2"	"3"	"1"	"5"	"284"	""	"284"	""
"70"	"45"	"34"	"14"	"59"	"142"	"80"	"0"	"4"	"9"	"1"	"1"	"5"	""	"13"	"1"	"12"	"2"	"9"	"2"	"1"	"389"	""	"389"	""
"71"	"46"	"7"	"6"	"274"	"63"	"110"	"8"	"4"	"13"	"2"	"3"	"12"	""	"11"	"16"	"26"	"8"	"23"	"5"	"15"	"606"	""	"606"	""
"72"	"47"	"29"	"14"	"58"	"111"	"191"	"7"	"2"	"5"	"2"	"1"	"11"	""	"7"	"6"	"10"	"2"	"0"	"5"	"4"	"465"	""	"465"	""
"73"	"48"	"24"	"22"	"133"	"48"	"124"	"8"	"1"	"3"	"1"	"6"	"2"	""	"7"	"8"	"12"	"7"	"21"	"1"	"7"	"435"	""	"435"	""
"74"	"49"	"9"	"21"	"40"	"152"	"247"	"8"	"9"	"10"	"5"	"7"	"12"	""	"48"	"16"	"13"	"8"	"15"	"5"	"12"	"637"	""	"637"	""
"75"	"50"	"10"	"7"	"15"	"224"	"189"	"7"	"0"	"3"	"5"	"3"	"2"	""	"24"	"8"	"7"	"4"	"10"	"7"	"3"	"528"	""	"528"	""
"76"	"51"	"15"	"8"	"6"	"51"	"138"	"2"	"2"	"3"	"1"	"3"	"6"	""	"62"	"2"	"2"	"2"	"5"	"2"	"2"	"312"	""	"312"	""
"77"	"52"	"26"	"6"	"14"	"435"	"216"	"9"	"3"	"9"	"0"	"4"	"8"	""	"18"	"8"	"13"	"6"	"7"	"1"	"1"	"784"	""	"784"	""
"78"	"53"	"21"	"14"	"17"	"320"	"382"	"4"	"5"	"8"	"3"	"5"	"40"	""	"27"	"8"	"9"	"2"	"8"	"4"	"1"	"878"	""	"878"	""
"79"	"54"	"11"	"16"	"15"	"216"	"145"	"3"	"1"	"2"	"0"	"2"	"3"	""	"8"	"11"	"8"	"6"	"13"	"0"	"4"	"464"	""	"464"	""
"80"	"55"	"17"	"9"	"56"	"157"	"139"	"7"	"3"	"9"	"5"	"5"	"8"	""	"18"	"18"	"9"	"6"	"20"	"2"	"4"	"492"	""	"492"	""
"81"	"; ksx"	"223"	"172"	"760"	"2203"	"2474"	"73"	"41"	"87"	"28"	"45"	"118"	""	"301"	"110"	"130"	"65"	"138"	"37"	"60"	"7065"	""	"7065"	""
"82"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"927"	"376"	"1591"	"7256"	"6253"	"173"	"93"	"138"	"68"	"145"	"279"	""	"530"	"297"	"303"	"203"	"409"	"191"	"133"	"19365"	""	"19365"	""
"83"	"d qy  ; ksx"	"1150"	"548"	"2351"	"9459"	"8727"	"246"	"134"	"225"	"96"	"190"	"397"	""	"831"	"407"	"433"	"268"	"547"	"228"	"193"	"26430"	""	"26430"	""
"84"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"85"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"86"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"87"	"56"	"26"	"11"	"18"	"159"	"105"	"3"	"3"	"1"	"1"	"0"	"7"	""	"25"	"11"	"7"	"5"	"11"	"3"	"5"	"401"	""	"401"	""
"88"	"57"	"58"	"17"	"58"	"46"	"256"	"6"	"3"	"3"	"4"	"4"	"8"	""	"17"	"5"	"30"	"5"	"17"	"3"	"9"	"549"	""	"549"	""
"89"	"58"	"19"	"19"	"21"	"116"	"334"	"0"	"4"	"4"	"1"	"2"	"9"	""	"5"	"7"	"20"	"0"	"8"	"11"	"5"	"585"	""	"585"	""
"90"	"59"	"25"	"16"	"20"	"100"	"246"	"6"	"4"	"6"	"1"	"2"	"6"	""	"11"	"4"	"19"	"4"	"8"	"0"	"1"	"479"	""	"479"	""
"91"	"60"	"8"	"7"	"6"	"343"	"412"	"18"	"1"	"1"	"4"	"3"	"10"	""	"27"	"14"	"10"	"3"	"17"	"3"	"7"	"894"	""	"894"	""
"92"	"61"	"39"	"16"	"11"	"151"	"306"	"6"	"3"	"8"	"4"	"4"	"8"	""	"19"	"9"	"2"	"1"	"5"	"2"	"2"	"596"	""	"596"	""
"93"	"62"	"10"	"15"	"10"	"155"	"412"	"7"	"1"	"12"	"4"	"8"	"7"	""	"34"	"10"	"13"	"4"	"17"	"9"	"4"	"732"	""	"732"	""
"94"	"63"	"18"	"7"	"56"	"150"	"306"	"2"	"3"	"10"	"0"	"4"	"9"	""	"51"	"16"	"16"	"12"	"30"	"5"	"2"	"697"	""	"697"	""
"95"	"64"	"51"	"21"	"20"	"64"	"368"	"5"	"5"	"3"	"3"	"2"	"20"	""	"21"	"11"	"21"	"3"	"18"	"2"	"8"	"646"	""	"646"	""
"96"	"65"	"63"	"13"	"11"	"71"	"369"	"6"	"3"	"10"	"5"	"4"	"13"	""	"19"	"11"	"11"	"2"	"10"	"11"	"6"	"638"	""	"638"	""
"97"	"66"	"56"	"11"	"7"	"115"	"114"	"6"	"0"	"1"	"1"	"1"	"0"	""	"5"	"4"	"14"	"1"	"4"	"4"	"2"	"346"	""	"346"	""
"98"	"66¼d½"	"65"	"12"	"7"	"59"	"160"	"5"	"4"	"1"	"0"	"0"	"2"	""	"8"	"4"	"12"	"0"	"10"	"6"	"3"	"358"	""	"358"	""
"99"	"67"	"46"	"24"	"23"	"76"	"121"	"2"	"2"	"5"	"2"	"0"	"12"	""	"73"	"12"	"32"	"5"	"25"	"3"	"3"	"466"	""	"466"	""
"100"	"68"	"14"	"10"	"3"	"24"	"85"	"0"	"5"	"3"	"6"	"0"	"5"	""	"92"	"3"	"7"	"5"	"13"	"3"	"2"	"280"	""	"280"	""
"101"	"; ksx"	"498"	"199"	"271"	"1629"	"3594"	"72"	"41"	"68"	"36"	"34"	"116"	""	"407"	"121"	"214"	"50"	"193"	"65"	"59"	"7667"	""	"7667"	""
"102"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"1150"	"548"	"2351"	"9459"	"8727"	"246"	"134"	"225"	"96"	"190"	"397"	""	"831"	"407"	"433"	"268"	"547"	"188"	"193"	"26430"	""	"26430"	""
"103"	"d qy  ; ksx"	"1648"	"747"	"2622"	"11088"	"12321"	"318"	"175"	"293"	"132"	"224"	"513"	""	"1238"	"528"	"647"	"318"	"740"	"253"	"252"	"34057"	""	"34057"	""
"104"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"105"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"107"	"69"	"4"	"5"	"110"	"100"	"44"	"1"	"2"	"2"	"2"	"2"	"3"	""	"20"	"3"	"8"	"1"	"2"	"4"	"4"	"317"	""	"317"	""
"108"	"70"	"49"	"7"	"5"	"26"	"96"	"0"	"0"	"3"	"1"	"2"	"0"	""	"63"	"1"	"7"	"1"	"7"	"1"	"0"	"269"	""	"269"	""
"109"	"71"	"18"	"8"	"21"	"124"	"85"	"1"	"1"	"4"	"1"	"1"	"3"	""	"32"	"5"	"6"	"8"	"10"	"2"	"9"	"339"	""	"339"	""
"110"	"72"	"77"	"16"	"10"	"42"	"123"	"3"	"2"	"1"	"1"	"1"	"1"	""	"73"	"9"	"8"	"3"	"16"	"3"	"3"	"392"	""	"392"	""
"111"	"73"	"16"	"9"	"1"	"25"	"90"	"2"	"2"	"5"	"0"	"1"	"4"	""	"231"	"7"	"8"	"4"	"1"	"19"	"22"	"447"	""	"447"	""
"112"	"74"	"12"	"21"	"14"	"81"	"271"	"10"	"9"	"25"	"1"	"8"	"10"	""	"45"	"16"	"29"	"5"	"23"	"1"	"2"	"583"	""	"583"	""
"113"	"75"	"10"	"12"	"6"	"222"	"205"	"3"	"1"	"6"	"1"	"4"	"4"	""	"11"	"6"	"8"	"3"	"11"	"1"	"3"	"517"	""	"517"	""
"114"	"76"	"10"	"15"	"36"	"180"	"218"	"6"	"6"	"4"	"2"	"5"	"6"	""	"7"	"8"	"19"	"11"	"14"	"0"	"1"	"548"	""	"548"	""
"115"	"77"	"3"	"5"	"13"	"77"	"87"	"1"	"0"	"0"	"1"	"0"	"8"	""	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"202"	""	"202"	""
"116"	"78"	"11"	"17"	"89"	"213"	"136"	"3"	"6"	"7"	"4"	"6"	"17"	""	"17"	"20"	"16"	"10"	"17"	"2"	"7"	"598"	""	"598"	""
"117"	"79"	"70"	"15"	"12"	"142"	"143"	"6"	"0"	"2"	"0"	"2"	"0"	""	"4"	"4"	"2"	"1"	"1"	"4"	"0"	"408"	""	"408"	""
"118"	"80"	"16"	"6"	"9"	"98"	"145"	"3"	"1"	"1"	"2"	"1"	"3"	""	"9"	"5"	"1"	"1"	"2"	"2"	"3"	"308"	""	"308"	""
"119"	"81"	"178"	"20"	"7"	"127"	"201"	"3"	"0"	"6"	"3"	"2"	"3"	""	"17"	"8"	"1"	"6"	"6"	"4"	"2"	"594"	""	"594"	""
"120"	"82"	"23"	"1"	"5"	"27"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	""	"7"	"3"	"10"	"1"	"1"	"1"	"0"	"196"	""	"196"	""
"121"	"; ksx"	"497"	"157"	"338"	"1484"	"1961"	"42"	"30"	"66"	"19"	"35"	"62"	""	"537"	"95"	"125"	"57"	"112"	"45"	"56"	"5718"	""	"5718"	""
