"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"65"	"59"	"110"	"9"	"112"	"72"	"12"	"24"	"339"
"66"	"60"	"35"	"6"	"513"	"36"	"4"	"5"	"599"
"67"	"61"	"124"	"7"	"305"	"13"	"7"	"10"	"466"
"68"	"62"	"47"	"6"	"262"	"25"	"5"	"24"	"369"
"69"	"63"	"162"	"7"	"108"	"11"	"5"	"14"	"307"
"70"	"64"	"147"	"13"	"194"	"32"	"8"	"13"	"407"
"71"	"65"	"293"	"21"	"180"	"47"	"22"	"34"	"597"
"72"	"66"	"191"	"12"	"210"	"84"	"6"	"17"	"520"
"73"	"67"	"252"	"13"	"218"	"121"	"22"	"20"	"646"
"74"	"68"	"192"	"12"	"130"	"25"	"7"	"14"	"380"
"75"	"68A"	"105"	"11"	"170"	"20"	"8"	"14"	"328"
"76"	"69"	"377"	"24"	"38"	"13"	"13"	"40"	"505"
"77"	"70"	"490"	"29"	"53"	"17"	"15"	"73"	"677"
"78"	"71"	"185"	"20"	"293"	"106"	"22"	"63"	"689"
"79"	"72"	"63"	"6"	"317"	"58"	"12"	"19"	"475"
"80"	"73"	"63"	"7"	"130"	"36"	"3"	"8"	"247"
"81"	"74"	"394"	"11"	"77"	"63"	"11"	"22"	"578"
"82"	"75"	"329"	"7"	"54"	"113"	"12"	"23"	"538"
"83"	"76"	"87"	"4"	"281"	"51"	"12"	"8"	"443"
"84"	"76A"	"43"	"10"	"263"	"44"	"10"	"13"	"383"
"85"	"77"	"129"	"10"	"153"	"117"	"10"	"36"	"455"
"86"	"78"	"282"	"32"	"306"	"85"	"16"	"29"	"750"
"87"	"79"	"41"	"8"	"189"	"105"	"6"	"4"	"353"
"88"	"80"	"191"	"8"	"93"	"21"	"4"	"13"	"330"
"89"	"81"	"287"	"14"	"21"	"38"	"4"	"13"	"377"
"90"	"82"	"86"	"9"	"180"	"29"	"2"	"4"	"310"
"91"	"82A"	"73"	"11"	"189"	"20"	"8"	"7"	"308"
"92"	"83"	"115"	"9"	"317"	"75"	"20"	"42"	"578"
"93"	"84"	"153"	"16"	"303"	"97"	"11"	"25"	"605"
"94"	"85"	"110"	"19"	"205"	"45"	"18"	"16"	"413"
"95"	"86"	"94"	"13"	"361"	"28"	"14"	"19"	"529"
"96"	"87"	"90"	"14"	"417"	"60"	"19"	"25"	"625"
"97"	"88"	"180"	"18"	"266"	"31"	"19"	"10"	"524"
"98"	"89"	"125"	"6"	"173"	"144"	"51"	"7"	"506"
"99"	"90"	"71"	"5"	"182"	"42"	"55"	"18"	"373"
"100"	"91"	"70"	"11"	"302"	"72"	"8"	"20"	"483"
"101"	"92"	"55"	"4"	"152"	"30"	"10"	"11"	"262"
"102"	"93"	"141"	"7"	"203"	"47"	"19"	"29"	"446"
"103"	"94"	"235"	"25"	"237"	"44"	"15"	"22"	"578"
"104"	"95"	"264"	"6"	"126"	"57"	"78"	"22"	"553"
"105"	"96"	"114"	"10"	"253"	"57"	"26"	"16"	"476"
"106"	"97"	"111"	"7"	"305"	"41"	"27"	"36"	"527"
"107"	"98"	"68"	"10"	"174"	"34"	"13"	"10"	"309"
"108"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"109"	"100"	"32"	"8"	"289"	"101"	"6"	"7"	"443"
"110"	"101"	"72"	"7"	"321"	"143"	"12"	"2"	"557"
"111"	"102"	"76"	"6"	"336"	"64"	"9"	"9"	"500"
"112"	"103"	"223"	"17"	"257"	"26"	"13"	"42"	"578"
"113"	"104"	"142"	"20"	"247"	"74"	"17"	"15"	"515"
"114"	"105"	"375"	"31"	"160"	"68"	"13"	"29"	"676"
"115"	"106"	"30"	"6"	"161"	"61"	"9"	"20"	"287"
"116"	"106A"	"76"	"4"	"64"	"101"	"3"	"11"	"259"
"117"	"107"	"214"	"17"	"127"	"135"	"13"	"39"	"545"
"118"	"108"	"378"	"11"	"49"	"61"	"10"	"14"	"523"
"119"	"109"	"0"	"0"	"1"	"0"	"0"	"0"	"1"
"120"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"121"	"111"	"50"	"7"	"282"	"145"	"15"	"12"	"511"
"122"	"112"	"62"	"5"	"326"	"43"	"6"	"14"	"456"
"123"	"113"	"69"	"13"	"139"	"52"	"18"	"16"	"307"
"124"	"114"	"20"	"6"	"182"	"108"	"4"	"5"	"325"
"125"	"115"	"24"	"2"	"207"	"38"	"8"	"22"	"301"
"126"	"116"	"64"	"4"	"344"	"46"	"17"	"23"	"498"
"127"	"117"	"22"	"2"	"129"	"7"	"1"	"4"	"165"
"128"	"118"	"83"	"11"	"230"	"191"	"17"	"10"	"542"
"129"	"119"	"217"	"15"	"69"	"66"	"11"	"9"	"387"
"130"	"120"	"162"	"17"	"302"	"88"	"13"	"30"	"612"
"131"	"121"	"87"	"7"	"236"	"150"	"15"	"21"	"516"
"132"	"122"	"51"	"8"	"221"	"91"	"19"	"33"	"423"
"133"	"122A"	"16"	"7"	"238"	"80"	"12"	"9"	"362"
"134"	"123"	"101"	"6"	"144"	"79"	"6"	"18"	"354"
"135"	"124"	"222"	"15"	"239"	"65"	"22"	"20"	"583"
"136"	"125"	"121"	"7"	"88"	"31"	"6"	"17"	"270"
"137"	"126"	"129"	"14"	"144"	"60"	"10"	"10"	"367"
"138"	"127"	"254"	"16"	"51"	"69"	"15"	"10"	"415"
"139"	"128"	"189"	"13"	"252"	"33"	"5"	"9"	"501"
"140"	"129"	"137"	"18"	"259"	"101"	"12"	"35"	"562"
"141"	"130"	"133"	"12"	"293"	"104"	"13"	"11"	"566"
"142"	"131"	"151"	"14"	"199"	"86"	"14"	"13"	"477"
"143"	"132"	"250"	"22"	"84"	"23"	"13"	"11"	"403"
"144"	"133"	"98"	"18"	"299"	"61"	"20"	"23"	"519"
"145"	"134"	"155"	"6"	"82"	"18"	"2"	"10"	"273"
"146"	"135"	"425"	"8"	"78"	"28"	"5"	"10"	"554"
"147"	"136"	"96"	"10"	"121"	"76"	"10"	"8"	"321"
"148"	"137"	"375"	"19"	"90"	"132"	"14"	"17"	"647"
"149"	"138"	"176"	"18"	"152"	"69"	"10"	"27"	"452"
"150"	"139"	"226"	"9"	"172"	"62"	"11"	"11"	"491"
"151"	"140"	"158"	"13"	"256"	"51"	"10"	"22"	"510"
"152"	"141"	"94"	"6"	"142"	"10"	"5"	"5"	"262"
"153"	"142"	"129"	"10"	"218"	"80"	"9"	"6"	"452"
"154"	"143"	"304"	"16"	"134"	"13"	"11"	"19"	"497"
"155"	"144"	"119"	"8"	"410"	"38"	"13"	"15"	"603"
"156"	"145"	"65"	"6"	"94"	"5"	"4"	"1"	"175"
"157"	"146"	"173"	"5"	"127"	"38"	"2"	"5"	"350"
"158"	"147"	"318"	"10"	"56"	"24"	"7"	"10"	"425"
"159"	"148"	"158"	"4"	"131"	"51"	"10"	"13"	"367"
"160"	"149"	"153"	"9"	"181"	"76"	"13"	"16"	"448"
"161"	"150"	"16"	"3"	"73"	"43"	"5"	"5"	"145"
"162"	"151"	"525"	"20"	"90"	"38"	"9"	"15"	"697"
"163"	"152"	"191"	"13"	"218"	"48"	"7"	"24"	"501"
"164"	"153"	"158"	"16"	"232"	"51"	"11"	"19"	"487"
"165"	"154"	"277"	"18"	"152"	"30"	"11"	"14"	"502"
"166"	"155"	"231"	"4"	"19"	"38"	"6"	"9"	"307"
"167"	"156"	"326"	"9"	"56"	"62"	"12"	"16"	"481"
"168"	"157"	"137"	"6"	"95"	"30"	"3"	"10"	"281"
"169"	"158"	"207"	"6"	"212"	"33"	"13"	"11"	"482"
"170"	"158A"	"68"	"5"	"204"	"21"	"1"	"4"	"303"
"171"	"159"	"115"	"7"	"237"	"48"	"9"	"5"	"421"
"172"	"160"	"118"	"7"	"131"	"35"	"1"	"7"	"299"
"173"	"161"	"176"	"9"	"188"	"69"	"10"	"15"	"467"
"174"	"162"	"169"	"16"	"225"	"52"	"9"	"16"	"487"
"175"	"163"	"40"	"2"	"83"	"35"	"6"	"8"	"174"
"176"	"164"	"204"	"2"	"16"	"11"	"2"	"5"	"240"
"177"	"165"	"282"	"11"	"133"	"23"	"15"	"16"	"480"
"178"	"166"	"253"	"16"	"186"	"24"	"7"	"24"	"510"
"179"	"167"	"44"	"6"	"231"	"54"	"5"	"5"	"345"
"180"	"168"	"316"	"7"	"135"	"33"	"9"	"7"	"507"
"181"	"169"	"60"	"6"	"156"	"70"	"3"	"11"	"306"
"182"	"170"	"82"	"8"	"359"	"96"	"7"	"11"	"563"
"183"	"171"	"118"	"5"	"88"	"40"	"7"	"12"	"270"
"184"	"172"	"139"	"10"	"174"	"62"	"16"	"24"	"425"
"185"	"173"	"197"	"7"	"114"	"37"	"9"	"28"	"392"
"186"	"174"	"349"	"41"	"216"	"81"	"28"	"27"	"742"
"187"	"175"	"436"	"11"	"219"	"51"	"6"	"12"	"735"
"188"	"176"	"371"	"10"	"156"	"82"	"17"	"37"	"673"
"189"	"177"	"249"	"11"	"168"	"91"	"14"	"10"	"543"
"190"	"178"	"496"	"16"	"33"	"17"	"8"	"20"	"590"
"191"	"179"	"111"	"9"	"136"	"10"	"3"	"7"	"276"
"192"	"180"	"100"	"4"	"130"	"12"	"3"	"2"	"251"
"193"	"181"	"194"	"7"	"179"	"28"	"7"	"13"	"428"
"194"	"182"	"68"	"4"	"180"	"75"	"2"	"3"	"332"
"195"	"183"	"342"	"24"	"248"	"52"	"17"	"27"	"710"
"196"	"184"	"330"	"26"	"118"	"29"	"13"	"24"	"540"
"197"	"185"	"168"	"19"	"323"	"93"	"25"	"21"	"649"
"198"	"186"	"156"	"10"	"275"	"98"	"6"	"3"	"548"
"199"	"187"	"86"	"6"	"198"	"119"	"2"	"6"	"417"
"200"	"188"	"64"	"5"	"216"	"92"	"6"	"3"	"386"
"201"	"189"	"187"	"7"	"151"	"80"	"6"	"7"	"438"
"202"	"190"	"185"	"20"	"122"	"82"	"19"	"17"	"445"
"203"	"191"	"292"	"12"	"296"	"108"	"23"	"31"	"762"
"204"	"192"	"247"	"23"	"143"	"45"	"19"	"22"	"499"
"205"	"193"	"189"	"13"	"386"	"69"	"24"	"69"	"750"
"206"	"194"	"289"	"13"	"98"	"40"	"17"	"19"	"476"
"207"	"195"	"277"	"21"	"124"	"23"	"11"	"24"	"480"
"208"	"196"	"114"	"8"	"116"	"195"	"7"	"5"	"445"
"209"	"197"	"139"	"3"	"100"	"37"	"10"	"16"	"305"
"210"	"198"	"489"	"17"	"129"	"74"	"20"	"46"	"775"
"211"	"199"	"528"	"25"	"107"	"66"	"20"	"35"	"781"
"212"	"200"	"444"	"16"	"59"	"19"	"12"	"23"	"573"
"213"	"201"	"277"	"24"	"139"	"43"	"18"	"27"	"528"
"214"	"202"	"310"	"19"	"371"	"36"	"19"	"28"	"783"
"215"	"203"	"352"	"23"	"286"	"59"	"4"	"14"	"738"
"216"	"204"	"374"	"14"	"154"	"95"	"11"	"13"	"661"
"217"	"205"	"267"	"10"	"81"	"48"	"8"	"21"	"435"
"218"	"206"	"149"	"7"	"371"	"57"	"15"	"28"	"627"
"219"	"207"	"168"	"14"	"477"	"53"	"8"	"19"	"739"
"220"	"208"	"267"	"14"	"448"	"41"	"15"	"28"	"813"
"221"	"209"	"78"	"6"	"283"	"35"	"4"	"7"	"413"
"222"	"210"	"56"	"9"	"205"	"30"	"4"	"10"	"314"
"223"	"211"	"264"	"11"	"349"	"49"	"20"	"43"	"736"
"224"	"212"	"87"	"7"	"214"	"42"	"7"	"6"	"363"
"225"	"213"	"148"	"5"	"268"	"33"	"5"	"4"	"463"
"226"	"213A"	"99"	"3"	"312"	"25"	"4"	"7"	"450"
"227"	"214"	"152"	"8"	"421"	"104"	"11"	"18"	"714"
"228"	"215"	"55"	"7"	"482"	"48"	"3"	"8"	"603"
"229"	"216"	"106"	"6"	"528"	"51"	"6"	"15"	"712"
"230"	"217"	"123"	"17"	"267"	"35"	"1"	"1"	"444"
"231"	"218"	"65"	"9"	"342"	"20"	"6"	"3"	"445"
"232"	"219"	"80"	"9"	"350"	"29"	"2"	"5"	"475"
"233"	"220"	"277"	"7"	"413"	"53"	"13"	"13"	"776"
"234"	"221"	"216"	"9"	"421"	"64"	"9"	"11"	"730"
"235"	"222"	"60"	"3"	"356"	"127"	"7"	"8"	"561"
"236"	"223"	"152"	"12"	"351"	"67"	"17"	"34"	"633"
"237"	"224"	"303"	"22"	"394"	"68"	"19"	"36"	"842"
"238"	"225"	"442"	"27"	"342"	"50"	"25"	"26"	"912"
"239"	"226"	"321"	"20"	"402"	"36"	"11"	"17"	"807"
"240"	"227"	"275"	"6"	"187"	"60"	"7"	"13"	"548"
"241"	"228"	"253"	"7"	"43"	"47"	"6"	"8"	"364"
"242"	"229"	"284"	"7"	"118"	"21"	"8"	"28"	"466"
"243"	"230"	"229"	"14"	"203"	"58"	"22"	"38"	"564"
"244"	"231"	"135"	"8"	"257"	"24"	"10"	"11"	"445"
"245"	"232"	"252"	"16"	"323"	"82"	"14"	"22"	"709"
"246"	"233"	"189"	"6"	"147"	"26"	"6"	"3"	"377"
"247"	"234"	"75"	"9"	"256"	"17"	"6"	"6"	"369"
"248"	"235"	"115"	"7"	"319"	"31"	"9"	"2"	"483"
"249"	"236"	"199"	"4"	"225"	"17"	"10"	"12"	"467"
"250"	"237"	"234"	"16"	"123"	"38"	"6"	"6"	"423"
"251"	"238"	"344"	"23"	"283"	"54"	"12"	"14"	"730"
"252"	"239"	"60"	"1"	"169"	"60"	"1"	"2"	"293"
"253"	"240"	"335"	"19"	"207"	"64"	"20"	"18"	"663"
"254"	"241"	"132"	"7"	"263"	"40"	"8"	"31"	"481"
"255"	"242"	"199"	"17"	"137"	"26"	"12"	"18"	"409"
"256"	"243"	"85"	"5"	"236"	"53"	"3"	"7"	"389"
"257"	"244"	"123"	"17"	"296"	"46"	"15"	"14"	"511"
"258"	"245"	"183"	"15"	"407"	"45"	"13"	"7"	"670"
"259"	"246"	"265"	"13"	"288"	"47"	"13"	"19"	"645"
"260"	"247"	"119"	"15"	"245"	"240"	"19"	"30"	"668"
"261"	"248"	"402"	"21"	"164"	"162"	"18"	"22"	"789"
"262"	"249"	"228"	"26"	"286"	"222"	"22"	"21"	"805"
"263"	"250"	"226"	"7"	"357"	"49"	"14"	"30"	"683"
"264"	"251"	"266"	"12"	"198"	"37"	"2"	"6"	"521"
"265"	"252"	"141"	"21"	"254"	"112"	"8"	"15"	"551"
"266"	"Total:"	"45811"	"3011"	"57924"	"13914"	"2873"	"4369"	"127902"
"267"	"Postal Ballot"	"0"	"0"	"6"	"0"	"0"	"0"	"6"
"268"	"Grand Total:"	"45811"	"3011"	"57930"	"13914"	"2873"	"4369"	"127908"
"269"	"Place:"	""	""	""	""	""	""	""
"270"	"Date: 24/11/2010"	""	""	""	""	""	""	""
"271"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""
