"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO BIHAR LEGISLATIVE ASSEMBLY FORM THE 041-NIRMALI CONSTITUENCY NO OF VALID VOTES CASTE IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"136"	"115"	"223"	"82"	"3"	"6"	"154"	"3"	"3"	"9"	"8"	"14"	"505"
"137"	"116"	"133"	"272"	"13"	"10"	"207"	"11"	"9"	"5"	"6"	"5"	"671"
"138"	"117"	"126"	"238"	"10"	"3"	"52"	"3"	"2"	"3"	"14"	"15"	"466"
"139"	"118"	"201"	"64"	"2"	"4"	"120"	"4"	"2"	"3"	"2"	"14"	"416"
"140"	"119"	"267"	"3"	"1"	"0"	"48"	"2"	"1"	"0"	"0"	"7"	"329"
"141"	"120"	"410"	"113"	"6"	"5"	"33"	"6"	"3"	"9"	"6"	"30"	"621"
"142"	"121"	"445"	"82"	"4"	"6"	"287"	"12"	"4"	"5"	"9"	"13"	"867"
"143"	"122"	"686"	"88"	"10"	"8"	"81"	"6"	"0"	"4"	"3"	"7"	"893"
"144"	"123"	"314"	"260"	"10"	"7"	"52"	"30"	"11"	"1"	"5"	"7"	"697"
"145"	"124"	"176"	"200"	"5"	"5"	"7"	"4"	"5"	"2"	"1"	"8"	"413"
"146"	"125"	"277"	"148"	"10"	"9"	"67"	"5"	"3"	"4"	"5"	"6"	"534"
"147"	"126"	"218"	"130"	"6"	"8"	"320"	"21"	"5"	"12"	"13"	"19"	"752"
"148"	"127"	"146"	"172"	"8"	"2"	"27"	"4"	"2"	"5"	"4"	"9"	"379"
"149"	"128"	"398"	"200"	"5"	"8"	"111"	"7"	"3"	"8"	"7"	"17"	"764"
"150"	"129"	"488"	"280"	"11"	"7"	"39"	"9"	"3"	"9"	"19"	"33"	"898"
"151"	"130"	"412"	"93"	"5"	"3"	"72"	"7"	"6"	"4"	"5"	"13"	"620"
"152"	"131"	"538"	"104"	"5"	"11"	"68"	"3"	"7"	"4"	"8"	"31"	"779"
"153"	"132"	"475"	"258"	"6"	"0"	"25"	"3"	"5"	"8"	"8"	"16"	"804"
"154"	"133"	"308"	"199"	"6"	"8"	"80"	"4"	"3"	"2"	"3"	"7"	"620"
"155"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"156"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"157"	"134"	"482"	"103"	"6"	"26"	"26"	"9"	"8"	"7"	"4"	"6"	"677"
"158"	"135"	"61"	"137"	"6"	"5"	"156"	"15"	"7"	"3"	"7"	"6"	"403"
"159"	"136"	"414"	"299"	"7"	"5"	"86"	"5"	"3"	"10"	"3"	"9"	"841"
"160"	"137"	"230"	"120"	"7"	"1"	"11"	"6"	"2"	"3"	"3"	"8"	"391"
"161"	"138"	"363"	"181"	"10"	"8"	"202"	"9"	"5"	"5"	"5"	"16"	"804"
"162"	"139"	"277"	"12"	"0"	"5"	"49"	"1"	"0"	"0"	"4"	"4"	"352"
"163"	"140"	"359"	"39"	"0"	"3"	"29"	"2"	"2"	"4"	"3"	"6"	"447"
"164"	"141"	"204"	"129"	"10"	"10"	"257"	"15"	"6"	"2"	"4"	"31"	"668"
"165"	"142"	"302"	"13"	"1"	"3"	"127"	"3"	"0"	"6"	"3"	"36"	"494"
"166"	"143"	"23"	"197"	"2"	"3"	"68"	"7"	"3"	"5"	"1"	"2"	"311"
"167"	"144"	"254"	"115"	"4"	"1"	"10"	"3"	"2"	"3"	"5"	"7"	"404"
"168"	"145"	"205"	"148"	"4"	"4"	"62"	"4"	"3"	"4"	"8"	"10"	"452"
"169"	"146"	"305"	"246"	"9"	"8"	"176"	"7"	"3"	"4"	"3"	"13"	"774"
"170"	"147"	"209"	"128"	"23"	"7"	"103"	"9"	"6"	"10"	"18"	"32"	"545"
"171"	"148"	"479"	"12"	"6"	"8"	"147"	"5"	"3"	"4"	"7"	"11"	"682"
"172"	"149"	"315"	"124"	"1"	"3"	"62"	"4"	"1"	"5"	"9"	"11"	"535"
"173"	"150"	"217"	"164"	"15"	"6"	"87"	"6"	"2"	"4"	"5"	"0"	"506"
"174"	"151"	"76"	"134"	"3"	"5"	"176"	"11"	"1"	"3"	"4"	"12"	"425"
"175"	"152"	"94"	"110"	"7"	"10"	"170"	"4"	"6"	"9"	"10"	"21"	"441"
"176"	"153"	"446"	"126"	"7"	"3"	"9"	"0"	"4"	"6"	"12"	"25"	"638"
"177"	"154"	"229"	"128"	"6"	"3"	"19"	"4"	"4"	"3"	"3"	"9"	"408"
"178"	"155"	"279"	"107"	"9"	"1"	"62"	"3"	"4"	"2"	"3"	"20"	"490"
"179"	"156"	"413"	"74"	"6"	"5"	"105"	"5"	"0"	"1"	"7"	"13"	"629"
"180"	"157"	"450"	"231"	"11"	"8"	"99"	"7"	"3"	"6"	"10"	"16"	"841"
"181"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"183"	"158"	"703"	"39"	"11"	"5"	"80"	"2"	"2"	"2"	"5"	"5"	"854"
"184"	"159"	"298"	"51"	"27"	"5"	"85"	"1"	"1"	"6"	"2"	"10"	"486"
"185"	"160"	"223"	"12"	"9"	"6"	"158"	"8"	"6"	"6"	"6"	"10"	"444"
"186"	"161"	"341"	"57"	"10"	"8"	"155"	"7"	"2"	"9"	"12"	"23"	"624"
"187"	"162"	"372"	"87"	"6"	"3"	"118"	"3"	"3"	"8"	"3"	"9"	"612"
"188"	"163"	"402"	"131"	"43"	"10"	"189"	"5"	"8"	"6"	"6"	"20"	"820"
"189"	"164"	"455"	"67"	"13"	"6"	"144"	"8"	"2"	"4"	"4"	"10"	"713"
"190"	"165"	"177"	"0"	"7"	"2"	"59"	"1"	"1"	"5"	"3"	"12"	"267"
"191"	"166"	"275"	"119"	"4"	"0"	"109"	"1"	"5"	"5"	"8"	"8"	"534"
"192"	"167"	"202"	"187"	"4"	"3"	"12"	"2"	"4"	"2"	"3"	"13"	"432"
"193"	"168"	"226"	"7"	"2"	"11"	"157"	"6"	"1"	"2"	"3"	"1"	"416"
"194"	"168A"	"197"	"36"	"10"	"7"	"202"	"6"	"6"	"5"	"7"	"10"	"486"
"195"	"169"	"442"	"20"	"2"	"4"	"38"	"2"	"2"	"3"	"34"	"11"	"558"
"196"	"170"	"77"	"355"	"8"	"2"	"70"	"2"	"1"	"2"	"8"	"7"	"532"
"197"	"171"	"249"	"352"	"11"	"4"	"63"	"3"	"1"	"1"	"7"	"26"	"717"
"198"	"172"	"480"	"30"	"10"	"9"	"88"	"5"	"0"	"4"	"60"	"9"	"695"
"199"	"173"	"330"	"220"	"7"	"2"	"44"	"3"	"2"	"4"	"19"	"27"	"658"
"200"	"174"	"336"	"182"	"5"	"7"	"21"	"3"	"2"	"5"	"13"	"21"	"595"
"201"	"175"	"169"	"30"	"3"	"5"	"155"	"6"	"0"	"6"	"2"	"13"	"389"
"202"	"176"	"470"	"171"	"13"	"4"	"59"	"10"	"5"	"10"	"9"	"28"	"779"
"203"	"177"	"230"	"252"	"14"	"3"	"141"	"6"	"6"	"9"	"35"	"39"	"735"
"204"	"178"	"257"	"29"	"3"	"2"	"36"	"3"	"3"	"4"	"10"	"13"	"360"
"205"	"179"	"419"	"151"	"10"	"3"	"59"	"10"	"4"	"10"	"15"	"26"	"707"
"206"	"180"	"209"	"94"	"8"	"2"	"106"	"13"	"3"	"8"	"15"	"30"	"488"
"207"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"209"	"181"	"335"	"22"	"3"	"3"	"49"	"5"	"1"	"2"	"2"	"12"	"434"
"210"	"182"	"443"	"80"	"9"	"11"	"73"	"5"	"3"	"8"	"1"	"7"	"640"
"211"	"183"	"211"	"23"	"5"	"6"	"249"	"12"	"4"	"2"	"4"	"12"	"528"
"212"	"184"	"374"	"20"	"3"	"6"	"134"	"2"	"1"	"2"	"1"	"8"	"551"
"213"	"185"	"529"	"124"	"10"	"6"	"89"	"5"	"4"	"1"	"5"	"6"	"779"
"214"	"186"	"337"	"27"	"4"	"4"	"224"	"2"	"0"	"3"	"5"	"20"	"626"
"215"	"187"	"243"	"234"	"6"	"3"	"24"	"1"	"3"	"5"	"2"	"3"	"524"
"216"	"188"	"609"	"27"	"1"	"8"	"192"	"2"	"5"	"3"	"4"	"17"	"868"
"217"	"189"	"446"	"15"	"66"	"8"	"217"	"7"	"3"	"7"	"10"	"22"	"801"
"218"	"190"	"522"	"24"	"68"	"4"	"208"	"7"	"2"	"6"	"1"	"3"	"845"
"219"	"191"	"472"	"173"	"6"	"3"	"83"	"1"	"2"	"6"	"7"	"25"	"778"
"220"	"192"	"489"	"75"	"7"	"6"	"81"	"4"	"3"	"3"	"5"	"9"	"682"
"221"	"193"	"715"	"28"	"16"	"7"	"143"	"8"	"3"	"9"	"6"	"25"	"960"
"222"	"194"	"382"	"271"	"8"	"5"	"28"	"7"	"4"	"5"	"11"	"16"	"737"
"223"	"195"	"255"	"75"	"1"	"0"	"26"	"0"	"0"	"0"	"3"	"3"	"363"
"224"	"196"	"643"	"35"	"18"	"8"	"101"	"5"	"3"	"2"	"7"	"14"	"836"
"225"	"197"	"142"	"297"	"6"	"4"	"10"	"0"	"3"	"5"	"3"	"6"	"476"
"226"	"198"	"416"	"160"	"5"	"4"	"41"	"3"	"0"	"8"	"2"	"10"	"649"
"227"	"199"	"153"	"85"	"6"	"10"	"456"	"13"	"6"	"5"	"7"	"3"	"744"
"228"	"200"	"464"	"15"	"6"	"3"	"106"	"3"	"2"	"1"	"2"	"12"	"614"
"229"	"201"	"326"	"14"	"3"	"5"	"203"	"11"	"6"	"6"	"1"	"14"	"589"
"230"	"202"	"359"	"138"	"11"	"11"	"155"	"3"	"4"	"5"	"5"	"13"	"704"
"231"	"203"	"404"	"103"	"8"	"11"	"219"	"14"	"5"	"10"	"12"	"32"	"818"
"232"	"204"	"177"	"15"	"2"	"9"	"278"	"8"	"1"	"0"	"3"	"5"	"498"
"233"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
