"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"23"	"17"	""	"254"	"11"	"11"	"271"	"9"	"16"	"9"	"9"	"5"	"10"	"2"	"5"	"10"	"622"
"24"	"18"	""	"347"	"7"	"13"	"30"	"2"	"20"	"5"	"2"	"3"	"9"	"5"	"0"	"7"	"450"
"25"	"19"	""	"396"	"8"	"6"	"61"	"0"	"15"	"6"	"18"	"7"	"9"	"9"	"7"	"14"	"556"
"26"	"20"	""	"170"	"4"	"6"	"35"	"0"	"5"	"1"	"7"	"0"	"8"	"3"	"3"	"14"	"256"
"27"	"21"	""	"39"	"5"	"1"	"165"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"216"
"28"	"22"	""	"8"	"1"	"6"	"236"	"0"	"1"	"5"	"0"	"1"	"2"	"2"	"1"	"8"	"271"
"29"	"23"	""	"100"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"106"
"30"	"24"	""	"138"	"4"	"4"	"89"	"1"	"13"	"2"	"3"	"1"	"3"	"3"	"0"	"1"	"262"
"31"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"32"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"33"	"25"	""	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"34"	"26"	""	"472"	"34"	"7"	"208"	"6"	"17"	"5"	"12"	"15"	"18"	"13"	"8"	"28"	"843"
"35"	"27"	""	"179"	"2"	"7"	"89"	"6"	"30"	"3"	"5"	"1"	"11"	"2"	"3"	"7"	"345"
"36"	"28"	""	"105"	"4"	"6"	"108"	"6"	"9"	"1"	"4"	"5"	"2"	"0"	"4"	"8"	"262"
"37"	"29"	""	"169"	"6"	"32"	"240"	"2"	"4"	"1"	"4"	"5"	"15"	"6"	"3"	"9"	"496"
"38"	"30"	""	"175"	"3"	"5"	"59"	"5"	"0"	"2"	"3"	"3"	"6"	"0"	"2"	"14"	"277"
"39"	"31"	""	"406"	"10"	"9"	"81"	"10"	"63"	"7"	"17"	"12"	"17"	"5"	"10"	"26"	"673"
"40"	"32"	""	"386"	"8"	"9"	"72"	"3"	"3"	"2"	"5"	"3"	"2"	"1"	"4"	"11"	"509"
"41"	"33"	""	"67"	"3"	"3"	"320"	"6"	"2"	"2"	"4"	"3"	"5"	"0"	"0"	"4"	"419"
"42"	"34"	""	"136"	"7"	"6"	"176"	"6"	"2"	"2"	"5"	"4"	"3"	"0"	"5"	"6"	"358"
"43"	"35"	""	"214"	"4"	"5"	"142"	"2"	"3"	"3"	"5"	"7"	"7"	"0"	"3"	"11"	"406"
"44"	"36"	""	"275"	"8"	"3"	"95"	"2"	"1"	"1"	"1"	"1"	"7"	"2"	"6"	"4"	"406"
"45"	"37"	""	"442"	"38"	"9"	"55"	"2"	"4"	"6"	"9"	"7"	"11"	"2"	"10"	"5"	"600"
"46"	"38"	""	"305"	"6"	"10"	"44"	"2"	"1"	"0"	"3"	"3"	"6"	"1"	"1"	"4"	"386"
"47"	"39"	""	"112"	"8"	"4"	"178"	"6"	"2"	"4"	"6"	"5"	"6"	"13"	"4"	"5"	"353"
"48"	"40"	""	"164"	"6"	"1"	"278"	"5"	"2"	"0"	"3"	"2"	"2"	"0"	"2"	"4"	"469"
"49"	"41"	""	"222"	"128"	"14"	"69"	"4"	"8"	"1"	"7"	"4"	"12"	"1"	"4"	"10"	"484"
"50"	"42"	""	"148"	"3"	"2"	"184"	"9"	"2"	"0"	"3"	"2"	"2"	"0"	"1"	"8"	"364"
"51"	"43"	""	"80"	"20"	"15"	"226"	"13"	"3"	"4"	"7"	"7"	"11"	"5"	"5"	"36"	"432"
"52"	"44"	""	"29"	"5"	"8"	"200"	"7"	"2"	"2"	"1"	"1"	"7"	"0"	"0"	"1"	"263"
"53"	"45"	""	"82"	"11"	"21"	"230"	"15"	"8"	"2"	"2"	"2"	"4"	"2"	"0"	"9"	"388"
"54"	"46"	""	"69"	"3"	"7"	"435"	"6"	"4"	"2"	"0"	"5"	"7"	"3"	"2"	"2"	"545"
"55"	"47"	""	"219"	"6"	"10"	"137"	"7"	"1"	"3"	"10"	"5"	"11"	"13"	"8"	"8"	"438"
"56"	"48"	""	"189"	"9"	"3"	"36"	"2"	"1"	"1"	"7"	"1"	"2"	"2"	"2"	"7"	"262"
"57"	"49"	""	"160"	"0"	"5"	"46"	"3"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"3"	"224"
"58"	"50"	""	"473"	"12"	"51"	"104"	"3"	"9"	"2"	"14"	"4"	"16"	"1"	"1"	"9"	"699"
"59"	"51"	""	"149"	"46"	"11"	"195"	"2"	"2"	"4"	"6"	"3"	"4"	"0"	"3"	"3"	"428"
"60"	"52"	""	"161"	"11"	"12"	"273"	"4"	"5"	"3"	"8"	"8"	"5"	"3"	"8"	"8"	"509"
"61"	"53"	""	"152"	"5"	"11"	"154"	"5"	"6"	"2"	"5"	"3"	"9"	"4"	"3"	"6"	"365"
"62"	"54"	""	"183"	"7"	"9"	"153"	"5"	"3"	"5"	"8"	"3"	"12"	"2"	"3"	"16"	"409"
"63"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"64"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"65"	"55"	""	"46"	"4"	"18"	"275"	"8"	"8"	"6"	"6"	"4"	"13"	"2"	"3"	"10"	"403"
"66"	"56"	""	"175"	"5"	"4"	"78"	"5"	"2"	"1"	"3"	"1"	"6"	"1"	"1"	"8"	"290"
"67"	"57"	""	"70"	"1"	"2"	"70"	"4"	"2"	"2"	"3"	"4"	"8"	"0"	"6"	"18"	"190"
"68"	"58"	""	"30"	"2"	"0"	"265"	"6"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"1"	"310"
"69"	"59"	""	"313"	"6"	"15"	"181"	"11"	"8"	"1"	"6"	"3"	"10"	"4"	"5"	"24"	"587"
"70"	"60"	""	"211"	"2"	"11"	"132"	"2"	"3"	"2"	"5"	"4"	"9"	"5"	"9"	"30"	"425"
"71"	"61"	""	"313"	"39"	"9"	"78"	"4"	"2"	"5"	"9"	"6"	"5"	"5"	"14"	"31"	"520"
"72"	"62"	""	"32"	"1"	"2"	"221"	"3"	"0"	"1"	"1"	"4"	"2"	"1"	"2"	"2"	"272"
"73"	"63"	""	"423"	"1"	"6"	"30"	"0"	"1"	"0"	"4"	"0"	"3"	"0"	"4"	"16"	"488"
"74"	"64"	""	"258"	"5"	"4"	"87"	"4"	"2"	"1"	"3"	"3"	"7"	"3"	"3"	"10"	"390"
"75"	"65"	""	"62"	"22"	"9"	"121"	"6"	"21"	"2"	"4"	"4"	"17"	"3"	"5"	"18"	"294"
"76"	"66"	""	"157"	"8"	"17"	"188"	"6"	"7"	"3"	"7"	"8"	"8"	"0"	"6"	"11"	"426"
"77"	"67"	""	"93"	"2"	"6"	"346"	"2"	"3"	"4"	"4"	"2"	"7"	"1"	"2"	"4"	"476"
"78"	"68"	""	"486"	"0"	"5"	"9"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"506"
"79"	"69"	""	"322"	"15"	"5"	"15"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"4"	"10"	"377"
"80"	"70"	""	"368"	"12"	"15"	"69"	"6"	"9"	"1"	"6"	"4"	"12"	"8"	"5"	"11"	"526"
"81"	"71"	""	"29"	"2"	"12"	"291"	"6"	"7"	"3"	"5"	"5"	"10"	"3"	"0"	"5"	"378"
"82"	"72"	""	"390"	"6"	"4"	"80"	"5"	"9"	"2"	"5"	"1"	"12"	"23"	"0"	"3"	"540"
"83"	"73"	""	"400"	"12"	"8"	"46"	"3"	"11"	"3"	"4"	"3"	"16"	"1"	"2"	"2"	"511"
"84"	"74"	""	"99"	"8"	"12"	"292"	"19"	"6"	"6"	"4"	"7"	"11"	"8"	"4"	"19"	"495"
"85"	"75"	""	"127"	"1"	"2"	"27"	"3"	"3"	"1"	"2"	"1"	"8"	"1"	"0"	"0"	"176"
"86"	"76"	""	"26"	"8"	"2"	"130"	"7"	"4"	"4"	"3"	"3"	"7"	"6"	"0"	"10"	"210"
"87"	"77"	""	"354"	"14"	"3"	"139"	"3"	"7"	"0"	"9"	"6"	"8"	"1"	"5"	"8"	"557"
"88"	"78"	""	"69"	"22"	"3"	"93"	"5"	"12"	"2"	"7"	"4"	"3"	"3"	"7"	"16"	"246"
"89"	"79"	""	"406"	"6"	"6"	"69"	"2"	"3"	"1"	"5"	"1"	"4"	"0"	"1"	"3"	"507"
"90"	"80"	""	"418"	"14"	"7"	"184"	"5"	"8"	"5"	"6"	"13"	"7"	"7"	"6"	"22"	"702"
"91"	"81"	""	"369"	"6"	"7"	"102"	"5"	"42"	"8"	"11"	"11"	"17"	"3"	"13"	"35"	"629"
"92"	"82"	""	"97"	"1"	"6"	"70"	"5"	"3"	"2"	"6"	"5"	"8"	"11"	"9"	"32"	"255"
"93"	"83"	""	"213"	"9"	"5"	"59"	"7"	"63"	"5"	"14"	"2"	"19"	"9"	"1"	"6"	"412"
"94"	"84"	""	"216"	"5"	"7"	"68"	"6"	"50"	"8"	"9"	"11"	"7"	"8"	"9"	"22"	"426"
"95"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"96"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"97"	"85"	""	"89"	"46"	"3"	"67"	"5"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"6"	"221"
"98"	"86"	""	"78"	"1"	"2"	"105"	"6"	"2"	"3"	"2"	"1"	"3"	"2"	"0"	"5"	"210"
"99"	"87"	""	"88"	"3"	"2"	"300"	"10"	"6"	"2"	"5"	"4"	"11"	"1"	"4"	"14"	"450"
"100"	"88"	""	"128"	"41"	"6"	"49"	"3"	"4"	"4"	"6"	"0"	"1"	"3"	"1"	"7"	"253"
"101"	"89"	""	"195"	"9"	"9"	"225"	"13"	"5"	"4"	"16"	"9"	"36"	"9"	"9"	"26"	"565"
"102"	"90"	""	"141"	"4"	"7"	"91"	"4"	"0"	"1"	"12"	"4"	"11"	"2"	"0"	"21"	"298"
"103"	"91"	""	"81"	"8"	"4"	"328"	"9"	"20"	"2"	"7"	"6"	"29"	"6"	"1"	"3"	"504"
"104"	"92"	""	"284"	"9"	"8"	"181"	"9"	"5"	"4"	"6"	"4"	"8"	"2"	"6"	"16"	"542"
"105"	"93"	""	"371"	"49"	"6"	"156"	"8"	"6"	"4"	"5"	"2"	"10"	"1"	"1"	"15"	"634"
"106"	"94"	""	"217"	"3"	"25"	"34"	"2"	"6"	"3"	"8"	"2"	"5"	"4"	"4"	"8"	"321"
"107"	"95"	""	"331"	"16"	"13"	"145"	"6"	"11"	"8"	"19"	"12"	"14"	"4"	"7"	"23"	"609"
"108"	"96"	""	"239"	"19"	"15"	"216"	"10"	"14"	"6"	"15"	"12"	"15"	"3"	"3"	"12"	"579"
"109"	"97"	""	"213"	"17"	"13"	"193"	"9"	"6"	"4"	"12"	"9"	"26"	"4"	"8"	"28"	"542"
"110"	"98"	""	"110"	"7"	"7"	"159"	"11"	"2"	"3"	"6"	"3"	"4"	"3"	"4"	"12"	"331"
"111"	"99"	""	"32"	"1"	"2"	"146"	"2"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"2"	"191"
"112"	"100"	""	"204"	"8"	"3"	"37"	"1"	"2"	"5"	"4"	"4"	"9"	"11"	"4"	"11"	"303"
"113"	"101"	""	"182"	"8"	"3"	"23"	"2"	"3"	"1"	"1"	"0"	"0"	"3"	"1"	"9"	"236"
"114"	"102"	""	"208"	"4"	"6"	"96"	"2"	"2"	"3"	"9"	"4"	"7"	"3"	"2"	"13"	"359"
"115"	"103"	""	"260"	"4"	"5"	"55"	"3"	"8"	"3"	"9"	"6"	"22"	"5"	"5"	"16"	"401"
"116"	"104"	""	"195"	"5"	"3"	"44"	"1"	"4"	"3"	"4"	"3"	"18"	"4"	"3"	"15"	"302"
"117"	"105"	""	"122"	"6"	"6"	"97"	"11"	"3"	"3"	"11"	"11"	"73"	"7"	"6"	"13"	"369"
"118"	"106"	""	"621"	"10"	"4"	"51"	"3"	"4"	"2"	"14"	"6"	"8"	"0"	"6"	"16"	"745"
"119"	"107"	""	"296"	"19"	"13"	"233"	"8"	"7"	"9"	"10"	"8"	"5"	"0"	"4"	"10"	"622"
"120"	"108"	""	"208"	"3"	"5"	"122"	"4"	"7"	"2"	"6"	"6"	"13"	"1"	"4"	"25"	"406"
"121"	"109"	""	"165"	"41"	"8"	"96"	"4"	"4"	"3"	"20"	"11"	"19"	"2"	"2"	"13"	"388"
"122"	"110"	""	"186"	"4"	"11"	"68"	"2"	"12"	"8"	"14"	"10"	"48"	"4"	"9"	"13"	"389"
"123"	"111"	""	"308"	"17"	"6"	"53"	"4"	"16"	"10"	"10"	"9"	"10"	"3"	"6"	"7"	"459"
"124"	"112"	""	"49"	"3"	"7"	"244"	"23"	"7"	"7"	"6"	"7"	"9"	"3"	"0"	"10"	"375"
"125"	"113"	""	"380"	"6"	"4"	"42"	"1"	"2"	"3"	"3"	"6"	"0"	"1"	"0"	"5"	"453"
"126"	"114"	""	"373"	"32"	"9"	"25"	"0"	"5"	"0"	"1"	"11"	"7"	"0"	"2"	"5"	"470"
"127"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"129"	"115"	""	"162"	"5"	"7"	"133"	"8"	"11"	"5"	"11"	"11"	"5"	"7"	"5"	"10"	"380"
"130"	"116"	""	"86"	"2"	"10"	"140"	"6"	"5"	"3"	"3"	"3"	"7"	"1"	"3"	"3"	"272"
"131"	"117"	""	"270"	"17"	"18"	"235"	"22"	"5"	"2"	"18"	"12"	"23"	"7"	"11"	"29"	"669"
"132"	"118"	""	"124"	"15"	"11"	"147"	"18"	"7"	"5"	"7"	"7"	"14"	"6"	"9"	"16"	"386"
"133"	"119"	""	"111"	"2"	"6"	"58"	"2"	"0"	"2"	"6"	"6"	"4"	"2"	"0"	"7"	"206"
"134"	"120"	""	"383"	"6"	"4"	"219"	"4"	"4"	"3"	"4"	"4"	"5"	"1"	"2"	"13"	"652"
"135"	"121"	""	"482"	"11"	"7"	"38"	"1"	"9"	"6"	"21"	"14"	"27"	"1"	"5"	"22"	"644"
"136"	"122"	""	"415"	"9"	"3"	"53"	"1"	"1"	"5"	"12"	"1"	"3"	"4"	"6"	"23"	"536"
"137"	"123"	""	"269"	"19"	"19"	"174"	"15"	"5"	"5"	"14"	"12"	"11"	"9"	"12"	"31"	"595"
"138"	"124"	""	"209"	"9"	"12"	"113"	"12"	"7"	"8"	"9"	"8"	"16"	"6"	"13"	"30"	"452"
"139"	"125"	""	"31"	"1"	"3"	"74"	"1"	"0"	"2"	"1"	"4"	"14"	"2"	"1"	"3"	"137"
"140"	"126"	""	"264"	"12"	"11"	"250"	"9"	"9"	"6"	"19"	"11"	"25"	"4"	"7"	"14"	"641"
"141"	"127"	""	"247"	"5"	"10"	"104"	"5"	"6"	"7"	"11"	"7"	"8"	"3"	"8"	"19"	"440"
"142"	"128"	""	"241"	"6"	"6"	"60"	"1"	"3"	"1"	"5"	"6"	"7"	"3"	"4"	"12"	"355"
"143"	"129"	""	"221"	"7"	"71"	"38"	"4"	"4"	"6"	"7"	"6"	"57"	"5"	"14"	"12"	"452"
"144"	"130"	""	"245"	"10"	"7"	"74"	"6"	"5"	"1"	"9"	"8"	"22"	"8"	"6"	"11"	"412"
"145"	"131"	""	"21"	"1"	"7"	"141"	"4"	"2"	"6"	"1"	"2"	"6"	"8"	"4"	"21"	"224"
"146"	"132"	""	"151"	"6"	"13"	"236"	"10"	"9"	"10"	"8"	"8"	"10"	"7"	"4"	"30"	"502"
"147"	"133"	""	"114"	"4"	"8"	"234"	"12"	"9"	"4"	"7"	"7"	"6"	"4"	"3"	"13"	"425"
"148"	"133"	"A"	"126"	"3"	"8"	"111"	"5"	"1"	"9"	"9"	"7"	"5"	"1"	"8"	"10"	"303"
"149"	"134"	""	"357"	"6"	"10"	"50"	"6"	"0"	"1"	"2"	"2"	"6"	"3"	"3"	"7"	"453"
"150"	"135"	""	"82"	"5"	"9"	"191"	"12"	"2"	"6"	"6"	"3"	"4"	"2"	"2"	"4"	"328"
"151"	"136"	""	"209"	"2"	"11"	"14"	"3"	"1"	"1"	"3"	"3"	"1"	"0"	"3"	"6"	"257"
"152"	"137"	""	"344"	"13"	"6"	"100"	"2"	"3"	"4"	"14"	"5"	"26"	"3"	"8"	"18"	"546"
"153"	"138"	""	"160"	"1"	"4"	"72"	"6"	"5"	"5"	"12"	"3"	"8"	"6"	"5"	"16"	"303"
"154"	"138"	"A"	"294"	"8"	"4"	"28"	"3"	"4"	"1"	"6"	"0"	"1"	"0"	"1"	"5"	"355"
"155"	"139"	""	"300"	"6"	"5"	"138"	"7"	"5"	"3"	"13"	"2"	"4"	"2"	"6"	"6"	"497"
"156"	"140"	""	"558"	"8"	"11"	"149"	"4"	"2"	"5"	"7"	"1"	"5"	"13"	"2"	"4"	"769"
"157"	"141"	""	"508"	"2"	"15"	"92"	"4"	"13"	"9"	"10"	"9"	"18"	"3"	"6"	"14"	"703"
"158"	"142"	""	"380"	"5"	"13"	"85"	"3"	"4"	"8"	"18"	"15"	"11"	"7"	"4"	"35"	"588"
"159"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"160"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"161"	"143"	""	"159"	"2"	"3"	"111"	"4"	"3"	"2"	"4"	"4"	"5"	"2"	"1"	"8"	"308"
"162"	"144"	""	"341"	"4"	"8"	"82"	"7"	"3"	"4"	"2"	"4"	"4"	"3"	"0"	"6"	"468"
"163"	"145"	""	"141"	"2"	"8"	"93"	"6"	"17"	"2"	"4"	"4"	"5"	"5"	"2"	"8"	"297"
"164"	"146"	""	"321"	"7"	"5"	"70"	"2"	"1"	"2"	"11"	"4"	"2"	"4"	"13"	"7"	"449"
"165"	"147"	""	"267"	"2"	"1"	"42"	"2"	"42"	"0"	"8"	"1"	"2"	"4"	"0"	"4"	"375"
"166"	"148"	""	"295"	"5"	"12"	"142"	"2"	"5"	"4"	"5"	"1"	"2"	"3"	"5"	"16"	"497"
"167"	"149"	""	"215"	"12"	"3"	"201"	"4"	"6"	"2"	"11"	"5"	"9"	"3"	"7"	"6"	"484"
"168"	"150"	""	"353"	"7"	"10"	"149"	"8"	"8"	"8"	"16"	"9"	"13"	"16"	"12"	"45"	"654"
"169"	"151"	""	"343"	"19"	"10"	"15"	"8"	"41"	"4"	"21"	"17"	"17"	"18"	"15"	"44"	"572"
"170"	"152"	""	"199"	"6"	"30"	"122"	"6"	"12"	"1"	"8"	"6"	"6"	"0"	"4"	"6"	"406"
"171"	"153"	""	"144"	"4"	"3"	"47"	"1"	"9"	"0"	"3"	"2"	"2"	"2"	"1"	"8"	"226"
"172"	"154"	""	"230"	"3"	"21"	"19"	"0"	"3"	"1"	"3"	"1"	"5"	"1"	"4"	"11"	"302"
"173"	"155"	""	"323"	"10"	"14"	"108"	"4"	"31"	"6"	"11"	"1"	"4"	"2"	"3"	"6"	"523"
"174"	"156"	""	"126"	"25"	"18"	"129"	"14"	"100"	"10"	"18"	"12"	"16"	"11"	"7"	"18"	"504"
"175"	"157"	""	"429"	"5"	"3"	"87"	"1"	"6"	"3"	"11"	"5"	"5"	"3"	"8"	"16"	"582"
"176"	"158"	""	"226"	"8"	"7"	"110"	"4"	"2"	"3"	"6"	"2"	"4"	"1"	"1"	"4"	"378"
"177"	"159"	""	"189"	"5"	"5"	"84"	"8"	"8"	"2"	"8"	"4"	"9"	"3"	"5"	"7"	"337"
"178"	"160"	""	"224"	"6"	"7"	"59"	"4"	"2"	"1"	"3"	"2"	"6"	"0"	"0"	"3"	"317"
"179"	"161"	""	"125"	"5"	"8"	"136"	"4"	"3"	"3"	"6"	"6"	"10"	"4"	"4"	"13"	"327"
"180"	"162"	""	"345"	"10"	"2"	"34"	"0"	"1"	"2"	"4"	"1"	"7"	"5"	"4"	"6"	"421"
"181"	"163"	""	"157"	"35"	"13"	"241"	"21"	"71"	"11"	"21"	"10"	"24"	"11"	"18"	"37"	"670"
"182"	"164"	""	"340"	"7"	"26"	"30"	"1"	"3"	"4"	"8"	"4"	"15"	"2"	"6"	"14"	"460"
"183"	"165"	""	"184"	"4"	"17"	"76"	"3"	"2"	"1"	"5"	"2"	"3"	"4"	"5"	"18"	"324"
"184"	"166"	""	"125"	"1"	"4"	"16"	"1"	"1"	"2"	"7"	"0"	"3"	"12"	"3"	"2"	"177"
"185"	"167"	""	"565"	"2"	"6"	"57"	"0"	"3"	"3"	"0"	"2"	"29"	"1"	"1"	"2"	"671"
"186"	"168"	""	"494"	"7"	"12"	"46"	"3"	"5"	"3"	"11"	"4"	"8"	"2"	"5"	"20"	"620"
"187"	"169"	""	"160"	"3"	"8"	"20"	"3"	"20"	"2"	"6"	"4"	"86"	"14"	"5"	"21"	"352"
"188"	"170"	""	"108"	"22"	"5"	"121"	"5"	"5"	"5"	"9"	"4"	"12"	"5"	"8"	"15"	"324"
"189"	"171"	""	"50"	"1"	"6"	"157"	"7"	"8"	"5"	"10"	"11"	"56"	"8"	"8"	"18"	"345"
"190"	"172"	""	"311"	"18"	"22"	"149"	"10"	"6"	"6"	"6"	"10"	"11"	"5"	"2"	"7"	"563"
"191"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"192"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"193"	"173"	""	"176"	"6"	"5"	"77"	"3"	"7"	"4"	"7"	"4"	"6"	"1"	"5"	"10"	"311"
"194"	"174"	""	"189"	"11"	"7"	"211"	"12"	"26"	"9"	"11"	"5"	"10"	"6"	"11"	"11"	"519"
"195"	"175"	""	"99"	"6"	"16"	"348"	"13"	"44"	"4"	"13"	"9"	"50"	"12"	"7"	"7"	"628"
