"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"27"	"26"	"10"	"132"	"7"	"409"	"24"	"10"	"6"	"35"	"5"	"3"	"4"	"9"	"17"	"6"	"5"	"5"	"687"	""
"28"	"27"	"7"	"175"	"3"	"148"	"3"	"2"	"3"	"4"	"1"	"2"	"5"	"1"	"21"	"9"	"12"	"6"	"402"	""
"29"	"28"	"7"	"128"	"6"	"298"	"32"	"7"	"3"	"5"	"3"	"4"	"7"	"3"	"32"	"5"	"8"	"5"	"553"	""
"30"	"29"	"15"	"200"	"6"	"399"	"14"	"6"	"6"	"3"	"5"	"10"	"7"	"4"	"24"	"8"	"7"	"10"	"724"	""
"31"	"30"	"5"	"578"	"1"	"115"	"9"	"5"	"2"	"2"	"2"	"0"	"2"	"1"	"9"	"4"	"3"	"0"	"738"	""
"32"	"31"	"11"	"25"	"8"	"343"	"10"	"5"	"4"	"132"	"8"	"4"	"5"	"2"	"16"	"4"	"7"	"4"	"588"	""
"33"	"32"	"9"	"104"	"7"	"467"	"16"	"4"	"6"	"35"	"7"	"5"	"5"	"3"	"38"	"3"	"7"	"4"	"720"	""
"34"	"33"	"12"	"196"	"6"	"179"	"7"	"4"	"2"	"4"	"5"	"4"	"5"	"0"	"11"	"7"	"6"	"9"	"457"	""
"35"	"34"	"15"	"112"	"6"	"274"	"11"	"4"	"3"	"1"	"3"	"3"	"3"	"5"	"24"	"3"	"8"	"6"	"481"	""
"36"	"35"	"11"	"201"	"5"	"298"	"5"	"9"	"5"	"26"	"3"	"4"	"2"	"6"	"67"	"18"	"25"	"16"	"701"	""
"37"	"36"	"8"	"305"	"11"	"69"	"11"	"5"	"7"	"1"	"3"	"1"	"1"	"4"	"26"	"12"	"22"	"14"	"500"	""
"38"	"37"	"13"	"182"	"6"	"198"	"5"	"1"	"3"	"3"	"7"	"5"	"3"	"7"	"30"	"13"	"18"	"9"	"503"	""
"39"	"38"	"16"	"308"	"17"	"254"	"49"	"16"	"11"	"30"	"9"	"6"	"3"	"1"	"39"	"7"	"10"	"1"	"777"	""
"40"	"39"	"13"	"291"	"7"	"166"	"10"	"6"	"3"	"0"	"4"	"0"	"4"	"5"	"38"	"20"	"25"	"7"	"599"	""
"41"	"40"	"6"	"29"	"5"	"431"	"48"	"5"	"2"	"0"	"0"	"4"	"6"	"3"	"37"	"4"	"3"	"6"	"589"	""
"42"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"44"	"41"	"14"	"28"	"8"	"421"	"27"	"8"	"9"	"4"	"4"	"5"	"8"	"7"	"122"	"5"	"9"	"12"	"691"	""
"45"	"42"	"13"	"211"	"9"	"121"	"29"	"15"	"22"	"7"	"9"	"3"	"5"	"5"	"270"	"23"	"25"	"8"	"775"	""
"46"	"43"	"2"	"114"	"9"	"84"	"26"	"10"	"6"	"11"	"7"	"2"	"7"	"7"	"183"	"18"	"4"	"12"	"502"	""
"47"	"44"	"7"	"133"	"9"	"41"	"43"	"7"	"12"	"18"	"15"	"4"	"6"	"8"	"82"	"5"	"11"	"5"	"406"	""
"48"	"45"	"11"	"64"	"13"	"104"	"66"	"10"	"13"	"12"	"2"	"6"	"6"	"6"	"57"	"13"	"3"	"6"	"392"	""
"49"	"46"	"10"	"76"	"3"	"272"	"12"	"4"	"4"	"2"	"3"	"4"	"4"	"1"	"41"	"3"	"2"	"0"	"441"	""
"50"	"47"	"10"	"9"	"4"	"355"	"70"	"8"	"7"	"4"	"7"	"5"	"15"	"20"	"185"	"15"	"7"	"30"	"751"	""
"51"	"48"	"13"	"266"	"10"	"213"	"19"	"5"	"7"	"1"	"1"	"10"	"2"	"7"	"39"	"23"	"17"	"15"	"648"	""
"52"	"49"	"20"	"110"	"8"	"294"	"13"	"18"	"25"	"78"	"4"	"7"	"7"	"2"	"130"	"9"	"11"	"4"	"740"	""
"53"	"50"	"11"	"417"	"6"	"25"	"27"	"2"	"3"	"1"	"2"	"2"	"3"	"2"	"27"	"23"	"44"	"9"	"604"	""
"54"	"51"	"6"	"85"	"2"	"186"	"34"	"2"	"8"	"3"	"4"	"6"	"10"	"4"	"86"	"5"	"10"	"14"	"465"	""
"55"	"52"	"11"	"170"	"6"	"195"	"47"	"12"	"14"	"1"	"5"	"5"	"5"	"3"	"48"	"10"	"6"	"16"	"554"	""
"56"	"53"	"2"	"102"	"7"	"179"	"18"	"2"	"3"	"1"	"1"	"4"	"5"	"4"	"82"	"7"	"1"	"3"	"421"	""
"57"	"54"	"7"	"217"	"4"	"225"	"39"	"6"	"2"	"5"	"1"	"5"	"4"	"1"	"49"	"4"	"6"	"4"	"579"	""
"58"	"55"	"10"	"322"	"9"	"320"	"10"	"15"	"17"	"9"	"10"	"7"	"12"	"16"	"153"	"35"	"33"	"20"	"998"	""
"59"	"56"	"25"	"481"	"7"	"48"	"26"	"8"	"7"	"13"	"3"	"9"	"4"	"4"	"36"	"12"	"18"	"7"	"708"	""
"60"	"57"	"2"	"765"	"8"	"2"	"7"	"0"	"0"	"5"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"796"	""
"61"	"58"	"4"	"10"	"6"	"275"	"12"	"6"	"7"	"24"	"1"	"1"	"6"	"7"	"62"	"3"	"3"	"17"	"444"	""
"62"	"59"	"2"	"126"	"2"	"156"	"34"	"3"	"1"	"17"	"1"	"1"	"0"	"0"	"34"	"1"	"2"	"2"	"382"	""
"63"	"60"	"12"	"69"	"2"	"428"	"11"	"8"	"11"	"34"	"4"	"10"	"24"	"14"	"166"	"16"	"25"	"18"	"852"	""
"64"	"61"	"19"	"20"	"7"	"298"	"5"	"5"	"21"	"57"	"8"	"3"	"7"	"9"	"247"	"7"	"6"	"11"	"730"	""
"65"	"62"	"4"	"49"	"1"	"173"	"19"	"5"	"3"	"2"	"1"	"5"	"4"	"3"	"26"	"6"	"6"	"9"	"316"	""
"66"	"63"	"13"	"145"	"10"	"157"	"110"	"6"	"1"	"1"	"1"	"3"	"2"	"0"	"5"	"4"	"1"	"3"	"462"	""
"67"	"64"	"7"	"81"	"2"	"393"	"28"	"7"	"2"	"3"	"2"	"1"	"6"	"10"	"33"	"8"	"7"	"6"	"596"	""
"68"	"65"	"5"	"141"	"3"	"52"	"7"	"6"	"6"	"1"	"2"	"1"	"1"	"1"	"29"	"4"	"1"	"1"	"261"	""
"69"	"66"	"6"	"2"	"4"	"302"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"0"	"5"	"333"	""
"70"	"67"	"2"	"170"	"1"	"45"	"7"	"7"	"1"	"5"	"0"	"0"	"1"	"0"	"8"	"4"	"2"	"0"	"253"	""
"71"	"68"	"10"	"81"	"5"	"326"	"18"	"8"	"4"	"3"	"4"	"2"	"6"	"3"	"14"	"5"	"3"	"9"	"501"	""
"72"	"69"	"3"	"407"	"0"	"135"	"19"	"3"	"4"	"2"	"0"	"0"	"2"	"0"	"16"	"2"	"2"	"0"	"595"	""
"73"	"70"	"0"	"414"	"0"	"19"	"18"	"3"	"0"	"0"	"0"	"1"	"3"	"2"	"7"	"1"	"2"	"0"	"470"	""
"74"	"71"	"25"	"536"	"12"	"130"	"8"	"7"	"2"	"4"	"2"	"5"	"2"	"5"	"22"	"3"	"7"	"9"	"779"	""
"75"	"72"	"6"	"89"	"4"	"124"	"25"	"3"	"7"	"75"	"7"	"5"	"1"	"1"	"48"	"7"	"2"	"7"	"411"	""
"76"	"73"	"1"	"70"	"4"	"88"	"64"	"3"	"2"	"5"	"2"	"2"	"5"	"6"	"34"	"8"	"4"	"18"	"316"	""
"77"	"74"	"2"	"92"	"9"	"65"	"46"	"10"	"10"	"9"	"3"	"3"	"4"	"9"	"247"	"14"	"15"	"6"	"544"	""
"78"	"75"	"9"	"132"	"4"	"42"	"33"	"8"	"0"	"6"	"5"	"6"	"5"	"4"	"86"	"22"	"12"	"13"	"387"	""
"79"	"76"	"10"	"138"	"6"	"115"	"24"	"12"	"9"	"226"	"16"	"4"	"8"	"2"	"34"	"16"	"31"	"20"	"671"	""
"80"	"77"	"18"	"194"	"3"	"66"	"36"	"16"	"12"	"118"	"10"	"15"	"11"	"7"	"167"	"14"	"20"	"11"	"718"	""
"81"	"78"	"15"	"95"	"5"	"59"	"127"	"8"	"8"	"15"	"3"	"7"	"5"	"1"	"81"	"0"	"4"	"3"	"436"	""
"82"	"79"	"6"	"81"	"3"	"15"	"163"	"8"	"7"	"14"	"1"	"2"	"1"	"3"	"79"	"4"	"4"	"5"	"396"	""
"83"	"80"	"15"	"215"	"16"	"200"	"83"	"10"	"10"	"10"	"9"	"4"	"10"	"7"	"66"	"5"	"13"	"11"	"684"	""
"84"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"86"	"81"	"3"	"46"	"5"	"266"	"42"	"6"	"4"	"4"	"3"	"4"	"11"	"6"	"83"	"9"	"2"	"13"	"507"	""
"87"	"81A"	"2"	"21"	"1"	"161"	"104"	"4"	"2"	"1"	"2"	"4"	"6"	"6"	"51"	"3"	"2"	"8"	"378"	""
"88"	"82"	"8"	"229"	"6"	"86"	"24"	"4"	"4"	"192"	"7"	"6"	"1"	"5"	"18"	"12"	"13"	"1"	"616"	""
"89"	"83"	"5"	"183"	"9"	"221"	"17"	"6"	"1"	"53"	"4"	"3"	"4"	"5"	"40"	"7"	"12"	"17"	"587"	""
"90"	"84"	"4"	"77"	"7"	"331"	"6"	"7"	"4"	"50"	"3"	"3"	"8"	"9"	"46"	"6"	"11"	"11"	"583"	""
"91"	"85"	"20"	"206"	"11"	"101"	"19"	"12"	"14"	"1"	"5"	"8"	"4"	"4"	"78"	"11"	"12"	"5"	"511"	""
"92"	"86"	"19"	"458"	"11"	"177"	"33"	"8"	"3"	"4"	"6"	"7"	"3"	"7"	"13"	"14"	"16"	"2"	"781"	""
"93"	"87"	"34"	"432"	"13"	"154"	"60"	"15"	"9"	"1"	"5"	"7"	"6"	"5"	"47"	"11"	"26"	"16"	"841"	""
"94"	"88"	"7"	"29"	"6"	"107"	"15"	"21"	"21"	"3"	"2"	"3"	"7"	"13"	"394"	"24"	"81"	"10"	"743"	""
"95"	"89"	"3"	"18"	"2"	"55"	"33"	"4"	"9"	"2"	"1"	"2"	"3"	"2"	"174"	"5"	"11"	"1"	"325"	""
"96"	"90"	"7"	"97"	"7"	"219"	"20"	"3"	"5"	"2"	"0"	"2"	"3"	"1"	"64"	"2"	"1"	"5"	"438"	""
"97"	"90A"	"5"	"135"	"4"	"82"	"15"	"1"	"3"	"24"	"2"	"5"	"8"	"0"	"87"	"19"	"11"	"14"	"415"	""
"98"	"91"	"24"	"298"	"3"	"8"	"25"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"1"	"370"	""
"99"	"92"	"24"	"230"	"8"	"163"	"44"	"22"	"40"	"8"	"4"	"13"	"10"	"6"	"187"	"23"	"16"	"16"	"814"	""
"100"	"93"	"8"	"196"	"0"	"125"	"6"	"10"	"12"	"3"	"2"	"2"	"2"	"1"	"60"	"7"	"7"	"3"	"444"	""
"101"	"94"	"5"	"94"	"5"	"212"	"36"	"8"	"11"	"7"	"9"	"6"	"13"	"15"	"170"	"17"	"12"	"24"	"644"	""
"102"	"95"	"5"	"28"	"5"	"240"	"35"	"3"	"6"	"8"	"0"	"3"	"7"	"4"	"66"	"1"	"1"	"4"	"416"	""
"103"	"96"	"15"	"28"	"1"	"172"	"46"	"6"	"12"	"5"	"3"	"0"	"4"	"3"	"115"	"5"	"5"	"18"	"438"	""
"104"	"97"	"4"	"44"	"2"	"235"	"56"	"16"	"15"	"3"	"3"	"11"	"6"	"11"	"186"	"11"	"6"	"17"	"626"	""
"105"	"98"	"9"	"302"	"4"	"188"	"8"	"5"	"4"	"1"	"2"	"2"	"3"	"2"	"24"	"6"	"11"	"6"	"577"	""
"106"	"99"	"3"	"93"	"2"	"191"	"24"	"3"	"2"	"14"	"4"	"7"	"4"	"11"	"32"	"13"	"13"	"12"	"428"	""
"107"	"100"	"8"	"152"	"10"	"239"	"23"	"12"	"5"	"95"	"6"	"3"	"10"	"4"	"24"	"4"	"9"	"4"	"608"	""
"108"	"101"	"16"	"125"	"3"	"251"	"17"	"10"	"13"	"3"	"0"	"12"	"7"	"4"	"88"	"5"	"1"	"10"	"565"	""
"109"	"102"	"9"	"155"	"6"	"129"	"114"	"20"	"14"	"10"	"3"	"8"	"9"	"9"	"195"	"21"	"20"	"22"	"744"	""
"110"	"103"	"5"	"60"	"0"	"68"	"35"	"13"	"12"	"5"	"9"	"4"	"2"	"4"	"143"	"5"	"8"	"7"	"380"	""
"111"	"104"	"10"	"187"	"10"	"155"	"91"	"16"	"27"	"14"	"4"	"9"	"16"	"13"	"227"	"17"	"14"	"17"	"827"	""
"112"	"105"	"19"	"159"	"8"	"71"	"356"	"22"	"19"	"7"	"8"	"10"	"15"	"16"	"21"	"10"	"7"	"8"	"756"	""
"113"	"106"	"22"	"95"	"17"	"70"	"139"	"9"	"6"	"12"	"0"	"2"	"2"	"1"	"6"	"4"	"4"	"3"	"392"	""
"114"	"107"	"25"	"275"	"30"	"109"	"174"	"11"	"7"	"53"	"10"	"9"	"5"	"1"	"32"	"8"	"12"	"9"	"770"	""
"115"	"108"	"15"	"296"	"49"	"51"	"150"	"8"	"9"	"11"	"3"	"1"	"0"	"5"	"51"	"7"	"8"	"4"	"668"	""
"116"	"109"	"9"	"272"	"31"	"12"	"125"	"9"	"2"	"11"	"3"	"2"	"2"	"8"	"11"	"12"	"13"	"3"	"525"	""
"117"	"110"	"24"	"206"	"7"	"241"	"91"	"22"	"26"	"16"	"6"	"1"	"5"	"11"	"275"	"10"	"5"	"10"	"956"	""
"118"	"111"	"10"	"291"	"6"	"113"	"9"	"3"	"14"	"1"	"2"	"5"	"5"	"4"	"103"	"10"	"5"	"4"	"585"	""
"119"	"112"	"11"	"281"	"4"	"32"	"26"	"13"	"4"	"4"	"4"	"9"	"3"	"2"	"38"	"10"	"19"	"6"	"466"	""
"120"	"113"	"21"	"95"	"8"	"145"	"48"	"14"	"29"	"37"	"7"	"4"	"5"	"12"	"213"	"11"	"7"	"23"	"679"	""
"121"	"114"	"6"	"42"	"3"	"124"	"29"	"14"	"26"	"8"	"2"	"5"	"8"	"16"	"359"	"10"	"5"	"7"	"664"	""
"122"	"115"	"16"	"89"	"8"	"280"	"31"	"22"	"34"	"27"	"2"	"5"	"11"	"23"	"226"	"3"	"3"	"10"	"790"	""
"123"	"116"	"13"	"28"	"7"	"159"	"13"	"12"	"10"	"19"	"5"	"8"	"11"	"11"	"125"	"7"	"6"	"22"	"456"	""
"124"	"117"	"13"	"12"	"3"	"74"	"52"	"3"	"15"	"85"	"17"	"7"	"10"	"8"	"145"	"7"	"9"	"16"	"476"	""
"125"	"118"	"15"	"42"	"3"	"319"	"53"	"10"	"22"	"2"	"1"	"3"	"9"	"2"	"138"	"5"	"5"	"35"	"664"	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"128"	"119"	"5"	"10"	"2"	"186"	"18"	"1"	"2"	"1"	"1"	"2"	"7"	"3"	"32"	"1"	"1"	"26"	"298"	""
"129"	"120"	"21"	"46"	"5"	"171"	"180"	"13"	"10"	"103"	"7"	"10"	"8"	"13"	"9"	"2"	"14"	"10"	"622"	""
"130"	"121"	"3"	"26"	"4"	"219"	"4"	"4"	"4"	"0"	"0"	"5"	"3"	"4"	"66"	"3"	"0"	"4"	"349"	""
"131"	"122"	"20"	"118"	"7"	"175"	"56"	"12"	"12"	"6"	"3"	"0"	"4"	"0"	"110"	"4"	"6"	"4"	"537"	""
"132"	"123"	"12"	"30"	"7"	"92"	"10"	"9"	"23"	"5"	"2"	"5"	"2"	"11"	"435"	"12"	"2"	"15"	"672"	""
"133"	"124"	"1"	"34"	"0"	"72"	"40"	"4"	"8"	"5"	"1"	"2"	"3"	"4"	"172"	"7"	"2"	"5"	"360"	""
"134"	"125"	"6"	"16"	"5"	"135"	"41"	"10"	"16"	"6"	"1"	"5"	"5"	"17"	"318"	"15"	"2"	"4"	"602"	""
"135"	"126"	"5"	"46"	"14"	"104"	"282"	"12"	"11"	"4"	"3"	"5"	"1"	"5"	"202"	"6"	"14"	"7"	"721"	""
"136"	"127"	"0"	"24"	"3"	"284"	"94"	"7"	"4"	"0"	"4"	"2"	"16"	"9"	"129"	"6"	"1"	"8"	"591"	""
"137"	"128"	"7"	"51"	"4"	"252"	"90"	"14"	"7"	"10"	"7"	"7"	"18"	"7"	"93"	"9"	"3"	"4"	"583"	""
"138"	"129"	"11"	"49"	"4"	"396"	"38"	"3"	"3"	"57"	"1"	"4"	"6"	"6"	"59"	"2"	"1"	"6"	"646"	""
"139"	"130"	"9"	"43"	"2"	"338"	"49"	"13"	"19"	"5"	"5"	"3"	"9"	"8"	"305"	"11"	"5"	"9"	"833"	""
"140"	"131"	"17"	"92"	"5"	"497"	"61"	"9"	"19"	"44"	"2"	"5"	"14"	"10"	"108"	"13"	"15"	"20"	"931"	""
"141"	"132"	"6"	"2"	"4"	"169"	"4"	"4"	"7"	"0"	"2"	"1"	"1"	"4"	"227"	"5"	"2"	"5"	"443"	""
"142"	"133"	"5"	"69"	"6"	"281"	"29"	"10"	"5"	"4"	"3"	"10"	"2"	"15"	"316"	"12"	"9"	"13"	"789"	""
"143"	"134"	"6"	"32"	"3"	"438"	"6"	"2"	"3"	"2"	"0"	"3"	"4"	"0"	"58"	"1"	"1"	"3"	"562"	""
"144"	"135"	"11"	"116"	"14"	"331"	"21"	"9"	"11"	"32"	"11"	"8"	"21"	"8"	"100"	"16"	"13"	"18"	"740"	""
"145"	"136"	"11"	"79"	"0"	"165"	"73"	"18"	"6"	"68"	"6"	"4"	"11"	"4"	"89"	"10"	"6"	"7"	"557"	""
"146"	"137"	"9"	"10"	"1"	"182"	"8"	"12"	"18"	"229"	"13"	"3"	"5"	"4"	"123"	"1"	"4"	"6"	"628"	""
"147"	"138"	"14"	"243"	"9"	"93"	"24"	"14"	"15"	"79"	"4"	"7"	"3"	"5"	"110"	"9"	"14"	"7"	"650"	""
"148"	"139"	"6"	"75"	"7"	"123"	"6"	"4"	"22"	"2"	"4"	"3"	"6"	"11"	"213"	"19"	"12"	"19"	"532"	""
"149"	"140"	"8"	"96"	"6"	"171"	"11"	"7"	"11"	"80"	"6"	"3"	"6"	"3"	"13"	"7"	"8"	"17"	"453"	""
"150"	"141"	"6"	"129"	"8"	"76"	"7"	"11"	"24"	"19"	"4"	"4"	"3"	"2"	"207"	"12"	"6"	"7"	"525"	""
"151"	"142"	"4"	"15"	"1"	"74"	"3"	"7"	"12"	"2"	"1"	"3"	"5"	"6"	"224"	"5"	"0"	"4"	"366"	""
"152"	"143"	"22"	"301"	"9"	"50"	"54"	"10"	"16"	"6"	"4"	"8"	"4"	"3"	"33"	"9"	"10"	"10"	"549"	""
"153"	"144"	"18"	"533"	"14"	"62"	"32"	"4"	"4"	"2"	"4"	"2"	"3"	"0"	"20"	"17"	"27"	"9"	"751"	""
"154"	"145"	"11"	"20"	"11"	"265"	"7"	"12"	"12"	"0"	"4"	"5"	"1"	"5"	"235"	"4"	"4"	"8"	"604"	""
"155"	"146"	"21"	"232"	"9"	"426"	"31"	"13"	"16"	"7"	"4"	"9"	"11"	"7"	"86"	"6"	"8"	"3"	"889"	""
"156"	"147"	"12"	"314"	"11"	"204"	"15"	"8"	"16"	"4"	"6"	"8"	"18"	"10"	"208"	"30"	"33"	"13"	"910"	""
"157"	"148"	"8"	"457"	"5"	"161"	"16"	"5"	"10"	"3"	"10"	"15"	"25"	"6"	"38"	"18"	"19"	"9"	"805"	""
"158"	"149"	"9"	"115"	"1"	"94"	"12"	"7"	"5"	"4"	"2"	"6"	"3"	"1"	"59"	"3"	"2"	"118"	"441"	""
"159"	"150"	"13"	"103"	"7"	"453"	"37"	"4"	"4"	"4"	"1"	"8"	"8"	"7"	"47"	"15"	"12"	"113"	"836"	""
"160"	"151"	"5"	"9"	"3"	"137"	"11"	"2"	"8"	"2"	"4"	"3"	"3"	"10"	"40"	"4"	"2"	"312"	"555"	""
"161"	"152"	"4"	"3"	"1"	"42"	"2"	"2"	"3"	"3"	"0"	"0"	"0"	"2"	"14"	"2"	"5"	"528"	"611"	""
"162"	"153"	"13"	"67"	"7"	"160"	"6"	"11"	"10"	"6"	"8"	"109"	"4"	"4"	"128"	"4"	"5"	"88"	"630"	""
"163"	"154"	"3"	"17"	"2"	"71"	"6"	"15"	"16"	"387"	"14"	"4"	"1"	"3"	"285"	"6"	"11"	"2"	"843"	""
"164"	"155"	"14"	"25"	"9"	"518"	"11"	"12"	"26"	"6"	"2"	"6"	"4"	"3"	"113"	"6"	"0"	"22"	"777"	""
"165"	"156"	"17"	"348"	"4"	"75"	"102"	"9"	"2"	"32"	"4"	"7"	"2"	"9"	"27"	"17"	"40"	"30"	"725"	""
"166"	"157"	"2"	"24"	"1"	"9"	"7"	"2"	"4"	"176"	"7"	"2"	"2"	"0"	"2"	"1"	"3"	"9"	"251"	""
"167"	"158"	"14"	"176"	"6"	"112"	"37"	"4"	"12"	"2"	"5"	"1"	"3"	"1"	"14"	"5"	"11"	"35"	"438"	""
"168"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
