"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"16"	"14"	"112"	"77"	"93"	"7"	"1"	"0"	"8"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"308"	"0"	"308"	"0"
"17"	"15"	"93"	"19"	"29"	"7"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"0"	"1"	"1"	"1"	"158"	"0"	"158"	"0"
"18"	"16"	"292"	"20"	"68"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"17"	"2"	"7"	"413"	"0"	"413"	"0"
"19"	"17"	"360"	"14"	"29"	"7"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"6"	"3"	"2"	"428"	"0"	"428"	"0"
"20"	"18"	"466"	"46"	"62"	"9"	"1"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"10"	"8"	"0"	"609"	"0"	"609"	"0"
"21"	"19"	"261"	"26"	"28"	"4"	"2"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"10"	"6"	"2"	"346"	"0"	"346"	"0"
"22"	"20"	"260"	"25"	"30"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"3"	"1"	"334"	"0"	"334"	"0"
"23"	"21"	"337"	"35"	"30"	"7"	"0"	"3"	"3"	"2"	"0"	"1"	"0"	"2"	"26"	"0"	"1"	"447"	"0"	"447"	"0"
"24"	"22"	"227"	"7"	"27"	"1"	"4"	"1"	"2"	"1"	"0"	"0"	"2"	"5"	"4"	"3"	"6"	"290"	"0"	"290"	"0"
"25"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"26"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"27"	"22 A"	"258"	"13"	"11"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"4"	"294"	"0"	"294"	"0"
"28"	"23"	"456"	"22"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"8"	"0"	"2"	"502"	"0"	"502"	"0"
"29"	"24"	"388"	"36"	"36"	"7"	"6"	"0"	"0"	"1"	"1"	"4"	"1"	"1"	"4"	"1"	"4"	"490"	"0"	"490"	"0"
"30"	"25"	"242"	"14"	"37"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"3"	"0"	"3"	"1"	"4"	"311"	"0"	"311"	"0"
"31"	"26"	"226"	"14"	"5"	"3"	"0"	"0"	"0"	"0"	"15"	"1"	"0"	"0"	"2"	"0"	"1"	"267"	"0"	"267"	"0"
"32"	"27"	"259"	"18"	"27"	"2"	"2"	"6"	"3"	"3"	"0"	"3"	"0"	"1"	"1"	"0"	"9"	"334"	"0"	"334"	"0"
"33"	"28"	"266"	"18"	"36"	"3"	"0"	"12"	"0"	"0"	"1"	"0"	"1"	"1"	"4"	"0"	"4"	"346"	"0"	"346"	"0"
"34"	"29"	"279"	"11"	"63"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"366"	"0"	"366"	"0"
"35"	"30"	"273"	"13"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"292"	"0"	"292"	"0"
"36"	"31"	"299"	"21"	"56"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"2"	"0"	"2"	"2"	"1"	"392"	"0"	"392"	"0"
"37"	"32"	"248"	"22"	"25"	"5"	"2"	"0"	"0"	"2"	"13"	"0"	"1"	"1"	"1"	"2"	"1"	"323"	"0"	"323"	"0"
"38"	"33"	"389"	"47"	"11"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"460"	"0"	"460"	"0"
"39"	"34"	"285"	"29"	"8"	"3"	"0"	"0"	"0"	"3"	"0"	"1"	"3"	"0"	"3"	"1"	"4"	"340"	"0"	"340"	"0"
"40"	"35"	"356"	"33"	"16"	"1"	"3"	"1"	"0"	"1"	"0"	"4"	"3"	"5"	"2"	"0"	"2"	"427"	"0"	"427"	"0"
"41"	"36"	"347"	"45"	"17"	"11"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"5"	"1"	"436"	"0"	"436"	"0"
"42"	"37"	"307"	"35"	"22"	"5"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"4"	"380"	"0"	"380"	"0"
"43"	"37 A"	"393"	"18"	"13"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"436"	"0"	"436"	"0"
"44"	"38"	"353"	"69"	"11"	"8"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"8"	"0"	"0"	"0"	"452"	"0"	"452"	"0"
"45"	"39"	"296"	"23"	"4"	"5"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"333"	"0"	"333"	"0"
"46"	"40"	"301"	"31"	"92"	"6"	"0"	"0"	"2"	"2"	"3"	"3"	"4"	"1"	"3"	"2"	"5"	"455"	"0"	"455"	"0"
"47"	"41"	"287"	"7"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"304"	"0"	"304"	"0"
"48"	"41A"	"237"	"15"	"6"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"0"	"262"	"0"
"49"	"42"	"278"	"21"	"8"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"315"	"0"	"315"	"0"
"50"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"51"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"52"	"43"	"362"	"16"	"13"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"0"	"1"	"401"	"0"	"401"	"0"
"53"	"44"	"67"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"73"	"0"	"73"	"0"
"54"	"45"	"207"	"28"	"13"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"0"	"258"	"0"	"258"	"0"
"55"	"46"	"270"	"44"	"62"	"6"	"0"	"1"	"0"	"3"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"392"	"0"	"392"	"0"
"56"	"47"	"236"	"37"	"58"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"1"	"0"	"4"	"2"	"1"	"348"	"0"	"348"	"0"
"57"	"48"	"381"	"38"	"119"	"12"	"8"	"8"	"1"	"8"	"3"	"4"	"9"	"3"	"11"	"9"	"12"	"626"	"0"	"626"	"0"
"58"	"49"	"422"	"41"	"21"	"5"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"498"	"0"	"498"	"0"
"59"	"50"	"327"	"15"	"8"	"5"	"0"	"6"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"0"	"367"	"0"	"367"	"0"
"60"	"51"	"292"	"28"	"50"	"5"	"1"	"19"	"1"	"2"	"3"	"2"	"2"	"0"	"4"	"5"	"12"	"426"	"0"	"426"	"0"
"61"	"52"	"294"	"32"	"19"	"3"	"4"	"2"	"1"	"1"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"364"	"0"	"364"	"0"
"62"	"53"	"188"	"35"	"31"	"7"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"1"	"2"	"1"	"15"	"287"	"0"	"287"	"0"
"63"	"53 A"	"251"	"29"	"27"	"0"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"5"	"324"	"0"	"324"	"0"
"64"	"54"	"469"	"32"	"13"	"4"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"2"	"530"	"0"	"530"	"0"
"65"	"55"	"265"	"13"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"286"	"0"	"286"	"0"
"66"	"56"	"191"	"38"	"110"	"3"	"1"	"0"	"0"	"0"	"1"	"4"	"5"	"1"	"2"	"1"	"7"	"364"	"0"	"364"	"0"
"67"	"57"	"129"	"24"	"136"	"5"	"1"	"0"	"0"	"3"	"2"	"2"	"7"	"1"	"8"	"1"	"2"	"321"	"0"	"321"	"0"
"68"	"58"	"444"	"46"	"27"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"5"	"2"	"3"	"533"	"0"	"533"	"0"
"69"	"59"	"279"	"22"	"16"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"0"	"321"	"0"
"70"	"60"	"334"	"17"	"15"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"375"	"0"	"375"	"0"
"71"	"61"	"172"	"14"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"0"	"198"	"0"
"72"	"62"	"354"	"19"	"9"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"389"	"0"	"389"	"0"
"73"	"63"	"440"	"23"	"21"	"11"	"2"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"503"	"0"	"503"	"0"
"74"	"64"	"258"	"19"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"287"	"0"	"287"	"0"
"75"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"76"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"77"	"65"	"198"	"19"	"9"	"9"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"241"	"0"	"241"	"0"
"78"	"66"	"126"	"13"	"52"	"6"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"2"	"1"	"4"	"212"	"0"	"212"	"0"
"79"	"67"	"487"	"34"	"27"	"8"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"561"	"0"	"561"	"0"
"80"	"68"	"234"	"22"	"108"	"4"	"2"	"3"	"0"	"0"	"3"	"2"	"0"	"0"	"4"	"1"	"0"	"383"	"0"	"383"	"0"
"81"	"69"	"245"	"30"	"3"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"287"	"0"	"287"	"0"
"82"	"70"	"209"	"30"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"255"	"0"	"255"	"0"
"83"	"71"	"449"	"42"	"4"	"6"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"1"	"510"	"0"	"510"	"0"
"84"	"72"	"354"	"43"	"8"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"411"	"0"	"411"	"0"
"85"	"73"	"334"	"74"	"44"	"7"	"5"	"1"	"1"	"1"	"1"	"4"	"2"	"0"	"1"	"1"	"3"	"479"	"0"	"479"	"0"
"86"	"74"	"272"	"113"	"15"	"7"	"6"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"419"	"0"	"419"	"0"
"87"	"75"	"208"	"69"	"32"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"317"	"0"	"317"	"0"
"88"	"76"	"252"	"27"	"32"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"4"	"326"	"0"	"326"	"0"
"89"	"77"	"298"	"49"	"15"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"367"	"0"	"367"	"0"
"90"	"78"	"277"	"44"	"11"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"341"	"0"	"341"	"0"
"91"	"79"	"281"	"60"	"20"	"11"	"2"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"4"	"3"	"8"	"398"	"0"	"398"	"0"
"92"	"80"	"170"	"31"	"159"	"12"	"4"	"1"	"2"	"1"	"0"	"3"	"2"	"4"	"13"	"6"	"7"	"415"	"0"	"415"	"0"
"93"	"81"	"137"	"27"	"139"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"3"	"0"	"4"	"3"	"3"	"324"	"0"	"324"	"0"
"94"	"82"	"345"	"30"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"384"	"0"	"384"	"0"
"95"	"83"	"440"	"40"	"37"	"5"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"0"	"4"	"4"	"1"	"540"	"0"	"540"	"0"
"96"	"84"	"387"	"21"	"30"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"0"	"450"	"0"	"450"	"0"
"97"	"85"	"237"	"19"	"7"	"6"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"8"	"0"	"1"	"281"	"0"	"281"	"0"
"98"	"86"	"393"	"29"	"27"	"6"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"1"	"2"	"1"	"2"	"468"	"0"	"468"	"0"
"99"	"87"	"365"	"29"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"413"	"0"	"413"	"0"
"100"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"101"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"102"	"88"	"159"	"24"	"18"	"11"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"220"	"0"	"220"	"0"
"103"	"89"	"145"	"60"	"16"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"228"	"0"	"228"	"0"
"104"	"90"	"192"	"38"	"47"	"11"	"5"	"6"	"0"	"1"	"2"	"2"	"2"	"3"	"7"	"0"	"4"	"320"	"0"	"320"	"0"
"105"	"91"	"139"	"41"	"9"	"1"	"3"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"198"	"0"	"198"	"0"
"106"	"92"	"266"	"93"	"89"	"7"	"9"	"16"	"0"	"3"	"2"	"2"	"1"	"2"	"4"	"3"	"9"	"506"	"0"	"506"	"0"
"107"	"93"	"307"	"71"	"24"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"410"	"0"	"410"	"0"
"108"	"94"	"246"	"63"	"8"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"322"	"0"	"322"	"0"
"109"	"94A"	"275"	"56"	"19"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"353"	"0"	"353"	"0"
"110"	"95"	"175"	"64"	"26"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"271"	"0"	"271"	"0"
"111"	"95A"	"274"	"31"	"14"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"327"	"0"	"327"	"0"
"112"	"96"	"384"	"55"	"13"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"463"	"0"	"463"	"0"
"113"	"97"	"293"	"47"	"8"	"3"	"1"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"360"	"0"	"360"	"0"
"114"	"98"	"293"	"31"	"32"	"7"	"0"	"2"	"0"	"2"	"0"	"2"	"0"	"1"	"2"	"1"	"2"	"375"	"0"	"375"	"0"
"115"	"99"	"241"	"25"	"7"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"280"	"0"	"280"	"0"
"116"	"100"	"222"	"30"	"32"	"5"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"3"	"2"	"1"	"300"	"0"	"300"	"0"
"117"	"100A"	"273"	"30"	"49"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"4"	"1"	"5"	"371"	"0"	"371"	"0"
"118"	"101"	"229"	"18"	"27"	"5"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"285"	"0"	"285"	"0"
"119"	"102"	"247"	"14"	"28"	"7"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"306"	"0"	"306"	"0"
"120"	"103"	"291"	"22"	"7"	"2"	"0"	"0"	"1"	"0"	"1"	"6"	"0"	"0"	"2"	"0"	"0"	"332"	"0"	"332"	"0"
"121"	"104"	"262"	"23"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"3"	"321"	"0"	"321"	"0"
"122"	"105"	"279"	"25"	"10"	"6"	"10"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"2"	"338"	"0"	"338"	"0"
"123"	"105A"	"214"	"14"	"8"	"1"	"5"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"251"	"0"	"251"	"0"
"124"	"106"	"227"	"16"	"2"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"260"	"0"	"260"	"0"
"125"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"126"	""	"ARUN KUMAR SINHA"	"KAPILDEO PRASAD YADAV"	"MD. KAMAL PARWEZ"	"BINDESHWARI PRASAD"	"RAM PAVESH NISHAD"	"RAM BHAJAN SINGH \"NISHAD\""	"WASIM SYED"	"VINAY KUMAR"	"SADHNA MISHRA"	"ER. B. N. SINGH"	"ARJUN KUMAR"	"KUNDAN PRASAD SINGH"	"BALRAM PATEL"	"RENU KUSHWAHA"	"LALA PRASAD BIHARI"	""	""	""	""
"127"	"106A"	"254"	"28"	"10"	"3"	"4"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"3"	"1"	"1"	"309"	"0"	"309"	"0"
"128"	"107"	"299"	"38"	"7"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"350"	"0"	"350"	"0"
"129"	"108"	"253"	"51"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"0"	"313"	"0"
"130"	"109"	"253"	"57"	"9"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"326"	"0"	"326"	"0"
"131"	"110"	"274"	"44"	"44"	"4"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"2"	"2"	"3"	"5"	"385"	"0"	"385"	"0"
"132"	"111"	"197"	"14"	"8"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"227"	"0"	"227"	"0"
"133"	"112"	"241"	"17"	"11"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"276"	"0"	"276"	"0"
"134"	"113"	"301"	"24"	"13"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"344"	"0"	"344"	"0"
"135"	"114"	"141"	"29"	"36"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"212"	"0"	"212"	"0"
"136"	"115"	"141"	"24"	"19"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"192"	"0"	"192"	"0"
"137"	"116"	"258"	"31"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"297"	"0"	"297"	"0"
"138"	"117"	"322"	"30"	"11"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"370"	"0"	"370"	"0"
"139"	"118"	"331"	"68"	"19"	"4"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"429"	"0"	"429"	"0"
"140"	"119"	"217"	"32"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"270"	"0"	"270"	"0"
"141"	"120"	"189"	"48"	"15"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"256"	"0"	"256"	"0"
"142"	"121"	"433"	"20"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"475"	"0"	"475"	"0"
"143"	"122"	"241"	"80"	"32"	"5"	"13"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"5"	"1"	"1"	"382"	"0"	"382"	"0"
"144"	"123"	"272"	"9"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"297"	"0"	"297"	"0"
"145"	"124"	"130"	"12"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"150"	"0"	"150"	"0"
"146"	"125"	"301"	"20"	"17"	"6"	"4"	"2"	"1"	"24"	"0"	"0"	"1"	"1"	"3"	"1"	"4"	"385"	"0"	"385"	"0"
"147"	"126"	"260"	"17"	"13"	"5"	"1"	"1"	"0"	"12"	"1"	"1"	"1"	"0"	"1"	"1"	"9"	"323"	"0"	"323"	"0"
"148"	"127"	"271"	"27"	"7"	"2"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"319"	"0"	"319"	"0"
"149"	"128"	"296"	"20"	"4"	"5"	"0"	"1"	"0"	"10"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"339"	"0"	"339"	"0"
"150"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
