"Total.No..of.Electors.in.Assembly.Constituency........240418"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01-Valmikinagar Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"01-Valmikinagar Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"32"	"15"	"28"	"55"	"26"	"211"	"7"	"17"	"2"	"6"	"202"	"10"	"4"	"6"	"11"	"11"	"596"	"0"	"596"	"0"	""	""
"33"	"16"	"37"	"145"	"104"	"106"	"9"	"25"	"3"	"12"	"247"	"9"	"9"	"9"	"13"	"20"	"748"	"0"	"748"	"0"	""	""
"34"	"17"	"19"	"15"	"11"	"228"	"5"	"5"	"2"	"2"	"61"	"2"	"7"	"4"	"15"	"19"	"395"	"0"	"395"	"0"	""	""
"35"	"18"	"36"	"99"	"97"	"410"	"5"	"3"	"0"	"2"	"0"	"5"	"10"	"11"	"9"	"14"	"701"	"0"	"701"	"0"	""	""
"36"	"19"	"38"	"34"	"27"	"305"	"2"	"2"	"1"	"2"	"21"	"1"	"0"	"1"	"2"	"5"	"441"	"0"	"441"	"0"	""	""
"37"	"20"	"73"	"160"	"159"	"132"	"2"	"3"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"4"	"540"	"0"	"540"	"0"	""	""
"38"	"21"	"19"	"52"	"46"	"355"	"5"	"1"	"3"	"5"	"14"	"7"	"11"	"12"	"9"	"17"	"556"	"0"	"556"	"0"	""	""
"39"	"22"	"15"	"43"	"73"	"293"	"3"	"2"	"4"	"1"	"8"	"0"	"2"	"2"	"3"	"4"	"453"	"0"	"453"	"0"	""	""
"40"	"23"	"35"	"84"	"97"	"329"	"15"	"21"	"10"	"8"	"222"	"8"	"9"	"16"	"12"	"21"	"887"	"0"	"887"	"0"	""	""
"41"	"24"	"60"	"79"	"35"	"51"	"1"	"1"	"3"	"0"	"57"	"3"	"2"	"6"	"11"	"15"	"324"	"0"	"324"	"0"	""	""
"42"	"25"	"55"	"48"	"63"	"75"	"1"	"0"	"0"	"2"	"76"	"1"	"2"	"3"	"3"	"5"	"334"	"0"	"334"	"0"	""	""
"43"	"26"	"135"	"48"	"108"	"73"	"1"	"7"	"8"	"10"	"185"	"1"	"4"	"9"	"1"	"23"	"613"	"0"	"613"	"0"	""	""
"44"	"27"	"10"	"100"	"82"	"53"	"7"	"32"	"8"	"5"	"196"	"2"	"12"	"9"	"7"	"3"	"526"	"0"	"526"	"0"	""	""
"45"	"28"	"70"	"137"	"20"	"99"	"7"	"38"	"11"	"8"	"377"	"4"	"5"	"11"	"9"	"19"	"815"	"0"	"815"	"0"	""	""
"46"	"Total"	"630"	"1099"	"948"	"2720"	"70"	"157"	"58"	"63"	"1666"	"54"	"78"	"100"	"106"	"180"	"7929"	"0"	"7929"	"0"	""	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"01-Valmikinagar Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"57"	"29"	"72"	"157"	"80"	"131"	"4"	"178"	"5"	"3"	"12"	"4"	"3"	"4"	"10"	"13"	"676"	"0"	"676"	"0"	""	""
"58"	"30"	"41"	"95"	"13"	"99"	"8"	"72"	"6"	"2"	"42"	"3"	"8"	"6"	"6"	"14"	"415"	"0"	"415"	"0"	""	""
"59"	"31"	"65"	"87"	"52"	"118"	"6"	"48"	"14"	"7"	"256"	"4"	"3"	"6"	"6"	"9"	"681"	"0"	"681"	"0"	""	""
"60"	"32"	"10"	"5"	"4"	"41"	"3"	"6"	"2"	"4"	"375"	"0"	"2"	"1"	"2"	"0"	"455"	"0"	"455"	"0"	""	""
"61"	"33"	"23"	"46"	"10"	"45"	"4"	"4"	"4"	"6"	"315"	"2"	"1"	"7"	"0"	"3"	"470"	"0"	"470"	"0"	""	""
"62"	"33A"	"28"	"104"	"14"	"35"	"16"	"9"	"7"	"5"	"203"	"2"	"1"	"2"	"2"	"2"	"430"	"0"	"430"	"0"	""	""
"63"	"34"	"17"	"56"	"69"	"46"	"2"	"9"	"4"	"1"	"202"	"2"	"4"	"5"	"4"	"22"	"443"	"0"	"443"	"0"	""	""
"64"	"35"	"71"	"182"	"24"	"60"	"3"	"3"	"3"	"1"	"114"	"2"	"7"	"4"	"11"	"30"	"515"	"0"	"515"	"0"	""	""
"65"	"36"	"189"	"33"	"16"	"21"	"2"	"1"	"1"	"0"	"8"	"0"	"1"	"2"	"2"	"6"	"282"	"0"	"282"	"0"	""	""
"66"	"37"	"117"	"108"	"20"	"145"	"8"	"15"	"13"	"13"	"402"	"7"	"15"	"16"	"7"	"22"	"908"	"0"	"908"	"0"	""	""
"67"	"38"	"37"	"23"	"17"	"104"	"2"	"4"	"1"	"2"	"191"	"1"	"2"	"3"	"0"	"8"	"395"	"0"	"395"	"0"	""	""
"68"	"39"	"71"	"60"	"11"	"100"	"6"	"6"	"3"	"14"	"295"	"0"	"6"	"8"	"5"	"8"	"593"	"0"	"593"	"0"	""	""
"69"	"40"	"88"	"37"	"4"	"75"	"6"	"15"	"8"	"5"	"224"	"4"	"11"	"4"	"3"	"28"	"512"	"0"	"512"	"0"	""	""
"70"	"41"	"31"	"16"	"22"	"293"	"3"	"14"	"7"	"6"	"172"	"0"	"5"	"8"	"4"	"6"	"587"	"0"	"587"	"0"	""	""
"71"	"Total"	"860"	"1009"	"356"	"1313"	"73"	"384"	"78"	"69"	"2811"	"31"	"69"	"76"	"62"	"171"	"7362"	"0"	"7362"	"0"	""	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"01-Valmikinagar Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"82"	"42"	"149"	"27"	"15"	"339"	"1"	"1"	"8"	"3"	"46"	"1"	"3"	"2"	"2"	"20"	"617"	"0"	"617"	"0"	""	""
"83"	"43"	"47"	"30"	"14"	"313"	"9"	"14"	"2"	"8"	"255"	"2"	"7"	"11"	"10"	"26"	"748"	"0"	"748"	"0"	""	""
"84"	"44"	"59"	"74"	"131"	"441"	"6"	"20"	"7"	"4"	"185"	"3"	"9"	"4"	"5"	"17"	"965"	"0"	"965"	"0"	""	""
"85"	"45"	"85"	"10"	"34"	"164"	"11"	"16"	"11"	"9"	"413"	"4"	"5"	"9"	"3"	"13"	"787"	"0"	"787"	"0"	""	""
"86"	"46"	"36"	"17"	"63"	"261"	"9"	"56"	"7"	"4"	"194"	"6"	"1"	"11"	"3"	"8"	"676"	"0"	"676"	"0"	""	""
"87"	"47"	"252"	"130"	"19"	"106"	"8"	"14"	"4"	"6"	"263"	"2"	"3"	"5"	"6"	"19"	"837"	"0"	"837"	"0"	""	""
"88"	"48"	"43"	"52"	"16"	"418"	"9"	"9"	"2"	"2"	"82"	"4"	"14"	"15"	"8"	"21"	"695"	"0"	"695"	"0"	""	""
"89"	"49"	"40"	"36"	"12"	"184"	"3"	"13"	"6"	"1"	"260"	"3"	"5"	"6"	"5"	"3"	"577"	"0"	"577"	"0"	""	""
"90"	"50"	"30"	"159"	"74"	"218"	"6"	"27"	"2"	"5"	"17"	"1"	"5"	"6"	"5"	"16"	"571"	"0"	"571"	"0"	""	""
"91"	"51"	"20"	"55"	"13"	"157"	"7"	"9"	"1"	"2"	"267"	"1"	"3"	"5"	"4"	"1"	"545"	"0"	"545"	"0"	""	""
"92"	"51A"	"51"	"10"	"16"	"204"	"0"	"78"	"3"	"2"	"5"	"1"	"3"	"1"	"3"	"8"	"385"	"0"	"385"	"0"	""	""
"93"	"52"	"369"	"11"	"26"	"94"	"1"	"4"	"6"	"3"	"89"	"1"	"3"	"7"	"8"	"32"	"654"	"0"	"654"	"0"	""	""
"94"	"53"	"506"	"47"	"4"	"41"	"2"	"3"	"6"	"1"	"24"	"3"	"1"	"2"	"19"	"29"	"688"	"0"	"688"	"0"	""	""
"95"	"54"	"524"	"13"	"16"	"3"	"0"	"17"	"2"	"0"	"1"	"1"	"2"	"1"	"2"	"21"	"603"	"0"	"603"	"0"	""	""
"96"	"Total"	"2211"	"671"	"453"	"2943"	"72"	"281"	"67"	"50"	"2101"	"33"	"64"	"85"	"83"	"234"	"9348"	"0"	"9348"	"0"	""	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"01-Valmikinagar Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"107"	"55"	"768"	"28"	"40"	"41"	"3"	"51"	"4"	"1"	"0"	"1"	"3"	"4"	"4"	"24"	"972"	"0"	"972"	"0"	""	""
"108"	"56"	"149"	"35"	"327"	"66"	"6"	"81"	"8"	"3"	"0"	"4"	"6"	"22"	"17"	"54"	"778"	"0"	"778"	"0"	""	""
"109"	"57"	"186"	"94"	"61"	"38"	"6"	"88"	"1"	"2"	"1"	"1"	"2"	"3"	"7"	"10"	"500"	"0"	"500"	"0"	""	""
"110"	"58"	"82"	"104"	"77"	"153"	"7"	"69"	"8"	"4"	"160"	"6"	"8"	"10"	"8"	"25"	"721"	"0"	"721"	"0"	""	""
"111"	"59"	"18"	"27"	"32"	"109"	"8"	"19"	"9"	"5"	"672"	"9"	"7"	"7"	"5"	"10"	"937"	"0"	"937"	"0"	""	""
"112"	"60"	"45"	"69"	"82"	"351"	"11"	"54"	"6"	"2"	"83"	"5"	"1"	"6"	"7"	"17"	"739"	"0"	"739"	"0"	""	""
"113"	"61"	"60"	"102"	"62"	"470"	"4"	"83"	"4"	"5"	"65"	"1"	"11"	"8"	"7"	"3"	"885"	"0"	"885"	"0"	""	""
"114"	"62"	"246"	"141"	"52"	"68"	"4"	"54"	"11"	"12"	"251"	"2"	"3"	"8"	"7"	"12"	"871"	"0"	"871"	"0"	""	""
"115"	"63"	"6"	"16"	"42"	"60"	"4"	"113"	"3"	"3"	"155"	"4"	"2"	"1"	"4"	"11"	"424"	"0"	"424"	"0"	""	""
"116"	"64"	"24"	"37"	"44"	"64"	"6"	"20"	"8"	"5"	"439"	"3"	"10"	"5"	"1"	"5"	"671"	"0"	"671"	"0"	""	""
"117"	"65"	"35"	"82"	"3"	"79"	"5"	"7"	"3"	"2"	"342"	"0"	"7"	"6"	"7"	"3"	"581"	"0"	"581"	"0"	""	""
"118"	"66"	"151"	"138"	"30"	"55"	"7"	"17"	"9"	"4"	"361"	"2"	"5"	"9"	"6"	"10"	"804"	"0"	"804"	"0"	""	""
"119"	"67"	"51"	"95"	"19"	"175"	"6"	"5"	"2"	"3"	"94"	"3"	"2"	"6"	"8"	"11"	"480"	"0"	"480"	"0"	""	""
"120"	"68"	"89"	"88"	"22"	"268"	"6"	"7"	"6"	"11"	"124"	"3"	"11"	"4"	"8"	"23"	"670"	"0"	"670"	"0"	""	""
"121"	"Total"	"1910"	"1056"	"893"	"1997"	"83"	"668"	"82"	"62"	"2747"	"44"	"78"	"99"	"96"	"218"	"10033"	"0"	"10033"	"0"	""	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"01-Valmikinagar Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"132"	"69"	"72"	"12"	"4"	"87"	"15"	"16"	"10"	"29"	"566"	"8"	"11"	"5"	"11"	"18"	"864"	"0"	"864"	"0"	""	""
"133"	"70"	"13"	"38"	"12"	"62"	"6"	"15"	"6"	"6"	"453"	"2"	"6"	"4"	"3"	"8"	"634"	"0"	"634"	"0"	""	""
"134"	"71"	"28"	"75"	"32"	"252"	"10"	"13"	"9"	"14"	"266"	"9"	"9"	"9"	"20"	"23"	"769"	"0"	"769"	"0"	""	""
"135"	"72"	"4"	"47"	"2"	"5"	"5"	"5"	"8"	"8"	"476"	"6"	"3"	"6"	"6"	"3"	"584"	"0"	"584"	"0"	""	""
"136"	"73"	"26"	"74"	"85"	"82"	"12"	"11"	"8"	"12"	"378"	"6"	"7"	"9"	"15"	"19"	"744"	"0"	"744"	"0"	""	""
"137"	"74"	"74"	"45"	"50"	"220"	"9"	"8"	"5"	"10"	"140"	"10"	"10"	"19"	"13"	"24"	"637"	"0"	"637"	"0"	""	""
"138"	"75"	"54"	"34"	"46"	"267"	"5"	"8"	"3"	"2"	"38"	"5"	"4"	"14"	"7"	"19"	"506"	"0"	"506"	"0"	""	""
"139"	"75A"	"129"	"39"	"23"	"207"	"4"	"12"	"2"	"6"	"129"	"2"	"3"	"4"	"3"	"7"	"570"	"0"	"570"	"0"	""	""
"140"	"76"	"87"	"61"	"42"	"488"	"2"	"16"	"4"	"3"	"1"	"2"	"2"	"3"	"2"	"9"	"722"	"0"	"722"	"0"	""	""
"141"	"77"	"72"	"57"	"20"	"327"	"3"	"3"	"1"	"3"	"0"	"2"	"3"	"6"	"5"	"9"	"511"	"0"	"511"	"0"	""	""
"142"	"78"	"89"	"50"	"103"	"443"	"7"	"7"	"8"	"7"	"9"	"1"	"5"	"2"	"4"	"18"	"753"	"0"	"753"	"0"	""	""
"143"	"79"	"42"	"40"	"187"	"422"	"6"	"13"	"9"	"10"	"21"	"5"	"15"	"15"	"23"	"49"	"857"	"0"	"857"	"0"	""	""
"144"	"80"	"50"	"25"	"52"	"160"	"4"	"13"	"1"	"2"	"11"	"0"	"6"	"9"	"9"	"26"	"368"	"0"	"368"	"0"	""	""
"145"	"81"	"49"	"53"	"28"	"219"	"10"	"14"	"5"	"5"	"180"	"3"	"7"	"9"	"8"	"9"	"599"	"0"	"599"	"0"	""	""
"146"	"Total"	"789"	"650"	"686"	"3241"	"98"	"154"	"79"	"117"	"2668"	"61"	"91"	"114"	"129"	"241"	"9118"	"0"	"9118"	"0"	""	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"01-Valmikinagar Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
