"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"44"	"36"	"4"	"34"	"159"	"238"	"7"	"4"	"1"	"0"	"4"	"0"	"1"	"4"	"5"	"0"	"5"	"466"	"0"	"466"	"0"
"45"	"37"	"0"	"29"	"140"	"112"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"0"	"4"	"294"	"0"	"294"	"0"
"46"	"38"	"2"	"19"	"275"	"98"	"0"	"2"	"0"	"2"	"1"	"3"	"6"	"5"	"2"	"5"	"5"	"425"	"0"	"425"	"0"
"47"	"39"	"1"	"18"	"270"	"64"	"1"	"1"	"0"	"2"	"1"	"5"	"1"	"4"	"1"	"3"	"4"	"376"	"0"	"376"	"0"
"48"	"40"	"3"	"28"	"356"	"124"	"7"	"4"	"0"	"0"	"2"	"2"	"3"	"2"	"3"	"7"	"5"	"546"	"0"	"546"	"0"
"49"	"41"	"40"	"32"	"195"	"52"	"0"	"2"	"0"	"6"	"0"	"3"	"0"	"1"	"1"	"1"	"1"	"334"	"0"	"334"	"0"
"50"	"42"	"1"	"6"	"329"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"351"	"0"	"351"	"0"
"51"	"43"	"0"	"20"	"157"	"26"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"210"	"0"	"210"	"0"
"52"	"44"	"16"	"41"	"286"	"130"	"2"	"7"	"1"	"4"	"1"	"0"	"2"	"3"	"8"	"4"	"4"	"509"	"0"	"509"	"0"
"53"	"45"	"10"	"22"	"295"	"68"	"5"	"1"	"0"	"3"	"2"	"2"	"2"	"3"	"3"	"3"	"8"	"427"	"0"	"427"	"0"
"54"	"46"	"2"	"30"	"223"	"32"	"0"	"0"	"0"	"1"	"0"	"4"	"5"	"0"	"1"	"0"	"2"	"300"	"0"	"300"	"0"
"55"	"47"	"4"	"26"	"220"	"62"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"3"	"322"	"0"	"322"	"0"
"56"	"48"	"27"	"39"	"107"	"97"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"3"	"1"	"282"	"0"	"282"	"0"
"57"	"49"	"1"	"8"	"143"	"49"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"211"	"0"	"211"	"0"
"58"	"50"	"0"	"0"	"55"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"85"	"0"	"85"	"0"
"59"	"51"	"0"	"8"	"81"	"46"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"142"	"0"	"142"	"0"
"60"	"52"	"0"	"5"	"298"	"38"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"3"	"1"	"351"	"0"	"351"	"0"
"61"	"53"	"4"	"22"	"386"	"83"	"2"	"0"	"0"	"5"	"1"	"3"	"4"	"1"	"5"	"4"	"6"	"526"	"0"	"526"	"0"
"62"	"54"	"3"	"19"	"398"	"114"	"0"	"1"	"3"	"1"	"3"	"2"	"1"	"7"	"8"	"5"	"7"	"572"	"0"	"572"	"0"
"63"	"55"	"0"	"18"	"214"	"119"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"2"	"5"	"4"	"7"	"375"	"0"	"375"	"0"
"64"	"56"	"3"	"16"	"288"	"71"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"4"	"2"	"2"	"4"	"396"	"0"	"396"	"0"
"65"	"57"	"1"	"26"	"512"	"52"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"5"	"2"	"606"	"0"	"606"	"0"
"66"	"58"	"2"	"23"	"278"	"50"	"3"	"1"	"0"	"3"	"5"	"3"	"3"	"2"	"2"	"2"	"0"	"377"	"0"	"377"	"0"
"67"	"59"	"2"	"22"	"354"	"148"	"2"	"0"	"1"	"2"	"2"	"1"	"3"	"5"	"1"	"2"	"4"	"549"	"0"	"549"	"0"
"68"	"60"	"0"	"17"	"250"	"88"	"1"	"2"	"0"	"0"	"14"	"1"	"0"	"1"	"0"	"4"	"1"	"379"	"0"	"379"	"0"
"69"	"61"	"2"	"13"	"316"	"160"	"7"	"0"	"0"	"1"	"5"	"5"	"7"	"7"	"4"	"4"	"11"	"542"	"0"	"542"	"0"
"70"	"62"	"3"	"24"	"293"	"43"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"2"	"1"	"372"	"0"	"372"	"0"
"71"	"63"	"0"	"81"	"259"	"36"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"0"	"2"	"1"	"388"	"0"	"388"	"0"
"72"	"64"	"2"	"18"	"236"	"16"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"277"	"0"	"277"	"0"
"73"	"65"	"2"	"17"	"264"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"309"	"0"	"309"	"0"
"74"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"75"	""	"JAKIR HUSSAIN"	"DURGA PRASAD"	"NITIN NABIN"	"BINOD KUMAR SRIVASTAVA"	"LEELA SINGH"	"AMAR KANT SAH"	"ASHOK PRASAD"	"MOHAMMED SIRAJ AHMAD"	"RAJU KUMAR VIDYARTHI"	"VIJAY KUMAR"	"BINOY KUMAR SINHA"	"REKHA MODI"	"VISHAL SWAROOP"	"SHIV SHANKAR KUMAR BULLY"	"SUNITA PREETAM"	""	""	""	""
"76"	"66"	"1"	"18"	"354"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"3"	"403"	"0"	"403"	"0"
"77"	"67"	"0"	"7"	"256"	"21"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"7"	"3"	"300"	"0"	"300"	"0"
"78"	"68"	"3"	"23"	"240"	"117"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"390"	"0"	"390"	"0"
"79"	"69"	"0"	"10"	"162"	"35"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"211"	"0"	"211"	"0"
"80"	"70"	"1"	"40"	"339"	"73"	"3"	"1"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"7"	"3"	"474"	"0"	"474"	"0"
"81"	"71"	"0"	"43"	"365"	"58"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"7"	"0"	"481"	"0"	"481"	"0"
"82"	"72"	"3"	"13"	"182"	"59"	"2"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"2"	"1"	"3"	"271"	"0"	"271"	"0"
"83"	"73"	"0"	"7"	"109"	"41"	"0"	"1"	"0"	"1"	"0"	"7"	"0"	"1"	"0"	"2"	"1"	"170"	"0"	"170"	"0"
"84"	"74"	"10"	"17"	"385"	"109"	"3"	"2"	"0"	"1"	"0"	"4"	"1"	"2"	"2"	"0"	"0"	"536"	"0"	"536"	"0"
"85"	"75"	"1"	"34"	"309"	"89"	"1"	"0"	"0"	"6"	"1"	"6"	"2"	"3"	"2"	"3"	"1"	"458"	"0"	"458"	"0"
"86"	"76"	"1"	"24"	"273"	"47"	"2"	"0"	"1"	"3"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"358"	"0"	"358"	"0"
"87"	"77"	"7"	"8"	"192"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"273"	"0"	"273"	"0"
"88"	"78"	"6"	"4"	"142"	"49"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"208"	"0"	"208"	"0"
"89"	"79"	"22"	"31"	"303"	"97"	"0"	"0"	"0"	"1"	"1"	"2"	"5"	"5"	"0"	"1"	"3"	"471"	"0"	"471"	"0"
"90"	"80"	"4"	"32"	"256"	"33"	"2"	"2"	"2"	"0"	"0"	"1"	"4"	"1"	"2"	"4"	"4"	"347"	"0"	"347"	"0"
"91"	"81"	"3"	"23"	"391"	"74"	"0"	"1"	"7"	"1"	"0"	"8"	"0"	"3"	"2"	"1"	"2"	"516"	"0"	"516"	"0"
"92"	"82"	"0"	"11"	"157"	"45"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"216"	"0"	"216"	"0"
"93"	"83"	"3"	"43"	"206"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"0"	"297"	"0"	"297"	"0"
"94"	"84"	"2"	"11"	"117"	"84"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"218"	"0"	"218"	"0"
"95"	"85"	"0"	"10"	"111"	"17"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"140"	"0"	"140"	"0"
"96"	"86"	"1"	"28"	"298"	"76"	"4"	"4"	"5"	"3"	"2"	"4"	"8"	"9"	"17"	"6"	"11"	"476"	"0"	"476"	"0"
"97"	"87"	"4"	"24"	"305"	"77"	"1"	"4"	"1"	"3"	"1"	"3"	"5"	"2"	"2"	"3"	"3"	"438"	"0"	"438"	"0"
"98"	"88"	"2"	"23"	"195"	"37"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"265"	"0"	"265"	"0"
"99"	"89"	"0"	"26"	"160"	"32"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"225"	"0"	"225"	"0"
"100"	"90"	"6"	"10"	"369"	"43"	"1"	"1"	"1"	"1"	"0"	"3"	"1"	"1"	"1"	"1"	"0"	"439"	"0"	"439"	"0"
"101"	"91"	"13"	"44"	"184"	"92"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"1"	"343"	"0"	"343"	"0"
"102"	"92"	"1"	"27"	"283"	"56"	"2"	"2"	"2"	"0"	"2"	"8"	"6"	"4"	"5"	"4"	"7"	"409"	"0"	"409"	"0"
"103"	"93"	"1"	"28"	"247"	"49"	"4"	"0"	"0"	"1"	"4"	"10"	"6"	"3"	"2"	"2"	"4"	"361"	"0"	"361"	"0"
"104"	"94"	"5"	"25"	"464"	"23"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"523"	"0"	"523"	"0"
"105"	"95"	"12"	"27"	"286"	"63"	"2"	"5"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"2"	"5"	"408"	"0"	"408"	"0"
"106"	"95A"	"3"	"17"	"97"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"144"	"0"	"144"	"0"
"107"	"96"	"1"	"20"	"329"	"46"	"1"	"13"	"1"	"4"	"2"	"0"	"0"	"2"	"3"	"2"	"4"	"428"	"0"	"428"	"0"
"108"	"97"	"1"	"20"	"248"	"46"	"3"	"7"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"1"	"3"	"338"	"0"	"338"	"0"
"109"	"98"	"1"	"21"	"334"	"80"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"3"	"1"	"450"	"0"	"450"	"0"
"110"	"99"	"2"	"14"	"162"	"42"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"4"	"230"	"0"	"230"	"0"
"111"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"112"	""	"JAKIR HUSSAIN"	"DURGA PRASAD"	"NITIN NABIN"	"BINOD KUMAR SRIVASTAVA"	"LEELA SINGH"	"AMAR KANT SAH"	"ASHOK PRASAD"	"MOHAMMED SIRAJ AHMAD"	"RAJU KUMAR VIDYARTHI"	"VIJAY KUMAR"	"BINOY KUMAR SINHA"	"REKHA MODI"	"VISHAL SWAROOP"	"SHIV SHANKAR KUMAR BULLY"	"SUNITA PREETAM"	""	""	""	""
"113"	"100"	"4"	"17"	"322"	"64"	"0"	"3"	"0"	"3"	"1"	"5"	"1"	"1"	"1"	"4"	"5"	"431"	"0"	"431"	"0"
"114"	"101"	"2"	"63"	"330"	"45"	"2"	"4"	"1"	"2"	"2"	"5"	"5"	"5"	"7"	"10"	"3"	"486"	"0"	"486"	"0"
"115"	"102"	"0"	"26"	"270"	"41"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"345"	"0"	"345"	"0"
"116"	"103"	"0"	"13"	"198"	"10"	"1"	"2"	"2"	"0"	"4"	"1"	"1"	"0"	"1"	"3"	"2"	"238"	"0"	"238"	"0"
"117"	"104"	"0"	"26"	"242"	"28"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"302"	"0"	"302"	"0"
"118"	"105"	"0"	"11"	"199"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"221"	"0"	"221"	"0"
"119"	"106"	"0"	"16"	"398"	"27"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"0"	"0"	"454"	"0"	"454"	"0"
"120"	"107"	"1"	"27"	"414"	"25"	"1"	"7"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"483"	"0"	"483"	"0"
"121"	"108"	"1"	"13"	"331"	"39"	"0"	"4"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"2"	"0"	"395"	"0"	"395"	"0"
"122"	"109"	"2"	"33"	"314"	"51"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"3"	"414"	"0"	"414"	"0"
"123"	"110"	"2"	"29"	"182"	"95"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"3"	"2"	"318"	"0"	"318"	"0"
"124"	"111"	"0"	"17"	"297"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"340"	"0"	"340"	"0"
"125"	"112"	"0"	"19"	"347"	"13"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"383"	"0"	"383"	"0"
"126"	"113"	"0"	"23"	"102"	"257"	"3"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"2"	"1"	"0"	"395"	"0"	"395"	"0"
"127"	"114"	"0"	"38"	"159"	"138"	"1"	"1"	"1"	"1"	"1"	"0"	"4"	"2"	"2"	"1"	"0"	"349"	"0"	"349"	"0"
"128"	"115"	"0"	"5"	"130"	"98"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"3"	"0"	"1"	"244"	"0"	"244"	"0"
"129"	"116"	"3"	"40"	"488"	"62"	"0"	"1"	"0"	"0"	"0"	"3"	"4"	"0"	"1"	"0"	"3"	"605"	"0"	"605"	"0"
"130"	"117"	"3"	"10"	"186"	"73"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"277"	"0"	"277"	"0"
"131"	"118"	"1"	"8"	"181"	"39"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"1"	"4"	"242"	"0"	"242"	"0"
"132"	"119"	"2"	"21"	"197"	"86"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"2"	"1"	"4"	"324"	"0"	"324"	"0"
"133"	"120"	"0"	"15"	"234"	"36"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"3"	"3"	"5"	"301"	"0"	"301"	"0"
"134"	"121"	"5"	"33"	"260"	"249"	"2"	"0"	"2"	"1"	"1"	"3"	"2"	"1"	"10"	"3"	"3"	"575"	"0"	"575"	"0"
"135"	"122"	"1"	"31"	"312"	"51"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"1"	"405"	"0"	"405"	"0"
"136"	"123"	"0"	"35"	"466"	"36"	"3"	"3"	"0"	"0"	"0"	"4"	"3"	"2"	"2"	"1"	"4"	"559"	"0"	"559"	"0"
"137"	"124"	"0"	"10"	"278"	"17"	"3"	"0"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"316"	"0"	"316"	"0"
"138"	"125"	"0"	"25"	"243"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"280"	"0"	"280"	"0"
"139"	"126"	"0"	"20"	"208"	"39"	"1"	"1"	"0"	"1"	"0"	"3"	"3"	"1"	"0"	"1"	"0"	"278"	"0"	"278"	"0"
"140"	"127"	"1"	"19"	"266"	"34"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"2"	"0"	"1"	"2"	"334"	"0"	"334"	"0"
"141"	"128"	"7"	"37"	"279"	"191"	"4"	"3"	"2"	"1"	"1"	"4"	"5"	"8"	"2"	"7"	"14"	"565"	"0"	"565"	"0"
"142"	"129"	"4"	"27"	"106"	"106"	"0"	"2"	"0"	"4"	"1"	"4"	"1"	"1"	"2"	"0"	"0"	"258"	"0"	"258"	"0"
"143"	"130"	"1"	"20"	"179"	"181"	"4"	"1"	"1"	"4"	"2"	"3"	"0"	"6"	"3"	"5"	"6"	"416"	"0"	"416"	"0"
"144"	"131"	"1"	"28"	"136"	"166"	"2"	"1"	"0"	"2"	"2"	"5"	"2"	"2"	"0"	"5"	"7"	"359"	"0"	"359"	"0"
"145"	"132"	"2"	"29"	"301"	"41"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"379"	"0"	"379"	"0"
"146"	"133"	"0"	"17"	"320"	"50"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"396"	"0"	"396"	"0"
"147"	"134"	"2"	"40"	"552"	"52"	"3"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"5"	"5"	"665"	"0"	"665"	"0"
"148"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"149"	""	"JAKIR HUSSAIN"	"DURGA PRASAD"	"NITIN NABIN"	"BINOD KUMAR SRIVASTAVA"	"LEELA SINGH"	"AMAR KANT SAH"	"ASHOK PRASAD"	"MOHAMMED SIRAJ AHMAD"	"RAJU KUMAR VIDYARTHI"	"VIJAY KUMAR"	"BINOY KUMAR SINHA"	"REKHA MODI"	"VISHAL SWAROOP"	"SHIV SHANKAR KUMAR BULLY"	"SUNITA PREETAM"	""	""	""	""
"150"	"135"	"1"	"22"	"294"	"150"	"2"	"2"	"0"	"1"	"2"	"1"	"2"	"4"	"1"	"10"	"3"	"495"	"0"	"495"	"0"
"151"	"136"	"0"	"13"	"231"	"85"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"1"	"3"	"2"	"343"	"0"	"343"	"0"
"152"	"137"	"4"	"20"	"268"	"46"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"344"	"0"	"344"	"0"
