"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"22"	"16"	"58"	"2"	"175"	"72"	"21"	"10"	"3"	"8"	"1"	"9"	"359"	"0"	"359"	"0"
"23"	"17"	"295"	"20"	"91"	"121"	"6"	"5"	"4"	"1"	"3"	"18"	"564"	"0"	"564"	"0"
"24"	"17A"	"167"	"7"	"56"	"80"	"4"	"1"	"2"	"2"	"1"	"33"	"353"	"0"	"353"	"0"
"25"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"26"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"27"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"28"	"18"	"307"	"7"	"394"	"70"	"31"	"8"	"3"	"8"	"4"	"72"	"904"	"0"	"904"	"0"
"29"	"19"	"114"	"5"	"242"	"52"	"4"	"9"	"1"	"8"	"5"	"21"	"461"	"0"	"461"	"0"
"30"	"19A"	"84"	"5"	"214"	"42"	"16"	"2"	"1"	"3"	"0"	"15"	"382"	"0"	"382"	"0"
"31"	"20"	"83"	"4"	"285"	"52"	"172"	"19"	"5"	"11"	"14"	"13"	"658"	"0"	"658"	"0"
"32"	"21"	"141"	"2"	"212"	"35"	"22"	"11"	"4"	"6"	"6"	"29"	"468"	"0"	"468"	"0"
"33"	"22"	"98"	"5"	"287"	"17"	"8"	"3"	"0"	"7"	"5"	"81"	"511"	"0"	"511"	"0"
"34"	"23"	"98"	"3"	"235"	"18"	"166"	"16"	"1"	"8"	"3"	"24"	"572"	"0"	"572"	"0"
"35"	"24"	"25"	"6"	"175"	"53"	"252"	"17"	"8"	"8"	"14"	"29"	"587"	"0"	"587"	"0"
"36"	"25"	"94"	"4"	"445"	"23"	"61"	"4"	"0"	"3"	"4"	"9"	"647"	"0"	"647"	"0"
"37"	"26"	"132"	"5"	"365"	"14"	"52"	"3"	"1"	"2"	"2"	"6"	"582"	"0"	"582"	"0"
"38"	"27"	"245"	"6"	"359"	"25"	"38"	"8"	"0"	"5"	"5"	"20"	"711"	"0"	"711"	"0"
"39"	"28"	"213"	"10"	"322"	"124"	"78"	"14"	"6"	"11"	"4"	"59"	"841"	"0"	"841"	"0"
"40"	"29"	"96"	"16"	"96"	"127"	"46"	"12"	"4"	"4"	"5"	"27"	"433"	"0"	"433"	"0"
"41"	"30"	"117"	"25"	"100"	"202"	"145"	"9"	"8"	"11"	"9"	"36"	"662"	"0"	"662"	"0"
"42"	"31"	"106"	"8"	"213"	"91"	"58"	"9"	"7"	"18"	"9"	"149"	"668"	"0"	"668"	"0"
"43"	"31A"	"69"	"7"	"204"	"43"	"42"	"2"	"3"	"1"	"1"	"46"	"418"	"0"	"418"	"0"
"44"	"32"	"81"	"3"	"319"	"17"	"172"	"9"	"4"	"7"	"8"	"23"	"643"	"0"	"643"	"0"
"45"	"33"	"185"	"3"	"326"	"15"	"20"	"4"	"1"	"14"	"2"	"36"	"606"	"0"	"606"	"0"
"46"	"34"	"60"	"12"	"293"	"39"	"301"	"25"	"4"	"6"	"12"	"41"	"793"	"0"	"793"	"0"
"47"	"35"	"57"	"267"	"87"	"33"	"76"	"6"	"2"	"2"	"5"	"19"	"554"	"0"	"554"	"0"
"48"	"35A"	"18"	"139"	"80"	"19"	"45"	"2"	"0"	"2"	"4"	"32"	"341"	"0"	"341"	"0"
"49"	"36"	"52"	"295"	"180"	"26"	"34"	"1"	"3"	"3"	"4"	"69"	"667"	"0"	"667"	"0"
"50"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"51"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"52"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"53"	"37"	"94"	"479"	"69"	"11"	"22"	"3"	"1"	"4"	"8"	"28"	"719"	"0"	"719"	"0"
"54"	"38"	"83"	"4"	"108"	"63"	"138"	"9"	"1"	"0"	"5"	"6"	"417"	"0"	"417"	"0"
"55"	"39"	"82"	"6"	"297"	"11"	"108"	"17"	"4"	"9"	"4"	"15"	"553"	"0"	"553"	"0"
"56"	"40"	"93"	"14"	"155"	"45"	"43"	"8"	"8"	"15"	"3"	"25"	"409"	"0"	"409"	"0"
"57"	"41"	"208"	"11"	"162"	"27"	"13"	"2"	"2"	"9"	"3"	"25"	"462"	"0"	"462"	"0"
"58"	"42"	"55"	"6"	"107"	"25"	"217"	"13"	"9"	"4"	"15"	"32"	"483"	"0"	"483"	"0"
"59"	"43"	"63"	"8"	"187"	"30"	"281"	"18"	"5"	"10"	"13"	"45"	"660"	"0"	"660"	"0"
"60"	"44"	"146"	"21"	"366"	"53"	"85"	"11"	"1"	"5"	"4"	"39"	"731"	"0"	"731"	"0"
"61"	"45"	"52"	"4"	"172"	"13"	"14"	"6"	"1"	"0"	"1"	"15"	"278"	"0"	"278"	"0"
"62"	"46"	"77"	"11"	"256"	"25"	"99"	"6"	"4"	"2"	"3"	"8"	"491"	"0"	"491"	"0"
"63"	"46A"	"41"	"3"	"244"	"20"	"22"	"5"	"3"	"8"	"2"	"2"	"350"	"0"	"350"	"0"
"64"	"47"	"58"	"3"	"386"	"12"	"47"	"5"	"3"	"7"	"8"	"31"	"560"	"0"	"560"	"0"
"65"	"48"	"46"	"9"	"295"	"24"	"135"	"7"	"0"	"5"	"3"	"17"	"541"	"0"	"541"	"0"
"66"	"49"	"51"	"10"	"283"	"16"	"147"	"15"	"6"	"6"	"9"	"16"	"559"	"0"	"559"	"0"
"67"	"50"	"251"	"20"	"223"	"20"	"168"	"18"	"7"	"11"	"7"	"31"	"756"	"0"	"756"	"0"
"68"	"51"	"57"	"4"	"431"	"22"	"59"	"9"	"5"	"9"	"10"	"63"	"669"	"0"	"669"	"0"
"69"	"52"	"96"	"5"	"420"	"30"	"66"	"6"	"4"	"0"	"5"	"46"	"678"	"0"	"678"	"0"
"70"	"53"	"216"	"19"	"282"	"58"	"59"	"7"	"2"	"6"	"7"	"22"	"678"	"0"	"678"	"0"
"71"	"53A"	"160"	"5"	"90"	"22"	"80"	"8"	"2"	"3"	"7"	"20"	"397"	"0"	"397"	"0"
"72"	"54"	"81"	"6"	"418"	"32"	"77"	"11"	"3"	"12"	"3"	"44"	"687"	"0"	"687"	"0"
"73"	"55"	"68"	"6"	"163"	"16"	"63"	"8"	"3"	"5"	"7"	"12"	"351"	"0"	"351"	"0"
"74"	"56"	"126"	"14"	"421"	"17"	"75"	"11"	"4"	"2"	"3"	"18"	"691"	"0"	"691"	"0"
"75"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"76"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"77"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"78"	"57"	"267"	"12"	"442"	"25"	"35"	"9"	"1"	"6"	"2"	"14"	"813"	"0"	"813"	"0"
"79"	"58"	"232"	"7"	"242"	"19"	"73"	"5"	"2"	"3"	"3"	"17"	"603"	"0"	"603"	"0"
"80"	"58A"	"165"	"6"	"234"	"11"	"108"	"9"	"2"	"3"	"6"	"16"	"560"	"0"	"560"	"0"
"81"	"59"	"53"	"9"	"373"	"23"	"282"	"21"	"8"	"20"	"8"	"28"	"825"	"0"	"825"	"0"
"82"	"60"	"86"	"7"	"411"	"6"	"26"	"6"	"1"	"2"	"4"	"8"	"557"	"0"	"557"	"0"
"83"	"61"	"77"	"2"	"464"	"11"	"8"	"9"	"3"	"15"	"5"	"27"	"621"	"0"	"621"	"0"
"84"	"62"	"273"	"6"	"511"	"30"	"32"	"6"	"4"	"7"	"3"	"18"	"890"	"0"	"890"	"0"
"85"	"63"	"81"	"2"	"462"	"15"	"10"	"10"	"5"	"14"	"0"	"25"	"624"	"0"	"624"	"0"
"86"	"63A"	"49"	"2"	"354"	"9"	"5"	"6"	"0"	"2"	"1"	"10"	"438"	"0"	"438"	"0"
"87"	"64"	"155"	"4"	"463"	"17"	"6"	"13"	"2"	"11"	"4"	"32"	"707"	"0"	"707"	"0"
"88"	"65"	"144"	"9"	"276"	"19"	"76"	"20"	"5"	"8"	"5"	"13"	"575"	"0"	"575"	"0"
"89"	"66"	"79"	"7"	"247"	"22"	"42"	"18"	"5"	"17"	"3"	"44"	"484"	"0"	"484"	"0"
"90"	"67"	"255"	"22"	"408"	"37"	"65"	"23"	"7"	"17"	"17"	"72"	"923"	"0"	"923"	"0"
"91"	"68"	"56"	"4"	"559"	"20"	"224"	"26"	"10"	"15"	"6"	"27"	"947"	"0"	"947"	"0"
"92"	"69"	"104"	"13"	"426"	"20"	"184"	"24"	"8"	"20"	"13"	"28"	"840"	"0"	"840"	"0"
"93"	"70"	"519"	"4"	"189"	"15"	"3"	"2"	"1"	"1"	"2"	"32"	"768"	"0"	"768"	"0"
"94"	"71"	"219"	"14"	"238"	"20"	"30"	"1"	"4"	"3"	"4"	"37"	"570"	"0"	"570"	"0"
"95"	"72"	"233"	"11"	"193"	"17"	"13"	"3"	"1"	"6"	"4"	"67"	"548"	"0"	"548"	"0"
"96"	"72A"	"183"	"13"	"141"	"21"	"27"	"2"	"0"	"1"	"3"	"46"	"437"	"0"	"437"	"0"
"97"	"73"	"182"	"7"	"219"	"17"	"14"	"4"	"0"	"6"	"1"	"39"	"489"	"0"	"489"	"0"
"98"	"74"	"138"	"5"	"196"	"15"	"16"	"8"	"3"	"12"	"2"	"12"	"407"	"0"	"407"	"0"
"99"	"75"	"514"	"17"	"143"	"109"	"19"	"4"	"5"	"10"	"7"	"40"	"868"	"0"	"868"	"0"
"100"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"101"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"103"	"76"	"350"	"12"	"227"	"107"	"81"	"18"	"2"	"8"	"3"	"24"	"832"	"0"	"832"	"0"
"104"	"77"	"182"	"7"	"214"	"283"	"107"	"19"	"11"	"13"	"10"	"49"	"895"	"0"	"895"	"0"
"105"	"78"	"28"	"6"	"140"	"23"	"7"	"1"	"3"	"0"	"0"	"10"	"218"	"0"	"218"	"0"
"106"	"78A"	"27"	"2"	"155"	"34"	"15"	"0"	"0"	"1"	"0"	"10"	"244"	"0"	"244"	"0"
"107"	"79"	"80"	"3"	"239"	"55"	"25"	"0"	"2"	"1"	"2"	"16"	"423"	"0"	"423"	"0"
"108"	"80"	"32"	"3"	"132"	"49"	"18"	"0"	"0"	"1"	"0"	"14"	"249"	"0"	"249"	"0"
"109"	"80A"	"77"	"3"	"192"	"21"	"15"	"3"	"0"	"1"	"0"	"6"	"318"	"0"	"318"	"0"
"110"	"81"	"148"	"1"	"474"	"27"	"12"	"9"	"3"	"9"	"7"	"17"	"707"	"0"	"707"	"0"
"111"	"82"	"108"	"1"	"381"	"15"	"5"	"4"	"1"	"5"	"4"	"15"	"539"	"0"	"539"	"0"
"112"	"83"	"81"	"5"	"373"	"49"	"12"	"13"	"5"	"11"	"2"	"20"	"571"	"0"	"571"	"0"
"113"	"84"	"240"	"1"	"212"	"13"	"3"	"4"	"1"	"4"	"3"	"16"	"497"	"0"	"497"	"0"
"114"	"85"	"109"	"1"	"234"	"17"	"11"	"8"	"0"	"5"	"3"	"6"	"394"	"0"	"394"	"0"
"115"	"86"	"128"	"8"	"482"	"38"	"15"	"9"	"5"	"19"	"2"	"8"	"714"	"0"	"714"	"0"
"116"	"87"	"179"	"7"	"298"	"29"	"7"	"10"	"2"	"12"	"13"	"66"	"623"	"0"	"623"	"0"
"117"	"88"	"240"	"10"	"260"	"39"	"3"	"3"	"2"	"13"	"4"	"61"	"635"	"0"	"635"	"0"
"118"	"89"	"148"	"6"	"139"	"33"	"154"	"18"	"3"	"2"	"11"	"12"	"526"	"0"	"526"	"0"
"119"	"89A"	"75"	"6"	"144"	"62"	"23"	"5"	"1"	"5"	"3"	"3"	"327"	"0"	"327"	"0"
"120"	"90"	"146"	"6"	"327"	"36"	"14"	"16"	"7"	"29"	"15"	"34"	"630"	"0"	"630"	"0"
"121"	"91"	"296"	"1"	"135"	"29"	"1"	"2"	"1"	"0"	"0"	"29"	"494"	"0"	"494"	"0"
"122"	"91A"	"306"	"6"	"165"	"54"	"0"	"1"	"1"	"0"	"1"	"34"	"568"	"0"	"568"	"0"
"123"	"92"	"190"	"5"	"161"	"62"	"2"	"2"	"2"	"7"	"1"	"8"	"440"	"0"	"440"	"0"
"124"	"93"	"560"	"17"	"62"	"17"	"26"	"6"	"3"	"7"	"5"	"77"	"780"	"0"	"780"	"0"
"125"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"126"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"127"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"128"	"94"	"90"	"2"	"349"	"24"	"61"	"16"	"4"	"9"	"13"	"41"	"609"	"0"	"609"	"0"
"129"	"95"	"55"	"6"	"215"	"12"	"16"	"4"	"0"	"2"	"1"	"14"	"325"	"0"	"325"	"0"
"130"	"96"	"82"	"6"	"370"	"21"	"82"	"17"	"9"	"14"	"12"	"43"	"656"	"0"	"656"	"0"
"131"	"97"	"26"	"4"	"332"	"9"	"54"	"9"	"4"	"9"	"3"	"22"	"472"	"0"	"472"	"0"
"132"	"98"	"57"	"11"	"402"	"17"	"30"	"6"	"3"	"9"	"2"	"21"	"558"	"0"	"558"	"0"
"133"	"99"	"265"	"4"	"273"	"35"	"34"	"12"	"3"	"9"	"2"	"63"	"700"	"0"	"700"	"0"
"134"	"100"	"70"	"1"	"348"	"26"	"16"	"7"	"1"	"8"	"3"	"50"	"530"	"0"	"530"	"0"
"135"	"100A"	"95"	"7"	"213"	"8"	"14"	"3"	"3"	"3"	"4"	"53"	"403"	"0"	"403"	"0"
"136"	"101"	"69"	"1"	"169"	"8"	"16"	"1"	"0"	"6"	"4"	"9"	"283"	"0"	"283"	"0"
"137"	"101A"	"85"	"1"	"406"	"24"	"21"	"8"	"2"	"7"	"3"	"29"	"586"	"0"	"586"	"0"
"138"	"102"	"100"	"6"	"332"	"25"	"47"	"14"	"7"	"6"	"8"	"17"	"562"	"0"	"562"	"0"
"139"	"103"	"48"	"3"	"169"	"8"	"46"	"8"	"0"	"2"	"4"	"24"	"312"	"0"	"312"	"0"
"140"	"104"	"98"	"14"	"39"	"28"	"547"	"36"	"3"	"8"	"24"	"14"	"811"	"0"	"811"	"0"
"141"	"105"	"71"	"6"	"380"	"39"	"28"	"4"	"0"	"4"	"1"	"8"	"541"	"0"	"541"	"0"
"142"	"105A"	"101"	"1"	"233"	"10"	"27"	"12"	"2"	"1"	"4"	"18"	"409"	"0"	"409"	"0"
"143"	"106"	"23"	"6"	"438"	"49"	"62"	"22"	"6"	"37"	"4"	"30"	"677"	"0"	"677"	"0"
"144"	"107"	"177"	"10"	"56"	"32"	"19"	"3"	"4"	"1"	"3"	"175"	"480"	"0"	"480"	"0"
"145"	"108"	"212"	"9"	"42"	"15"	"14"	"6"	"5"	"8"	"10"	"212"	"533"	"0"	"533"	"0"
"146"	"109"	"153"	"2"	"78"	"41"	"47"	"3"	"1"	"1"	"4"	"32"	"362"	"0"	"362"	"0"
"147"	"109A"	"234"	"12"	"187"	"60"	"23"	"4"	"1"	"3"	"3"	"46"	"573"	"0"	"573"	"0"
"148"	"110"	"259"	"11"	"356"	"49"	"9"	"7"	"8"	"9"	"3"	"40"	"751"	"0"	"751"	"0"
"149"	"111"	"272"	"14"	"370"	"71"	"69"	"11"	"8"	"3"	"13"	"27"	"858"	"0"	"858"	"0"
"150"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"151"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"152"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"153"	"112"	"59"	"5"	"108"	"16"	"173"	"15"	"2"	"2"	"13"	"20"	"413"	"0"	"413"	"0"
"154"	"113"	"79"	"6"	"143"	"21"	"175"	"20"	"4"	"9"	"18"	"150"	"625"	"0"	"625"	"0"
"155"	"114"	"226"	"14"	"166"	"54"	"273"	"20"	"13"	"15"	"16"	"121"	"918"	"0"	"918"	"0"
"156"	"115"	"138"	"7"	"389"	"21"	"34"	"10"	"2"	"0"	"5"	"88"	"694"	"0"	"694"	"0"
"157"	"115A"	"64"	"3"	"153"	"47"	"52"	"6"	"3"	"10"	"3"	"109"	"450"	"0"	"450"	"0"
"158"	"116"	"43"	"4"	"297"	"26"	"24"	"9"	"2"	"1"	"9"	"112"	"527"	"0"	"527"	"0"
"159"	"117"	"6"	"0"	"289"	"2"	"0"	"0"	"0"	"1"	"0"	"5"	"303"	"0"	"303"	"0"
"160"	"118"	"53"	"16"	"369"	"48"	"150"	"30"	"20"	"30"	"13"	"152"	"881"	"0"	"881"	"0"
"161"	"119"	"12"	"1"	"166"	"29"	"37"	"7"	"3"	"3"	"5"	"60"	"323"	"0"	"323"	"0"
"162"	"120"	"25"	"7"	"423"	"41"	"24"	"7"	"6"	"22"	"7"	"14"	"576"	"0"	"576"	"0"
"163"	"121"	"85"	"1"	"464"	"12"	"5"	"4"	"4"	"6"	"2"	"69"	"652"	"0"	"652"	"0"
"164"	"122"	"216"	"10"	"374"	"25"	"7"	"2"	"5"	"14"	"10"	"67"	"730"	"0"	"730"	"0"
"165"	"123"	"167"	"2"	"292"	"6"	"34"	"2"	"1"	"4"	"0"	"74"	"582"	"0"	"582"	"0"
"166"	"124"	"130"	"7"	"196"	"17"	"47"	"6"	"7"	"9"	"13"	"198"	"630"	"0"	"630"	"0"
"167"	"125"	"37"	"3"	"347"	"19"	"82"	"11"	"9"	"6"	"4"	"25"	"543"	"0"	"543"	"0"
"168"	"126"	"134"	"1"	"268"	"32"	"32"	"4"	"6"	"11"	"8"	"90"	"586"	"0"	"586"	"0"
"169"	"126A"	"100"	"2"	"92"	"166"	"14"	"3"	"2"	"0"	"0"	"50"	"429"	"0"	"429"	"0"
"170"	"127"	"145"	"4"	"349"	"7"	"7"	"4"	"8"	"4"	"3"	"44"	"575"	"0"	"575"	"0"
"171"	"128"	"152"	"3"	"325"	"10"	"8"	"2"	"24"	"7"	"7"	"58"	"596"	"0"	"596"	"0"
"172"	"129"	"181"	"3"	"190"	"7"	"83"	"16"	"8"	"5"	"7"	"171"	"671"	"0"	"671"	"0"
"173"	"130"	"170"	"0"	"207"	"18"	"3"	"3"	"3"	"4"	"0"	"54"	"462"	"0"	"462"	"0"
"174"	"130A"	"147"	"1"	"157"	"12"	"2"	"2"	"0"	"2"	"0"	"16"	"339"	"0"	"339"	"0"
"175"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"176"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"177"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"178"	"131"	"37"	"5"	"199"	"198"	"16"	"1"	"3"	"5"	"1"	"19"	"484"	"0"	"484"	"0"
"179"	"132"	"61"	"3"	"377"	"51"	"37"	"15"	"5"	"11"	"7"	"18"	"585"	"0"	"585"	"0"
"180"	"133"	"66"	"10"	"264"	"84"	"96"	"10"	"2"	"6"	"7"	"18"	"563"	"0"	"563"	"0"
"181"	"134"	"405"	"7"	"113"	"14"	"14"	"4"	"2"	"4"	"3"	"56"	"622"	"0"	"622"	"0"
"182"	"135"	"215"	"5"	"109"	"4"	"3"	"3"	"1"	"5"	"1"	"43"	"389"	"0"	"389"	"0"
"183"	"136"	"93"	"4"	"226"	"98"	"14"	"6"	"2"	"11"	"6"	"108"	"568"	"0"	"568"	"0"
"184"	"136A"	"75"	"7"	"286"	"51"	"34"	"10"	"9"	"21"	"14"	"34"	"541"	"0"	"541"	"0"
"185"	"137"	"18"	"3"	"377"	"24"	"80"	"15"	"2"	"5"	"4"	"43"	"571"	"0"	"571"	"0"
"186"	"137A"	"11"	"4"	"277"	"24"	"58"	"5"	"2"	"4"	"6"	"14"	"405"	"0"	"405"	"0"
"187"	"138"	"37"	"10"	"524"	"41"	"157"	"18"	"7"	"16"	"9"	"31"	"850"	"0"	"850"	"0"
"188"	"139"	"68"	"20"	"269"	"31"	"212"	"30"	"14"	"16"	"19"	"47"	"726"	"0"	"726"	"0"
"189"	"140"	"508"	"4"	"170"	"16"	"0"	"1"	"0"	"1"	"2"	"8"	"710"	"0"	"710"	"0"
"190"	"141"	"486"	"4"	"200"	"13"	"1"	"1"	"0"	"4"	"0"	"13"	"722"	"0"	"722"	"0"
"191"	"142"	"580"	"6"	"223"	"22"	"4"	"2"	"3"	"6"	"2"	"37"	"885"	"0"	"885"	"0"
"192"	"143"	"369"	"3"	"84"	"12"	"0"	"3"	"0"	"0"	"0"	"12"	"483"	"0"	"483"	"0"
"193"	"144"	"695"	"9"	"216"	"35"	"1"	"3"	"1"	"2"	"2"	"16"	"980"	"0"	"980"	"0"
"194"	"145"	"364"	"2"	"66"	"9"	"1"	"3"	"1"	"0"	"0"	"5"	"451"	"0"	"451"	"0"
"195"	"146"	"614"	"9"	"123"	"15"	"0"	"2"	"1"	"3"	"6"	"31"	"804"	"0"	"804"	"0"
"196"	"147"	"508"	"6"	"112"	"81"	"8"	"5"	"6"	"5"	"7"	"26"	"764"	"0"	"764"	"0"
"197"	"148"	"412"	"8"	"122"	"33"	"7"	"4"	"2"	"4"	"3"	"11"	"606"	"0"	"606"	"0"
"198"	"149"	"141"	"4"	"169"	"8"	"4"	"2"	"0"	"3"	"2"	"15"	"348"	"0"	"348"	"0"
