"SL..NO..OF.POLLING.STATION"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"TOTAL.OF.VALID.VOTES"	"NO..OF.REJECTED.VOTES"	"TOTAL"	"NO..OF.TENDERED.VOTES"
"26"	"18"	"7"	"2"	"33"	"112"	"7"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"4"	"4"	"3"	"2"	"6"	"0"	"2"	"3"	"2"	"70"	"265"	"0"	"265"	"0"
"27"	"19"	"10"	"0"	"55"	"13"	"37"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"10"	"1"	"5"	"5"	"2"	"2"	"10"	"211"	"369"	"0"	"369"	"0"
"28"	"20"	"12"	"2"	"53"	"116"	"2"	"3"	"0"	"5"	"2"	"0"	"0"	"2"	"4"	"2"	"2"	"3"	"4"	"2"	"1"	"4"	"2"	"8"	"229"	"0"	"229"	"0"
"29"	"21"	"49"	"6"	"178"	"76"	"6"	"12"	"2"	"2"	"2"	"4"	"0"	"1"	"2"	"5"	"5"	"7"	"0"	"1"	"1"	"2"	"0"	"40"	"401"	"0"	"401"	"0"
"30"	"22"	"7"	"6"	"317"	"93"	"11"	"1"	"0"	"7"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"3"	"0"	"2"	"3"	"2"	"22"	"480"	"0"	"480"	"0"
"31"	"23"	"5"	"10"	"253"	"76"	"6"	"5"	"1"	"6"	"1"	"0"	"4"	"4"	"13"	"8"	"5"	"12"	"1"	"0"	"4"	"3"	"1"	"56"	"474"	"0"	"474"	"0"
"32"	"24"	"7"	"2"	"244"	"99"	"13"	"13"	"19"	"29"	"3"	"2"	"1"	"0"	"11"	"4"	"0"	"2"	"3"	"2"	"0"	"2"	"0"	"48"	"504"	"0"	"504"	"0"
"33"	"25"	"23"	"0"	"213"	"96"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"4"	"2"	"1"	"8"	"2"	"13"	"14"	"4"	"67"	"458"	"0"	"458"	"0"
"34"	"26"	"57"	"5"	"220"	"95"	"10"	"2"	"0"	"6"	"1"	"2"	"1"	"5"	"1"	"3"	"4"	"14"	"6"	"2"	"4"	"3"	"2"	"237"	"680"	"0"	"680"	"0"
"35"	"27"	"10"	"2"	"155"	"171"	"8"	"2"	"0"	"37"	"1"	"1"	"1"	"1"	"4"	"1"	"0"	"3"	"5"	"3"	"7"	"11"	"3"	"10"	"436"	"0"	"436"	"0"
"36"	"28"	"24"	"6"	"197"	"44"	"16"	"1"	"10"	"54"	"2"	"4"	"1"	"3"	"10"	"9"	"4"	"9"	"6"	"4"	"4"	"3"	"5"	"48"	"464"	"0"	"464"	"0"
"37"	"Total"	"356"	"56"	"2396"	"1311"	"154"	"58"	"45"	"216"	"16"	"24"	"12"	"30"	"75"	"59"	"52"	"77"	"69"	"31"	"55"	"66"	"41"	"1031"	"6230"	"0"	"6230"	"0"
"38"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"FORM- 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"FINAL RESULT SHEET [SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY, 2010  FROM 118- CHAPRA  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Total No, of Electors in the Assembly constituency- 254790                                                                                                            Round No. 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"44"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"46"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"47"	"29"	"3"	"3"	"246"	"105"	"10"	"4"	"2"	"1"	"3"	"1"	"6"	"0"	"5"	"1"	"2"	"1"	"4"	"0"	"9"	"8"	"0"	"3"	"417"	"0"	"417"	"0"
"48"	"30"	"13"	"6"	"297"	"102"	"5"	"1"	"5"	"7"	"2"	"0"	"2"	"6"	"5"	"1"	"1"	"4"	"3"	"0"	"1"	"1"	"0"	"32"	"494"	"0"	"494"	"0"
"49"	"31"	"8"	"1"	"98"	"249"	"12"	"0"	"1"	"3"	"0"	"2"	"0"	"0"	"3"	"1"	"1"	"4"	"3"	"4"	"4"	"8"	"0"	"1"	"403"	"0"	"403"	"0"
"50"	"32"	"7"	"4"	"253"	"99"	"5"	"5"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"0"	"1"	"5"	"1"	"6"	"7"	"6"	"0"	"3"	"409"	"0"	"409"	"0"
"51"	"33"	"25"	"0"	"236"	"153"	"2"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"6"	"3"	"1"	"0"	"3"	"1"	"3"	"1"	"1"	"440"	"0"	"440"	"0"
"52"	"34"	"10"	"0"	"238"	"189"	"7"	"1"	"1"	"1"	"0"	"1"	"5"	"1"	"5"	"2"	"3"	"6"	"5"	"1"	"2"	"2"	"0"	"5"	"485"	"0"	"485"	"0"
"53"	"35"	"5"	"0"	"175"	"65"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"247"	"0"	"247"	"0"
"54"	"36"	"18"	"3"	"313"	"114"	"9"	"13"	"1"	"14"	"0"	"2"	"1"	"0"	"2"	"4"	"2"	"1"	"8"	"4"	"3"	"4"	"6"	"4"	"526"	"0"	"526"	"0"
"55"	"37"	"14"	"3"	"238"	"313"	"25"	"5"	"10"	"13"	"1"	"5"	"2"	"6"	"6"	"5"	"11"	"20"	"6"	"2"	"12"	"15"	"3"	"52"	"767"	"0"	"767"	"0"
"56"	"38"	"12"	"3"	"261"	"67"	"2"	"16"	"3"	"1"	"0"	"6"	"6"	"2"	"2"	"4"	"1"	"1"	"6"	"1"	"5"	"5"	"3"	"15"	"422"	"0"	"422"	"0"
"57"	"38k"	"8"	"0"	"309"	"27"	"4"	"0"	"0"	"0"	"3"	"3"	"6"	"5"	"4"	"5"	"1"	"1"	"6"	"2"	"5"	"3"	"0"	"6"	"398"	"0"	"398"	"0"
"58"	"39"	"12"	"1"	"105"	"236"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"3"	"0"	"1"	"1"	"1"	"1"	"4"	"5"	"2"	"17"	"394"	"0"	"394"	"0"
"59"	"40"	"26"	"0"	"123"	"92"	"3"	"0"	"1"	"23"	"1"	"2"	"0"	"1"	"1"	"7"	"0"	"2"	"0"	"1"	"2"	"4"	"0"	"24"	"313"	"0"	"313"	"0"
"60"	"41"	"15"	"1"	"307"	"168"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"3"	"0"	"3"	"6"	"2"	"4"	"521"	"0"	"521"	"0"
"61"	"Total"	"176"	"25"	"3199"	"1979"	"88"	"47"	"27"	"65"	"13"	"24"	"34"	"24"	"41"	"36"	"27"	"47"	"46"	"25"	"58"	"71"	"17"	"167"	"6236"	"0"	"6236"	"0"
"62"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                       Signature of Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"64"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"65"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"66"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"67"	"42"	"23"	"5"	"271"	"161"	"5"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"7"	"4"	"1"	"4"	"12"	"2"	"7"	"14"	"1"	"2"	"525"	"0"	"525"	"0"
"68"	"43"	"16"	"3"	"189"	"186"	"4"	"2"	"1"	"2"	"0"	"0"	"2"	"1"	"3"	"2"	"0"	"0"	"4"	"0"	"0"	"9"	"0"	"1"	"425"	"0"	"425"	"0"
"69"	"44"	"9"	"4"	"169"	"123"	"6"	"7"	"2"	"2"	"2"	"0"	"3"	"1"	"5"	"3"	"1"	"9"	"10"	"6"	"15"	"7"	"2"	"53"	"439"	"0"	"439"	"0"
"70"	"45"	"0"	"0"	"104"	"97"	"1"	"8"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"4"	"5"	"7"	"1"	"7"	"0"	"18"	"262"	"0"	"262"	"0"
"71"	"45K"	"5"	"2"	"145"	"66"	"2"	"15"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"3"	"20"	"0"	"6"	"0"	"1"	"3"	"0"	"11"	"287"	"0"	"287"	"0"
"72"	"46"	"9"	"1"	"104"	"232"	"13"	"0"	"1"	"18"	"0"	"1"	"1"	"2"	"4"	"3"	"13"	"7"	"7"	"6"	"13"	"15"	"5"	"18"	"473"	"0"	"473"	"0"
"73"	"47"	"13"	"3"	"78"	"297"	"18"	"14"	"0"	"14"	"1"	"3"	"1"	"3"	"4"	"2"	"17"	"1"	"3"	"3"	"3"	"9"	"0"	"0"	"487"	"0"	"487"	"0"
"74"	"48"	"13"	"8"	"322"	"194"	"7"	"9"	"0"	"15"	"1"	"0"	"1"	"0"	"2"	"6"	"3"	"2"	"5"	"1"	"4"	"6"	"0"	"6"	"605"	"0"	"605"	"0"
"75"	"49"	"25"	"1"	"177"	"427"	"15"	"4"	"3"	"3"	"0"	"1"	"3"	"1"	"7"	"2"	"33"	"8"	"6"	"2"	"8"	"14"	"3"	"16"	"759"	"0"	"759"	"0"
"76"	"50"	"8"	"7"	"118"	"79"	"1"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"8"	"0"	"21"	"257"	"0"	"257"	"0"
"77"	"51"	"13"	"5"	"236"	"69"	"6"	"2"	"0"	"31"	"4"	"6"	"3"	"4"	"7"	"3"	"80"	"4"	"16"	"1"	"8"	"7"	"0"	"16"	"521"	"0"	"521"	"0"
"78"	"52"	"12"	"2"	"303"	"153"	"5"	"11"	"2"	"14"	"1"	"3"	"2"	"3"	"8"	"3"	"44"	"3"	"12"	"6"	"13"	"18"	"2"	"19"	"639"	"0"	"639"	"0"
"79"	"53"	"27"	"5"	"416"	"128"	"7"	"27"	"3"	"7"	"0"	"1"	"3"	"9"	"9"	"7"	"4"	"3"	"8"	"5"	"15"	"8"	"5"	"41"	"738"	"0"	"738"	"0"
"80"	"54"	"19"	"2"	"292"	"218"	"9"	"2"	"3"	"2"	"0"	"2"	"0"	"0"	"3"	"0"	"5"	"3"	"14"	"2"	"9"	"17"	"1"	"65"	"668"	"0"	"668"	"0"
"81"	"Total"	"192"	"48"	"2924"	"2430"	"99"	"107"	"17"	"112"	"11"	"18"	"23"	"29"	"67"	"41"	"223"	"48"	"108"	"41"	"99"	"142"	"19"	"287"	"7085"	"0"	"7085"	"0"
"82"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                       Signature of Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"84"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"86"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"87"	"55"	"22"	"13"	"243"	"117"	"16"	"10"	"6"	"12"	"5"	"2"	"1"	"4"	"8"	"9"	"7"	"21"	"6"	"5"	"8"	"3"	"4"	"148"	"670"	"0"	"670"	"0"
"88"	"56"	"29"	"2"	"252"	"76"	"1"	"4"	"3"	"11"	"0"	"5"	"2"	"3"	"2"	"2"	"2"	"5"	"9"	"4"	"8"	"7"	"2"	"74"	"503"	"0"	"503"	"0"
"89"	"57"	"26"	"2"	"106"	"76"	"4"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"23"	"249"	"0"	"249"	"0"
"90"	"57K"	"28"	"3"	"157"	"70"	"3"	"2"	"1"	"6"	"0"	"2"	"4"	"1"	"0"	"4"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"98"	"388"	"0"	"388"	"0"
"91"	"58"	"19"	"3"	"64"	"53"	"1"	"2"	"0"	"13"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"8"	"20"	"7"	"6"	"10"	"4"	"88"	"304"	"0"	"304"	"0"
"92"	"59"	"28"	"9"	"35"	"72"	"2"	"2"	"3"	"4"	"1"	"1"	"15"	"3"	"4"	"8"	"2"	"9"	"7"	"3"	"1"	"6"	"2"	"102"	"319"	"0"	"319"	"0"
"93"	"60"	"18"	"4"	"94"	"45"	"4"	"7"	"3"	"10"	"2"	"1"	"8"	"7"	"2"	"5"	"2"	"4"	"4"	"0"	"2"	"0"	"0"	"42"	"264"	"0"	"264"	"0"
"94"	"61"	"87"	"24"	"181"	"72"	"8"	"2"	"2"	"6"	"3"	"1"	"2"	"6"	"12"	"14"	"8"	"26"	"3"	"2"	"3"	"0"	"2"	"74"	"538"	"0"	"538"	"0"
"95"	"62"	"81"	"4"	"184"	"43"	"3"	"5"	"0"	"5"	"0"	"4"	"2"	"4"	"2"	"17"	"3"	"10"	"8"	"2"	"1"	"4"	"0"	"122"	"504"	"0"	"504"	"0"
"96"	"63"	"14"	"3"	"205"	"97"	"4"	"1"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"22"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"45"	"401"	"0"	"401"	"0"
"97"	"64"	"18"	"10"	"100"	"50"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"3"	"3"	"23"	"1"	"4"	"1"	"0"	"1"	"2"	"1"	"89"	"314"	"0"	"314"	"0"
"98"	"65"	"19"	"2"	"144"	"148"	"4"	"6"	"2"	"30"	"4"	"0"	"3"	"6"	"3"	"2"	"4"	"11"	"7"	"0"	"3"	"3"	"4"	"120"	"525"	"0"	"525"	"0"
"99"	"66"	"5"	"44"	"79"	"41"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"4"	"2"	"23"	"2"	"2"	"6"	"1"	"0"	"5"	"2"	"132"	"357"	"0"	"357"	"0"
"100"	"67"	"8"	"4"	"210"	"166"	"18"	"4"	"1"	"17"	"3"	"3"	"1"	"5"	"13"	"12"	"7"	"11"	"2"	"0"	"7"	"10"	"4"	"67"	"573"	"0"	"573"	"0"
"101"	"Total"	"402"	"127"	"2054"	"1126"	"69"	"46"	"27"	"123"	"20"	"24"	"43"	"49"	"54"	"142"	"41"	"113"	"75"	"27"	"42"	"53"	"28"	"1224"	"5909"	"0"	"5909"	"0"
"102"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                          Signature of Returnin"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"104"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR
SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"105"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"106"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"107"	"68"	"3"	"1"	"52"	"67"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"57"	"1"	"2"	"4"	"0"	"5"	"4"	"0"	"7"	"209"	"0"	"209"	"0"
