"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"108"	"92"	""	"101"	"0"	"0"	"32"	"13"	"5"	"2"	"3"	"5"	"0"	"2"	"410"	"23"	"596"
"109"	"93"	""	"26"	"10"	"6"	"199"	"57"	"14"	"1"	"1"	"3"	"13"	"14"	"563"	"52"	"959"
"110"	"94"	""	"189"	"6"	"8"	"93"	"18"	"6"	"3"	"3"	"6"	"5"	"5"	"129"	"22"	"493"
"111"	"95"	""	"89"	"11"	"7"	"150"	"15"	"3"	"2"	"8"	"5"	"1"	"5"	"362"	"8"	"666"
"112"	"96"	""	"32"	"55"	"2"	"67"	"54"	"3"	"2"	"74"	"4"	"5"	"13"	"655"	"23"	"989"
"113"	"97"	""	"231"	"13"	"13"	"149"	"34"	"8"	"2"	"85"	"17"	"3"	"14"	"202"	"18"	"789"
"114"	"98"	""	"261"	"13"	"7"	"187"	"95"	"7"	"3"	"2"	"9"	"9"	"9"	"220"	"17"	"839"
"115"	"99"	""	"473"	"18"	"3"	"247"	"47"	"3"	"0"	"1"	"6"	"8"	"2"	"20"	"7"	"835"
"116"	"100"	""	"50"	"3"	"2"	"9"	"3"	"0"	"0"	"4"	"1"	"1"	"13"	"334"	"17"	"437"
"117"	"101"	""	"284"	"13"	"3"	"86"	"12"	"3"	"1"	"6"	"8"	"4"	"9"	"392"	"34"	"855"
"118"	"102"	""	"227"	"8"	"0"	"57"	"15"	"4"	"3"	"9"	"3"	"8"	"17"	"449"	"24"	"824"
"119"	"103"	""	"334"	"11"	"2"	"27"	"19"	"3"	"0"	"1"	"0"	"2"	"5"	"93"	"18"	"515"
"120"	"104"	""	"6"	"0"	"0"	"118"	"10"	"0"	"2"	"0"	"4"	"3"	"8"	"195"	"5"	"351"
"121"	"105"	""	"283"	"12"	"11"	"309"	"73"	"21"	"9"	"6"	"6"	"22"	"13"	"49"	"73"	"887"
"122"	"106"	""	"283"	"13"	"7"	"242"	"63"	"10"	"6"	"10"	"12"	"19"	"12"	"24"	"61"	"762"
"123"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"127"	"107"	""	"235"	"6"	"3"	"182"	"108"	"5"	"3"	"4"	"7"	"8"	"6"	"41"	"22"	"630"
"128"	"108"	""	"495"	"26"	"3"	"118"	"77"	"9"	"8"	"5"	"5"	"14"	"12"	"17"	"40"	"829"
"129"	"109"	""	"59"	"7"	"9"	"79"	"50"	"7"	"2"	"109"	"12"	"1"	"7"	"251"	"7"	"600"
"130"	"110"	""	"219"	"9"	"1"	"110"	"33"	"4"	"5"	"127"	"12"	"9"	"6"	"119"	"24"	"678"
"131"	"111"	""	"321"	"4"	"6"	"25"	"30"	"72"	"4"	"105"	"81"	"11"	"77"	"110"	"21"	"867"
"132"	"112"	""	"261"	"4"	"6"	"225"	"88"	"10"	"3"	"25"	"25"	"8"	"6"	"30"	"43"	"734"
"133"	"113"	""	"317"	"6"	"4"	"31"	"9"	"4"	"3"	"42"	"8"	"4"	"0"	"7"	"15"	"450"
"134"	"114"	""	"144"	"2"	"2"	"104"	"35"	"6"	"5"	"6"	"6"	"4"	"13"	"180"	"11"	"518"
"135"	"115"	""	"455"	"7"	"3"	"98"	"18"	"6"	"4"	"18"	"1"	"4"	"1"	"94"	"5"	"714"
"136"	"116"	""	"12"	"7"	"8"	"214"	"186"	"18"	"3"	"440"	"3"	"3"	"0"	"5"	"13"	"912"
"137"	"117"	""	"16"	"4"	"21"	"47"	"25"	"3"	"5"	"258"	"2"	"3"	"5"	"6"	"7"	"402"
"138"	"117"	"A"	"140"	"10"	"4"	"43"	"15"	"6"	"0"	"72"	"6"	"3"	"4"	"89"	"13"	"405"
"139"	"118"	""	"425"	"8"	"2"	"66"	"50"	"8"	"2"	"198"	"9"	"8"	"12"	"66"	"28"	"882"
"140"	"119"	""	"35"	"1"	"4"	"93"	"60"	"9"	"6"	"375"	"10"	"11"	"6"	"10"	"20"	"640"
"141"	"120"	""	"18"	"3"	"4"	"26"	"69"	"2"	"4"	"152"	"1"	"2"	"2"	"5"	"2"	"290"
"142"	"121"	""	"10"	"2"	"2"	"14"	"100"	"4"	"3"	"328"	"1"	"3"	"6"	"1"	"1"	"475"
"143"	"122"	""	"177"	"8"	"2"	"68"	"55"	"10"	"3"	"167"	"7"	"11"	"6"	"6"	"10"	"530"
"144"	"123"	""	"99"	"7"	"3"	"16"	"385"	"6"	"3"	"109"	"9"	"7"	"4"	"10"	"23"	"681"
"145"	"124"	""	"333"	"8"	"5"	"12"	"232"	"6"	"4"	"130"	"7"	"4"	"6"	"9"	"21"	"777"
"146"	"125"	""	"67"	"7"	"2"	"123"	"44"	"11"	"7"	"25"	"4"	"7"	"3"	"12"	"14"	"326"
"147"	"126"	""	"292"	"8"	"2"	"13"	"176"	"5"	"5"	"268"	"7"	"10"	"5"	"9"	"17"	"817"
"148"	"127"	""	"7"	"3"	"1"	"10"	"161"	"5"	"5"	"468"	"7"	"4"	"3"	"3"	"7"	"684"
"149"	"128"	""	"55"	"5"	"6"	"21"	"144"	"5"	"3"	"381"	"4"	"3"	"3"	"9"	"4"	"643"
"150"	"129"	""	"99"	"5"	"1"	"3"	"61"	"3"	"4"	"493"	"5"	"3"	"9"	"5"	"7"	"698"
"151"	"130"	""	"195"	"6"	"6"	"44"	"45"	"4"	"6"	"287"	"2"	"4"	"11"	"22"	"11"	"643"
"152"	"131"	""	"171"	"5"	"4"	"47"	"276"	"8"	"5"	"149"	"8"	"12"	"10"	"22"	"36"	"753"
"153"	"132"	""	"63"	"3"	"2"	"7"	"335"	"16"	"4"	"90"	"15"	"8"	"5"	"7"	"5"	"560"
"154"	"133"	""	"207"	"11"	"5"	"40"	"142"	"15"	"2"	"42"	"3"	"4"	"6"	"16"	"13"	"506"
"155"	"134"	""	"69"	"7"	"4"	"15"	"308"	"11"	"10"	"210"	"8"	"11"	"11"	"11"	"14"	"689"
"156"	"135"	""	"47"	"3"	"6"	"162"	"17"	"7"	"3"	"297"	"15"	"8"	"7"	"142"	"29"	"743"
"157"	"136"	""	"113"	"7"	"3"	"183"	"22"	"7"	"5"	"81"	"10"	"8"	"34"	"213"	"31"	"717"
"158"	"137"	""	"51"	"4"	"13"	"258"	"20"	"10"	"1"	"2"	"3"	"4"	"60"	"65"	"20"	"511"
"159"	"138"	""	"468"	"12"	"16"	"17"	"12"	"2"	"4"	"8"	"8"	"5"	"422"	"39"	"22"	"1035"
"160"	"139"	""	"454"	"16"	"0"	"76"	"42"	"1"	"4"	"5"	"3"	"6"	"1"	"46"	"9"	"663"
"161"	"140"	""	"373"	"9"	"3"	"195"	"94"	"4"	"4"	"29"	"11"	"10"	"11"	"49"	"33"	"825"
"162"	"141"	""	"484"	"9"	"4"	"102"	"96"	"10"	"9"	"10"	"2"	"4"	"5"	"16"	"9"	"760"
"163"	"142"	""	"149"	"3"	"4"	"49"	"78"	"4"	"1"	"4"	"4"	"4"	"13"	"70"	"9"	"392"
"164"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"168"	"143"	""	"19"	"0"	"91"	"48"	"63"	"5"	"5"	"337"	"3"	"4"	"1"	"3"	"13"	"592"
"169"	"144"	""	"610"	"19"	"34"	"44"	"113"	"9"	"6"	"26"	"10"	"7"	"11"	"22"	"28"	"939"
"170"	"145"	""	"283"	"5"	"153"	"144"	"24"	"15"	"7"	"23"	"8"	"8"	"12"	"15"	"40"	"737"
"171"	"146"	""	"293"	"10"	"65"	"86"	"33"	"8"	"3"	"72"	"7"	"1"	"7"	"7"	"8"	"600"
"172"	"147"	""	"281"	"5"	"16"	"64"	"17"	"5"	"3"	"23"	"6"	"3"	"9"	"8"	"9"	"449"
"173"	"148"	""	"141"	"1"	"6"	"199"	"14"	"3"	"0"	"6"	"2"	"9"	"3"	"10"	"23"	"417"
"174"	"149"	""	"424"	"17"	"8"	"104"	"8"	"9"	"5"	"22"	"5"	"2"	"3"	"12"	"10"	"629"
"175"	"150"	""	"13"	"1"	"3"	"11"	"46"	"2"	"5"	"393"	"7"	"2"	"1"	"2"	"1"	"487"
"176"	"151"	""	"244"	"9"	"15"	"44"	"10"	"2"	"0"	"3"	"2"	"3"	"33"	"4"	"6"	"375"
"177"	"152"	""	"18"	"2"	"3"	"12"	"70"	"5"	"6"	"405"	"8"	"2"	"1"	"0"	"3"	"535"
"178"	"153"	""	"382"	"18"	"7"	"44"	"21"	"2"	"6"	"9"	"7"	"4"	"4"	"17"	"19"	"540"
"179"	"154"	""	"179"	"4"	"24"	"18"	"72"	"17"	"3"	"113"	"4"	"6"	"11"	"80"	"6"	"537"
"180"	"155"	""	"382"	"15"	"2"	"195"	"46"	"10"	"3"	"31"	"12"	"18"	"20"	"30"	"38"	"802"
"181"	"156"	""	"58"	"5"	"18"	"371"	"34"	"5"	"1"	"3"	"8"	"23"	"6"	"29"	"29"	"590"
"182"	"157"	""	"74"	"3"	"11"	"430"	"98"	"10"	"7"	"8"	"6"	"21"	"7"	"22"	"39"	"736"
"183"	"158"	""	"140"	"8"	"14"	"101"	"30"	"3"	"0"	"0"	"0"	"3"	"1"	"5"	"6"	"311"
"184"	"159"	""	"200"	"6"	"17"	"188"	"275"	"12"	"7"	"20"	"9"	"7"	"8"	"9"	"15"	"773"
"185"	"160"	""	"200"	"3"	"6"	"159"	"127"	"6"	"10"	"6"	"8"	"9"	"14"	"26"	"39"	"613"
"186"	"161"	""	"7"	"2"	"2"	"14"	"325"	"5"	"8"	"37"	"3"	"2"	"5"	"2"	"5"	"417"
"187"	"162"	""	"9"	"5"	"1"	"3"	"307"	"6"	"5"	"24"	"7"	"1"	"2"	"4"	"8"	"382"
"188"	"163"	""	"37"	"2"	"0"	"63"	"322"	"9"	"1"	"4"	"2"	"3"	"5"	"3"	"8"	"459"
"189"	"164"	""	"26"	"0"	"4"	"21"	"491"	"7"	"1"	"4"	"5"	"4"	"5"	"6"	"8"	"582"
"190"	"165"	""	"39"	"0"	"3"	"43"	"437"	"6"	"1"	"3"	"5"	"4"	"0"	"6"	"9"	"556"
"191"	"166"	""	"15"	"5"	"1"	"10"	"567"	"8"	"2"	"3"	"2"	"3"	"2"	"2"	"1"	"621"
"192"	"167"	""	"14"	"1"	"1"	"9"	"715"	"9"	"3"	"0"	"10"	"2"	"3"	"1"	"6"	"774"
"193"	"168"	""	"246"	"7"	"4"	"43"	"265"	"7"	"3"	"118"	"7"	"4"	"2"	"7"	"6"	"719"
"194"	"169"	""	"275"	"2"	"0"	"23"	"97"	"2"	"1"	"162"	"5"	"3"	"1"	"7"	"13"	"591"
"195"	"170"	""	"204"	"5"	"4"	"11"	"235"	"3"	"5"	"205"	"4"	"11"	"3"	"44"	"17"	"751"
"196"	"171"	""	"506"	"7"	"4"	"29"	"18"	"4"	"1"	"66"	"3"	"3"	"2"	"18"	"5"	"666"
"197"	"172"	""	"256"	"6"	"4"	"22"	"16"	"2"	"1"	"7"	"3"	"8"	"3"	"240"	"25"	"593"
