"er.nku..d.sUnz..dh.Øe..l.a....k"	"fuEufy...kr..d.s..i..k..esa..fn...x...fof.kekU...er.ksa..dh..l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"51"	"45"	400	2	7	15	193	3	2	0	0	5	6	12	2	7	2	21	5	0	0	2
"52"	"46"	107	3	2	17	395	8	5	1	3	11	7	12	3	5	3	13	3	0	2	5
"53"	"47"	173	1	4	4	492	11	1	5	1	8	7	9	7	0	5	26	2	1	0	3
"54"	"48"	31	0	5	9	427	13	1	0	1	2	3	11	0	2	1	3	0	0	2	1
"55"	"49"	25	1	27	3	405	3	1	4	0	2	0	3	0	0	2	8	4	1	1	2
"56"	"50"	256	3	4	3	216	2	1	0	1	20	1	1	1	2	2	8	41	9	10	3
"57"	"51"	164	2	7	1	127	2	0	0	0	4	0	8	0	3	0	7	4	0	0	2
"58"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"60"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"52"	234	5	15	0	118	5	1	1	0	27	3	2	0	0	0	1	0	1	2	0
"62"	"53"	139	1	4	2	209	2	1	0	1	4	0	1	0	2	0	3	3	2	0	0
"63"	"54"	165	2	48	3	80	3	0	0	4	2	0	0	1	0	0	3	1	2	0	1
"64"	"55"	69	5	25	5	257	15	3	2	1	10	10	13	4	4	7	19	6	4	6	9
"65"	"56"	156	3	65	11	181	10	2	1	1	12	7	9	5	4	2	26	11	2	10	6
"66"	"57"	137	0	0	2	186	5	1	0	1	38	6	5	3	1	1	5	5	1	2	6
"67"	"58"	88	2	0	4	143	3	1	0	1	42	1	1	0	2	0	3	1	0	3	3
"68"	"59"	216	2	0	3	145	2	8	0	0	29	3	7	1	1	0	7	1	0	0	1
"69"	"60"	285	4	4	1	135	3	2	0	3	2	0	1	0	1	0	5	3	0	0	1
"70"	"61"	156	2	5	4	142	4	8	10	10	146	9	12	3	5	2	22	7	2	7	3
"71"	"62"	174	3	7	31	288	0	1	0	1	28	0	3	0	2	1	10	3	0	0	2
"72"	"63"	20	0	9	2	603	3	0	2	2	27	2	0	1	43	0	2	4	3	2	7
"73"	"64"	97	3	36	4	354	11	1	2	4	5	22	6	2	4	2	20	1	1	1	4
"74"	"65"	64	0	7	4	200	5	0	1	2	0	6	3	0	0	0	7	3	0	2	0
"75"	"66"	123	2	1	3	191	6	2	1	2	3	11	6	6	4	2	21	9	2	8	5
"76"	"67"	28	1	10	1	183	4	1	0	0	3	2	3	2	7	1	7	0	1	0	1
"77"	"68"	334	7	10	1	223	2	0	3	1	4	3	6	7	6	7	38	12	2	1	3
"78"	"69"	160	2	7	2	264	8	2	1	4	4	5	6	3	6	4	13	7	7	2	2
"79"	"70"	317	7	5	4	197	8	0	0	1	2	5	6	1	7	0	12	3	2	3	2
"80"	"71"	357	3	9	6	159	4	0	0	1	4	1	2	0	0	0	3	5	0	1	0
"81"	"72"	158	4	5	1	198	3	0	1	2	4	2	16	9	1	1	8	7	3	5	5
"82"	"73"	76	0	10	2	450	6	3	0	2	3	3	4	4	2	3	15	3	1	0	0
"83"	"73"	129	1	27	6	200	8	1	1	4	2	1	9	1	1	1	4	14	2	4	11
"84"	"74"	618	5	16	5	105	1	0	1	2	11	7	8	4	6	3	18	16	2	2	2
"85"	"75"	202	4	18	5	411	8	0	2	2	7	10	15	5	1	5	20	6	2	0	3
"86"	"76"	203	6	8	0	32	1	4	2	1	12	4	5	5	7	1	17	3	0	1	2
"87"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"89"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	"77"	311	10	9	11	162	9	4	5	8	14	10	15	3	9	4	22	15	0	4	5
"91"	"78"	362	6	4	5	114	1	3	1	1	32	4	7	3	1	7	17	11	6	6	2
"92"	"79"	142	9	12	5	84	6	7	8	9	108	14	9	10	7	21	17	17	6	5	8
"93"	"80"	255	5	3	5	99	3	0	2	4	77	6	2	4	6	13	10	15	3	2	0
"94"	"81"	149	3	16	4	174	5	1	1	2	40	5	5	1	1	31	8	21	3	2	2
"95"	"82"	258	2	24	5	133	4	3	0	0	5	3	2	3	0	0	5	3	2	2	0
"96"	"83"	293	1	7	2	201	1	0	1	4	4	1	5	3	4	1	12	4	4	1	5
"97"	"83"	155	1	6	2	98	1	0	0	3	3	4	8	1	4	3	13	4	1	2	4
"98"	"84"	280	4	9	1	61	6	0	4	2	17	2	4	5	28	2	4	1	0	4	1
"99"	"85"	119	1	12	2	208	1	0	0	3	3	0	1	1	4	2	3	0	1	1	1
"100"	"86"	228	5	20	6	418	10	7	2	3	9	5	5	1	0	1	12	4	0	2	2
"101"	"87"	315	11	32	7	176	5	2	3	2	24	9	4	5	7	4	19	3	0	1	2
"102"	"88"	447	3	12	6	47	0	3	0	6	19	9	2	2	0	0	4	23	0	0	0
"103"	"89"	388	3	5	6	115	5	2	1	3	5	1	7	2	3	4	11	1	0	2	4
"104"	"90"	179	4	23	6	324	6	0	2	3	2	5	3	0	6	2	9	3	1	2	3
"105"	"91"	49	1	28	6	278	14	1	1	0	10	2	1	0	0	0	3	0	0	0	0
"106"	"92"	629	1	5	1	66	2	0	1	3	2	3	4	1	2	6	17	4	3	0	2
"107"	"93"	706	4	11	0	36	2	0	0	0	0	2	1	0	0	1	2	5	1	2	1
"108"	"94"	407	2	12	1	52	1	1	1	0	2	2	3	2	7	1	11	7	3	3	3
"109"	"95"	379	2	2	0	32	1	0	1	0	1	2	1	6	1	5	5	10	2	3	2
"110"	"96"	418	1	15	0	29	1	0	0	2	2	0	2	2	1	1	4	12	0	0	0
"111"	"97"	324	0	13	3	164	0	0	0	0	5	1	1	1	1	0	4	3	0	2	0
"112"	"98"	341	4	6	2	78	2	2	0	0	8	2	0	1	2	2	17	2	0	0	0
"113"	"99"	226	2	10	3	179	2	0	1	2	4	2	3	4	2	5	12	9	0	1	1
"114"	"100"	431	4	5	1	98	2	3	1	2	25	1	1	6	2	2	12	8	0	2	6
"115"	"101"	313	5	13	4	141	6	1	1	2	7	1	2	3	1	1	9	1	2	2	0
"116"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"118"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"102"	253	9	6	3	60	1	1	1	2	3	2	1	4	0	1	4	2	0	2	1
"120"	"102"	178	13	5	7	66	4	6	5	6	117	12	8	11	14	6	19	7	1	3	3
"121"	"103"	355	4	7	2	70	3	0	1	1	3	0	2	0	0	1	1	8	1	0	0
"122"	"104"	200	1	7	4	56	4	0	0	0	2	1	3	1	0	1	4	2	0	2	0
"123"	"104"	241	1	8	0	52	3	0	0	2	2	0	0	3	0	1	3	0	0	0	2
"124"	"105"	461	1	9	16	121	0	0	0	0	8	1	2	2	1	2	7	4	0	0	0
"125"	"106"	280	1	13	3	140	0	1	0	1	0	1	2	0	1	1	8	0	0	0	0
"126"	"107"	315	2	7	6	79	0	2	0	2	15	1	3	2	2	0	4	3	0	0	5
"127"	"108"	206	1	7	2	81	2	0	0	0	7	2	2	1	1	0	5	3	0	0	0
"128"	"109"	258	4	19	7	172	4	1	2	2	21	3	4	2	1	4	8	0	0	3	0
"129"	"110"	375	2	10	43	145	1	2	1	1	5	0	5	0	0	0	3	2	0	0	0
"130"	"111"	399	2	21	2	195	1	2	1	1	3	1	2	0	2	1	5	5	1	0	2
"131"	"112"	279	0	10	1	125	2	0	0	1	0	0	1	0	1	0	4	3	0	1	3
"132"	"113"	252	1	7	1	47	0	0	1	0	3	0	1	0	0	1	4	6	1	1	2
"133"	"114"	131	1	11	3	126	1	0	0	0	0	1	1	2	1	1	2	0	0	0	3
"134"	"115"	395	4	12	1	49	2	0	0	0	1	1	1	2	1	2	7	6	1	1	0
"135"	"116"	563	1	8	1	24	1	0	1	0	3	0	0	1	0	2	3	14	0	1	0
"136"	"117"	22	0	38	0	190	1	1	0	2	0	1	0	0	0	0	5	1	0	0	0
"137"	"118"	28	0	44	0	184	4	0	1	0	0	1	2	0	1	1	0	1	0	2	1
"138"	"119"	363	0	43	1	187	4	1	0	0	1	1	2	0	1	0	1	0	0	0	0
"139"	"120"	204	1	13	1	236	2	1	1	2	2	1	1	0	0	0	3	8	4	7	3
"140"	"121"	285	0	23	3	318	4	2	1	1	0	0	3	1	2	0	11	3	2	1	0
"141"	"122"	116	0	19	5	118	5	0	0	0	25	1	1	0	4	0	8	8	2	0	3
"142"	"123"	15	0	25	8	284	12	1	1	1	26	4	8	1	4	4	3	6	2	13	7
"143"	"124"	124	2	21	2	324	2	1	0	3	9	2	2	2	11	0	2	3	0	2	1
"144"	"125"	316	1	7	1	108	1	1	0	1	3	0	1	1	1	1	2	13	6	0	7
"145"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"147"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"126"	257	3	13	3	160	2	2	1	0	0	0	1	0	0	1	2	5	6	1	3
"149"	"127"	63	1	11	1	325	4	1	1	1	13	1	5	0	11	0	7	1	0	0	2
"150"	"128"	235	3	7	4	325	2	5	0	0	32	1	3	1	7	1	11	4	1	2	1
"151"	"129"	86	1	4	0	232	3	0	0	0	3	2	2	3	2	0	3	0	0	1	5
"152"	"130"	23	1	49	3	262	1	0	1	0	1	0	3	0	0	0	1	0	0	0	1
"153"	"131"	138	1	23	0	277	0	0	0	1	5	0	4	2	2	2	3	8	0	1	1
"154"	"132"	280	0	17	1	92	3	0	1	3	7	2	4	4	28	0	6	4	0	2	2
"155"	"133"	278	0	9	1	17	0	0	0	2	0	1	1	1	0	1	5	3	1	1	0
"156"	"134"	79	0	22	0	86	2	0	0	1	0	0	1	2	0	0	0	0	0	1	0
"157"	"135"	229	4	15	4	31	0	0	1	1	2	0	4	0	1	1	5	7	0	0	0
"158"	"136"	368	8	0	4	19	1	2	0	3	4	3	2	1	8	2	16	16	1	0	3
"159"	"137"	373	2	27	1	45	1	1	0	0	3	0	4	2	1	2	5	2	0	2	0
"160"	"138"	368	1	12	0	7	1	2	1	0	0	0	4	0	0	0	3	0	0	0	0
"161"	"139"	361	0	3	2	103	3	1	2	2	1	0	0	1	0	0	10	0	0	0	0
"162"	"140"	363	1	8	2	53	0	2	1	0	3	3	2	1	2	0	0	7	2	2	1
"163"	"141"	332	0	6	2	37	0	0	0	0	4	0	0	2	2	0	1	2	0	0	1
"164"	"141"	198	2	4	6	34	0	0	0	0	4	0	1	1	0	0	1	1	0	0	1
"165"	"142"	261	0	13	2	116	2	1	1	1	14	0	2	0	2	1	8	4	0	1	1
"166"	"143"	403	2	14	17	98	0	1	0	1	9	2	1	0	8	2	5	12	2	4	5
"167"	"144"	367	0	21	0	47	0	2	1	4	20	1	1	1	2	0	3	3	0	0	1
"168"	"145"	379	5	15	6	126	3	0	0	1	5	0	0	2	1	1	4	3	0	0	0
"169"	"146"	483	0	20	9	47	1	0	1	2	5	0	1	0	3	0	3	2	1	1	3
"170"	"147"	363	3	20	2	132	5	0	1	5	14	1	0	2	3	1	6	13	1	1	0
"171"	"148"	378	3	19	11	88	2	1	1	0	4	0	4	5	1	1	3	0	0	0	0
"172"	"149"	346	6	24	2	212	5	0	0	1	2	10	15	4	8	2	17	1	0	1	3
"173"	"150"	349	3	13	12	138	2	2	0	0	7	0	2	1	0	4	1	3	1	1	0
"174"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"176"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	"151"	410	2	10	12	133	0	1	1	1	5	2	6	3	4	1	7	3	0	0	1
"178"	"152"	332	5	48	5	67	0	1	1	4	16	0	2	3	3	0	2	0	1	2	0
"179"	"153"	218	0	4	3	54	1	1	0	0	1	1	1	1	3	1	5	3	0	1	1
"180"	"154"	279	2	14	5	177	6	2	1	2	13	6	5	5	1	0	6	1	0	0	1
"181"	"155"	223	3	15	3	88	1	0	0	1	21	0	16	1	1	0	3	1	0	0	0
"182"	"156"	296	1	7	2	85	4	1	0	20	12	0	1	0	1	1	5	1	1	0	0
"183"	"157"	269	0	10	3	120	2	0	0	2	13	2	3	1	2	5	7	1	0	0	1
"184"	"158"	225	1	12	4	50	0	0	0	0	3	1	1	0	0	1	1	0	0	0	1
"185"	"159"	336	5	23	3	280	3	2	0	8	8	1	9	3	4	2	4	0	2	2	1
"186"	"160"	385	2	18	4	192	1	1	0	1	15	6	5	1	2	2	4	5	1	1	2
"187"	"161"	316	5	43	1	154	9	0	1	11	9	1	5	2	4	1	8	5	1	1	2
"188"	"162"	291	5	23	3	120	2	2	1	7	19	3	2	1	1	1	3	2	1	4	3
"189"	"163"	243	2	15	19	164	4	4	2	7	37	8	5	4	3	3	6	4	3	10	3
"190"	"164"	289	2	19	11	107	1	0	1	0	6	1	2	0	0	1	2	0	1	1	0
"191"	"165"	320	0	14	2	82	2	1	0	1	6	1	0	1	1	2	2	3	1	0	0
"192"	"166"	336	2	19	1	154	3	0	0	1	1	1	1	1	1	0	1	1	2	4	1
"193"	"167"	305	2	4	4	41	2	0	0	0	17	0	0	0	0	0	0	2	0	1	0
"194"	"168"	198	3	5	3	37	0	0	0	2	6	0	0	0	0	0	3	2	0	0	0
"195"	"169"	286	4	11	4	65	0	0	0	0	9	0	0	0	0	0	0	5	1	1	1
"196"	"170"	217	3	4	1	44	1	0	0	1	1	1	3	0	0	0	0	2	0	0	0
"197"	"171"	209	15	3	1	32	1	0	0	6	0	0	2	0	0	0	0	1	0	0	0
"198"	"172"	216	1	4	2	45	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0
"199"	"173"	237	0	6	5	25	0	0	0	0	3	1	0	0	0	0	5	1	0	0	0
"200"	"174"	208	0	7	1	32	0	2	0	0	1	0	1	0	2	0	0	5	0	1	0
"201"	"175"	311	0	16	12	51	2	1	1	0	19	3	0	1	1	1	3	10	1	0	1
"202"	"175"	204	1	6	6	34	2	1	0	0	21	0	1	2	0	0	2	13	2	2	0
"203"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"205"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	"176"	272	3	8	10	54	2	0	0	1	8	0	0	5	3	1	0	3	1	1	0
"207"	"176"	159	0	3	4	25	0	0	1	0	16	0	1	1	1	1	0	0	0	0	0
"208"	"177"	304	3	8	2	44	0	0	0	0	13	4	0	0	1	3	1	0	0	0	0
"209"	"178"	313	1	19	4	42	1	0	1	1	17	4	3	1	10	1	4	2	0	1	1
"210"	"179"	129	0	5	2	113	3	1	0	3	3	1	5	3	75	3	7	3	2	2	1
"211"	"180"	279	3	6	2	30	0	0	0	1	5	0	1	0	1	0	8	3	0	0	0
"212"	"180"	201	0	13	2	33	1	0	1	1	6	2	1	1	5	1	3	2	0	0	0
"213"	"181"	73	3	6	13	365	9	10	3	4	273	19	11	12	4	1	11	0	1	2	0
"214"	"182"	346	3	12	17	66	3	2	2	3	18	1	3	2	3	2	9	5	0	0	0
"215"	"183"	194	2	5	2	29	0	0	1	0	13	1	2	2	0	2	1	0	0	0	0
"216"	"184"	366	2	13	3	36	2	0	0	1	11	4	2	8	0	1	1	3	0	0	0
"217"	"185"	399	6	12	4	140	4	3	2	2	13	0	7	4	5	2	11	23	1	0	3
"218"	"186"	322	3	12	5	96	6	5	0	4	71	9	4	3	2	1	4	12	0	0	3
"219"	"187"	186	1	4	8	53	0	0	0	0	13	0	3	1	0	0	5	1	0	0	0
"220"	"188"	181	2	6	2	60	0	2	4	7	108	12	9	3	1	1	3	1	1	0	1
"221"	"189"	143	3	8	10	98	5	6	2	8	286	20	7	5	3	2	15	7	2	7	7
"222"	"190"	303	1	8	2	112	1	0	2	0	24	6	3	2	9	1	8	3	0	0	1
"223"	"191"	333	2	17	2	81	5	1	1	2	27	2	9	0	0	0	2	10	7	1	4
"224"	"192"	280	1	19	1	81	1	2	0	1	24	2	5	3	2	0	7	6	1	4	7
"225"	"193"	235	0	17	1	48	2	2	0	0	14	0	2	0	1	0	5	12	1	3	2
"226"	"194"	415	1	11	0	136	1	2	0	2	43	2	4	4	3	0	10	1	0	0	2
"227"	"195"	148	1	15	4	38	1	1	0	2	3	0	0	0	1	0	3	1	2	0	1
"228"	"196"	280	0	14	4	52	1	1	0	0	12	0	1	3	2	1	22	17	3	1	4
"229"	"197"	259	1	6	1	111	0	0	0	1	27	0	0	1	1	0	2	4	0	0	1
"230"	"198"	210	0	3	2	62	1	0	0	0	4	0	0	1	0	0	1	1	0	0	1
"231"	"199"	172	0	3	3	43	1	2	0	1	10	2	4	1	0	0	0	0	0	0	0
"232"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"234"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"200"	276	0	15	7	124	2	2	0	1	20	1	1	0	1	1	2	3	1	0	1
"236"	"201"	139	2	56	5	234	4	0	0	2	13	5	5	1	5	3	7	2	0	1	5
"237"	"202"	340	4	14	7	150	3	0	0	3	23	3	7	4	2	0	9	7	3	3	10
"238"	"203"	147	1	34	2	226	4	1	0	0	15	1	2	1	1	0	3	0	0	0	1
"239"	"204"	374	3	6	3	39	0	3	3	5	98	7	4	6	4	3	12	15	2	2	11
"240"	"205"	279	0	12	3	91	0	0	0	0	12	2	4	2	1	1	3	12	0	0	3
"241"	"206"	232	0	2	2	37	2	1	1	1	12	5	5	2	0	0	4	0	0	0	3
"242"	"207"	206	1	6	6	154	4	0	3	2	20	5	6	1	3	4	7	3	1	0	2
"243"	"208"	180	3	1	1	354	3	1	1	1	11	1	2	1	0	0	5	4	0	0	1
"244"	"209"	200	6	8	2	122	3	1	0	0	13	1	3	2	3	0	6	1	2	1	3
"245"	"210"	213	0	8	3	212	2	0	0	2	33	5	5	4	1	3	7	9	1	2	2
"246"	"211"	494	1	4	4	28	2	1	1	1	20	2	1	2	0	2	3	6	0	0	4
"247"	"212"	322	2	15	7	153	3	0	0	0	11	1	2	1	0	0	4	21	0	1	2
"248"	"213"	117	1	7	3	125	1	1	1	3	6	7	3	2	0	0	8	9	2	0	2
"249"	"214"	170	3	6	7	303	3	1	0	4	74	6	18	3	2	2	13	6	1	0	1
"250"	"215"	110	0	9	21	89	4	3	5	3	227	13	3	4	3	5	21	3	0	0	0
"251"	"216"	65	3	1	4	415	6	1	0	0	3	1	6	2	21	0	7	1	0	1	0
"252"	"217"	491	13	15	0	105	3	4	1	7	2	2	0	0	2	0	8	6	2	3	1
"253"	"218"	202	0	1	1	405	7	2	1	0	6	2	9	0	10	1	8	2	1	1	1
"254"	"219"	79	1	3	13	318	12	1	1	2	10	7	18	0	4	3	16	5	1	0	2
"255"	"220"	143	4	4	4	308	7	2	3	3	58	9	18	4	13	5	34	4	1	4	1
"256"	"221"	162	3	2	3	184	2	1	2	1	4	1	2	2	1	0	11	3	0	0	2
"257"	"222"	267	4	16	4	101	5	6	9	4	182	12	6	5	8	1	15	6	0	2	3
"258"	"223"	24	0	2	5	760	16	3	2	2	1	4	5	3	10	1	3	0	0	1	3
"259"	"224"	76	2	6	22	654	29	4	1	3	31	7	16	1	11	5	13	4	1	5	4
"260"	"225"	177	4	4	17	147	2	3	1	4	65	5	13	2	0	1	30	6	1	0	6
"261"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"262"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"263"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"264"	"226"	299	1	1	0	98	1	0	0	0	6	0	0	2	1	1	7	10	0	2	2
"265"	"227"	65	3	5	4	261	13	3	3	5	60	8	9	2	2	2	16	0	1	3	1
"266"	"228"	101	7	5	1	138	4	9	11	12	278	13	18	9	3	1	14	4	0	0	4
"267"	"229"	105	0	1	0	244	4	6	0	2	61	10	3	1	1	0	16	2	0	0	2
"268"	"230"	155	31	2	0	56	2	1	0	1	64	2	2	1	4	2	16	3	1	0	21
"269"	"231"	105	9	4	3	86	11	4	5	1	210	10	12	7	0	0	7	1	2	1	0
"270"	"232"	280	9	3	15	207	3	2	0	4	18	4	8	1	10	0	14	2	3	3	4
"271"	""	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
