"Candidates..Name"	"MD..AYUB.ALAM"	"ARUN.YADAV"	"MD..MURSHID.ALAM"	"SARFRAZ.ALAM"	"SADIK"	"JAWWAD.ALAM"	"SHINHESHWAR.MAJHI"	"MD..AYUB.ALAM.1"	"KOSHAR.ZIA"	"ZUBAIR.ALAM"	"DEVANAND.MANDAL"	"NAZIM"	"RANJEET.YADAV"	"RAJESH.KUMAR.MOWAR"	"X."	"Total"
"67"	"50"	6	5	8	127	4	2	9	14	298	5	8	22	9	16	""	"533"
"68"	"51"	19	6	15	502	4	13	21	1	152	3	9	24	31	34	""	"834"
"69"	"52"	4	7	65	91	1	6	5	7	133	4	10	31	93	15	""	"472"
"70"	"53"	19	444	12	16	5	0	2	3	1	1	4	5	88	15	""	"615"
"71"	"54"	49	92	4	101	1	0	20	4	15	2	9	10	95	15	""	"417"
"72"	"55"	24	172	5	124	2	2	12	2	17	1	3	9	208	19	""	"600"
"73"	"56"	7	50	6	179	3	7	24	4	9	8	70	17	297	54	""	"735"
"74"	"Round Total"	279	1004	398	2730	54	69	219	128	2072	70	165	328	1347	298	"0"	"9161"
"75"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"76"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"77"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"78"	"ROUND - V"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"79"	"57"	7	120	40	165	2	4	38	2	12	2	4	5	35	5	""	"441"
"80"	"58"	4	84	16	446	7	5	44	17	33	2	19	7	144	23	""	"851"
"81"	"59"	15	401	11	143	4	6	9	7	5	0	12	2	51	3	""	"669"
"82"	"60"	8	211	5	181	1	2	23	3	1	4	5	10	332	31	""	"817"
"83"	"61"	8	281	6	12	1	0	2	1	0	3	3	5	108	17	""	"447"
"84"	"62"	15	66	12	75	0	5	11	7	64	4	2	18	7	3	""	"289"
"85"	"63"	11	2	21	141	2	2	5	1	359	0	4	44	2	2	""	"596"
"86"	"64"	15	0	7	257	1	5	22	7	92	3	3	11	4	6	""	"433"
"87"	"65"	2	3	2	122	2	3	11	14	218	6	2	23	1	5	""	"414"
"88"	"66"	5	2	3	270	8	3	25	5	112	11	4	25	5	12	""	"490"
"89"	"67"	9	22	22	400	13	7	21	3	80	0	0	16	2	1	""	"596"
"90"	"68"	8	2	14	279	3	7	13	8	180	3	7	17	3	2	""	"546"
"91"	"69"	15	6	19	244	4	7	13	7	422	7	9	40	4	6	""	"803"
"92"	"70"	16	7	52	166	13	8	13	7	295	13	14	38	1	2	""	"645"
"93"	"Round Total"	138	1207	230	2901	61	64	250	89	1873	58	88	261	699	118	"0"	"8037"
"94"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"95"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"96"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"97"	"ROUND- VI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"98"	"71"	4	5	55	199	2	3	12	5	408	1	5	49	1	5	""	"754"
"99"	"72"	7	3	7	188	3	7	10	6	439	14	5	51	3	11	""	"754"
"100"	"73"	25	29	29	258	5	6	19	3	148	14	4	39	56	9	""	"644"
"101"	"74"	13	3	30	206	0	3	13	6	153	8	2	17	7	7	""	"468"
"102"	"75"	1	2	51	151	2	3	11	6	279	9	6	24	6	6	""	"557"
"103"	"76"	15	65	5	312	4	8	18	4	216	5	3	27	33	12	""	"727"
"104"	"77"	44	17	6	194	2	5	3	4	112	3	0	16	5	6	""	"417"
"105"	"78"	12	10	10	283	1	4	7	7	232	4	6	25	66	9	""	"676"
"106"	"79"	25	13	6	351	8	6	17	7	173	1	4	31	16	6	""	"664"
"107"	"80"	8	3	3	174	3	4	6	7	334	4	2	24	3	5	""	"580"
"108"	"81"	37	5	23	250	3	10	10	1	210	7	4	28	4	2	""	"594"
"109"	"82"	27	33	52	272	10	7	3	9	225	4	7	26	20	7	""	"702"
"110"	"83"	16	41	5	256	4	6	22	5	102	6	9	13	96	29	""	"610"
"111"	"84"	8	7	6	175	4	3	8	13	227	4	7	14	6	9	""	"491"
"112"	"Round Total"	242	236	288	3269	51	75	159	83	3258	84	64	384	322	123	"0"	"8638"
"113"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"114"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"115"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"116"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"117"	"ROUND - VII"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"118"	"85"	35	8	2	454	6	4	18	4	51	4	11	15	18	9	""	"639"
"119"	"85A"	3	0	3	270	4	1	14	4	176	9	3	24	6	3	""	"520"
"120"	"86"	13	14	6	349	2	10	21	17	415	7	13	54	11	17	""	"949"
"121"	"87"	42	77	4	412	7	6	21	14	260	3	7	43	48	18	""	"962"
"122"	"88"	8	202	7	243	6	1	28	1	84	8	7	26	38	9	""	"668"
"123"	"89"	6	2	21	408	7	8	18	18	197	7	8	38	3	10	""	"751"
"124"	"90"	10	78	7	482	6	4	46	7	120	4	11	27	50	8	""	"860"
"125"	"91"	7	76	1	104	0	1	8	1	7	1	2	2	232	16	""	"458"
"126"	"92"	41	17	44	433	2	25	23	8	106	2	1	14	22	3	""	"741"
"127"	"93"	48	24	7	310	4	10	24	12	117	10	164	38	26	12	""	"806"
"128"	"94"	8	44	11	227	6	18	52	4	68	9	6	38	31	12	""	"534"
"129"	"95"	4	15	15	37	1	5	6	3	277	2	7	46	8	8	""	"434"
"130"	"96"	5	34	7	127	2	16	23	2	34	3	7	6	87	21	""	"374"
"131"	"97"	17	53	17	216	3	2	23	0	35	2	2	7	134	22	""	"533"
"132"	"Round Total"	247	644	152	4072	56	111	325	95	1947	71	249	378	714	168	"0"	"9229"
"133"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"134"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"135"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"136"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"137"	"ROUND - VIII"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"138"	"98"	30	40	14	256	4	4	12	9	47	0	10	8	211	43	""	"688"
"139"	"99"	14	75	19	203	0	1	40	2	21	1	43	12	172	30	""	"633"
"140"	"100"	15	10	1	205	0	0	9	3	26	2	4	7	72	17	""	"371"
"141"	"101"	10	2	8	360	6	5	25	12	100	7	9	17	9	7	""	"577"
"142"	"102"	16	20	19	371	6	24	16	21	152	11	2	25	6	4	""	"693"
"143"	"103"	7	23	16	212	2	11	9	1	32	3	51	14	71	15	""	"467"
"144"	"104"	14	8	30	499	6	6	28	16	64	10	157	18	24	7	""	"887"
"145"	"105"	16	111	17	326	5	9	27	58	104	6	3	24	33	20	""	"759"
"146"	"106"	7	3	7	233	2	15	24	15	207	9	4	18	2	9	""	"555"
"147"	"107"	23	153	8	147	4	3	22	2	20	1	4	15	44	12	""	"458"
"148"	"108"	25	3	36	209	6	4	15	18	227	5	5	23	2	5	""	"583"
"149"	"109"	8	10	38	241	4	1	29	5	36	9	5	10	9	8	""	"413"
"150"	"110"	30	75	13	144	3	2	26	7	23	1	7	23	320	41	""	"715"
"151"	"111"	8	133	4	64	2	1	8	0	6	0	5	4	448	52	""	"735"
"152"	"Round Total"	223	666	230	3470	50	86	290	169	1065	65	309	218	1423	270	"0"	"8534"
"153"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"154"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"155"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"156"	"ROUND - IX"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"157"	"112"	29	16	6	275	5	1	28	1	180	3	6	19	32	0	""	"601"
"158"	"113"	7	303	5	48	0	1	2	0	0	1	2	1	132	16	""	"518"
"159"	"114"	22	513	17	173	1	2	26	4	11	2	9	18	145	35	""	"978"
"160"	"115"	23	83	8	346	1	5	37	6	17	3	6	17	131	28	""	"711"
"161"	"116"	16	132	5	498	8	19	44	6	34	5	6	12	67	23	""	"875"
"162"	"117"	6	202	5	177	4	7	22	6	18	6	3	7	120	26	""	"609"
"163"	"117A"	14	50	8	287	6	7	16	4	64	7	4	11	21	5	""	"504"
"164"	"118"	1	4	5	323	7	5	20	4	61	2	2	9	9	7	""	"459"
"165"	"119"	3	2	10	414	6	2	17	9	51	3	6	15	9	12	""	"559"
"166"	"120"	12	33	1	218	6	6	17	7	179	1	4	38	57	10	""	"589"
"167"	"120A"	9	15	4	162	7	7	9	12	129	1	13	22	29	13	""	"432"
"168"	"121"	15	4	7	303	5	8	17	9	179	12	3	48	11	9	""	"630"
"169"	"122"	10	1	1	77	4	8	5	9	372	5	6	44	7	15	""	"564"
"170"	"123"	21	3	3	243	2	13	23	6	134	5	4	22	59	14	""	"552"
"171"	"Round Total"	188	1361	85	3544	62	91	283	83	1429	56	74	283	829	213	"0"	"8581"
"172"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"173"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"174"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"175"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"176"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"177"	"ROUND- X"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"178"	"123A"	3	7	1	129	2	1	15	8	179	4	5	16	46	11	""	"427"
"179"	"124"	5	4	4	371	3	8	14	12	314	4	9	44	7	7	""	"806"
"180"	"125"	8	4	8	305	1	3	18	122	126	3	8	20	10	7	""	"643"
"181"	"126"	43	5	70	360	11	5	27	9	198	6	6	21	7	6	""	"774"
"182"	"127"	9	10	12	305	3	5	21	21	126	4	5	23	7	19	""	"570"
"183"	"128"	14	36	9	466	6	5	25	64	96	5	5	18	17	10	""	"776"
"184"	"129"	12	13	8	201	2	9	21	5	19	2	4	11	138	28	""	"473"
"185"	"130"	10	17	14	391	7	5	13	5	109	7	8	29	105	14	""	"734"
"186"	"131"	4	2	2	219	6	2	17	7	53	0	4	19	2	4	""	"341"
"187"	"132"	10	4	27	421	3	6	12	10	230	6	9	36	7	2	""	"783"
"188"	"133"	5	6	14	377	2	5	14	3	115	1	15	20	17	7	""	"601"
"189"	"134"	9	77	30	386	3	7	17	8	54	10	5	11	17	7	""	"641"
"190"	"135"	12	3	4	282	4	4	8	3	144	6	6	11	4	6	""	"497"
"191"	"136"	16	4	5	367	4	3	27	8	117	1	1	22	4	6	""	"585"
"192"	"Round Total"	160	192	208	4580	57	68	249	285	1880	59	90	301	388	134	"0"	"8651"
"193"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"194"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"195"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"196"	"ROUND - XI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"197"	"137"	8	59	16	170	67	13	18	12	147	8	8	44	30	21	""	"621"
"198"	"138"	20	120	28	350	6	3	27	6	43	3	11	14	53	23	""	"707"
"199"	"139"	15	7	8	546	3	7	40	8	106	6	5	22	9	12	""	"794"
"200"	"140"	17	26	19	310	6	8	34	17	225	6	7	55	39	27	""	"796"
"201"	"141"	36	43	15	679	12	6	19	5	36	4	4	15	4	6	""	"884"
"202"	"142"	16	139	4	269	1	2	17	3	52	1	2	9	4	6	""	"525"
"203"	"143"	13	266	3	142	1	1	13	3	4	3	6	5	13	10	""	"483"
"204"	"144"	14	21	14	253	1	68	17	3	109	4	7	23	43	9	""	"586"
"205"	"145"	28	11	8	242	5	72	15	5	139	4	3	33	13	9	""	"587"
"206"	"146"	21	10	24	302	16	19	23	5	216	11	4	39	10	20	""	"720"
"207"	"147"	24	10	8	230	9	25	21	19	128	3	5	28	1	1	""	"512"
"208"	"147A"	3	13	22	138	9	5	12	54	34	6	2	8	0	8	""	"314"
"209"	"148"	11	72	4	177	10	20	40	4	121	1	13	17	5	6	""	"501"
"210"	"149"	8	14	6	189	11	7	20	3	37	9	2	6	5	9	""	"326"
"211"	"Round Total"	234	811	179	3997	157	256	316	147	1397	69	79	318	229	167	"0"	"8356"
"212"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"213"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"214"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"215"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"216"	"ROUND - XII"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"217"	"150"	42	96	119	233	10	13	22	3	110	9	7	34	12	10	""	"720"
"218"	"151"	13	15	28	185	15	5	26	6	168	10	7	41	14	20	""	"553"
"219"	"152"	31	38	10	345	12	24	27	9	150	11	9	38	3	4	""	"711"
"220"	"153"	10	306	8	9	15	0	2	0	0	2	12	3	2	14	""	"383"
"221"	"154"	12	63	4	146	5	10	14	8	150	7	6	36	3	8	""	"472"
"222"	"155"	9	256	133	173	3	1	27	3	52	13	8	12	59	24	""	"773"
"223"	"156"	26	23	6	412	11	37	25	6	148	10	2	18	4	0	""	"728"
"224"	"157"	12	20	11	294	4	5	24	11	181	13	5	28	11	13	""	"632"
"225"	"158"	18	7	27	318	5	4	29	13	30	8	10	11	6	5	""	"491"
"226"	"159"	28	570	13	141	6	5	10	42	19	5	5	7	8	7	""	"866"
"227"	"160"	14	7	10	201	6	13	24	6	67	326	12	9	4	8	""	"707"
"228"	"161"	20	162	4	103	3	3	19	7	11	157	10	7	12	14	""	"532"
"229"	"162"	13	36	8	182	7	5	21	9	58	248	4	9	3	5	""	"608"
"230"	"163"	21	113	14	163	5	3	36	8	32	7	3	4	87	24	""	"520"
"231"	"Round Total"	269	1712	395	2905	107	128	306	131	1176	826	100	257	228	156	"0"	"8696"
"232"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"233"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"234"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"235"	"ROUND- XIII"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"236"	"164"	34	283	12	174	6	0	20	12	24	6	4	7	75	9	""	"666"
"237"	"165"	31	694	16	167	24	6	11	5	5	6	5	5	4	14	""	"993"
"238"	"166"	11	255	9	195	26	6	23	1	5	1	2	7	5	8	""	"554"
"239"	"167"	17	133	16	130	228	12	24	3	14	4	0	5	2	4	""	"592"
"240"	"168"	20	523	16	26	1	3	5	2	5	8	85	7	28	27	""	"756"
"241"	"169"	21	32	9	413	12	15	22	6	89	9	3	12	2	5	""	"650"
"242"	"170"	44	236	11	260	48	5	11	1	19	4	3	8	5	3	""	"658"
"243"	"171"	11	36	11	257	106	6	31	0	36	15	5	8	3	8	""	"533"
"244"	"172"	21	38	0	95	414	14	23	3	11	1	7	5	10	14	""	"656"
"245"	"173"	20	16	17	141	515	21	9	7	18	12	6	6	10	8	""	"806"
"246"	"174"	189	21	5	188	10	13	14	8	11	12	1	4	2	1	""	"479"
"247"	"174A"	16	179	6	236	12	9	35	2	16	7	2	8	9	6	""	"543"
"248"	"175"	58	132	15	298	78	8	38	11	28	9	13	21	16	18	""	"743"
"249"	"176"	13	127	6	164	6	2	20	10	72	3	4	14	9	14	""	"464"
"250"	"Round Total"	506	2705	149	2744	1486	120	286	71	353	97	140	117	180	139	"0"	"9093"
"251"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"252"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"253"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"254"	"ROUND - XIV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"255"	"177"	36	175	4	326	29	7	30	3	25	3	1	9	12	2	""	"662"
"256"	"178"	109	114	2	278	15	17	28	5	99	7	2	20	12	16	""	"724"
"257"	"179"	105	353	9	135	7	13	27	6	18	5	6	12	37	13	""	"746"
"258"	"180"	6	151	6	190	8	1	17	2	117	5	4	19	6	15	""	"547"
"259"	"181"	19	114	4	120	2	2	24	8	110	3	5	26	13	28	""	"478"
"260"	"182"	62	227	11	284	11	11	39	8	119	2	4	18	4	10	""	"810"
"261"	"183"	16	38	9	424	62	21	38	12	18	8	11	12	11	13	""	"693"
"262"	"184"	14	65	9	212	23	292	23	5	43	12	1	14	12	9	""	"734"
"263"	"185"	21	33	6	96	8	507	18	7	47	6	4	10	6	10	""	"779"
"264"	"186"	30	44	16	225	14	293	30	7	41	3	7	7	3	4	""	"724"
"265"	"187"	23	99	4	228	27	82	18	4	25	7	12	11	8	10	""	"558"
"266"	"188"	14	50	4	233	12	194	17	5	79	7	4	13	5	7	""	"644"
"267"	"189"	13	123	9	241	11	290	18	5	49	5	4	9	18	13	""	"808"
"268"	"190"	14	41	3	206	10	223	22	11	66	10	9	13	11	21	""	"660"
"269"	"Round Total"	482	1627	96	3198	239	1953	349	88	856	83	74	193	158	171	"0"	"9567"
"270"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"271"	"Candidates  Name"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"Total"
"272"	"BOOTH NO"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""
"273"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"274"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"275"	"ROUND-XV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"276"	"191"	2	38	4	115	10	75	11	1	55	4	1	6	7	12	""	"341"
"277"	"192"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	"0"
"278"	"193"	31	321	8	140	2	7	18	3	3	5	49	8	226	28	""	"849"
"279"	"194"	12	17	7	289	6	3	25	6	48	10	1	11	7	6	""	"448"
"280"	"195"	29	30	13	347	14	11	31	29	160	12	7	32	8	13	""	"736"
"281"	"Round Total"	74	406	32	891	32	96	85	39	266	31	58	57	248	59	"0"	"2374"
"282"	"Total:"	3642	15051	6036	44022	2534	3234	3965	1619	18696	1734	2083	3585	13942	4460	""	"124603"
"283"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"284"	"Postal Ballot"	1	2	0	5	0	0	0	0	1	0	0	0	0	0	""	"9"
"285"	"Grand Total:"	3643	15053	6036	44027	2534	3234	3965	1619	18697	1734	2083	3585	13942	4460	""	"124612"
"286"	"Place:"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"287"	"Date: 24-Nov-10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"288"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                                                           Page -1 of 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
