"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"25"	"18"	"362"	"21"	"123"	"12"	"2"	"15"	"5"	"7"	"7"	"6"	"35"	"595"
"26"	"19"	"517"	"3"	"35"	"1"	"0"	"2"	"5"	"2"	"6"	"5"	"10"	"586"
"27"	"20"	"391"	"4"	"6"	"3"	"1"	"10"	"9"	"4"	"0"	"5"	"4"	"437"
"28"	"21"	"408"	"7"	"29"	"2"	"1"	"2"	"11"	"1"	"2"	"11"	"8"	"482"
"29"	"22"	"384"	"30"	"74"	"4"	"0"	"29"	"3"	"2"	"0"	"4"	"11"	"541"
"30"	"23"	"362"	"17"	"192"	"5"	"4"	"10"	"11"	"4"	"9"	"26"	"19"	"659"
"31"	"24"	"501"	"17"	"72"	"9"	"2"	"15"	"3"	"1"	"2"	"14"	"15"	"651"
"32"	"25"	"316"	"14"	"103"	"5"	"1"	"3"	"4"	"2"	"4"	"30"	"16"	"498"
"33"	"26"	"311"	"5"	"63"	"3"	"0"	"6"	"3"	"2"	"5"	"1"	"6"	"405"
"34"	"27"	"517"	"13"	"46"	"5"	"7"	"8"	"5"	"7"	"3"	"12"	"14"	"637"
"35"	"28"	"219"	"5"	"78"	"4"	"12"	"5"	"2"	"5"	"4"	"11"	"31"	"376"
"36"	"29"	"48"	"1"	"249"	"10"	"1"	"3"	"5"	"7"	"11"	"4"	"11"	"350"
"37"	"30"	"95"	"10"	"195"	"6"	"8"	"3"	"6"	"8"	"5"	"36"	"8"	"380"
"38"	"31"	"179"	"7"	"124"	"6"	"8"	"4"	"6"	"5"	"9"	"102"	"17"	"467"
"39"	"32"	"238"	"9"	"92"	"7"	"8"	"3"	"7"	"8"	"5"	"5"	"5"	"387"
"40"	"33"	"13"	"2"	"250"	"7"	"1"	"2"	"4"	"2"	"17"	"15"	"18"	"331"
"41"	"34"	"514"	"11"	"53"	"5"	"2"	"1"	"9"	"2"	"8"	"21"	"57"	"683"
"42"	"35"	"25"	"3"	"281"	"7"	"2"	"3"	"1"	"6"	"8"	"10"	"16"	"362"
"43"	"36"	"123"	"8"	"517"	"6"	"2"	"5"	"1"	"6"	"14"	"15"	"13"	"710"
"44"	"37"	"48"	"5"	"351"	"13"	"3"	"1"	"2"	"0"	"11"	"6"	"7"	"447"
"45"	"38"	"142"	"8"	"327"	"17"	"4"	"3"	"2"	"3"	"30"	"9"	"30"	"575"
"46"	"39"	"122"	"6"	"327"	"7"	"2"	"2"	"2"	"5"	"20"	"7"	"15"	"515"
"47"	"40"	"283"	"5"	"101"	"6"	"0"	"1"	"2"	"0"	"5"	"4"	"25"	"432"
"48"	"41"	"543"	"3"	"57"	"4"	"2"	"1"	"2"	"1"	"1"	"3"	"4"	"621"
"49"	"42"	"73"	"3"	"392"	"18"	"3"	"0"	"1"	"2"	"26"	"3"	"26"	"547"
"50"	"43"	"19"	"5"	"283"	"3"	"1"	"1"	"1"	"1"	"5"	"1"	"7"	"327"
"51"	"44"	"69"	"1"	"258"	"9"	"3"	"2"	"1"	"3"	"14"	"3"	"12"	"375"
"52"	"45"	"178"	"9"	"251"	"17"	"3"	"3"	"3"	"2"	"12"	"7"	"23"	"508"
"53"	"46"	"209"	"16"	"225"	"4"	"7"	"5"	"7"	"5"	"19"	"17"	"14"	"528"
"54"	"47"	"34"	"2"	"256"	"12"	"1"	"3"	"3"	"3"	"11"	"8"	"15"	"348"
"55"	"48"	"257"	"21"	"131"	"7"	"7"	"7"	"23"	"5"	"15"	"124"	"40"	"637"
"56"	"49"	"245"	"27"	"79"	"10"	"5"	"8"	"6"	"8"	"17"	"243"	"31"	"679"
"57"	"50"	"107"	"5"	"183"	"7"	"2"	"1"	"0"	"3"	"19"	"35"	"18"	"380"
"58"	"51"	"252"	"9"	"168"	"6"	"2"	"4"	"4"	"6"	"21"	"14"	"37"	"523"
"59"	"52"	"210"	"9"	"287"	"11"	"0"	"3"	"2"	"3"	"9"	"12"	"6"	"552"
"60"	"53"	"213"	"13"	"94"	"6"	"2"	"2"	"4"	"4"	"6"	"29"	"9"	"382"
"61"	"54"	"286"	"10"	"117"	"4"	"1"	"3"	"3"	"5"	"12"	"35"	"29"	"505"
"62"	"55"	"99"	"15"	"355"	"20"	"6"	"5"	"1"	"10"	"31"	"13"	"37"	"592"
"63"	"56"	"119"	"7"	"218"	"5"	"2"	"3"	"1"	"0"	"11"	"24"	"9"	"399"
"64"	"56A"	"287"	"11"	"41"	"7"	"0"	"2"	"2"	"1"	"5"	"54"	"18"	"428"
"65"	"57"	"446"	"16"	"74"	"4"	"4"	"5"	"2"	"3"	"6"	"29"	"32"	"621"
"66"	"58"	"451"	"11"	"78"	"6"	"6"	"6"	"2"	"7"	"8"	"65"	"44"	"684"
"67"	"59"	"327"	"7"	"255"	"9"	"1"	"2"	"4"	"5"	"13"	"3"	"17"	"643"
"68"	"60"	"216"	"4"	"47"	"3"	"1"	"2"	"0"	"0"	"3"	"4"	"3"	"283"
"69"	"60A"	"213"	"6"	"42"	"6"	"2"	"3"	"2"	"1"	"7"	"4"	"18"	"304"
"70"	"61"	"218"	"12"	"91"	"31"	"7"	"4"	"3"	"3"	"10"	"16"	"41"	"436"
"71"	"62"	"92"	"11"	"191"	"6"	"6"	"1"	"5"	"5"	"28"	"5"	"33"	"383"
"72"	"63"	"15"	"6"	"402"	"17"	"5"	"2"	"2"	"2"	"31"	"5"	"26"	"513"
"73"	"64"	"7"	"0"	"251"	"1"	"2"	"1"	"0"	"1"	"22"	"5"	"18"	"308"
"74"	"65"	"8"	"1"	"320"	"33"	"1"	"1"	"1"	"2"	"14"	"0"	"4"	"385"
"75"	"66"	"245"	"8"	"202"	"10"	"33"	"6"	"2"	"5"	"10"	"10"	"20"	"551"
"76"	"67"	"86"	"6"	"268"	"8"	"7"	"1"	"3"	"9"	"23"	"8"	"23"	"442"
"77"	"68"	"325"	"7"	"220"	"7"	"8"	"2"	"4"	"1"	"13"	"21"	"27"	"635"
"78"	"69"	"416"	"12"	"76"	"7"	"8"	"4"	"6"	"1"	"2"	"8"	"19"	"559"
"79"	"70"	"167"	"11"	"241"	"8"	"1"	"5"	"2"	"4"	"11"	"8"	"16"	"474"
"80"	"71"	"151"	"11"	"110"	"5"	"3"	"2"	"3"	"6"	"8"	"5"	"32"	"336"
"81"	"72"	"341"	"12"	"87"	"11"	"22"	"3"	"2"	"4"	"13"	"10"	"34"	"539"
"82"	"73"	"54"	"9"	"195"	"6"	"1"	"1"	"1"	"0"	"9"	"4"	"12"	"292"
"83"	"74"	"128"	"2"	"130"	"5"	"4"	"5"	"2"	"4"	"17"	"5"	"25"	"327"
"84"	"75"	"222"	"9"	"21"	"3"	"4"	"2"	"4"	"5"	"7"	"7"	"29"	"313"
"85"	"76"	"299"	"3"	"86"	"5"	"0"	"7"	"3"	"3"	"8"	"15"	"14"	"443"
"86"	"77"	"272"	"8"	"52"	"4"	"0"	"5"	"2"	"2"	"2"	"51"	"14"	"412"
"87"	"78"	"3"	"1"	"423"	"13"	"0"	"0"	"0"	"2"	"6"	"0"	"1"	"449"
"88"	"79"	"159"	"15"	"450"	"29"	"6"	"4"	"4"	"7"	"25"	"8"	"22"	"729"
"89"	"80"	"78"	"3"	"144"	"8"	"0"	"2"	"2"	"5"	"13"	"11"	"32"	"298"
"90"	"81"	"82"	"3"	"198"	"12"	"5"	"2"	"3"	"3"	"15"	"5"	"11"	"339"
"91"	"82"	"221"	"18"	"193"	"12"	"5"	"3"	"2"	"5"	"6"	"5"	"35"	"505"
"92"	"83"	"240"	"7"	"206"	"15"	"2"	"2"	"2"	"6"	"20"	"31"	"29"	"560"
"93"	"84"	"340"	"7"	"98"	"14"	"6"	"5"	"9"	"3"	"7"	"22"	"21"	"532"
"94"	"85"	"350"	"18"	"42"	"5"	"3"	"1"	"0"	"2"	"3"	"32"	"27"	"483"
"95"	"86"	"422"	"17"	"179"	"10"	"7"	"7"	"11"	"12"	"35"	"17"	"50"	"767"
"96"	"87"	"57"	"7"	"272"	"11"	"5"	"3"	"3"	"18"	"16"	"10"	"16"	"418"
"97"	"88"	"315"	"4"	"96"	"8"	"1"	"0"	"7"	"1"	"9"	"3"	"22"	"466"
"98"	"89"	"354"	"3"	"29"	"3"	"0"	"19"	"2"	"0"	"0"	"16"	"6"	"432"
"99"	"89A"	"311"	"7"	"46"	"3"	"4"	"2"	"4"	"6"	"7"	"40"	"16"	"446"
"100"	"90"	"507"	"15"	"42"	"4"	"1"	"2"	"1"	"3"	"6"	"43"	"19"	"643"
"101"	"91"	"295"	"3"	"6"	"4"	"3"	"0"	"2"	"0"	"1"	"26"	"13"	"353"
"102"	"92"	"499"	"4"	"35"	"8"	"0"	"4"	"2"	"2"	"3"	"3"	"9"	"569"
"103"	"93"	"243"	"5"	"227"	"9"	"1"	"1"	"0"	"8"	"12"	"5"	"17"	"528"
"104"	"94"	"4"	"4"	"668"	"8"	"1"	"0"	"0"	"2"	"2"	"0"	"5"	"694"
"105"	"95"	"51"	"3"	"457"	"5"	"1"	"0"	"0"	"2"	"11"	"4"	"7"	"541"
"106"	"96"	"81"	"7"	"413"	"8"	"1"	"1"	"1"	"7"	"15"	"2"	"29"	"565"
"107"	"97"	"89"	"6"	"376"	"10"	"3"	"6"	"2"	"0"	"8"	"4"	"7"	"511"
"108"	"98"	"67"	"1"	"225"	"8"	"1"	"0"	"1"	"0"	"6"	"2"	"5"	"316"
"109"	"99"	"15"	"6"	"324"	"17"	"1"	"2"	"2"	"3"	"9"	"3"	"8"	"390"
"110"	"100"	"4"	"0"	"341"	"10"	"0"	"0"	"0"	"0"	"7"	"0"	"4"	"366"
"111"	"101"	"28"	"7"	"496"	"11"	"1"	"2"	"3"	"0"	"10"	"3"	"17"	"578"
"112"	"102"	"22"	"6"	"369"	"25"	"3"	"2"	"2"	"4"	"18"	"11"	"21"	"483"
"113"	"103"	"45"	"5"	"341"	"13"	"4"	"9"	"2"	"6"	"17"	"1"	"11"	"454"
"114"	"104"	"326"	"9"	"329"	"16"	"5"	"1"	"3"	"9"	"27"	"10"	"30"	"765"
"115"	"105"	"18"	"2"	"737"	"16"	"1"	"1"	"1"	"2"	"4"	"1"	"6"	"789"
"116"	"106"	"0"	"1"	"422"	"31"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"460"
"117"	"107"	"90"	"9"	"372"	"21"	"4"	"5"	"2"	"4"	"23"	"5"	"24"	"559"
"118"	"108"	"118"	"7"	"180"	"11"	"2"	"3"	"1"	"4"	"12"	"3"	"16"	"357"
"119"	"109"	"124"	"6"	"246"	"17"	"4"	"5"	"4"	"5"	"14"	"10"	"13"	"448"
"120"	"110"	"319"	"6"	"131"	"7"	"1"	"1"	"1"	"3"	"13"	"6"	"22"	"510"
"121"	"111"	"378"	"14"	"189"	"5"	"2"	"4"	"2"	"10"	"21"	"3"	"29"	"657"
"122"	"112"	"299"	"6"	"172"	"14"	"3"	"2"	"2"	"1"	"9"	"4"	"14"	"526"
"123"	"113"	"163"	"9"	"443"	"50"	"5"	"2"	"2"	"3"	"12"	"7"	"26"	"722"
"124"	"114"	"278"	"9"	"81"	"10"	"8"	"1"	"2"	"2"	"7"	"5"	"11"	"414"
"125"	"115"	"74"	"4"	"312"	"7"	"1"	"1"	"2"	"8"	"27"	"12"	"22"	"470"
"126"	"116"	"219"	"6"	"330"	"9"	"2"	"2"	"6"	"10"	"34"	"5"	"53"	"676"
"127"	"117"	"135"	"5"	"105"	"7"	"3"	"1"	"4"	"4"	"13"	"5"	"34"	"316"
"128"	"118"	"35"	"3"	"275"	"58"	"1"	"2"	"1"	"3"	"5"	"7"	"9"	"399"
"129"	"119"	"384"	"14"	"93"	"15"	"3"	"2"	"3"	"3"	"15"	"6"	"35"	"573"
"130"	"120"	"466"	"5"	"117"	"6"	"1"	"1"	"9"	"5"	"22"	"17"	"45"	"694"
"131"	"121"	"310"	"5"	"313"	"17"	"1"	"3"	"5"	"6"	"19"	"7"	"22"	"708"
"132"	"122"	"121"	"6"	"367"	"18"	"6"	"4"	"2"	"5"	"23"	"4"	"24"	"580"
"133"	"123"	"99"	"6"	"327"	"14"	"2"	"3"	"3"	"6"	"26"	"11"	"45"	"542"
"134"	"124"	"42"	"3"	"358"	"21"	"6"	"3"	"1"	"2"	"11"	"5"	"16"	"468"
"135"	"125"	"358"	"11"	"114"	"4"	"10"	"2"	"3"	"6"	"20"	"17"	"53"	"598"
"136"	"126"	"104"	"13"	"476"	"28"	"8"	"1"	"2"	"2"	"15"	"7"	"18"	"674"
"137"	"127"	"89"	"3"	"312"	"8"	"0"	"2"	"5"	"4"	"31"	"7"	"27"	"488"
"138"	"128"	"194"	"1"	"297"	"13"	"1"	"0"	"0"	"2"	"9"	"3"	"4"	"524"
"139"	"129"	"66"	"4"	"415"	"23"	"1"	"1"	"2"	"1"	"19"	"24"	"36"	"592"
"140"	"130"	"69"	"2"	"169"	"3"	"1"	"0"	"1"	"0"	"6"	"10"	"7"	"268"
"141"	"131"	"164"	"6"	"467"	"16"	"3"	"3"	"1"	"4"	"31"	"8"	"20"	"723"
"142"	"132"	"121"	"2"	"289"	"8"	"5"	"2"	"2"	"5"	"27"	"8"	"24"	"493"
"143"	"133"	"65"	"1"	"380"	"9"	"3"	"1"	"1"	"5"	"9"	"1"	"10"	"485"
"144"	"134"	"15"	"5"	"318"	"22"	"2"	"4"	"1"	"1"	"8"	"4"	"13"	"393"
"145"	"135"	"52"	"2"	"212"	"5"	"2"	"1"	"1"	"1"	"7"	"1"	"1"	"285"
"146"	"136"	"33"	"1"	"354"	"9"	"0"	"0"	"0"	"3"	"3"	"1"	"5"	"409"
"147"	"137"	"215"	"4"	"322"	"13"	"13"	"0"	"2"	"3"	"5"	"2"	"15"	"594"
"148"	"138"	"106"	"7"	"405"	"12"	"1"	"0"	"1"	"1"	"8"	"6"	"6"	"553"
"149"	"139"	"294"	"10"	"423"	"29"	"2"	"1"	"3"	"1"	"14"	"4"	"20"	"801"
"150"	"140"	"116"	"2"	"323"	"19"	"0"	"2"	"5"	"6"	"21"	"6"	"27"	"527"
"151"	"141"	"33"	"1"	"356"	"16"	"3"	"4"	"4"	"2"	"9"	"2"	"15"	"445"
"152"	"142"	"360"	"5"	"208"	"10"	"1"	"1"	"5"	"6"	"16"	"15"	"19"	"646"
"153"	"143"	"107"	"5"	"116"	"2"	"0"	"2"	"1"	"1"	"7"	"6"	"11"	"258"
"154"	"144"	"139"	"8"	"255"	"14"	"0"	"0"	"1"	"0"	"5"	"3"	"11"	"436"
"155"	"145"	"56"	"5"	"311"	"13"	"2"	"2"	"4"	"5"	"24"	"6"	"25"	"453"
"156"	"146"	"14"	"6"	"478"	"5"	"0"	"1"	"0"	"0"	"16"	"7"	"12"	"539"
"157"	"147"	"88"	"1"	"247"	"8"	"0"	"2"	"0"	"0"	"9"	"7"	"6"	"368"
"158"	"148"	"54"	"7"	"260"	"4"	"0"	"3"	"3"	"2"	"22"	"7"	"23"	"385"
"159"	"149"	"129"	"7"	"403"	"13"	"1"	"3"	"0"	"2"	"14"	"24"	"10"	"606"
"160"	"150"	"93"	"4"	"285"	"7"	"4"	"2"	"1"	"1"	"15"	"1"	"11"	"424"
"161"	"151"	"44"	"9"	"535"	"15"	"1"	"4"	"4"	"4"	"11"	"8"	"12"	"647"
"162"	"152"	"174"	"8"	"253"	"11"	"2"	"5"	"2"	"2"	"12"	"3"	"17"	"489"
"163"	"153"	"106"	"4"	"257"	"27"	"0"	"2"	"4"	"1"	"9"	"7"	"10"	"427"
"164"	"154"	"130"	"1"	"191"	"7"	"2"	"1"	"1"	"3"	"35"	"26"	"14"	"411"
"165"	"155"	"59"	"10"	"478"	"20"	"3"	"2"	"3"	"9"	"19"	"21"	"43"	"667"
"166"	"156"	"131"	"9"	"488"	"17"	"0"	"1"	"2"	"7"	"14"	"10"	"12"	"691"
"167"	"157"	"142"	"10"	"15"	"7"	"2"	"5"	"2"	"3"	"10"	"318"	"31"	"545"
"168"	"158"	"365"	"13"	"77"	"6"	"3"	"2"	"1"	"3"	"16"	"205"	"43"	"734"
"169"	"159"	"129"	"14"	"84"	"6"	"2"	"3"	"5"	"7"	"21"	"194"	"35"	"500"
"170"	"160"	"42"	"11"	"40"	"2"	"3"	"2"	"0"	"0"	"11"	"366"	"52"	"529"
"171"	"161"	"212"	"16"	"370"	"24"	"3"	"1"	"2"	"6"	"22"	"16"	"55"	"727"
"172"	"162"	"10"	"4"	"416"	"5"	"2"	"1"	"2"	"1"	"10"	"3"	"11"	"465"
"173"	"163"	"26"	"1"	"414"	"23"	"7"	"1"	"3"	"5"	"22"	"5"	"22"	"529"
"174"	"164"	"7"	"0"	"567"	"15"	"0"	"0"	"1"	"0"	"3"	"2"	"6"	"601"
"175"	"165"	"7"	"2"	"378"	"2"	"1"	"1"	"0"	"0"	"5"	"2"	"3"	"401"
"176"	"166"	"5"	"0"	"505"	"11"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"525"
"177"	"167"	"22"	"5"	"380"	"10"	"1"	"0"	"1"	"4"	"22"	"6"	"19"	"470"
"178"	"168"	"9"	"4"	"198"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"5"	"229"
"179"	"169"	"65"	"7"	"436"	"21"	"1"	"7"	"2"	"5"	"13"	"10"	"16"	"583"
"180"	"170"	"12"	"2"	"657"	"15"	"1"	"2"	"0"	"0"	"12"	"5"	"29"	"735"
"181"	"171"	"3"	"3"	"772"	"6"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"791"
"182"	"172"	"3"	"2"	"724"	"4"	"3"	"2"	"3"	"1"	"7"	"2"	"7"	"758"
"183"	"173"	"491"	"14"	"81"	"12"	"5"	"2"	"6"	"0"	"7"	"7"	"35"	"660"
"184"	"174"	"26"	"8"	"444"	"12"	"1"	"6"	"2"	"4"	"22"	"4"	"12"	"541"
"185"	"175"	"185"	"8"	"163"	"1"	"0"	"0"	"0"	"0"	"8"	"8"	"8"	"381"
"186"	"176"	"386"	"11"	"85"	"4"	"0"	"3"	"4"	"5"	"7"	"9"	"20"	"534"
"187"	"177"	"159"	"5"	"94"	"7"	"3"	"2"	"1"	"3"	"6"	"23"	"31"	"334"
"188"	"178"	"144"	"6"	"251"	"10"	"2"	"2"	"10"	"4"	"18"	"6"	"21"	"474"
"189"	"179"	"114"	"4"	"246"	"8"	"0"	"0"	"0"	"1"	"7"	"18"	"7"	"405"
"190"	"180"	"26"	"6"	"248"	"10"	"0"	"0"	"0"	"0"	"12"	"3"	"11"	"316"
"191"	"181"	"110"	"4"	"188"	"4"	"2"	"0"	"2"	"1"	"24"	"15"	"18"	"368"
"192"	"182"	"124"	"9"	"361"	"16"	"5"	"2"	"1"	"6"	"16"	"8"	"33"	"581"
"193"	"183"	"81"	"7"	"386"	"11"	"3"	"6"	"0"	"0"	"23"	"2"	"13"	"532"
"194"	"184"	"47"	"10"	"486"	"15"	"2"	"0"	"1"	"2"	"8"	"6"	"11"	"588"
"195"	"185"	"231"	"8"	"111"	"4"	"3"	"3"	"2"	"0"	"10"	"3"	"18"	"393"
"196"	"186"	"35"	"3"	"570"	"6"	"1"	"1"	"1"	"1"	"5"	"1"	"3"	"627"
"197"	"187"	"35"	"1"	"234"	"4"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"277"
"198"	"188"	"11"	"1"	"758"	"6"	"0"	"1"	"1"	"1"	"4"	"3"	"4"	"790"
"199"	"189"	"52"	"7"	"353"	"6"	"7"	"3"	"1"	"5"	"27"	"5"	"18"	"484"
"200"	"190"	"20"	"7"	"323"	"8"	"5"	"1"	"2"	"10"	"40"	"9"	"25"	"450"
"201"	"191"	"61"	"5"	"384"	"15"	"2"	"1"	"0"	"2"	"11"	"3"	"9"	"493"
"202"	"192"	"24"	"7"	"435"	"11"	"1"	"0"	"1"	"2"	"3"	"3"	"2"	"489"
"203"	"193"	"8"	"2"	"223"	"5"	"0"	"1"	"2"	"3"	"10"	"0"	"6"	"260"
"204"	"194"	"197"	"12"	"261"	"17"	"9"	"2"	"8"	"12"	"24"	"8"	"33"	"583"
"205"	"195"	"8"	"1"	"822"	"13"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"851"
"206"	"196"	"333"	"5"	"68"	"5"	"1"	"2"	"4"	"1"	"5"	"8"	"14"	"446"
"207"	"197"	"391"	"10"	"88"	"3"	"2"	"1"	"2"	"0"	"2"	"6"	"11"	"516"
"208"	"198"	"96"	"4"	"265"	"13"	"3"	"3"	"2"	"1"	"14"	"1"	"15"	"417"
"209"	"199"	"38"	"2"	"179"	"4"	"1"	"1"	"3"	"6"	"9"	"4"	"12"	"259"
"210"	"200"	"79"	"6"	"350"	"12"	"3"	"2"	"3"	"4"	"17"	"4"	"21"	"501"
"211"	"201"	"4"	"2"	"416"	"3"	"0"	"1"	"0"	"0"	"7"	"1"	"2"	"436"
"212"	"202"	"32"	"3"	"391"	"6"	"0"	"0"	"0"	"1"	"14"	"3"	"5"	"455"
"213"	"203"	"10"	"3"	"464"	"4"	"0"	"1"	"0"	"3"	"7"	"1"	"4"	"497"
"214"	"204"	"58"	"0"	"777"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"5"	"848"
"215"	"Total:"	"37331"	"1445"	"51718"	"2073"	"580"	"622"	"752"	"679"	"2465"	"3508"	"3805"	"104978"
"216"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Postal Ballot"	"74"	"1"	"38"	"3"	"0"	"0"	"4"	"0"	"0"	"3"	"1"	"124"
"218"	"Grand Total:"	"37405"	"1446"	"51756"	"2076"	"580"	"622"	"756"	"679"	"2465"	"3511"	"3806"	"105102"
"219"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""
