"BOOTH.NO"	"Name.of.Polling.Station"	"Total.Electors"	"TOTAL.VALID.VOTES"	"voter.turn.out.."
"55"	53	""	1034	390	37.72
"56"	54	""	1578	675	42.78
"57"	55	""	1163	529	45.49
"58"	56	""	1304	739	56.67
"59"	57	""	917	404	44.06
"60"	58	""	963	443	46
"61"	59	""	1182	549	46.45
"62"	60	""	1133	651	57.46
"63"	61	""	1371	638	46.54
"64"	62	""	587	254	43.27
"65"	63	""	922	467	50.65
"66"	64	""	522	262	50.19
"67"	65	""	1227	520	42.38
"68"	66	""	1157	575	49.7
"69"	67	""	1442	539	37.38
"70"	68	""	1042	410	39.35
"71"	69	"izkFkfed fo|ky; cyou Vksyk"	1310	383	29.24
"72"	70	"mPPk fo|kky; jkeiqj lcyiqj"	1381	340	24.62
"73"	71	"e/; fo|ky; dksVokiV~Vh jkeiqj"	1498	504	33.64
"74"	72	""	1018	455	44.7
"75"	73	""	941	505	53.67
"76"	74	"fHk[kkjh vkJe dqrqciqj"	1279	476	37.22
"77"	75	""	1012	550	54.35
"78"	76	""	359	178	49.58
"79"	77	""	802	435	54.24
"80"	78	""	986	510	51.72
"81"	79	""	689	345	50.07
"82"	80	""	761	401	52.69
"83"	81	""	741	371	50.07
"84"	82	""	617	264	42.79
"85"	83	""	1234	623	50.49
"86"	84	""	1221	533	43.65
"87"	85	""	917	430	46.89
"88"	86	""	1082	554	51.2
"89"	87	""	1380	637	46.16
"90"	88	""	711	449	63.15
"91"	89	""	1190	636	53.45
"92"	NA	"Name of Polling Station"	NA	NA	NA
"93"	90	""	749	292	38.99
"94"	NA	""	795	394	49.56
"95"	91	""	825	420	50.91
"96"	92	""	871	465	53.39
"97"	93	""	1072	512	47.76
"98"	94	""	1208	576	47.68
"99"	95	""	1076	575	53.44
"100"	96	""	1095	576	52.6
"101"	97	""	713	352	49.37
"102"	98	"mRØfer e/; fo|ky; bZVok mrj Hkkx"	827	299	36.15
"103"	99	""	1111	456	41.04
"104"	100	""	621	266	42.83
"105"	101	""	1473	841	57.09
"106"	102	""	1043	496	47.56
"107"	103	""	545	294	53.94
"108"	104	""	808	463	57.3
"109"	105	""	937	428	45.68
"110"	106	""	794	436	54.91
"111"	107	""	826	326	39.47
"112"	NA	""	812	367	45.2
"113"	108	""	1443	601	41.65
"114"	109	""	1155	535	46.32
"115"	110	""	1292	691	53.48
"116"	111	""	977	573	58.65
"117"	112	""	1018	411	40.37
"118"	113	""	848	459	54.13
"119"	114	""	1476	828	56.1
"120"	115	""	1111	556	50.05
"121"	116	""	1004	481	47.91
"122"	117	""	915	380	41.53
"123"	118	""	1441	693	48.09
"124"	119	""	1351	838	62.03
"125"	120	""	1147	601	52.4
"126"	121	""	848	396	46.7
"127"	122	""	778	328	42.16
"128"	NA	""	810	367	45.31
"129"	123	""	1299	570	43.88
"130"	124	"e/; fo|ky; nsojh;k ipifV;k mrj Hkkx"	912	273	29.93
"131"	125	""	1079	486	45.04
"132"	126	""	1070	483	45.14
"133"	127	""	1337	671	50.19
"134"	128	""	852	464	54.46
"135"	129	""	804	421	52.36
"136"	130	""	1094	563	51.46
"137"	131	""	967	440	45.5
"138"	NA	"Name of Polling Station"	NA	NA	NA
"139"	132	""	837	409	48.86
"140"	133	""	1069	483	45.18
"141"	134	""	1269	681	53.66
"142"	135	""	1382	678	49.06
"143"	136	""	1305	703	53.87
"144"	137	""	1359	639	47.02
"145"	138	""	1207	739	61.23
"146"	139	""	693	436	62.91
"147"	140	""	716	402	56.15
"148"	141	""	1305	748	57.32
"149"	142	""	468	246	52.56
"150"	143	""	944	484	51.27
"151"	144	""	891	526	59.03
"152"	145	""	735	377	51.29
"153"	146	""	698	434	62.18
"154"	147	""	1176	593	50.43
"155"	148	""	727	416	57.22
"156"	149	""	1358	705	51.91
"157"	150	""	790	409	51.77
"158"	151	""	1159	689	59.45
"159"	152	""	1294	509	39.34
"160"	153	""	643	393	61.12
"161"	154	""	715	430	60.14
"162"	155	""	758	334	44.06
"163"	156	""	662	372	56.19
"164"	157	""	960	494	51.46
"165"	158	""	863	514	59.56
"166"	159	""	358	208	58.1
"167"	160	""	529	327	61.81
"168"	161	""	1220	745	61.07
"169"	162	""	770	371	48.18
"170"	NA	""	764	450	58.9
"171"	163	""	1271	684	53.82
"172"	164	""	974	521	53.49
"173"	165	""	718	454	63.23
"174"	166	""	935	465	49.73
"175"	167	""	431	202	46.87
"176"	168	""	1240	676	54.52
"177"	169	""	870	376	43.22
"178"	170	""	594	370	62.29
"179"	171	""	1009	565	56
"180"	172	""	1088	607	55.79
"181"	173	""	1081	598	55.32
"182"	174	""	972	621	63.89
"183"	175	""	1201	672	55.95
"184"	NA	"Name of Polling Station"	NA	NA	NA
"185"	176	""	557	311	55.83
"186"	177	""	899	511	56.84
"187"	178	""	464	282	60.78
"188"	179	""	945	514	54.39
"189"	180	""	1301	728	55.96
"190"	181	""	1067	598	56.04
"191"	182	""	803	424	52.8
"192"	183	""	1051	644	61.27
"193"	184	""	940	383	40.74
"194"	185	""	940	536	57.02
"195"	186	""	795	420	52.83
"196"	187	""	577	393	68.11
"197"	188	""	510	285	55.88
"198"	189	""	809	357	44.13
"199"	190	""	752	361	48.01
"200"	191	""	584	257	44.01
"201"	192	""	873	470	53.84
"202"	193	""	860	452	52.56
"203"	194	""	1366	717	52.49
"204"	195	""	1162	482	41.48
"205"	196	""	1151	516	44.83
"206"	197	""	1094	616	56.31
"207"	198	""	1405	618	43.99
"208"	199	""	968	512	52.89
"209"	200	""	1432	579	40.43
"210"	201	"e/; fo|ky; ujkao mrjh   Hkkx"	1267	455	35.91
"211"	202	""	1389	534	38.44
"212"	203	""	618	268	43.37
"213"	204	""	886	426	48.08
"214"	205	"e/; fo|ky; /kukSjk"	1374	504	36.68
"215"	206	""	892	429	48.09
"216"	207	""	1516	709	46.77
"217"	208	""	946	392	41.44
"218"	209	""	813	483	59.41
