"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"
"20"	"11"	"11"	"11"	"46"	"9"	"220"	"30"	"4"	"6"	"12"	"4"	"7"	"7"	"11"	"14"	"12"	"20"	"29"	"9"	"5"	"3"	"67"	"5"	"6"	"4"	"6"	"4"	"33"	"6"	"3"	"3"	"8"	"22"	"626"
"21"	"12"	"12"	"4"	"69"	"12"	"131"	"10"	"4"	"2"	"5"	"1"	"2"	"2"	"8"	"2"	"4"	"66"	"11"	"5"	"5"	"1"	"33"	"3"	"7"	"20"	"3"	"4"	"33"	"5"	"1"	"2"	"3"	"13"	"471"
"22"	"13"	"13"	"9"	"124"	"30"	"135"	"26"	"5"	"4"	"11"	"2"	"8"	"8"	"9"	"10"	"7"	"25"	"10"	"7"	"4"	"2"	"107"	"0"	"2"	"1"	"6"	"2"	"2"	"3"	"9"	"1"	"5"	"5"	"579"
"23"	"14"	"14"	"3"	"153"	"9"	"131"	"4"	"1"	"7"	"12"	"4"	"4"	"7"	"4"	"11"	"17"	"17"	"27"	"5"	"9"	"1"	"19"	"3"	"3"	"19"	"4"	"3"	"10"	"1"	"4"	"3"	"6"	"7"	"508"
"24"	"15"	"15"	"7"	"82"	"9"	"347"	"15"	"1"	"4"	"3"	"1"	"0"	"4"	"6"	"5"	"2"	"4"	"0"	"1"	"2"	"4"	"24"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"22"	"24"	"2"	"576"
"25"	"16"	"16"	"2"	"89"	"10"	"384"	"10"	"2"	"2"	"2"	"3"	"4"	"5"	"9"	"14"	"3"	"11"	"5"	"2"	"2"	"2"	"34"	"7"	"6"	"0"	"2"	"2"	"4"	"9"	"11"	"1"	"34"	"6"	"677"
"26"	"17"	"17"	"7"	"150"	"19"	"353"	"11"	"7"	"5"	"5"	"4"	"4"	"5"	"4"	"7"	"15"	"8"	"22"	"11"	"10"	"4"	"11"	"4"	"11"	"11"	"2"	"6"	"7"	"9"	"34"	"36"	"19"	"25"	"826"
"27"	"18"	"18"	"4"	"69"	"5"	"190"	"7"	"2"	"4"	"5"	"5"	"3"	"5"	"2"	"5"	"3"	"20"	"11"	"2"	"1"	"2"	"4"	"3"	"8"	"64"	"4"	"2"	"2"	"3"	"30"	"5"	"9"	"12"	"491"
"28"	"Sl No"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"29"	""	"BOOTH NO"	"CHAND HASAN"	"JAGESHWAR RAY"	"MASUDUL HAQUE"	"RAVINDRA RAY"	"A M EZHARUL HAQUE"	"JAY NARAYAN SAH"	"PRIYA RANJAN KUMAR SINHA"	"MANJAR HUSSAIN"	"MANOJ PRASAD SINGH"	"MISHRI LAL RAY"	"RAM BABU SAH"	"LALIT KUMAR GHOSH"	"MD. SHAMSHAD AHMAD"	"ANUJ KUMAR"	"MD. ALIEMAM"	"MD. ALAM"	"UMA SHANKAR NIRALA"	"KUSHESHWAR SINGH"	"JAYANT KUMAR JAISWAL"	"ZAIGAM AKHTER"	"NITISH KUMAR NISHAD"	"PRABHAT KUMAR"	"PREM NATH SINGH"	"BHOLA ROY"	"YOGENDRA RAM"	"MD. RAZI ANSARI"	"RAMESH KUMAR"	"LALJI KUMAR RAKESH"	"VINOD KUMAR"	"SATYENDRA KUMAR"	"DR. SUMAN KUMAR SINHA"	""
"30"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	""
"31"	"19"	"19"	"9"	"77"	"11"	"220"	"5"	"12"	"6"	"17"	"1"	"3"	"24"	"0"	"2"	"5"	"39"	"3"	"6"	"2"	"3"	"1"	"7"	"4"	"24"	"1"	"1"	"1"	"1"	"43"	"0"	"7"	"3"	"538"
"32"	"20"	"20"	"18"	"147"	"10"	"149"	"14"	"7"	"5"	"4"	"2"	"1"	"3"	"4"	"7"	"8"	"25"	"4"	"11"	"6"	"1"	"86"	"9"	"26"	"15"	"5"	"4"	"9"	"4"	"29"	"12"	"17"	"13"	"655"
"33"	"21"	"21"	"5"	"13"	"10"	"24"	"24"	"4"	"3"	"3"	"1"	"4"	"5"	"8"	"1"	"1"	"82"	"8"	"5"	"3"	"3"	"90"	"9"	"4"	"2"	"4"	"4"	"100"	"3"	"4"	"1"	"5"	"9"	"442"
"34"	"22"	"22"	"5"	"125"	"16"	"109"	"11"	"9"	"5"	"2"	"2"	"1"	"3"	"1"	"7"	"4"	"71"	"4"	"6"	"11"	"4"	"16"	"6"	"2"	"47"	"4"	"3"	"17"	"7"	"9"	"5"	"11"	"11"	"534"
"35"	"23"	"23"	"3"	"102"	"3"	"156"	"9"	"3"	"1"	"7"	"4"	"2"	"4"	"3"	"12"	"4"	"40"	"7"	"1"	"4"	"3"	"14"	"3"	"0"	"2"	"2"	"0"	"3"	"2"	"3"	"4"	"6"	"5"	"412"
"36"	"24"	"24"	"6"	"77"	"44"	"48"	"16"	"0"	"8"	"5"	"0"	"1"	"4"	"6"	"2"	"1"	"8"	"4"	"4"	"3"	"2"	"187"	"3"	"3"	"1"	"5"	"0"	"3"	"4"	"2"	"59"	"1"	"2"	"509"
"37"	"25"	"25"	"4"	"47"	"30"	"25"	"18"	"1"	"1"	"1"	"0"	"2"	"2"	"16"	"3"	"3"	"12"	"7"	"6"	"6"	"5"	"177"	"9"	"2"	"4"	"9"	"1"	"5"	"4"	"13"	"88"	"7"	"7"	"515"
"38"	"26"	"26"	"9"	"235"	"24"	"311"	"12"	"3"	"7"	"6"	"2"	"6"	"3"	"5"	"13"	"11"	"14"	"9"	"1"	"2"	"1"	"28"	"0"	"2"	"9"	"0"	"2"	"3"	"3"	"2"	"57"	"33"	"5"	"818"
"39"	"27"	"27"	"1"	"27"	"16"	"196"	"12"	"14"	"4"	"5"	"0"	"1"	"2"	"3"	"4"	"5"	"2"	"8"	"0"	"0"	"6"	"99"	"3"	"9"	"7"	"2"	"0"	"3"	"4"	"4"	"5"	"7"	"2"	"451"
"40"	"28"	"28"	"3"	"39"	"7"	"237"	"8"	"12"	"8"	"7"	"2"	"1"	"4"	"4"	"10"	"3"	"19"	"4"	"2"	"1"	"5"	"5"	"4"	"3"	"0"	"0"	"1"	"3"	"3"	"1"	"0"	"4"	"0"	"400"
"41"	"29"	"29"	"3"	"114"	"15"	"129"	"22"	"4"	"7"	"3"	"1"	"1"	"2"	"6"	"5"	"4"	"60"	"13"	"2"	"4"	"0"	"104"	"6"	"1"	"2"	"2"	"0"	"12"	"9"	"3"	"2"	"2"	"4"	"542"
"42"	"30"	"30"	"18"	"265"	"19"	"122"	"28"	"8"	"3"	"9"	"3"	"8"	"9"	"22"	"17"	"20"	"25"	"24"	"3"	"4"	"3"	"120"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"4"	"13"	"2"	"756"
"43"	"31"	"31"	"15"	"228"	"11"	"69"	"25"	"3"	"3"	"4"	"3"	"4"	"8"	"21"	"15"	"3"	"14"	"9"	"4"	"2"	"3"	"183"	"3"	"4"	"8"	"5"	"1"	"2"	"0"	"1"	"2"	"7"	"5"	"665"
"44"	"32"	"32"	"0"	"122"	"1"	"93"	"6"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"3"	"2"	"2"	"0"	"0"	"1"	"0"	"288"	"1"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"14"	"5"	"0"	"551"
"45"	"33"	"33"	"19"	"161"	"18"	"371"	"2"	"5"	"8"	"9"	"2"	"0"	"8"	"7"	"10"	"8"	"12"	"8"	"7"	"9"	"1"	"5"	"0"	"3"	"3"	"1"	"4"	"3"	"0"	"2"	"2"	"5"	"5"	"698"
"46"	"34"	"34"	"2"	"40"	"11"	"297"	"6"	"0"	"9"	"4"	"1"	"1"	"3"	"1"	"10"	"6"	"4"	"4"	"4"	"4"	"6"	"19"	"5"	"8"	"5"	"2"	"3"	"2"	"11"	"3"	"7"	"8"	"15"	"501"
"47"	"35"	"35"	"1"	"60"	"16"	"129"	"24"	"2"	"7"	"6"	"0"	"0"	"5"	"6"	"12"	"4"	"9"	"7"	"7"	"1"	"9"	"82"	"3"	"3"	"17"	"2"	"0"	"3"	"1"	"1"	"3"	"4"	"12"	"436"
"48"	"36"	"36"	"23"	"118"	"16"	"456"	"15"	"3"	"4"	"11"	"2"	"3"	"2"	"6"	"47"	"7"	"8"	"9"	"4"	"5"	"10"	"34"	"2"	"1"	"16"	"2"	"2"	"1"	"5"	"2"	"7"	"3"	"4"	"828"
"49"	"37"	"37"	"4"	"58"	"16"	"136"	"4"	"4"	"1"	"0"	"3"	"0"	"1"	"5"	"7"	"11"	"19"	"7"	"4"	"4"	"3"	"55"	"4"	"1"	"14"	"8"	"10"	"1"	"3"	"3"	"7"	"7"	"8"	"408"
"50"	"38"	"38"	"10"	"207"	"3"	"146"	"4"	"5"	"4"	"6"	"0"	"2"	"1"	"0"	"5"	"4"	"5"	"4"	"5"	"2"	"4"	"6"	"2"	"1"	"6"	"0"	"0"	"10"	"1"	"0"	"3"	"7"	"2"	"455"
"51"	"39"	"39"	"1"	"137"	"5"	"32"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"1"	"3"	"219"	"3"	"2"	"3"	"0"	"4"	"18"	"5"	"0"	"1"	"1"	"3"	"2"	"2"	"1"	"15"	"12"	"477"
"52"	"40"	"40"	"5"	"191"	"3"	"6"	"0"	"1"	"1"	"3"	"0"	"0"	"2"	"2"	"1"	"3"	"153"	"5"	"2"	"9"	"2"	"1"	"4"	"1"	"3"	"4"	"1"	"0"	"0"	"1"	"2"	"7"	"9"	"422"
"53"	"41"	"41"	"7"	"199"	"19"	"118"	"4"	"9"	"4"	"4"	"2"	"0"	"0"	"1"	"1"	"1"	"14"	"1"	"2"	"1"	"1"	"2"	"3"	"6"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"13"	"0"	"417"
"54"	"42"	"42"	"7"	"218"	"41"	"65"	"6"	"2"	"2"	"3"	"2"	"0"	"1"	"2"	"5"	"1"	"19"	"5"	"9"	"8"	"4"	"5"	"3"	"9"	"3"	"1"	"0"	"2"	"2"	"0"	"1"	"7"	"7"	"440"
"55"	"43"	"43"	"17"	"345"	"15"	"210"	"7"	"4"	"7"	"12"	"0"	"0"	"2"	"1"	"3"	"3"	"2"	"7"	"2"	"3"	"2"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"2"	"664"
"56"	"44"	"44"	"4"	"141"	"36"	"56"	"5"	"4"	"0"	"14"	"1"	"0"	"0"	"0"	"1"	"1"	"14"	"2"	"6"	"4"	"3"	"8"	"4"	"23"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"11"	"3"	"349"
"57"	"45"	"45"	"21"	"222"	"14"	"99"	"7"	"13"	"1"	"3"	"1"	"3"	"1"	"1"	"1"	"2"	"185"	"4"	"14"	"6"	"1"	"8"	"11"	"6"	"2"	"2"	"3"	"0"	"3"	"0"	"11"	"31"	"13"	"689"
"58"	"46"	"46"	"8"	"94"	"8"	"167"	"3"	"10"	"2"	"7"	"2"	"1"	"7"	"3"	"5"	"6"	"86"	"9"	"9"	"1"	"3"	"3"	"9"	"9"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"9"	"7"	"473"
"59"	"47"	"47"	"6"	"44"	"8"	"184"	"6"	"1"	"5"	"6"	"1"	"0"	"2"	"2"	"5"	"0"	"16"	"8"	"4"	"2"	"1"	"1"	"4"	"16"	"24"	"3"	"1"	"4"	"7"	"1"	"1"	"3"	"4"	"370"
"60"	"48"	"48"	"4"	"127"	"8"	"111"	"9"	"8"	"2"	"0"	"2"	"1"	"5"	"2"	"5"	"33"	"133"	"6"	"9"	"8"	"2"	"8"	"8"	"1"	"1"	"1"	"4"	"15"	"4"	"4"	"6"	"11"	"32"	"570"
"61"	"Sl No"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"62"	""	"BOOTH NO"	"CHAND HASAN"	"JAGESHWAR RAY"	"MASUDUL HAQUE"	"RAVINDRA RAY"	"A M EZHARUL HAQUE"	"JAY NARAYAN SAH"	"PRIYA RANJAN KUMAR SINHA"	"MANJAR HUSSAIN"	"MANOJ PRASAD SINGH"	"MISHRI LAL RAY"	"RAM BABU SAH"	"LALIT KUMAR GHOSH"	"MD. SHAMSHAD AHMAD"	"ANUJ KUMAR"	"MD. ALIEMAM"	"MD. ALAM"	"UMA SHANKAR NIRALA"	"KUSHESHWAR SINGH"	"JAYANT KUMAR JAISWAL"	"ZAIGAM AKHTER"	"NITISH KUMAR NISHAD"	"PRABHAT KUMAR"	"PREM NATH SINGH"	"BHOLA ROY"	"YOGENDRA RAM"	"MD. RAZI ANSARI"	"RAMESH KUMAR"	"LALJI KUMAR RAKESH"	"VINOD KUMAR"	"SATYENDRA KUMAR"	"DR. SUMAN KUMAR SINHA"	""
"63"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	""
"64"	"49"	"49"	"8"	"166"	"35"	"261"	"6"	"3"	"7"	"6"	"6"	"1"	"6"	"4"	"12"	"25"	"64"	"25"	"4"	"6"	"2"	"8"	"3"	"1"	"8"	"5"	"3"	"1"	"1"	"2"	"7"	"13"	"13"	"712"
"65"	"50"	"50"	"7"	"76"	"9"	"99"	"13"	"30"	"6"	"3"	"4"	"5"	"7"	"6"	"6"	"9"	"10"	"16"	"8"	"5"	"3"	"6"	"355"	"13"	"7"	"4"	"2"	"1"	"8"	"4"	"4"	"19"	"22"	"767"
"66"	"51"	"51"	"10"	"278"	"47"	"64"	"11"	"13"	"6"	"5"	"2"	"3"	"4"	"3"	"3"	"10"	"61"	"15"	"6"	"6"	"2"	"6"	"24"	"6"	"10"	"6"	"0"	"2"	"3"	"2"	"5"	"5"	"13"	"631"
"67"	"52"	"52"	"6"	"264"	"8"	"244"	"2"	"4"	"4"	"4"	"2"	"0"	"3"	"5"	"3"	"3"	"4"	"11"	"3"	"1"	"0"	"3"	"16"	"9"	"0"	"1"	"0"	"1"	"7"	"4"	"5"	"13"	"3"	"633"
"68"	"53"	"53"	"7"	"23"	"13"	"532"	"7"	"0"	"9"	"2"	"1"	"2"	"2"	"1"	"10"	"9"	"3"	"0"	"4"	"1"	"3"	"4"	"2"	"3"	"5"	"0"	"0"	"2"	"1"	"4"	"1"	"2"	"2"	"655"
"69"	"54"	"54"	"14"	"108"	"18"	"310"	"6"	"1"	"8"	"3"	"1"	"0"	"3"	"2"	"2"	"0"	"1"	"3"	"5"	"3"	"3"	"3"	"0"	"2"	"7"	"1"	"0"	"1"	"0"	"3"	"6"	"5"	"1"	"520"
"70"	"55"	"55"	"5"	"45"	"12"	"402"	"6"	"2"	"15"	"5"	"2"	"0"	"0"	"3"	"10"	"0"	"2"	"0"	"7"	"4"	"4"	"3"	"4"	"4"	"5"	"2"	"0"	"2"	"3"	"2"	"1"	"5"	"3"	"558"
"71"	"56"	"56"	"12"	"58"	"11"	"302"	"8"	"1"	"11"	"4"	"3"	"2"	"0"	"4"	"5"	"8"	"5"	"7"	"2"	"2"	"5"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"10"	"4"	"475"
"72"	"57"	"57"	"7"	"175"	"27"	"207"	"8"	"7"	"3"	"3"	"3"	"4"	"2"	"4"	"15"	"8"	"65"	"12"	"6"	"8"	"8"	"5"	"10"	"9"	"7"	"5"	"7"	"1"	"6"	"3"	"15"	"10"	"18"	"668"
"73"	"58"	"58"	"5"	"34"	"6"	"23"	"0"	"6"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"62"	"8"	"0"	"3"	"0"	"0"	"30"	"3"	"2"	"0"	"2"	"1"	"2"	"2"	"0"	"11"	"4"	"208"
"74"	"59"	"59"	"0"	"9"	"1"	"16"	"1"	"9"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"3"	"3"	"0"	"0"	"1"	"2"	"83"	"4"	"29"	"2"	"2"	"0"	"6"	"0"	"3"	"2"	"14"	"199"
"75"	"60"	"60"	"6"	"265"	"10"	"176"	"2"	"1"	"5"	"8"	"0"	"1"	"1"	"1"	"4"	"28"	"23"	"3"	"8"	"16"	"4"	"7"	"2"	"11"	"4"	"0"	"0"	"3"	"5"	"2"	"13"	"13"	"4"	"626"
"76"	"61"	"61"	"7"	"112"	"9"	"204"	"7"	"2"	"3"	"3"	"0"	"1"	"4"	"0"	"8"	"13"	"14"	"7"	"1"	"3"	"1"	"2"	"4"	"8"	"11"	"2"	"2"	"1"	"2"	"2"	"7"	"10"	"2"	"452"
"77"	"62"	"61A"	"4"	"86"	"14"	"220"	"5"	"6"	"3"	"11"	"2"	"1"	"2"	"4"	"8"	"11"	"26"	"3"	"1"	"2"	"2"	"5"	"2"	"7"	"3"	"2"	"0"	"3"	"7"	"1"	"8"	"11"	"3"	"463"
"78"	"63"	"62"	"4"	"39"	"65"	"308"	"13"	"13"	"5"	"8"	"5"	"4"	"10"	"2"	"15"	"40"	"78"	"24"	"2"	"3"	"3"	"7"	"4"	"9"	"3"	"3"	"2"	"4"	"3"	"3"	"21"	"3"	"6"	"709"
"79"	"64"	"63"	"4"	"131"	"8"	"469"	"5"	"3"	"2"	"3"	"3"	"4"	"2"	"2"	"19"	"4"	"38"	"8"	"1"	"1"	"0"	"3"	"1"	"6"	"2"	"0"	"3"	"2"	"4"	"2"	"7"	"26"	"7"	"770"
"80"	"65"	"64"	"5"	"219"	"10"	"49"	"3"	"1"	"2"	"3"	"2"	"3"	"2"	"3"	"4"	"10"	"21"	"13"	"3"	"7"	"3"	"14"	"5"	"10"	"4"	"2"	"1"	"1"	"3"	"4"	"17"	"23"	"10"	"457"
"81"	"66"	"65"	"3"	"82"	"8"	"250"	"7"	"11"	"7"	"0"	"2"	"2"	"3"	"1"	"21"	"4"	"40"	"14"	"3"	"4"	"7"	"5"	"6"	"6"	"4"	"4"	"5"	"6"	"12"	"19"	"9"	"34"	"16"	"595"
"82"	"67"	"66"	"7"	"61"	"4"	"209"	"14"	"9"	"5"	"12"	"1"	"2"	"3"	"4"	"7"	"1"	"14"	"5"	"6"	"4"	"6"	"35"	"1"	"21"	"1"	"3"	"0"	"3"	"4"	"1"	"9"	"7"	"3"	"462"
"83"	"68"	"67"	"3"	"53"	"8"	"179"	"4"	"1"	"3"	"8"	"2"	"1"	"1"	"5"	"15"	"4"	"17"	"8"	"4"	"1"	"2"	"13"	"2"	"47"	"1"	"1"	"4"	"1"	"8"	"3"	"5"	"9"	"9"	"422"
"84"	"69"	"68"	"10"	"129"	"15"	"128"	"17"	"4"	"2"	"6"	"2"	"17"	"0"	"9"	"6"	"12"	"21"	"2"	"5"	"5"	"1"	"13"	"1"	"4"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"12"	"4"	"432"
"85"	"70"	"68A"	"8"	"217"	"4"	"97"	"4"	"3"	"6"	"3"	"2"	"3"	"0"	"13"	"5"	"10"	"5"	"2"	"3"	"4"	"1"	"6"	"2"	"16"	"1"	"0"	"2"	"0"	"2"	"0"	"4"	"53"	"3"	"479"
"86"	"71"	"69"	"13"	"131"	"8"	"195"	"11"	"7"	"5"	"7"	"1"	"7"	"2"	"7"	"4"	"11"	"7"	"6"	"1"	"2"	"5"	"33"	"0"	"5"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"18"	"2"	"493"
"87"	"72"	"70"	"7"	"19"	"3"	"208"	"3"	"9"	"3"	"7"	"0"	"1"	"3"	"3"	"1"	"5"	"79"	"10"	"5"	"3"	"1"	"1"	"5"	"1"	"1"	"0"	"2"	"13"	"1"	"1"	"3"	"8"	"2"	"408"
"88"	"73"	"71"	"10"	"195"	"10"	"126"	"5"	"1"	"8"	"6"	"1"	"1"	"2"	"2"	"0"	"2"	"3"	"4"	"5"	"2"	"1"	"3"	"1"	"3"	"11"	"0"	"2"	"1"	"2"	"1"	"2"	"10"	"10"	"430"
"89"	"74"	"72"	"2"	"19"	"56"	"280"	"3"	"1"	"2"	"7"	"3"	"0"	"1"	"2"	"8"	"3"	"5"	"9"	"0"	"1"	"6"	"1"	"2"	"4"	"0"	"0"	"1"	"0"	"2"	"3"	"0"	"6"	"1"	"428"
"90"	"75"	"73"	"7"	"91"	"40"	"376"	"3"	"3"	"5"	"6"	"1"	"0"	"1"	"2"	"4"	"9"	"10"	"18"	"16"	"6"	"10"	"15"	"5"	"4"	"4"	"4"	"4"	"6"	"11"	"9"	"10"	"135"	"26"	"841"
"91"	"76"	"74"	"3"	"82"	"4"	"279"	"4"	"4"	"5"	"1"	"1"	"7"	"1"	"4"	"8"	"1"	"2"	"9"	"20"	"14"	"12"	"18"	"9"	"9"	"6"	"8"	"8"	"4"	"13"	"8"	"14"	"75"	"10"	"643"
"92"	"77"	"75"	"4"	"53"	"5"	"631"	"6"	"2"	"4"	"4"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"7"	"7"	"1"	"6"	"3"	"2"	"4"	"5"	"6"	"4"	"2"	"67"	"5"	"838"
