"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"29"	"27"	"401"	"35"	"42"	"51"	"6"	"17"	"0"	"3"	"1"	"1"	"5"	"4"	"9"	"6"	"4"	"40"	"18"	"5"	"648"
"30"	"28"	"288"	"14"	"233"	"13"	"3"	"61"	"8"	"4"	"4"	"1"	"6"	"2"	"5"	"7"	"3"	"12"	"18"	"1"	"683"
"31"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"34"	"29"	"340"	"12"	"141"	"6"	"2"	"25"	"6"	"2"	"3"	"0"	"3"	"4"	"1"	"4"	"5"	"6"	"10"	"1"	"571"
"35"	"30"	"208"	"6"	"128"	"6"	"1"	"22"	"6"	"4"	"3"	"3"	"3"	"5"	"5"	"13"	"0"	"54"	"6"	"3"	"476"
"36"	"31"	"211"	"9"	"232"	"28"	"5"	"34"	"12"	"1"	"7"	"4"	"2"	"2"	"8"	"11"	"6"	"38"	"30"	"5"	"645"
"37"	"32"	"312"	"9"	"46"	"8"	"1"	"53"	"8"	"1"	"2"	"1"	"3"	"1"	"3"	"1"	"0"	"11"	"20"	"6"	"486"
"38"	"33"	"170"	"10"	"162"	"3"	"3"	"13"	"4"	"0"	"1"	"2"	"2"	"1"	"5"	"10"	"5"	"22"	"9"	"16"	"438"
"39"	"34"	"208"	"17"	"256"	"10"	"6"	"17"	"4"	"1"	"8"	"4"	"4"	"2"	"5"	"14"	"1"	"10"	"6"	"1"	"574"
"40"	"35"	"387"	"5"	"21"	"9"	"0"	"47"	"5"	"3"	"0"	"2"	"1"	"0"	"1"	"4"	"2"	"17"	"28"	"4"	"536"
"41"	"36"	"220"	"17"	"126"	"11"	"0"	"24"	"2"	"4"	"4"	"5"	"3"	"4"	"10"	"15"	"8"	"35"	"24"	"12"	"524"
"42"	"37"	"159"	"2"	"17"	"4"	"2"	"15"	"1"	"1"	"0"	"2"	"0"	"2"	"0"	"1"	"2"	"8"	"4"	"1"	"221"
"43"	"38"	"300"	"24"	"96"	"26"	"5"	"48"	"2"	"0"	"3"	"5"	"6"	"2"	"4"	"6"	"1"	"9"	"16"	"2"	"555"
"44"	"39"	"209"	"6"	"248"	"9"	"1"	"16"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"11"	"6"	"1"	"511"
"45"	"40"	"240"	"2"	"6"	"7"	"2"	"10"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"10"	"19"	"1"	"301"
"46"	"41"	"245"	"6"	"17"	"1"	"0"	"25"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"7"	"26"	"2"	"335"
"47"	"42"	"139"	"13"	"276"	"24"	"2"	"21"	"7"	"4"	"7"	"0"	"1"	"6"	"4"	"8"	"4"	"61"	"17"	"12"	"606"
"48"	"43"	"151"	"5"	"132"	"8"	"0"	"35"	"6"	"4"	"4"	"2"	"4"	"1"	"3"	"7"	"3"	"14"	"17"	"3"	"399"
"49"	"44"	"313"	"8"	"179"	"1"	"3"	"37"	"7"	"4"	"4"	"1"	"0"	"1"	"1"	"8"	"3"	"18"	"10"	"2"	"600"
"50"	"45"	"6"	"6"	"159"	"6"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"4"	"8"	"2"	"2"	"7"	"4"	"209"
"51"	"46"	"133"	"10"	"218"	"8"	"4"	"16"	"5"	"1"	"5"	"1"	"0"	"3"	"2"	"5"	"1"	"4"	"12"	"1"	"429"
"52"	"47"	"254"	"8"	"28"	"1"	"1"	"14"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"2"	"0"	"314"
"53"	"48"	"193"	"4"	"173"	"33"	"2"	"19"	"2"	"0"	"4"	"0"	"3"	"1"	"3"	"2"	"1"	"4"	"8"	"1"	"453"
"54"	"49"	"150"	"3"	"23"	"7"	"2"	"6"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"203"
"55"	"50"	"65"	"0"	"12"	"1"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"99"
"56"	"51"	"246"	"16"	"141"	"10"	"2"	"26"	"5"	"2"	"1"	"1"	"1"	"2"	"3"	"2"	"2"	"7"	"19"	"2"	"488"
"57"	"52"	"415"	"14"	"45"	"6"	"0"	"24"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"4"	"11"	"1"	"527"
"58"	"53"	"122"	"10"	"160"	"9"	"4"	"12"	"6"	"6"	"5"	"2"	"2"	"2"	"8"	"12"	"4"	"17"	"21"	"6"	"408"
"59"	"54"	"151"	"9"	"118"	"8"	"3"	"10"	"1"	"1"	"1"	"0"	"4"	"6"	"0"	"6"	"0"	"4"	"3"	"2"	"327"
"60"	"55"	"45"	"6"	"229"	"14"	"3"	"9"	"4"	"2"	"2"	"3"	"1"	"14"	"2"	"6"	"2"	"5"	"11"	"5"	"363"
"61"	"56"	"219"	"9"	"63"	"1"	"1"	"11"	"5"	"0"	"3"	"1"	"2"	"2"	"1"	"2"	"2"	"24"	"14"	"2"	"362"
"62"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"64"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"65"	"57"	"75"	"6"	"146"	"16"	"2"	"14"	"3"	"1"	"4"	"1"	"2"	"5"	"3"	"3"	"3"	"0"	"9"	"1"	"294"
"66"	"58"	"401"	"19"	"56"	"6"	"4"	"25"	"5"	"3"	"1"	"0"	"2"	"3"	"1"	"5"	"2"	"4"	"8"	"0"	"545"
"67"	"59"	"129"	"13"	"288"	"13"	"2"	"10"	"6"	"2"	"7"	"0"	"1"	"6"	"3"	"6"	"1"	"12"	"10"	"2"	"511"
"68"	"60"	"67"	"13"	"493"	"10"	"5"	"5"	"6"	"2"	"6"	"1"	"2"	"5"	"13"	"16"	"8"	"17"	"2"	"1"	"672"
"69"	"61"	"159"	"12"	"298"	"22"	"10"	"17"	"14"	"4"	"12"	"5"	"5"	"4"	"10"	"16"	"3"	"26"	"5"	"3"	"625"
"70"	"62"	"18"	"9"	"430"	"7"	"4"	"6"	"1"	"4"	"0"	"0"	"1"	"11"	"3"	"5"	"1"	"7"	"12"	"5"	"524"
"71"	"63"	"171"	"8"	"12"	"1"	"1"	"46"	"0"	"2"	"1"	"1"	"3"	"0"	"3"	"2"	"2"	"20"	"9"	"0"	"282"
"72"	"64"	"208"	"3"	"232"	"5"	"3"	"9"	"1"	"0"	"0"	"2"	"1"	"2"	"0"	"9"	"0"	"5"	"7"	"2"	"489"
"73"	"65"	"349"	"9"	"66"	"59"	"2"	"27"	"5"	"1"	"4"	"1"	"1"	"6"	"3"	"6"	"6"	"17"	"10"	"2"	"574"
"74"	"66"	"125"	"21"	"237"	"24"	"3"	"8"	"3"	"5"	"5"	"2"	"1"	"3"	"3"	"14"	"2"	"13"	"17"	"18"	"504"
"75"	"67"	"278"	"12"	"189"	"14"	"10"	"43"	"10"	"0"	"3"	"1"	"5"	"1"	"4"	"19"	"4"	"9"	"11"	"12"	"625"
"76"	"68"	"63"	"19"	"280"	"8"	"5"	"7"	"3"	"2"	"7"	"4"	"5"	"22"	"6"	"20"	"4"	"37"	"23"	"22"	"537"
"77"	"69"	"266"	"16"	"181"	"15"	"13"	"42"	"22"	"5"	"6"	"4"	"3"	"2"	"5"	"9"	"5"	"9"	"5"	"1"	"609"
"78"	"70"	"137"	"9"	"153"	"11"	"3"	"75"	"5"	"2"	"6"	"1"	"3"	"3"	"6"	"9"	"11"	"13"	"18"	"8"	"473"
"79"	"71"	"61"	"5"	"71"	"5"	"3"	"22"	"3"	"1"	"2"	"2"	"1"	"4"	"6"	"10"	"3"	"13"	"1"	"1"	"214"
"80"	"72"	"153"	"8"	"362"	"15"	"1"	"20"	"8"	"3"	"1"	"1"	"2"	"8"	"1"	"2"	"1"	"1"	"5"	"3"	"595"
"81"	"73"	"340"	"12"	"188"	"20"	"4"	"40"	"4"	"1"	"4"	"0"	"1"	"3"	"2"	"3"	"2"	"14"	"8"	"3"	"649"
"82"	"74"	"402"	"8"	"105"	"7"	"5"	"24"	"5"	"3"	"1"	"0"	"3"	"0"	"0"	"6"	"3"	"13"	"9"	"4"	"598"
"83"	"75"	"157"	"30"	"42"	"3"	"0"	"23"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"263"
"84"	"76"	"326"	"47"	"262"	"6"	"3"	"30"	"6"	"1"	"5"	"2"	"3"	"1"	"1"	"10"	"5"	"14"	"17"	"5"	"744"
"85"	"77"	"218"	"10"	"299"	"11"	"3"	"21"	"5"	"0"	"3"	"1"	"2"	"3"	"4"	"13"	"1"	"13"	"6"	"1"	"614"
"86"	"78"	"197"	"66"	"25"	"9"	"0"	"24"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"9"	"6"	"6"	"354"
"87"	"79"	"191"	"32"	"38"	"53"	"7"	"25"	"4"	"1"	"0"	"0"	"1"	"1"	"5"	"4"	"3"	"10"	"10"	"6"	"391"
"88"	"80"	"249"	"49"	"253"	"3"	"3"	"26"	"8"	"2"	"3"	"1"	"2"	"1"	"1"	"5"	"3"	"7"	"10"	"5"	"631"
"89"	"81"	"78"	"8"	"306"	"10"	"7"	"4"	"3"	"0"	"3"	"3"	"1"	"1"	"2"	"5"	"0"	"21"	"6"	"1"	"459"
"90"	"82"	"131"	"42"	"256"	"6"	"13"	"39"	"7"	"4"	"7"	"6"	"4"	"6"	"4"	"11"	"4"	"30"	"8"	"2"	"580"
"91"	"83"	"324"	"4"	"47"	"1"	"0"	"18"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"402"
"92"	"84"	"132"	"13"	"166"	"5"	"1"	"24"	"3"	"0"	"1"	"0"	"0"	"0"	"2"	"14"	"2"	"17"	"10"	"4"	"394"
"93"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"95"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"96"	"85"	"310"	"10"	"29"	"1"	"0"	"25"	"4"	"5"	"3"	"4"	"2"	"2"	"1"	"1"	"0"	"4"	"5"	"1"	"407"
"97"	"86"	"191"	"10"	"157"	"7"	"1"	"15"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"9"	"1"	"1"	"1"	"0"	"401"
"98"	"87"	"234"	"28"	"227"	"5"	"6"	"24"	"4"	"0"	"2"	"1"	"2"	"3"	"3"	"1"	"1"	"35"	"11"	"2"	"589"
"99"	"88"	"12"	"2"	"411"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"437"
"100"	"89"	"193"	"3"	"201"	"5"	"6"	"27"	"6"	"1"	"4"	"0"	"4"	"2"	"0"	"2"	"1"	"3"	"1"	"0"	"459"
"101"	"90"	"33"	"2"	"169"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"212"
"102"	"91"	"83"	"8"	"391"	"2"	"0"	"4"	"2"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"0"	"2"	"3"	"0"	"503"
"103"	"92"	"150"	"6"	"121"	"9"	"0"	"20"	"2"	"0"	"5"	"5"	"1"	"3"	"2"	"3"	"0"	"2"	"2"	"1"	"332"
"104"	"93"	"273"	"11"	"220"	"13"	"43"	"41"	"6"	"4"	"2"	"4"	"10"	"5"	"3"	"15"	"4"	"56"	"17"	"6"	"733"
"105"	"94"	"167"	"4"	"193"	"10"	"9"	"19"	"4"	"1"	"1"	"0"	"5"	"2"	"1"	"4"	"2"	"2"	"9"	"1"	"434"
"106"	"95"	"190"	"14"	"133"	"3"	"3"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"5"	"16"	"9"	"385"
"107"	"96"	"106"	"12"	"230"	"9"	"2"	"11"	"8"	"2"	"2"	"0"	"2"	"0"	"4"	"4"	"1"	"3"	"3"	"3"	"402"
"108"	"97"	"368"	"13"	"126"	"13"	"2"	"36"	"8"	"2"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"5"	"4"	"2"	"586"
"109"	"98"	"288"	"59"	"173"	"8"	"2"	"18"	"1"	"0"	"4"	"1"	"0"	"1"	"3"	"10"	"1"	"6"	"19"	"6"	"600"
"110"	"99"	"123"	"7"	"162"	"11"	"2"	"31"	"7"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"5"	"11"	"4"	"367"
"111"	"100"	"44"	"9"	"295"	"11"	"19"	"6"	"3"	"1"	"1"	"0"	"1"	"2"	"2"	"3"	"1"	"34"	"4"	"1"	"437"
"112"	"101"	"441"	"5"	"102"	"4"	"4"	"14"	"3"	"0"	"2"	"0"	"0"	"0"	"3"	"3"	"1"	"8"	"12"	"3"	"605"
"113"	"102"	"291"	"42"	"82"	"3"	"7"	"27"	"3"	"6"	"1"	"1"	"2"	"0"	"3"	"1"	"1"	"8"	"12"	"5"	"495"
"114"	"103"	"354"	"36"	"83"	"3"	"1"	"19"	"4"	"1"	"2"	"1"	"2"	"4"	"0"	"1"	"0"	"2"	"11"	"3"	"527"
"115"	"104"	"322"	"13"	"139"	"4"	"6"	"30"	"9"	"3"	"5"	"1"	"2"	"7"	"2"	"5"	"0"	"4"	"7"	"0"	"559"
"116"	"105"	"300"	"23"	"81"	"1"	"5"	"22"	"1"	"2"	"1"	"0"	"2"	"0"	"0"	"4"	"0"	"4"	"12"	"3"	"461"
"117"	"106"	"320"	"15"	"60"	"3"	"23"	"32"	"0"	"1"	"3"	"1"	"0"	"3"	"1"	"1"	"4"	"10"	"5"	"1"	"483"
"118"	"107"	"214"	"32"	"45"	"19"	"6"	"41"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"8"	"2"	"2"	"390"
"119"	"107"	"242"	"36"	"60"	"4"	"11"	"41"	"2"	"3"	"2"	"0"	"3"	"1"	"4"	"5"	"7"	"11"	"19"	"7"	"458"
"120"	"108"	"53"	"21"	"75"	"7"	"72"	"10"	"0"	"1"	"2"	"1"	"1"	"2"	"4"	"8"	"6"	"14"	"6"	"1"	"284"
"121"	"109"	"123"	"15"	"167"	"12"	"0"	"10"	"7"	"0"	"1"	"0"	"1"	"3"	"3"	"4"	"0"	"2"	"7"	"2"	"357"
"122"	"110"	"143"	"16"	"300"	"7"	"21"	"36"	"10"	"5"	"6"	"3"	"3"	"2"	"21"	"33"	"7"	"31"	"25"	"5"	"674"
"123"	"111"	"126"	"22"	"74"	"22"	"4"	"30"	"2"	"3"	"1"	"1"	"2"	"2"	"1"	"8"	"2"	"12"	"14"	"1"	"327"
"124"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"127"	"112"	"168"	"16"	"127"	"2"	"99"	"32"	"3"	"0"	"2"	"4"	"5"	"10"	"4"	"10"	"5"	"29"	"6"	"4"	"526"
"128"	"113"	"64"	"51"	"141"	"3"	"55"	"17"	"1"	"2"	"3"	"0"	"2"	"3"	"1"	"3"	"4"	"8"	"3"	"1"	"362"
"129"	"114"	"422"	"4"	"72"	"2"	"1"	"24"	"7"	"4"	"2"	"1"	"2"	"1"	"1"	"2"	"0"	"5"	"5"	"1"	"556"
"130"	"115"	"238"	"13"	"104"	"19"	"2"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"5"	"5"	"4"	"420"
"131"	"116"	"279"	"119"	"103"	"22"	"2"	"28"	"4"	"1"	"0"	"2"	"2"	"1"	"5"	"12"	"3"	"12"	"18"	"9"	"622"
"132"	"117"	"145"	"92"	"395"	"12"	"1"	"5"	"3"	"2"	"1"	"1"	"1"	"4"	"0"	"3"	"1"	"3"	"4"	"0"	"673"
"133"	"118"	"90"	"95"	"192"	"14"	"3"	"5"	"1"	"0"	"4"	"1"	"1"	"3"	"4"	"5"	"3"	"6"	"5"	"3"	"435"
"134"	"119"	"224"	"13"	"139"	"18"	"2"	"34"	"8"	"1"	"4"	"0"	"0"	"1"	"2"	"2"	"2"	"4"	"1"	"2"	"457"
"135"	"120"	"230"	"64"	"154"	"7"	"2"	"34"	"2"	"2"	"1"	"1"	"1"	"0"	"4"	"4"	"1"	"9"	"3"	"1"	"520"
"136"	"121"	"307"	"30"	"220"	"13"	"2"	"12"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"9"	"1"	"8"	"8"	"0"	"615"
"137"	"122"	"72"	"329"	"8"	"1"	"0"	"5"	"2"	"0"	"3"	"3"	"0"	"1"	"6"	"3"	"14"	"19"	"4"	"13"	"483"
"138"	"123"	"154"	"18"	"486"	"19"	"7"	"21"	"10"	"2"	"9"	"2"	"2"	"6"	"4"	"9"	"6"	"12"	"14"	"6"	"787"
"139"	"124"	"56"	"5"	"508"	"15"	"3"	"7"	"1"	"3"	"2"	"1"	"2"	"9"	"1"	"7"	"0"	"4"	"1"	"0"	"625"
"140"	"125"	"111"	"14"	"216"	"9"	"8"	"11"	"6"	"2"	"4"	"5"	"1"	"0"	"1"	"2"	"1"	"8"	"14"	"4"	"417"
"141"	"126"	"339"	"40"	"133"	"5"	"2"	"23"	"10"	"2"	"6"	"3"	"1"	"3"	"1"	"7"	"3"	"5"	"2"	"3"	"588"
"142"	"127"	"261"	"9"	"141"	"46"	"5"	"28"	"16"	"4"	"40"	"3"	"3"	"7"	"7"	"9"	"5"	"13"	"7"	"6"	"610"
"143"	"128"	"115"	"13"	"289"	"26"	"4"	"10"	"3"	"4"	"7"	"1"	"3"	"6"	"2"	"9"	"0"	"2"	"50"	"6"	"550"
"144"	"129"	"153"	"4"	"162"	"3"	"3"	"23"	"6"	"3"	"2"	"1"	"3"	"0"	"4"	"9"	"3"	"19"	"32"	"25"	"455"
"145"	"130"	"111"	"22"	"255"	"12"	"10"	"16"	"7"	"6"	"7"	"5"	"5"	"34"	"3"	"8"	"0"	"15"	"66"	"5"	"587"
"146"	"131"	"147"	"10"	"202"	"10"	"6"	"27"	"9"	"5"	"3"	"2"	"2"	"12"	"5"	"5"	"3"	"11"	"13"	"1"	"473"
"147"	"132"	"80"	"20"	"115"	"6"	"3"	"14"	"19"	"1"	"3"	"3"	"2"	"9"	"9"	"8"	"6"	"6"	"15"	"6"	"325"
"148"	"133"	"29"	"14"	"312"	"10"	"5"	"11"	"7"	"2"	"7"	"0"	"5"	"16"	"5"	"26"	"10"	"21"	"7"	"2"	"489"
"149"	"134"	"63"	"13"	"164"	"9"	"5"	"20"	"8"	"2"	"7"	"2"	"4"	"3"	"2"	"11"	"1"	"3"	"12"	"1"	"330"
"150"	"135"	"50"	"27"	"240"	"8"	"4"	"28"	"9"	"5"	"9"	"4"	"2"	"3"	"2"	"3"	"3"	"5"	"20"	"2"	"424"
"151"	"136"	"82"	"12"	"233"	"7"	"0"	"3"	"7"	"0"	"5"	"0"	"2"	"0"	"2"	"19"	"6"	"12"	"6"	"2"	"398"
"152"	"137"	"38"	"5"	"320"	"20"	"0"	"11"	"5"	"2"	"2"	"0"	"0"	"1"	"3"	"2"	"1"	"8"	"4"	"1"	"423"
