"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"103&  Hkksj s  ¼v -t k-½  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"66"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"67"	"42"	"20"	"184"	"26"	"4"	"1"	"2"	"0"	"0"	"1"	"0"	"6"	"5"	"249"	""	"249"	""
"68"	"43"	"36"	"275"	"174"	"6"	"1"	"1"	"0"	"0"	"2"	"4"	"24"	"9"	"532"	""	"532"	""
"69"	"44"	"27"	"308"	"90"	"19"	"2"	"2"	"3"	"2"	"9"	"5"	"14"	"9"	"490"	""	"490"	""
"70"	"45"	"57"	"234"	"198"	"32"	"2"	"2"	"14"	"2"	"13"	"5"	"11"	"12"	"582"	""	"582"	""
"71"	"46"	"8"	"166"	"12"	"47"	"1"	"3"	"24"	"1"	"1"	"7"	"10"	"12"	"292"	""	"292"	""
"72"	"46¼d½"	"11"	"247"	"47"	"10"	"3"	"5"	"30"	"1"	"6"	"4"	"7"	"17"	"388"	""	"388"	""
"73"	"47"	"88"	"85"	"76"	"6"	"3"	"2"	"1"	"0"	"30"	"4"	"2"	"5"	"302"	""	"302"	""
"74"	"48"	"38"	"377"	"111"	"28"	"4"	"5"	"26"	"3"	"2"	"6"	"6"	"10"	"616"	""	"616"	""
"75"	"49"	"41"	"237"	"118"	"5"	"3"	"4"	"19"	"2"	"3"	"13"	"13"	"36"	"494"	""	"494"	""
"76"	"50"	"31"	"221"	"303"	"21"	"6"	"6"	"31"	"4"	"5"	"21"	"14"	"25"	"688"	""	"688"	""
"77"	"51"	"33"	"193"	"91"	"28"	"7"	"1"	"25"	"4"	"1"	"3"	"10"	"20"	"416"	""	"416"	""
"78"	"52"	"80"	"198"	"115"	"13"	"9"	"12"	"45"	"7"	"2"	"9"	"14"	"13"	"517"	""	"517"	""
"79"	"53"	"60"	"209"	"32"	"17"	"7"	"4"	"18"	"4"	"1"	"3"	"5"	"15"	"375"	""	"375"	""
"80"	"54"	"88"	"191"	"42"	"10"	"2"	"0"	"0"	"1"	"4"	"5"	"7"	"18"	"368"	""	"368"	""
"81"	"; ksx"	"618"	"3125"	"1435"	"246"	"51"	"49"	"236"	"31"	"80"	"89"	"143"	"206"	"6309"	""	"6309"	""
"82"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1496"	"8918"	"2803"	"1341"	"110"	"151"	"478"	"114"	"224"	"240"	"588"	"639"	"17102"	""	"17102"	""
"83"	"d qy  ; ksx"	"2114"	"12043"	"4238"	"1587"	"161"	"200"	"714"	"145"	"304"	"329"	"731"	"845"	"23411"	""	"23411"	""
"84"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"85"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"86"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"87"	"55"	"42"	"373"	"84"	"5"	"1"	"3"	"9"	"3"	"0"	"3"	"10"	"13"	"546"	""	"546"	""
"88"	"56"	"25"	"249"	"35"	"21"	"4"	"8"	"3"	"1"	"14"	"4"	"4"	"16"	"384"	""	"384"	""
"89"	"57"	"20"	"251"	"120"	"10"	"4"	"1"	"14"	"2"	"3"	"5"	"16"	"12"	"458"	""	"458"	""
"90"	"58"	"95"	"176"	"186"	"21"	"6"	"6"	"43"	"5"	"4"	"14"	"13"	"18"	"587"	""	"587"	""
"91"	"59"	"96"	"319"	"60"	"4"	"3"	"1"	"10"	"2"	"11"	"1"	"5"	"7"	"519"	""	"519"	""
"92"	"60"	"7"	"145"	"87"	"6"	"0"	"0"	"0"	"2"	"9"	"2"	"7"	"7"	"272"	""	"272"	""
"93"	"61"	"19"	"172"	"6"	"10"	"0"	"7"	"58"	"6"	"25"	"6"	"9"	"9"	"327"	""	"327"	""
"94"	"62"	"21"	"201"	"104"	"3"	"0"	"1"	"5"	"2"	"6"	"4"	"2"	"2"	"351"	""	"351"	""
"95"	"63"	"58"	"436"	"113"	"9"	"1"	"3"	"29"	"2"	"24"	"7"	"7"	"27"	"716"	""	"716"	""
"96"	"64"	"25"	"177"	"88"	"0"	"4"	"5"	"32"	"9"	"31"	"6"	"7"	"16"	"400"	""	"400"	""
"97"	"65"	"13"	"142"	"114"	"3"	"1"	"1"	"14"	"5"	"45"	"11"	"13"	"15"	"377"	""	"377"	""
"98"	"66"	"22"	"265"	"21"	"11"	"0"	"2"	"2"	"2"	"0"	"0"	"2"	"2"	"329"	""	"329"	""
"99"	"67"	"99"	"297"	"125"	"58"	"6"	"1"	"5"	"3"	"5"	"3"	"11"	"26"	"639"	""	"639"	""
"100"	"68"	"62"	"215"	"55"	"74"	"3"	"7"	"31"	"5"	"3"	"4"	"9"	"19"	"487"	""	"487"	""
"101"	"; ksx"	"604"	"3418"	"1198"	"235"	"33"	"46"	"255"	"49"	"180"	"70"	"115"	"189"	"6392"	""	"6392"	""
"102"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2114"	"12043"	"4238"	"1587"	"161"	"200"	"714"	"145"	"304"	"329"	"731"	"845"	"23411"	""	"23411"	""
"103"	"d qy  ; ksx"	"2718"	"15461"	"5436"	"1822"	"194"	"246"	"969"	"194"	"484"	"399"	"846"	"1034"	"29803"	""	"29803"	""
"104"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"105"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"107"	"69"	"47"	"265"	"70"	"18"	"1"	"7"	"7"	"2"	"5"	"8"	"15"	"22"	"467"	""	"467"	""
"108"	"70"	"50"	"108"	"27"	"32"	"0"	"4"	"8"	"4"	"2"	"1"	"3"	"14"	"253"	""	"253"	""
"109"	"71"	"134"	"256"	"57"	"20"	"1"	"8"	"2"	"2"	"1"	"4"	"11"	"15"	"511"	""	"511"	""
"110"	"72"	"27"	"126"	"27"	"27"	"0"	"1"	"4"	"4"	"5"	"5"	"13"	"20"	"259"	""	"259"	""
"111"	"73"	"38"	"127"	"6"	"32"	"0"	"2"	"0"	"1"	"3"	"2"	"1"	"3"	"215"	""	"215"	""
"112"	"74"	"68"	"138"	"54"	"7"	"0"	"1"	"4"	"1"	"7"	"0"	"2"	"3"	"285"	""	"285"	""
"113"	"75"	"30"	"92"	"29"	"5"	"2"	"3"	"4"	"2"	"4"	"2"	"3"	"15"	"191"	""	"191"	""
"114"	"76"	"83"	"389"	"102"	"16"	"6"	"9"	"21"	"7"	"9"	"13"	"20"	"28"	"703"	""	"703"	""
"115"	"77"	"81"	"304"	"67"	"8"	"1"	"3"	"8"	"4"	"4"	"5"	"4"	"11"	"500"	""	"500"	""
"116"	"78"	"54"	"240"	"80"	"18"	"8"	"5"	"25"	"0"	"9"	"0"	"7"	"4"	"450"	""	"450"	""
"117"	"79"	"78"	"67"	"67"	"14"	"1"	"9"	"4"	"1"	"1"	"2"	"2"	"5"	"251"	""	"251"	""
"118"	"80"	"17"	"200"	"33"	"5"	"3"	"0"	"4"	"1"	"11"	"2"	"16"	"8"	"300"	""	"300"	""
"119"	"81"	"182"	"93"	"12"	"33"	"3"	"5"	"10"	"3"	"2"	"3"	"10"	"24"	"380"	""	"380"	""
"120"	"82"	"144"	"157"	"43"	"45"	"1"	"5"	"22"	"3"	"15"	"6"	"2"	"17"	"460"	""	"460"	""
"121"	"; ksx"	"1033"	"2562"	"674"	"280"	"27"	"62"	"123"	"35"	"78"	"53"	"109"	"189"	"5225"	""	"5225"	""
"122"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2718"	"15461"	"5436"	"1822"	"194"	"246"	"969"	"194"	"484"	"399"	"846"	"1034"	"29803"	""	"29803"	""
"123"	"d qy  ; ksx"	"3751"	"18023"	"6110"	"2102"	"221"	"308"	"1092"	"229"	"562"	"452"	"955"	"1223"	"35028"	""	"35028"	""
"124"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"125"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"126"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"127"	"83"	"90"	"188"	"41"	"9"	"0"	"11"	"63"	"6"	"5"	"10"	"16"	"26"	"465"	""	"465"	""
"128"	"84"	"139"	"283"	"76"	"6"	"1"	"2"	"12"	"5"	"13"	"2"	"5"	"26"	"570"	""	"570"	""
"129"	"85"	"156"	"109"	"16"	"4"	"2"	"6"	"72"	"2"	"4"	"10"	"1"	"2"	"384"	""	"384"	""
"130"	"86"	"106"	"157"	"11"	"2"	"2"	"2"	"4"	"3"	"12"	"7"	"7"	"7"	"320"	""	"320"	""
"131"	"87"	"135"	"160"	"48"	"12"	"21"	"1"	"11"	"4"	"5"	"8"	"11"	"27"	"443"	""	"443"	""
"132"	"88"	"164"	"304"	"31"	"5"	"2"	"0"	"4"	"1"	"9"	"4"	"11"	"24"	"559"	""	"559"	""
"133"	"89"	"172"	"200"	"99"	"15"	"2"	"3"	"7"	"2"	"2"	"6"	"14"	"16"	"538"	""	"538"	""
"134"	"90"	"19"	"133"	"21"	"30"	"2"	"4"	"18"	"2"	"5"	"2"	"4"	"2"	"242"	""	"242"	""
"135"	"91"	"87"	"98"	"96"	"12"	"3"	"8"	"74"	"5"	"7"	"3"	"5"	"2"	"400"	""	"400"	""
"136"	"92"	"179"	"161"	"60"	"5"	"3"	"2"	"8"	"4"	"4"	"3"	"12"	"27"	"468"	""	"468"	""
"137"	"93"	"119"	"113"	"31"	"13"	"5"	"4"	"14"	"4"	"2"	"11"	"25"	"30"	"371"	""	"371"	""
"138"	"94"	"108"	"107"	"77"	"10"	"1"	"7"	"8"	"3"	"3"	"2"	"8"	"12"	"346"	""	"346"	""
"139"	"95"	"190"	"103"	"65"	"1"	"1"	"1"	"15"	"0"	"4"	"3"	"3"	"6"	"392"	""	"392"	""
"140"	"96"	"37"	"130"	"21"	"12"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"2"	"208"	""	"208"	""
"141"	"; ksx"	"1701"	"2246"	"693"	"136"	"45"	"52"	"311"	"43"	"75"	"71"	"124"	"209"	"5706"	""	"5706"	""
"142"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3751"	"18023"	"6110"	"2102"	"221"	"308"	"1092"	"229"	"562"	"452"	"955"	"1223"	"35028"	""	"35028"	""
"143"	"d qy  ; ksx"	"5452"	"20269"	"6803"	"2238"	"266"	"360"	"1403"	"272"	"637"	"523"	"1079"	"1432"	"40734"	""	"40734"	""
"144"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"145"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"147"	"97"	"135"	"161"	"15"	"48"	"4"	"4"	"1"	"3"	"13"	"4"	"6"	"8"	"402"	""	"402"	""
"148"	"98"	"185"	"101"	"4"	"10"	"2"	"2"	"2"	"3"	"10"	"2"	"2"	"16"	"339"	""	"339"	""
"149"	"99"	"143"	"278"	"163"	"6"	"4"	"4"	"10"	"5"	"2"	"7"	"10"	"6"	"638"	""	"638"	""
"150"	"100"	"60"	"106"	"72"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"7"	"3"	"253"	""	"253"	""
"151"	"101"	"123"	"109"	"16"	"2"	"1"	"0"	"1"	"0"	"1"	"2"	"6"	"8"	"269"	""	"269"	""
"152"	"102"	"169"	"135"	"62"	"9"	"3"	"3"	"5"	"5"	"4"	"6"	"8"	"14"	"423"	""	"423"	""
"153"	"103"	"122"	"122"	"38"	"10"	"2"	"7"	"15"	"3"	"30"	"12"	"4"	"18"	"383"	""	"383"	""
"154"	"104"	"74"	"117"	"134"	"8"	"1"	"0"	"4"	"0"	"4"	"9"	"5"	"6"	"362"	""	"362"	""
"155"	"105"	"81"	"131"	"26"	"10"	"0"	"3"	"6"	"1"	"19"	"1"	"3"	"6"	"287"	""	"287"	""
"156"	"106"	"101"	"157"	"153"	"25"	"1"	"3"	"6"	"3"	"12"	"12"	"11"	"27"	"511"	""	"511"	""
"157"	"107"	"33"	"149"	"25"	"37"	"5"	"0"	"0"	"2"	"8"	"1"	"1"	"5"	"266"	""	"266"	""
"158"	"108"	"90"	"92"	"17"	"13"	"1"	"1"	"2"	"0"	"4"	"1"	"1"	"4"	"226"	""	"226"	""
"159"	"109"	"19"	"121"	"9"	"6"	"1"	"3"	"7"	"4"	"5"	"2"	"3"	"12"	"192"	""	"192"	""
"160"	"110"	"127"	"242"	"19"	"9"	"1"	"1"	"3"	"0"	"16"	"3"	"5"	"11"	"437"	""	"437"	""
"161"	"; ksx"	"1462"	"2021"	"753"	"193"	"26"	"31"	"63"	"31"	"129"	"63"	"72"	"144"	"4988"	""	"4988"	""
"162"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"5452"	"20269"	"6803"	"2238"	"266"	"360"	"1403"	"272"	"637"	"523"	"1079"	"1432"	"40734"	""	"40734"	""
"163"	"d qy  ; ksx"	"6914"	"22290"	"7556"	"2431"	"292"	"391"	"1466"	"303"	"766"	"586"	"1151"	"1576"	"45722"	""	"45722"	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
