"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"18"	"10"	"A"	"20"	"70"	"177"	"46"	"1"	"37"	"2"	"1"	"4"	"0"	"1"	"1"	"2"	"2"	"6"	"1"	"1"	"6"	"4"	"1"	"2"	"385"
"19"	"11"	""	"12"	"98"	"173"	"8"	"3"	"55"	"1"	"2"	"4"	"4"	"2"	"4"	"4"	"2"	"4"	"1"	"0"	"1"	"0"	"2"	"2"	"382"
"20"	"12"	""	"17"	"45"	"192"	"7"	"1"	"33"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"307"
"21"	"13"	""	"8"	"132"	"279"	"4"	"0"	"7"	"0"	"1"	"1"	"4"	"2"	"4"	"8"	"1"	"1"	"3"	"2"	"2"	"4"	"0"	"0"	"463"
"22"	"14"	""	"16"	"40"	"228"	"7"	"1"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"0"	"1"	"1"	"3"	"310"
"23"	"15"	""	"11"	"171"	"333"	"14"	"0"	"12"	"1"	"3"	"1"	"3"	"3"	"1"	"5"	"4"	"4"	"0"	"1"	"3"	"3"	"0"	"1"	"574"
"24"	"16"	""	"27"	"27"	"222"	"3"	"0"	"43"	"4"	"0"	"0"	"1"	"0"	"0"	"4"	"0"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"342"
"25"	"17"	""	"43"	"33"	"258"	"5"	"1"	"28"	"5"	"0"	"1"	"3"	"1"	"3"	"10"	"2"	"3"	"4"	"7"	"4"	"10"	"5"	"7"	"433"
"26"	"18"	""	"24"	"49"	"279"	"2"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"387"
"27"	"19"	""	"37"	"43"	"351"	"9"	"4"	"25"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"3"	"1"	"1"	"484"
"28"	"20"	""	"30"	"54"	"276"	"16"	"2"	"12"	"2"	"1"	"1"	"4"	"2"	"1"	"0"	"1"	"1"	"1"	"6"	"12"	"3"	"0"	"2"	"427"
"29"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"30"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"31"	"21"	""	"33"	"53"	"360"	"4"	"1"	"22"	"4"	"2"	"1"	"2"	"0"	"1"	"3"	"0"	"2"	"3"	"1"	"1"	"3"	"0"	"21"	"517"
"32"	"22"	""	"23"	"32"	"195"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"260"
"33"	"23"	""	"8"	"147"	"403"	"7"	"0"	"29"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"3"	"0"	"4"	"2"	"616"
"34"	"24"	""	"19"	"14"	"248"	"5"	"2"	"20"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"5"	"325"
"35"	"25"	""	"140"	"114"	"311"	"6"	"2"	"55"	"1"	"5"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"642"
"36"	"26"	""	"39"	"84"	"441"	"5"	"4"	"32"	"3"	"2"	"2"	"0"	"2"	"1"	"3"	"6"	"1"	"10"	"6"	"7"	"22"	"8"	"4"	"682"
"37"	"27"	""	"63"	"72"	"281"	"0"	"1"	"32"	"2"	"2"	"0"	"1"	"0"	"2"	"2"	"0"	"2"	"2"	"3"	"2"	"3"	"1"	"2"	"473"
"38"	"28"	""	"47"	"34"	"160"	"1"	"1"	"52"	"5"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"308"
"39"	"29"	""	"155"	"9"	"266"	"1"	"0"	"16"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"9"	"4"	"6"	"0"	"4"	"477"
"40"	"30"	""	"42"	"34"	"197"	"6"	"0"	"50"	"13"	"0"	"1"	"0"	"3"	"1"	"3"	"1"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"357"
"41"	"31"	""	"13"	"70"	"224"	"4"	"2"	"11"	"0"	"2"	"5"	"1"	"2"	"0"	"2"	"2"	"3"	"4"	"3"	"3"	"3"	"1"	"2"	"357"
"42"	"32"	""	"23"	"83"	"172"	"13"	"1"	"8"	"2"	"1"	"1"	"12"	"2"	"0"	"3"	"4"	"7"	"3"	"0"	"0"	"1"	"3"	"0"	"339"
"43"	"33"	""	"31"	"61"	"469"	"6"	"2"	"25"	"0"	"4"	"2"	"0"	"5"	"2"	"1"	"5"	"1"	"2"	"8"	"3"	"7"	"5"	"6"	"645"
"44"	"34"	""	"19"	"447"	"151"	"2"	"3"	"23"	"9"	"5"	"4"	"4"	"3"	"4"	"3"	"6"	"8"	"2"	"0"	"1"	"1"	"1"	"2"	"698"
"45"	"35"	""	"52"	"19"	"412"	"14"	"4"	"66"	"7"	"2"	"3"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"7"	"1"	"1"	"601"
"46"	"36"	""	"12"	"265"	"142"	"11"	"2"	"4"	"1"	"4"	"1"	"1"	"3"	"1"	"5"	"2"	"10"	"3"	"4"	"7"	"7"	"1"	"2"	"488"
"47"	"37"	""	"6"	"388"	"25"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"1"	"0"	"3"	"1"	"2"	"0"	"436"
"48"	"38"	""	"18"	"203"	"182"	"9"	"1"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"426"
"49"	"39"	""	"5"	"345"	"26"	"10"	"0"	"4"	"4"	"3"	"3"	"1"	"2"	"4"	"4"	"4"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"427"
"50"	"40"	""	"29"	"305"	"33"	"9"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"3"	"4"	"6"	"1"	"1"	"3"	"404"
"51"	"41"	""	"31"	"420"	"51"	"3"	"1"	"9"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"9"	"8"	"3"	"6"	"1"	"0"	"2"	"551"
"52"	"42"	""	"40"	"216"	"428"	"5"	"1"	"4"	"1"	"1"	"0"	"1"	"3"	"4"	"3"	"3"	"8"	"7"	"1"	"2"	"8"	"1"	"2"	"739"
"53"	"43"	""	"121"	"46"	"245"	"4"	"1"	"11"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"3"	"1"	"2"	"444"
"54"	"44"	""	"162"	"42"	"394"	"8"	"2"	"9"	"2"	"0"	"4"	"0"	"0"	"2"	"1"	"2"	"1"	"4"	"5"	"4"	"12"	"2"	"1"	"657"
"55"	"45"	""	"87"	"74"	"217"	"0"	"0"	"13"	"1"	"1"	"3"	"2"	"0"	"2"	"2"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"2"	"412"
"56"	"46"	""	"61"	"34"	"213"	"0"	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"3"	"3"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"330"
"57"	"47"	""	"48"	"71"	"343"	"5"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"481"
"58"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"59"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"60"	"48"	""	"27"	"53"	"230"	"7"	"0"	"5"	"1"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"6"	"3"	"13"	"355"
"61"	"49"	""	"51"	"25"	"386"	"9"	"1"	"10"	"2"	"3"	"1"	"2"	"3"	"0"	"2"	"9"	"0"	"1"	"5"	"3"	"8"	"0"	"0"	"521"
"62"	"50"	""	"72"	"76"	"345"	"46"	"3"	"8"	"1"	"5"	"2"	"1"	"2"	"2"	"0"	"3"	"1"	"3"	"5"	"4"	"1"	"4"	"4"	"588"
"63"	"51"	""	"142"	"51"	"237"	"31"	"2"	"31"	"8"	"2"	"3"	"2"	"2"	"2"	"2"	"8"	"6"	"19"	"16"	"9"	"40"	"6"	"17"	"636"
"64"	"52"	""	"34"	"45"	"211"	"4"	"1"	"8"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"3"	"1"	"3"	"0"	"4"	"321"
"65"	"53"	""	"18"	"34"	"265"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"2"	"3"	"3"	"12"	"0"	"0"	"353"
"66"	"54"	""	"45"	"35"	"316"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"3"	"3"	"2"	"10"	"0"	"3"	"429"
"67"	"55"	""	"63"	"26"	"288"	"4"	"1"	"3"	"1"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"4"	"5"	"2"	"2"	"1"	"1"	"407"
"68"	"56"	""	"108"	"51"	"404"	"28"	"1"	"14"	"0"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"619"
"69"	"57"	""	"157"	"28"	"280"	"25"	"2"	"10"	"3"	"3"	"0"	"1"	"1"	"3"	"2"	"6"	"1"	"3"	"6"	"3"	"5"	"2"	"4"	"545"
"70"	"58"	""	"96"	"24"	"239"	"5"	"1"	"13"	"1"	"0"	"2"	"2"	"1"	"1"	"6"	"6"	"2"	"8"	"3"	"1"	"4"	"5"	"2"	"422"
"71"	"59"	""	"113"	"21"	"289"	"6"	"0"	"9"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"11"	"3"	"12"	"3"	"2"	"478"
"72"	"60"	""	"100"	"33"	"249"	"4"	"1"	"7"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"5"	"3"	"3"	"1"	"3"	"419"
"73"	"61"	""	"86"	"34"	"291"	"3"	"2"	"29"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"3"	"3"	"6"	"1"	"0"	"5"	"0"	"3"	"475"
"74"	"62"	""	"25"	"14"	"194"	"2"	"0"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"1"	"18"	"0"	"5"	"275"
"75"	"63"	""	"104"	"100"	"346"	"11"	"0"	"49"	"5"	"2"	"2"	"2"	"1"	"0"	"6"	"7"	"3"	"12"	"0"	"1"	"2"	"5"	"3"	"661"
"76"	"64"	""	"113"	"61"	"507"	"9"	"2"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"2"	"11"	"3"	"15"	"4"	"3"	"750"
"77"	"65"	""	"86"	"56"	"591"	"6"	"2"	"3"	"0"	"3"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"2"	"1"	"1"	"3"	"0"	"2"	"762"
"78"	"66"	""	"24"	"224"	"207"	"2"	"2"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"0"	"3"	"476"
"79"	"67"	""	"40"	"76"	"455"	"5"	"3"	"10"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"7"	"609"
"80"	"68"	""	"63"	"57"	"343"	"3"	"1"	"8"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"4"	"3"	"3"	"3"	"4"	"498"
"81"	"69"	""	"39"	"184"	"382"	"3"	"0"	"15"	"1"	"2"	"1"	"1"	"1"	"1"	"3"	"7"	"4"	"4"	"5"	"16"	"8"	"4"	"6"	"687"
"82"	"70"	""	"16"	"173"	"426"	"7"	"2"	"26"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"4"	"1"	"3"	"1"	"0"	"8"	"2"	"2"	"677"
"83"	"71"	""	"38"	"217"	"348"	"2"	"1"	"9"	"3"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"633"
"84"	"72"	""	"16"	"350"	"133"	"5"	"1"	"6"	"0"	"0"	"0"	"5"	"1"	"1"	"0"	"0"	"5"	"2"	"1"	"4"	"2"	"2"	"0"	"534"
"85"	"73"	""	"30"	"32"	"347"	"4"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"425"
"86"	"74"	""	"23"	"307"	"251"	"2"	"0"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"5"	"2"	"0"	"2"	"1"	"2"	"608"
"87"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"88"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"89"	"75"	""	"12"	"31"	"298"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"7"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"361"
"90"	"76"	""	"6"	"34"	"189"	"4"	"0"	"5"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"3"	"2"	"1"	"1"	"0"	"253"
"91"	"77"	""	"41"	"41"	"441"	"6"	"1"	"7"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"0"	"4"	"3"	"0"	"2"	"557"
"92"	"78"	""	"26"	"279"	"258"	"7"	"0"	"10"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"592"
"93"	"79"	""	"30"	"41"	"626"	"5"	"1"	"63"	"1"	"1"	"0"	"2"	"1"	"2"	"2"	"10"	"1"	"0"	"3"	"3"	"9"	"2"	"16"	"819"
"94"	"80"	""	"43"	"190"	"346"	"4"	"0"	"13"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"2"	"1"	"0"	"2"	"2"	"3"	"615"
"95"	"81"	""	"15"	"110"	"405"	"3"	"0"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"15"	"575"
"96"	"82"	""	"8"	"209"	"154"	"3"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"386"
"97"	"83"	""	"7"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"7"	"447"	"40"	"22"	"0"	"0"	"4"	"0"	"2"	"541"
"98"	"84"	""	"15"	"11"	"379"	"83"	"1"	"5"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"12"	"509"
"99"	"85"	""	"22"	"15"	"554"	"2"	"0"	"8"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"1"	"0"	"2"	"0"	"0"	"3"	"0"	"16"	"630"
"100"	"86"	""	"35"	"27"	"604"	"13"	"3"	"15"	"1"	"1"	"4"	"1"	"2"	"2"	"2"	"5"	"1"	"6"	"4"	"0"	"2"	"0"	"2"	"730"
"101"	"86"	"A"	"17"	"16"	"168"	"11"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"3"	"1"	"3"	"4"	"5"	"0"	"1"	"8"	"250"
"102"	"87"	""	"22"	"21"	"478"	"3"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"8"	"0"	"0"	"540"
"103"	"88"	""	"13"	"82"	"337"	"2"	"0"	"18"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"461"
"104"	"89"	""	"20"	"187"	"467"	"7"	"2"	"33"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"6"	"0"	"1"	"0"	"5"	"10"	"0"	"4"	"746"
"105"	"90"	""	"22"	"383"	"312"	"5"	"0"	"8"	"0"	"1"	"3"	"1"	"4"	"2"	"1"	"2"	"5"	"8"	"3"	"1"	"1"	"1"	"3"	"766"
"106"	"91"	""	"13"	"27"	"294"	"5"	"0"	"46"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"393"
"107"	"92"	""	"13"	"268"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"286"
"108"	"93"	""	"6"	"353"	"8"	"11"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"392"
"109"	"94"	""	"16"	"354"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"2"	"391"
"110"	"95"	""	"13"	"221"	"191"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"7"	"2"	"7"	"0"	"0"	"0"	"1"	"6"	"456"
"111"	"96"	""	"7"	"244"	"128"	"1"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"6"	"2"	"1"	"0"	"405"
"112"	"97"	""	"11"	"198"	"150"	"3"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"2"	"3"	"0"	"0"	"0"	"2"	"382"
"113"	"98"	""	"10"	"184"	"129"	"1"	"0"	"5"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"337"
"114"	"99"	""	"13"	"55"	"250"	"2"	"0"	"14"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"3"	"0"	"0"	"2"	"1"	"6"	"3"	"1"	"357"
"115"	"100"	""	"21"	"11"	"313"	"4"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"360"
"116"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"118"	"101"	""	"32"	"31"	"527"	"6"	"0"	"67"	"1"	"1"	"1"	"1"	"3"	"4"	"5"	"3"	"3"	"8"	"1"	"2"	"16"	"0"	"3"	"715"
"119"	"102"	""	"19"	"50"	"454"	"8"	"1"	"14"	"2"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"0"	"3"	"0"	"0"	"4"	"4"	"1"	"566"
"120"	"103"	""	"21"	"77"	"297"	"6"	"1"	"5"	"2"	"2"	"0"	"4"	"1"	"0"	"2"	"2"	"0"	"2"	"2"	"1"	"6"	"2"	"4"	"437"
"121"	"104"	""	"38"	"79"	"463"	"1"	"4"	"23"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"7"	"0"	"17"	"644"
"122"	"105"	""	"82"	"70"	"463"	"8"	"2"	"6"	"1"	"1"	"2"	"5"	"0"	"3"	"3"	"3"	"1"	"4"	"3"	"1"	"8"	"2"	"6"	"674"
"123"	"106"	""	"50"	"81"	"388"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"7"	"3"	"1"	"0"	"0"	"4"	"0"	"15"	"559"
"124"	"107"	""	"15"	"27"	"493"	"4"	"0"	"17"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"7"	"567"
"125"	"108"	""	"21"	"329"	"12"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"367"
"126"	"109"	""	"38"	"337"	"102"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"491"
"127"	"110"	""	"8"	"359"	"20"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"7"	"0"	"0"	"0"	"396"
