"Total.No..of.Electors.in.Assembly.Constituency........198785"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"07- Chanpatia Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"21"	"Total"	"1212"	"402"	"343"	"3334"	"376"	"805"	"140"	"48"	"50"	"61"	"48"	"49"	"72"	"86"	"76"	"391"	"127"	"99"	"7719"	"0"	"7719"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"07- Chanpatia Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"32"	"15"	"61"	"11"	"17"	"317"	"14"	"10"	"8"	"4"	"4"	"6"	"3"	"6"	"1"	"3"	"6"	"129"	"15"	"5"	"620"	"0"	"620"	"0"	""
"33"	"16"	"150"	"15"	"3"	"331"	"24"	"15"	"2"	"1"	"3"	"4"	"1"	"0"	"5"	"5"	"8"	"20"	"8"	"45"	"640"	"0"	"640"	"0"	""
"34"	"17"	"5"	"8"	"3"	"116"	"15"	"14"	"3"	"0"	"1"	"3"	"4"	"2"	"0"	"3"	"9"	"6"	"37"	"110"	"339"	"0"	"339"	"0"	""
"35"	"18"	"125"	"37"	"4"	"175"	"24"	"37"	"3"	"0"	"0"	"3"	"2"	"5"	"5"	"6"	"11"	"23"	"6"	"37"	"503"	"0"	"503"	"0"	""
"36"	"19"	"33"	"10"	"3"	"121"	"8"	"34"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"3"	"1"	"6"	"7"	"234"	"0"	"234"	"0"	""
"37"	"20"	"63"	"97"	"3"	"100"	"8"	"135"	"3"	"3"	"6"	"3"	"2"	"8"	"0"	"1"	"9"	"7"	"8"	"16"	"472"	"0"	"472"	"0"	""
"38"	"21"	"191"	"38"	"15"	"300"	"24"	"46"	"5"	"0"	"2"	"3"	"1"	"2"	"2"	"2"	"3"	"65"	"2"	"10"	"711"	"0"	"711"	"0"	""
"39"	"22"	"181"	"85"	"11"	"209"	"13"	"122"	"11"	"6"	"3"	"4"	"4"	"9"	"9"	"4"	"13"	"8"	"6"	"33"	"731"	"0"	"731"	"0"	""
"40"	"23"	"9"	"66"	"15"	"416"	"21"	"10"	"3"	"4"	"3"	"6"	"5"	"3"	"8"	"8"	"10"	"14"	"6"	"118"	"725"	"0"	"725"	"0"	""
"41"	"24"	"70"	"51"	"10"	"180"	"61"	"45"	"1"	"0"	"1"	"6"	"0"	"1"	"3"	"1"	"7"	"3"	"0"	"16"	"456"	"0"	"456"	"0"	""
"42"	"25"	"61"	"22"	"5"	"169"	"10"	"66"	"3"	"1"	"2"	"1"	"2"	"4"	"8"	"3"	"9"	"2"	"5"	"20"	"393"	"0"	"393"	"0"	""
"43"	"26"	"346"	"72"	"10"	"110"	"11"	"12"	"1"	"3"	"1"	"3"	"2"	"3"	"10"	"4"	"3"	"9"	"6"	"19"	"625"	"0"	"625"	"0"	""
"44"	"27"	"25"	"58"	"5"	"345"	"18"	"36"	"4"	"5"	"1"	"9"	"4"	"3"	"2"	"8"	"7"	"11"	"2"	"23"	"566"	"0"	"566"	"0"	""
"45"	"28"	"2"	"27"	"7"	"384"	"22"	"7"	"0"	"1"	"2"	"4"	"0"	"1"	"5"	"1"	"0"	"5"	"3"	"27"	"498"	"0"	"498"	"0"	""
"46"	"Total"	"1322"	"597"	"111"	"3273"	"273"	"589"	"48"	"28"	"29"	"56"	"32"	"49"	"59"	"50"	"98"	"303"	"110"	"486"	"7513"	"0"	"7513"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"07- Chanpatia Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"57"	"29"	"3"	"32"	"3"	"426"	"22"	"9"	"1"	"1"	"4"	"6"	"1"	"0"	"3"	"4"	"3"	"3"	"0"	"37"	"558"	"0"	"558"	"0"	""
"58"	"30"	"38"	"34"	"2"	"244"	"25"	"24"	"0"	"3"	"5"	"3"	"1"	"3"	"43"	"2"	"3"	"2"	"5"	"72"	"509"	"0"	"509"	"0"	""
"59"	"31"	"26"	"127"	"10"	"314"	"17"	"33"	"1"	"6"	"1"	"0"	"0"	"3"	"11"	"22"	"1"	"0"	"4"	"86"	"662"	"0"	"662"	"0"	""
"60"	"32"	"40"	"111"	"14"	"286"	"14"	"62"	"1"	"3"	"1"	"1"	"1"	"4"	"9"	"1"	"2"	"3"	"1"	"90"	"644"	"0"	"644"	"0"	""
"61"	"33"	"187"	"91"	"11"	"260"	"22"	"57"	"8"	"7"	"5"	"5"	"2"	"6"	"89"	"2"	"5"	"6"	"7"	"31"	"801"	"0"	"801"	"0"	""
"62"	"34"	"102"	"158"	"15"	"265"	"48"	"18"	"3"	"2"	"3"	"4"	"2"	"5"	"25"	"6"	"1"	"6"	"4"	"38"	"705"	"0"	"705"	"0"	""
"63"	"35"	"46"	"288"	"24"	"248"	"33"	"63"	"3"	"5"	"11"	"6"	"5"	"5"	"5"	"7"	"12"	"21"	"5"	"34"	"821"	"0"	"821"	"0"	""
"64"	"36"	"86"	"107"	"43"	"123"	"28"	"7"	"0"	"0"	"1"	"3"	"1"	"3"	"3"	"6"	"4"	"6"	"4"	"11"	"436"	"0"	"436"	"0"	""
"65"	"37"	"111"	"115"	"15"	"129"	"13"	"4"	"0"	"4"	"2"	"3"	"0"	"3"	"2"	"5"	"5"	"4"	"4"	"8"	"427"	"0"	"427"	"0"	""
"66"	"38"	"5"	"125"	"97"	"142"	"13"	"9"	"4"	"49"	"2"	"3"	"1"	"2"	"1"	"9"	"1"	"4"	"2"	"8"	"477"	"0"	"477"	"0"	""
"67"	"39"	"15"	"121"	"15"	"193"	"10"	"0"	"4"	"6"	"1"	"3"	"2"	"6"	"1"	"5"	"4"	"3"	"6"	"28"	"423"	"0"	"423"	"0"	""
"68"	"40"	"229"	"67"	"30"	"297"	"29"	"12"	"3"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"4"	"5"	"2"	"15"	"702"	"0"	"702"	"0"	""
"69"	"41"	"111"	"100"	"6"	"146"	"17"	"6"	"3"	"4"	"10"	"5"	"5"	"2"	"9"	"4"	"2"	"3"	"4"	"10"	"447"	"0"	"447"	"0"	""
"70"	"42"	"81"	"179"	"6"	"77"	"22"	"4"	"2"	"5"	"2"	"1"	"3"	"2"	"1"	"3"	"6"	"2"	"6"	"4"	"406"	"0"	"406"	"0"	""
"71"	"Total"	"1080"	"1655"	"291"	"3150"	"313"	"308"	"33"	"97"	"50"	"46"	"24"	"45"	"203"	"76"	"53"	"68"	"54"	"472"	"8018"	"0"	"8018"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"07- Chanpatia Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"82"	"43"	"15"	"52"	"29"	"258"	"17"	"16"	"1"	"1"	"2"	"6"	"0"	"1"	"2"	"2"	"3"	"6"	"1"	"14"	"426"	"0"	"426"	"0"	""
"83"	"44"	"41"	"53"	"13"	"239"	"9"	"46"	"1"	"3"	"5"	"6"	"1"	"8"	"3"	"3"	"1"	"9"	"9"	"10"	"460"	"0"	"460"	"0"	""
"84"	"45"	"9"	"25"	"131"	"218"	"38"	"43"	"6"	"1"	"2"	"6"	"3"	"3"	"4"	"7"	"6"	"5"	"5"	"12"	"524"	"0"	"524"	"0"	""
"85"	"46"	"112"	"25"	"67"	"327"	"27"	"66"	"6"	"4"	"11"	"3"	"7"	"3"	"6"	"8"	"12"	"37"	"10"	"34"	"765"	"0"	"765"	"0"	""
"86"	"47"	"40"	"35"	"20"	"311"	"58"	"24"	"3"	"1"	"2"	"0"	"2"	"1"	"0"	"4"	"0"	"16"	"2"	"16"	"535"	"0"	"535"	"0"	""
"87"	"48"	"104"	"113"	"11"	"270"	"27"	"34"	"19"	"0"	"5"	"11"	"0"	"2"	"6"	"6"	"7"	"25"	"6"	"12"	"658"	"0"	"658"	"0"	""
"88"	"49"	"15"	"31"	"6"	"258"	"30"	"47"	"8"	"5"	"7"	"7"	"3"	"2"	"5"	"14"	"5"	"21"	"12"	"44"	"520"	"0"	"520"	"0"	""
"89"	"50"	"125"	"176"	"5"	"146"	"20"	"18"	"4"	"1"	"1"	"2"	"2"	"3"	"0"	"2"	"4"	"21"	"2"	"14"	"546"	"0"	"546"	"0"	""
"90"	"51"	"197"	"12"	"8"	"51"	"52"	"51"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"2"	"5"	"43"	"8"	"0"	"435"	"0"	"435"	"0"	""
"91"	"52"	"5"	"35"	"10"	"187"	"14"	"21"	"7"	"3"	"3"	"7"	"2"	"2"	"2"	"5"	"3"	"15"	"2"	"3"	"326"	"0"	"326"	"0"	""
"92"	"53"	"22"	"51"	"15"	"173"	"42"	"6"	"19"	"3"	"9"	"6"	"25"	"5"	"11"	"11"	"9"	"22"	"11"	"53"	"493"	"0"	"493"	"0"	""
"93"	"54"	"117"	"16"	"5"	"149"	"27"	"13"	"3"	"12"	"4"	"7"	"57"	"9"	"5"	"5"	"8"	"67"	"30"	"39"	"573"	"0"	"573"	"0"	""
"94"	"55"	"21"	"16"	"9"	"194"	"27"	"68"	"30"	"3"	"5"	"10"	"12"	"10"	"3"	"9"	"4"	"11"	"7"	"15"	"454"	"0"	"454"	"0"	""
"95"	"56"	"40"	"99"	"20"	"366"	"53"	"38"	"10"	"8"	"5"	"6"	"5"	"3"	"3"	"9"	"5"	"30"	"18"	"24"	"742"	"0"	"742"	"0"	""
"96"	"Total"	"863"	"739"	"349"	"3147"	"441"	"491"	"118"	"46"	"62"	"80"	"119"	"52"	"50"	"87"	"72"	"328"	"123"	"290"	"7457"	"0"	"7457"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"07- Chanpatia Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"107"	"57"	"21"	"210"	"4"	"166"	"23"	"7"	"3"	"2"	"3"	"2"	"0"	"8"	"1"	"3"	"7"	"31"	"0"	"5"	"496"	"0"	"496"	"0"	""
"108"	"58"	"13"	"37"	"4"	"157"	"19"	"1"	"2"	"1"	"2"	"7"	"5"	"2"	"6"	"6"	"5"	"101"	"4"	"5"	"377"	"0"	"377"	"0"	""
"109"	"59"	"99"	"41"	"9"	"296"	"78"	"6"	"44"	"4"	"4"	"1"	"1"	"3"	"3"	"2"	"3"	"89"	"4"	"6"	"693"	"0"	"693"	"0"	""
"110"	"60"	"33"	"140"	"6"	"295"	"52"	"65"	"3"	"4"	"1"	"3"	"8"	"4"	"4"	"10"	"5"	"83"	"4"	"36"	"756"	"0"	"756"	"0"	""
"111"	"61"	"204"	"27"	"6"	"186"	"32"	"7"	"5"	"4"	"4"	"3"	"1"	"3"	"11"	"10"	"13"	"173"	"14"	"81"	"784"	"0"	"784"	"0"	""
"112"	"62"	"45"	"4"	"7"	"46"	"12"	"10"	"3"	"2"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"92"	"1"	"8"	"237"	"0"	"237"	"0"	""
"113"	"63"	"9"	"6"	"4"	"242"	"19"	"4"	"0"	"3"	"1"	"3"	"0"	"3"	"2"	"4"	"4"	"320"	"2"	"4"	"630"	"0"	"630"	"0"	""
"114"	"64"	"120"	"4"	"0"	"49"	"14"	"14"	"1"	"1"	"4"	"3"	"1"	"2"	"3"	"1"	"4"	"366"	"4"	"3"	"594"	"0"	"594"	"0"	""
"115"	"65"	"18"	"17"	"34"	"333"	"71"	"63"	"5"	"3"	"2"	"0"	"0"	"4"	"0"	"4"	"5"	"2"	"9"	"6"	"576"	"0"	"576"	"0"	""
"116"	"66"	"65"	"19"	"31"	"237"	"58"	"106"	"15"	"4"	"5"	"12"	"10"	"12"	"14"	"14"	"9"	"19"	"15"	"22"	"667"	"0"	"667"	"0"	""
"117"	"67"	"37"	"21"	"12"	"367"	"23"	"12"	"1"	"1"	"1"	"6"	"4"	"1"	"11"	"6"	"2"	"13"	"8"	"7"	"533"	"0"	"533"	"0"	""
"118"	"68"	"36"	"15"	"8"	"234"	"22"	"48"	"2"	"2"	"1"	"2"	"2"	"3"	"1"	"3"	"2"	"93"	"9"	"5"	"488"	"0"	"488"	"0"	""
"119"	"69"	"57"	"15"	"10"	"378"	"45"	"11"	"2"	"1"	"2"	"5"	"4"	"8"	"2"	"9"	"2"	"40"	"6"	"33"	"630"	"0"	"630"	"0"	""
"120"	"70"	"72"	"23"	"278"	"202"	"35"	"11"	"5"	"2"	"4"	"2"	"3"	"5"	"2"	"23"	"3"	"7"	"10"	"46"	"733"	"0"	"733"	"0"	""
"121"	"Total"	"829"	"579"	"413"	"3188"	"503"	"365"	"91"	"34"	"34"	"50"	"42"	"58"	"62"	"96"	"64"	"1429"	"90"	"267"	"8194"	"0"	"8194"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"07- Chanpatia Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
