"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…86 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 232621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"18"	"9"	"9"	"406"	"212"	"11"	"14"	"9"	"3"	"5"	"8"	"4"	"8"	"7"	"14"	"701"	"-"	"701"	""
"19"	"10"	"10"	"486"	"149"	"7"	"4"	"2"	"1"	"0"	"4"	"6"	"8"	"15"	"34"	"716"	"-"	"716"	""
"20"	"11"	"11"	"278"	"293"	"6"	"11"	"4"	"1"	"6"	"6"	"3"	"4"	"10"	"22"	"644"	"-"	"644"	""
"21"	"12"	"12"	"242"	"47"	"2"	"5"	"1"	"0"	"5"	"1"	"1"	"1"	"1"	"5"	"311"	"-"	"311"	""
"22"	"13"	"13"	"273"	"118"	"10"	"11"	"0"	"1"	"4"	"7"	"3"	"8"	"31"	"15"	"481"	"-"	"481"	""
"23"	"14"	"14"	"122"	"64"	"2"	"13"	"0"	"2"	"0"	"0"	"1"	"1"	"13"	"3"	"221"	"-"	"221"	""
"24"	"15"	"15"	"128"	"36"	"1"	"18"	"0"	"1"	"1"	"1"	"0"	"2"	"17"	"1"	"206"	"-"	"206"	""
"25"	"16"	"16"	"239"	"68"	"5"	"4"	"0"	"3"	"5"	"3"	"1"	"5"	"5"	"10"	"348"	"-"	"348"	""
"26"	"17"	"17"	"186"	"68"	"4"	"16"	"1"	"1"	"1"	"0"	"1"	"3"	"11"	"2"	"294"	"-"	"294"	""
"27"	"18"	"18"	"44"	"315"	"9"	"8"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"386"	"-"	"386"	""
"28"	"19"	"19"	"195"	"131"	"12"	"3"	"1"	"5"	"3"	"4"	"7"	"2"	"5"	"16"	"384"	"-"	"384"	""
"29"	"20"	"20"	"115"	"149"	"5"	"5"	"1"	"1"	"0"	"2"	"3"	"3"	"6"	"2"	"292"	"-"	"292"	""
"30"	"21"	"21"	"131"	"145"	"1"	"67"	"1"	"3"	"2"	"1"	"3"	"3"	"5"	"8"	"370"	"-"	"370"	""
"31"	"22"	"22"	"294"	"127"	"4"	"28"	"1"	"63"	"6"	"0"	"1"	"0"	"0"	"1"	"525"	"-"	"525"	""
"32"	"23"	"23"	"289"	"100"	"6"	"5"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"7"	"413"	"-"	"413"	""
"33"	"24"	"24"	"259"	"51"	"6"	"8"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"12"	"344"	"-"	"344"	""
"34"	"25"	"25"	"264"	"290"	"18"	"17"	"4"	"3"	"2"	"6"	"2"	"5"	"14"	"11"	"636"	"-"	"636"	""
"35"	"26"	"26"	"361"	"185"	"7"	"9"	"3"	"0"	"2"	"4"	"5"	"6"	"13"	"37"	"632"	"-"	"632"	""
"36"	"27"	"27"	"180"	"235"	"7"	"42"	"5"	"2"	"0"	"3"	"1"	"2"	"2"	"5"	"484"	"-"	"484"	""
"37"	"28"	"28"	"164"	"199"	"4"	"3"	"1"	"0"	"3"	"1"	"2"	"3"	"1"	"4"	"385"	"-"	"385"	""
"38"	"29"	"28A"	"73"	"178"	"4"	"10"	"1"	"0"	"4"	"0"	"1"	"1"	"1"	"9"	"282"	"-"	"282"	""
"39"	"30"	"29"	"212"	"174"	"11"	"6"	"1"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"412"	"-"	"412"	""
"40"	"31"	"30"	"192"	"321"	"10"	"6"	"1"	"3"	"3"	"0"	"1"	"6"	"6"	"9"	"558"	"-"	"558"	""
"41"	"32"	"31"	"151"	"340"	"5"	"20"	"1"	"2"	"3"	"2"	"5"	"1"	"6"	"6"	"542"	"-"	"542"	""
"42"	"33"	"32"	"202"	"141"	"7"	"5"	"0"	"0"	"108"	"19"	"16"	"8"	"9"	"32"	"547"	"-"	"547"	""
"43"	"34"	"33"	"238"	"103"	"8"	"55"	"2"	"5"	"3"	"5"	"0"	"4"	"5"	"4"	"432"	"-"	"432"	""
"44"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"45"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"47"	"35"	"34"	"184"	"96"	"8"	"12"	"3"	"1"	"2"	"4"	"0"	"3"	"3"	"4"	"320"	"-"	"320"	""
"48"	"36"	"35"	"45"	"176"	"10"	"6"	"2"	"1"	"5"	"0"	"0"	"5"	"12"	"12"	"274"	"-"	"274"	""
"49"	"37"	"36"	"91"	"245"	"5"	"4"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"4"	"352"	"-"	"352"	""
"50"	"38"	"37"	"53"	"199"	"9"	"11"	"0"	"1"	"3"	"0"	"1"	"4"	"7"	"9"	"297"	"-"	"297"	""
"51"	"39"	"38"	"20"	"216"	"1"	"18"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"4"	"266"	"-"	"266"	""
"52"	"40"	"38A"	"10"	"204"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"-"	"226"	""
"53"	"41"	"39"	"173"	"97"	"0"	"18"	"0"	"4"	"11"	"3"	"3"	"5"	"4"	"5"	"323"	"-"	"323"	""
"54"	"42"	"40"	"171"	"331"	"10"	"8"	"1"	"0"	"1"	"5"	"4"	"4"	"8"	"14"	"557"	""	"557"	""
"55"	"43"	"41"	"144"	"154"	"3"	"8"	"0"	"1"	"2"	"3"	"1"	"3"	"4"	"9"	"332"	"-"	"332"	""
"56"	"44"	"42"	"145"	"166"	"6"	"5"	"2"	"2"	"1"	"4"	"3"	"6"	"4"	"21"	"365"	"-"	"365"	""
"57"	"45"	"43"	"212"	"102"	"9"	"6"	"7"	"4"	"9"	"3"	"8"	"5"	"7"	"21"	"393"	"-"	"393"	""
"58"	"46"	"44"	"142"	"85"	"3"	"3"	"3"	"0"	"11"	"5"	"3"	"2"	"2"	"20"	"279"	"-"	"279"	""
"59"	"47"	"45"	"35"	"256"	"7"	"8"	"1"	"1"	"2"	"1"	"0"	"1"	"6"	"4"	"322"	"-"	"322"	""
"60"	"48"	"46"	"179"	"411"	"9"	"4"	"6"	"2"	"4"	"0"	"1"	"2"	"5"	"4"	"627"	"-"	"627"	""
"61"	"49"	"47"	"334"	"290"	"12"	"19"	"5"	"5"	"9"	"6"	"6"	"7"	"5"	"16"	"714"	"-"	"714"	""
"62"	"50"	"48"	"312"	"151"	"7"	"13"	"0"	"1"	"3"	"3"	"1"	"1"	"3"	"8"	"503"	"-"	"503"	""
"63"	"51"	"49"	"57"	"306"	"3"	"16"	"0"	"0"	"0"	"2"	"2"	"4"	"3"	"12"	"405"	"-"	"405"	""
"64"	"52"	"50"	"150"	"220"	"6"	"25"	"2"	"1"	"1"	"1"	"0"	"4"	"2"	"7"	"419"	"-"	"419"	""
"65"	"53"	"51"	"121"	"370"	"13"	"5"	"3"	"1"	"1"	"0"	"1"	"2"	"4"	"8"	"529"	"-"	"529"	""
"66"	"54"	"52"	"170"	"28"	"4"	"7"	"1"	"10"	"374"	"14"	"32"	"2"	"13"	"8"	"663"	"-"	"663"	""
"67"	"55"	"53"	"173"	"34"	"6"	"42"	"4"	"9"	"289"	"14"	"35"	"3"	"12"	"10"	"631"	"-"	"631"	""
"68"	"56"	"54"	"128"	"92"	"7"	"8"	"4"	"4"	"182"	"8"	"21"	"3"	"7"	"15"	"479"	"-"	"479"	""
"69"	"57"	"55"	"33"	"154"	"5"	"22"	"0"	"55"	"8"	"8"	"3"	"7"	"4"	"4"	"303"	"-"	"303"	""
"70"	"58"	"55A"	"6"	"111"	"2"	"71"	"6"	"35"	"3"	"17"	"0"	"2"	"3"	"6"	"262"	"-"	"262"	""
"71"	"59"	"56"	"5"	"252"	"5"	"79"	"2"	"59"	"6"	"14"	"2"	"1"	"6"	"9"	"440"	"-"	"440"	""
"72"	"60"	"57"	"350"	"54"	"1"	"0"	"0"	"2"	"13"	"1"	"4"	"3"	"1"	"15"	"444"	"-"	"444"	""
"73"	"61"	"58"	"343"	"25"	"1"	"1"	"0"	"2"	"28"	"4"	"1"	"0"	"6"	"9"	"420"	"-"	"420"	""
"74"	"62"	"59"	"8"	"177"	"4"	"108"	"3"	"2"	"0"	"0"	"2"	"3"	"5"	"11"	"323"	"-"	"323"	""
"75"	"63"	"60"	"83"	"103"	"12"	"28"	"3"	"14"	"61"	"10"	"10"	"6"	"5"	"11"	"346"	"-"	"346"	""
"76"	"64"	"61"	"22"	"151"	"9"	"28"	"1"	"11"	"57"	"3"	"7"	"3"	"1"	"0"	"293"	"-"	"293"	""
"77"	"65"	"62"	"319"	"19"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"9"	"357"	"-"	"357"	""
"78"	"66"	"63"	"8"	"204"	"5"	"6"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"6"	"236"	"-"	"236"	""
"79"	"67"	"64"	"112"	"140"	"2"	"36"	"2"	"5"	"3"	"2"	"2"	"1"	"6"	"11"	"322"	"-"	"322"	""
"80"	"68"	"65"	"11"	"216"	"7"	"14"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"4"	"255"	"-"	"255"	""
"81"	"69"	"66"	"59"	"144"	"4"	"49"	"1"	"3"	"1"	"2"	"2"	"4"	"5"	"9"	"283"	"-"	"283"	""
"82"	"70"	"67"	"22"	"197"	"5"	"43"	"4"	"0"	"1"	"0"	"1"	"1"	"2"	"2"	"278"	"-"	"278"	""
"83"	"71"	"68"	"167"	"10"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"10"	"195"	"-"	"195"	""
"84"	"72"	"69"	"108"	"3"	"0"	"8"	"0"	"0"	"1"	"2"	"0"	"0"	"6"	"1"	"129"	"-"	"129"	""
"85"	"73"	"70"	"314"	"13"	"5"	"5"	"2"	"1"	"5"	"3"	"4"	"6"	"7"	"22"	"387"	"-"	"387"	""
"86"	"74"	"71"	"360"	"18"	"3"	"9"	"1"	"0"	"7"	"1"	"2"	"3"	"5"	"20"	"429"	"-"	"429"	""
"87"	"75"	"72"	"160"	"372"	"17"	"55"	"1"	"1"	"1"	"1"	"4"	"1"	"5"	"5"	"623"	"-"	"623"	""
"88"	"76"	"73"	"37"	"360"	"7"	"27"	"2"	"1"	"1"	"2"	"0"	"1"	"5"	"8"	"451"	"-"	"451"	""
"89"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"90"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"92"	"77"	"74"	"181"	"250"	"11"	"18"	"4"	"1"	"0"	"0"	"0"	"3"	"6"	"13"	"487"	"-"	"487"	""
"93"	"78"	"75"	"328"	"14"	"8"	"15"	"1"	"1"	"2"	"2"	"4"	"3"	"6"	"23"	"407"	"-"	"407"	""
"94"	"79"	"76"	"320"	"151"	"10"	"4"	"0"	"5"	"2"	"5"	"3"	"13"	"33"	"32"	"578"	"-"	"578"	""
"95"	"80"	"77"	"263"	"41"	"6"	"13"	"2"	"1"	"4"	"2"	"0"	"5"	"41"	"17"	"395"	"-"	"395"	""
"96"	"81"	"78"	"2"	"338"	"6"	"11"	"0"	"1"	"0"	"1"	"1"	"3"	"6"	"3"	"372"	"-"	"372"	""
"97"	"82"	"79"	"6"	"293"	"4"	"20"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"4"	"333"	"-"	"333"	""
"98"	"83"	"80"	"498"	"23"	"4"	"11"	"1"	"2"	"2"	"0"	"4"	"3"	"16"	"26"	"590"	"-"	"590"	""
"99"	"84"	"81"	"364"	"24"	"5"	"6"	"3"	"0"	"1"	"2"	"4"	"3"	"3"	"16"	"431"	"-"	"431"	""
"100"	"85"	"82"	"218"	"14"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"7"	"4"	"249"	"-"	"249"	""
"101"	"86"	"83"	"211"	"21"	"5"	"7"	"0"	"0"	"3"	"3"	"2"	"3"	"3"	"12"	"270"	"-"	"270"	""
"102"	"87"	"84"	"267"	"169"	"8"	"10"	"1"	"1"	"1"	"3"	"6"	"3"	"16"	"40"	"525"	"-"	"525"	""
"103"	"88"	"85"	"89"	"171"	"6"	"5"	"0"	"1"	"15"	"3"	"4"	"3"	"9"	"10"	"316"	"-"	"316"	""
"104"	"89"	"86"	"17"	"119"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"140"	"-"	"140"	""
"105"	"90"	"87"	"248"	"85"	"1"	"8"	"1"	"0"	"1"	"0"	"1"	"6"	"2"	"3"	"356"	"-"	"356"	""
"106"	"91"	"88"	"293"	"252"	"8"	"4"	"0"	"2"	"1"	"0"	"2"	"4"	"5"	"10"	"581"	"-"	"581"	""
"107"	"92"	"89"	"13"	"239"	"5"	"3"	"0"	"0"	"2"	"0"	"0"	"3"	"8"	"5"	"278"	"-"	"278"	""
"108"	"93"	"90"	"280"	"230"	"18"	"19"	"1"	"4"	"8"	"7"	"5"	"3"	"6"	"16"	"597"	"-"	"597"	""
"109"	"94"	"91"	"74"	"210"	"3"	"6"	"2"	"1"	"1"	"3"	"1"	"8"	"5"	"5"	"319"	"-"	"319"	""
"110"	"95"	"92"	"25"	"254"	"5"	"23"	"2"	"1"	"1"	"1"	"1"	"1"	"5"	"7"	"326"	"-"	"326"	""
"111"	"96"	"92A"	"45"	"212"	"8"	"12"	"2"	"2"	"3"	"3"	"0"	"3"	"0"	"3"	"293"	"-"	"293"	""
"112"	"97"	"93"	"33"	"223"	"9"	"16"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"10"	"299"	"-"	"299"	""
"113"	"98"	"93A"	"7"	"202"	"5"	"41"	"2"	"0"	"1"	"1"	"4"	"5"	"3"	"10"	"281"	"-"	"281"	""
"114"	"99"	"94"	"20"	"292"	"7"	"44"	"0"	"0"	"1"	"1"	"0"	"11"	"8"	"7"	"391"	"-"	"391"	""
"115"	"100"	"95"	"10"	"198"	"4"	"50"	"1"	"0"	"2"	"1"	"0"	"4"	"4"	"5"	"279"	"-"	"279"	""
"116"	"101"	"96"	"97"	"221"	"7"	"27"	"0"	"0"	"2"	"2"	"0"	"6"	"6"	"10"	"378"	"-"	"378"	""
"117"	"102"	"97"	"62"	"260"	"12"	"26"	"2"	"2"	"0"	"3"	"1"	"3"	"8"	"13"	"392"	"-"	"392"	""
"118"	"103"	"98"	"347"	"108"	"7"	"8"	"1"	"0"	"0"	"5"	"2"	"4"	"1"	"18"	"501"	"-"	"501"	""
"119"	"104"	"99"	"206"	"55"	"5"	"6"	"0"	"0"	"1"	"2"	"1"	"3"	"5"	"11"	"295"	"-"	"295"	""
"120"	"105"	"100"	"374"	"34"	"8"	"17"	"1"	"0"	"4"	"4"	"1"	"6"	"7"	"9"	"465"	"-"	"465"	""
"121"	"106"	"101"	"218"	"218"	"8"	"17"	"0"	"1"	"2"	"2"	"1"	"5"	"2"	"6"	"480"	"-"	"480"	""
"122"	"107"	"102"	"289"	"52"	"14"	"45"	"2"	"2"	"3"	"3"	"1"	"5"	"6"	"15"	"437"	"-"	"437"	""
"123"	"108"	"103"	"401"	"58"	"9"	"63"	"1"	"4"	"1"	"3"	"3"	"2"	"13"	"7"	"565"	"-"	"565"	""
"124"	"109"	"104"	"419"	"168"	"28"	"10"	"3"	"4"	"5"	"5"	"3"	"5"	"10"	"44"	"704"	"-"	"704"	""
"125"	"110"	"105"	"382"	"57"	"7"	"40"	"3"	"2"	"3"	"7"	"5"	"4"	"11"	"26"	"547"	"-"	"547"	""
"126"	"111"	"106"	"336"	"329"	"35"	"20"	"6"	"2"	"5"	"6"	"1"	"6"	"2"	"7"	"755"	"-"	"755"	""
"127"	"112"	"107"	"143"	"261"	"11"	"46"	"3"	"5"	"1"	"2"	"0"	"2"	"1"	"8"	"483"	"-"	"483"	""
"128"	"113"	"108"	"395"	"243"	"5"	"48"	"0"	"1"	"8"	"3"	"4"	"4"	"3"	"14"	"728"	"-"	"728"	""
"129"	"114"	"109"	"96"	"172"	"10"	"9"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"6"	"297"	"-"	"297"	""
"130"	"115"	"110"	"144"	"201"	"7"	"6"	"2"	"0"	"1"	"0"	"2"	"7"	"9"	"17"	"396"	"-"	"396"	""
"131"	"116"	"110A"	"17"	"163"	"11"	"55"	"4"	"3"	"0"	"0"	"5"	"0"	"5"	"5"	"268"	"-"	"268"	""
"132"	"117"	"111"	"54"	"286"	"7"	"21"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"4"	"377"	"-"	"377"	""
"133"	"118"	"112"	"107"	"181"	"7"	"9"	"0"	"2"	"1"	"0"	"2"	"3"	"8"	"9"	"329"	"-"	"329"	""
"134"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"135"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"137"	"119"	"113"	"329"	"317"	"9"	"3"	"1"	"1"	"1"	"2"	"2"	"9"	"3"	"11"	"688"	"-"	"688"	""
"138"	"120"	"114"	"53"	"134"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"206"	"-"	"206"	""
"139"	"121"	"115"	"133"	"171"	"5"	"3"	"1"	"1"	"0"	"0"	"2"	"1"	"4"	"14"	"335"	"-"	"335"	""
"140"	"122"	"116"	"246"	"12"	"7"	"35"	"2"	"1"	"2"	"1"	"2"	"4"	"24"	"16"	"352"	"-"	"352"	""
"141"	"123"	"117"	"92"	"5"	"0"	"57"	"0"	"0"	"2"	"0"	"0"	"3"	"1"	"5"	"165"	"-"	"165"	""
"142"	"124"	"118"	"70"	"130"	"2"	"25"	"2"	"2"	"5"	"1"	"1"	"2"	"4"	"5"	"249"	"-"	"249"	""
"143"	"125"	"119"	"96"	"143"	"10"	"15"	"0"	"9"	"12"	"4"	"10"	"9"	"22"	"22"	"352"	"-"	"352"	""
"144"	"126"	"120"	"150"	"169"	"8"	"27"	"1"	"2"	"1"	"4"	"2"	"2"	"7"	"13"	"386"	"-"	"386"	""
"145"	"127"	"120A"	"88"	"166"	"8"	"23"	"0"	"1"	"5"	"0"	"3"	"10"	"8"	"20"	"332"	"-"	"332"	""
"146"	"128"	"121"	"353"	"135"	"32"	"6"	"4"	"3"	"6"	"10"	"2"	"14"	"9"	"28"	"602"	"-"	"602"	""
"147"	"129"	"122"	"277"	"97"	"18"	"3"	"1"	"5"	"3"	"4"	"1"	"2"	"4"	"10"	"425"	"-"	"425"	""
"148"	"130"	"123"	"455"	"232"	"22"	"17"	"2"	"3"	"3"	"6"	"0"	"1"	"0"	"9"	"750"	"-"	"750"	""
"149"	"131"	"124"	"316"	"334"	"7"	"8"	"1"	"3"	"2"	"2"	"2"	"1"	"7"	"8"	"691"	"-"	"691"	""
"150"	"132"	"125"	"269"	"64"	"6"	"11"	"0"	"0"	"3"	"0"	"3"	"7"	"6"	"19"	"388"	"-"	"388"	""
"151"	"133"	"126"	"353"	"19"	"4"	"13"	"1"	"1"	"4"	"2"	"0"	"1"	"19"	"4"	"421"	"-"	"421"	""
"152"	"134"	"127"	"298"	"232"	"21"	"15"	"3"	"7"	"2"	"2"	"3"	"2"	"6"	"7"	"598"	"-"	"598"	""
"153"	"135"	"128"	"243"	"112"	"4"	"5"	"1"	"1"	"1"	"0"	"2"	"3"	"8"	"7"	"387"	"-"	"387"	""
"154"	"136"	"129"	"372"	"423"	"20"	"11"	"1"	"1"	"3"	"4"	"2"	"3"	"6"	"17"	"863"	"-"	"863"	""
"155"	"137"	"130"	"262"	"202"	"15"	"4"	"0"	"0"	"2"	"4"	"0"	"2"	"11"	"22"	"524"	"-"	"524"	""
"156"	"138"	"131"	"316"	"120"	"7"	"12"	"1"	"2"	"5"	"0"	"0"	"5"	"8"	"24"	"500"	"-"	"500"	""
"157"	"139"	"132"	"219"	"129"	"9"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"3"	"8"	"376"	"-"	"376"	""
"158"	"140"	"132A"	"197"	"127"	"11"	"1"	"1"	"2"	"0"	"2"	"1"	"4"	"1"	"14"	"361"	"-"	"361"	""
"159"	"141"	"133"	"121"	"370"	"36"	"6"	"1"	"1"	"9"	"4"	"5"	"7"	"13"	"29"	"602"	"-"	"602"	""
"160"	"142"	"134"	"151"	"197"	"6"	"3"	"1"	"0"	"3"	"1"	"0"	"0"	"5"	"9"	"376"	"-"	"376"	""
"161"	"143"	"135"	"54"	"148"	"4"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"214"	"-"	"214"	""
"162"	"144"	"136"	"75"	"151"	"4"	"4"	"0"	"0"	"2"	"0"	"0"	"3"	"2"	"3"	"244"	"-"	"244"	""
"163"	"145"	"137"	"105"	"371"	"22"	"17"	"2"	"1"	"21"	"8"	"5"	"8"	"8"	"13"	"581"	"-"	"581"	""
"164"	"146"	"138"	"5"	"107"	"1"	"30"	"0"	"0"	"5"	"0"	"0"	"0"	"2"	"0"	"150"	"-"	"150"	""
"165"	"147"	"139"	"7"	"150"	"2"	"57"	"0"	"1"	"0"	"0"	"0"	"3"	"6"	"1"	"227"	"-"	"227"	""
"166"	"148"	"140"	"113"	"84"	"2"	"14"	"1"	"1"	"0"	"2"	"1"	"4"	"3"	"24"	"249"	"-"	"249"	""
"167"	"149"	"141"	"222"	"158"	"10"	"8"	"3"	"2"	"3"	"3"	"1"	"8"	"8"	"19"	"445"	"-"	"445"	""
"168"	"150"	"142"	"147"	"231"	"12"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"7"	"401"	"-"	"401"	""
"169"	"151"	"143"	"187"	"274"	"5"	"2"	"0"	"0"	"2"	"1"	"0"	"4"	"2"	"10"	"487"	"-"	"487"	""
"170"	"152"	"144"	"233"	"259"	"15"	"6"	"1"	"2"	"3"	"2"	"3"	"3"	"11"	"14"	"552"	"-"	"552"	""
"171"	"153"	"145"	"306"	"386"	"18"	"5"	"4"	"1"	"4"	"5"	"2"	"7"	"14"	"39"	"791"	"-"	"791"	""
"172"	"154"	"146"	"238"	"245"	"4"	"12"	"0"	"3"	"24"	"7"	"9"	"5"	"5"	"8"	"560"	"-"	"560"	""
"173"	"155"	"147"	"70"	"215"	"4"	"22"	"0"	"1"	"7"	"0"	"1"	"0"	"10"	"4"	"334"	"-"	"334"	""
