"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total..Valid.Votes"
"15"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"
"16"	"15"	"193"	"46"	"0"	"22"	"5"	"2"	"0"	"0"	""	"1"	"3"	"5"	"3"	"9"	"289"
"17"	"16"	"114"	"5"	"3"	"66"	"1"	"0"	"Page 1 of11"	"8"	"14"	"0"	"0"	"3"	"4"	"5"	"216"
"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"21"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"22"	"17"	"83"	"9"	"8"	"131"	"1"	"1"	"0"	"28"	""	"2"	"3"	"5"	"6"	"11"	"288"
"23"	"18"	"359"	"11"	"4"	"220"	"4"	"1"	"3"	"7"	""	"4"	"10"	"8"	"8"	"14"	"653"
"24"	"19"	"324"	"5"	"9"	"253"	"6"	"0"	"0"	"19"	""	"4"	"6"	"13"	"10"	"30"	"679"
"25"	"20"	"41"	"18"	"3"	"103"	"3"	"0"	"0"	"4"	""	"5"	"4"	"4"	"8"	"10"	"203"
"26"	"21"	"99"	"2"	"1"	"254"	"4"	"4"	"2"	"20"	""	"8"	"3"	"4"	"8"	"20"	"429"
"27"	"22"	"244"	"2"	"2"	"176"	"5"	"0"	"3"	"5"	""	"0"	"2"	"8"	"10"	"12"	"469"
"28"	"23"	"360"	"4"	"5"	"12"	"0"	"6"	"0"	"4"	""	"3"	"5"	"16"	"6"	"7"	"428"
"29"	"24"	"59"	"1"	"6"	"205"	"1"	"0"	"1"	"9"	""	"1"	"0"	"1"	"1"	"5"	"290"
"30"	"25"	"125"	"13"	"1"	"250"	"1"	"3"	"1"	"31"	""	"3"	"5"	"8"	"4"	"19"	"464"
"31"	"26"	"318"	"56"	"12"	"222"	"4"	"0"	"5"	"11"	""	"4"	"5"	"9"	"7"	"21"	"674"
"32"	"27"	"233"	"6"	"5"	"155"	"1"	"1"	"1"	"3"	""	"3"	"2"	"4"	"3"	"7"	"424"
"33"	"28"	"83"	"1"	"4"	"200"	"3"	"1"	"0"	"7"	""	"2"	"7"	"6"	"4"	"15"	"333"
"34"	"29"	"236"	"8"	"4"	"297"	"7"	"2"	"3"	"6"	""	"7"	"11"	"6"	"7"	"14"	"608"
"35"	"30"	"393"	"5"	"7"	"130"	"2"	"4"	"0"	"8"	""	"0"	"7"	"4"	"7"	"17"	"584"
"36"	"31"	"319"	"9"	"11"	"66"	"2"	"2"	"1"	"6"	""	"4"	"8"	"8"	"2"	"12"	"450"
"37"	"32"	"422"	"10"	"11"	"111"	"4"	"2"	"Page 2 of21"	"8"	"6"	"3"	"9"	"6"	"12"	"29"	"627"
"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"41"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"42"	"33"	"165"	"2"	"5"	"172"	"4"	"0"	"1"	"2"	""	"3"	"3"	"4"	"5"	"11"	"377"
"43"	"34"	"8"	"10"	"9"	"204"	"2"	"0"	"1"	"26"	""	"0"	"1"	"1"	"0"	"0"	"262"
"44"	"35"	"146"	"4"	"1"	"59"	"1"	"0"	"0"	"0"	""	"1"	"0"	"2"	"0"	"5"	"219"
"45"	"36"	"66"	"2"	"3"	"217"	"2"	"1"	"2"	"22"	""	"4"	"5"	"6"	"7"	"13"	"350"
"46"	"37"	"56"	"3"	"3"	"317"	"5"	"1"	"1"	"17"	""	"2"	"1"	"2"	"1"	"2"	"411"
"47"	"38"	"106"	"3"	"3"	"309"	"1"	"2"	"7"	"49"	""	"4"	"11"	"4"	"4"	"16"	"519"
"48"	"39"	"89"	"13"	"3"	"454"	"1"	"0"	"3"	"17"	""	"6"	"5"	"1"	"2"	"14"	"608"
"49"	"40"	"27"	"1"	"2"	"242"	"10"	"2"	"4"	"50"	""	"5"	"3"	"1"	"1"	"12"	"360"
"50"	"41"	"156"	"3"	"13"	"106"	"2"	"1"	"4"	"20"	""	"2"	"3"	"5"	"10"	"7"	"332"
"51"	"42"	"140"	"69"	"4"	"264"	"8"	"1"	"3"	"8"	""	"5"	"4"	"5"	"7"	"24"	"542"
"52"	"43"	"234"	"10"	"8"	"192"	"5"	"0"	"3"	"14"	""	"2"	"11"	"8"	"7"	"21"	"515"
"53"	"44"	"63"	"47"	"24"	"166"	"1"	"0"	"3"	"3"	""	"2"	"1"	"2"	"4"	"2"	"318"
"54"	"45"	"146"	"3"	"6"	"112"	"2"	"0"	"0"	"3"	""	"1"	"0"	"1"	"1"	"6"	"281"
"55"	"46"	"73"	"0"	"4"	"93"	"5"	"0"	"2"	"16"	""	"4"	"10"	"4"	"2"	"15"	"228"
"56"	"47"	"67"	"5"	"6"	"101"	"5"	"1"	"1"	"12"	""	"3"	"3"	"3"	"1"	"9"	"217"
"57"	"48"	"100"	"1"	"3"	"165"	"2"	"2"	"Page 3 of31"	"8"	"23"	"2"	"5"	"1"	"4"	"2"	"313"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"61"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"62"	"49"	"50"	"3"	"24"	"252"	"7"	"3"	"15"	"43"	""	"6"	"10"	"6"	"2"	"16"	"437"
"63"	"50"	"31"	"44"	"4"	"216"	"0"	"3"	"0"	"16"	""	"3"	"5"	"1"	"3"	"10"	"336"
"64"	"51"	"111"	"7"	"6"	"290"	"4"	"2"	"2"	"31"	""	"7"	"5"	"6"	"6"	"18"	"495"
"65"	"52"	"233"	"5"	"0"	"41"	"1"	"0"	"0"	"10"	""	"0"	"0"	"4"	"4"	"5"	"303"
"66"	"53"	"186"	"4"	"5"	"171"	"4"	"3"	"7"	"17"	""	"3"	"6"	"5"	"5"	"11"	"427"
"67"	"54"	"137"	"6"	"10"	"82"	"1"	"0"	"4"	"14"	""	"2"	"2"	"1"	"4"	"10"	"273"
"68"	"55"	"49"	"3"	"2"	"287"	"6"	"1"	"13"	"34"	""	"2"	"5"	"0"	"9"	"8"	"419"
"69"	"56"	"157"	"7"	"13"	"343"	"7"	"5"	"5"	"61"	""	"13"	"8"	"3"	"5"	"33"	"660"
"70"	"57"	"136"	"8"	"10"	"399"	"2"	"2"	"3"	"35"	""	"5"	"9"	"8"	"6"	"6"	"629"
"71"	"58"	"51"	"7"	"14"	"519"	"9"	"6"	"5"	"34"	""	"11"	"5"	"1"	"6"	"21"	"689"
"72"	"59"	"267"	"9"	"3"	"288"	"4"	"6"	"58"	"11"	""	"3"	"8"	"8"	"16"	"29"	"710"
"73"	"60"	"35"	"3"	"7"	"297"	"6"	"4"	"3"	"32"	""	"2"	"7"	"0"	"2"	"10"	"408"
"74"	"61"	"335"	"24"	"17"	"79"	"3"	"2"	"1"	"7"	""	"2"	"9"	"4"	"6"	"20"	"509"
"75"	"62"	"73"	"4"	"3"	"97"	"3"	"3"	"8"	"360"	""	"5"	"1"	"6"	"6"	"6"	"575"
"76"	"63"	"93"	"4"	"2"	"139"	"1"	"3"	"1"	"134"	""	"2"	"3"	"74"	"4"	"6"	"466"
"77"	"64"	"73"	"3"	"7"	"71"	"1"	"1"	"Page 4 of11"	"8"	"46"	"1"	"11"	"3"	"1"	"5"	"224"
"78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"81"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"82"	"65"	"92"	"8"	"4"	"154"	"3"	"3"	"6"	"89"	""	"3"	"4"	"27"	"12"	"11"	"416"
"83"	"66"	"340"	"3"	"1"	"65"	"1"	"0"	"1"	"32"	""	"2"	"2"	"1"	"4"	"4"	"456"
"84"	"67"	"56"	"3"	"0"	"204"	"4"	"0"	"3"	"10"	""	"4"	"9"	"2"	"2"	"21"	"318"
"85"	"68"	"135"	"6"	"47"	"241"	"2"	"0"	"6"	"34"	""	"3"	"3"	"6"	"4"	"13"	"500"
"86"	"69"	"208"	"8"	"51"	"156"	"4"	"2"	"2"	"25"	""	"3"	"5"	"1"	"4"	"6"	"475"
"87"	"70"	"60"	"0"	"127"	"103"	"3"	"0"	"1"	"8"	""	"1"	"3"	"8"	"8"	"13"	"335"
"88"	"71"	"126"	"14"	"48"	"194"	"7"	"2"	"7"	"32"	""	"3"	"5"	"10"	"6"	"22"	"476"
"89"	"72"	"138"	"5"	"22"	"179"	"3"	"1"	"5"	"85"	""	"4"	"3"	"5"	"3"	"12"	"465"
"90"	"73"	"406"	"10"	"16"	"175"	"7"	"3"	"4"	"54"	""	"7"	"7"	"13"	"12"	"24"	"738"
"91"	"74"	"216"	"2"	"6"	"126"	"1"	"0"	"1"	"3"	""	"4"	"1"	"3"	"5"	"17"	"385"
"92"	"75"	"183"	"6"	"4"	"21"	"0"	"0"	"0"	"0"	""	"1"	"4"	"5"	"12"	"20"	"256"
"93"	"76"	"112"	"2"	"7"	"222"	"3"	"0"	"0"	"3"	""	"2"	"6"	"7"	"7"	"12"	"383"
"94"	"76A"	"269"	"9"	"4"	"102"	"0"	"2"	"0"	"2"	""	"2"	"7"	"5"	"5"	"21"	"428"
"95"	"77"	"230"	"4"	"2"	"48"	"1"	"2"	"0"	"2"	""	"0"	"1"	"3"	"2"	"13"	"308"
"96"	"78"	"87"	"1"	"11"	"137"	"1"	"4"	"1"	"36"	""	"6"	"3"	"6"	"4"	"10"	"307"
"97"	"79"	"46"	"2"	"6"	"261"	"4"	"3"	"Page 5 of81"	"8"	"6"	"6"	"11"	"5"	"7"	"17"	"382"
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"101"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"102"	"80"	"56"	"53"	"12"	"180"	"3"	"6"	"1"	"14"	""	"5"	"4"	"7"	"2"	"8"	"351"
"103"	"81"	"132"	"27"	"19"	"49"	"2"	"0"	"11"	"7"	""	"0"	"1"	"2"	"6"	"12"	"268"
"104"	"82"	"33"	"1"	"1"	"175"	"5"	"0"	"0"	"55"	""	"2"	"3"	"1"	"3"	"5"	"284"
"105"	"83"	"542"	"24"	"9"	"72"	"4"	"0"	"0"	"1"	""	"0"	"3"	"2"	"1"	"16"	"674"
"106"	"84"	"57"	"5"	"12"	"285"	"4"	"7"	"51"	"40"	""	"11"	"11"	"3"	"10"	"8"	"504"
"107"	"85"	"129"	"3"	"24"	"107"	"1"	"0"	"15"	"26"	""	"3"	"3"	"1"	"2"	"4"	"318"
"108"	"86"	"141"	"4"	"6"	"114"	"4"	"0"	"0"	"32"	""	"1"	"0"	"2"	"3"	"11"	"318"
"109"	"87"	"179"	"2"	"8"	"130"	"0"	"0"	"0"	"7"	""	"4"	"0"	"0"	"4"	"10"	"344"
"110"	"88"	"237"	"3"	"2"	"22"	"1"	"0"	"28"	"2"	""	"1"	"0"	"2"	"1"	"3"	"302"
"111"	"89"	"314"	"6"	"6"	"164"	"109"	"3"	"0"	"4"	""	"2"	"3"	"3"	"4"	"9"	"627"
"112"	"90"	"280"	"9"	"14"	"216"	"14"	"1"	"1"	"26"	""	"5"	"7"	"10"	"6"	"13"	"602"
"113"	"91"	"110"	"1"	"18"	"76"	"1"	"2"	"0"	"17"	""	"1"	"1"	"0"	"0"	"6"	"233"
"114"	"92"	"72"	"17"	"71"	"173"	"1"	"2"	"15"	"17"	""	"6"	"3"	"3"	"5"	"20"	"405"
"115"	"93"	"150"	"7"	"3"	"75"	"2"	"0"	"13"	"29"	""	"4"	"6"	"1"	"5"	"12"	"307"
"116"	"94"	"76"	"3"	"10"	"139"	"4"	"2"	"1"	"23"	""	"2"	"0"	"4"	"2"	"10"	"276"
"117"	"95"	"88"	"40"	"6"	"153"	"9"	"7"	"Page 61o0f41"	"8"	"30"	"7"	"7"	"5"	"3"	"12"	"471"
"118"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"121"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"122"	"96"	"88"	"6"	"1"	"188"	"5"	"0"	"6"	"42"	""	"5"	"5"	"5"	"3"	"8"	"362"
"123"	"97"	"66"	"2"	"4"	"262"	"5"	"1"	"0"	"52"	""	"2"	"0"	"0"	"3"	"5"	"402"
"124"	"98"	"217"	"9"	"10"	"429"	"10"	"2"	"4"	"34"	""	"6"	"13"	"8"	"16"	"28"	"786"
"125"	"99"	"87"	"2"	"5"	"183"	"0"	"2"	"50"	"10"	""	"0"	"4"	"2"	"5"	"16"	"366"
"126"	"100"	"36"	"4"	"14"	"235"	"17"	"0"	"1"	"38"	""	"4"	"3"	"3"	"5"	"4"	"364"
"127"	"101"	"256"	"7"	"5"	"184"	"3"	"0"	"2"	"52"	""	"4"	"5"	"4"	"11"	"9"	"542"
"128"	"102"	"161"	"0"	"13"	"160"	"5"	"0"	"3"	"42"	""	"6"	"5"	"3"	"8"	"8"	"414"
"129"	"103"	"278"	"14"	"2"	"279"	"6"	"4"	"12"	"29"	""	"4"	"5"	"5"	"6"	"18"	"662"
"130"	"104"	"98"	"13"	"12"	"192"	"1"	"0"	"1"	"45"	""	"0"	"0"	"1"	"2"	"6"	"371"
"131"	"105"	"64"	"1"	"4"	"330"	"5"	"1"	"0"	"12"	""	"2"	"2"	"2"	"2"	"7"	"432"
"132"	"106"	"128"	"12"	"5"	"317"	"18"	"1"	"2"	"11"	""	"7"	"3"	"1"	"6"	"18"	"529"
"133"	"107"	"249"	"15"	"24"	"263"	"5"	"2"	"5"	"4"	""	"3"	"5"	"0"	"2"	"1"	"578"
"134"	"108"	"134"	"5"	"19"	"154"	"3"	"0"	"15"	"35"	""	"0"	"3"	"5"	"1"	"9"	"383"
"135"	"109"	"173"	"1"	"5"	"120"	"3"	"0"	"4"	"27"	""	"1"	"1"	"0"	"3"	"7"	"345"
"136"	"110"	"101"	"3"	"3"	"179"	"0"	"0"	"3"	"27"	""	"4"	"1"	"2"	"3"	"3"	"329"
"137"	"111"	"65"	"3"	"16"	"406"	"9"	"3"	"Page 7 o1f11"	"8"	"35"	"12"	"12"	"13"	"7"	"19"	"611"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"141"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"142"	"112"	"201"	"3"	"17"	"267"	"4"	"1"	"1"	"39"	""	"2"	"3"	"3"	"4"	"16"	"561"
"143"	"113"	"77"	"3"	"20"	"235"	"5"	"1"	"4"	"37"	""	"1"	"4"	"5"	"5"	"13"	"410"
"144"	"114"	"123"	"0"	"6"	"196"	"7"	"4"	"3"	"28"	""	"4"	"4"	"1"	"7"	"12"	"395"
"145"	"115"	"113"	"3"	"4"	"180"	"2"	"1"	"2"	"10"	""	"6"	"4"	"3"	"7"	"14"	"349"
"146"	"116"	"198"	"20"	"12"	"278"	"22"	"6"	"9"	"47"	""	"10"	"9"	"5"	"6"	"25"	"647"
"147"	"117"	"210"	"1"	"38"	"354"	"5"	"1"	"3"	"67"	""	"8"	"10"	"11"	"16"	"26"	"750"
"148"	"118"	"136"	"4"	"5"	"265"	"12"	"1"	"5"	"35"	""	"6"	"3"	"3"	"8"	"21"	"504"
"149"	"119"	"152"	"8"	"3"	"248"	"1"	"0"	"2"	"38"	""	"7"	"3"	"8"	"5"	"22"	"497"
"150"	"120"	"63"	"1"	"12"	"216"	"4"	"1"	"1"	"41"	""	"1"	"0"	"4"	"3"	"6"	"353"
"151"	"121"	"105"	"2"	"14"	"213"	"7"	"2"	"0"	"38"	""	"3"	"2"	"4"	"5"	"9"	"404"
"152"	"122"	"196"	"10"	"12"	"225"	"6"	"3"	"8"	"58"	""	"3"	"10"	"1"	"8"	"20"	"560"
"153"	"123"	"45"	"2"	"10"	"299"	"3"	"2"	"7"	"7"	""	"3"	"2"	"3"	"4"	"12"	"399"
"154"	"124"	"47"	"3"	"21"	"189"	"2"	"2"	"19"	"7"	""	"2"	"3"	"1"	"0"	"8"	"304"
"155"	"125"	"176"	"27"	"14"	"147"	"4"	"2"	"5"	"1"	""	"2"	"4"	"1"	"2"	"14"	"399"
"156"	"126"	"200"	"13"	"18"	"285"	"11"	"2"	"1"	"54"	""	"8"	"12"	"7"	"11"	"39"	"661"
"157"	"127"	"31"	"1"	"9"	"331"	"2"	"3"	"Page 8 of31"	"8"	"31"	"4"	"6"	"5"	"6"	"15"	"447"
"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"161"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"162"	"128"	"63"	"6"	"2"	"121"	"34"	"2"	"4"	"43"	""	"8"	"7"	"1"	"2"	"5"	"298"
"163"	"129"	"241"	"2"	"0"	"259"	"3"	"2"	"1"	"2"	""	"3"	"4"	"3"	"4"	"15"	"539"
"164"	"130"	"194"	"2"	"2"	"90"	"0"	"1"	"1"	"7"	""	"0"	"1"	"2"	"2"	"8"	"310"
"165"	"131"	"65"	"5"	"56"	"323"	"26"	"3"	"11"	"24"	""	"6"	"12"	"7"	"7"	"10"	"555"
"166"	"132"	"233"	"3"	"13"	"224"	"5"	"6"	"3"	"20"	""	"4"	"6"	"14"	"13"	"13"	"557"
"167"	"133"	"280"	"2"	"3"	"141"	"6"	"0"	"1"	"7"	""	"4"	"4"	"5"	"8"	"38"	"499"
"168"	"134"	"39"	"2"	"8"	"173"	"2"	"0"	"0"	"16"	""	"0"	"3"	"0"	"3"	"4"	"250"
"169"	"135"	"167"	"12"	"20"	"315"	"17"	"3"	"2"	"20"	""	"4"	"5"	"7"	"3"	"11"	"586"
"170"	"136"	"202"	"4"	"1"	"94"	"3"	"2"	"4"	"4"	""	"3"	"6"	"4"	"6"	"22"	"355"
"171"	"137"	"236"	"12"	"3"	"161"	"2"	"1"	"1"	"24"	""	"1"	"0"	"9"	"7"	"23"	"480"
"172"	"138"	"47"	"0"	"6"	"186"	"0"	"0"	"6"	"3"	""	"1"	"2"	"0"	"3"	"9"	"263"
"173"	"139"	"285"	"10"	"1"	"106"	"12"	"4"	"1"	"8"	""	"6"	"0"	"2"	"6"	"4"	"445"
"174"	"140"	"173"	"32"	"3"	"252"	"8"	"1"	"3"	"6"	""	"4"	"3"	"1"	"8"	"22"	"516"
"175"	"141"	"521"	"5"	"3"	"51"	"2"	"0"	"2"	"2"	""	"2"	"8"	"14"	"12"	"36"	"658"
"176"	"142"	"45"	"1"	"3"	"72"	"0"	"2"	"1"	"4"	""	"1"	"0"	"2"	"5"	"7"	"143"
"177"	"143"	"287"	"6"	"4"	"90"	"1"	"3"	"Page 9 o5f01"	"8"	"4"	"5"	"5"	"2"	"7"	"18"	"482"
"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"181"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"182"	"144"	"174"	"6"	"18"	"292"	"19"	"5"	"39"	"28"	""	"9"	"4"	"4"	"3"	"5"	"606"
"183"	"145"	"230"	"3"	"3"	"100"	"0"	"1"	"3"	"8"	""	"2"	"7"	"8"	"4"	"15"	"384"
"184"	"146"	"121"	"18"	"7"	"222"	"2"	"0"	"2"	"21"	""	"2"	"4"	"5"	"2"	"17"	"423"
"185"	"147"	"107"	"2"	"12"	"264"	"15"	"1"	"3"	"16"	""	"6"	"10"	"2"	"4"	"13"	"455"
"186"	"148"	"246"	"4"	"5"	"49"	"0"	"1"	"2"	"3"	""	"0"	"1"	"0"	"2"	"10"	"323"
"187"	"149"	"122"	"20"	"15"	"274"	"114"	"6"	"1"	"13"	""	"14"	"10"	"14"	"8"	"28"	"639"
"188"	"150"	"240"	"30"	"28"	"131"	"2"	"3"	"2"	"7"	""	"8"	"15"	"9"	"11"	"47"	"533"
"189"	"151"	"102"	"4"	"2"	"170"	"10"	"0"	"1"	"4"	""	"8"	"6"	"1"	"4"	"26"	"338"
"190"	"152"	"101"	"4"	"7"	"204"	"3"	"1"	"1"	"6"	""	"1"	"4"	"0"	"4"	"11"	"347"
"191"	"153"	"129"	"1"	"30"	"246"	"10"	"4"	"3"	"13"	""	"3"	"4"	"6"	"4"	"7"	"460"
"192"	"154"	"114"	"4"	"9"	"290"	"10"	"4"	"36"	"10"	""	"4"	"17"	"7"	"9"	"26"	"540"
"193"	"155"	"22"	"1"	"16"	"393"	"3"	"2"	"1"	"4"	""	"5"	"8"	"6"	"8"	"22"	"491"
"194"	"156"	"12"	"61"	"8"	"367"	"8"	"6"	"25"	"3"	""	"6"	"3"	"3"	"5"	"10"	"517"
"195"	"157"	"98"	"6"	"6"	"292"	"7"	"1"	"5"	"3"	""	"5"	"16"	"12"	"6"	"14"	"471"
