"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X260646.29.260675.40.Laukaha"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"73"	"51"	"7"	"21"	"0"	"1"	"3"	"3"	"202"	"5"	"1"	"1"	"1"	"0"	"1"	"5"	"251"	""	"251"	""
"74"	"52"	"9"	"12"	"1"	"2"	"2"	"8"	"247"	"7"	"2"	"4"	"1"	"1"	"1"	"1"	"298"	""	"298"	""
"75"	"53"	"9"	"12"	"1"	"1"	"3"	"4"	"272"	"6"	"3"	"3"	"1"	"0"	"6"	"3"	"324"	""	"324"	""
"76"	"54"	"58"	"91"	"8"	"0"	"16"	"18"	"192"	"14"	"8"	"4"	"1"	"4"	"4"	"11"	"429"	""	"429"	""
"77"	"55"	"14"	"60"	"5"	"3"	"22"	"68"	"348"	"22"	"6"	"6"	"3"	"4"	"3"	"14"	"578"	""	"578"	""
"78"	"Total -4"	"1563"	"392"	"113"	"231"	"159"	"1148"	"3358"	"118"	"78"	"58"	"35"	"54"	"74"	"162"	"7543"	"0"	"7543"	"0"
"79"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"83"	"B.F."	"7380"	"2142"	"415"	"699"	"1392"	"10800"	"6544"	"469"	"392"	"184"	"183"	"486"	"468"	"698"	"32252"	"0"	"32252"	"0"
"84"	"56"	"95"	"40"	"5"	"152"	"18"	"189"	"142"	"17"	"15"	"3"	"11"	"8"	"13"	"19"	"727"	""	"727"	""
"85"	"57"	"57"	"47"	"2"	"271"	"22"	"51"	"15"	"6"	"4"	"4"	"3"	"7"	"68"	"16"	"573"	""	"573"	""
"86"	"58"	"18"	"203"	"6"	"43"	"7"	"123"	"55"	"13"	"14"	"7"	"5"	"4"	"10"	"10"	"518"	""	"518"	""
"87"	"59"	"8"	"19"	"6"	"6"	"1"	"70"	"380"	"9"	"1"	"2"	"1"	"1"	"3"	"2"	"509"	""	"509"	""
"88"	"60"	"15"	"65"	"22"	"3"	"9"	"208"	"221"	"15"	"10"	"3"	"7"	"10"	"11"	"10"	"609"	""	"609"	""
"89"	"61"	"54"	"40"	"4"	"149"	"9"	"61"	"63"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"387"	""	"387"	""
"90"	"62"	"154"	"21"	"15"	"92"	"21"	"92"	"19"	"8"	"12"	"2"	"5"	"8"	"7"	"12"	"468"	""	"468"	""
"91"	"63"	"77"	"13"	"3"	"31"	"3"	"60"	"471"	"7"	"2"	"3"	"2"	"0"	"3"	"2"	"677"	""	"677"	""
"92"	"64"	"30"	"13"	"16"	"107"	"22"	"267"	"9"	"8"	"5"	"8"	"7"	"15"	"11"	"12"	"530"	""	"530"	""
"93"	"65"	"31"	"52"	"11"	"10"	"33"	"350"	"40"	"11"	"8"	"4"	"7"	"26"	"19"	"27"	"629"	""	"629"	""
"94"	"66"	"97"	"19"	"9"	"77"	"70"	"251"	"35"	"20"	"9"	"4"	"3"	"20"	"5"	"14"	"633"	""	"633"	""
"95"	"67"	"192"	"66"	"20"	"6"	"52"	"267"	"20"	"8"	"20"	"5"	"6"	"35"	"47"	"27"	"771"	""	"771"	""
"96"	"68"	"107"	"36"	"2"	"12"	"23"	"215"	"8"	"1"	"20"	"4"	"6"	"16"	"40"	"21"	"511"	""	"511"	""
"97"	"69"	"133"	"41"	"0"	"4"	"19"	"207"	"12"	"3"	"14"	"2"	"2"	"13"	"4"	"1"	"455"	""	"455"	""
"98"	"Total -5"	"1068"	"675"	"121"	"963"	"309"	"2411"	"1490"	"127"	"135"	"51"	"66"	"164"	"241"	"176"	"7997"	"0"	"7997"	"0"
"99"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"103"	"B.F."	"8448"	"2817"	"536"	"1662"	"1701"	"13211"	"8034"	"596"	"527"	"235"	"249"	"650"	"709"	"874"	"40249"	"0"	"40249"	"0"
"104"	"70"	"77"	"4"	"9"	"59"	"86"	"201"	"50"	"14"	"5"	"3"	"2"	"16"	"8"	"11"	"545"	""	"545"	""
"105"	"71"	"102"	"16"	"2"	"3"	"16"	"290"	"31"	"8"	"14"	"7"	"5"	"9"	"16"	"9"	"528"	""	"528"	""
"106"	"72"	"182"	"189"	"9"	"15"	"43"	"375"	"18"	"3"	"15"	"4"	"3"	"15"	"8"	"8"	"887"	""	"887"	""
"107"	"73"	"14"	"92"	"6"	"4"	"29"	"330"	"10"	"3"	"9"	"3"	"5"	"9"	"7"	"15"	"536"	""	"536"	""
"108"	"74"	"59"	"215"	"6"	"15"	"6"	"31"	"97"	"6"	"6"	"4"	"3"	"2"	"6"	"14"	"470"	""	"470"	""
"109"	"75"	"64"	"167"	"4"	"10"	"19"	"101"	"135"	"12"	"11"	"2"	"1"	"8"	"1"	"6"	"541"	""	"541"	""
"110"	"76"	"18"	"111"	"4"	"6"	"30"	"223"	"60"	"3"	"4"	"0"	"3"	"6"	"0"	"2"	"470"	""	"470"	""
"111"	"77"	"130"	"13"	"7"	"6"	"11"	"112"	"84"	"15"	"6"	"3"	"4"	"8"	"12"	"29"	"440"	""	"440"	""
"112"	"78"	"187"	"23"	"53"	"9"	"11"	"108"	"15"	"4"	"10"	"6"	"7"	"13"	"4"	"19"	"469"	""	"469"	""
"113"	"79"	"26"	"161"	"7"	"27"	"21"	"184"	"12"	"8"	"33"	"1"	"2"	"9"	"11"	"9"	"511"	""	"511"	""
"114"	"80"	"95"	"97"	"6"	"14"	"18"	"98"	"34"	"9"	"14"	"6"	"9"	"19"	"19"	"40"	"478"	""	"478"	""
"115"	"81"	"305"	"44"	"10"	"6"	"35"	"258"	"33"	"8"	"11"	"5"	"8"	"20"	"17"	"37"	"797"	""	"797"	""
"116"	"82"	"136"	"40"	"12"	"4"	"37"	"195"	"148"	"13"	"15"	"2"	"6"	"24"	"7"	"16"	"655"	""	"655"	""
"117"	"83"	"70"	"52"	"6"	"8"	"12"	"66"	"206"	"6"	"7"	"2"	"2"	"1"	"3"	"10"	"451"	""	"451"	""
"118"	"Total -6"	"1465"	"1224"	"141"	"186"	"374"	"2572"	"933"	"112"	"160"	"48"	"60"	"159"	"119"	"225"	"7778"	"0"	"7778"	"0"
"119"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"123"	"B.F."	"9913"	"4041"	"677"	"1848"	"2075"	"15783"	"8967"	"708"	"687"	"283"	"309"	"809"	"828"	"1099"	"48027"	"0"	"48027"	"0"
"124"	"84"	"101"	"67"	"2"	"12"	"6"	"63"	"9"	"4"	"1"	"2"	"0"	"3"	"2"	"1"	"273"	""	"273"	""
"125"	"84A"	"251"	"75"	"4"	"8"	"6"	"87"	"16"	"3"	"3"	"8"	"2"	"5"	"5"	"18"	"491"	""	"491"	""
"126"	"85"	"222"	"95"	"1"	"2"	"19"	"78"	"6"	"2"	"3"	"1"	"1"	"3"	"16"	"4"	"453"	""	"453"	""
"127"	"86"	"209"	"71"	"14"	"5"	"10"	"136"	"31"	"2"	"4"	"5"	"2"	"10"	"5"	"14"	"518"	""	"518"	""
"128"	"87"	"182"	"197"	"5"	"10"	"18"	"155"	"54"	"3"	"5"	"4"	"0"	"8"	"3"	"4"	"648"	""	"648"	""
"129"	"88"	"265"	"118"	"20"	"15"	"19"	"253"	"63"	"6"	"6"	"4"	"3"	"6"	"6"	"16"	"800"	""	"800"	""
"130"	"89"	"83"	"26"	"0"	"3"	"5"	"92"	"403"	"12"	"3"	"1"	"2"	"3"	"5"	"4"	"642"	""	"642"	""
"131"	"90"	"75"	"63"	"10"	"249"	"35"	"168"	"88"	"16"	"11"	"3"	"4"	"12"	"15"	"16"	"765"	""	"765"	""
"132"	"91"	"153"	"57"	"10"	"170"	"15"	"53"	"25"	"8"	"5"	"2"	"2"	"2"	"24"	"10"	"536"	""	"536"	""
"133"	"92"	"112"	"58"	"6"	"116"	"5"	"102"	"9"	"9"	"11"	"4"	"6"	"11"	"273"	"19"	"741"	""	"741"	""
"134"	"93"	"77"	"121"	"7"	"7"	"14"	"31"	"55"	"16"	"101"	"4"	"3"	"3"	"1"	"12"	"452"	""	"452"	""
"135"	"94"	"197"	"285"	"6"	"11"	"6"	"22"	"39"	"12"	"9"	"3"	"4"	"5"	"14"	"6"	"619"	""	"619"	""
"136"	"95"	"15"	"343"	"9"	"3"	"0"	"17"	"38"	"5"	"0"	"1"	"1"	"3"	"2"	"5"	"442"	""	"442"	""
"137"	"96"	"38"	"163"	"17"	"34"	"15"	"167"	"13"	"12"	"6"	"5"	"3"	"6"	"15"	"14"	"508"	""	"508"	""
"138"	"Total -7"	"1980"	"1739"	"111"	"645"	"173"	"1424"	"849"	"110"	"168"	"47"	"33"	"80"	"386"	"143"	"7888"	"0"	"7888"	"0"
"139"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"143"	"B.F."	"11893"	"5780"	"788"	"2493"	"2248"	"17207"	"9816"	"818"	"855"	"330"	"342"	"889"	"1214"	"1242"	"55915"	"0"	"55915"	"0"
"144"	"97"	"290"	"205"	"14"	"9"	"6"	"23"	"3"	"6"	"2"	"0"	"1"	"5"	"4"	"15"	"583"	""	"583"	""
"145"	"98"	"9"	"203"	"18"	"54"	"3"	"23"	"4"	"5"	"1"	"1"	"8"	"4"	"12"	"24"	"369"	""	"369"	""
"146"	"99"	"41"	"186"	"18"	"63"	"12"	"79"	"27"	"14"	"7"	"5"	"8"	"9"	"9"	"19"	"497"	""	"497"	""
"147"	"100"	"35"	"23"	"3"	"79"	"24"	"268"	"8"	"7"	"8"	"6"	"3"	"13"	"6"	"9"	"492"	""	"492"	""
"148"	"101"	"40"	"25"	"12"	"42"	"21"	"370"	"21"	"11"	"17"	"2"	"6"	"16"	"11"	"12"	"606"	""	"606"	""
"149"	"102"	"45"	"2"	"7"	"129"	"14"	"184"	"10"	"15"	"7"	"2"	"2"	"7"	"10"	"12"	"446"	""	"446"	""
"150"	"103"	"76"	"13"	"6"	"29"	"17"	"307"	"79"	"15"	"16"	"6"	"11"	"17"	"17"	"29"	"638"	""	"638"	""
"151"	"104"	"96"	"35"	"6"	"37"	"24"	"186"	"59"	"13"	"17"	"7"	"7"	"23"	"13"	"16"	"539"	""	"539"	""
"152"	"105"	"149"	"56"	"4"	"43"	"21"	"158"	"84"	"17"	"11"	"6"	"8"	"13"	"16"	"20"	"606"	""	"606"	""
"153"	"106"	"24"	"48"	"5"	"49"	"12"	"241"	"6"	"9"	"9"	"2"	"3"	"8"	"5"	"7"	"428"	""	"428"	""
"154"	"107"	"14"	"17"	"4"	"12"	"25"	"258"	"13"	"9"	"12"	"5"	"12"	"12"	"15"	"16"	"424"	""	"424"	""
"155"	"108"	"116"	"21"	"3"	"51"	"39"	"289"	"53"	"13"	"14"	"10"	"12"	"14"	"11"	"23"	"669"	""	"669"	""
"156"	"109"	"206"	"22"	"2"	"3"	"6"	"175"	"11"	"2"	"7"	"2"	"1"	"9"	"3"	"9"	"458"	""	"458"	""
"157"	"110"	"252"	"29"	"3"	"6"	"13"	"81"	"34"	"4"	"7"	"4"	"3"	"5"	"7"	"27"	"475"	""	"475"	""
"158"	"Total -8"	"1393"	"885"	"105"	"606"	"237"	"2642"	"412"	"140"	"135"	"58"	"85"	"155"	"139"	"238"	"7230"	"0"	"7230"	"0"
"159"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"163"	"B.F."	"13286"	"6665"	"893"	"3099"	"2485"	"19849"	"10228"	"958"	"990"	"388"	"427"	"1044"	"1353"	"1480"	"63145"	"0"	"63145"	"0"
