"No..of.vailed.Votes.Caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"29"	"25"	""	"335"	"261"	"8"	"5"	"4"	"6"	"0"	"6"	"10"	"22"	"657"
"30"	"26"	""	"125"	"289"	"5"	"4"	"0"	"6"	"1"	"9"	"11"	"15"	"465"
"31"	"27"	""	"178"	"212"	"5"	"1"	"9"	"6"	"6"	"2"	"15"	"21"	"455"
"32"	"Round 2"	""	"2839"	"3750"	"116"	"52"	"46"	"84"	"42"	"101"	"244"	"321"	"7595"
"33"	"28"	""	"277"	"66"	"7"	"5"	"3"	"4"	"1"	"3"	"5"	"22"	"393"
"34"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"36"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"37"	"29"	""	"89"	"205"	"3"	"2"	"3"	"5"	"3"	"2"	"7"	"10"	"329"
"38"	"30"	""	"180"	"243"	"8"	"4"	"9"	"10"	"1"	"1"	"14"	"15"	"485"
"39"	"31"	""	"351"	"320"	"12"	"8"	"3"	"9"	"1"	"1"	"17"	"12"	"734"
"40"	"32"	""	"269"	"172"	"8"	"7"	"1"	"4"	"4"	"3"	"5"	"10"	"483"
"41"	"33"	""	"247"	"327"	"3"	"5"	"3"	"7"	"3"	"5"	"12"	"21"	"633"
"42"	"34"	""	"179"	"204"	"7"	"6"	"1"	"10"	"1"	"3"	"5"	"12"	"428"
"43"	"35"	""	"404"	"199"	"15"	"8"	"9"	"1"	"8"	"6"	"14"	"51"	"715"
"44"	"36"	""	"101"	"426"	"59"	"6"	"4"	"10"	"1"	"8"	"17"	"8"	"640"
"45"	"37"	""	"122"	"358"	"12"	"52"	"18"	"11"	"7"	"8"	"21"	"29"	"638"
"46"	"38"	""	"227"	"285"	"9"	"9"	"10"	"54"	"1"	"7"	"30"	"41"	"673"
"47"	"39"	""	"353"	"230"	"7"	"5"	"6"	"11"	"10"	"7"	"12"	"25"	"666"
"48"	"40"	""	"271"	"175"	"2"	"7"	"6"	"2"	"2"	"3"	"13"	"10"	"491"
"49"	"41"	""	"172"	"236"	"3"	"7"	"7"	"41"	"4"	"2"	"9"	"16"	"497"
"50"	"Round 3"	""	"3242"	"3446"	"155"	"131"	"83"	"179"	"47"	"59"	"181"	"282"	"7805"
"51"	"42"	""	"149"	"391"	"11"	"24"	"4"	"5"	"4"	"4"	"26"	"12"	"630"
"52"	"43"	""	"160"	"274"	"7"	"12"	"8"	"6"	"3"	"6"	"13"	"20"	"509"
"53"	"44"	""	"121"	"161"	"11"	"3"	"3"	"4"	"0"	"2"	"7"	"8"	"320"
"54"	"45"	""	"157"	"297"	"7"	"9"	"7"	"12"	"2"	"16"	"26"	"83"	"616"
"55"	"46"	""	"140"	"248"	"8"	"1"	"5"	"6"	"0"	"1"	"4"	"9"	"422"
"56"	"47"	""	"114"	"240"	"7"	"5"	"2"	"5"	"2"	"2"	"7"	"30"	"414"
"57"	"48"	""	"97"	"192"	"6"	"6"	"3"	"4"	"0"	"14"	"9"	"18"	"349"
"58"	"49"	""	"98"	"188"	"2"	"14"	"3"	"2"	"0"	"5"	"7"	"10"	"329"
"59"	"50"	""	"63"	"242"	"7"	"11"	"2"	"4"	"1"	"3"	"13"	"12"	"358"
"60"	"50"	"A"	"108"	"203"	"4"	"12"	"9"	"8"	"4"	"9"	"21"	"43"	"421"
"61"	"51"	""	"179"	"105"	"4"	"7"	"3"	"8"	"0"	"4"	"7"	"13"	"330"
"62"	"52"	""	"144"	"330"	"13"	"16"	"7"	"12"	"6"	"13"	"12"	"16"	"569"
"63"	"53"	""	"133"	"319"	"9"	"12"	"6"	"6"	"3"	"3"	"5"	"63"	"559"
"64"	"54"	""	"281"	"191"	"2"	"8"	"3"	"3"	"0"	"4"	"21"	"19"	"532"
"65"	"Round 4"	""	"1944"	"3381"	"98"	"140"	"65"	"85"	"25"	"86"	"178"	"356"	"6358"
"66"	"55"	""	"100"	"208"	"2"	"6"	"2"	"1"	"3"	"4"	"9"	"43"	"378"
"67"	"56"	""	"168"	"139"	"6"	"7"	"3"	"3"	"0"	"4"	"4"	"66"	"400"
"68"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"70"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"71"	"57"	""	"42"	"101"	"1"	"29"	"1"	"2"	"3"	"1"	"6"	"7"	"193"
"72"	"58"	""	"231"	"354"	"7"	"16"	"8"	"9"	"1"	"9"	"7"	"57"	"699"
"73"	"59"	""	"97"	"60"	"7"	"104"	"2"	"2"	"5"	"1"	"1"	"1"	"280"
"74"	"60"	""	"58"	"489"	"14"	"90"	"4"	"12"	"6"	"9"	"10"	"25"	"717"
"75"	"61"	""	"348"	"322"	"6"	"8"	"4"	"4"	"2"	"3"	"18"	"28"	"743"
"76"	"62"	""	"82"	"398"	"6"	"2"	"0"	"3"	"1"	"2"	"5"	"0"	"499"
"77"	"63"	""	"120"	"316"	"9"	"4"	"4"	"6"	"3"	"12"	"27"	"35"	"536"
"78"	"64"	""	"116"	"154"	"2"	"2"	"1"	"2"	"4"	"2"	"10"	"10"	"303"
"79"	"65"	""	"231"	"84"	"4"	"2"	"1"	"0"	"1"	"2"	"9"	"12"	"346"
"80"	"66"	""	"286"	"81"	"5"	"5"	"2"	"4"	"0"	"1"	"4"	"4"	"392"
"81"	"67"	""	"266"	"185"	"3"	"3"	"2"	"2"	"0"	"1"	"4"	"3"	"469"
"82"	"68"	""	"259"	"88"	"2"	"4"	"0"	"2"	"3"	"1"	"7"	"9"	"375"
"83"	"Round 5"	""	"2404"	"2979"	"74"	"282"	"34"	"52"	"32"	"52"	"121"	"300"	"6330"
"84"	"69"	""	"249"	"124"	"6"	"2"	"4"	"7"	"3"	"3"	"14"	"14"	"426"
"85"	"70"	""	"344"	"153"	"5"	"2"	"5"	"2"	"3"	"4"	"27"	"33"	"578"
"86"	"71"	""	"113"	"216"	"6"	"3"	"4"	"2"	"1"	"2"	"5"	"7"	"359"
"87"	"72"	""	"86"	"214"	"6"	"2"	"2"	"4"	"1"	"0"	"12"	"1"	"328"
"88"	"73"	""	"217"	"135"	"10"	"5"	"1"	"3"	"0"	"0"	"15"	"11"	"397"
"89"	"74"	""	"170"	"411"	"13"	"6"	"5"	"14"	"4"	"8"	"27"	"33"	"691"
"90"	"75"	""	"212"	"375"	"12"	"6"	"2"	"8"	"2"	"10"	"22"	"12"	"661"
"91"	"76"	""	"126"	"374"	"7"	"9"	"4"	"8"	"2"	"7"	"145"	"13"	"695"
"92"	"77"	""	"392"	"204"	"9"	"3"	"15"	"4"	"5"	"1"	"9"	"29"	"671"
"93"	"78"	""	"198"	"215"	"3"	"2"	"13"	"7"	"1"	"4"	"18"	"9"	"470"
"94"	"79"	""	"331"	"93"	"5"	"2"	"5"	"2"	"1"	"0"	"7"	"4"	"450"
"95"	"80"	""	"411"	"173"	"10"	"10"	"2"	"9"	"7"	"8"	"31"	"31"	"692"
"96"	"81"	""	"52"	"208"	"9"	"9"	"1"	"9"	"1"	"3"	"2"	"4"	"298"
"97"	"82"	""	"167"	"260"	"7"	"6"	"1"	"5"	"2"	"4"	"8"	"14"	"474"
"98"	"Round 6"	""	"3068"	"3155"	"108"	"67"	"64"	"84"	"33"	"54"	"342"	"215"	"7190"
"99"	"83"	""	"40"	"195"	"6"	"2"	"4"	"7"	"0"	"1"	"5"	"7"	"267"
"100"	"84"	""	"43"	"192"	"1"	"3"	"0"	"0"	"5"	"2"	"2"	"3"	"251"
"101"	"85"	""	"66"	"316"	"8"	"12"	"2"	"13"	"1"	"6"	"8"	"12"	"444"
"102"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"104"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"105"	"86"	""	"223"	"177"	"6"	"5"	"3"	"4"	"5"	"2"	"7"	"4"	"436"
"106"	"87"	""	"198"	"384"	"9"	"4"	"3"	"2"	"1"	"3"	"8"	"10"	"622"
"107"	"88"	""	"231"	"69"	"2"	"0"	"1"	"4"	"0"	"1"	"9"	"3"	"320"
"108"	"89"	""	"154"	"39"	"4"	"1"	"4"	"1"	"0"	"0"	"1"	"1"	"205"
"109"	"90"	""	"300"	"335"	"15"	"14"	"4"	"16"	"1"	"1"	"19"	"13"	"718"
"110"	"91"	""	"261"	"136"	"7"	"0"	"3"	"1"	"1"	"0"	"2"	"2"	"413"
"111"	"92"	""	"297"	"229"	"5"	"2"	"6"	"1"	"1"	"3"	"4"	"3"	"551"
"112"	"93"	""	"140"	"248"	"4"	"3"	"3"	"7"	"3"	"3"	"4"	"2"	"417"
"113"	"94"	""	"47"	"84"	"5"	"1"	"1"	"2"	"0"	"0"	"7"	"7"	"154"
"114"	"95"	""	"477"	"170"	"7"	"14"	"7"	"4"	"3"	"5"	"7"	"7"	"701"
"115"	"96"	""	"547"	"221"	"5"	"6"	"8"	"2"	"1"	"3"	"5"	"5"	"803"
"116"	"Round 7"	""	"3024"	"2795"	"84"	"67"	"49"	"64"	"22"	"30"	"88"	"79"	"6302"
"117"	"97"	""	"240"	"206"	"9"	"11"	"11"	"9"	"4"	"4"	"15"	"17"	"526"
"118"	"98"	""	"346"	"104"	"2"	"9"	"3"	"6"	"0"	"1"	"4"	"15"	"490"
"119"	"99"	""	"38"	"387"	"5"	"8"	"2"	"4"	"2"	"0"	"16"	"9"	"471"
"120"	"100"	""	"317"	"81"	"0"	"1"	"0"	"3"	"1"	"0"	"4"	"7"	"414"
"121"	"101"	""	"165"	"117"	"5"	"189"	"13"	"13"	"8"	"6"	"16"	"38"	"570"
"122"	"102"	""	"293"	"294"	"7"	"4"	"6"	"3"	"5"	"1"	"6"	"10"	"629"
"123"	"103"	""	"396"	"167"	"13"	"6"	"19"	"8"	"5"	"4"	"13"	"34"	"665"
"124"	"104"	""	"198"	"98"	"2"	"25"	"70"	"1"	"2"	"0"	"3"	"6"	"405"
"125"	"105"	""	"181"	"83"	"5"	"87"	"5"	"7"	"8"	"4"	"19"	"23"	"422"
"126"	"106"	""	"139"	"168"	"9"	"7"	"0"	"4"	"3"	"3"	"8"	"17"	"358"
"127"	"107"	""	"124"	"141"	"7"	"101"	"4"	"8"	"3"	"5"	"10"	"34"	"437"
"128"	"108"	""	"150"	"155"	"5"	"149"	"12"	"8"	"4"	"18"	"22"	"55"	"578"
"129"	"109"	""	"101"	"121"	"8"	"68"	"4"	"4"	"2"	"7"	"7"	"6"	"328"
"130"	"110"	""	"185"	"56"	"3"	"119"	"13"	"7"	"6"	"6"	"15"	"36"	"446"
"131"	"Round 8"	""	"2873"	"2178"	"80"	"784"	"162"	"85"	"53"	"59"	"158"	"307"	"6739"
"132"	"111"	""	"143"	"98"	"5"	"8"	"3"	"1"	"1"	"0"	"5"	"7"	"271"
"133"	"112"	""	"301"	"77"	"8"	"73"	"23"	"6"	"4"	"6"	"24"	"25"	"547"
"134"	"113"	""	"95"	"46"	"12"	"80"	"4"	"2"	"3"	"1"	"10"	"8"	"261"
"135"	"114"	""	"126"	"247"	"20"	"15"	"9"	"7"	"4"	"9"	"6"	"10"	"453"
"136"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"138"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"139"	"115"	""	"266"	"111"	"11"	"114"	"11"	"11"	"5"	"9"	"6"	"13"	"557"
"140"	"116"	""	"45"	"203"	"4"	"61"	"6"	"6"	"5"	"204"	"15"	"39"	"588"
"141"	"117"	""	"197"	"177"	"10"	"151"	"7"	"7"	"1"	"6"	"11"	"6"	"573"
"142"	"118"	""	"155"	"299"	"7"	"58"	"8"	"9"	"5"	"3"	"14"	"21"	"579"
"143"	"119"	""	"85"	"132"	"6"	"6"	"1"	"2"	"0"	"0"	"7"	"7"	"246"
"144"	"120"	""	"177"	"220"	"7"	"30"	"5"	"3"	"3"	"2"	"5"	"9"	"461"
"145"	"121"	""	"417"	"81"	"3"	"5"	"2"	"7"	"4"	"7"	"19"	"34"	"579"
"146"	"122"	""	"52"	"256"	"2"	"11"	"0"	"7"	"3"	"2"	"11"	"16"	"360"
"147"	"123"	""	"148"	"479"	"15"	"10"	"6"	"14"	"4"	"12"	"16"	"10"	"714"
"148"	"124"	""	"221"	"344"	"13"	"7"	"8"	"7"	"3"	"6"	"15"	"16"	"640"
"149"	"Round 9"	""	"2428"	"2770"	"123"	"629"	"93"	"89"	"45"	"267"	"164"	"221"	"6829"
"150"	"125"	""	"221"	"201"	"9"	"7"	"3"	"7"	"0"	"1"	"7"	"12"	"468"
"151"	"126"	""	"141"	"165"	"8"	"4"	"1"	"8"	"3"	"5"	"17"	"22"	"374"
"152"	"127"	""	"128"	"219"	"15"	"4"	"5"	"9"	"4"	"7"	"17"	"14"	"422"
"153"	"128"	""	"118"	"147"	"17"	"5"	"0"	"2"	"0"	"2"	"4"	"5"	"300"
"154"	"129"	""	"477"	"103"	"3"	"10"	"2"	"1"	"2"	"2"	"12"	"7"	"619"
"155"	"130"	""	"482"	"217"	"9"	"4"	"2"	"3"	"1"	"2"	"8"	"12"	"740"
"156"	"131"	""	"205"	"119"	"3"	"12"	"5"	"3"	"2"	"1"	"10"	"22"	"382"
"157"	"132"	""	"201"	"246"	"6"	"5"	"1"	"2"	"5"	"4"	"1"	"14"	"485"
"158"	"133"	""	"184"	"252"	"9"	"5"	"5"	"6"	"2"	"2"	"7"	"5"	"477"
"159"	"134"	""	"278"	"114"	"4"	"5"	"4"	"2"	"3"	"3"	"18"	"55"	"486"
"160"	"135"	""	"379"	"367"	"15"	"3"	"1"	"3"	"3"	"2"	"1"	"9"	"783"
"161"	"136"	""	"128"	"232"	"9"	"21"	"4"	"10"	"2"	"5"	"16"	"21"	"448"
"162"	"137"	""	"194"	"425"	"19"	"4"	"1"	"9"	"2"	"3"	"6"	"19"	"682"
"163"	"138"	""	"60"	"247"	"21"	"12"	"10"	"4"	"4"	"6"	"12"	"33"	"409"
"164"	"10"	""	"3196"	"3054"	"147"	"101"	"44"	"69"	"33"	"45"	"136"	"250"	"7075"
"165"	"139"	""	"65"	"133"	"18"	"3"	"0"	"1"	"1"	"2"	"1"	"6"	"230"
"166"	"140"	""	"94"	"206"	"1"	"3"	"3"	"2"	"2"	"5"	"12"	"7"	"335"
"167"	"141"	""	"80"	"271"	"25"	"5"	"10"	"11"	"5"	"12"	"13"	"39"	"471"
"168"	"142"	""	"260"	"151"	"10"	"4"	"6"	"5"	"1"	"5"	"13"	"13"	"468"
"169"	"143"	""	"254"	"117"	"0"	"4"	"2"	"5"	"0"	"3"	"13"	"55"	"453"
"170"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"172"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"173"	"144"	""	"259"	"222"	"6"	"9"	"8"	"12"	"4"	"7"	"7"	"11"	"545"
"174"	"145"	""	"162"	"348"	"25"	"9"	"6"	"12"	"4"	"7"	"18"	"40"	"631"
"175"	"146"	""	"132"	"442"	"17"	"12"	"4"	"9"	"3"	"11"	"11"	"22"	"663"
"176"	"147"	""	"134"	"241"	"17"	"5"	"1"	"8"	"0"	"6"	"3"	"21"	"436"
"177"	"148"	""	"58"	"195"	"9"	"6"	"1"	"4"	"0"	"8"	"14"	"8"	"303"
"178"	"149"	""	"52"	"110"	"1"	"17"	"1"	"1"	"0"	"3"	"3"	"2"	"190"
"179"	"150"	""	"119"	"320"	"11"	"30"	"11"	"16"	"8"	"7"	"8"	"11"	"541"
"180"	"151"	""	"38"	"202"	"88"	"16"	"4"	"10"	"1"	"5"	"2"	"12"	"378"
"181"	"152"	""	"13"	"390"	"8"	"10"	"3"	"1"	"1"	"1"	"2"	"8"	"437"
"182"	"11"	""	"1720"	"3348"	"236"	"133"	"60"	"97"	"30"	"82"	"120"	"255"	"6081"
"183"	"153"	""	"88"	"387"	"163"	"8"	"5"	"6"	"3"	"3"	"4"	"20"	"687"
"184"	"154"	""	"69"	"305"	"11"	"6"	"1"	"6"	"2"	"1"	"9"	"5"	"415"
"185"	"155"	""	"450"	"109"	"12"	"4"	"4"	"0"	"2"	"5"	"13"	"20"	"619"
"186"	"156"	""	"88"	"305"	"1"	"7"	"1"	"1"	"2"	"6"	"9"	"12"	"432"
"187"	"157"	""	"328"	"104"	"2"	"3"	"0"	"1"	"0"	"1"	"7"	"8"	"454"
"188"	"158"	""	"115"	"227"	"7"	"2"	"1"	"3"	"0"	"2"	"9"	"2"	"368"
"189"	"159"	""	"127"	"231"	"5"	"1"	"0"	"0"	"0"	"4"	"15"	"4"	"387"
"190"	"160"	""	"103"	"431"	"28"	"1"	"4"	"6"	"3"	"7"	"17"	"20"	"620"
"191"	"161"	""	"404"	"153"	"12"	"7"	"6"	"8"	"2"	"9"	"24"	"31"	"656"
"192"	"162"	""	"98"	"277"	"11"	"9"	"1"	"5"	"0"	"4"	"7"	"6"	"418"
"193"	"163"	""	"147"	"311"	"13"	"61"	"6"	"13"	"5"	"9"	"42"	"87"	"694"
"194"	"164"	""	"175"	"137"	"8"	"31"	"1"	"7"	"2"	"6"	"9"	"5"	"381"
"195"	"165"	""	"213"	"260"	"4"	"14"	"3"	"3"	"3"	"4"	"12"	"20"	"536"
"196"	"166"	""	"126"	"230"	"4"	"115"	"2"	"3"	"0"	"4"	"8"	"9"	"501"
"197"	"12"	""	"2531"	"3467"	"281"	"269"	"35"	"62"	"24"	"65"	"185"	"249"	"7168"
"198"	"167"	""	"304"	"231"	"5"	"13"	"2"	"7"	"5"	"0"	"9"	"10"	"586"
"199"	"168"	""	"113"	"302"	"6"	"11"	"1"	"2"	"2"	"5"	"7"	"8"	"457"
"200"	"169"	""	"260"	"111"	"0"	"9"	"1"	"2"	"0"	"2"	"3"	"4"	"392"
"201"	"170"	""	"229"	"197"	"7"	"236"	"3"	"11"	"4"	"7"	"10"	"22"	"726"
"202"	"171"	""	"116"	"296"	"15"	"174"	"6"	"13"	"3"	"9"	"17"	"57"	"706"
"203"	"172"	""	"181"	"79"	"2"	"32"	"3"	"6"	"0"	"9"	"11"	"164"	"487"
"204"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"205"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"206"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"207"	"173"	""	"167"	"26"	"1"	"26"	"3"	"2"	"0"	"6"	"7"	"276"	"514"
"208"	"174"	""	"112"	"240"	"4"	"29"	"2"	"4"	"0"	"1"	"4"	"7"	"403"
"209"	"175"	""	"376"	"88"	"6"	"67"	"1"	"2"	"1"	"5"	"9"	"7"	"562"
"210"	"176"	""	"351"	"109"	"2"	"21"	"1"	"2"	"1"	"5"	"10"	"42"	"544"
"211"	"177"	""	"472"	"99"	"6"	"9"	"6"	"3"	"1"	"1"	"14"	"19"	"630"
"212"	"178"	""	"295"	"161"	"6"	"5"	"3"	"3"	"2"	"1"	"7"	"10"	"493"
"213"	"179"	""	"453"	"161"	"17"	"12"	"7"	"7"	"2"	"5"	"19"	"23"	"706"
"214"	"180"	""	"179"	"122"	"2"	"7"	"0"	"1"	"2"	"3"	"3"	"14"	"333"
"215"	"13"	""	"3608"	"2222"	"79"	"651"	"39"	"65"	"23"	"59"	"130"	"663"	"7539"
"216"	"181"	""	"218"	"111"	"6"	"3"	"1"	"3"	"2"	"4"	"9"	"5"	"362"
"217"	"182"	""	"186"	"405"	"17"	"5"	"0"	"4"	"0"	"4"	"10"	"13"	"644"
"218"	"183"	""	"304"	"225"	"7"	"8"	"9"	"5"	"2"	"7"	"10"	"15"	"592"
"219"	"184"	""	"252"	"292"	"8"	"19"	"3"	"3"	"1"	"4"	"16"	"14"	"612"
"220"	"185"	""	"392"	"143"	"6"	"9"	"3"	"9"	"1"	"9"	"21"	"45"	"638"
"221"	"186"	""	"186"	"207"	"7"	"1"	"3"	"4"	"3"	"3"	"15"	"6"	"435"
"222"	"187"	""	"258"	"191"	"2"	"6"	"3"	"1"	"3"	"2"	"5"	"14"	"485"
"223"	"188"	""	"298"	"109"	"2"	"3"	"1"	"4"	"1"	"2"	"3"	"23"	"446"
"224"	"189"	""	"130"	"248"	"12"	"150"	"4"	"6"	"3"	"1"	"7"	"12"	"573"
"225"	"190"	""	"157"	"211"	"4"	"28"	"1"	"1"	"0"	"2"	"3"	"2"	"409"
"226"	"191"	""	"210"	"156"	"5"	"8"	"7"	"4"	"1"	"3"	"7"	"70"	"471"
"227"	"192"	""	"263"	"218"	"3"	"9"	"3"	"2"	"2"	"7"	"15"	"8"	"530"
"228"	"193"	""	"291"	"224"	"3"	"12"	"1"	"5"	"1"	"2"	"17"	"17"	"573"
"229"	"14"	""	"3145"	"2740"	"82"	"261"	"39"	"51"	"20"	"50"	"138"	"244"	"6770"
"230"	"194"	""	"307"	"277"	"3"	"3"	"3"	"0"	"1"	"2"	"3"	"7"	"606"
"231"	"195"	""	"347"	"139"	"2"	"23"	"3"	"4"	"4"	"2"	"7"	"12"	"543"
