"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"99&  cSd q. Bi qj  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	"; ksx"	"255"	"1358"	"4463"	"206"	"64"	"84"	"44"	"151"	"121"	""	"33"	"37"	"144"	"113"	"253"	"7326"	""	"7326"	""
"21"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"22"	"d qy  ; ksx"	"255"	"1358"	"4463"	"206"	"64"	"84"	"44"	"151"	""	"121"	"33"	"37"	"144"	"113"	"253"	"7326"	""	"7326"	""
"23"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"24"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"25"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"26"	"15"	"12"	"63"	"271"	"12"	"4"	"0"	"5"	"6"	"3"	""	"1"	"1"	"13"	"6"	"18"	"415"	""	"415"	""
"27"	"16"	"18"	"179"	"479"	"9"	"9"	"6"	"4"	"16"	"6"	""	"2"	"3"	"7"	"2"	"15"	"755"	""	"755"	""
"28"	"17"	"16"	"68"	"426"	"10"	"8"	"6"	"5"	"14"	"9"	""	"2"	"5"	"8"	"6"	"10"	"593"	""	"593"	""
"29"	"18"	"8"	"97"	"232"	"3"	"9"	"3"	"1"	"3"	"3"	""	"2"	"2"	"3"	"5"	"3"	"374"	""	"374"	""
"30"	"19"	"6"	"82"	"79"	"8"	"34"	"1"	"1"	"2"	"1"	""	"0"	"0"	"2"	"4"	"6"	"226"	""	"226"	""
"31"	"20"	"8"	"70"	"171"	"2"	"18"	"0"	"0"	"2"	"0"	""	"2"	"0"	"2"	"2"	"6"	"283"	""	"283"	""
"32"	"21"	"7"	"77"	"331"	"9"	"0"	"3"	"1"	"3"	"3"	""	"1"	"4"	"9"	"4"	"13"	"465"	""	"465"	""
"33"	"22"	"1"	"90"	"229"	"8"	"1"	"0"	"0"	"3"	"2"	""	"4"	"2"	"3"	"2"	"4"	"349"	""	"349"	""
"34"	"23"	"14"	"94"	"349"	"27"	"4"	"7"	"1"	"9"	"6"	""	"2"	"2"	"6"	"3"	"0"	"524"	""	"524"	""
"35"	"24"	"11"	"142"	"388"	"9"	"10"	"3"	"0"	"10"	"1"	""	"0"	"0"	"3"	"1"	"3"	"581"	""	"581"	""
"36"	"25"	"20"	"76"	"341"	"6"	"3"	"4"	"3"	"10"	"2"	""	"2"	"3"	"4"	"2"	"7"	"483"	""	"483"	""
"37"	"26"	"16"	"22"	"441"	"4"	"4"	"1"	"0"	"8"	"6"	""	"1"	"2"	"17"	"8"	"8"	"538"	""	"538"	""
"38"	"27"	"14"	"82"	"397"	"8"	"1"	"2"	"2"	"5"	"2"	""	"2"	"4"	"15"	"5"	"13"	"552"	""	"552"	""
"39"	"28"	"6"	"16"	"295"	"6"	"1"	"3"	"1"	"4"	"3"	""	"3"	"3"	"11"	"0"	"5"	"357"	""	"357"	""
"40"	"; ksx"	"157"	"1158"	"4429"	"121"	"106"	"39"	"24"	"95"	"47"	""	"24"	"31"	"103"	"50"	"111"	"6495"	""	"6495"	""
"41"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"255"	"1358"	"4463"	"206"	"64"	"84"	"44"	"151"	"121"	""	"33"	"37"	"144"	"113"	"253"	"7326"	"0"	"7326"	"0"
"42"	"d qy  ; ksx"	"412"	"2516"	"8892"	"327"	"170"	"123"	"68"	"246"	"168"	""	"57"	"68"	"247"	"163"	"364"	"13821"	"0"	"13821"	"0"
"43"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"44"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"46"	"29"	"12"	"72"	"267"	"2"	"13"	"4"	"4"	"9"	"4"	""	"0"	"4"	"10"	"5"	"7"	"413"	""	"413"	""
"47"	"30"	"7"	"32"	"485"	"7"	"2"	"3"	"1"	"3"	"5"	""	"0"	"2"	"5"	"4"	"12"	"568"	""	"568"	""
"48"	"31"	"15"	"117"	"318"	"5"	"4"	"4"	"5"	"8"	"6"	""	"8"	"7"	"16"	"12"	"19"	"544"	""	"544"	""
"49"	"32"	"13"	"33"	"295"	"10"	"4"	"3"	"2"	"5"	"6"	""	"1"	"3"	"10"	"9"	"31"	"425"	""	"425"	""
"50"	"33"	"23"	"147"	"449"	"20"	"5"	"10"	"3"	"7"	"3"	""	"1"	"1"	"8"	"7"	"6"	"690"	""	"690"	""
"51"	"34"	"13"	"64"	"404"	"26"	"4"	"6"	"1"	"6"	"2"	""	"0"	"1"	"8"	"0"	"5"	"540"	""	"540"	""
"52"	"35"	"13"	"63"	"300"	"15"	"4"	"3"	"5"	"11"	"9"	""	"4"	"2"	"14"	"5"	"28"	"476"	""	"476"	""
"53"	"36"	"14"	"223"	"191"	"15"	"4"	"0"	"4"	"6"	"7"	""	"4"	"3"	"9"	"11"	"18"	"509"	""	"509"	""
"54"	"37"	"7"	"93"	"198"	"11"	"1"	"1"	"0"	"6"	"6"	""	"3"	"2"	"9"	"12"	"21"	"370"	""	"370"	""
"55"	"38"	"15"	"47"	"365"	"36"	"3"	"10"	"0"	"8"	"2"	""	"1"	"2"	"8"	"6"	"12"	"515"	""	"515"	""
"56"	"39"	"17"	"120"	"382"	"33"	"5"	"3"	"1"	"10"	"10"	""	"3"	"6"	"22"	"14"	"29"	"655"	""	"655"	""
"57"	"40"	"29"	"134"	"602"	"8"	"2"	"3"	"3"	"10"	"1"	""	"0"	"1"	"4"	"1"	"2"	"800"	""	"800"	""
"58"	"41"	"3"	"95"	"177"	"6"	"0"	"1"	"9"	"8"	"4"	""	"1"	"1"	"6"	"3"	"4"	"318"	""	"318"	""
"59"	"42"	"11"	"105"	"239"	"4"	"1"	"1"	"2"	"9"	"9"	""	"3"	"4"	"5"	"2"	"7"	"402"	""	"402"	""
"60"	"; ksx"	"192"	"1345"	"4672"	"198"	"52"	"52"	"40"	"106"	"74"	""	"29"	"39"	"134"	"91"	"201"	"7225"	""	"7225"	""
"61"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"412"	"2516"	"8892"	"327"	"170"	"123"	"68"	"246"	"168"	""	"57"	"68"	"247"	"163"	"364"	"13821"	"0"	"13821"	"0"
"62"	"d qy  ; ksx"	"604"	"3861"	"13564"	"525"	"222"	"175"	"108"	"352"	"242"	""	"86"	"107"	"381"	"254"	"565"	"21046"	""	"21046"	""
"63"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"64"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"65"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"66"	"43"	"24"	"138"	"212"	"11"	"1"	"2"	"4"	"1"	"4"	""	"0"	"2"	"5"	"3"	"14"	"421"	""	"421"	""
"67"	"44"	"26"	"276"	"408"	"14"	"0"	"7"	"8"	"6"	"6"	""	"2"	"0"	"0"	"4"	"8"	"765"	""	"765"	""
"68"	"45"	"25"	"136"	"263"	"9"	"2"	"1"	"5"	"6"	"4"	""	"1"	"0"	"15"	"10"	"21"	"498"	""	"498"	""
"69"	"46"	"24"	"268"	"292"	"8"	"7"	"1"	"11"	"9"	"12"	""	"4"	"5"	"22"	"28"	"36"	"727"	""	"727"	""
"70"	"47"	"10"	"123"	"317"	"2"	"2"	"2"	"3"	"5"	"7"	""	"0"	"3"	"9"	"12"	"9"	"504"	""	"504"	""
"71"	"48"	"16"	"153"	"523"	"5"	"0"	"4"	"2"	"11"	"1"	""	"0"	"0"	"5"	"1"	"22"	"743"	""	"743"	""
"72"	"49"	"9"	"61"	"158"	"4"	"1"	"2"	"1"	"4"	"2"	""	"0"	"0"	"0"	"2"	"3"	"247"	""	"247"	""
"73"	"50"	"20"	"170"	"275"	"10"	"6"	"11"	"4"	"12"	"4"	""	"1"	"2"	"5"	"2"	"3"	"525"	""	"525"	""
"74"	"51"	"19"	"77"	"251"	"4"	"0"	"4"	"0"	"2"	"3"	""	"1"	"5"	"18"	"12"	"7"	"403"	""	"403"	""
"75"	"52"	"19"	"263"	"268"	"11"	"1"	"6"	"9"	"8"	"6"	""	"0"	"4"	"9"	"11"	"22"	"637"	""	"637"	""
"76"	"53"	"10"	"201"	"380"	"5"	"4"	"4"	"2"	"4"	"4"	""	"2"	"1"	"7"	"2"	"6"	"632"	""	"632"	""
"77"	"54"	"5"	"63"	"350"	"7"	"1"	"3"	"1"	"2"	"3"	""	"0"	"0"	"8"	"1"	"9"	"453"	""	"453"	""
"78"	"55"	"18"	"206"	"321"	"7"	"5"	"4"	"3"	"11"	"4"	""	"1"	"2"	"13"	"4"	"17"	"616"	""	"616"	""
"79"	"56"	"16"	"182"	"299"	"1"	"1"	"2"	"0"	"5"	"2"	""	"1"	"1"	"3"	"0"	"3"	"516"	""	"516"	""
"80"	"; ksx"	"241"	"2317"	"4317"	"98"	"31"	"53"	"53"	"86"	"62"	""	"13"	"25"	"119"	"92"	"180"	"7687"	""	"7687"	""
"81"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"604"	"3861"	"13564"	"525"	"222"	"175"	"108"	"352"	"242"	""	"86"	"107"	"381"	"254"	"565"	"21046"	"0"	"21046"	""
"82"	"d qy  ; ksx"	"845"	"6178"	"17881"	"623"	"253"	"228"	"161"	"438"	"304"	""	"99"	"132"	"500"	"346"	"745"	"28733"	""	"28733"	""
"83"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"84"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"86"	"57"	"14"	"182"	"498"	"5"	"0"	"4"	"4"	"14"	"5"	""	"3"	"1"	"9"	"6"	"12"	"757"	""	"757"	""
"87"	"58"	"11"	"153"	"99"	"6"	"2"	"1"	"0"	"7"	"2"	""	"1"	"4"	"4"	"3"	"5"	"298"	""	"298"	""
"88"	"59"	"16"	"198"	"348"	"17"	"4"	"6"	"2"	"9"	"3"	""	"1"	"6"	"5"	"12"	"10"	"637"	""	"637"	""
"89"	"60"	"33"	"93"	"396"	"6"	"1"	"3"	"2"	"8"	"8"	""	"1"	"3"	"17"	"15"	"23"	"609"	""	"609"	""
"90"	"61"	"9"	"113"	"326"	"7"	"2"	"4"	"2"	"9"	"3"	""	"0"	"2"	"13"	"4"	"6"	"500"	""	"500"	""
"91"	"62"	"6"	"68"	"251"	"9"	"0"	"5"	"1"	"7"	"1"	""	"0"	"0"	"10"	"2"	"11"	"371"	""	"371"	""
"92"	"63"	"11"	"84"	"466"	"11"	"0"	"2"	"2"	"7"	"6"	""	"1"	"0"	"5"	"2"	"6"	"603"	""	"603"	""
"93"	"64"	"14"	"139"	"383"	"7"	"3"	"4"	"4"	"11"	"7"	""	"5"	"8"	"26"	"14"	"19"	"644"	""	"644"	""
"94"	"65"	"13"	"81"	"481"	"7"	"2"	"2"	"5"	"15"	"12"	""	"3"	"3"	"23"	"19"	"22"	"688"	""	"688"	""
"95"	"66"	"8"	"53"	"360"	"7"	"5"	"6"	"3"	"6"	"4"	""	"5"	"1"	"4"	"10"	"12"	"484"	""	"484"	""
"96"	"67"	"27"	"96"	"408"	"9"	"1"	"11"	"2"	"7"	"5"	""	"3"	"4"	"28"	"18"	"39"	"658"	""	"658"	""
"97"	"68"	"48"	"152"	"385"	"12"	"4"	"5"	"7"	"18"	"7"	""	"5"	"3"	"15"	"16"	"14"	"691"	""	"691"	""
"98"	"69"	"11"	"202"	"182"	"4"	"3"	"1"	"1"	"2"	"3"	""	"0"	"3"	"14"	"4"	"12"	"442"	""	"442"	""
"99"	"70"	"18"	"41"	"355"	"8"	"4"	"2"	"4"	"8"	"1"	""	"3"	"1"	"12"	"4"	"16"	"477"	""	"477"	""
"100"	"; ksx"	"239"	"1655"	"4938"	"115"	"31"	"56"	"39"	"128"	"67"	""	"31"	"39"	"185"	"129"	"207"	"7859"	""	"7859"	""
"101"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"845"	"6178"	"17881"	"623"	"253"	"228"	"161"	"438"	"304"	""	"99"	"132"	"500"	"346"	"745"	"28733"	"0"	"28733"	""
"102"	"d qy  ; ksx"	"1084"	"7833"	"22819"	"738"	"284"	"284"	"200"	"566"	"371"	""	"130"	"171"	"685"	"475"	"952"	"36592"	""	"36592"	""
"103"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"104"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"105"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"106"	"71"	"63"	"249"	"203"	"12"	"4"	"3"	"7"	"7"	"4"	""	"6"	"9"	"24"	"30"	"35"	"656"	""	"656"	""
"107"	"72"	"28"	"236"	"369"	"18"	"14"	"9"	"4"	"9"	"3"	""	"2"	"3"	"9"	"6"	"19"	"729"	""	"729"	""
"108"	"73"	"14"	"138"	"235"	"6"	"5"	"5"	"5"	"9"	"4"	""	"7"	"5"	"27"	"22"	"34"	"516"	""	"516"	""
"109"	"74"	"6"	"43"	"220"	"2"	"0"	"1"	"0"	"2"	"2"	""	"0"	"3"	"0"	"3"	"5"	"287"	""	"287"	""
"110"	"75"	"44"	"66"	"239"	"1"	"3"	"8"	"2"	"5"	"1"	""	"0"	"0"	"4"	"1"	"15"	"389"	""	"389"	""
"111"	"76"	"9"	"224"	"353"	"3"	"2"	"5"	"1"	"5"	"3"	""	"2"	"0"	"9"	"6"	"4"	"626"	""	"626"	""
"112"	"77"	"11"	"99"	"266"	"12"	"1"	"4"	"1"	"3"	"0"	""	"0"	"4"	"0"	"2"	"4"	"407"	""	"407"	""
"113"	"78"	"0"	"14"	"658"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"1"	"2"	"2"	"677"	""	"677"	""
"114"	"79"	"31"	"178"	"444"	"14"	"0"	"3"	"6"	"16"	"7"	""	"2"	"6"	"5"	"7"	"14"	"733"	""	"733"	""
"115"	"80"	"11"	"142"	"287"	"13"	"1"	"1"	"2"	"2"	"1"	""	"0"	"1"	"2"	"4"	"8"	"475"	""	"475"	""
"116"	"81"	"20"	"147"	"228"	"10"	"2"	"2"	"4"	"5"	"1"	""	"0"	"1"	"5"	"0"	"7"	"432"	""	"432"	""
"117"	"82"	"22"	"303"	"274"	"6"	"4"	"1"	"3"	"14"	"2"	""	"1"	"2"	"4"	"9"	"17"	"662"	""	"662"	""
"118"	"83"	"9"	"252"	"304"	"23"	"3"	"2"	"6"	"6"	"5"	""	"1"	"3"	"8"	"12"	"27"	"661"	""	"661"	""
"119"	"84"	"29"	"199"	"250"	"2"	"4"	"5"	"1"	"10"	"3"	""	"0"	"1"	"3"	"2"	"16"	"525"	""	"525"	""
"120"	"; ksx"	"297"	"2290"	"4330"	"122"	"43"	"49"	"42"	"93"	"36"	""	"21"	"38"	"101"	"106"	"207"	"7775"	""	"7775"	""
"121"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1084"	"7833"	"22819"	"738"	"284"	"284"	"200"	"566"	"371"	""	"130"	"171"	"685"	"475"	"952"	"36592"	"0"	"36592"	""
"122"	"d qy  ; ksx"	"1381"	"10123"	"27149"	"860"	"327"	"333"	"242"	"659"	"407"	""	"151"	"209"	"786"	"581"	"1159"	"44367"	""	"44367"	""
"123"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"124"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"126"	"85"	"9"	"38"	"653"	"3"	"2"	"3"	"3"	"13"	"8"	""	"3"	"2"	"24"	"5"	"13"	"779"	""	"779"	""
"127"	"86"	"17"	"290"	"144"	"12"	"6"	"2"	"1"	"2"	"1"	""	"4"	"6"	"15"	"17"	"13"	"530"	""	"530"	""
"128"	"87"	"17"	"137"	"254"	"11"	"3"	"5"	"8"	"8"	"7"	""	"5"	"5"	"26"	"7"	"30"	"523"	""	"523"	""
"129"	"88"	"25"	"163"	"292"	"14"	"3"	"1"	"6"	"8"	"5"	""	"4"	"7"	"8"	"11"	"16"	"563"	""	"563"	""
"130"	"89"	"28"	"105"	"395"	"8"	"3"	"8"	"2"	"7"	"9"	""	"2"	"5"	"18"	"9"	"17"	"616"	""	"616"	""
"131"	"90"	"12"	"350"	"77"	"4"	"3"	"2"	"5"	"1"	"2"	""	"3"	"2"	"5"	"3"	"5"	"474"	""	"474"	""
"132"	"91"	"12"	"297"	"72"	"6"	"2"	"1"	"3"	"2"	"3"	""	"2"	"1"	"3"	"18"	"7"	"429"	""	"429"	""
"133"	"92"	"8"	"120"	"219"	"1"	"26"	"2"	"0"	"4"	"2"	""	"2"	"1"	"6"	"8"	"10"	"409"	""	"409"	""
"134"	"93"	"11"	"68"	"209"	"3"	"5"	"5"	"1"	"1"	"3"	""	"4"	"3"	"11"	"5"	"28"	"357"	""	"357"	""
"135"	"94"	"11"	"68"	"401"	"4"	"2"	"3"	"5"	"8"	"0"	""	"2"	"4"	"14"	"2"	"15"	"539"	""	"539"	""
"136"	"95"	"44"	"157"	"411"	"8"	"5"	"8"	"2"	"8"	"4"	""	"2"	"4"	"8"	"9"	"165"	"835"	""	"835"	""
"137"	"96"	"26"	"235"	"417"	"6"	"2"	"3"	"1"	"2"	"3"	""	"1"	"2"	"17"	"17"	"22"	"754"	""	"754"	""
"138"	"97"	"11"	"108"	"328"	"8"	"3"	"4"	"0"	"2"	"0"	""	"1"	"0"	"8"	"4"	"9"	"486"	""	"486"	""
"139"	"98"	"8"	"101"	"270"	"20"	"1"	"2"	"1"	"6"	"0"	""	"0"	"2"	"8"	"5"	"12"	"436"	""	"436"	""
"140"	"; ksx"	"239"	"2237"	"4142"	"108"	"66"	"49"	"38"	"72"	"47"	""	"35"	"44"	"171"	"120"	"362"	"7730"	""	"7730"	""
"141"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1381"	"10123"	"27149"	"860"	"327"	"333"	"242"	"659"	"407"	""	"151"	"209"	"786"	"581"	"1159"	"44367"	"0"	"44367"	"0"
"142"	"d qy  ; ksx"	"1620"	"12360"	"31291"	"968"	"393"	"382"	"280"	"731"	"454"	""	"186"	"253"	"957"	"701"	"1521"	"52097"	""	"52097"	""
