"No....Name.of.Assembly.Constituency...222.Kutumba.sc."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"17"	"222"	"16"	""	"25"	"23"	"2"	"171"	"163"	"12"	"1"	"9"	"5"	"11"	"438"	"16"
"18"	"222"	"17"	""	"8"	"13"	"2"	"341"	"34"	"0"	"3"	"8"	"6"	"5"	"437"	"17"
"19"	"222"	"18"	""	"7"	"41"	"3"	"140"	"62"	"3"	"2"	"3"	"2"	"8"	"289"	"18"
"20"	"222"	"19"	""	"2"	"18"	"1"	"182"	"255"	"6"	"2"	"5"	"3"	"10"	"503"	"19"
"21"	"222"	"20"	""	"18"	"5"	"5"	"265"	"142"	"6"	"7"	"5"	"5"	"17"	"495"	"20"
"22"	"222"	"21"	""	"5"	"63"	"2"	"130"	"83"	"4"	"1"	"1"	"6"	"5"	"321"	"21"
"23"	"222"	"22"	""	"10"	"55"	"2"	"171"	"53"	"1"	"1"	"0"	"2"	"1"	"318"	"22"
"24"	"222"	"23"	""	"2"	"34"	"4"	"127"	"22"	"1"	"1"	"1"	"0"	"3"	"218"	"23"
"25"	"222"	"24"	""	"13"	"74"	"10"	"184"	"113"	"9"	"14"	"8"	"21"	"13"	"483"	"24"
"26"	"222"	"25"	""	"9"	"46"	"4"	"295"	"87"	"26"	"8"	"0"	"15"	"12"	"527"	"25"
"27"	"222"	"26"	""	"9"	"12"	"3"	"160"	"91"	"6"	"6"	"2"	"3"	"14"	"332"	"26"
"28"	"222"	"27"	""	"41"	"3"	"0"	"26"	"137"	"10"	"2"	"4"	"3"	"5"	"258"	"27"
"29"	"222"	"28"	""	"7"	"68"	"6"	"180"	"77"	"113"	"10"	"5"	"9"	"13"	"516"	"28"
"30"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"32"	"222"	"29"	""	"2"	"48"	"3"	"36"	"116"	"4"	"4"	"1"	"1"	"5"	"249"	"29"
"33"	"222"	"30"	""	"7"	"25"	"7"	"144"	"166"	"1"	"1"	"1"	"3"	"1"	"386"	"30"
"34"	"222"	"31"	""	"9"	"48"	"1"	"167"	"50"	"8"	"6"	"4"	"9"	"7"	"340"	"31"
"35"	"222"	"31"	"A"	"14"	"31"	"8"	"66"	"163"	"17"	"4"	"2"	"5"	"14"	"355"	"32"
"36"	"222"	"32"	""	"20"	"38"	"7"	"319"	"121"	"6"	"9"	"3"	"5"	"14"	"574"	"33"
"37"	"222"	"33"	""	"7"	"4"	"3"	"16"	"173"	"4"	"0"	"1"	"1"	"4"	"246"	"34"
"38"	"222"	"34"	""	"2"	"27"	"2"	"142"	"34"	"5"	"5"	"2"	"1"	"2"	"256"	"35"
"39"	"222"	"35"	""	"17"	"10"	"1"	"264"	"135"	"20"	"10"	"5"	"4"	"25"	"526"	"36"
"40"	"222"	"36"	""	"6"	"8"	"1"	"115"	"66"	"5"	"3"	"2"	"7"	"9"	"258"	"37"
"41"	"222"	"37"	""	"16"	"38"	"7"	"200"	"99"	"10"	"3"	"3"	"11"	"15"	"439"	"38"
"42"	"222"	"38"	""	"12"	"4"	"4"	"161"	"143"	"12"	"10"	"3"	"7"	"18"	"412"	"39"
"43"	"222"	"39"	""	"5"	"7"	"2"	"73"	"119"	"7"	"4"	"3"	"4"	"0"	"263"	"40"
"44"	"222"	"40"	""	"4"	"0"	"1"	"83"	"25"	"3"	"4"	"2"	"1"	"20"	"183"	"41"
"45"	"222"	"41"	""	"23"	"16"	"5"	"118"	"208"	"14"	"11"	"2"	"6"	"7"	"451"	"42"
"46"	"222"	"42"	""	"7"	"37"	"3"	"89"	"63"	"5"	"0"	"0"	"2"	"3"	"251"	"43"
"47"	"222"	"43"	""	"3"	"25"	"1"	"79"	"68"	"7"	"3"	"2"	"2"	"5"	"238"	"44"
"48"	"222"	"44"	""	"32"	"10"	"9"	"292"	"114"	"15"	"5"	"6"	"9"	"16"	"552"	"45"
"49"	"222"	"45"	""	"25"	"48"	"10"	"308"	"199"	"16"	"7"	"11"	"18"	"30"	"717"	"46"
"50"	"222"	"46"	""	"12"	"28"	"7"	"210"	"82"	"12"	"11"	"8"	"9"	"31"	"456"	"47"
"51"	"222"	"47"	""	"3"	"9"	"1"	"302"	"92"	"12"	"7"	"7"	"6"	"10"	"496"	"48"
"52"	"222"	"48"	""	"5"	"47"	"5"	"137"	"397"	"11"	"4"	"5"	"1"	"3"	"663"	"49"
"53"	"222"	"49"	""	"16"	"82"	"10"	"176"	"264"	"9"	"3"	"3"	"7"	"3"	"622"	"50"
"54"	"222"	"50"	""	"8"	"6"	"3"	"101"	"333"	"11"	"3"	"2"	"6"	"13"	"536"	"51"
"55"	"222"	"51"	""	"22"	"16"	"6"	"96"	"289"	"16"	"10"	"3"	"2"	"12"	"523"	"52"
"56"	"222"	"52"	""	"3"	"5"	"7"	"314"	"95"	"3"	"4"	"3"	"8"	"10"	"504"	"53"
"57"	"222"	"52"	"A"	"14"	"16"	"2"	"168"	"113"	"12"	"2"	"5"	"14"	"15"	"413"	"54"
"58"	"222"	"53"	""	"8"	"9"	"2"	"248"	"122"	"6"	"1"	"2"	"6"	"10"	"467"	"55"
"59"	"222"	"54"	""	"10"	"18"	"6"	"387"	"161"	"4"	"4"	"3"	"10"	"7"	"664"	"56"
"60"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"62"	"222"	"55"	""	"21"	"5"	"6"	"257"	"118"	"5"	"8"	"10"	"21"	"26"	"532"	"57"
"63"	"222"	"56"	""	"14"	"27"	"5"	"239"	"149"	"20"	"17"	"15"	"13"	"45"	"600"	"58"
"64"	"222"	"57"	""	"5"	"9"	"8"	"118"	"51"	"9"	"3"	"3"	"3"	"10"	"276"	"59"
"65"	"222"	"58"	""	"7"	"4"	"1"	"172"	"63"	"3"	"9"	"2"	"5"	"7"	"331"	"60"
"66"	"222"	"59"	""	"21"	"37"	"11"	"247"	"143"	"8"	"9"	"10"	"7"	"18"	"570"	"61"
"67"	"222"	"60"	""	"20"	"39"	"2"	"178"	"102"	"1"	"2"	"3"	"1"	"4"	"412"	"62"
"68"	"222"	"61"	""	"17"	"10"	"6"	"248"	"148"	"7"	"11"	"4"	"14"	"21"	"547"	"63"
"69"	"222"	"62"	""	"25"	"38"	"8"	"73"	"175"	"11"	"5"	"5"	"5"	"5"	"412"	"64"
"70"	"222"	"63"	""	"17"	"20"	"4"	"278"	"155"	"6"	"8"	"4"	"12"	"19"	"586"	"65"
"71"	"222"	"64"	""	"17"	"60"	"7"	"75"	"63"	"6"	"2"	"1"	"6"	"8"	"309"	"66"
"72"	"222"	"65"	""	"6"	"17"	"6"	"140"	"96"	"4"	"4"	"1"	"8"	"4"	"351"	"67"
"73"	"222"	"66"	""	"3"	"89"	"2"	"128"	"75"	"3"	"3"	"2"	"2"	"2"	"375"	"68"
"74"	"222"	"67"	""	"28"	"9"	"7"	"104"	"23"	"6"	"2"	"3"	"3"	"7"	"259"	"69"
"75"	"222"	"68"	""	"14"	"13"	"7"	"151"	"152"	"2"	"2"	"1"	"2"	"5"	"417"	"70"
"76"	"222"	"69"	""	"13"	"57"	"6"	"127"	"75"	"9"	"2"	"4"	"5"	"16"	"383"	"71"
"77"	"222"	"70"	""	"39"	"23"	"9"	"380"	"63"	"9"	"10"	"8"	"7"	"14"	"632"	"72"
"78"	"222"	"71"	""	"3"	"61"	"4"	"144"	"33"	"4"	"3"	"1"	"5"	"4"	"333"	"73"
"79"	"222"	"72"	""	"4"	"15"	"1"	"103"	"68"	"8"	"5"	"1"	"4"	"9"	"290"	"74"
"80"	"222"	"73"	""	"17"	"8"	"3"	"52"	"304"	"21"	"5"	"4"	"6"	"8"	"501"	"75"
"81"	"222"	"74"	""	"50"	"19"	"8"	"93"	"312"	"16"	"6"	"8"	"6"	"7"	"599"	"76"
"82"	"222"	"75"	""	"52"	"45"	"5"	"171"	"158"	"9"	"7"	"4"	"10"	"11"	"547"	"77"
"83"	"222"	"76"	""	"15"	"25"	"5"	"346"	"159"	"12"	"4"	"3"	"11"	"6"	"662"	"78"
"84"	"222"	"77"	""	"25"	"39"	"4"	"199"	"123"	"13"	"11"	"11"	"17"	"33"	"552"	"79"
"85"	"222"	"78"	""	"5"	"68"	"3"	"298"	"83"	"3"	"2"	"1"	"3"	"8"	"552"	"80"
"86"	"222"	"79"	""	"41"	"65"	"4"	"197"	"238"	"7"	"4"	"2"	"8"	"14"	"659"	"81"
"87"	"222"	"80"	""	"20"	"26"	"10"	"347"	"316"	"15"	"15"	"4"	"8"	"9"	"850"	"82"
"88"	"222"	"81"	""	"26"	"50"	"9"	"178"	"389"	"18"	"10"	"6"	"11"	"9"	"787"	"83"
"89"	"222"	"82"	""	"33"	"20"	"9"	"206"	"341"	"29"	"12"	"8"	"9"	"18"	"767"	"84"
"90"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"92"	"222"	"83"	""	"11"	"21"	"4"	"292"	"178"	"12"	"7"	"4"	"16"	"17"	"645"	"85"
"93"	"222"	"84"	""	"5"	"5"	"1"	"149"	"73"	"2"	"0"	"1"	"7"	"3"	"330"	"86"
"94"	"222"	"85"	""	"10"	"67"	"4"	"128"	"85"	"7"	"5"	"2"	"4"	"3"	"400"	"87"
"95"	"222"	"86"	""	"43"	"8"	"8"	"165"	"71"	"10"	"9"	"11"	"19"	"20"	"450"	"88"
"96"	"222"	"87"	""	"20"	"15"	"2"	"237"	"126"	"6"	"6"	"3"	"11"	"4"	"517"	"89"
"97"	"222"	"88"	""	"6"	"36"	"2"	"153"	"204"	"21"	"13"	"3"	"8"	"19"	"553"	"90"
"98"	"222"	"89"	""	"12"	"51"	"4"	"103"	"129"	"9"	"3"	"1"	"10"	"11"	"422"	"91"
"99"	"222"	"90"	""	"8"	"11"	"4"	"117"	"47"	"3"	"3"	"0"	"1"	"2"	"286"	"92"
"100"	"222"	"91"	""	"22"	"39"	"0"	"148"	"231"	"18"	"11"	"5"	"19"	"22"	"606"	"93"
"101"	"222"	"92"	""	"0"	"6"	"1"	"139"	"25"	"2"	"0"	"0"	"2"	"0"	"267"	"94"
"102"	"222"	"93"	""	"21"	"2"	"1"	"226"	"149"	"6"	"6"	"4"	"4"	"10"	"522"	"95"
"103"	"222"	"94"	""	"17"	"67"	"4"	"102"	"68"	"4"	"4"	"3"	"4"	"17"	"384"	"96"
"104"	"222"	"95"	""	"31"	"16"	"3"	"134"	"235"	"31"	"11"	"3"	"15"	"21"	"595"	"97"
"105"	"222"	"96"	""	"6"	"12"	"3"	"132"	"50"	"8"	"5"	"5"	"4"	"14"	"335"	"98"
"106"	"222"	"97"	""	"24"	"21"	"6"	"137"	"313"	"26"	"12"	"8"	"13"	"27"	"684"	"99"
"107"	"222"	"98"	""	"4"	"26"	"5"	"41"	"116"	"10"	"1"	"0"	"6"	"12"	"319"	"100"
"108"	"222"	"99"	""	"6"	"24"	"3"	"125"	"116"	"10"	"9"	"7"	"21"	"13"	"433"	"101"
"109"	"222"	"100"	""	"9"	"24"	"7"	"343"	"116"	"14"	"14"	"6"	"22"	"16"	"671"	"102"
"110"	"222"	"101"	""	"32"	"29"	"1"	"209"	"64"	"4"	"8"	"2"	"9"	"6"	"465"	"103"
"111"	"222"	"102"	""	"14"	"41"	"4"	"51"	"210"	"15"	"8"	"6"	"17"	"23"	"491"	"104"
"112"	"222"	"103"	""	"16"	"34"	"2"	"107"	"235"	"10"	"5"	"3"	"14"	"21"	"550"	"105"
"113"	"222"	"104"	""	"6"	"12"	"2"	"108"	"232"	"7"	"3"	"8"	"7"	"8"	"497"	"106"
"114"	"222"	"105"	""	"3"	"56"	"3"	"134"	"97"	"4"	"1"	"2"	"2"	"4"	"411"	"107"
"115"	"222"	"106"	""	"13"	"15"	"4"	"175"	"68"	"5"	"0"	"1"	"5"	"11"	"403"	"108"
"116"	"222"	"107"	""	"10"	"20"	"4"	"340"	"88"	"9"	"6"	"3"	"3"	"9"	"599"	"109"
"117"	"222"	"108"	""	"11"	"91"	"12"	"170"	"57"	"3"	"5"	"5"	"10"	"18"	"490"	"110"
"118"	"222"	"109"	""	"7"	"5"	"3"	"236"	"106"	"4"	"5"	"1"	"9"	"4"	"489"	"111"
"119"	"222"	"110"	""	"80"	"23"	"1"	"158"	"177"	"14"	"4"	"7"	"5"	"18"	"597"	"112"
"120"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"122"	"222"	"111"	""	"15"	"20"	"4"	"187"	"87"	"2"	"17"	"9"	"11"	"22"	"485"	"113"
"123"	"222"	"112"	""	"32"	"62"	"2"	"162"	"147"	"9"	"10"	"7"	"11"	"19"	"573"	"114"
"124"	"222"	"113"	""	"17"	"18"	"3"	"166"	"154"	"15"	"8"	"4"	"11"	"16"	"525"	"115"
"125"	"222"	"114"	""	"11"	"12"	"3"	"131"	"81"	"9"	"6"	"5"	"9"	"9"	"390"	"116"
"126"	"222"	"115"	""	"18"	"14"	"1"	"48"	"145"	"17"	"0"	"0"	"2"	"5"	"365"	"117"
"127"	"222"	"116"	""	"9"	"36"	"8"	"219"	"188"	"11"	"4"	"3"	"8"	"15"	"617"	"118"
"128"	"222"	"117"	""	"13"	"29"	"3"	"101"	"127"	"13"	"5"	"6"	"10"	"21"	"445"	"119"
"129"	"222"	"118"	""	"2"	"19"	"1"	"51"	"83"	"3"	"0"	"3"	"2"	"5"	"287"	"120"
"130"	"222"	"119"	""	"17"	"18"	"2"	"370"	"137"	"14"	"12"	"8"	"13"	"19"	"729"	"121"
"131"	"222"	"120"	""	"15"	"1"	"3"	"120"	"105"	"12"	"3"	"4"	"6"	"14"	"403"	"122"
"132"	"222"	"121"	""	"11"	"9"	"3"	"174"	"202"	"13"	"7"	"1"	"2"	"6"	"549"	"123"
"133"	"222"	"122"	""	"15"	"68"	"7"	"236"	"44"	"3"	"6"	"3"	"11"	"7"	"522"	"124"
"134"	"222"	"123"	""	"28"	"21"	"10"	"381"	"129"	"13"	"31"	"6"	"14"	"8"	"764"	"125"
"135"	"222"	"124"	""	"11"	"72"	"9"	"401"	"167"	"9"	"8"	"8"	"16"	"18"	"843"	"126"
"136"	"222"	"125"	""	"24"	"66"	"12"	"320"	"128"	"6"	"9"	"6"	"18"	"18"	"732"	"127"
"137"	"222"	"126"	""	"11"	"27"	"3"	"196"	"77"	"5"	"3"	"4"	"6"	"4"	"462"	"128"
"138"	"222"	"127"	""	"49"	"173"	"14"	"244"	"113"	"6"	"10"	"5"	"9"	"8"	"758"	"129"
"139"	"222"	"128"	""	"17"	"30"	"6"	"174"	"240"	"11"	"3"	"5"	"9"	"11"	"634"	"130"
"140"	"222"	"129"	""	"19"	"34"	"6"	"139"	"102"	"8"	"4"	"1"	"7"	"4"	"453"	"131"
"141"	"222"	"130"	""	"8"	"3"	"1"	"206"	"33"	"5"	"8"	"1"	"7"	"4"	"406"	"132"
"142"	"222"	"131"	""	"22"	"10"	"8"	"207"	"52"	"6"	"4"	"2"	"9"	"15"	"466"	"133"
"143"	"222"	"132"	""	"12"	"34"	"3"	"363"	"195"	"14"	"9"	"6"	"11"	"10"	"789"	"134"
"144"	"222"	"133"	""	"24"	"27"	"5"	"264"	"56"	"5"	"2"	"1"	"12"	"5"	"534"	"135"
"145"	"222"	"134"	""	"4"	"17"	"0"	"242"	"7"	"1"	"2"	"1"	"2"	"2"	"412"	"136"
"146"	"222"	"135"	""	"13"	"16"	"0"	"54"	"73"	"5"	"1"	"2"	"3"	"4"	"306"	"137"
"147"	"222"	"136"	""	"8"	"114"	"5"	"148"	"55"	"3"	"2"	"4"	"5"	"4"	"484"	"138"
"148"	"222"	"137"	""	"17"	"82"	"4"	"91"	"129"	"13"	"6"	"6"	"10"	"7"	"502"	"139"
"149"	"222"	"138"	""	"6"	"16"	"2"	"131"	"166"	"12"	"4"	"3"	"6"	"11"	"495"	"140"
"150"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"152"	"222"	"139"	""	"5"	"47"	"2"	"135"	"29"	"3"	"7"	"2"	"8"	"8"	"385"	"141"
"153"	"222"	"140"	""	"14"	"67"	"3"	"211"	"52"	"3"	"8"	"0"	"8"	"18"	"524"	"142"
"154"	"222"	"141"	""	"3"	"22"	"2"	"119"	"118"	"8"	"1"	"3"	"6"	"6"	"429"	"143"
"155"	"222"	"142"	""	"33"	"47"	"11"	"172"	"239"	"8"	"6"	"2"	"8"	"10"	"678"	"144"
"156"	"222"	"143"	""	"2"	"28"	"1"	"150"	"36"	"2"	"1"	"0"	"0"	"1"	"364"	"145"
"157"	"222"	"144"	""	"4"	"30"	"5"	"244"	"66"	"11"	"9"	"8"	"12"	"18"	"551"	"146"
"158"	"222"	"145"	""	"26"	"11"	"4"	"242"	"158"	"16"	"8"	"5"	"10"	"19"	"644"	"147"
"159"	"222"	"146"	""	"7"	"116"	"7"	"150"	"95"	"7"	"11"	"4"	"9"	"18"	"570"	"148"
"160"	"222"	"147"	""	"58"	"35"	"5"	"161"	"31"	"5"	"2"	"2"	"11"	"7"	"464"	"149"
"161"	"222"	"148"	""	"23"	"29"	"11"	"204"	"204"	"20"	"19"	"5"	"14"	"30"	"707"	"150"
"162"	"222"	"149"	""	"69"	"30"	"6"	"215"	"139"	"6"	"3"	"3"	"4"	"12"	"636"	"151"
"163"	"222"	"150"	""	"19"	"71"	"5"	"188"	"145"	"7"	"8"	"1"	"13"	"15"	"622"	"152"
"164"	"222"	"151"	""	"11"	"35"	"9"	"299"	"41"	"5"	"6"	"3"	"13"	"13"	"586"	"153"
"165"	"222"	"152"	""	"8"	"78"	"2"	"185"	"50"	"4"	"4"	"2"	"5"	"5"	"495"	"154"
"166"	"222"	"153"	""	"5"	"5"	"1"	"38"	"132"	"7"	"4"	"1"	"1"	"3"	"350"	"155"
"167"	"222"	"154"	""	"10"	"62"	"2"	"216"	"74"	"13"	"8"	"6"	"8"	"21"	"574"	"156"
"168"	"222"	"155"	""	"18"	"103"	"6"	"314"	"153"	"7"	"11"	"8"	"21"	"26"	"822"	"157"
"169"	"222"	"156"	""	"11"	"13"	"11"	"302"	"81"	"4"	"11"	"8"	"13"	"15"	"625"	"158"
"170"	"222"	"157"	""	"15"	"28"	"5"	"256"	"122"	"7"	"5"	"6"	"17"	"25"	"643"	"159"
"171"	"222"	"158"	""	"22"	"69"	"3"	"145"	"183"	"14"	"8"	"10"	"7"	"26"	"645"	"160"
"172"	"222"	"159"	""	"15"	"72"	"4"	"129"	"19"	"4"	"8"	"3"	"14"	"7"	"434"	"161"
"173"	"222"	"160"	""	"5"	"32"	"2"	"98"	"56"	"4"	"1"	"2"	"5"	"5"	"370"	"162"
"174"	"222"	"161"	""	"5"	"38"	"2"	"46"	"37"	"2"	"1"	"2"	"4"	"7"	"305"	"163"
"175"	"222"	"162"	""	"9"	"17"	"17"	"254"	"191"	"8"	"7"	"3"	"7"	"17"	"692"	"164"
"176"	"222"	"163"	""	"6"	"13"	"8"	"332"	"68"	"10"	"6"	"4"	"11"	"14"	"635"	"165"
"177"	"222"	"164"	""	"12"	"76"	"1"	"62"	"43"	"2"	"1"	"0"	"0"	"1"	"362"	"166"
"178"	"222"	"165"	""	"5"	"15"	"0"	"81"	"88"	"6"	"4"	"2"	"2"	"5"	"373"	"167"
"179"	"222"	"166"	""	"15"	"56"	"5"	"168"	"83"	"14"	"6"	"3"	"5"	"11"	"532"	"168"
"180"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"182"	"222"	"167"	""	"9"	"24"	"5"	"152"	"121"	"9"	"3"	"5"	"8"	"11"	"514"	"169"
"183"	"222"	"168"	""	"8"	"18"	"1"	"177"	"231"	"5"	"3"	"3"	"7"	"6"	"627"	"170"
"184"	"222"	"169"	""	"4"	"36"	"1"	"150"	"23"	"6"	"5"	"2"	"3"	"16"	"415"	"171"
"185"	"222"	"170"	""	"31"	"78"	"9"	"224"	"52"	"4"	"2"	"6"	"12"	"13"	"601"	"172"
"186"	"222"	"171"	""	"11"	"39"	"6"	"258"	"39"	"3"	"3"	"2"	"1"	"9"	"542"	"173"
"187"	"222"	"172"	""	"32"	"81"	"6"	"57"	"270"	"9"	"9"	"2"	"8"	"7"	"653"	"174"
"188"	"222"	"173"	""	"4"	"5"	"5"	"122"	"31"	"1"	"2"	"3"	"4"	"3"	"353"	"175"
"189"	"222"	"174"	""	"19"	"18"	"7"	"268"	"82"	"5"	"8"	"11"	"20"	"32"	"644"	"176"
"190"	"222"	"175"	""	"12"	"86"	"9"	"109"	"114"	"4"	"11"	"6"	"8"	"12"	"546"	"177"
"191"	"222"	"176"	""	"20"	"29"	"3"	"333"	"186"	"9"	"6"	"2"	"4"	"8"	"776"	"178"
"192"	"222"	"177"	""	"24"	"46"	"2"	"90"	"48"	"5"	"8"	"4"	"8"	"8"	"420"	"179"
"193"	"222"	"178"	""	"43"	"24"	"1"	"72"	"61"	"4"	"2"	"1"	"5"	"8"	"399"	"180"
"194"	"222"	"179"	""	"18"	"17"	"3"	"352"	"82"	"20"	"25"	"5"	"31"	"57"	"789"	"181"
"195"	"222"	"180"	""	"15"	"12"	"2"	"90"	"116"	"1"	"2"	"3"	"11"	"13"	"445"	"182"
"196"	"222"	"180"	"A"	"52"	"72"	"10"	"143"	"52"	"10"	"6"	"3"	"17"	"11"	"556"	"183"
"197"	"222"	"181"	""	"11"	"104"	"8"	"120"	"96"	"7"	"3"	"5"	"5"	"12"	"552"	"184"
"198"	"222"	"182"	""	"3"	"43"	"2"	"79"	"31"	"1"	"9"	"2"	"3"	"13"	"368"	"185"
"199"	"222"	"183"	""	"13"	"50"	"3"	"146"	"37"	"4"	"2"	"4"	"10"	"5"	"457"	"186"
"200"	"222"	"184"	""	"14"	"11"	"5"	"144"	"51"	"5"	"5"	"3"	"6"	"12"	"440"	"187"
"201"	"222"	"185"	""	"1"	"152"	"4"	"108"	"69"	"7"	"1"	"3"	"3"	"12"	"545"	"188"
"202"	"222"	"186"	""	"13"	"21"	"4"	"169"	"144"	"6"	"8"	"4"	"6"	"18"	"579"	"189"
"203"	"222"	"187"	""	"24"	"76"	"13"	"328"	"81"	"8"	"13"	"6"	"7"	"14"	"757"	"190"
"204"	"222"	"188"	""	"10"	"45"	"2"	"221"	"175"	"7"	"7"	"10"	"9"	"17"	"691"	"191"
"205"	"222"	"189"	""	"9"	"20"	"1"	"26"	"330"	"6"	"1"	"1"	"1"	"2"	"586"	"192"
"206"	"222"	"190"	""	"17"	"119"	"15"	"243"	"34"	"4"	"4"	"2"	"5"	"14"	"647"	"193"
"207"	"222"	"191"	""	"32"	"74"	"19"	"355"	"184"	"17"	"13"	"10"	"21"	"23"	"939"	"194"
"208"	"222"	"192"	""	"5"	"23"	"2"	"40"	"271"	"9"	"5"	"4"	"1"	"7"	"559"	"195"
"209"	"222"	"193"	""	"0"	"23"	"0"	"35"	"65"	"0"	"2"	"0"	"1"	"0"	"319"	"196"
