"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"15"	"6"	"254"	"41"	""	"12"	""	"5"	"3"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"5"	"6"	"5"	"3"	"2"	"2"	"2"	"352"	"0"	"352"	""	"0"
"16"	"7"	"223"	"25"	""	"4"	""	"7"	"135"	"4"	"1"	"2"	"4"	"0"	"3"	"2"	"8"	"8"	"3"	"70"	"9"	"3"	"5"	"2"	"1"	"3"	"522"	"0"	"522"	""	"0"
"17"	"8"	"214"	"28"	""	"1"	""	"3"	"3"	"7"	"2"	"0"	"1"	"2"	"4"	"7"	"19"	"3"	"9"	"158"	"9"	"0"	"1"	"0"	"1"	"3"	"475"	"0"	"475"	""	"0"
"18"	"9"	"138"	"95"	""	"11"	""	"22"	"8"	"16"	"3"	"4"	"6"	"3"	"7"	"15"	"126"	"8"	"19"	"333"	"2"	"3"	"3"	"0"	"1"	"2"	"825"	"0"	"825"	""	"0"
"19"	"10"	"52"	"89"	""	"121"	""	"7"	"197"	"1"	"29"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"0"	"2"	"3"	"1"	"0"	"1"	"511"	"0"	"511"	""	"0"
"20"	"11"	"108"	"122"	""	"45"	""	"14"	"42"	"4"	"1"	"4"	"61"	"2"	"2"	"0"	"2"	"1"	"5"	"7"	"3"	"3"	"3"	"8"	"0"	"1"	"438"	"0"	"438"	""	"0"
"21"	"12"	"148"	"76"	""	"7"	""	"32"	"99"	"7"	"0"	"2"	"2"	"0"	"1"	"4"	"4"	"58"	"6"	"19"	"1"	"2"	"2"	"6"	"0"	"1"	"477"	"0"	"477"	""	"0"
"22"	"13"	"54"	"116"	""	"79"	""	"17"	"173"	"12"	"1"	"6"	"3"	"2"	"0"	"1"	"10"	"10"	"6"	"10"	"2"	"5"	"5"	"5"	"1"	"3"	"521"	"0"	"521"	""	"0"
"23"	"14"	"185"	"51"	""	"22"	""	"14"	"132"	"9"	"7"	"4"	"40"	"2"	"2"	"5"	"2"	"14"	"9"	"172"	"14"	"7"	"12"	"2"	"6"	"11"	"722"	"0"	"722"	""	"0"
"24"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"25"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"26"	"TOTAL"	"1973"	"1199"	""	"355"	""	"175"	"923"	"80"	"106"	"36"	"351"	"17"	"26"	"46"	"225"	"123"	"80"	"1104"	"75"	"49"	"57"	"30"	"23"	"44"	"7097"	"0"	"7097"	""	"0"
"27"	"BF"	"1973"	"1199"	""	"355"	""	"175"	"923"	"80"	"106"	"36"	"351"	"17"	"26"	"46"	"225"	"123"	"80"	"1104"	"75"	"49"	"57"	"30"	"23"	"44"	"7097"	"0"	"7097"	""	"0"
"28"	"15"	"44"	"138"	""	"10"	""	"4"	"117"	"4"	"8"	"0"	"36"	"1"	"2"	"2"	"3"	"6"	"3"	"13"	"3"	"10"	"12"	"1"	"5"	"2"	"424"	"0"	"424"	""	"0"
"29"	"16"	"297"	"161"	""	"14"	""	"22"	"47"	"8"	"1"	"1"	"8"	"3"	"2"	"0"	"5"	"5"	"3"	"15"	"2"	"1"	"4"	"0"	"0"	"1"	"600"	"0"	"600"	""	"0"
"30"	"17"	"91"	"6"	""	"39"	""	"0"	"0"	"1"	"0"	"0"	"31"	"0"	"1"	"1"	"5"	"0"	"1"	"15"	"2"	"0"	"1"	"0"	"0"	"1"	"195"	"0"	"195"	""	"0"
"31"	"18"	"149"	"107"	""	"2"	""	"38"	"3"	"4"	"5"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"10"	"3"	"3"	"3"	"7"	"2"	"0"	"1"	"343"	"0"	"343"	""	"0"
"32"	"19"	"192"	"31"	""	"0"	""	"38"	"200"	"5"	"4"	"1"	"5"	"0"	"3"	"2"	"0"	"9"	"4"	"14"	"6"	"3"	"3"	"1"	"2"	"5"	"528"	"0"	"528"	""	"0"
"33"	"20"	"177"	"191"	""	"2"	""	"2"	"66"	"2"	"3"	"2"	"12"	"2"	"4"	"2"	"24"	"5"	"10"	"7"	"7"	"7"	"12"	"4"	"2"	"6"	"549"	"0"	"549"	""	"0"
"34"	"21"	"179"	"453"	""	"4"	""	"12"	"37"	"3"	"0"	"4"	"2"	"0"	"2"	"2"	"4"	"0"	"3"	"14"	"3"	"2"	"0"	"0"	"0"	"1"	"725"	"0"	"725"	""	"0"
"35"	"22"	"209"	"184"	""	"61"	""	"18"	"74"	"1"	"1"	"3"	"54"	"2"	"3"	"1"	"2"	"66"	"5"	"4"	"1"	"3"	"5"	"1"	"0"	"0"	"698"	"0"	"698"	""	"0"
"36"	"23"	"140"	"124"	""	"9"	""	"65"	"55"	"8"	"2"	"0"	"3"	"1"	"3"	"1"	"26"	"21"	"3"	"5"	"1"	"0"	"7"	"4"	"0"	"2"	"480"	"0"	"480"	""	"0"
"37"	"24"	"246"	"149"	""	"15"	""	"127"	"71"	"13"	"12"	"6"	"8"	"1"	"3"	"0"	"7"	"51"	"9"	"12"	"2"	"1"	"0"	"2"	"1"	"3"	"739"	"0"	"739"	""	"0"
"38"	"25"	"169"	"56"	""	"5"	""	"30"	"139"	"5"	"51"	"2"	"3"	"2"	"1"	"1"	"1"	"15"	"5"	"4"	"4"	"1"	"4"	"2"	"0"	"2"	"502"	"0"	"502"	""	"0"
"39"	"26"	"241"	"101"	""	"1"	""	"1"	"20"	"4"	"0"	"2"	"0"	"0"	"2"	"0"	"3"	"3"	"4"	"21"	"3"	"1"	"3"	"2"	"0"	"1"	"413"	"0"	"413"	""	"0"
"40"	"27"	"212"	"414"	""	"4"	""	"3"	"16"	"2"	"2"	"1"	"5"	"0"	"0"	"1"	"5"	"5"	"3"	"38"	"1"	"3"	"1"	"2"	"1"	"0"	"719"	"0"	"719"	""	"0"
"41"	"28"	"50"	"188"	""	"4"	""	"6"	"84"	"5"	"1"	"1"	"6"	"0"	"1"	"2"	"12"	"4"	"3"	"3"	"6"	"6"	"14"	"2"	"0"	"0"	"398"	"0"	"398"	""	"0"
"42"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"43"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"44"	"TOTAL"	"4369"	"3502"	""	"525"	""	"541"	"1852"	"145"	"196"	"60"	"526"	"30"	"53"	"61"	"323"	"314"	"146"	"1272"	"119"	"90"	"130"	"53"	"34"	"69"	"14410"	"0"	"14410"	""	"0"
"45"	"BF"	"4369"	"3502"	""	"525"	""	"541"	"1852"	"145"	"196"	"60"	"526"	"30"	"53"	"61"	"323"	"314"	"146"	"1272"	"119"	"90"	"130"	"53"	"34"	"69"	"14410"	"0"	"14410"	""	"0"
"46"	"29"	"94"	"126"	""	"9"	""	"9"	"18"	"3"	"6"	"4"	"7"	"1"	"2"	"0"	"2"	"0"	"6"	"13"	"19"	"12"	"12"	"2"	"2"	"5"	"352"	"0"	"352"	""	"0"
"47"	"30"	"146"	"118"	""	"4"	""	"20"	"54"	"13"	"32"	"4"	"55"	"5"	"4"	"2"	"5"	"10"	"12"	"21"	"13"	"17"	"45"	"5"	"5"	"21"	"611"	"0"	"611"	""	"0"
"48"	"31"	"104"	"77"	""	"1"	""	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"11"	"4"	"4"	"6"	"0"	"1"	"1"	"222"	"0"	"222"	""	"0"
"49"	"32"	"152"	"85"	""	"2"	""	"48"	"6"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"6"	"4"	"3"	"2"	"2"	"0"	"0"	"316"	"0"	"316"	""	"0"
"50"	"33"	"143"	"41"	""	"25"	""	"6"	"23"	"10"	"1"	"2"	"15"	"1"	"2"	"1"	"4"	"85"	"3"	"17"	"6"	"1"	"0"	"1"	"1"	"6"	"394"	"0"	"394"	""	"0"
"51"	"34"	"54"	"132"	""	"36"	""	"4"	"76"	"5"	"84"	"6"	"2"	"1"	"1"	"1"	"0"	"6"	"9"	"13"	"3"	"4"	"1"	"3"	"0"	"0"	"441"	"0"	"441"	""	"0"
"52"	"35"	"67"	"107"	""	"15"	""	"32"	"73"	"3"	"54"	"5"	"3"	"0"	"2"	"2"	"1"	"1"	"0"	"2"	"3"	"3"	"9"	"0"	"2"	"3"	"387"	"0"	"387"	""	"0"
"53"	"36"	"49"	"236"	""	"5"	""	"9"	"111"	"4"	"8"	"1"	"0"	"2"	"2"	"0"	"4"	"7"	"3"	"10"	"3"	"6"	"6"	"13"	"3"	"2"	"484"	"0"	"484"	""	"0"
"54"	"37"	"189"	"195"	""	"21"	""	"2"	"28"	"1"	"1"	"0"	"6"	"1"	"1"	"0"	"0"	"1"	"2"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"456"	"0"	"456"	""	"0"
"55"	"38"	"12"	"180"	""	"0"	""	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"200"	"0"	"200"	""	"0"
"56"	"39"	"232"	"100"	""	"45"	""	"15"	"19"	"3"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"4"	"7"	"7"	"5"	"2"	"1"	"0"	"1"	"448"	"0"	"448"	""	"0"
"57"	"40"	"111"	"103"	""	"20"	""	"9"	"18"	"2"	"6"	"2"	"122"	"1"	"4"	"2"	"1"	"81"	"6"	"12"	"6"	"6"	"1"	"0"	"1"	"2"	"516"	"0"	"516"	""	"0"
"58"	"41"	"185"	"55"	""	"39"	""	"17"	"81"	"7"	"7"	"5"	"1"	"0"	"1"	"1"	"5"	"4"	"3"	"15"	"9"	"4"	"5"	"2"	"3"	"1"	"450"	"0"	"450"	""	"0"
"59"	"42"	"100"	"192"	""	"5"	""	"3"	"8"	"1"	"0"	"2"	"11"	"1"	"1"	"0"	"1"	"8"	"5"	"6"	"2"	"0"	"2"	"0"	"1"	"0"	"349"	"0"	"349"	""	"0"
"60"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"61"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"62"	"TOTAL"	"6007"	"5249"	""	"752"	""	"718"	"2369"	"202"	"396"	"92"	"751"	"48"	"75"	"70"	"348"	"520"	"204"	"1412"	"198"	"155"	"221"	"85"	"53"	"111"	"20036"	"0"	"20036"	""	"0"
"63"	"BF"	"6007"	"5249"	""	"752"	""	"718"	"2369"	"202"	"396"	"92"	"751"	"48"	"75"	"70"	"348"	"520"	"204"	"1412"	"198"	"155"	"221"	"85"	"53"	"111"	"20036"	"0"	"20036"	""	"0"
"64"	"43"	"231"	"145"	""	"3"	""	"14"	"24"	"0"	"15"	"5"	"0"	"6"	"0"	"1"	"2"	"2"	"8"	"18"	"3"	"3"	"1"	"0"	"0"	"3"	"484"	"0"	"484"	""	"0"
"65"	"44"	"103"	"236"	""	"5"	""	"6"	"180"	"4"	"0"	"1"	"6"	"1"	"8"	"0"	"3"	"5"	"13"	"19"	"2"	"6"	"10"	"3"	"0"	"1"	"612"	"0"	"612"	""	"0"
"66"	"45"	"363"	"82"	""	"24"	""	"14"	"4"	"4"	"3"	"0"	"0"	"0"	"2"	"19"	"7"	"1"	"4"	"96"	"5"	"2"	"2"	"1"	"3"	"1"	"637"	"0"	"637"	""	"0"
"67"	"46"	"59"	"160"	""	"2"	""	"3"	"159"	"5"	"4"	"2"	"108"	"0"	"1"	"1"	"0"	"46"	"4"	"2"	"1"	"4"	"0"	"4"	"4"	"6"	"575"	"0"	"575"	""	"0"
"68"	"47"	"117"	"223"	""	"2"	""	"2"	"14"	"3"	"2"	"1"	"105"	"3"	"2"	"2"	"2"	"3"	"11"	"12"	"2"	"9"	"7"	"2"	"0"	"2"	"526"	"0"	"526"	""	"0"
"69"	"48"	"220"	"102"	""	"3"	""	"17"	"14"	"2"	"0"	"4"	"2"	"0"	"2"	"0"	"2"	"1"	"2"	"21"	"9"	"9"	"50"	"1"	"3"	"4"	"468"	"0"	"468"	""	"0"
"70"	"49"	"42"	"196"	""	"7"	""	"5"	"208"	"4"	"6"	"3"	"6"	"2"	"4"	"5"	"4"	"23"	"10"	"24"	"3"	"10"	"32"	"1"	"3"	"2"	"600"	"0"	"600"	""	"0"
"71"	"50"	"92"	"231"	""	"9"	""	"4"	"13"	"3"	"1"	"2"	"2"	"0"	"1"	"2"	"1"	"2"	"8"	"20"	"13"	"19"	"7"	"2"	"3"	"5"	"440"	"0"	"440"	""	"0"
"72"	"51"	"244"	"26"	""	"0"	""	"54"	"117"	"4"	"1"	"3"	"6"	"0"	"1"	"1"	"0"	"3"	"4"	"6"	"5"	"0"	"0"	"0"	"2"	"1"	"478"	"0"	"478"	""	"0"
"73"	"52"	"72"	"379"	""	"2"	""	"2"	"7"	"1"	"2"	"0"	"2"	"2"	"2"	"5"	"26"	"0"	"10"	"3"	"1"	"1"	"4"	"1"	"81"	"1"	"604"	"0"	"604"	""	"0"
"74"	"53"	"13"	"107"	""	"3"	""	"25"	"4"	"0"	"0"	"2"	"158"	"1"	"1"	"4"	"14"	"1"	"3"	"175"	"0"	"1"	"3"	"1"	"0"	"1"	"517"	"0"	"517"	""	"0"
"75"	"54"	"12"	"13"	""	"3"	""	"2"	"94"	"2"	"0"	"1"	"2"	"1"	"3"	"0"	"7"	"144"	"4"	"7"	"2"	"0"	"0"	"1"	"3"	"1"	"302"	"0"	"302"	""	"0"
"76"	"55"	"233"	"93"	""	"7"	""	"3"	"64"	"5"	"2"	"1"	"0"	"1"	"2"	"0"	"6"	"4"	"11"	"74"	"5"	"5"	"4"	"2"	"1"	"0"	"523"	"0"	"523"	""	"0"
"77"	"55 A"	"83"	"131"	""	"2"	""	"0"	"123"	"4"	"1"	"0"	"4"	"0"	"3"	"1"	"6"	"33"	"3"	"33"	"2"	"3"	"0"	"0"	"1"	"1"	"434"	"0"	"434"	""	"0"
"78"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"79"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"80"	"TOTAL"	"7891"	"7373"	""	"824"	""	"869"	"3394"	"243"	"433"	"117"	"1152"	"65"	"107"	"111"	"428"	"788"	"299"	"1922"	"251"	"227"	"341"	"104"	"157"	"140"	"27236"	"0"	"27236"	""	"0"
"81"	"BF"	"7891"	"7373"	""	"824"	""	"869"	"3394"	"243"	"433"	"117"	"1152"	"65"	"107"	"111"	"428"	"788"	"299"	"1922"	"251"	"227"	"341"	"104"	"157"	"140"	"27236"	"0"	"27236"	""	"0"
"82"	"56"	"234"	"159"	""	"3"	""	"13"	"5"	"1"	"14"	"1"	"29"	"1"	"0"	"0"	"0"	"25"	"4"	"13"	"1"	"2"	"2"	"1"	"0"	"3"	"511"	"0"	"511"	""	"0"
"83"	"57"	"173"	"199"	""	"2"	""	"5"	"20"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"4"	"112"	"3"	"7"	"7"	"8"	"1"	"2"	"0"	"0"	"550"	"0"	"550"	""	"0"
"84"	"58"	"56"	"264"	""	"2"	""	"1"	"34"	"1"	"1"	"1"	"67"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"433"	"0"	"433"	""	"0"
"85"	"59"	"211"	"111"	""	"13"	""	"3"	"20"	"7"	"0"	"5"	"0"	"0"	"3"	"6"	"2"	"4"	"4"	"18"	"5"	"2"	"4"	"0"	"1"	"2"	"421"	"0"	"421"	""	"0"
"86"	"60"	"157"	"65"	""	"4"	""	"38"	"31"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"307"	"0"	"307"	""	"0"
"87"	"61"	"135"	"152"	""	"2"	""	"10"	"142"	"3"	"1"	"44"	"30"	"1"	"2"	"0"	"0"	"74"	"0"	"8"	"7"	"4"	"4"	"1"	"2"	"1"	"623"	"0"	"623"	""	"0"
"88"	"62"	"163"	"218"	""	"3"	""	"22"	"12"	"18"	"11"	"114"	"5"	"1"	"2"	"4"	"35"	"4"	"3"	"3"	"3"	"2"	"3"	"0"	"1"	"2"	"629"	"0"	"629"	""	"0"
"89"	"63"	"177"	"218"	""	"3"	""	"25"	"159"	"23"	"3"	"12"	"3"	"2"	"0"	"2"	"16"	"7"	"8"	"10"	"4"	"3"	"3"	"0"	"0"	"1"	"679"	"0"	"679"	""	"0"
"90"	"64"	"118"	"48"	""	"19"	""	"3"	"65"	"3"	"0"	"9"	"1"	"1"	"1"	"0"	"2"	"6"	"1"	"5"	"9"	"4"	"2"	"0"	"0"	"0"	"297"	"0"	"297"	""	"0"
"91"	"65"	"29"	"267"	""	"13"	""	"8"	"59"	"6"	"1"	"5"	"143"	"2"	"3"	"3"	"3"	"16"	"6"	"5"	"2"	"0"	"2"	"1"	"2"	"1"	"577"	"0"	"577"	""	"0"
"92"	"66"	"55"	"182"	""	"45"	""	"5"	"187"	"9"	"3"	"3"	"7"	"0"	"0"	"3"	"1"	"14"	"6"	"15"	"4"	"8"	"8"	"1"	"4"	"2"	"562"	"0"	"562"	""	"0"
"93"	"67"	"294"	"43"	""	"28"	""	"2"	"3"	"6"	"0"	"0"	"2"	"0"	"1"	"3"	"51"	"4"	"2"	"19"	"11"	"4"	"4"	"0"	"2"	"7"	"486"	"0"	"486"	""	"0"
"94"	"68"	"322"	"238"	""	"13"	""	"10"	"4"	"8"	"3"	"2"	"54"	"3"	"5"	"6"	"67"	"13"	"6"	"17"	"2"	"2"	"3"	"0"	"1"	"2"	"781"	"0"	"781"	""	"0"
"95"	"69"	"245"	"51"	""	"1"	""	"56"	"15"	"1"	"1"	"0"	"4"	"3"	"3"	"3"	"0"	"2"	"3"	"3"	"3"	"2"	"3"	"0"	"0"	"2"	"401"	"0"	"401"	""	"0"
"96"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"97"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"98"	"TOTAL"	"10260"	"9588"	""	"975"	""	"1070"	"4150"	"334"	"474"	"315"	"1497"	"82"	"128"	"142"	"610"	"1069"	"346"	"2046"	"310"	"270"	"383"	"110"	"170"	"164"	"34493"	"0"	"34493"	""	"0"
"99"	"BF"	"10260"	"9588"	""	"975"	""	"1070"	"4150"	"334"	"474"	"315"	"1497"	"82"	"128"	"142"	"610"	"1069"	"346"	"2046"	"310"	"270"	"383"	"110"	"170"	"164"	"34493"	"0"	"34493"	""	"0"
"100"	"70"	"91"	"65"	""	"1"	""	"42"	"13"	"2"	"1"	"0"	"9"	"0"	"1"	"0"	"0"	"7"	"0"	"2"	"9"	"5"	"0"	"0"	"2"	"2"	"252"	"0"	"252"	""	"0"
"101"	"71"	"121"	"149"	""	"3"	""	"4"	"88"	"1"	"1"	"0"	"27"	"1"	"0"	"0"	"0"	"22"	"5"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"430"	"0"	"430"	""	"0"
"102"	"72"	"158"	"93"	""	"109"	""	"8"	"73"	"2"	"4"	"1"	"144"	"2"	"3"	"2"	"1"	"8"	"1"	"8"	"2"	"3"	"6"	"0"	"2"	"3"	"633"	"0"	"633"	""	"0"
"103"	"73"	"67"	"32"	""	"202"	""	"14"	"37"	"2"	"6"	"2"	"76"	"2"	"1"	"1"	"6"	"16"	"5"	"23"	"3"	"2"	"8"	"2"	"1"	"0"	"508"	"0"	"508"	""	"0"
"104"	"74"	"68"	"89"	""	"49"	""	"8"	"13"	"1"	"4"	"1"	"13"	"2"	"3"	"0"	"1"	"37"	"3"	"39"	"0"	"2"	"2"	"1"	"0"	"1"	"337"	"0"	"337"	""	"0"
"105"	"75"	"191"	"140"	""	"13"	""	"36"	"7"	"4"	"1"	"2"	"97"	"1"	"5"	"0"	"0"	"3"	"4"	"2"	"7"	"6"	"16"	"3"	"5"	"6"	"549"	"0"	"549"	""	"0"
"106"	"76"	"73"	"57"	""	"2"	""	"15"	"173"	"10"	"10"	"2"	"62"	"3"	"4"	"5"	"3"	"10"	"7"	"72"	"4"	"1"	"0"	"0"	"4"	"3"	"520"	"0"	"520"	""	"0"
