"Candidates.Name"	"AMIT.KUMAR"	"PAPPU.KUMAR"	"RAJ.KISHORE.KESHARI"	"RAM.CHARITRA.YADAV"	"SHAIKH.AKBAR.ALI"	"SYED.GULAM.HUSAIN"	"ANIRUDH.MEHTA"	"ALOK.KUMAR.SINHA"	"KUMAR.ADITYA"	"KRISHNA.KR..JHA"	"KAILASH.LAHOTI"	"BACHCHI.SHARMA"	"SUMITA.NAND.SHANKAR"	"Total"
"153"	134	107	7	107	189	7	2	3	5	4	6	7	13	36	493
"154"	135	294	7	14	187	7	160	4	4	5	11	6	6	14	719
"155"	136	46	0	6	117	2	17	1	0	1	2	2	1	4	199
"156"	137	161	17	166	171	11	8	4	3	1	2	4	4	5	557
"157"	138	312	1	139	41	4	3	1	0	1	2	4	1	10	519
"158"	139	433	8	177	40	20	1	4	3	7	4	6	10	28	741
"159"	140	90	7	51	270	14	33	5	4	1	3	3	8	23	512
"160"	NA	98	5	159	190	8	9	5	5	4	2	3	0	7	495
"161"	141	273	17	90	397	6	17	2	7	2	3	7	6	24	851
"162"	142	24	5	306	265	13	10	1	6	2	10	5	12	16	675
"163"	143	34	11	388	393	9	2	3	3	2	4	2	3	5	859
"164"	144	140	6	365	451	10	3	3	6	8	11	11	10	24	1048
"165"	145	97	3	103	84	4	4	2	0	4	5	4	2	10	322
"166"	146	250	8	398	131	6	2	5	2	4	7	8	11	16	848
"167"	NA	44	3	269	56	4	3	3	0	5	2	7	6	8	410
"168"	147	78	18	276	395	12	14	7	5	6	5	9	5	13	843
"169"	148	152	13	436	324	30	7	4	6	3	5	46	8	13	1047
"170"	149	52	8	354	167	6	3	2	3	1	1	27	9	17	650
"171"	NA	65	5	94	222	8	4	3	1	2	1	4	2	2	413
"172"	150	125	1	153	386	10	2	5	1	3	3	8	4	17	718
"173"	NA	91	2	63	198	4	0	0	0	0	1	1	2	5	367
"174"	151	218	1	247	63	1	0	0	0	1	0	2	2	6	541
"175"	NA	159	10	181	68	3	2	2	3	1	3	7	4	13	456
"176"	152	321	14	380	116	5	2	0	2	7	2	3	12	22	886
"177"	153	204	9	508	204	11	8	4	5	1	10	18	6	28	1016
"178"	154	44	6	390	75	26	3	4	4	2	4	25	9	17	609
"179"	155	51	9	323	204	8	7	6	3	6	2	12	5	14	650
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	156	25	7	140	275	8	7	5	3	0	1	1	3	7	482
"184"	157	13	4	71	458	11	2	2	3	3	20	12	4	16	619
"185"	158	13	6	193	178	7	28	2	2	1	2	12	7	6	457
"186"	159	19	5	185	265	15	19	4	5	5	4	7	3	7	543
"187"	160	7	1	71	212	7	10	1	2	2	6	6	3	13	341
"188"	161	21	8	450	402	17	10	5	6	4	9	20	6	11	969
"189"	162	22	10	72	552	26	14	4	4	7	5	3	3	13	735
"190"	163	8	2	30	249	17	8	4	2	6	5	12	5	16	364
"191"	164	19	6	90	281	5	8	4	7	0	2	2	2	2	428
"192"	165	55	7	242	476	18	5	1	2	7	8	10	21	22	874
"193"	166	62	6	24	496	25	32	3	9	7	7	23	9	34	737
"194"	167	343	12	79	100	8	2	4	2	1	4	4	6	6	571
"195"	168	78	2	103	62	2	6	1	0	2	0	5	1	8	270
"196"	169	48	4	108	298	9	14	1	2	8	11	13	5	21	542
"197"	NA	119	7	234	230	8	3	4	4	3	9	8	5	13	647
"198"	170	123	2	10	207	9	3	1	1	0	5	1	0	0	362
"199"	NA	50	7	35	409	23	4	3	2	2	3	17	6	4	565
"200"	171	165	23	79	249	9	84	5	6	4	14	9	10	23	680
"201"	NA	149	1	107	56	4	14	0	0	2	1	1	2	2	339
"202"	172	197	7	172	70	2	42	3	2	0	3	1	2	5	506
"203"	173	356	6	129	36	2	44	32	4	1	3	3	2	14	632
"204"	174	581	8	97	108	11	8	7	2	5	5	4	7	24	867
"205"	175	88	16	86	302	16	44	8	3	4	8	7	7	9	598
"206"	176	196	7	251	289	7	11	2	4	3	7	6	4	35	822
"207"	177	110	4	253	132	4	8	2	3	2	1	0	1	2	522
"208"	178	253	13	56	296	11	23	3	2	4	6	6	8	13	694
"209"	179	350	15	128	191	17	40	7	3	9	8	7	4	14	793
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	180	238	10	78	204	10	33	4	8	5	7	3	11	48	659
"214"	181	377	11	74	205	14	13	6	8	9	2	8	3	20	750
"215"	182	583	10	111	106	8	21	7	2	5	5	5	3	11	877
"216"	183	233	8	188	78	2	3	3	3	3	2	0	2	12	537
"217"	184	196	7	169	257	9	5	3	3	5	10	11	6	24	705
"218"	185	263	13	195	99	5	10	3	0	2	3	1	3	9	606
"219"	186	66	18	281	158	9	6	4	4	4	8	7	7	9	581
"220"	187	81	24	244	141	15	2	3	1	3	5	7	4	13	543
"221"	188	61	40	244	192	7	5	4	3	1	5	7	4	5	578
"222"	189	218	4	43	274	4	46	1	3	5	2	1	7	8	616
"223"	190	202	11	19	170	1	42	1	0	3	3	12	6	20	490
"224"	191	40	20	120	96	5	0	4	1	0	4	8	4	10	312
"225"	192	64	21	158	458	27	32	6	5	5	10	10	10	29	835
"226"	193	200	6	115	201	7	107	3	2	2	4	8	5	22	682
"227"	194	57	5	378	157	5	6	2	3	3	8	5	6	16	651
"228"	195	54	7	362	384	12	29	4	0	2	5	7	12	21	899
"229"	196	159	10	268	431	21	36	6	4	7	9	5	2	10	968
"230"	197	140	18	473	320	13	5	9	3	3	4	9	8	13	1018
"231"	198	270	6	141	259	7	13	6	3	5	10	4	12	6	742
"232"	199	117	9	331	378	12	15	5	5	9	14	11	12	22	940
"233"	200	92	12	218	244	10	7	2	3	6	4	5	5	12	620
"234"	201	58	9	262	223	10	6	1	3	3	8	7	3	24	617
"235"	202	18	6	70	325	7	3	2	1	3	5	3	4	9	456
"236"	NA	47	3	87	299	11	8	6	3	9	13	5	6	20	517
"237"	203	167	11	161	297	13	28	10	7	2	3	5	5	20	729
"238"	204	79	11	212	257	6	0	4	4	5	11	17	8	27	641
"239"	205	112	8	189	477	15	18	5	0	4	18	5	16	36	903
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"242"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	206	34	5	345	79	5	3	3	2	3	3	4	1	9	496
"244"	207	47	8	207	256	13	3	3	3	1	5	13	8	15	582
"245"	208	33	7	145	261	13	4	5	1	1	3	3	4	7	487
"246"	NA	84	2	236	115	9	8	3	2	2	1	5	2	17	486
"247"	209	225	6	71	319	14	9	3	9	8	5	10	15	18	712
"248"	210	28	4	234	23	1	0	1	0	1	2	2	1	2	299
"249"	211	503	15	148	99	6	9	3	5	4	6	5	5	22	830
"250"	212	34	9	498	157	7	10	5	5	4	7	12	13	41	802
"251"	213	37	11	351	424	13	0	4	2	6	22	17	13	42	942
"252"	214	141	4	391	270	13	5	4	4	4	6	10	14	32	898
"253"	215	25	3	159	73	5	1	1	0	2	3	2	8	15	297
"254"	216	34	10	480	114	4	1	0	5	3	6	13	7	25	702
"255"	NA	23052	1828	54568	38984	1515	3554	651	620	946	936	1552	1094	2475	131775
"256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	NA	9	2	37	22	0	1	0	0	0	0	0	1	0	72
"258"	NA	23061	1830	54605	39006	1515	3555	651	620	946	936	1552	1095	2475	131847
"259"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
