"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"66"	"60"	""	"7"	"37"	"118"	"90"	"6"	"6"	"3"	""	"2"	"6"	"115"	"13"	"9"	"412"
"67"	"61"	""	"10"	"12"	"73"	"107"	"17"	"13"	"5"	""	"5"	"8"	"83"	"7"	"15"	"355"
"68"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"71"	"62"	""	"202"	"4"	"58"	"46"	"5"	"6"	"6"	""	"11"	"8"	"146"	"21"	"20"	"533"
"72"	"63"	""	"116"	"5"	"5"	"68"	"8"	"8"	"6"	""	"4"	"1"	"78"	"11"	"12"	"322"
"73"	"64"	""	"13"	"4"	"14"	"154"	"13"	"1"	"1"	""	"1"	"2"	"44"	"2"	"2"	"251"
"74"	"65"	""	"25"	"9"	"86"	"167"	"36"	"12"	"6"	""	"9"	"14"	"151"	"27"	"49"	"591"
"75"	"66"	""	"10"	"10"	"67"	"96"	"8"	"6"	"3"	""	"1"	"10"	"28"	"3"	"19"	"261"
"76"	"67"	""	"22"	"19"	"99"	"246"	"30"	"6"	"1"	""	"2"	"8"	"25"	"7"	"9"	"474"
"77"	"68"	""	"18"	"10"	"136"	"247"	"30"	"24"	"11"	""	"13"	"20"	"36"	"7"	"15"	"567"
"78"	"69"	""	"371"	"19"	"0"	"12"	"5"	"2"	"1"	""	"1"	"6"	"71"	"6"	"13"	"507"
"79"	"70"	""	"196"	"10"	"5"	"31"	"2"	"0"	"4"	""	"9"	"10"	"191"	"23"	"46"	"527"
"80"	"71"	""	"203"	"4"	"16"	"27"	"9"	"9"	"11"	""	"5"	"6"	"374"	"33"	"19"	"716"
"81"	"72"	""	"148"	"25"	"79"	"94"	"24"	"15"	"7"	""	"14"	"9"	"94"	"13"	"15"	"537"
"82"	"73"	""	"134"	"7"	"21"	"84"	"5"	"5"	"3"	""	"3"	"6"	"31"	"8"	"36"	"343"
"83"	"74"	""	"220"	"14"	"51"	"154"	"9"	"26"	"7"	""	"10"	"15"	"57"	"14"	"52"	"629"
"84"	"75"	""	"70"	"3"	"1"	"1"	"1"	"2"	"3"	""	"9"	"5"	"47"	"4"	"8"	"154"
"85"	"76"	""	"41"	"11"	"11"	"9"	"1"	"0"	"0"	""	"0"	"1"	"89"	"3"	"5"	"171"
"86"	"77"	""	"71"	"7"	"23"	"68"	"11"	"11"	"3"	""	"4"	"2"	"129"	"7"	"8"	"344"
"87"	"78"	""	"34"	"7"	"87"	"136"	"12"	"5"	"12"	""	"10"	"15"	"51"	"12"	"50"	"431"
"88"	"79"	""	"23"	"6"	"35"	"101"	"15"	"8"	"4"	""	"5"	"5"	"45"	"10"	"10"	"267"
"89"	"80"	""	"38"	"9"	"57"	"92"	"13"	"17"	"6"	""	"12"	"23"	"178"	"15"	"46"	"506"
"90"	"81"	""	"6"	"1"	"62"	"121"	"8"	"7"	"6"	""	"4"	"5"	"8"	"0"	"3"	"231"
"91"	"82"	""	"16"	"2"	"130"	"45"	"4"	"2"	"1"	""	"2"	"4"	"6"	"0"	"1"	"213"
"92"	"83"	""	"54"	"20"	"62"	"183"	"22"	"19"	"8"	""	"7"	"16"	"40"	"9"	"37"	"477"
"93"	"84"	""	"55"	"2"	"60"	"51"	"10"	"6"	"3"	""	"7"	"5"	"143"	"17"	"23"	"382"
"94"	"85"	""	"27"	"5"	"30"	"58"	"11"	"13"	"39"	""	"12"	"21"	"136"	"19"	"50"	"421"
"95"	"86"	""	"48"	"9"	"115"	"60"	"22"	"15"	"9"	""	"11"	"14"	"92"	"19"	"26"	"440"
"96"	"87"	""	"39"	"172"	"6"	"2"	"6"	"10"	"0"	""	"2"	"0"	"14"	"1"	"5"	"257"
"97"	"88"	""	"61"	"6"	"8"	"48"	"5"	"4"	"4"	""	"4"	"0"	"38"	"0"	"2"	"180"
"98"	"89"	""	"6"	"0"	"11"	"73"	"2"	"9"	"2"	""	"0"	"2"	"4"	"0"	"1"	"110"
"99"	"90"	""	"39"	"8"	"47"	"54"	"3"	"9"	"3"	""	"1"	"11"	"117"	"10"	"10"	"312"
"100"	"91"	""	"60"	"5"	"156"	"44"	"9"	"3"	"12"	""	"7"	"9"	"15"	"13"	"23"	"356"
"101"	"92"	""	"51"	"5"	"20"	"8"	"6"	"0"	"3"	""	"0"	"3"	"84"	"4"	"2"	"186"
"102"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"105"	"93"	""	"80"	"1"	"24"	"77"	"9"	"6"	"2"	""	"3"	"2"	"30"	"3"	"3"	"240"
"106"	"94"	""	"31"	"12"	"13"	"11"	"15"	"3"	"4"	""	"4"	"5"	"110"	"23"	"7"	"238"
"107"	"95"	""	"15"	"16"	"14"	"16"	"0"	"4"	"1"	""	"0"	"0"	"54"	"2"	"5"	"127"
"108"	"96"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"
"109"	"97"	""	"0"	"0"	"10"	"0"	"0"	"0"	"0"	""	"0"	"0"	"1"	"0"	"0"	"11"
"110"	"98"	""	"1"	"0"	"118"	"3"	"0"	"0"	"0"	""	"0"	"0"	"1"	"0"	"0"	"123"
"111"	"99"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"
"112"	"100"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"
"113"	"101"	""	"26"	"0"	"7"	"45"	"13"	"3"	"2"	""	"5"	"2"	"53"	"3"	"13"	"172"
"114"	"102"	""	"14"	"1"	"6"	"68"	"9"	"3"	"2"	""	"4"	"5"	"63"	"6"	"7"	"188"
"115"	"103"	""	"52"	"9"	"28"	"46"	"69"	"6"	"9"	""	"4"	"10"	"24"	"5"	"20"	"282"
"116"	"104"	""	"112"	"2"	"16"	"25"	"6"	"4"	"3"	""	"4"	"0"	"142"	"8"	"4"	"326"
"117"	"105"	""	"206"	"4"	"19"	"28"	"13"	"4"	"1"	""	"3"	"3"	"258"	"14"	"14"	"567"
"118"	"106"	""	"184"	"5"	"9"	"2"	"18"	"3"	"5"	""	"3"	"3"	"253"	"11"	"25"	"521"
"119"	"107"	""	"56"	"3"	"23"	"33"	"26"	"3"	"1"	""	"3"	"5"	"158"	"8"	"4"	"323"
"120"	"108"	""	"63"	"4"	"19"	"73"	"20"	"7"	"3"	""	"4"	"7"	"73"	"3"	"12"	"288"
"121"	"109"	""	"24"	"7"	"51"	"324"	"37"	"8"	"12"	""	"81"	"16"	"65"	"6"	"24"	"655"
"122"	"110"	""	"9"	"3"	"74"	"161"	"12"	"15"	"14"	""	"2"	"15"	"191"	"15"	"23"	"534"
"123"	"111"	""	"4"	"7"	"128"	"258"	"20"	"13"	"14"	""	"3"	"8"	"13"	"4"	"15"	"487"
"124"	"112"	""	"17"	"9"	"76"	"197"	"19"	"13"	"4"	""	"9"	"21"	"68"	"14"	"57"	"504"
"125"	"113"	""	"12"	"4"	"119"	"307"	"30"	"10"	"1"	""	"5"	"4"	"41"	"5"	"19"	"557"
"126"	"114"	""	"21"	"15"	"55"	"155"	"11"	"12"	"4"	""	"2"	"4"	"47"	"4"	"16"	"346"
"127"	"115"	""	"10"	"24"	"17"	"141"	"17"	"11"	"6"	""	"4"	"10"	"135"	"15"	"28"	"418"
"128"	"116"	""	"2"	"2"	"15"	"144"	"16"	"3"	"2"	""	"5"	"10"	"46"	"8"	"18"	"271"
"129"	"117"	""	"10"	"2"	"9"	"166"	"10"	"6"	"2"	""	"4"	"3"	"84"	"3"	"7"	"306"
"130"	"118"	""	"7"	"13"	"103"	"150"	"12"	"10"	"1"	""	"4"	"7"	"56"	"6"	"7"	"376"
"131"	"119"	""	"9"	"8"	"66"	"127"	"9"	"15"	"4"	""	"6"	"6"	"159"	"11"	"5"	"425"
"132"	"120"	""	"15"	"7"	"50"	"179"	"20"	"2"	"3"	""	"5"	"9"	"74"	"4"	"17"	"385"
"133"	"121"	""	"10"	"47"	"133"	"27"	"15"	"5"	"1"	""	"5"	"5"	"99"	"7"	"14"	"368"
"134"	"122"	""	"23"	"19"	"73"	"204"	"84"	"18"	"6"	""	"5"	"12"	"51"	"3"	"34"	"532"
"135"	"123"	""	"0"	"1"	"96"	"111"	"4"	"1"	"5"	""	"4"	"3"	"114"	"3"	"3"	"345"
"136"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"138"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"139"	"124"	""	"11"	"1"	"14"	"126"	"12"	"8"	"5"	""	"1"	"6"	"33"	"2"	"9"	"228"
"140"	"125"	""	"9"	"96"	"63"	"63"	"9"	"11"	"7"	""	"5"	"8"	"50"	"11"	"18"	"350"
"141"	"126"	""	"13"	"3"	"106"	"165"	"11"	"4"	"3"	""	"4"	"8"	"19"	"7"	"17"	"360"
"142"	"127"	""	"16"	"8"	"71"	"222"	"9"	"41"	"5"	""	"0"	"5"	"49"	"11"	"7"	"444"
"143"	"128"	""	"7"	"16"	"142"	"108"	"13"	"7"	"2"	""	"3"	"7"	"68"	"16"	"11"	"400"
"144"	"129"	""	"9"	"21"	"84"	"90"	"2"	"68"	"1"	""	"0"	"1"	"29"	"7"	"5"	"317"
"145"	"130"	""	"15"	"2"	"90"	"93"	"12"	"3"	"0"	""	"2"	"4"	"16"	"15"	"10"	"262"
"146"	"131"	""	"9"	"7"	"52"	"80"	"7"	"198"	"3"	""	"3"	"4"	"75"	"12"	"16"	"466"
"147"	"132"	""	"2"	"21"	"2"	"23"	"0"	"2"	"1"	""	"0"	"1"	"19"	"4"	"5"	"80"
"148"	"133"	""	"0"	"12"	"3"	"10"	"7"	"1"	"0"	""	"2"	"0"	"23"	"2"	"2"	"62"
"149"	"134"	""	"8"	"43"	"6"	"2"	"0"	"1"	"0"	""	"0"	"3"	"53"	"4"	"5"	"125"
"150"	"135"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"
"151"	"136"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"
"152"	"137"	""	"9"	"138"	"15"	"15"	"7"	"7"	"3"	""	"0"	"2"	"12"	"1"	"2"	"211"
"153"	"138"	""	"16"	"241"	"13"	"6"	"4"	"6"	"1"	""	"2"	"0"	"22"	"8"	"9"	"328"
"154"	"139"	""	"15"	"306"	"54"	"25"	"13"	"1"	"1"	""	"2"	"2"	"8"	"9"	"7"	"443"
"155"	"140"	""	"16"	"297"	"15"	"12"	"14"	"14"	"0"	""	"1"	"5"	"8"	"5"	"13"	"400"
"156"	"141"	""	"5"	"75"	"24"	"8"	"4"	"4"	"8"	""	"2"	"2"	"6"	"5"	"6"	"149"
"157"	"142"	""	"7"	"120"	"14"	"50"	"5"	"7"	"6"	""	"3"	"4"	"10"	"16"	"12"	"254"
"158"	"143"	""	"4"	"109"	"30"	"10"	"5"	"8"	"23"	""	"8"	"1"	"19"	"5"	"6"	"228"
"159"	"144"	""	"54"	"28"	"101"	"91"	"12"	"9"	"2"	""	"4"	"6"	"48"	"10"	"10"	"375"
"160"	"145"	""	"4"	"129"	"76"	"24"	"4"	"5"	"0"	""	"3"	"1"	"22"	"5"	"5"	"278"
"161"	"146"	""	"3"	"137"	"3"	"0"	"1"	"5"	"0"	""	"0"	"1"	"3"	"2"	"2"	"157"
"162"	"147"	""	"8"	"337"	"16"	"19"	"6"	"5"	"1"	""	"1"	"1"	"23"	"7"	"9"	"433"
"163"	"148"	""	"17"	"410"	"66"	"10"	"3"	"11"	"2"	""	"6"	"2"	"19"	"5"	"6"	"557"
"164"	"149"	""	"11"	"269"	"17"	"11"	"3"	"20"	"2"	""	"6"	"5"	"18"	"10"	"17"	"389"
"165"	"150"	""	"5"	"215"	"7"	"2"	"2"	"2"	"0"	""	"0"	"1"	"12"	"7"	"5"	"258"
"166"	"151"	""	"18"	"496"	"15"	"11"	"4"	"8"	"2"	""	"3"	"5"	"25"	"13"	"21"	"621"
"167"	"152"	""	"8"	"203"	"31"	"46"	"7"	"2"	"2"	""	"4"	"3"	"49"	"20"	"8"	"383"
"168"	"153"	""	"6"	"382"	"8"	"3"	"2"	"12"	"1"	""	"0"	"0"	"23"	"9"	"9"	"455"
"169"	"154"	""	"11"	"178"	"11"	"3"	"1"	"22"	"2"	""	"1"	"1"	"49"	"3"	"5"	"287"
"170"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"173"	"155"	""	"6"	"183"	"5"	"10"	"1"	"13"	"1"	""	"3"	"1"	"7"	"5"	"10"	"245"
"174"	"156"	""	"14"	"327"	"44"	"2"	"1"	"12"	"2"	""	"3"	"2"	"4"	"2"	"6"	"419"
"175"	"157"	""	"11"	"221"	"15"	"8"	"2"	"24"	"5"	""	"0"	"1"	"15"	"3"	"10"	"315"
"176"	"158"	""	"11"	"132"	"13"	"3"	"7"	"19"	"7"	""	"0"	"2"	"13"	"7"	"10"	"224"
"177"	"159"	""	"10"	"159"	"63"	"38"	"6"	"4"	"2"	""	"1"	"0"	"23"	"5"	"9"	"320"
"178"	"160"	""	"17"	"122"	"33"	"23"	"4"	"7"	"5"	""	"3"	"1"	"43"	"5"	"11"	"274"
"179"	"161"	""	"8"	"190"	"9"	"2"	"1"	"2"	"2"	""	"0"	"1"	"6"	"2"	"2"	"225"
"180"	"162"	""	"4"	"97"	"81"	"56"	"9"	"4"	"7"	""	"5"	"9"	"17"	"3"	"13"	"305"
"181"	"163"	""	"12"	"33"	"20"	"106"	"7"	"9"	"4"	""	"5"	"8"	"9"	"11"	"12"	"236"
"182"	"164"	""	"24"	"125"	"55"	"34"	"12"	"6"	"4"	""	"5"	"8"	"195"	"25"	"24"	"517"
"183"	"165"	""	"17"	"104"	"50"	"175"	"19"	"14"	"3"	""	"4"	"6"	"67"	"7"	"8"	"474"
"184"	"166"	""	"9"	"4"	"83"	"66"	"8"	"8"	"2"	""	"4"	"7"	"126"	"13"	"34"	"364"
"185"	"167"	""	"94"	"23"	"27"	"31"	"4"	"4"	"6"	""	"5"	"6"	"152"	"19"	"6"	"377"
"186"	"168"	""	"13"	"12"	"230"	"67"	"17"	"2"	"1"	""	"5"	"4"	"23"	"0"	"9"	"383"
"187"	"169"	""	"12"	"125"	"110"	"69"	"12"	"5"	"4"	""	"6"	"4"	"23"	"11"	"21"	"402"
"188"	"170"	""	"39"	"102"	"153"	"83"	"13"	"23"	"21"	""	"17"	"7"	"113"	"16"	"14"	"601"
"189"	"171"	""	"24"	"105"	"80"	"61"	"12"	"4"	"3"	""	"8"	"2"	"85"	"14"	"24"	"422"
"190"	"172"	""	"5"	"8"	"143"	"141"	"16"	"8"	"6"	""	"8"	"9"	"51"	"8"	"6"	"409"
"191"	"173"	""	"6"	"11"	"27"	"16"	"8"	"8"	"4"	""	"4"	"9"	"229"	"22"	"14"	"358"
"192"	"174"	""	"27"	"20"	"58"	"44"	"13"	"4"	"0"	""	"2"	"2"	"80"	"23"	"21"	"294"
"193"	"175"	""	"21"	"29"	"80"	"124"	"10"	"18"	"5"	""	"9"	"14"	"96"	"10"	"34"	"450"
"194"	"176"	""	"17"	"59"	"68"	"13"	"11"	"6"	"18"	""	"3"	"9"	"91"	"27"	"24"	"346"
"195"	"177"	""	"18"	"38"	"51"	"20"	"7"	"2"	"3"	""	"1"	"6"	"97"	"11"	"14"	"268"
"196"	"178"	""	"30"	"311"	"106"	"117"	"19"	"10"	"8"	""	"6"	"6"	"36"	"8"	"12"	"669"
"197"	"179"	""	"4"	"139"	"30"	"94"	"11"	"14"	"1"	""	"1"	"4"	"14"	"32"	"13"	"357"
"198"	"180"	""	"14"	"65"	"125"	"106"	"8"	"7"	"4"	""	"4"	"6"	"20"	"8"	"12"	"379"
"199"	"181"	""	"16"	"49"	"61"	"240"	"14"	"13"	"7"	""	"3"	"5"	"17"	"10"	"13"	"448"
"200"	"182"	""	"9"	"99"	"75"	"118"	"11"	"6"	"1"	""	"4"	"7"	"12"	"6"	"21"	"369"
