"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"96"	"80"	"13"	""	"6"	""	"50"	""	"271"	""	""	"380"	""	"21"	""	"62"	""	"24"	""	"44"	""	"871"	""
"97"	"81"	"9"	""	"2"	""	"176"	""	"228"	""	""	"242"	""	"21"	""	"29"	""	"6"	""	"14"	""	"727"	""
"98"	"82"	"2"	""	"3"	""	"19"	""	"323"	""	""	"139"	""	"15"	""	"24"	""	"4"	""	"5"	""	"534"	""
"99"	"83"	"8"	""	"5"	""	"304"	""	"38"	""	""	"21"	""	"8"	""	"13"	""	"3"	""	"9"	""	"409"	""
"100"	"84"	"10"	""	"2"	""	"88"	""	"191"	""	""	"202"	""	"14"	""	"44"	""	"9"	""	"17"	""	"577"	""
"101"	"85"	"5"	""	"1"	""	"18"	""	"313"	""	""	"214"	""	"15"	""	"34"	""	"3"	""	"3"	""	"606"	""
"102"	"86"	"12"	""	"4"	""	"39"	""	"319"	""	""	"179"	""	"10"	""	"30"	""	"6"	""	"10"	""	"609"	""
"103"	"87"	"8"	""	"5"	""	"16"	""	"291"	""	""	"329"	""	"12"	""	"29"	""	"2"	""	"4"	""	"696"	""
"104"	"88"	"4"	""	"0"	""	"37"	""	"108"	""	""	"295"	""	"17"	""	"21"	""	"5"	""	"17"	""	"504"	""
"105"	"89"	"4"	""	"2"	""	"31"	""	"141"	""	""	"338"	""	"15"	""	"26"	""	"3"	""	"4"	""	"564"	""
"106"	"90"	"4"	""	"3"	""	"27"	""	"58"	""	""	"213"	""	"11"	""	"38"	""	"1"	""	"7"	""	"362"	""
"107"	"90A"	"1"	""	"1"	""	"14"	""	"49"	""	""	"368"	""	"1"	""	"19"	""	"1"	""	"3"	""	"457"	""
"108"	"91"	"7"	""	"1"	""	"36"	""	"77"	""	""	"293"	""	"11"	""	"36"	""	"6"	""	"14"	""	"481"	""
"109"	"92"	"17"	""	"0"	""	"14"	""	"165"	""	""	"204"	""	"10"	""	"49"	""	"0"	""	"7"	""	"466"	""
"110"	"93"	"16"	""	"18"	""	"87"	""	"249"	""	""	"327"	""	"34"	""	"66"	""	"9"	""	"38"	""	"844"	""
"111"	"94"	"8"	""	"11"	""	"62"	""	"262"	""	""	"199"	""	"8"	""	"51"	""	"5"	""	"10"	""	"616"	""
"112"	"95"	"12"	""	"12"	""	"49"	""	"239"	""	""	"379"	""	"22"	""	"75"	""	"17"	""	"42"	""	"847"	""
"113"	"96"	"13"	""	"6"	""	"72"	""	"473"	""	""	"237"	""	"22"	""	"64"	""	"13"	""	"34"	""	"934"	""
"114"	"97"	"15"	""	"1"	""	"15"	""	"191"	""	""	"213"	""	"11"	""	"19"	""	"2"	""	"7"	""	"474"	""
"115"	"97A"	"4"	""	"1"	""	"2"	""	"177"	""	""	"164"	""	"11"	""	"34"	""	"3"	""	"7"	""	"403"	""
"116"	"98"	"6"	""	"3"	""	"20"	""	"193"	""	""	"172"	""	"8"	""	"26"	""	"0"	""	"16"	""	"444"	""
"117"	"99"	"21"	""	"3"	""	"127"	""	"124"	""	""	"298"	""	"19"	""	"53"	""	"10"	""	"10"	""	"665"	""
"118"	"100"	"6"	""	"1"	""	"26"	""	"101"	""	""	"269"	""	"14"	""	"45"	""	"7"	""	"10"	""	"479"	""
"119"	"101"	"6"	""	"5"	""	"53"	""	"77"	""	""	"211"	""	"7"	""	"43"	""	"3"	""	"11"	""	"416"	""
"120"	"102"	"16"	""	"1"	""	"19"	""	"303"	""	""	"289"	""	"31"	""	"70"	""	"11"	""	"21"	""	"761"	""
"121"	"103"	"5"	""	"4"	""	"173"	""	"129"	""	""	"275"	""	"10"	""	"32"	""	"5"	""	"9"	""	"642"	""
"122"	"104"	"8"	""	"1"	""	"11"	""	"350"	""	""	"56"	""	"5"	""	"25"	""	"1"	""	"6"	""	"463"	""
"123"	"105"	"6"	""	"1"	""	"32"	""	"366"	""	""	"96"	""	"9"	""	"10"	""	"4"	""	"10"	""	"534"	""
"124"	"106"	"6"	""	"0"	""	"116"	""	"247"	""	""	"216"	""	"14"	""	"31"	""	"8"	""	"22"	""	"660"	""
"125"	"107"	"4"	""	"0"	""	"42"	""	"178"	""	""	"163"	""	"9"	""	"29"	""	"0"	""	"12"	""	"437"	""
"126"	"108"	"8"	""	"2"	""	"99"	""	"305"	""	""	"101"	""	"27"	""	"44"	""	"9"	""	"13"	""	"608"	""
"127"	"109"	"9"	""	"7"	""	"49"	""	"367"	""	""	"186"	""	"9"	""	"17"	""	"7"	""	"10"	""	"661"	""
"128"	"110"	"6"	""	"2"	""	"36"	""	"457"	""	""	"156"	""	"20"	""	"44"	""	"9"	""	"21"	""	"751"	""
"129"	"111"	"7"	""	"6"	""	"62"	""	"460"	""	""	"218"	""	"18"	""	"45"	""	"13"	""	"23"	""	"852"	""
"130"	"112"	"17"	""	"4"	""	"181"	""	"76"	""	""	"110"	""	"8"	""	"25"	""	"4"	""	"22"	""	"447"	""
"131"	"113"	"6"	""	"10"	""	"207"	""	"40"	""	""	"85"	""	"7"	""	"27"	""	"8"	""	"11"	""	"401"	""
"132"	"114"	"8"	""	"0"	""	"7"	""	"227"	""	""	"169"	""	"5"	""	"20"	""	"1"	""	"3"	""	"440"	""
"133"	"115"	"6"	""	"4"	""	"6"	""	"250"	""	""	"254"	""	"23"	""	"38"	""	"3"	""	"12"	""	"596"	""
"134"	"116"	"4"	""	"2"	""	"35"	""	"114"	""	""	"215"	""	"3"	""	"15"	""	"0"	""	"1"	""	"389"	""
"135"	"117"	"11"	""	"8"	""	"253"	""	"63"	""	""	"141"	""	"11"	""	"25"	""	"12"	""	"35"	""	"559"	""
"136"	"118"	"4"	""	"3"	""	"172"	""	"15"	""	""	"226"	""	"8"	""	"18"	""	"5"	""	"15"	""	"466"	""
"137"	"119"	"20"	""	"10"	""	"288"	""	"80"	""	""	"241"	""	"15"	""	"29"	""	"3"	""	"21"	""	"707"	""
"138"	"120"	"18"	""	"4"	""	"178"	""	"56"	""	""	"327"	""	"21"	""	"30"	""	"11"	""	"70"	""	"715"	""
"139"	"121"	"4"	""	"1"	""	"68"	""	"136"	""	""	"136"	""	"8"	""	"16"	""	"4"	""	"7"	""	"380"	""
"140"	"122"	"9"	""	"1"	""	"101"	""	"54"	""	""	"227"	""	"4"	""	"27"	""	"5"	""	"10"	""	"438"	""
"141"	"123"	"9"	""	"5"	""	"110"	""	"65"	""	""	"167"	""	"16"	""	"39"	""	"8"	""	"7"	""	"426"	""
"142"	"124"	"13"	""	"5"	""	"66"	""	"188"	""	""	"450"	""	"15"	""	"53"	""	"11"	""	"15"	""	"816"	""
"143"	"125"	"22"	""	"4"	""	"83"	""	"205"	""	""	"231"	""	"17"	""	"45"	""	"7"	""	"12"	""	"626"	""
"144"	"126"	"3"	""	"4"	""	"119"	""	"35"	""	""	"234"	""	"5"	""	"22"	""	"2"	""	"3"	""	"427"	""
"145"	"127"	"9"	""	"4"	""	"103"	""	"154"	""	""	"155"	""	"15"	""	"23"	""	"8"	""	"15"	""	"486"	""
"146"	"128"	"11"	""	"6"	""	"216"	""	"71"	""	""	"119"	""	"10"	""	"21"	""	"2"	""	"13"	""	"469"	""
"147"	"129"	"3"	""	"1"	""	"86"	""	"119"	""	""	"69"	""	"8"	""	"19"	""	"0"	""	"5"	""	"310"	""
"148"	"130"	"8"	""	"8"	""	"149"	""	"275"	""	""	"302"	""	"16"	""	"42"	""	"5"	""	"8"	""	"813"	""
"149"	"131"	"4"	""	"3"	""	"121"	""	"32"	""	""	"250"	""	"13"	""	"40"	""	"4"	""	"17"	""	"484"	""
"150"	"132"	"6"	""	"3"	""	"44"	""	"101"	""	""	"263"	""	"13"	""	"29"	""	"0"	""	"21"	""	"480"	""
"151"	"133"	"1"	""	"0"	""	"24"	""	"220"	""	""	"108"	""	"8"	""	"13"	""	"0"	""	"2"	""	"376"	""
"152"	"134"	"4"	""	"2"	""	"30"	""	"213"	""	""	"282"	""	"5"	""	"25"	""	"2"	""	"4"	""	"567"	""
"153"	"135"	"5"	""	"2"	""	"25"	""	"370"	""	""	"289"	""	"12"	""	"35"	""	"9"	""	"17"	""	"764"	""
"154"	"136"	"1"	""	"1"	""	"51"	""	"105"	""	""	"136"	""	"5"	""	"13"	""	"0"	""	"2"	""	"314"	""
"155"	"137"	"6"	""	"5"	""	"166"	""	"209"	""	""	"338"	""	"26"	""	"57"	""	"12"	""	"35"	""	"854"	""
"156"	"138"	"18"	""	"4"	""	"152"	""	"321"	""	""	"264"	""	"13"	""	"37"	""	"9"	""	"21"	""	"839"	""
"157"	"139"	"9"	""	"4"	""	"35"	""	"420"	""	""	"232"	""	"16"	""	"54"	""	"16"	""	"14"	""	"800"	""
"158"	"140"	"5"	""	"2"	""	"127"	""	"201"	""	""	"179"	""	"12"	""	"48"	""	"4"	""	"9"	""	"587"	""
"159"	"141"	"3"	""	"3"	""	"175"	""	"41"	""	""	"251"	""	"9"	""	"27"	""	"3"	""	"9"	""	"521"	""
"160"	"142"	"6"	""	"2"	""	"229"	""	"143"	""	""	"313"	""	"7"	""	"43"	""	"11"	""	"10"	""	"764"	""
"161"	"143"	"5"	""	"3"	""	"141"	""	"218"	""	""	"168"	""	"7"	""	"28"	""	"8"	""	"14"	""	"592"	""
"162"	"144"	"14"	""	"2"	""	"131"	""	"351"	""	""	"141"	""	"12"	""	"41"	""	"12"	""	"14"	""	"718"	""
"163"	"145"	"5"	""	"4"	""	"116"	""	"41"	""	""	"96"	""	"9"	""	"11"	""	"1"	""	"14"	""	"297"	""
"164"	"146"	"2"	""	"2"	""	"96"	""	"151"	""	""	"124"	""	"13"	""	"22"	""	"3"	""	"6"	""	"419"	""
"165"	"146A"	"8"	""	"3"	""	"73"	""	"156"	""	""	"77"	""	"11"	""	"24"	""	"2"	""	"5"	""	"359"	""
"166"	"147"	"5"	""	"1"	""	"32"	""	"484"	""	""	"169"	""	"9"	""	"28"	""	"5"	""	"6"	""	"739"	""
"167"	"148"	"1"	""	"2"	""	"95"	""	"32"	""	""	"123"	""	"12"	""	"5"	""	"0"	""	"3"	""	"273"	""
"168"	"149"	"2"	""	"1"	""	"71"	""	"448"	""	""	"194"	""	"22"	""	"29"	""	"1"	""	"6"	""	"774"	""
"169"	"150"	"14"	""	"3"	""	"63"	""	"274"	""	""	"147"	""	"16"	""	"41"	""	"4"	""	"14"	""	"576"	""
"170"	"151"	"3"	""	"1"	""	"25"	""	"189"	""	""	"89"	""	"1"	""	"10"	""	"1"	""	"4"	""	"323"	""
"171"	"152"	"2"	""	"1"	""	"41"	""	"183"	""	""	"238"	""	"8"	""	"38"	""	"3"	""	"8"	""	"522"	""
"172"	"153"	"5"	""	"3"	""	"80"	""	"140"	""	""	"192"	""	"16"	""	"40"	""	"9"	""	"23"	""	"508"	""
"173"	"154"	"4"	""	"2"	""	"38"	""	"501"	""	""	"153"	""	"7"	""	"21"	""	"5"	""	"6"	""	"737"	""
"174"	"155"	"0"	""	"4"	""	"5"	""	"329"	""	""	"99"	""	"5"	""	"31"	""	"2"	""	"9"	""	"484"	""
"175"	"156"	"1"	""	"2"	""	"2"	""	"263"	""	""	"105"	""	"7"	""	"16"	""	"3"	""	"2"	""	"401"	""
"176"	"157"	"5"	""	"1"	""	"24"	""	"311"	""	""	"145"	""	"5"	""	"17"	""	"3"	""	"5"	""	"516"	""
"177"	"158"	"11"	""	"4"	""	"25"	""	"355"	""	""	"259"	""	"21"	""	"60"	""	"6"	""	"9"	""	"750"	""
"178"	"159"	"11"	""	"7"	""	"33"	""	"284"	""	""	"241"	""	"10"	""	"24"	""	"9"	""	"11"	""	"630"	""
"179"	"160"	"11"	""	"2"	""	"70"	""	"398"	""	""	"319"	""	"12"	""	"42"	""	"6"	""	"8"	""	"868"	""
"180"	"161"	"3"	""	"4"	""	"65"	""	"205"	""	""	"182"	""	"16"	""	"34"	""	"5"	""	"8"	""	"522"	""
"181"	"162"	"3"	""	"2"	""	"4"	""	"100"	""	""	"236"	""	"4"	""	"43"	""	"1"	""	"16"	""	"409"	""
"182"	"162A"	"4"	""	"19"	""	"20"	""	"66"	""	""	"170"	""	"16"	""	"33"	""	"8"	""	"17"	""	"353"	""
"183"	"163"	"7"	""	"8"	""	"6"	""	"262"	""	""	"138"	""	"8"	""	"27"	""	"2"	""	"3"	""	"461"	""
"184"	"164"	"10"	""	"21"	""	"58"	""	"239"	""	""	"170"	""	"10"	""	"56"	""	"7"	""	"11"	""	"582"	""
"185"	"165"	"23"	""	"110"	""	"101"	""	"190"	""	""	"175"	""	"10"	""	"45"	""	"10"	""	"12"	""	"676"	""
"186"	"166"	"8"	""	"124"	""	"40"	""	"115"	""	""	"98"	""	"8"	""	"40"	""	"11"	""	"9"	""	"453"	""
"187"	"166A"	"8"	""	"57"	""	"90"	""	"102"	""	""	"200"	""	"12"	""	"29"	""	"3"	""	"16"	""	"517"	""
"188"	"167"	"22"	""	"4"	""	"6"	""	"504"	""	""	"281"	""	"21"	""	"46"	""	"10"	""	"37"	""	"931"	""
"189"	"168"	"13"	""	"8"	""	"391"	""	"31"	""	""	"69"	""	"6"	""	"25"	""	"12"	""	"29"	""	"584"	""
"190"	"169"	"9"	""	"4"	""	"112"	""	"70"	""	""	"211"	""	"17"	""	"65"	""	"8"	""	"21"	""	"517"	""
"191"	"170"	"16"	""	"4"	""	"187"	""	"54"	""	""	"251"	""	"13"	""	"40"	""	"16"	""	"28"	""	"609"	""
"192"	"171"	"17"	""	"14"	""	"125"	""	"45"	""	""	"474"	""	"15"	""	"46"	""	"2"	""	"21"	""	"759"	""
"193"	"172"	"9"	""	"8"	""	"61"	""	"35"	""	""	"305"	""	"8"	""	"51"	""	"3"	""	"10"	""	"490"	""
"194"	"173"	"5"	""	"5"	""	"180"	""	"124"	""	""	"206"	""	"19"	""	"36"	""	"6"	""	"6"	""	"587"	""
