"er.nku.dsUnz.l.a....k"	"v..kksd.dqekj.i.zl.kn"	"j.kek...k.ekW.h"	"X..kekZuUn.j.ke"	"f..ko.dqekj.ekW.h"	"l.qeh.k.nsoh"	"ek.kqj.h.nsoh"	"j.ke.i.qdkj.gfj.t.u"	"l.R..nso.j.ke"	"uUn.t.h.j.ke"	"j..kqukFk.j.ke"	"j.ket.hr.Hkkj.r.h"	"j.ke.l.dy.j.ke"	"Jh...kadj.pkS.kj.h"	"l.fPknkl.uUn.l.k.kq"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy..l.a....k"
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"16"	9	9	132	4	33	13	17	8	179	15	8	5	7	8	5	443	NA	NA	NA
"17"	NA	4	160	6	22	11	23	8	230	13	3	5	5	7	12	509	NA	NA	NA
"18"	10	3	159	5	57	17	9	4	143	7	7	3	6	2	8	430	NA	NA	NA
"19"	11	2	107	7	89	4	9	7	123	7	4	4	2	4	3	372	NA	NA	NA
"20"	12	7	84	9	10	6	10	5	97	4	2	2	2	8	7	253	NA	NA	NA
"21"	13	11	234	3	89	14	11	9	149	5	8	6	6	9	6	560	NA	NA	NA
"22"	14	4	13	4	51	13	7	135	101	6	0	4	2	1	1	342	NA	NA	NA
"23"	15	3	57	1	46	9	14	6	292	12	4	2	2	4	5	457	NA	NA	NA
"24"	NA	43	946	39	397	87	100	182	1314	69	36	31	32	43	47	3366	0	0	0
"25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"30"	16	4	187	6	25	133	9	3	78	2	6	1	2	0	1	457	NA	NA	NA
"31"	17	4	12	20	159	32	15	3	69	2	15	4	3	4	7	349	NA	NA	NA
"32"	18	3	48	1	16	23	6	3	76	0	0	1	3	1	2	183	NA	NA	NA
"33"	19	10	3	2	153	15	9	7	9	0	4	0	5	1	0	218	NA	NA	NA
"34"	20	19	401	11	27	32	17	9	106	15	8	9	1	9	11	675	NA	NA	NA
"35"	21	6	104	5	47	11	23	9	141	13	8	6	12	10	10	405	NA	NA	NA
"36"	22	6	89	1	123	18	8	0	55	5	10	0	3	2	0	320	NA	NA	NA
"37"	23	7	172	12	36	13	18	12	291	20	14	5	4	6	5	615	NA	NA	NA
"38"	NA	59	1016	58	586	277	105	46	825	57	65	26	33	33	36	3222	0	0	0
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"44"	24	4	93	3	84	17	17	10	184	2	7	7	9	5	1	443	NA	NA	NA
"45"	25	8	151	7	32	18	28	8	155	23	8	16	14	10	14	492	NA	NA	NA
"46"	26	5	23	18	91	6	16	6	171	18	11	6	26	7	19	423	NA	NA	NA
"47"	27	22	194	13	58	15	20	11	250	20	9	5	3	9	6	635	NA	NA	NA
"48"	28	2	102	7	71	13	20	13	135	12	14	76	6	14	16	501	NA	NA	NA
"49"	29	2	95	4	27	3	14	10	180	9	1	5	0	3	6	359	NA	NA	NA
"50"	30	7	228	4	29	27	12	7	216	13	8	6	5	1	5	568	NA	NA	NA
"51"	31	10	181	6	8	30	32	15	231	21	6	8	7	6	17	578	NA	NA	NA
"52"	NA	60	1067	62	400	129	159	80	1522	118	64	129	70	55	84	3999	0	0	0
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"60"	32	10	219	10	41	27	22	5	147	6	12	2	4	7	5	517	NA	NA	NA
"61"	33	4	50	7	98	12	8	6	87	5	13	10	7	9	4	320	NA	NA	NA
"62"	34	7	153	7	24	3	24	4	155	7	11	3	2	10	14	424	NA	NA	NA
"63"	35	2	74	0	3	53	12	7	166	9	1	4	3	2	6	342	NA	NA	NA
"64"	36	0	3	1	7	1	8	5	545	0	1	3	0	0	1	575	NA	NA	NA
"65"	37	1	113	0	46	40	11	6	208	2	3	1	0	1	0	432	NA	NA	NA
"66"	38	7	123	2	7	10	25	12	292	17	6	1	1	4	6	513	NA	NA	NA
"67"	39	12	213	4	19	26	21	5	160	8	6	4	0	2	8	488	NA	NA	NA
"68"	NA	43	948	31	245	172	131	50	1760	54	53	28	17	35	44	3611	0	0	0
"69"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"76"	39	5	79	6	42	23	19	6	249	12	7	4	7	5	13	477	NA	NA	NA
"77"	40	1	263	0	23	7	7	3	126	4	3	25	1	1	6	470	NA	NA	NA
"78"	41	0	9	9	15	6	1	1	198	4	0	0	0	1	0	244	NA	NA	NA
"79"	42	9	94	3	57	29	11	2	115	9	7	4	9	1	3	353	NA	NA	NA
"80"	43	11	228	2	0	10	12	5	138	18	2	2	2	5	7	442	NA	NA	NA
"81"	44	2	80	2	11	12	17	5	268	18	3	4	2	5	9	438	NA	NA	NA
"82"	45	4	31	88	8	6	9	5	80	5	3	4	15	2	7	267	NA	NA	NA
"83"	46	3	155	4	19	8	8	3	68	11	7	0	2	10	7	305	NA	NA	NA
"84"	NA	35	939	114	175	101	84	30	1242	81	32	43	38	30	52	2996	0	0	0
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"92"	47	7	326	3	34	22	17	5	165	12	7	8	3	12	10	631	NA	NA	NA
"93"	48	3	146	2	15	8	10	2	112	9	4	4	1	2	5	323	NA	NA	NA
"94"	49	12	185	5	111	20	25	13	161	18	22	22	10	11	14	629	NA	NA	NA
"95"	50	6	135	7	10	6	18	10	165	17	1	10	10	10	9	414	NA	NA	NA
"96"	50	11	172	10	8	32	11	9	109	18	4	1	0	7	10	402	NA	NA	NA
"97"	51	19	74	13	87	19	16	18	150	24	8	12	1	8	12	461	NA	NA	NA
"98"	52	13	86	6	162	57	24	11	188	21	26	11	8	6	14	633	NA	NA	NA
"99"	53	11	126	7	16	23	26	2	169	19	2	5	1	5	3	415	NA	NA	NA
"100"	NA	82	1250	53	443	187	147	70	1219	138	74	73	34	61	77	3908	0	0	0
"101"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"104"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"107"	54	7	204	13	36	51	21	12	130	20	10	6	3	12	23	548	NA	NA	NA
"108"	55	11	294	14	47	16	12	1	58	9	19	9	24	16	15	545	NA	NA	NA
"109"	56	8	148	6	49	8	4	2	82	20	16	6	3	11	13	376	NA	NA	NA
"110"	56	10	184	2	115	9	6	3	51	9	19	8	2	5	3	426	NA	NA	NA
"111"	57	1	189	2	53	28	6	5	98	11	8	7	5	6	8	427	NA	NA	NA
"112"	57	5	181	5	36	13	3	2	104	4	6	4	3	11	11	388	NA	NA	NA
"113"	58	7	132	18	28	19	16	2	78	15	6	7	1	4	11	344	NA	NA	NA
"114"	59	20	243	11	152	36	28	5	168	15	19	12	4	4	13	730	NA	NA	NA
"115"	NA	69	1575	71	516	180	96	32	769	103	103	59	45	69	97	3784	0	0	0
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"121"	60	2	187	3	55	15	4	3	30	2	10	5	6	8	10	340	NA	NA	NA
"122"	61	7	261	9	45	22	3	2	80	0	8	6	4	10	7	464	NA	NA	NA
"123"	62	6	102	12	151	48	6	1	39	4	15	10	9	5	17	425	NA	NA	NA
"124"	63	11	136	10	42	14	14	2	149	24	9	0	2	5	1	419	NA	NA	NA
"125"	64	4	48	18	75	48	8	12	133	10	9	5	2	3	11	386	NA	NA	NA
"126"	65	15	388	17	111	19	7	2	16	1	5	3	3	16	9	612	NA	NA	NA
"127"	66	11	245	4	86	11	15	5	101	17	23	11	13	13	16	571	NA	NA	NA
"128"	67	20	158	13	21	12	13	4	126	6	3	6	11	3	10	406	NA	NA	NA
"129"	NA	76	1525	86	586	189	70	31	674	64	82	46	50	63	81	3623	0	0	0
"130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"135"	68	15	363	15	63	19	28	9	182	16	7	7	7	8	9	748	NA	NA	NA
"136"	69	16	248	10	72	18	13	6	43	5	6	9	3	9	3	461	NA	NA	NA
"137"	70	11	97	99	140	14	11	8	61	13	19	10	44	4	14	545	NA	NA	NA
"138"	71	9	153	5	36	17	27	9	253	27	4	6	2	5	13	566	NA	NA	NA
"139"	72	1	77	1	59	26	2	0	58	21	5	3	0	0	3	256	NA	NA	NA
"140"	73	0	88	1	42	11	5	6	70	5	0	3	2	5	6	244	NA	NA	NA
"141"	74	2	128	5	34	12	1	1	35	5	4	1	3	2	3	236	NA	NA	NA
"142"	75	9	118	7	33	20	25	7	242	12	4	4	5	3	1	490	NA	NA	NA
"143"	NA	63	1272	143	479	137	112	46	944	104	49	43	66	36	52	3546	0	0	0
"144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"147"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"149"	76	2	197	4	13	7	0	9	42	8	2	0	1	3	1	289	NA	NA	NA
"150"	77	3	136	13	10	48	4	4	65	5	2	1	2	1	4	298	NA	NA	NA
"151"	78	5	121	3	10	5	7	5	96	10	6	6	10	7	6	297	NA	NA	NA
"152"	79	10	150	14	66	7	25	13	225	11	15	4	12	8	9	569	NA	NA	NA
"153"	80	5	99	4	11	22	11	0	125	2	1	0	0	2	0	282	NA	NA	NA
"154"	81	7	249	12	45	11	20	13	200	19	10	5	14	14	16	635	NA	NA	NA
"155"	82	9	157	8	45	5	15	8	199	15	8	7	6	3	20	505	NA	NA	NA
"156"	83	3	189	2	7	1	9	6	167	7	0	5	2	4	7	409	NA	NA	NA
"157"	NA	44	1298	60	207	106	91	58	1119	77	44	28	47	42	63	3284	0	0	0
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"163"	84	7	319	12	99	35	19	3	102	18	9	9	10	11	21	674	NA	NA	NA
"164"	85	5	140	2	85	3	7	6	52	9	13	4	32	4	5	367	NA	NA	NA
"165"	86	6	75	9	76	11	6	5	85	8	2	4	6	5	7	305	NA	NA	NA
"166"	87	12	129	7	70	12	2	5	61	11	4	7	19	6	6	351	NA	NA	NA
"167"	88	6	160	18	34	11	18	7	265	12	7	8	15	7	13	581	NA	NA	NA
"168"	89	2	89	4	19	14	12	13	124	13	11	5	8	7	5	326	NA	NA	NA
"169"	90	3	86	10	120	6	15	14	170	5	19	14	151	9	7	629	NA	NA	NA
"170"	91	0	26	0	29	0	0	0	3	0	2	2	132	1	3	198	NA	NA	NA
"171"	NA	41	1024	62	532	92	79	53	862	76	67	53	373	50	67	3431	0	0	0
"172"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"177"	92	12	105	9	253	27	17	13	110	16	44	39	46	32	23	746	NA	NA	NA
"178"	93	4	66	3	74	11	19	27	266	19	5	12	3	11	10	530	NA	NA	NA
"179"	94	11	384	7	124	8	11	4	74	13	6	8	10	7	7	674	NA	NA	NA
"180"	95	3	52	2	2	2	11	16	206	12	3	3	2	4	7	325	NA	NA	NA
"181"	96	11	307	27	26	7	5	4	49	11	3	7	11	22	13	503	NA	NA	NA
"182"	97	15	193	12	39	14	27	6	253	15	7	13	13	8	13	628	NA	NA	NA
"183"	98	6	138	7	37	6	15	3	182	12	4	7	14	10	13	454	NA	NA	NA
"184"	99	18	218	4	40	3	28	13	309	13	3	6	3	14	5	677	NA	NA	NA
"185"	NA	80	1463	71	595	78	133	86	1449	111	75	95	102	108	91	4537	0	0	0
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"191"	100	1	193	2	10	1	0	0	11	0	0	1	0	0	2	221	NA	NA	NA
"192"	101	21	221	5	44	8	12	3	309	5	6	3	2	5	2	646	NA	NA	NA
"193"	102	3	174	12	2	5	9	6	258	4	1	3	2	1	5	485	NA	NA	NA
"194"	103	6	146	2	13	2	8	12	129	15	6	2	2	5	3	351	NA	NA	NA
"195"	104	2	131	7	36	3	8	20	182	12	17	4	8	12	12	454	NA	NA	NA
"196"	105	13	286	6	225	23	8	2	32	5	8	15	15	11	9	658	NA	NA	NA
"197"	106	11	171	11	4	6	32	16	318	23	3	6	6	9	10	626	NA	NA	NA
"198"	107	10	109	6	54	7	7	6	60	4	12	3	3	5	8	294	NA	NA	NA
"199"	NA	67	1431	51	388	55	84	65	1299	68	53	37	38	48	51	3735	0	0	0
"200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"205"	108	3	176	5	8	15	9	8	124	9	2	3	2	4	14	382	NA	NA	NA
"206"	109	2	87	3	116	2	6	3	110	12	15	9	8	15	9	397	NA	NA	NA
"207"	110	2	22	5	128	9	8	15	169	15	10	17	3	1	5	409	NA	NA	NA
"208"	111	4	136	4	134	18	13	12	204	17	17	10	11	10	13	603	NA	NA	NA
"209"	112	5	465	9	54	10	16	10	165	7	9	12	5	15	13	795	NA	NA	NA
"210"	113	5	325	8	11	5	18	11	258	16	4	7	8	8	9	693	NA	NA	NA
"211"	114	3	24	2	2	9	6	1	78	202	2	0	2	0	4	335	NA	NA	NA
"212"	115	3	28	3	18	10	13	19	157	195	6	3	0	0	3	458	NA	NA	NA
"213"	NA	27	1263	39	471	78	89	79	1265	473	65	61	39	53	70	4072	0	0	0
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"219"	116	10	227	11	16	11	20	9	236	33	7	4	6	2	5	597	NA	NA	NA
"220"	117	9	180	6	26	22	15	5	148	14	10	6	9	7	12	469	NA	NA	NA
"221"	118	6	37	8	128	14	10	2	81	12	5	9	4	0	7	323	NA	NA	NA
"222"	119	15	297	14	34	45	29	19	203	33	5	15	13	26	23	771	NA	NA	NA
"223"	120	8	216	11	33	6	27	15	294	18	17	13	16	16	16	706	NA	NA	NA
"224"	121	2	161	4	41	8	11	0	90	7	5	6	8	12	22	377	NA	NA	NA
"225"	122	24	136	9	91	8	12	6	134	7	20	3	7	8	11	476	NA	NA	NA
"226"	123	4	212	3	3	5	6	6	50	4	1	0	1	2	2	299	NA	NA	NA
"227"	NA	78	1466	66	372	119	130	62	1236	128	70	56	64	73	98	4018	0	0	0
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"233"	124	5	143	0	8	15	21	19	281	27	5	2	3	11	27	567	NA	NA	NA
"234"	125	2	58	5	145	12	17	8	184	12	8	11	5	7	5	479	NA	NA	NA
"235"	126	3	106	3	17	8	17	14	169	8	6	9	2	6	6	374	NA	NA	NA
"236"	127	5	116	9	88	6	10	6	81	8	13	17	11	4	4	378	NA	NA	NA
"237"	128	5	188	17	49	7	16	4	123	12	9	2	5	7	6	450	NA	NA	NA
"238"	129	3	108	2	77	12	10	10	301	15	4	4	5	6	4	561	NA	NA	NA
"239"	130	5	172	1	28	2	4	3	72	4	1	2	2	4	5	305	NA	NA	NA
"240"	131	30	317	27	57	10	22	9	130	18	8	8	9	14	8	667	NA	NA	NA
"241"	NA	58	1208	64	469	72	117	73	1341	104	54	55	42	59	65	3781	0	0	0
"242"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"247"	132	6	137	3	85	6	15	5	112	16	12	9	5	15	20	446	NA	NA	NA
"248"	133	11	296	9	129	8	24	10	176	17	23	8	6	6	12	735	NA	NA	NA
"249"	134	14	299	156	146	13	13	4	56	8	17	10	38	23	47	844	NA	NA	NA
"250"	135	4	146	2	103	28	5	3	85	8	13	9	3	17	11	437	NA	NA	NA
"251"	136	3	164	11	78	9	10	1	32	2	9	10	7	7	12	355	NA	NA	NA
"252"	137	21	245	14	194	11	17	12	124	19	21	15	15	32	24	764	NA	NA	NA
"253"	138	13	144	7	100	10	9	3	54	8	16	7	19	6	10	406	NA	NA	NA
"254"	139	20	268	9	106	8	15	3	164	10	10	8	4	4	9	638	NA	NA	NA
"255"	NA	92	1699	211	941	93	108	41	803	88	121	76	97	110	145	4625	0	0	0
"256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"259"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"261"	140	2	161	1	5	3	2	2	94	2	1	1	1	3	7	285	NA	NA	NA
"262"	141	15	148	5	65	6	4	2	69	8	9	7	11	9	5	363	NA	NA	NA
"263"	142	16	267	8	47	10	21	10	148	46	14	8	12	6	5	618	NA	NA	NA
"264"	143	18	166	5	106	5	34	28	329	23	20	17	16	8	7	782	NA	NA	NA
"265"	144	9	181	3	19	5	23	17	250	15	11	12	10	14	18	587	NA	NA	NA
"266"	145	5	141	9	94	2	21	13	156	11	14	23	7	14	19	529	NA	NA	NA
"267"	146	9	237	6	18	9	28	19	332	29	8	7	6	11	24	743	NA	NA	NA
"268"	147	5	88	8	5	4	11	15	294	11	4	4	1	2	9	461	NA	NA	NA
