"BOOTH.NO"	"ATAUR.RAHMAN"	"AWADHESH.PRASAD.KUSHWAHA"	"NAWIN.KUMAR.SINGH"	"RAJ.MANGAL.PRASAD"	"SANJEEV.KUMAR.SINGH"	"SUBHODH.YADAV"	"AKHTAR.ALI"	"NAGENDRA.SAHANI"	"RAJENDRA.PASWAN"	"VIKRAM.KUMAR"	"SHASHI.BHUSAN.KUMAR"	"SURENDRA.RAI"	"ABHAY.KUMAR.YADAV"	"DINESH.PATHAK"	"DEVILAL.PRASAD"	"NAWAL.KISHOR"	"VIRENDRA.NARAYAN.SINGH"	"SHIVAJI.SINGH"	"SAHDEO.PASWAN"	"SURESH.PRASAD.YADAV"	"ALAUDDIN.AZAD"	"KANHAIA.SINGH"	"TOTAL"
"35"	32	10	101	4	15	8	166	5	7	16	2	6	4	1	8	12	16	5	4	1	11	9	4	415
"36"	33	6	206	3	10	38	185	7	109	3	1	7	2	4	4	8	16	3	1	0	0	8	3	624
"37"	34	17	278	3	25	9	139	3	7	6	2	3	5	2	4	3	74	17	7	8	1	8	11	632
"38"	35	13	126	3	5	10	150	3	2	3	3	0	1	0	4	0	80	5	2	2	2	1	4	419
"39"	36	5	138	37	9	9	131	3	1	32	3	1	10	1	4	8	4	12	2	3	3	1	6	423
"40"	37	3	39	1	3	55	173	7	141	37	6	9	15	9	75	4	18	1	4	1	4	4	7	616
"41"	38	15	429	4	19	15	224	11	2	5	3	9	17	5	30	17	37	2	7	1	3	7	12	874
"42"	39	71	458	8	12	11	70	5	0	1	2	6	10	6	55	15	33	1	3	6	13	0	4	790
"43"	40	13	203	6	26	79	86	12	16	6	3	9	26	9	23	14	67	47	7	5	2	7	18	684
"44"	41	9	324	3	13	32	124	2	1	2	0	2	4	0	2	8	6	7	0	1	2	2	3	547
"45"	42	2	188	2	12	28	170	1	4	0	0	0	2	1	8	5	5	7	1	0	0	3	1	440
"46"	43	3	113	2	10	14	132	6	4	3	1	7	4	1	8	2	15	17	11	7	10	6	24	400
"47"	44	10	315	8	17	25	141	7	7	3	3	5	10	7	2	11	27	7	12	6	4	6	7	640
"48"	45	22	299	8	18	26	194	9	3	4	4	0	4	1	41	7	7	8	2	4	0	5	3	669
"49"	46	18	294	8	11	8	57	0	1	1	14	2	8	3	3	136	15	1	2	2	1	0	2	587
"50"	47	17	73	0	5	40	90	4	2	1	1	2	1	0	2	27	2	2	1	4	3	9	5	291
"51"	48	6	172	2	7	9	71	3	2	0	1	0	3	1	1	7	5	6	1	7	6	1	1	312
"52"	49	192	85	3	4	26	44	0	1	0	3	1	1	0	2	14	0	4	0	0	3	0	1	384
"53"	NA	100	32	1	3	6	124	1	0	1	0	0	2	0	1	1	4	4	0	1	1	10	1	293
"54"	50	6	185	2	8	20	114	1	5	3	2	5	4	5	2	15	10	8	5	4	4	4	4	416
"55"	NA	5	87	2	0	5	268	1	1	6	1	5	2	0	1	8	4	19	2	2	3	12	3	437
"56"	51	20	173	3	5	11	59	2	3	2	1	4	5	2	9	16	22	4	3	4	23	1	2	374
"57"	52	14	55	3	0	13	25	2	1	2	0	4	1	1	1	13	9	4	5	9	196	4	4	366
"58"	53	5	109	3	13	41	118	3	9	1	2	13	7	6	6	14	25	9	1	3	36	5	4	433
"59"	54	4	115	2	3	15	54	0	1	1	2	3	3	0	3	11	10	3	5	8	26	1	5	275
"60"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"62"	55	1	92	1	12	41	28	1	1	3	2	3	11	1	4	11	34	1	2	10	82	2	5	348
"63"	56	17	157	4	27	34	144	10	2	3	12	2	5	3	5	53	12	9	6	7	23	7	9	551
"64"	57	7	72	3	9	41	102	9	11	2	7	6	7	3	8	99	10	2	5	0	3	2	4	412
"65"	58	21	159	10	17	6	71	1	4	2	10	4	2	1	6	153	14	7	3	6	4	5	4	510
"66"	59	5	44	2	8	26	238	6	3	2	10	4	3	3	8	128	21	2	2	1	1	1	3	521
"67"	60	15	118	8	3	6	28	3	0	1	12	0	1	3	10	318	13	3	3	4	2	3	0	554
"68"	61	7	158	3	10	9	29	3	0	0	18	4	5	3	2	319	11	9	3	6	5	5	5	614
"69"	62	1	25	0	3	17	73	3	1	1	3	3	4	0	3	82	16	2	4	1	1	0	0	243
"70"	63	5	112	1	9	217	32	2	0	1	3	2	7	2	2	43	13	0	0	2	1	3	2	459
"71"	64	6	254	6	7	8	22	3	2	3	3	6	18	4	1	84	25	8	3	1	14	2	3	483
"72"	65	4	170	4	10	4	81	3	2	4	6	6	9	1	6	145	14	5	3	6	5	3	5	496
"73"	66	11	36	1	8	3	92	4	0	0	2	2	0	2	3	13	15	0	2	5	3	1	2	205
"74"	67	2	70	3	12	6	121	5	2	0	1	1	6	1	1	7	6	2	0	2	1	1	6	256
"75"	68	39	126	1	16	23	200	10	9	4	1	2	3	1	4	8	2	4	0	10	3	2	3	471
"76"	69	50	43	1	7	69	70	0	2	3	2	0	2	0	4	8	3	1	3	38	11	0	2	319
"77"	70	16	15	1	3	8	111	1	2	3	0	0	2	1	2	5	3	7	1	4	1	0	1	187
"78"	71	11	172	7	17	12	163	6	5	3	2	3	4	4	2	3	1	25	4	60	3	1	3	511
"79"	72	6	98	5	10	20	212	8	2	6	3	3	7	7	5	7	9	13	3	45	10	1	5	485
"80"	73	11	102	4	6	39	129	5	1	2	2	1	2	5	3	7	11	13	4	61	27	3	4	442
"81"	74	2	31	0	2	1	18	1	0	4	0	2	1	0	3	1	2	12	6	572	11	3	7	679
"82"	75	1	15	4	3	6	89	4	1	2	5	5	3	9	4	2	3	2	4	103	6	2	4	277
"83"	76	4	39	2	3	22	166	13	3	6	7	4	4	11	7	5	26	10	4	198	16	9	19	578
"84"	77	7	86	2	10	6	78	7	2	2	0	2	11	7	2	2	6	4	3	96	6	3	3	345
"85"	78	12	231	3	13	48	132	4	6	3	7	6	24	5	3	16	24	2	5	2	2	8	7	563
"86"	79	22	425	11	24	14	95	10	15	3	4	6	21	2	8	5	4	8	2	1	1	0	4	685
"87"	80	14	156	3	7	24	202	5	7	5	2	5	135	0	2	5	3	2	2	0	0	2	6	587
"88"	81	7	115	4	7	11	209	1	13	5	0	7	64	3	2	2	5	9	2	2	3	1	3	475
"89"	82	37	105	3	12	10	65	6	3	2	2	3	123	5	1	5	7	16	5	27	7	13	13	470
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"92"	83	22	157	0	13	36	38	3	6	2	1	5	69	1	3	6	13	6	2	8	11	5	7	414
"93"	84	44	208	10	39	100	48	12	13	2	1	4	15	7	5	10	24	26	5	2	9	4	7	595
"94"	85	36	55	0	9	32	56	12	3	4	1	5	7	1	14	5	13	61	5	6	2	6	1	334
"95"	86	6	170	5	12	27	95	7	9	6	3	1	9	2	2	5	20	8	5	0	1	1	6	400
"96"	87	23	485	4	32	7	121	8	3	3	6	11	9	2	4	7	6	31	11	17	6	14	22	832
"97"	88	15	190	4	14	35	125	7	1	3	1	1	7	1	2	8	11	16	3	7	3	2	5	461
"98"	89	23	153	3	17	9	151	10	2	2	0	4	8	3	1	9	9	3	0	28	1	1	4	441
"99"	90	19	127	3	10	9	130	9	6	0	2	1	2	1	1	1	2	1	0	3	0	2	1	330
"100"	91	8	174	5	55	131	17	6	125	10	3	2	15	2	6	20	15	3	2	2	4	3	7	615
"101"	92	10	186	2	20	66	46	15	235	11	6	14	24	5	8	11	26	57	8	11	12	5	23	801
"102"	93	2	122	5	19	35	82	7	11	3	6	6	17	6	19	10	34	6	8	8	7	9	9	431
"103"	94	16	136	3	44	108	58	5	20	1	3	6	13	1	19	12	30	11	0	0	1	8	6	501
"104"	95	16	126	1	7	103	155	3	3	2	0	4	5	0	4	3	4	7	1	2	0	3	6	455
"105"	96	1	253	3	9	27	35	3	1	0	1	0	1	0	7	11	1	45	0	2	3	3	3	409
"106"	97	0	113	1	6	14	39	3	1	4	3	0	4	0	0	7	4	9	2	1	3	0	0	214
"107"	98	6	295	3	13	23	71	9	3	5	1	4	7	3	4	11	15	69	9	7	16	9	23	606
"108"	99	34	240	6	17	11	174	16	8	5	2	4	2	8	5	7	12	54	4	4	2	3	6	624
"109"	100	11	513	10	18	32	63	0	0	0	2	0	5	1	10	3	5	8	3	5	3	0	5	697
"110"	101	2	396	5	24	44	60	5	1	1	1	1	6	5	12	1	1	28	3	2	0	1	6	605
"111"	102	2	382	0	13	82	86	2	1	0	1	0	2	1	6	2	4	19	2	0	6	3	6	620
"112"	103	19	404	5	25	31	55	5	3	0	4	0	4	1	45	3	2	8	0	0	0	2	7	623
"113"	104	4	338	6	31	43	69	6	2	2	1	2	9	2	46	2	5	14	1	2	1	6	6	598
"114"	105	3	298	3	10	3	43	8	2	2	1	0	0	0	6	1	2	40	1	15	4	0	5	447
"115"	106	2	287	1	13	22	47	13	1	1	0	0	1	1	5	4	7	163	2	10	8	0	4	592
"116"	107	4	383	3	13	104	46	1	1	2	0	0	5	4	41	1	3	5	4	0	2	4	3	629
"117"	108	11	215	5	13	75	87	4	1	4	2	1	4	1	3	4	4	15	1	0	1	1	3	455
"118"	109	9	210	4	10	17	257	5	2	1	1	2	3	6	160	6	6	12	0	4	3	0	1	719
"119"	110	9	154	1	15	14	125	19	2	0	1	5	5	3	59	6	13	10	0	1	1	0	3	446
"120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"122"	111	3	78	3	3	282	54	3	0	0	1	4	11	0	22	3	11	13	3	3	20	1	1	519
"123"	112	11	170	1	8	237	35	2	2	1	0	1	2	0	8	1	6	14	0	0	1	2	2	504
"124"	113	1	28	0	8	101	24	1	1	2	0	1	5	12	372	3	1	0	0	3	0	0	0	563
"125"	114	2	18	3	1	29	0	2	10	2	0	0	1	3	252	6	0	3	1	6	2	2	2	345
"126"	115	12	142	3	14	135	108	20	16	0	4	2	4	4	64	3	1	3	5	0	0	5	6	551
"127"	116	15	145	8	19	27	80	37	6	3	1	3	4	8	60	11	12	26	6	5	4	2	4	486
"128"	117	8	98	3	10	9	86	17	7	5	5	5	5	13	108	15	16	36	2	5	0	3	4	460
"129"	118	63	195	3	13	12	128	11	5	13	2	7	6	3	19	7	19	16	6	13	7	9	6	563
"130"	119	20	222	2	13	26	196	13	2	0	3	4	6	6	5	10	17	7	1	21	2	9	4	589
"131"	120	10	84	3	12	51	195	11	8	1	4	3	8	2	7	6	12	13	3	1	3	0	5	442
"132"	121	9	221	3	36	24	75	5	1	0	1	2	2	5	2	0	2	30	2	3	3	1	3	430
"133"	122	25	98	3	10	28	54	22	163	5	1	2	3	0	1	5	5	9	1	9	6	3	5	458
"134"	123	13	75	1	9	21	137	2	12	5	0	3	0	12	1	2	0	6	1	3	1	3	4	311
"135"	124	144	4	0	0	5	7	1	0	0	0	0	1	1	1	2	7	2	1	0	0	1	2	179
"136"	125	17	98	0	7	11	105	91	1	1	4	2	1	3	4	5	8	5	10	6	7	3	5	394
"137"	126	14	93	3	14	9	154	23	5	2	3	5	4	9	0	2	3	17	6	0	0	2	4	372
"138"	127	14	263	4	20	13	18	7	4	1	0	11	2	26	1	5	9	28	11	6	1	5	6	455
"139"	128	184	24	1	17	5	19	0	1	6	0	1	4	14	19	3	12	25	3	1	1	1	0	341
"140"	129	20	93	3	25	21	76	2	3	3	2	2	8	64	4	7	6	10	4	3	6	5	6	373
"141"	130	16	314	6	42	22	41	3	26	1	2	0	4	73	10	3	11	15	8	2	2	3	6	610
"142"	131	14	172	4	29	19	160	12	18	4	3	5	11	22	2	15	13	7	2	3	0	2	1	518
"143"	132	16	91	4	26	8	71	7	3	4	1	3	1	67	6	6	8	19	117	10	13	4	12	497
"144"	133	27	257	3	17	28	43	4	1	3	0	2	3	48	3	1	6	13	2	2	0	2	0	465
"145"	134	125	72	1	12	22	8	2	10	0	0	0	2	4	4	0	0	4	1	0	0	0	0	267
"146"	135	161	224	6	31	32	61	6	3	4	1	1	2	26	1	0	8	28	4	1	4	1	2	607
"147"	136	3	116	5	12	5	17	6	48	1	2	2	4	0	2	11	4	32	183	22	5	8	3	491
"148"	137	40	287	4	31	16	23	2	17	2	2	3	3	40	4	7	7	10	13	3	2	4	5	525
"149"	138	74	321	6	36	24	9	0	4	2	2	4	11	41	4	8	11	8	13	2	1	4	8	593
"150"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"152"	139	43	193	3	10	9	189	5	3	5	1	10	5	2	8	4	7	32	4	2	7	6	13	561
"153"	140	41	194	3	19	20	106	5	2	2	0	8	6	5	7	6	6	20	6	3	2	4	8	473
"154"	141	261	91	1	13	28	227	7	1	2	1	6	8	12	4	2	24	21	3	1	1	1	1	716
"155"	142	161	63	0	29	6	72	1	2	0	0	0	1	0	1	1	2	6	1	0	0	3	2	351
"156"	143	77	71	1	27	7	74	2	0	0	1	2	0	0	3	3	4	6	1	1	1	0	1	282
"157"	144	13	326	4	29	10	91	6	1	3	3	4	6	3	6	23	13	7	6	4	3	2	2	565
"158"	145	40	205	3	17	49	90	8	3	2	1	4	1	1	4	13	12	24	5	1	3	4	4	494
"159"	146	0	87	0	2	1	68	4	5	2	2	0	5	7	1	7	5	0	1	8	13	0	3	221
"160"	147	89	145	0	17	15	99	3	5	2	1	0	4	1	0	4	1	16	2	1	1	0	1	407
"161"	148	19	319	7	27	9	129	1	0	4	1	2	5	4	27	13	9	25	8	6	4	8	8	635
"162"	149	11	218	6	13	10	92	9	6	4	3	2	9	3	7	10	2	32	4	5	9	4	1	460
"163"	150	55	217	3	11	9	64	8	8	3	2	1	5	7	7	5	10	7	5	1	1	0	4	433
"164"	151	16	110	9	12	11	28	5	169	10	3	6	5	25	5	6	13	6	5	0	1	3	1	449
"165"	152	14	110	2	9	4	56	7	23	2	2	3	8	6	5	7	10	16	5	3	6	2	6	306
"166"	153	120	194	8	17	5	83	10	3	3	1	0	6	3	2	5	5	38	79	10	1	2	6	601
"167"	154	16	265	3	27	12	69	2	1	2	0	2	2	5	0	3	47	9	7	2	6	0	4	484
"168"	155	82	308	9	24	8	188	10	1	2	5	3	3	4	4	2	4	20	18	6	4	11	8	724
"169"	156	5	216	5	13	35	86	8	3	3	3	7	6	7	11	7	13	32	12	1	2	0	10	485
"170"	157	16	239	5	29	18	104	4	124	1	3	3	4	0	0	8	3	6	3	2	5	3	10	590
"171"	158	2	71	0	8	5	10	2	7	1	1	0	4	1	1	1	2	9	1	3	1	1	6	137
"172"	159	6	299	8	15	15	132	6	31	2	5	6	12	4	7	12	14	13	11	5	0	1	8	612
"173"	160	15	135	3	10	9	138	9	108	7	2	4	10	4	1	12	13	7	4	1	0	5	7	504
"174"	161	6	138	4	8	17	272	4	37	1	1	3	3	14	2	2	1	5	2	1	0	2	8	531
"175"	162	12	70	2	19	11	117	5	153	7	5	4	6	5	20	13	19	3	3	5	2	1	22	504
"176"	163	80	80	4	23	9	140	9	61	2	1	0	6	5	6	1	5	13	5	1	1	3	1	456
"177"	164	40	178	0	19	12	179	7	12	7	2	10	9	2	1	11	18	3	4	1	1	2	5	523
"178"	NA	15	84	1	9	1	58	2	41	3	1	1	1	2	3	0	4	0	0	0	0	1	1	228
"179"	165	64	330	15	58	35	243	6	4	1	2	2	2	6	2	4	12	4	5	4	4	4	4	811
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"182"	166	5	42	1	21	4	337	14	16	2	2	11	1	0	2	3	16	1	1	3	2	2	5	491
"183"	167	67	63	4	216	27	156	15	6	10	8	6	8	3	8	8	10	5	4	2	8	2	8	644
"184"	168	23	158	11	44	60	343	4	12	5	5	8	11	13	2	13	8	8	2	2	3	7	8	750
"185"	169	10	25	2	159	51	249	9	7	5	1	4	4	4	1	3	6	9	5	1	4	5	11	575
"186"	170	3	127	2	61	11	129	4	1	1	1	7	7	1	2	1	7	13	8	6	8	5	10	415
"187"	171	7	81	2	92	2	67	3	1	0	0	1	2	0	1	0	0	3	1	2	5	3	6	279
"188"	172	13	308	7	56	40	43	5	1	4	2	6	8	7	5	13	16	2	2	2	1	3	12	556
"189"	173	10	322	5	48	29	128	4	4	5	3	8	11	9	9	7	24	11	6	0	4	5	6	658
"190"	174	21	39	2	104	47	163	4	1	4	1	2	1	2	0	1	2	5	3	0	0	1	0	403
"191"	175	8	61	2	125	16	107	3	3	1	2	6	2	6	3	5	7	1	3	1	3	1	9	375
"192"	176	4	42	3	247	53	79	6	2	3	4	5	9	11	2	4	11	29	2	6	15	7	15	559
"193"	177	13	115	7	325	15	61	5	0	1	1	4	4	4	1	6	4	4	4	5	6	0	12	597
"194"	178	19	315	7	135	26	100	3	5	4	32	2	6	1	4	7	10	17	10	8	4	25	20	760
"195"	179	6	154	5	214	8	18	1	3	5	6	0	10	9	4	4	6	5	2	6	5	5	6	482
"196"	180	5	123	1	149	5	103	8	3	3	2	2	5	2	1	4	15	5	4	5	5	5	10	465
"197"	181	9	45	0	14	8	123	0	2	1	2	2	1	2	1	1	10	1	1	3	0	3	4	233
"198"	182	6	83	5	344	15	35	6	4	3	2	2	7	9	1	0	5	1	0	1	5	2	3	539
"199"	183	11	95	1	472	11	17	4	15	6	1	4	6	10	5	3	15	0	1	1	7	1	4	690
"200"	184	3	68	5	577	18	40	2	5	1	4	9	14	20	4	5	22	6	4	6	18	8	12	851
"201"	185	8	78	3	289	17	158	4	8	9	6	16	10	23	6	10	12	13	4	0	10	11	10	705
"202"	186	7	19	3	148	12	176	5	3	3	2	3	2	10	6	3	12	7	3	1	9	5	17	456
"203"	187	6	72	2	187	5	120	4	3	2	6	8	3	2	0	4	3	5	3	1	4	8	6	454
"204"	188	11	70	0	41	18	185	7	4	2	3	7	1	0	13	5	3	6	0	2	4	1	2	385
"205"	189	12	108	2	89	35	80	3	62	3	1	7	1	4	6	2	8	22	13	1	11	15	16	501
"206"	190	2	225	3	200	31	72	4	3	4	3	4	8	17	10	15	32	3	0	4	1	11	11	663
"207"	191	17	153	8	280	26	101	7	13	4	1	3	0	5	1	2	10	13	5	9	11	15	10	694
"208"	192	4	172	4	150	24	79	4	0	1	3	1	8	4	2	4	14	7	5	10	11	11	13	531
"209"	193	4	65	3	77	21	387	14	4	5	8	12	14	11	6	7	13	1	0	2	0	2	1	657
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"212"	194	2	131	3	158	25	14	1	5	2	0	0	2	6	4	3	10	2	6	6	10	4	10	404
"213"	NA	3	42	3	84	3	157	3	1	1	5	5	4	1	0	1	3	13	5	5	8	2	8	357
"214"	195	13	106	2	68	15	262	12	4	5	5	7	6	5	4	4	15	2	3	3	3	5	11	560
"215"	196	23	76	3	142	11	15	3	1	1	3	2	2	2	1	2	1	6	1	3	5	4	8	315
"216"	197	4	34	1	42	5	36	3	1	4	3	2	1	1	1	6	5	0	1	0	0	9	3	162
"217"	198	8	108	2	142	8	61	4	1	2	10	3	4	2	1	1	2	5	1	3	2	8	8	386
"218"	199	1	196	5	76	6	100	1	0	3	3	6	3	2	1	3	6	1	3	1	0	0	3	420
"219"	200	5	53	2	12	12	167	8	5	1	4	18	10	1	5	6	20	2	4	0	2	27	7	371
"220"	201	5	147	3	52	44	65	5	115	4	0	14	8	2	3	8	8	0	3	9	6	16	11	528
"221"	202	2	122	4	36	12	90	6	41	7	5	4	7	5	6	13	30	5	1	6	7	54	8	471
"222"	203	3	90	2	11	14	38	2	22	1	2	1	1	0	1	5	12	4	11	22	4	5	4	255
"223"	204	3	159	1	10	18	249	9	27	2	0	19	7	1	1	6	8	1	1	1	1	49	6	579
"224"	205	18	150	2	99	35	110	7	5	1	0	6	11	4	2	7	20	13	4	2	3	5	6	510
"225"	206	5	138	5	19	37	396	13	3	5	1	25	7	0	2	2	14	4	3	3	1	3	4	690
"226"	207	5	106	1	5	3	313	1	2	1	0	12	8	5	3	6	23	47	3	3	1	4	9	561
"227"	208	1	96	0	4	3	210	0	0	0	0	5	1	0	0	0	2	3	0	0	0	2	0	327
"228"	209	20	204	3	44	9	216	10	4	4	3	7	2	4	4	8	6	23	7	2	6	5	13	604
"229"	210	10	342	12	30	39	193	6	3	2	3	9	8	3	9	7	31	18	13	0	0	6	7	751
"230"	211	7	146	1	55	10	279	7	3	5	2	4	3	1	4	3	9	15	5	3	1	2	2	567
"231"	212	5	229	2	21	3	88	2	2	2	1	3	3	0	6	4	5	5	6	1	0	4	4	396
"232"	213	97	274	2	36	11	19	6	33	2	5	1	5	1	3	1	4	6	2	1	2	1	3	515
"233"	214	76	64	3	7	0	16	0	0	0	1	3	4	0	0	0	6	4	2	0	1	0	1	188
"234"	215	297	131	5	14	2	42	1	36	4	0	1	7	2	4	3	19	12	5	6	2	4	8	605
"235"	216	8	25	1	72	7	176	7	9	7	0	4	10	2	1	7	6	1	0	0	1	2	3	349
"236"	217	9	141	3	17	6	49	7	186	5	2	6	7	1	3	5	13	3	2	3	1	4	11	484
"237"	218	35	369	7	32	20	131	4	54	4	1	4	5	0	3	5	9	21	16	6	9	9	11	755
"238"	219	45	421	12	51	9	90	7	21	8	4	6	7	2	7	13	5	18	95	6	7	11	11	856
"239"	220	21	253	2	28	18	145	3	41	6	3	7	7	0	2	4	9	9	3	2	1	3	4	571
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"242"	221	3	255	2	17	4	24	1	0	0	0	4	3	1	3	3	4	2	28	7	3	14	6	384
"243"	222	23	165	10	12	23	27	7	235	7	1	3	4	1	0	1	9	6	1	0	0	0	1	536
"244"	223	28	241	6	23	31	111	5	277	5	2	2	7	2	0	9	4	3	1	5	4	2	6	774
"245"	224	10	180	1	6	13	190	9	47	4	1	4	5	0	9	3	2	35	7	7	3	5	9	550
"246"	225	17	259	5	13	11	298	12	73	3	0	5	1	2	7	1	3	6	3	1	3	2	5	730
"247"	226	10	260	2	37	50	236	2	0	0	2	0	3	1	0	2	5	9	38	3	2	5	3	670
"248"	227	9	276	2	18	20	146	6	4	1	5	31	6	1	2	3	14	8	4	2	0	1	4	563
"249"	228	9	78	3	13	7	153	7	5	2	2	9	12	2	2	3	24	8	4	1	0	5	3	352
"250"	229	6	117	5	9	54	149	4	45	4	6	7	5	0	5	5	7	5	24	5	1	3	9	475
