"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"34"	"27"	"23"	"8"	"8"	"5"	"224"	"145"	"15"	"15"	"7"	"14"	"30"	"12"	"9"	"4"	"12"	"33"	"6"	"4"	"0"	"5"	"579"
"35"	"28"	"11"	"6"	"4"	"3"	"327"	"44"	"6"	"10"	"2"	"4"	"8"	"12"	"6"	"6"	"6"	"16"	"2"	"2"	"0"	"2"	"477"
"36"	"29"	"2"	"261"	"11"	"0"	"189"	"48"	"3"	"0"	"1"	"2"	"1"	"2"	"0"	"11"	"1"	"5"	"4"	"3"	"1"	"2"	"547"
"37"	"30"	"5"	"53"	"5"	"8"	"413"	"17"	"7"	"1"	"1"	"5"	"3"	"3"	"0"	"3"	"4"	"2"	"4"	"1"	"6"	"2"	"543"
"38"	"31"	"13"	"71"	"24"	"8"	"217"	"62"	"10"	"4"	"5"	"3"	"11"	"6"	"9"	"5"	"7"	"9"	"20"	"8"	"12"	"11"	"515"
"39"	"32"	"8"	"63"	"16"	"4"	"462"	"62"	"18"	"10"	"5"	"4"	"10"	"13"	"8"	"22"	"4"	"25"	"6"	"6"	"2"	"13"	"761"
"40"	"33"	"38"	"23"	"10"	"7"	"459"	"16"	"10"	"12"	"4"	"8"	"1"	"7"	"4"	"8"	"4"	"9"	"27"	"8"	"19"	"17"	"691"
"41"	"34"	"10"	"36"	"55"	"3"	"317"	"99"	"16"	"7"	"3"	"5"	"10"	"11"	"8"	"10"	"5"	"13"	"2"	"2"	"5"	"6"	"623"
"42"	"35"	"10"	"3"	"4"	"2"	"197"	"187"	"6"	"8"	"8"	"5"	"14"	"5"	"5"	"6"	"2"	"16"	"5"	"4"	"10"	"8"	"505"
"43"	"36"	"8"	"23"	"7"	"6"	"249"	"66"	"5"	"5"	"7"	"3"	"10"	"6"	"5"	"10"	"5"	"30"	"6"	"0"	"3"	"3"	"457"
"44"	"37"	"21"	"14"	"5"	"7"	"272"	"156"	"7"	"7"	"11"	"1"	"10"	"2"	"2"	"2"	"1"	"6"	"2"	"1"	"2"	"5"	"534"
"45"	"38"	"8"	"4"	"4"	"4"	"153"	"188"	"4"	"9"	"7"	"3"	"3"	"1"	"12"	"9"	"5"	"6"	"1"	"0"	"4"	"1"	"426"
"46"	"39"	"17"	"16"	"7"	"6"	"241"	"296"	"18"	"12"	"10"	"11"	"25"	"16"	"20"	"8"	"14"	"18"	"7"	"4"	"4"	"1"	"751"
"47"	"40"	"13"	"9"	"6"	"4"	"124"	"220"	"14"	"16"	"7"	"7"	"20"	"8"	"16"	"3"	"4"	"14"	"8"	"3"	"2"	"4"	"502"
"48"	"41"	"8"	"4"	"6"	"2"	"214"	"149"	"7"	"10"	"4"	"6"	"15"	"9"	"3"	"11"	"4"	"19"	"7"	"1"	"1"	"7"	"487"
"49"	"42"	"7"	"3"	"0"	"2"	"35"	"228"	"4"	"1"	"3"	"2"	"12"	"1"	"2"	"2"	"4"	"14"	"6"	"6"	"1"	"3"	"336"
"50"	"43"	"10"	"71"	"16"	"6"	"411"	"138"	"10"	"4"	"7"	"5"	"9"	"7"	"3"	"10"	"6"	"37"	"2"	"0"	"3"	"3"	"758"
"51"	"44"	"4"	"17"	"1"	"9"	"379"	"32"	"7"	"1"	"2"	"4"	"4"	"3"	"6"	"9"	"7"	"7"	"0"	"1"	"0"	"0"	"493"
"52"	"45"	"0"	"24"	"3"	"5"	"120"	"139"	"0"	"1"	"1"	"1"	"2"	"1"	"4"	"1"	"1"	"5"	"0"	"0"	"0"	"3"	"311"
"53"	"46"	"6"	"15"	"7"	"12"	"107"	"253"	"12"	"6"	"5"	"12"	"12"	"9"	"7"	"8"	"3"	"17"	"0"	"0"	"0"	"4"	"495"
"54"	"47"	"2"	"42"	"0"	"126"	"123"	"64"	"9"	"4"	"4"	"5"	"5"	"4"	"4"	"7"	"7"	"15"	"1"	"0"	"1"	"2"	"425"
"55"	"48"	"1"	"44"	"9"	"65"	"156"	"29"	"5"	"3"	"1"	"4"	"3"	"3"	"4"	"10"	"4"	"5"	"4"	"1"	"1"	"0"	"352"
"56"	"49"	"7"	"5"	"5"	"22"	"352"	"69"	"7"	"7"	"4"	"2"	"3"	"0"	"3"	"7"	"1"	"4"	"6"	"1"	"4"	"4"	"513"
"57"	"50"	"2"	"20"	"3"	"37"	"151"	"12"	"1"	"0"	"0"	"1"	"0"	"4"	"0"	"2"	"0"	"3"	"1"	"2"	"2"	"3"	"244"
"58"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"60"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"61"	"51"	"4"	"4"	"13"	"5"	"92"	"288"	"11"	"11"	"14"	"8"	"11"	"12"	"6"	"10"	"7"	"13"	"4"	"6"	"2"	"4"	"525"
"62"	"52"	"8"	"50"	"15"	"1"	"165"	"278"	"8"	"3"	"4"	"4"	"6"	"4"	"4"	"2"	"1"	"11"	"2"	"2"	"2"	"3"	"573"
"63"	"53"	"4"	"7"	"10"	"1"	"94"	"297"	"8"	"10"	"10"	"9"	"9"	"5"	"9"	"6"	"5"	"8"	"6"	"0"	"4"	"11"	"513"
"64"	"54"	"129"	"3"	"1"	"1"	"163"	"100"	"13"	"8"	"7"	"9"	"7"	"5"	"9"	"6"	"3"	"11"	"1"	"0"	"2"	"5"	"483"
"65"	"55"	"80"	"8"	"3"	"6"	"74"	"203"	"12"	"7"	"15"	"4"	"7"	"4"	"4"	"3"	"4"	"6"	"10"	"5"	"5"	"4"	"464"
"66"	"56"	"10"	"3"	"3"	"5"	"132"	"166"	"7"	"4"	"5"	"6"	"7"	"4"	"5"	"4"	"5"	"6"	"14"	"3"	"7"	"5"	"401"
"67"	"57"	"15"	"40"	"15"	"4"	"206"	"131"	"5"	"9"	"3"	"1"	"1"	"5"	"10"	"4"	"3"	"7"	"9"	"4"	"9"	"5"	"486"
"68"	"58"	"18"	"13"	"4"	"3"	"341"	"49"	"3"	"2"	"2"	"4"	"10"	"3"	"9"	"4"	"5"	"55"	"5"	"4"	"3"	"4"	"541"
"69"	"59"	"12"	"12"	"12"	"9"	"138"	"290"	"13"	"12"	"6"	"5"	"19"	"10"	"16"	"5"	"9"	"20"	"27"	"10"	"11"	"12"	"648"
"70"	"60"	"8"	"28"	"8"	"3"	"255"	"48"	"5"	"4"	"2"	"2"	"2"	"7"	"4"	"1"	"4"	"2"	"2"	"1"	"2"	"3"	"391"
"71"	"61"	"19"	"61"	"4"	"3"	"289"	"59"	"8"	"4"	"7"	"3"	"6"	"4"	"4"	"5"	"1"	"7"	"12"	"1"	"6"	"2"	"505"
"72"	"62"	"15"	"105"	"9"	"2"	"238"	"40"	"3"	"2"	"3"	"2"	"0"	"0"	"1"	"2"	"1"	"6"	"3"	"1"	"1"	"0"	"434"
"73"	"63"	"7"	"48"	"3"	"6"	"117"	"128"	"6"	"4"	"6"	"2"	"4"	"2"	"4"	"1"	"2"	"3"	"8"	"2"	"7"	"7"	"367"
"74"	"64"	"27"	"20"	"3"	"9"	"222"	"272"	"5"	"6"	"9"	"4"	"10"	"12"	"13"	"3"	"6"	"10"	"21"	"6"	"8"	"10"	"676"
"75"	"65"	"8"	"82"	"9"	"9"	"356"	"101"	"16"	"7"	"11"	"13"	"17"	"14"	"7"	"3"	"20"	"21"	"18"	"3"	"21"	"35"	"771"
"76"	"66"	"3"	"83"	"14"	"7"	"150"	"11"	"3"	"0"	"1"	"2"	"0"	"2"	"1"	"3"	"3"	"9"	"0"	"1"	"2"	"3"	"298"
"77"	"67"	"2"	"104"	"8"	"5"	"108"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"0"	"5"	"0"	"247"
"78"	"68"	"5"	"65"	"2"	"0"	"146"	"61"	"8"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"5"	"1"	"304"
"79"	"69"	"2"	"74"	"2"	"0"	"149"	"13"	"2"	"1"	"1"	"2"	"0"	"8"	"2"	"4"	"4"	"4"	"0"	"2"	"7"	"7"	"284"
"80"	"70"	"24"	"149"	"25"	"9"	"184"	"96"	"14"	"4"	"9"	"2"	"3"	"0"	"6"	"1"	"3"	"5"	"5"	"2"	"1"	"2"	"544"
"81"	"71"	"12"	"6"	"5"	"5"	"226"	"274"	"14"	"4"	"6"	"6"	"17"	"4"	"10"	"4"	"3"	"7"	"5"	"1"	"2"	"4"	"615"
"82"	"72"	"6"	"8"	"3"	"6"	"131"	"143"	"5"	"5"	"9"	"4"	"11"	"5"	"2"	"6"	"8"	"4"	"5"	"2"	"4"	"3"	"370"
"83"	"73"	"7"	"10"	"6"	"4"	"222"	"98"	"6"	"6"	"1"	"4"	"4"	"5"	"5"	"4"	"3"	"19"	"5"	"3"	"2"	"4"	"418"
"84"	"74"	"7"	"22"	"5"	"3"	"371"	"46"	"10"	"1"	"2"	"3"	"9"	"9"	"4"	"8"	"1"	"28"	"3"	"2"	"7"	"5"	"546"
"85"	"75"	"4"	"28"	"1"	"0"	"165"	"31"	"4"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"4"	"11"	"1"	"2"	"1"	"2"	"264"
"86"	"76"	"8"	"45"	"11"	"9"	"476"	"140"	"15"	"6"	"6"	"2"	"2"	"1"	"3"	"6"	"10"	"17"	"22"	"4"	"13"	"9"	"805"
"87"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"90"	"77"	"15"	"82"	"15"	"5"	"333"	"33"	"6"	"9"	"6"	"7"	"5"	"12"	"7"	"9"	"9"	"15"	"6"	"10"	"2"	"6"	"592"
"91"	"78"	"14"	"75"	"19"	"8"	"272"	"66"	"11"	"9"	"6"	"4"	"4"	"4"	"3"	"5"	"4"	"10"	"9"	"6"	"4"	"4"	"537"
"92"	"79"	"2"	"51"	"2"	"1"	"177"	"54"	"3"	"0"	"2"	"1"	"4"	"0"	"3"	"3"	"3"	"2"	"4"	"0"	"5"	"4"	"321"
"93"	"80"	"5"	"140"	"15"	"1"	"92"	"92"	"2"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"1"	"0"	"360"
"94"	"81"	"25"	"84"	"9"	"9"	"519"	"25"	"6"	"6"	"2"	"5"	"1"	"2"	"1"	"4"	"1"	"6"	"4"	"2"	"9"	"1"	"721"
"95"	"82"	"9"	"1"	"4"	"5"	"159"	"88"	"12"	"8"	"6"	"3"	"2"	"2"	"2"	"5"	"0"	"3"	"5"	"2"	"1"	"3"	"320"
"96"	"83"	"10"	"15"	"9"	"4"	"427"	"199"	"65"	"11"	"7"	"2"	"5"	"11"	"9"	"9"	"9"	"11"	"15"	"4"	"16"	"19"	"857"
"97"	"84"	"5"	"34"	"14"	"4"	"354"	"59"	"6"	"2"	"2"	"2"	"4"	"5"	"3"	"7"	"5"	"12"	"3"	"0"	"0"	"7"	"528"
"98"	"85"	"2"	"78"	"18"	"1"	"252"	"101"	"5"	"2"	"2"	"3"	"7"	"5"	"4"	"4"	"1"	"11"	"20"	"9"	"15"	"12"	"552"
"99"	"86"	"13"	"112"	"10"	"3"	"391"	"64"	"4"	"6"	"3"	"4"	"2"	"5"	"6"	"1"	"1"	"7"	"2"	"3"	"7"	"5"	"649"
"100"	"87"	"6"	"87"	"18"	"3"	"312"	"27"	"2"	"6"	"3"	"1"	"3"	"15"	"2"	"6"	"5"	"13"	"1"	"1"	"3"	"5"	"519"
"101"	"88"	"6"	"32"	"36"	"3"	"521"	"21"	"6"	"1"	"4"	"1"	"2"	"6"	"5"	"10"	"3"	"11"	"8"	"7"	"16"	"15"	"714"
"102"	"89"	"3"	"22"	"14"	"6"	"382"	"24"	"6"	"6"	"0"	"2"	"4"	"9"	"4"	"6"	"3"	"7"	"0"	"0"	"1"	"1"	"500"
"103"	"90"	"2"	"16"	"10"	"2"	"457"	"5"	"7"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"1"	"4"	"10"	"4"	"14"	"12"	"554"
"104"	"91"	"19"	"1"	"15"	"1"	"249"	"108"	"11"	"9"	"7"	"2"	"2"	"1"	"1"	"0"	"1"	"3"	"4"	"0"	"1"	"2"	"437"
"105"	"92"	"3"	"100"	"24"	"8"	"248"	"28"	"3"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"3"	"4"	"6"	"6"	"8"	"3"	"455"
"106"	"93"	"8"	"3"	"25"	"2"	"24"	"140"	"6"	"2"	"3"	"2"	"7"	"1"	"3"	"0"	"0"	"1"	"4"	"2"	"1"	"2"	"236"
"107"	"94"	"5"	"38"	"10"	"3"	"397"	"76"	"10"	"9"	"1"	"4"	"5"	"8"	"5"	"6"	"3"	"5"	"6"	"3"	"4"	"4"	"602"
"108"	"95"	"12"	"23"	"15"	"3"	"271"	"192"	"7"	"8"	"3"	"6"	"15"	"4"	"8"	"3"	"5"	"7"	"9"	"5"	"7"	"12"	"615"
"109"	"96"	"7"	"82"	"13"	"3"	"396"	"81"	"2"	"1"	"2"	"1"	"1"	"2"	"3"	"6"	"4"	"2"	"5"	"2"	"5"	"2"	"620"
"110"	"97"	"7"	"98"	"14"	"4"	"144"	"157"	"7"	"5"	"4"	"3"	"9"	"2"	"7"	"3"	"1"	"5"	"4"	"4"	"7"	"3"	"488"
"111"	"98"	"18"	"17"	"9"	"6"	"313"	"232"	"14"	"13"	"12"	"8"	"14"	"5"	"2"	"6"	"6"	"5"	"7"	"3"	"9"	"8"	"707"
"112"	"99"	"13"	"16"	"6"	"5"	"80"	"200"	"19"	"4"	"4"	"5"	"12"	"5"	"8"	"0"	"5"	"12"	"2"	"1"	"5"	"6"	"408"
"113"	"100"	"14"	"0"	"7"	"6"	"165"	"210"	"11"	"4"	"7"	"2"	"7"	"5"	"9"	"0"	"2"	"6"	"5"	"1"	"0"	"5"	"466"
"114"	"101"	"3"	"2"	"12"	"2"	"321"	"8"	"3"	"1"	"1"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"4"	"368"
"115"	"102"	"20"	"12"	"19"	"7"	"247"	"131"	"6"	"6"	"9"	"6"	"9"	"3"	"6"	"3"	"3"	"10"	"3"	"0"	"2"	"2"	"504"
"116"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"119"	"103"	"4"	"8"	"5"	"18"	"330"	"50"	"11"	"2"	"3"	"3"	"5"	"8"	"6"	"6"	"3"	"17"	"5"	"1"	"4"	"5"	"494"
"120"	"104"	"16"	"161"	"19"	"3"	"171"	"125"	"3"	"4"	"2"	"4"	"10"	"4"	"8"	"3"	"3"	"9"	"4"	"0"	"3"	"6"	"558"
"121"	"105"	"10"	"32"	"16"	"12"	"218"	"101"	"8"	"0"	"4"	"2"	"6"	"3"	"3"	"2"	"2"	"4"	"8"	"2"	"3"	"1"	"437"
"122"	"106"	"7"	"13"	"35"	"4"	"230"	"160"	"7"	"5"	"7"	"1"	"5"	"2"	"9"	"7"	"2"	"5"	"6"	"2"	"4"	"6"	"517"
"123"	"107"	"23"	"1"	"26"	"2"	"15"	"244"	"8"	"2"	"4"	"4"	"13"	"3"	"1"	"2"	"1"	"5"	"11"	"5"	"2"	"10"	"382"
"124"	"108"	"8"	"12"	"3"	"3"	"66"	"207"	"7"	"6"	"4"	"2"	"6"	"0"	"5"	"1"	"1"	"3"	"3"	"3"	"1"	"4"	"345"
"125"	"109"	"0"	"11"	"5"	"4"	"192"	"114"	"7"	"3"	"2"	"4"	"11"	"4"	"2"	"4"	"4"	"11"	"2"	"1"	"0"	"3"	"384"
"126"	"110"	"8"	"1"	"4"	"1"	"62"	"219"	"2"	"2"	"2"	"3"	"18"	"7"	"7"	"4"	"3"	"8"	"0"	"0"	"1"	"1"	"353"
"127"	"111"	"3"	"1"	"22"	"5"	"106"	"133"	"10"	"7"	"0"	"7"	"10"	"5"	"5"	"5"	"2"	"12"	"3"	"2"	"4"	"3"	"345"
"128"	"112"	"23"	"15"	"15"	"2"	"233"	"34"	"9"	"5"	"3"	"8"	"20"	"2"	"3"	"9"	"6"	"13"	"9"	"5"	"5"	"6"	"425"
"129"	"113"	"10"	"16"	"6"	"3"	"156"	"103"	"4"	"2"	"3"	"2"	"19"	"2"	"1"	"3"	"2"	"6"	"3"	"1"	"4"	"0"	"346"
"130"	"114"	"4"	"5"	"13"	"4"	"188"	"387"	"6"	"5"	"3"	"3"	"13"	"4"	"6"	"1"	"1"	"10"	"0"	"0"	"9"	"4"	"666"
"131"	"115"	"12"	"8"	"24"	"10"	"597"	"27"	"20"	"3"	"2"	"9"	"5"	"18"	"4"	"4"	"5"	"26"	"5"	"0"	"2"	"9"	"790"
"132"	"116"	"0"	"178"	"6"	"0"	"133"	"53"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"4"	"2"	"0"	"13"	"1"	"1"	"396"
"133"	"117"	"22"	"24"	"66"	"4"	"325"	"17"	"6"	"1"	"6"	"1"	"4"	"2"	"1"	"9"	"3"	"6"	"9"	"1"	"3"	"6"	"516"
"134"	"118"	"1"	"2"	"39"	"2"	"23"	"189"	"8"	"4"	"3"	"0"	"3"	"2"	"6"	"3"	"2"	"8"	"1"	"1"	"2"	"1"	"300"
"135"	"119"	"8"	"0"	"28"	"0"	"28"	"271"	"6"	"5"	"3"	"3"	"21"	"3"	"3"	"3"	"0"	"2"	"1"	"0"	"1"	"0"	"386"
"136"	"120"	"2"	"121"	"11"	"4"	"275"	"32"	"2"	"1"	"2"	"3"	"3"	"5"	"1"	"3"	"3"	"26"	"0"	"1"	"3"	"2"	"500"
"137"	"121"	"0"	"80"	"1"	"2"	"12"	"13"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"111"
"138"	"122"	"4"	"5"	"6"	"1"	"341"	"130"	"10"	"4"	"4"	"2"	"2"	"3"	"6"	"5"	"6"	"12"	"5"	"2"	"2"	"9"	"559"
