"PS.NO"	"NAND.KUMAR.RAI"	"BALDEO.MAHTO"	"BRIJ.KISHOR.SINGH"	"RANJAN.KUMAR"	"LAKHAN.LAL.SINGH"	"LALAN.KUMAR"	"KIRAN.DEVI"	"KEDAR.NATH.GUPTA"	"MAKESHWAR.CHAUDHARY"	"MD..RAZAULLAH"	"RINKU.RANI"	"KRISHAN.KUMAR"	"KRISHNA.KUMAR.CHOUDHARY"	"RAM.EKWAL.ROY"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"51"	50	136	38	419	9	2	10	7	5	4	4	4	10	8	29	685	""	""
"52"	51	36	10	240	2	1	6	4	0	3	3	2	6	3	5	321	""	""
"53"	52	71	23	224	7	4	0	24	2	4	8	4	4	8	19	402	""	""
"54"	NA	35	59	177	11	6	9	17	7	1	9	3	10	14	32	390	""	""
"55"	53	67	314	149	14	3	4	19	26	9	6	7	19	26	48	711	""	""
"56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"57"	54	104	4	93	4	5	0	19	8	0	4	1	2	6	19	269	""	""
"58"	55	62	138	137	5	8	2	6	5	0	2	3	4	15	32	419	""	""
"59"	56	130	30	270	16	6	6	24	14	3	7	16	14	25	57	618	""	""
"60"	57	23	242	115	12	2	0	2	3	4	4	0	7	15	14	443	""	""
"61"	58	24	9	203	1	0	0	0	0	0	0	0	0	2	0	239	""	""
"62"	59	44	106	464	57	7	3	25	4	3	7	3	7	11	28	769	""	""
"63"	60	107	26	407	16	7	1	8	12	4	8	8	13	19	45	681	""	""
"64"	61	123	92	271	8	2	3	19	4	2	4	5	4	10	15	562	""	""
"65"	62	56	4	170	12	9	1	7	1	0	4	2	12	2	21	301	""	""
"66"	63	96	35	94	4	1	2	12	13	3	4	5	6	7	36	318	""	""
"67"	64	123	15	139	6	3	1	20	2	0	2	2	2	2	24	341	""	""
"68"	65	280	58	268	11	3	7	21	6	3	5	6	8	13	23	712	""	""
"69"	66	138	26	85	7	0	1	23	141	11	10	6	7	14	25	494	""	""
"70"	67	213	29	180	9	1	2	17	12	2	6	12	22	10	52	567	""	""
"71"	68	51	117	234	18	25	6	9	0	5	9	17	11	28	11	541	""	""
"72"	69	54	75	132	4	3	1	11	5	1	0	2	4	69	16	377	""	""
"73"	70	78	3	171	1	3	0	0	0	0	0	0	2	0	3	261	""	""
"74"	71	74	294	95	13	1	2	24	0	1	1	4	6	10	10	535	""	""
"75"	72	46	80	198	6	5	2	14	8	1	2	1	6	11	10	390	""	""
"76"	73	210	24	30	6	4	0	6	4	0	0	1	5	36	25	351	""	""
"77"	74	174	13	230	14	1	2	25	4	1	4	6	8	159	34	675	""	""
"78"	75	284	19	153	2	4	0	23	7	6	4	3	3	108	42	658	""	""
"79"	76	70	10	289	4	1	2	4	4	0	3	1	4	1	4	397	""	""
"80"	77	61	21	189	5	0	5	22	3	3	5	9	14	93	21	451	""	""
"81"	78	190	305	250	22	8	6	20	21	4	7	8	1	21	21	884	""	""
"82"	79	57	2	98	4	4	2	8	4	1	1	1	2	49	13	246	""	""
"83"	80	87	19	219	6	5	4	17	2	2	5	4	14	214	16	614	""	""
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"85"	81	42	8	83	4	0	1	11	5	0	3	2	3	178	25	365	""	""
"86"	82	189	17	204	10	3	2	27	2	6	4	3	3	116	24	610	""	""
"87"	83	37	37	134	6	2	6	4	7	2	7	5	19	519	44	829	""	""
"88"	84	99	26	79	3	0	1	22	3	8	5	2	5	158	13	424	""	""
"89"	85	230	138	133	9	5	7	35	25	5	3	1	6	77	34	708	""	""
"90"	86	201	55	334	11	5	12	17	3	5	5	10	19	88	51	816	""	""
"91"	87	83	19	468	14	9	0	17	4	5	4	5	2	28	14	672	""	""
"92"	88	43	48	443	44	4	1	13	4	2	12	19	14	35	26	708	""	""
"93"	89	300	38	188	9	3	8	29	44	5	11	4	3	3	26	671	""	""
"94"	90	116	100	123	8	1	1	19	11	4	3	2	4	7	17	416	""	""
"95"	91	44	18	176	6	1	2	24	29	7	13	6	17	216	23	582	""	""
"96"	92	45	7	241	13	1	3	5	1	3	3	3	9	22	15	371	""	""
"97"	93	155	28	183	19	4	4	23	7	4	12	1	10	84	19	553	""	""
"98"	94	67	76	198	38	6	5	18	25	5	7	7	11	90	16	569	""	""
"99"	95	184	10	205	3	1	3	25	6	7	11	9	16	57	55	592	""	""
"100"	96	318	21	110	5	3	1	10	4	2	6	5	3	17	37	542	""	""
"101"	97	58	130	231	11	3	4	12	8	1	11	2	0	25	5	501	""	""
"102"	98	80	10	296	9	2	4	19	12	7	12	12	11	35	25	534	""	""
"103"	99	60	26	309	7	11	3	11	18	2	8	4	10	25	22	516	""	""
"104"	100	117	18	335	6	3	2	24	2	5	9	10	9	9	35	584	""	""
"105"	101	135	16	212	7	1	7	42	11	3	17	8	10	75	31	575	""	""
"106"	102	309	25	156	13	2	5	39	24	2	4	4	9	37	33	662	""	""
"107"	103	119	31	195	21	4	4	17	49	4	3	4	9	23	29	512	""	""
"108"	104	179	50	191	15	3	2	40	4	8	6	2	7	10	18	535	""	""
"109"	105	63	147	238	23	8	4	12	12	6	17	10	12	27	29	608	""	""
"110"	106	158	44	246	19	4	7	23	3	6	5	11	10	30	44	610	""	""
"111"	107	226	26	196	7	5	2	28	14	4	14	8	17	17	61	625	""	""
"112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"113"	108	185	20	193	10	1	4	18	17	4	10	3	11	25	36	537	""	""
"114"	109	184	42	425	8	9	6	33	3	3	6	4	6	11	15	755	""	""
"115"	110	87	50	381	25	5	3	15	12	3	14	11	16	5	33	660	""	""
"116"	111	176	30	283	6	3	9	22	10	2	9	12	19	38	53	672	""	""
"117"	112	89	53	222	12	57	9	32	17	12	13	10	18	16	34	594	""	""
"118"	113	91	32	378	16	6	17	24	20	74	19	18	29	31	71	826	""	""
"119"	114	37	9	230	6	67	10	24	2	10	11	9	8	4	9	436	""	""
"120"	115	65	5	260	5	81	9	20	5	2	4	2	8	8	12	486	""	""
"121"	116	146	17	402	11	1	13	23	12	7	10	7	10	22	29	710	""	""
"122"	117	136	3	171	4	1	3	10	2	1	4	1	6	3	17	362	""	""
"123"	118	207	11	304	6	5	10	31	8	5	12	7	12	6	19	643	""	""
"124"	119	322	22	177	14	6	3	33	16	1	7	3	2	5	11	622	""	""
"125"	120	267	20	255	10	0	4	35	65	6	11	7	12	14	63	769	""	""
"126"	121	196	26	346	13	2	1	27	24	5	10	15	19	9	46	739	""	""
"127"	122	290	16	70	5	4	3	39	13	5	6	3	5	22	56	537	""	""
"128"	123	225	16	97	1	3	1	20	147	3	0	1	3	13	3	533	""	""
"129"	124	183	25	205	5	2	1	28	6	1	2	1	1	3	8	471	""	""
"130"	125	218	30	198	4	0	1	32	58	2	8	4	6	11	18	590	""	""
"131"	126	309	25	191	5	1	4	29	7	4	12	6	8	12	35	648	""	""
"132"	127	577	11	30	1	2	0	22	2	6	4	1	0	3	39	698	""	""
"133"	128	138	9	111	4	2	0	11	0	3	1	0	1	8	5	293	""	""
"134"	129	339	20	120	1	1	1	16	4	2	5	3	11	14	64	601	""	""
"135"	130	188	31	121	5	0	1	28	12	2	6	2	3	5	11	415	""	""
"136"	131	82	10	117	10	1	1	12	19	2	4	6	14	6	31	315	""	""
"137"	132	259	24	137	6	2	1	35	18	4	3	2	4	4	22	521	""	""
"138"	133	218	15	224	11	7	3	72	8	11	22	4	17	15	26	653	""	""
"139"	134	56	8	353	4	0	0	8	0	2	3	3	3	2	3	445	""	""
"140"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"141"	135	137	37	197	3	3	1	44	8	1	7	7	4	16	33	498	""	""
"142"	136	153	14	213	5	5	10	29	2	4	12	8	4	8	18	485	""	""
"143"	137	194	30	239	12	4	13	60	9	5	29	11	12	9	50	677	""	""
"144"	138	96	5	78	4	1	20	9	5	3	6	5	24	32	18	306	""	""
"145"	139	56	8	218	15	1	1	9	2	0	14	8	8	7	6	353	""	""
"146"	140	72	15	203	4	0	5	15	3	3	5	5	2	3	5	340	""	""
"147"	141	104	23	405	17	6	48	16	7	12	19	10	49	25	56	797	""	""
"148"	142	56	9	196	5	4	38	27	12	2	10	10	30	10	22	431	""	""
"149"	143	83	26	180	2	2	31	20	11	3	3	4	4	12	27	408	""	""
"150"	144	121	18	165	7	5	7	19	5	2	6	4	8	10	44	421	""	""
"151"	145	120	18	276	11	16	34	56	18	11	11	6	16	36	42	671	""	""
"152"	146	127	31	256	4	6	13	53	12	3	10	10	14	19	41	599	""	""
"153"	147	198	38	364	10	5	8	36	81	14	12	7	16	11	36	836	""	""
"154"	148	136	72	101	3	2	7	22	21	2	2	6	6	7	37	424	""	""
"155"	149	187	21	28	3	0	2	7	31	1	1	2	0	2	22	307	""	""
"156"	150	202	63	167	11	3	10	31	10	6	10	8	12	15	42	590	""	""
"157"	151	363	19	212	1	3	8	18	6	3	36	8	4	9	44	734	""	""
"158"	152	117	18	70	3	3	2	20	40	3	6	5	2	11	28	328	""	""
"159"	153	253	25	129	4	2	2	47	38	6	5	2	9	7	47	576	""	""
"160"	154	99	62	67	6	5	2	23	10	1	8	9	17	15	165	489	""	""
"161"	155	18	4	14	1	0	0	0	1	0	3	2	10	8	224	285	""	""
"162"	156	72	14	234	4	5	53	12	89	4	5	12	11	2	28	545	""	""
"163"	157	45	131	269	15	5	6	9	5	1	14	3	1	12	3	519	""	""
"164"	158	41	8	127	5	2	7	21	2	1	7	2	4	5	13	245	""	""
"165"	159	71	37	122	6	20	0	23	0	3	5	4	7	7	10	315	""	""
"166"	160	99	50	88	3	6	0	2	0	0	8	1	1	6	12	276	""	""
"167"	161	30	228	79	8	1	2	8	28	5	4	2	3	26	21	445	""	""
"168"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"169"	162	250	30	215	10	5	5	24	20	4	9	4	6	10	20	612	""	""
"170"	163	82	72	130	11	1	11	20	4	1	3	1	5	25	18	384	""	""
"171"	164	113	116	91	10	1	1	10	6	3	7	3	4	30	18	413	""	""
"172"	165	59	196	131	15	4	1	10	22	3	3	1	15	46	27	533	""	""
"173"	166	82	93	250	9	3	2	15	3	0	4	7	8	25	8	509	""	""
"174"	167	128	17	182	4	1	2	14	2	3	9	8	4	6	10	390	""	""
"175"	168	35	20	284	6	7	5	4	2	2	9	13	18	45	21	471	""	""
"176"	169	178	12	270	2	4	7	18	19	4	7	4	6	3	17	551	""	""
"177"	170	115	77	159	4	2	0	15	3	2	12	3	4	14	20	430	""	""
"178"	171	110	13	103	5	2	14	14	39	9	13	8	9	11	34	384	""	""
"179"	172	109	35	176	4	3	4	23	8	6	8	6	10	5	20	417	""	""
"180"	173	102	23	287	15	6	11	39	45	4	31	4	8	7	23	605	""	""
"181"	174	122	169	231	8	1	0	12	1	3	2	5	7	16	20	597	""	""
"182"	175	53	229	63	7	1	6	6	1	1	3	0	1	8	22	401	""	""
"183"	176	91	368	69	4	1	1	3	2	2	3	1	2	11	19	577	""	""
"184"	177	55	200	24	5	0	0	2	1	0	1	0	2	4	5	299	""	""
"185"	178	54	114	158	15	1	3	12	2	6	14	12	13	20	37	461	""	""
"186"	179	108	50	160	9	1	4	18	11	8	11	9	15	6	42	452	""	""
"187"	180	98	12	84	2	1	2	8	24	2	3	2	5	10	26	279	""	""
"188"	181	83	154	280	9	2	9	16	13	5	7	9	10	23	32	652	""	""
"189"	182	71	62	132	8	4	1	11	2	4	4	3	5	4	20	331	""	""
"190"	183	114	203	144	16	2	7	8	3	3	10	4	3	6	17	540	""	""
"191"	184	6	4	295	1	0	0	0	0	0	0	1	1	3	0	311	""	""
"192"	185	75	64	53	6	2	3	10	3	1	5	2	5	20	14	263	""	""
"193"	186	131	132	85	13	3	6	22	13	1	5	2	3	13	25	454	""	""
"194"	187	59	245	207	18	5	6	18	3	6	15	10	15	26	55	688	""	""
"195"	188	114	222	110	15	3	18	14	17	4	6	5	12	17	24	581	""	""
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"197"	189	9	329	10	9	1	1	0	2	1	0	0	2	9	9	382	""	""
"198"	190	56	161	199	14	4	4	16	7	6	10	11	13	21	31	553	""	""
"199"	191	230	161	65	13	4	3	34	5	9	26	2	1	5	37	595	""	""
"200"	192	35	87	37	5	3	0	15	2	1	10	2	1	12	19	229	""	""
"201"	193	153	140	125	8	2	5	16	1	3	5	4	2	5	21	490	""	""
"202"	194	156	15	184	12	4	3	28	3	4	6	3	1	4	14	437	""	""
"203"	195	118	173	139	7	4	5	17	8	8	8	10	16	52	58	623	""	""
"204"	196	142	140	54	4	3	3	8	0	1	4	3	9	12	38	421	""	""
"205"	197	172	129	86	9	1	5	22	5	4	10	8	6	10	34	501	""	""
"206"	198	208	328	139	7	0	4	12	21	2	5	5	7	11	35	784	""	""
"207"	199	99	223	109	10	11	1	15	10	3	6	8	6	15	30	546	""	""
"208"	200	174	118	164	10	17	4	22	13	7	4	6	5	12	44	600	""	""
"209"	201	270	26	168	8	2	2	29	5	2	8	3	15	6	31	575	""	""
"210"	202	207	86	97	11	4	4	45	20	3	24	6	5	41	34	587	""	""
"211"	203	150	64	190	10	1	3	30	8	3	2	28	15	9	28	541	""	""
"212"	204	27	89	163	7	2	0	4	6	0	1	0	0	3	2	304	""	""
"213"	205	46	213	105	7	2	0	9	2	1	3	6	1	10	18	423	""	""
"214"	206	101	246	125	11	7	1	19	4	6	31	3	3	12	31	600	""	""
"215"	207	168	80	69	2	10	1	10	3	1	1	1	2	19	8	375	""	""
"216"	208	107	137	147	12	2	0	6	2	1	6	5	8	15	29	477	""	""
"217"	209	203	30	105	14	2	6	23	9	5	1	2	3	12	30	445	""	""
"218"	210	133	71	119	4	5	3	36	14	7	11	10	15	17	43	488	""	""
"219"	211	46	56	192	6	1	1	13	0	0	5	7	12	5	13	357	""	""
"220"	212	84	40	80	3	9	4	31	7	4	5	7	11	14	18	317	""	""
"221"	213	233	172	159	11	7	3	64	12	6	14	10	12	15	43	761	""	""
"222"	214	253	66	149	15	2	3	30	2	4	8	1	7	11	26	577	""	""
"223"	215	104	19	201	10	1	0	11	4	0	1	4	7	5	10	377	""	""
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"225"	216	79	53	139	4	0	0	15	35	1	2	2	3	5	13	351	""	""
"226"	217	64	186	69	7	6	12	13	1	1	4	7	7	31	14	422	""	""
"227"	218	216	110	127	9	7	6	52	7	4	14	1	9	23	59	644	""	""
"228"	219	292	91	45	18	1	1	55	3	2	4	2	2	5	23	544	""	""
"229"	220	281	73	136	3	25	5	39	4	0	8	1	6	7	23	611	""	""
"230"	NA	28417	14247	42693	2087	1012	1018	4161	2389	790	1572	1088	1744	5411	5841	112470	""	""
"231"	NA	49	27	90	0	1	0	0	1	0	0	0	0	1	0	169	""	""
"232"	NA	28466	14274	42783	2087	1013	1018	4161	2390	790	1572	1088	1744	5412	5841	112639	"0"	""
