"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.Valid.Votes"
"82"	"54"	"53"	"13"	"498"	"27"	"6"	"5"	"19"	"6"	"167"	"1"	"6"	"7"	"3"	"5"	"816"
"83"	"55"	"50"	"21"	"451"	"32"	"3"	"8"	"11"	"5"	"154"	"6"	"9"	"18"	"10"	"25"	"803"
"84"	"56"	"455"	"15"	"66"	"43"	"14"	"3"	"7"	"5"	"35"	"4"	"2"	"33"	"6"	"25"	"713"
"85"	"Round
Total"	"3814"	"245"	"4727"	"465"	"133"	"51"	"117"	"95"	"477"	"103"	"52"	"157"	"117"	"269"	"10822"
"86"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"89"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"90"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"92"	"Round - 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"57"	"135"	"6"	"85"	"6"	"0"	"6"	"5"	"12"	"309"	"4"	"3"	"12"	"5"	"15"	"603"
"94"	"58"	"275"	"13"	"134"	"31"	"2"	"2"	"10"	"3"	"2"	"3"	"1"	"5"	"3"	"12"	"496"
"95"	"58A"	"463"	"18"	"17"	"17"	"3"	"6"	"2"	"4"	"16"	"0"	"1"	"2"	"2"	"7"	"558"
"96"	"59"	"346"	"17"	"140"	"103"	"72"	"3"	"8"	"3"	"22"	"5"	"6"	"11"	"8"	"13"	"757"
"97"	"60"	"164"	"14"	"400"	"25"	"24"	"6"	"5"	"12"	"67"	"9"	"11"	"14"	"8"	"45"	"804"
"98"	"61"	"264"	"12"	"231"	"19"	"7"	"3"	"8"	"13"	"129"	"6"	"10"	"27"	"17"	"53"	"799"
"99"	"62"	"432"	"12"	"39"	"4"	"3"	"1"	"1"	"0"	"4"	"0"	"0"	"3"	"1"	"4"	"504"
"100"	"63"	"191"	"58"	"265"	"11"	"1"	"0"	"5"	"5"	"7"	"0"	"6"	"3"	"6"	"16"	"574"
"101"	"64"	"22"	"12"	"408"	"11"	"4"	"3"	"8"	"0"	"17"	"7"	"4"	"15"	"6"	"21"	"538"
"102"	"65"	"308"	"22"	"135"	"36"	"4"	"3"	"1"	"14"	"11"	"4"	"3"	"5"	"9"	"31"	"586"
"103"	"66"	"243"	"13"	"221"	"97"	"6"	"4"	"7"	"2"	"4"	"4"	"8"	"5"	"10"	"40"	"664"
"104"	"67"	"507"	"6"	"78"	"8"	"2"	"3"	"4"	"1"	"1"	"5"	"3"	"9"	"5"	"20"	"652"
"105"	"68"	"39"	"25"	"395"	"60"	"5"	"9"	"42"	"8"	"12"	"8"	"7"	"54"	"10"	"25"	"699"
"106"	"69"	"43"	"22"	"533"	"32"	"5"	"0"	"14"	"7"	"81"	"3"	"4"	"32"	"13"	"30"	"819"
"107"	"Round
Total"	"3432"	"250"	"3081"	"460"	"138"	"49"	"120"	"84"	"682"	"58"	"67"	"197"	"103"	"332"	"9053"
"108"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"111"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"112"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"114"	"Round - 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"70"	"253"	"36"	"306"	"26"	"3"	"6"	"8"	"5"	"6"	"4"	"1"	"12"	"8"	"30"	"704"
"116"	"71"	"337"	"17"	"302"	"18"	"1"	"3"	"3"	"3"	"9"	"1"	"4"	"15"	"13"	"30"	"756"
"117"	"72"	"300"	"10"	"383"	"39"	"10"	"0"	"2"	"2"	"60"	"1"	"1"	"6"	"7"	"8"	"829"
"118"	"73"	"72"	"12"	"591"	"20"	"3"	"2"	"9"	"5"	"66"	"0"	"2"	"9"	"1"	"6"	"798"
"119"	"74"	"382"	"15"	"264"	"22"	"0"	"3"	"7"	"11"	"63"	"4"	"4"	"14"	"1"	"17"	"807"
"120"	"75"	"316"	"12"	"121"	"16"	"2"	"1"	"2"	"3"	"2"	"1"	"2"	"8"	"3"	"16"	"505"
"121"	"76"	"87"	"4"	"405"	"22"	"4"	"1"	"3"	"3"	"4"	"3"	"3"	"11"	"5"	"13"	"568"
"122"	"77"	"280"	"6"	"215"	"12"	"195"	"5"	"7"	"12"	"8"	"8"	"6"	"12"	"16"	"40"	"822"
"123"	"78"	"444"	"25"	"233"	"18"	"11"	"3"	"3"	"6"	"4"	"6"	"6"	"5"	"11"	"39"	"814"
"124"	"79"	"327"	"22"	"75"	"14"	"139"	"4"	"4"	"8"	"3"	"2"	"2"	"4"	"5"	"10"	"619"
"125"	"80"	"144"	"10"	"2"	"5"	"422"	"9"	"1"	"4"	"4"	"10"	"5"	"0"	"6"	"23"	"645"
"126"	"81"	"405"	"11"	"148"	"13"	"5"	"0"	"1"	"4"	"2"	"2"	"7"	"8"	"11"	"31"	"648"
"127"	"82"	"400"	"11"	"42"	"47"	"3"	"1"	"1"	"5"	"2"	"2"	"4"	"8"	"8"	"19"	"553"
"128"	"83"	"469"	"11"	"79"	"19"	"2"	"2"	"5"	"4"	"6"	"3"	"6"	"9"	"18"	"46"	"679"
"129"	"Round
Total"	"4216"	"202"	"3166"	"291"	"800"	"40"	"56"	"75"	"239"	"47"	"53"	"121"	"113"	"328"	"9747"
"130"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"133"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"134"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"136"	"Round - 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"84"	"364"	"4"	"302"	"57"	"11"	"4"	"10"	"6"	"8"	"1"	"8"	"5"	"3"	"5"	"788"
"138"	"85"	"90"	"16"	"471"	"36"	"7"	"6"	"7"	"5"	"7"	"1"	"39"	"8"	"4"	"4"	"701"
"139"	"86"	"115"	"12"	"527"	"24"	"3"	"4"	"6"	"2"	"58"	"3"	"2"	"12"	"6"	"4"	"778"
"140"	"87"	"587"	"22"	"138"	"31"	"6"	"6"	"9"	"5"	"6"	"2"	"3"	"1"	"5"	"14"	"835"
"141"	"88"	"151"	"17"	"528"	"19"	"8"	"3"	"6"	"4"	"8"	"5"	"3"	"6"	"5"	"6"	"769"
"142"	"89"	"352"	"20"	"142"	"21"	"10"	"1"	"3"	"9"	"5"	"1"	"2"	"10"	"8"	"36"	"620"
"143"	"90"	"25"	"11"	"430"	"33"	"6"	"1"	"3"	"3"	"3"	"6"	"3"	"20"	"17"	"26"	"587"
"144"	"91"	"248"	"19"	"514"	"20"	"7"	"0"	"12"	"3"	"31"	"4"	"2"	"9"	"4"	"14"	"887"
"145"	"92"	"136"	"12"	"609"	"16"	"3"	"0"	"4"	"6"	"50"	"2"	"9"	"7"	"12"	"17"	"883"
"146"	"93"	"192"	"10"	"308"	"36"	"6"	"3"	"5"	"7"	"7"	"0"	"2"	"8"	"12"	"20"	"616"
"147"	"93A"	"209"	"4"	"119"	"11"	"1"	"2"	"4"	"3"	"9"	"1"	"3"	"5"	"2"	"14"	"387"
"148"	"94"	"406"	"22"	"82"	"15"	"6"	"3"	"5"	"4"	"19"	"6"	"2"	"2"	"4"	"25"	"601"
"149"	"94A"	"54"	"8"	"214"	"18"	"4"	"4"	"3"	"2"	"125"	"4"	"0"	"3"	"2"	"7"	"448"
"150"	"95"	"14"	"7"	"493"	"21"	"3"	"2"	"7"	"6"	"82"	"4"	"2"	"8"	"3"	"8"	"660"
"151"	"Round
Total"	"2943"	"184"	"4877"	"358"	"81"	"39"	"84"	"65"	"418"	"40"	"80"	"104"	"87"	"200"	"9560"
"152"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"155"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"156"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"158"	"Round - 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"96"	"112"	"25"	"428"	"39"	"6"	"3"	"10"	"2"	"166"	"2"	"11"	"12"	"6"	"23"	"845"
"160"	"97"	"355"	"24"	"70"	"125"	"57"	"3"	"8"	"8"	"58"	"5"	"7"	"6"	"25"	"35"	"786"
"161"	"98"	"319"	"7"	"238"	"35"	"5"	"0"	"5"	"4"	"27"	"0"	"3"	"7"	"6"	"27"	"683"
"162"	"99"	"224"	"15"	"300"	"37"	"1"	"3"	"5"	"1"	"35"	"1"	"3"	"4"	"3"	"11"	"643"
"163"	"100"	"624"	"15"	"22"	"66"	"9"	"11"	"2"	"8"	"15"	"4"	"4"	"2"	"7"	"63"	"852"
"164"	"101"	"19"	"12"	"310"	"8"	"1"	"3"	"4"	"3"	"4"	"1"	"2"	"7"	"11"	"7"	"392"
"165"	"102"	"477"	"6"	"3"	"30"	"171"	"2"	"1"	"2"	"5"	"3"	"4"	"4"	"4"	"36"	"748"
"166"	"103"	"382"	"16"	"253"	"24"	"33"	"2"	"3"	"8"	"4"	"3"	"5"	"2"	"11"	"31"	"777"
"167"	"104"	"174"	"8"	"35"	"542"	"10"	"0"	"3"	"4"	"6"	"7"	"9"	"4"	"10"	"17"	"829"
"168"	"105"	"154"	"22"	"84"	"544"	"12"	"3"	"8"	"7"	"8"	"13"	"18"	"8"	"9"	"21"	"911"
"169"	"106"	"367"	"16"	"168"	"79"	"7"	"3"	"5"	"3"	"12"	"9"	"2"	"12"	"10"	"26"	"719"
"170"	"107"	"287"	"21"	"252"	"84"	"6"	"2"	"1"	"2"	"7"	"3"	"4"	"3"	"1"	"9"	"682"
"171"	"108"	"486"	"11"	"9"	"106"	"59"	"2"	"3"	"0"	"1"	"0"	"1"	"1"	"2"	"9"	"690"
"172"	"109"	"102"	"14"	"282"	"62"	"4"	"2"	"5"	"5"	"2"	"2"	"5"	"8"	"4"	"5"	"502"
"173"	"Round
Total"	"4082"	"212"	"2454"	"1781"	"381"	"39"	"63"	"57"	"350"	"53"	"78"	"80"	"109"	"320"	"10059"
"174"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"177"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"178"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"180"	"Round - 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"110"	"142"	"6"	"292"	"76"	"14"	"1"	"7"	"3"	"2"	"5"	"2"	"8"	"6"	"11"	"575"
"182"	"111"	"193"	"3"	"88"	"79"	"3"	"1"	"2"	"3"	"17"	"1"	"1"	"4"	"13"	"9"	"417"
"183"	"112"	"153"	"16"	"314"	"78"	"8"	"0"	"5"	"2"	"7"	"7"	"3"	"15"	"10"	"34"	"652"
"184"	"113"	"194"	"14"	"358"	"14"	"7"	"6"	"6"	"5"	"40"	"3"	"2"	"13"	"5"	"29"	"696"
"185"	"114"	"243"	"11"	"240"	"85"	"4"	"1"	"1"	"3"	"29"	"3"	"3"	"7"	"7"	"11"	"648"
"186"	"115"	"196"	"9"	"403"	"134"	"12"	"3"	"10"	"6"	"5"	"6"	"1"	"8"	"33"	"10"	"836"
"187"	"116"	"237"	"20"	"312"	"38"	"4"	"8"	"6"	"3"	"17"	"6"	"1"	"4"	"6"	"16"	"678"
"188"	"117"	"304"	"13"	"95"	"201"	"8"	"7"	"9"	"6"	"4"	"14"	"9"	"8"	"10"	"27"	"715"
"189"	"118"	"201"	"19"	"426"	"27"	"5"	"3"	"4"	"10"	"7"	"5"	"5"	"10"	"17"	"29"	"768"
"190"	"119"	"45"	"3"	"265"	"148"	"4"	"2"	"3"	"1"	"1"	"3"	"2"	"5"	"3"	"8"	"493"
"191"	"120"	"217"	"15"	"404"	"46"	"0"	"0"	"5"	"4"	"1"	"1"	"0"	"4"	"3"	"2"	"702"
"192"	"121"	"342"	"36"	"164"	"39"	"0"	"0"	"1"	"2"	"4"	"2"	"3"	"3"	"11"	"24"	"631"
"193"	"122"	"449"	"3"	"4"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"7"	"479"
