"Candidates.Name"	"IRSHAD.AHMAD.KHAN"	"OMPRAKASH.MEHTA"	"DILIP.KUMAR.YADAV"	"RAJKUMAR.ORAON"	"LESHI.SINGH"	"SHIVCHARAN.MEHTA"	"NAVIN.KR..MAHTO"	"PATWARI.HANSDA"	"YAMUNA.PD..MURMU"	"LAKSHMAN.MANDAL"	"UPENDRA.NATH.SAGAR"	"CHANDRADEV.PASWAN"	"NAVIN.KUMAR.SINGH"	"MD..NAUSAD"	"PRAFUL.CHANDRA.ROY"	"BALRAM.SINGH"	"BHAVENDRA.KUMAR"	"YOGENDRA.SINGH"	"VINAY.KUMAR.PODDAR"	"Total.Valid.Votes"
"15"	"13"	"96"	"7"	"134"	"9"	"89"	"4"	"4"	"10"	"0"	"0"	"3"	"8"	"1"	"82"	"2"	"9"	"14"	"6"	"3"	"481"
"16"	"14"	"62"	"6"	"98"	"2"	"114"	"6"	"6"	"24"	"4"	"2"	"6"	"7"	"9"	"173"	"12"	"16"	"6"	"1"	"6"	"560"
"17"	"15"	"10"	"8"	"239"	"10"	"117"	"5"	"0"	"25"	"3"	"4"	"10"	"18"	"18"	"38"	"7"	"22"	"5"	"2"	"8"	"549"
"18"	"16"	"14"	"7"	"77"	"6"	"267"	"5"	"3"	"48"	"7"	"5"	"6"	"14"	"4"	"7"	"7"	"13"	"3"	"1"	"6"	"500"
"19"	"17"	"16"	"4"	"83"	"7"	"410"	"4"	"1"	"67"	"6"	"6"	"16"	"24"	"5"	"12"	"16"	"14"	"2"	"7"	"2"	"702"
"20"	"18"	"79"	"10"	"86"	"65"	"378"	"9"	"7"	"51"	"9"	"6"	"20"	"30"	"13"	"27"	"5"	"42"	"14"	"3"	"20"	"874"
"21"	"19"	"50"	"1"	"65"	"3"	"225"	"1"	"0"	"31"	"5"	"1"	"5"	"4"	"4"	"15"	"10"	"9"	"1"	"0"	"3"	"433"
"22"	"20"	"135"	"4"	"26"	"59"	"174"	"4"	"1"	"13"	"1"	"1"	"2"	"3"	"4"	"11"	"2"	"7"	"5"	"0"	"5"	"457"
"23"	"21"	"11"	"5"	"52"	"84"	"295"	"2"	"3"	"61"	"9"	"7"	"4"	"25"	"3"	"5"	"3"	"24"	"11"	"7"	"17"	"628"
"24"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"26"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"28"	"22"	"10"	"4"	"492"	"34"	"56"	"0"	"2"	"21"	"3"	"2"	"0"	"7"	"4"	"22"	"6"	"21"	"2"	"5"	"20"	"711"
"29"	"23"	"7"	"4"	"312"	"14"	"72"	"6"	"1"	"23"	"2"	"3"	"4"	"14"	"8"	"20"	"2"	"18"	"1"	"5"	"5"	"521"
"30"	"24"	"5"	"2"	"28"	"29"	"396"	"4"	"4"	"66"	"8"	"2"	"7"	"21"	"2"	"8"	"8"	"20"	"3"	"3"	"0"	"616"
"31"	"25"	"38"	"10"	"13"	"136"	"317"	"5"	"3"	"28"	"7"	"1"	"6"	"7"	"1"	"4"	"7"	"12"	"2"	"0"	"4"	"601"
"32"	"26"	"32"	"5"	"148"	"2"	"356"	"8"	"2"	"47"	"7"	"2"	"7"	"15"	"4"	"16"	"12"	"14"	"17"	"43"	"17"	"754"
"33"	"27"	"2"	"2"	"120"	"6"	"236"	"3"	"0"	"28"	"3"	"0"	"7"	"6"	"2"	"3"	"14"	"6"	"0"	"0"	"1"	"439"
"34"	"28"	"6"	"7"	"232"	"10"	"256"	"2"	"3"	"31"	"3"	"2"	"4"	"19"	"13"	"12"	"5"	"10"	"3"	"1"	"3"	"622"
"35"	"29"	"20"	"3"	"420"	"12"	"134"	"1"	"4"	"12"	"5"	"7"	"1"	"27"	"7"	"18"	"3"	"10"	"11"	"19"	"12"	"726"
"36"	"30"	"17"	"3"	"110"	"4"	"479"	"4"	"3"	"37"	"2"	"1"	"1"	"3"	"3"	"0"	"2"	"1"	"0"	"0"	"1"	"671"
"37"	"31"	"12"	"7"	"56"	"19"	"405"	"2"	"3"	"73"	"4"	"2"	"8"	"13"	"3"	"7"	"3"	"7"	"1"	"1"	"8"	"634"
"38"	"32"	"14"	"8"	"63"	"8"	"199"	"5"	"3"	"35"	"6"	"2"	"7"	"19"	"5"	"10"	"9"	"28"	"8"	"3"	"7"	"439"
"39"	"33"	"16"	"7"	"84"	"6"	"428"	"4"	"3"	"33"	"4"	"2"	"4"	"12"	"3"	"6"	"9"	"14"	"2"	"2"	"2"	"641"
"40"	"34"	"5"	"3"	"18"	"1"	"341"	"4"	"1"	"34"	"3"	"2"	"5"	"13"	"1"	"0"	"4"	"4"	"1"	"0"	"1"	"441"
"41"	"34A"	"5"	"4"	"15"	"6"	"261"	"5"	"3"	"19"	"2"	"2"	"3"	"7"	"2"	"3"	"8"	"8"	"1"	"1"	"0"	"355"
"42"	"35"	"67"	"8"	"28"	"5"	"268"	"5"	"2"	"30"	"7"	"5"	"10"	"23"	"9"	"7"	"9"	"22"	"10"	"0"	"2"	"517"
"43"	"35A"	"21"	"7"	"47"	"4"	"237"	"3"	"1"	"35"	"5"	"0"	"4"	"9"	"85"	"0"	"10"	"5"	"11"	"3"	"10"	"497"
"44"	"36"	"18"	"2"	"60"	"5"	"281"	"0"	"2"	"28"	"3"	"1"	"6"	"10"	"2"	"6"	"47"	"8"	"2"	"1"	"3"	"485"
"45"	"36A"	"7"	"6"	"36"	"58"	"286"	"2"	"6"	"41"	"5"	"1"	"7"	"20"	"6"	"4"	"6"	"7"	"2"	"3"	"7"	"510"
"46"	"37"	"77"	"10"	"76"	"12"	"352"	"2"	"1"	"54"	"29"	"3"	"11"	"17"	"16"	"5"	"6"	"10"	"2"	"1"	"0"	"684"
"47"	"38"	"632"	"27"	"23"	"1"	"18"	"0"	"1"	"3"	"1"	"0"	"0"	"4"	"2"	"1"	"6"	"24"	"27"	"5"	"4"	"779"
"48"	"39"	"7"	"12"	"108"	"15"	"236"	"1"	"0"	"49"	"12"	"1"	"3"	"7"	"7"	"12"	"12"	"18"	"59"	"1"	"2"	"562"
"49"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"51"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"53"	"39A"	"10"	"1"	"35"	"3"	"313"	"2"	"1"	"25"	"6"	"4"	"2"	"14"	"17"	"7"	"4"	"7"	"23"	"0"	"0"	"474"
"54"	"40"	"6"	"4"	"67"	"9"	"476"	"6"	"0"	"29"	"6"	"5"	"7"	"11"	"7"	"4"	"8"	"22"	"3"	"1"	"9"	"680"
"55"	"41"	"12"	"6"	"28"	"5"	"360"	"5"	"1"	"21"	"1"	"1"	"3"	"7"	"0"	"2"	"1"	"0"	"4"	"8"	"6"	"471"
"56"	"42"	"16"	"2"	"27"	"12"	"512"	"6"	"1"	"44"	"11"	"5"	"17"	"28"	"6"	"14"	"53"	"24"	"5"	"6"	"22"	"811"
"57"	"43"	"28"	"6"	"230"	"25"	"326"	"0"	"1"	"38"	"10"	"0"	"3"	"6"	"1"	"2"	"1"	"5"	"11"	"3"	"5"	"701"
"58"	"44"	"9"	"6"	"37"	"6"	"598"	"1"	"0"	"32"	"3"	"2"	"5"	"30"	"3"	"5"	"4"	"13"	"2"	"1"	"6"	"763"
"59"	"45"	"5"	"10"	"210"	"8"	"422"	"5"	"4"	"57"	"2"	"1"	"1"	"14"	"2"	"2"	"1"	"6"	"8"	"9"	"15"	"782"
"60"	"46"	"11"	"10"	"116"	"6"	"213"	"4"	"2"	"34"	"4"	"2"	"4"	"7"	"3"	"4"	"3"	"13"	"6"	"3"	"13"	"458"
"61"	"47"	"7"	"12"	"155"	"13"	"385"	"4"	"12"	"30"	"6"	"1"	"2"	"6"	"5"	"1"	"0"	"2"	"2"	"9"	"0"	"652"
"62"	"47A"	"1"	"0"	"19"	"1"	"116"	"0"	"24"	"12"	"3"	"2"	"2"	"6"	"1"	"4"	"2"	"9"	"5"	"1"	"8"	"216"
"63"	"48"	"9"	"4"	"107"	"29"	"321"	"4"	"2"	"45"	"9"	"3"	"3"	"17"	"19"	"28"	"6"	"14"	"2"	"5"	"3"	"630"
"64"	"49"	"13"	"5"	"14"	"7"	"260"	"5"	"1"	"22"	"0"	"1"	"3"	"7"	"2"	"4"	"3"	"0"	"1"	"2"	"3"	"353"
"65"	"50"	"31"	"3"	"134"	"15"	"354"	"5"	"3"	"25"	"1"	"3"	"9"	"11"	"5"	"11"	"10"	"9"	"1"	"3"	"4"	"637"
"66"	"51"	"24"	"5"	"169"	"62"	"442"	"4"	"1"	"27"	"4"	"0"	"11"	"8"	"6"	"8"	"11"	"0"	"6"	"9"	"2"	"799"
"67"	"52"	"5"	"1"	"135"	"5"	"564"	"14"	"9"	"44"	"9"	"5"	"11"	"17"	"3"	"2"	"1"	"14"	"5"	"4"	"7"	"855"
"68"	"53"	"5"	"5"	"96"	"6"	"458"	"4"	"6"	"47"	"6"	"3"	"8"	"22"	"7"	"4"	"4"	"14"	"1"	"5"	"5"	"706"
"69"	"54"	"1"	"2"	"88"	"7"	"399"	"3"	"2"	"33"	"5"	"4"	"5"	"12"	"28"	"6"	"6"	"12"	"0"	"3"	"2"	"618"
"70"	"55"	"5"	"6"	"33"	"3"	"348"	"1"	"3"	"35"	"3"	"0"	"4"	"14"	"10"	"6"	"3"	"7"	"0"	"1"	"2"	"484"
"71"	"56"	"16"	"4"	"64"	"9"	"255"	"4"	"1"	"22"	"1"	"1"	"0"	"8"	"19"	"0"	"2"	"0"	"0"	"2"	"0"	"408"
"72"	"56A"	"32"	"6"	"125"	"19"	"262"	"6"	"0"	"36"	"1"	"3"	"9"	"10"	"30"	"14"	"3"	"5"	"2"	"3"	"7"	"573"
"73"	"57"	"16"	"3"	"64"	"3"	"471"	"5"	"0"	"52"	"4"	"7"	"6"	"16"	"13"	"8"	"3"	"6"	"2"	"1"	"3"	"683"
"74"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"76"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"78"	"58"	"6"	"2"	"57"	"41"	"245"	"3"	"1"	"37"	"4"	"0"	"10"	"31"	"7"	"5"	"3"	"9"	"4"	"1"	"4"	"470"
"79"	"59"	"5"	"2"	"313"	"46"	"140"	"5"	"2"	"26"	"13"	"3"	"7"	"13"	"6"	"21"	"5"	"21"	"4"	"2"	"20"	"654"
"80"	"60"	"76"	"12"	"50"	"20"	"569"	"9"	"7"	"35"	"2"	"4"	"2"	"12"	"5"	"84"	"11"	"14"	"7"	"32"	"11"	"962"
"81"	"61"	"9"	"3"	"324"	"11"	"68"	"1"	"1"	"10"	"1"	"0"	"1"	"5"	"2"	"1"	"0"	"3"	"2"	"5"	"15"	"462"
"82"	"62"	"13"	"5"	"100"	"30"	"430"	"16"	"2"	"36"	"10"	"1"	"9"	"25"	"148"	"13"	"15"	"12"	"2"	"1"	"3"	"871"
"83"	"63"	"170"	"6"	"17"	"47"	"238"	"4"	"5"	"28"	"3"	"4"	"1"	"7"	"43"	"8"	"0"	"10"	"2"	"0"	"1"	"594"
"84"	"64"	"110"	"2"	"15"	"2"	"298"	"3"	"1"	"25"	"4"	"3"	"7"	"7"	"24"	"7"	"1"	"6"	"3"	"1"	"1"	"520"
"85"	"65"	"6"	"3"	"16"	"69"	"294"	"2"	"1"	"28"	"99"	"5"	"7"	"13"	"34"	"13"	"5"	"12"	"3"	"0"	"4"	"614"
"86"	"66"	"9"	"5"	"13"	"87"	"147"	"6"	"0"	"27"	"1"	"2"	"2"	"4"	"16"	"1"	"0"	"0"	"1"	"0"	"2"	"323"
"87"	"67"	"8"	"3"	"70"	"25"	"305"	"1"	"5"	"52"	"5"	"3"	"2"	"7"	"19"	"6"	"2"	"7"	"8"	"0"	"9"	"537"
"88"	"68"	"69"	"9"	"354"	"8"	"120"	"4"	"1"	"12"	"5"	"0"	"9"	"14"	"38"	"24"	"4"	"20"	"3"	"6"	"20"	"720"
"89"	"69"	"76"	"6"	"134"	"38"	"407"	"7"	"2"	"61"	"8"	"5"	"7"	"12"	"10"	"17"	"4"	"31"	"5"	"4"	"10"	"844"
"90"	"70"	"7"	"1"	"21"	"316"	"172"	"3"	"4"	"38"	"5"	"2"	"2"	"5"	"4"	"2"	"0"	"3"	"0"	"1"	"3"	"589"
"91"	"71"	"64"	"8"	"40"	"41"	"333"	"4"	"2"	"65"	"40"	"5"	"12"	"25"	"34"	"12"	"15"	"25"	"2"	"1"	"4"	"732"
"92"	"72"	"7"	"6"	"16"	"54"	"291"	"13"	"9"	"54"	"99"	"6"	"4"	"7"	"55"	"5"	"4"	"10"	"0"	"0"	"4"	"644"
"93"	"73"	"7"	"3"	"50"	"13"	"177"	"4"	"1"	"34"	"17"	"3"	"22"	"6"	"5"	"7"	"105"	"29"	"5"	"2"	"5"	"495"
"94"	"74"	"34"	"10"	"100"	"34"	"430"	"8"	"5"	"36"	"21"	"5"	"16"	"6"	"7"	"2"	"126"	"12"	"1"	"0"	"2"	"855"
"95"	"75"	"19"	"19"	"135"	"351"	"178"	"5"	"10"	"44"	"21"	"1"	"2"	"3"	"6"	"9"	"4"	"7"	"3"	"2"	"27"	"846"
"96"	"76"	"4"	"16"	"55"	"15"	"199"	"6"	"2"	"38"	"52"	"4"	"1"	"9"	"11"	"12"	"2"	"7"	"2"	"2"	"2"	"439"
"97"	"77"	"12"	"3"	"29"	"13"	"510"	"2"	"1"	"35"	"1"	"0"	"2"	"3"	"3"	"1"	"4"	"1"	"0"	"0"	"1"	"621"
"98"	"78"	"11"	"10"	"19"	"164"	"493"	"6"	"9"	"48"	"2"	"0"	"2"	"3"	"6"	"0"	"3"	"3"	"9"	"4"	"1"	"793"
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"101"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"103"	"79"	"9"	"4"	"24"	"54"	"234"	"2"	"0"	"22"	"1"	"3"	"10"	"2"	"1"	"3"	"51"	"11"	"7"	"2"	"7"	"447"
"104"	"80"	"5"	"2"	"64"	"172"	"169"	"4"	"3"	"24"	"4"	"5"	"4"	"2"	"3"	"8"	"6"	"5"	"1"	"2"	"1"	"484"
"105"	"81"	"22"	"7"	"92"	"143"	"292"	"2"	"4"	"35"	"2"	"2"	"1"	"4"	"4"	"6"	"1"	"7"	"0"	"1"	"2"	"627"
"106"	"82"	"4"	"2"	"32"	"140"	"309"	"1"	"0"	"42"	"4"	"0"	"2"	"4"	"2"	"2"	"2"	"3"	"10"	"2"	"4"	"565"
"107"	"83"	"10"	"2"	"71"	"20"	"250"	"0"	"0"	"16"	"4"	"0"	"2"	"3"	"0"	"2"	"1"	"2"	"4"	"1"	"1"	"389"
"108"	"84"	"12"	"1"	"27"	"68"	"307"	"3"	"2"	"35"	"5"	"2"	"3"	"2"	"23"	"0"	"1"	"2"	"58"	"1"	"5"	"557"
"109"	"85"	"23"	"4"	"54"	"11"	"402"	"5"	"1"	"22"	"8"	"3"	"2"	"11"	"2"	"5"	"4"	"11"	"5"	"1"	"0"	"574"
"110"	"86"	"548"	"10"	"11"	"0"	"14"	"0"	"1"	"2"	"2"	"1"	"3"	"0"	"3"	"3"	"1"	"12"	"21"	"2"	"1"	"635"
"111"	"87"	"3"	"1"	"10"	"21"	"468"	"1"	"1"	"45"	"4"	"1"	"4"	"8"	"33"	"2"	"25"	"3"	"1"	"0"	"4"	"635"
"112"	"87A"	"1"	"2"	"17"	"3"	"294"	"0"	"1"	"20"	"2"	"2"	"0"	"6"	"26"	"1"	"19"	"3"	"4"	"3"	"5"	"409"
"113"	"88"	"5"	"1"	"10"	"4"	"351"	"3"	"0"	"19"	"2"	"0"	"5"	"7"	"5"	"1"	"61"	"2"	"7"	"16"	"8"	"507"
"114"	"88A"	"6"	"0"	"12"	"14"	"261"	"2"	"3"	"41"	"1"	"4"	"9"	"16"	"5"	"5"	"35"	"17"	"2"	"0"	"3"	"436"
"115"	"89"	"4"	"3"	"19"	"3"	"718"	"1"	"0"	"23"	"4"	"0"	"3"	"2"	"23"	"1"	"2"	"2"	"0"	"0"	"2"	"810"
"116"	"90"	"93"	"3"	"5"	"9"	"330"	"2"	"1"	"29"	"3"	"2"	"3"	"7"	"0"	"0"	"7"	"9"	"5"	"2"	"4"	"514"
"117"	"91"	"77"	"7"	"12"	"9"	"275"	"1"	"1"	"13"	"27"	"3"	"3"	"8"	"4"	"3"	"3"	"16"	"8"	"1"	"5"	"476"
"118"	"92"	"16"	"4"	"6"	"8"	"667"	"8"	"2"	"39"	"6"	"2"	"14"	"18"	"25"	"6"	"41"	"10"	"3"	"3"	"2"	"880"
"119"	"93"	"14"	"5"	"57"	"1"	"415"	"5"	"0"	"16"	"3"	"1"	"4"	"6"	"3"	"4"	"14"	"0"	"7"	"2"	"1"	"558"
"120"	"94"	"4"	"6"	"16"	"8"	"360"	"7"	"1"	"115"	"10"	"2"	"4"	"3"	"3"	"1"	"3"	"9"	"4"	"2"	"3"	"561"
"121"	"95"	"8"	"3"	"379"	"1"	"52"	"1"	"0"	"9"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"470"
"122"	"96"	"7"	"5"	"207"	"18"	"262"	"1"	"4"	"39"	"3"	"1"	"2"	"4"	"0"	"1"	"2"	"5"	"3"	"2"	"2"	"568"
"123"	"97"	"9"	"2"	"151"	"3"	"190"	"3"	"2"	"46"	"4"	"1"	"4"	"7"	"6"	"7"	"3"	"5"	"0"	"0"	"5"	"448"
"124"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"126"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"128"	"98"	"59"	"6"	"4"	"10"	"167"	"1"	"4"	"40"	"244"	"5"	"4"	"7"	"1"	"5"	"1"	"3"	"3"	"0"	"1"	"565"
"129"	"99"	"14"	"3"	"12"	"2"	"434"	"2"	"2"	"25"	"2"	"0"	"3"	"7"	"4"	"0"	"2"	"2"	"9"	"1"	"2"	"526"
"130"	"100"	"20"	"12"	"76"	"45"	"541"	"6"	"3"	"77"	"27"	"0"	"4"	"5"	"4"	"3"	"6"	"5"	"6"	"1"	"8"	"849"
"131"	"101"	"0"	"0"	"0"	"1"	"212"	"1"	"2"	"15"	"4"	"4"	"5"	"3"	"0"	"2"	"0"	"6"	"2"	"1"	"5"	"263"
"132"	"101A"	"36"	"2"	"3"	"4"	"296"	"2"	"2"	"7"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"359"
"133"	"102"	"5"	"9"	"36"	"48"	"278"	"2"	"2"	"290"	"21"	"4"	"3"	"7"	"5"	"19"	"5"	"17"	"1"	"3"	"8"	"763"
"134"	"103"	"11"	"2"	"5"	"3"	"567"	"4"	"0"	"15"	"4"	"1"	"1"	"2"	"5"	"2"	"12"	"3"	"1"	"0"	"1"	"639"
"135"	"104"	"23"	"3"	"17"	"2"	"627"	"1"	"1"	"32"	"5"	"0"	"3"	"5"	"4"	"8"	"5"	"9"	"6"	"2"	"1"	"754"
"136"	"105"	"107"	"5"	"56"	"27"	"176"	"3"	"1"	"31"	"8"	"1"	"3"	"6"	"3"	"9"	"4"	"13"	"5"	"3"	"1"	"462"
"137"	"105A"	"70"	"6"	"36"	"139"	"191"	"5"	"4"	"14"	"1"	"0"	"1"	"5"	"3"	"1"	"0"	"8"	"2"	"0"	"1"	"487"
"138"	"106"	"27"	"13"	"11"	"138"	"301"	"7"	"6"	"27"	"28"	"1"	"2"	"6"	"1"	"3"	"1"	"4"	"2"	"1"	"2"	"581"
"139"	"107"	"71"	"1"	"3"	"61"	"125"	"1"	"2"	"91"	"7"	"0"	"3"	"2"	"3"	"1"	"3"	"4"	"3"	"7"	"6"	"394"
"140"	"108"	"14"	"9"	"72"	"66"	"457"	"4"	"5"	"71"	"12"	"4"	"9"	"19"	"1"	"10"	"14"	"28"	"1"	"1"	"4"	"801"
"141"	"109"	"11"	"3"	"47"	"9"	"435"	"5"	"0"	"36"	"5"	"1"	"3"	"7"	"59"	"3"	"3"	"8"	"4"	"2"	"1"	"642"
