"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"24"	"18"	"66"	"2"	"5"	"9"	"466"	"3"	"184"	"5"	"86"	"5"	"4"	"835"
"25"	"19"	"165"	"29"	"2"	"33"	"50"	"1"	"328"	"17"	"91"	"9"	"20"	"745"
"26"	"20"	"219"	"30"	"11"	"17"	"150"	"7"	"91"	"9"	"183"	"11"	"11"	"739"
"27"	"21"	"205"	"7"	"6"	"2"	"256"	"3"	"97"	"5"	"103"	"9"	"7"	"700"
"28"	"22"	"110"	"5"	"7"	"6"	"20"	"2"	"17"	"4"	"169"	"3"	"7"	"350"
"29"	"23"	"19"	"30"	"7"	"34"	"447"	"5"	"12"	"8"	"285"	"8"	"7"	"862"
"30"	"24"	"45"	"11"	"14"	"2"	"48"	"1"	"40"	"7"	"483"	"13"	"17"	"681"
"31"	"25"	"45"	"4"	"3"	"41"	"130"	"8"	"220"	"11"	"243"	"10"	"11"	"726"
"32"	"26"	"21"	"6"	"9"	"5"	"7"	"2"	"64"	"5"	"402"	"9"	"6"	"536"
"33"	"27"	"57"	"6"	"7"	"4"	"302"	"4"	"180"	"6"	"55"	"4"	"4"	"629"
"34"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"40"	"28"	"43"	"10"	"2"	"5"	"197"	"5"	"93"	"5"	"417"	"11"	"9"	"797"
"41"	"29"	"98"	"16"	"5"	"5"	"1"	"11"	"110"	"24"	"386"	"14"	"19"	"689"
"42"	"30"	"129"	"134"	"14"	"44"	"30"	"6"	"55"	"125"	"288"	"19"	"19"	"863"
"43"	"31"	"63"	"189"	"8"	"18"	"0"	"3"	"21"	"116"	"28"	"11"	"14"	"471"
"44"	"32"	"137"	"92"	"2"	"32"	"33"	"4"	"23"	"6"	"162"	"6"	"13"	"510"
"45"	"33"	"182"	"66"	"8"	"43"	"166"	"3"	"124"	"11"	"162"	"4"	"8"	"777"
"46"	"34"	"111"	"256"	"15"	"137"	"3"	"1"	"15"	"2"	"24"	"10"	"17"	"591"
"47"	"35"	"196"	"28"	"4"	"19"	"143"	"6"	"20"	"8"	"153"	"10"	"7"	"594"
"48"	"36"	"163"	"6"	"37"	"10"	"7"	"2"	"54"	"2"	"184"	"9"	"6"	"480"
"49"	"37"	"202"	"17"	"27"	"9"	"0"	"4"	"33"	"10"	"284"	"13"	"13"	"612"
"50"	"38"	"35"	"148"	"7"	"276"	"9"	"0"	"37"	"6"	"31"	"2"	"12"	"563"
"51"	"39"	"60"	"106"	"13"	"348"	"152"	"5"	"17"	"10"	"35"	"11"	"27"	"784"
"52"	"40"	"58"	"55"	"0"	"86"	"3"	"3"	"6"	"5"	"2"	"2"	"7"	"227"
"53"	"41"	"36"	"153"	"14"	"160"	"177"	"3"	"10"	"3"	"7"	"3"	"27"	"593"
"54"	"41A"	"50"	"112"	"7"	"39"	"3"	"0"	"5"	"1"	"20"	"1"	"5"	"243"
"55"	"42"	"136"	"107"	"12"	"128"	"42"	"3"	"32"	"3"	"47"	"1"	"1"	"512"
"56"	"43"	"131"	"95"	"8"	"134"	"254"	"6"	"27"	"17"	"7"	"7"	"38"	"724"
"57"	"44"	"109"	"195"	"20"	"142"	"18"	"7"	"6"	"2"	"5"	"4"	"5"	"513"
"58"	"45"	"39"	"94"	"5"	"158"	"98"	"2"	"28"	"9"	"6"	"3"	"10"	"452"
"59"	"46"	"147"	"224"	"17"	"148"	"47"	"10"	"26"	"8"	"43"	"4"	"20"	"694"
"60"	"47"	"143"	"94"	"11"	"99"	"7"	"7"	"92"	"7"	"187"	"9"	"21"	"677"
"61"	"48"	"241"	"61"	"5"	"35"	"5"	"4"	"27"	"1"	"34"	"0"	"5"	"418"
"62"	"49"	"363"	"53"	"16"	"54"	"20"	"3"	"26"	"7"	"77"	"6"	"20"	"645"
"63"	"50"	"222"	"127"	"15"	"175"	"61"	"6"	"19"	"6"	"80"	"9"	"13"	"733"
"64"	"51"	"213"	"79"	"8"	"46"	"346"	"6"	"61"	"8"	"18"	"11"	"22"	"818"
"65"	"52"	"147"	"100"	"7"	"66"	"22"	"6"	"41"	"6"	"86"	"11"	"10"	"502"
"66"	"53"	"97"	"304"	"13"	"129"	"7"	"6"	"77"	"8"	"82"	"9"	"15"	"747"
"67"	"54"	"127"	"365"	"20"	"104"	"4"	"1"	"20"	"6"	"10"	"11"	"4"	"672"
"68"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"74"	"55"	"58"	"333"	"15"	"80"	"3"	"3"	"10"	"0"	"1"	"8"	"7"	"518"
"75"	"56"	"48"	"494"	"10"	"63"	"2"	"3"	"3"	"1"	"91"	"3"	"7"	"725"
"76"	"57"	"34"	"754"	"21"	"54"	"2"	"4"	"2"	"4"	"0"	"4"	"6"	"885"
"77"	"58"	"126"	"208"	"11"	"113"	"172"	"5"	"41"	"13"	"141"	"11"	"11"	"852"
"78"	"59"	"25"	"304"	"13"	"19"	"1"	"0"	"2"	"2"	"2"	"3"	"3"	"374"
"79"	"60"	"53"	"371"	"12"	"116"	"3"	"2"	"7"	"8"	"5"	"11"	"25"	"613"
"80"	"61"	"72"	"386"	"24"	"85"	"4"	"2"	"20"	"2"	"14"	"3"	"6"	"618"
"81"	"62"	"30"	"212"	"5"	"20"	"2"	"2"	"2"	"0"	"2"	"1"	"3"	"279"
"82"	"63"	"21"	"366"	"12"	"86"	"5"	"2"	"3"	"3"	"1"	"8"	"8"	"515"
"83"	"64"	"23"	"350"	"10"	"94"	"1"	"1"	"5"	"7"	"2"	"3"	"8"	"504"
"84"	"65"	"60"	"696"	"18"	"34"	"2"	"2"	"10"	"6"	"7"	"7"	"14"	"856"
"85"	"66"	"60"	"105"	"12"	"214"	"8"	"4"	"14"	"7"	"1"	"6"	"21"	"452"
"86"	"67"	"21"	"263"	"18"	"253"	"9"	"4"	"10"	"1"	"9"	"3"	"18"	"609"
"87"	"68"	"215"	"169"	"10"	"199"	"3"	"7"	"21"	"3"	"5"	"10"	"13"	"655"
"88"	"69"	"59"	"278"	"13"	"59"	"5"	"2"	"59"	"3"	"2"	"2"	"5"	"487"
"89"	"70"	"55"	"164"	"6"	"52"	"2"	"0"	"26"	"2"	"8"	"1"	"6"	"322"
"90"	"71"	"45"	"421"	"21"	"48"	"4"	"2"	"20"	"4"	"7"	"7"	"15"	"594"
"91"	"72"	"33"	"156"	"17"	"215"	"30"	"3"	"54"	"6"	"152"	"4"	"28"	"698"
"92"	"73"	"58"	"291"	"19"	"160"	"8"	"5"	"20"	"5"	"23"	"6"	"8"	"603"
"93"	"74"	"76"	"112"	"20"	"32"	"5"	"7"	"25"	"4"	"321"	"17"	"26"	"645"
"94"	"75"	"83"	"279"	"11"	"159"	"5"	"2"	"12"	"2"	"6"	"3"	"20"	"582"
"95"	"76"	"10"	"95"	"3"	"189"	"20"	"4"	"5"	"7"	"1"	"3"	"13"	"350"
"96"	"77"	"27"	"244"	"11"	"107"	"7"	"4"	"4"	"8"	"27"	"2"	"5"	"446"
"97"	"78"	"24"	"10"	"5"	"63"	"260"	"4"	"132"	"6"	"102"	"7"	"10"	"623"
"98"	"79"	"144"	"18"	"7"	"174"	"151"	"3"	"48"	"4"	"176"	"8"	"14"	"747"
"99"	"80"	"145"	"15"	"9"	"566"	"8"	"2"	"11"	"8"	"9"	"4"	"21"	"798"
"100"	"81"	"37"	"13"	"9"	"512"	"22"	"1"	"7"	"12"	"47"	"4"	"14"	"678"
"101"	"82"	"51"	"5"	"1"	"314"	"8"	"3"	"8"	"12"	"5"	"5"	"20"	"432"
"102"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"108"	"83"	"21"	"306"	"15"	"186"	"104"	"9"	"4"	"12"	"4"	"10"	"27"	"698"
"109"	"84"	"40"	"141"	"10"	"182"	"11"	"1"	"5"	"2"	"7"	"3"	"9"	"411"
"110"	"85"	"248"	"279"	"14"	"95"	"78"	"3"	"59"	"5"	"34"	"5"	"14"	"834"
"111"	"86"	"49"	"97"	"33"	"332"	"13"	"5"	"15"	"9"	"35"	"5"	"36"	"629"
"112"	"87"	"308"	"5"	"5"	"158"	"3"	"2"	"8"	"0"	"5"	"1"	"8"	"503"
"113"	"88"	"31"	"240"	"18"	"81"	"10"	"2"	"7"	"0"	"0"	"1"	"3"	"393"
"114"	"89"	"209"	"197"	"20"	"182"	"3"	"2"	"30"	"7"	"15"	"2"	"23"	"690"
"115"	"90"	"319"	"52"	"12"	"213"	"6"	"3"	"26"	"5"	"9"	"4"	"5"	"654"
"116"	"91"	"94"	"86"	"9"	"89"	"168"	"8"	"35"	"8"	"7"	"3"	"5"	"512"
"117"	"92"	"101"	"141"	"15"	"269"	"6"	"2"	"14"	"7"	"6"	"3"	"8"	"572"
"118"	"93"	"29"	"374"	"18"	"169"	"2"	"4"	"5"	"7"	"1"	"3"	"9"	"621"
"119"	"94"	"16"	"9"	"4"	"132"	"152"	"7"	"5"	"6"	"5"	"2"	"7"	"345"
"120"	"95"	"94"	"23"	"6"	"313"	"11"	"5"	"13"	"2"	"2"	"5"	"5"	"479"
"121"	"96"	"249"	"19"	"11"	"420"	"16"	"5"	"48"	"13"	"29"	"8"	"28"	"846"
"122"	"97"	"12"	"6"	"10"	"525"	"77"	"1"	"2"	"11"	"4"	"4"	"7"	"659"
"123"	"98"	"281"	"7"	"5"	"228"	"21"	"4"	"38"	"5"	"6"	"1"	"8"	"604"
"124"	"99"	"182"	"26"	"13"	"505"	"152"	"14"	"44"	"17"	"55"	"9"	"30"	"1047"
"125"	"100"	"152"	"55"	"9"	"175"	"91"	"8"	"130"	"6"	"4"	"8"	"17"	"655"
"126"	"101"	"410"	"2"	"10"	"198"	"0"	"2"	"19"	"6"	"4"	"2"	"20"	"673"
"127"	"102"	"462"	"15"	"3"	"58"	"143"	"4"	"35"	"7"	"19"	"5"	"23"	"774"
"128"	"103"	"139"	"9"	"7"	"143"	"5"	"2"	"10"	"3"	"2"	"3"	"6"	"329"
"129"	"104"	"225"	"9"	"7"	"73"	"245"	"4"	"16"	"0"	"10"	"1"	"8"	"598"
"130"	"105"	"130"	"15"	"63"	"16"	"40"	"2"	"41"	"1"	"11"	"0"	"1"	"320"
"131"	"106"	"170"	"155"	"11"	"220"	"6"	"0"	"11"	"4"	"1"	"2"	"18"	"598"
"132"	"107"	"142"	"228"	"14"	"195"	"32"	"5"	"61"	"8"	"9"	"12"	"34"	"740"
"133"	"108"	"27"	"64"	"10"	"230"	"3"	"1"	"9"	"1"	"1"	"3"	"10"	"359"
"134"	"109"	"145"	"49"	"6"	"85"	"2"	"2"	"6"	"0"	"1"	"2"	"3"	"301"
"135"	"110"	"12"	"225"	"11"	"251"	"7"	"3"	"3"	"11"	"4"	"4"	"6"	"537"
"136"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"142"	"111"	"36"	"159"	"7"	"261"	"6"	"5"	"15"	"8"	"3"	"4"	"12"	"516"
"143"	"112"	"236"	"56"	"27"	"412"	"7"	"9"	"32"	"17"	"9"	"7"	"39"	"851"
"144"	"113"	"59"	"42"	"5"	"86"	"1"	"0"	"7"	"3"	"0"	"0"	"4"	"207"
"145"	"114"	"168"	"93"	"20"	"60"	"2"	"1"	"14"	"2"	"2"	"5"	"7"	"374"
"146"	"115"	"125"	"67"	"4"	"130"	"2"	"2"	"18"	"3"	"2"	"3"	"14"	"370"
"147"	"116"	"233"	"104"	"26"	"128"	"21"	"6"	"21"	"6"	"6"	"9"	"36"	"596"
"148"	"117"	"19"	"8"	"2"	"138"	"142"	"1"	"7"	"0"	"0"	"0"	"4"	"321"
"149"	"118"	"99"	"33"	"14"	"393"	"4"	"6"	"17"	"8"	"1"	"4"	"17"	"596"
"150"	"119"	"185"	"2"	"2"	"56"	"1"	"2"	"11"	"5"	"1"	"2"	"1"	"268"
"151"	"120"	"290"	"0"	"0"	"7"	"0"	"0"	"7"	"2"	"0"	"0"	"2"	"308"
"152"	"121"	"98"	"67"	"10"	"548"	"9"	"3"	"13"	"8"	"4"	"3"	"19"	"782"
"153"	"122"	"159"	"20"	"4"	"599"	"56"	"2"	"11"	"5"	"1"	"0"	"11"	"868"
"154"	"123"	"290"	"3"	"0"	"39"	"2"	"2"	"76"	"4"	"29"	"4"	"13"	"462"
"155"	"124"	"15"	"1"	"4"	"511"	"7"	"0"	"1"	"2"	"0"	"1"	"3"	"545"
"156"	"125"	"35"	"23"	"15"	"648"	"18"	"3"	"15"	"6"	"5"	"11"	"34"	"813"
"157"	"126"	"301"	"4"	"11"	"105"	"5"	"3"	"158"	"13"	"2"	"3"	"5"	"610"
"158"	"127"	"100"	"10"	"4"	"261"	"12"	"6"	"13"	"14"	"4"	"7"	"13"	"444"
"159"	"128"	"31"	"6"	"9"	"369"	"12"	"4"	"8"	"10"	"5"	"4"	"17"	"475"
"160"	"129"	"175"	"11"	"10"	"491"	"17"	"7"	"22"	"18"	"6"	"4"	"18"	"779"
"161"	"130"	"210"	"9"	"58"	"230"	"7"	"5"	"44"	"13"	"10"	"10"	"35"	"631"
"162"	"131"	"123"	"7"	"15"	"352"	"10"	"4"	"21"	"8"	"6"	"5"	"29"	"580"
"163"	"132"	"18"	"1"	"3"	"216"	"7"	"3"	"39"	"12"	"3"	"5"	"10"	"317"
"164"	"133"	"56"	"10"	"10"	"435"	"14"	"3"	"10"	"4"	"6"	"4"	"24"	"576"
"165"	"134"	"3"	"3"	"1"	"365"	"14"	"0"	"14"	"4"	"3"	"2"	"10"	"419"
"166"	"135"	"185"	"16"	"37"	"524"	"17"	"11"	"30"	"20"	"25"	"14"	"63"	"942"
"167"	"136"	"141"	"18"	"103"	"429"	"13"	"5"	"59"	"9"	"4"	"7"	"28"	"816"
"168"	"137"	"345"	"20"	"110"	"68"	"186"	"5"	"61"	"6"	"12"	"3"	"123"	"939"
"169"	"138"	"258"	"8"	"192"	"88"	"64"	"4"	"81"	"9"	"9"	"10"	"27"	"750"
"170"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"176"	"139"	"210"	"23"	"68"	"103"	"195"	"13"	"114"	"11"	"33"	"2"	"25"	"797"
"177"	"140"	"165"	"19"	"20"	"560"	"16"	"10"	"55"	"24"	"22"	"19"	"39"	"949"
"178"	"141"	"178"	"5"	"12"	"457"	"4"	"4"	"10"	"4"	"19"	"1"	"20"	"714"
"179"	"142"	"75"	"9"	"5"	"290"	"319"	"24"	"29"	"8"	"12"	"9"	"31"	"811"
"180"	"143"	"50"	"2"	"2"	"194"	"6"	"2"	"9"	"0"	"4"	"2"	"4"	"275"
"181"	"144"	"57"	"18"	"30"	"651"	"63"	"14"	"18"	"29"	"4"	"8"	"25"	"917"
"182"	"145"	"44"	"2"	"16"	"271"	"86"	"6"	"16"	"10"	"3"	"3"	"13"	"470"
"183"	"146"	"79"	"15"	"37"	"541"	"19"	"4"	"25"	"7"	"10"	"5"	"31"	"773"
"184"	"147"	"103"	"7"	"9"	"303"	"6"	"4"	"10"	"9"	"3"	"9"	"15"	"478"
"185"	"148"	"232"	"49"	"45"	"243"	"8"	"2"	"34"	"10"	"3"	"7"	"34"	"667"
"186"	"149"	"108"	"21"	"21"	"295"	"13"	"4"	"12"	"8"	"9"	"5"	"29"	"525"
"187"	"150"	"56"	"131"	"22"	"193"	"8"	"2"	"22"	"8"	"3"	"2"	"18"	"465"
"188"	"151"	"107"	"15"	"14"	"347"	"18"	"4"	"55"	"14"	"4"	"11"	"35"	"624"
"189"	"152"	"233"	"13"	"17"	"479"	"78"	"4"	"45"	"7"	"9"	"10"	"35"	"930"
"190"	"153"	"296"	"4"	"12"	"211"	"2"	"4"	"77"	"8"	"2"	"4"	"12"	"632"
"191"	"154"	"106"	"3"	"6"	"118"	"4"	"1"	"12"	"8"	"3"	"2"	"4"	"267"
"192"	"155"	"218"	"12"	"16"	"341"	"46"	"5"	"17"	"10"	"2"	"9"	"24"	"700"
"193"	"156"	"119"	"4"	"14"	"235"	"3"	"1"	"13"	"3"	"0"	"2"	"7"	"401"
"194"	"157"	"182"	"17"	"32"	"277"	"8"	"2"	"28"	"6"	"5"	"4"	"19"	"580"
"195"	"158"	"206"	"7"	"18"	"149"	"4"	"8"	"31"	"6"	"28"	"3"	"36"	"496"
"196"	"159"	"88"	"9"	"4"	"1"	"0"	"0"	"6"	"0"	"17"	"1"	"36"	"162"
"197"	"160"	"191"	"15"	"14"	"302"	"6"	"2"	"27"	"4"	"2"	"1"	"15"	"579"
"198"	"161"	"222"	"9"	"23"	"339"	"10"	"5"	"24"	"18"	"31"	"12"	"24"	"717"
"199"	"162"	"380"	"7"	"244"	"19"	"1"	"1"	"46"	"2"	"7"	"2"	"6"	"715"
"200"	"163"	"536"	"7"	"169"	"9"	"1"	"1"	"76"	"4"	"6"	"1"	"11"	"821"
"201"	"164"	"123"	"13"	"69"	"64"	"0"	"2"	"10"	"1"	"1"	"3"	"3"	"289"
"202"	"165"	"343"	"14"	"276"	"105"	"5"	"2"	"36"	"5"	"6"	"5"	"10"	"807"
"203"	"166"	"440"	"18"	"167"	"31"	"0"	"1"	"77"	"5"	"10"	"2"	"9"	"760"
"204"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"210"	"167"	"400"	"14"	"309"	"42"	"2"	"3"	"46"	"4"	"7"	"1"	"7"	"835"
"211"	"168"	"223"	"8"	"281"	"65"	"7"	"3"	"25"	"2"	"3"	"4"	"10"	"631"
"212"	"169"	"216"	"9"	"186"	"17"	"2"	"2"	"26"	"5"	"5"	"2"	"11"	"481"
"213"	"170"	"281"	"9"	"148"	"26"	"2"	"0"	"44"	"3"	"13"	"4"	"6"	"536"
"214"	"171"	"212"	"5"	"204"	"7"	"1"	"3"	"55"	"4"	"3"	"3"	"10"	"507"
"215"	"172"	"249"	"9"	"9"	"528"	"25"	"4"	"27"	"15"	"21"	"12"	"86"	"985"
"216"	"173"	"77"	"17"	"11"	"323"	"8"	"3"	"9"	"6"	"4"	"5"	"16"	"479"
"217"	"174"	"135"	"11"	"20"	"279"	"61"	"3"	"20"	"7"	"9"	"4"	"31"	"580"
"218"	"175"	"116"	"15"	"31"	"358"	"10"	"3"	"25"	"10"	"3"	"9"	"32"	"612"
"219"	"176"	"126"	"4"	"13"	"437"	"9"	"4"	"14"	"14"	"13"	"3"	"16"	"653"
"220"	"177"	"126"	"9"	"99"	"590"	"11"	"8"	"36"	"18"	"13"	"12"	"29"	"951"
"221"	"178"	"58"	"14"	"27"	"222"	"5"	"153"	"25"	"8"	"9"	"6"	"19"	"546"
"222"	"179"	"366"	"13"	"137"	"24"	"6"	"176"	"57"	"2"	"4"	"5"	"17"	"807"
"223"	"180"	"67"	"1"	"11"	"76"	"4"	"233"	"12"	"0"	"2"	"2"	"1"	"409"
"224"	"181"	"64"	"3"	"40"	"3"	"2"	"46"	"67"	"2"	"0"	"1"	"3"	"231"
"225"	"182"	"60"	"13"	"16"	"262"	"3"	"47"	"8"	"5"	"2"	"2"	"10"	"428"
"226"	"183"	"197"	"18"	"34"	"528"	"21"	"19"	"53"	"35"	"12"	"11"	"52"	"980"
"227"	"184"	"142"	"11"	"13"	"492"	"23"	"22"	"44"	"16"	"17"	"8"	"26"	"814"
"228"	"185"	"124"	"7"	"14"	"485"	"8"	"10"	"19"	"10"	"53"	"14"	"60"	"804"
"229"	"186"	"45"	"26"	"20"	"567"	"9"	"7"	"15"	"7"	"5"	"5"	"22"	"728"
