"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"11"	"10"	"199"	"2"	"0"	"1"	"12"	"0"	"0"	"1"	"0"	"0"	"2"	"92"	"15"	"324"	"0"	"324"	"0"
"12"	"11"	"137"	"4"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"3"	"1"	"24"	"5"	"180"	"0"	"180"	"0"
"13"	"12"	"9"	"0"	"0"	"1"	"64"	"1"	"2"	"1"	"5"	"0"	"12"	"292"	"11"	"398"	"0"	"398"	"0"
"14"	"13"	"33"	"13"	"7"	"5"	"98"	"8"	"1"	"1"	"8"	"1"	"6"	"247"	"12"	"440"	"0"	"440"	"0"
"15"	"14"	"34"	"4"	"1"	"1"	"65"	"3"	"2"	"0"	"3"	"1"	"5"	"155"	"8"	"282"	"0"	"282"	"0"
"16"	"15"	"11"	"3"	"2"	"1"	"91"	"4"	"1"	"1"	"2"	"2"	"11"	"220"	"22"	"371"	"0"	"371"	"0"
"17"	"16"	"149"	"0"	"0"	"8"	"66"	"1"	"1"	"0"	"0"	"1"	"1"	"91"	"12"	"330"	"0"	"330"	"0"
"18"	"17"	"81"	"10"	"2"	"3"	"123"	"1"	"4"	"3"	"9"	"9"	"10"	"278"	"30"	"563"	"0"	"563"	"0"
"19"	"18"	"88"	"6"	"1"	"10"	"16"	"1"	"0"	"6"	"3"	"6"	"11"	"159"	"21"	"328"	"0"	"328"	"0"
"20"	"19"	"29"	"2"	"2"	"6"	"132"	"5"	"4"	"5"	"11"	"1"	"6"	"147"	"24"	"374"	"0"	"374"	"0"
"21"	"20"	"21"	"2"	"2"	"22"	"187"	"4"	"7"	"3"	"14"	"3"	"13"	"290"	"18"	"586"	"0"	"586"	"0"
"22"	"21"	"18"	"1"	"2"	"3"	"181"	"5"	"2"	"3"	"5"	"3"	"10"	"309"	"18"	"560"	"0"	"560"	"0"
"23"	"22"	"0"	"0"	"0"	"14"	"5"	"0"	"0"	"0"	"1"	"1"	"1"	"109"	"1"	"132"	"0"	"132"	"0"
"24"	"23"	"59"	"5"	"3"	"5"	"42"	"2"	"2"	"1"	"3"	"4"	"1"	"327"	"8"	"462"	"0"	"462"	"0"
"25"	"24"	"17"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"67"	"3"	"91"	"0"	"91"	"0"
"26"	"25"	"14"	"2"	"2"	"3"	"124"	"3"	"2"	"2"	"4"	"1"	"3"	"238"	"9"	"407"	"0"	"407"	"0"
"27"	"26"	"13"	"0"	"5"	"7"	"150"	"7"	"4"	"2"	"6"	"5"	"8"	"139"	"17"	"363"	"0"	"363"	"0"
"28"	"27"	"51"	"3"	"1"	"2"	"26"	"0"	"3"	"1"	"3"	"2"	"0"	"259"	"6"	"357"	"0"	"357"	"0"
"29"	"28"	"49"	"0"	"1"	"6"	"49"	"3"	"1"	"0"	"5"	"2"	"2"	"196"	"11"	"325"	"0"	"325"	"0"
"30"	"29"	"29"	"2"	"1"	"1"	"33"	"2"	"2"	"1"	"0"	"1"	"2"	"218"	"3"	"295"	"0"	"295"	"0"
"31"	"30"	"83"	"30"	"4"	"8"	"16"	"1"	"3"	"1"	"3"	"11"	"8"	"353"	"24"	"545"	"0"	"545"	"0"
"32"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"33"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"34"	"31"	"182"	"3"	"17"	"15"	"29"	"0"	"0"	"1"	"3"	"1"	"4"	"89"	"11"	"355"	"0"	"355"	"0"
"35"	"32"	"47"	"1"	"5"	"10"	"192"	"7"	"2"	"3"	"3"	"3"	"7"	"183"	"21"	"484"	"0"	"484"	"0"
"36"	"33"	"9"	"1"	"5"	"22"	"179"	"14"	"1"	"2"	"7"	"2"	"1"	"139"	"2"	"384"	"0"	"384"	"0"
"37"	"34"	"34"	"9"	"6"	"5"	"72"	"2"	"4"	"5"	"14"	"6"	"13"	"423"	"36"	"629"	"0"	"629"	"0"
"38"	"35"	"33"	"6"	"7"	"5"	"88"	"0"	"1"	"5"	"8"	"4"	"8"	"475"	"26"	"666"	"0"	"666"	"0"
"39"	"36"	"6"	"3"	"1"	"3"	"104"	"3"	"1"	"2"	"9"	"2"	"3"	"369"	"13"	"519"	"0"	"519"	"0"
"40"	"37"	"15"	"3"	"1"	"8"	"96"	"1"	"0"	"2"	"7"	"0"	"8"	"280"	"6"	"427"	"0"	"427"	"0"
"41"	"38"	"35"	"1"	"1"	"3"	"30"	"0"	"1"	"1"	"5"	"1"	"6"	"356"	"12"	"452"	"0"	"452"	"0"
"42"	"39"	"204"	"17"	"11"	"20"	"227"	"9"	"4"	"5"	"19"	"2"	"10"	"240"	"13"	"781"	"0"	"781"	"0"
"43"	"40"	"132"	"4"	"3"	"3"	"193"	"6"	"1"	"2"	"7"	"0"	"2"	"174"	"14"	"541"	"0"	"541"	"0"
"44"	"41"	"249"	"16"	"3"	"28"	"253"	"14"	"12"	"10"	"19"	"13"	"14"	"210"	"53"	"894"	"0"	"894"	"0"
"45"	"42"	"162"	"8"	"2"	"7"	"59"	"2"	"9"	"2"	"5"	"2"	"5"	"154"	"15"	"432"	"0"	"432"	"0"
"46"	"43"	"58"	"17"	"3"	"46"	"91"	"7"	"3"	"3"	"3"	"3"	"8"	"143"	"11"	"396"	"0"	"396"	"0"
"47"	"44"	"146"	"2"	"0"	"10"	"245"	"5"	"3"	"5"	"13"	"3"	"6"	"313"	"28"	"779"	"0"	"779"	"0"
"48"	"45"	"39"	"2"	"1"	"12"	"92"	"0"	"2"	"0"	"6"	"3"	"8"	"329"	"8"	"502"	"0"	"502"	"0"
"49"	"46"	"158"	"6"	"1"	"33"	"261"	"3"	"8"	"2"	"13"	"2"	"9"	"179"	"19"	"694"	"0"	"694"	"0"
"50"	"47"	"460"	"2"	"1"	"13"	"85"	"1"	"2"	"1"	"3"	"0"	"2"	"39"	"4"	"613"	"0"	"613"	"0"
"51"	"48"	"101"	"3"	"1"	"15"	"228"	"6"	"2"	"0"	"1"	"0"	"0"	"67"	"4"	"428"	"0"	"428"	"0"
"52"	"49"	"226"	"3"	"2"	"12"	"88"	"2"	"0"	"0"	"3"	"2"	"2"	"77"	"7"	"424"	"0"	"424"	"0"
"53"	"50"	"107"	"2"	"0"	"10"	"167"	"1"	"2"	"1"	"4"	"1"	"7"	"63"	"5"	"370"	"0"	"370"	"0"
"54"	"51"	"239"	"1"	"3"	"38"	"44"	"2"	"5"	"2"	"1"	"6"	"9"	"154"	"13"	"517"	"0"	"517"	"0"
"55"	"52"	"369"	"1"	"1"	"65"	"22"	"1"	"5"	"3"	"1"	"4"	"1"	"60"	"8"	"541"	"0"	"541"	"0"
"56"	"53"	"427"	"3"	"1"	"25"	"28"	"5"	"4"	"1"	"1"	"2"	"3"	"68"	"8"	"576"	"0"	"576"	"0"
"57"	"54"	"156"	"1"	"0"	"20"	"11"	"2"	"0"	"0"	"0"	"2"	"0"	"56"	"3"	"251"	"0"	"251"	"0"
"58"	"55"	"218"	"7"	"4"	"23"	"11"	"2"	"2"	"0"	"4"	"5"	"3"	"127"	"10"	"416"	"0"	"416"	"0"
"59"	"56"	"200"	"0"	"0"	"17"	"24"	"2"	"5"	"1"	"0"	"0"	"2"	"86"	"1"	"338"	"0"	"338"	"0"
"60"	"57"	"236"	"3"	"1"	"10"	"20"	"1"	"1"	"0"	"1"	"3"	"1"	"68"	"5"	"350"	"0"	"350"	"0"
"61"	"58"	"295"	"0"	"0"	"8"	"20"	"1"	"5"	"0"	"2"	"0"	"3"	"50"	"1"	"385"	"0"	"385"	"0"
"62"	"59"	"263"	"0"	"2"	"31"	"38"	"1"	"3"	"2"	"0"	"2"	"3"	"300"	"13"	"658"	"0"	"658"	"0"
"63"	"60"	"245"	"0"	"1"	"11"	"45"	"2"	"6"	"0"	"0"	"1"	"10"	"131"	"8"	"460"	"0"	"460"	"0"
"64"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"65"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"66"	"61"	"368"	"1"	"3"	"9"	"29"	"5"	"6"	"0"	"1"	"1"	"5"	"115"	"1"	"544"	"0"	"544"	"0"
"67"	"62"	"407"	"1"	"3"	"6"	"15"	"0"	"12"	"1"	"0"	"1"	"0"	"37"	"3"	"486"	"0"	"486"	"0"
"68"	"63"	"396"	"0"	"2"	"4"	"19"	"2"	"19"	"0"	"2"	"1"	"3"	"57"	"9"	"514"	"0"	"514"	"0"
"69"	"64"	"348"	"2"	"0"	"9"	"6"	"0"	"10"	"1"	"0"	"0"	"1"	"5"	"1"	"383"	"0"	"383"	"0"
"70"	"65"	"335"	"0"	"2"	"15"	"33"	"2"	"6"	"0"	"1"	"1"	"0"	"29"	"4"	"428"	"0"	"428"	"0"
"71"	"66"	"143"	"0"	"1"	"28"	"38"	"1"	"0"	"1"	"0"	"0"	"4"	"102"	"3"	"321"	"0"	"321"	"0"
"72"	"67"	"241"	"1"	"0"	"24"	"24"	"1"	"3"	"0"	"0"	"1"	"1"	"61"	"5"	"362"	"0"	"362"	"0"
"73"	"68"	"28"	"5"	"0"	"31"	"102"	"3"	"0"	"1"	"2"	"1"	"3"	"152"	"13"	"341"	"0"	"341"	"0"
"74"	"69"	"51"	"3"	"4"	"76"	"66"	"2"	"3"	"1"	"4"	"5"	"13"	"330"	"21"	"579"	"0"	"579"	"0"
"75"	"70"	"30"	"3"	"4"	"22"	"88"	"0"	"2"	"1"	"4"	"2"	"10"	"445"	"24"	"635"	"0"	"635"	"0"
"76"	"71"	"214"	"8"	"4"	"24"	"35"	"2"	"3"	"2"	"1"	"2"	"1"	"221"	"15"	"532"	"0"	"532"	"0"
"77"	"72"	"181"	"1"	"0"	"20"	"24"	"2"	"3"	"0"	"0"	"2"	"1"	"92"	"9"	"335"	"0"	"335"	"0"
"78"	"73"	"186"	"8"	"2"	"23"	"22"	"0"	"1"	"0"	"0"	"2"	"2"	"110"	"5"	"361"	"0"	"361"	"0"
"79"	"74"	"261"	"2"	"2"	"44"	"60"	"2"	"2"	"2"	"3"	"2"	"6"	"253"	"9"	"648"	"0"	"648"	"0"
"80"	"75"	"153"	"5"	"3"	"48"	"45"	"1"	"3"	"2"	"2"	"0"	"6"	"236"	"12"	"516"	"0"	"516"	"0"
"81"	"76"	"209"	"2"	"2"	"37"	"41"	"0"	"3"	"0"	"1"	"0"	"1"	"121"	"5"	"422"	"0"	"422"	"0"
"82"	"77"	"363"	"8"	"0"	"33"	"35"	"0"	"3"	"3"	"1"	"4"	"1"	"70"	"6"	"527"	"0"	"527"	"0"
"83"	"78"	"241"	"1"	"1"	"15"	"53"	"1"	"2"	"1"	"4"	"3"	"2"	"108"	"10"	"442"	"0"	"442"	"0"
"84"	"79"	"322"	"1"	"2"	"8"	"46"	"0"	"2"	"0"	"1"	"1"	"0"	"34"	"3"	"420"	"0"	"420"	"0"
"85"	"80"	"312"	"4"	"3"	"39"	"24"	"1"	"1"	"2"	"2"	"3"	"2"	"52"	"3"	"448"	"0"	"448"	"0"
"86"	"81"	"106"	"0"	"0"	"45"	"25"	"0"	"1"	"0"	"0"	"2"	"0"	"28"	"2"	"209"	"0"	"209"	"0"
"87"	"82"	"251"	"1"	"0"	"20"	"72"	"13"	"2"	"1"	"0"	"0"	"2"	"65"	"9"	"436"	"0"	"436"	"0"
"88"	"83"	"159"	"3"	"2"	"7"	"11"	"1"	"2"	"1"	"0"	"0"	"0"	"115"	"2"	"303"	"0"	"303"	"0"
"89"	"84"	"221"	"2"	"1"	"7"	"26"	"2"	"2"	"0"	"1"	"1"	"1"	"49"	"4"	"317"	"0"	"317"	"0"
"90"	"84A"	"270"	"0"	"1"	"12"	"26"	"3"	"3"	"0"	"4"	"1"	"1"	"47"	"2"	"370"	"0"	"370"	"0"
"91"	"85"	"156"	"2"	"4"	"12"	"68"	"12"	"3"	"2"	"4"	"3"	"1"	"186"	"11"	"464"	"0"	"464"	"0"
"92"	"86"	"289"	"7"	"0"	"9"	"16"	"6"	"3"	"2"	"1"	"1"	"1"	"46"	"5"	"386"	"0"	"386"	"0"
"93"	"87"	"393"	"0"	"3"	"52"	"49"	"25"	"0"	"0"	"1"	"1"	"1"	"62"	"4"	"591"	"0"	"591"	"0"
"94"	"88"	"399"	"2"	"4"	"80"	"70"	"9"	"5"	"1"	"1"	"0"	"1"	"91"	"2"	"665"	"0"	"665"	"0"
"95"	"89"	"293"	"0"	"0"	"8"	"20"	"6"	"0"	"1"	"3"	"1"	"5"	"216"	"13"	"566"	"0"	"566"	"0"
"96"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"97"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"98"	"90"	"92"	"2"	"1"	"10"	"78"	"23"	"3"	"0"	"0"	"1"	"6"	"367"	"14"	"597"	"0"	"597"	"0"
"99"	"91"	"153"	"5"	"2"	"21"	"27"	"0"	"5"	"1"	"2"	"2"	"1"	"181"	"4"	"404"	"0"	"404"	"0"
"100"	"92"	"322"	"2"	"1"	"40"	"42"	"1"	"6"	"1"	"3"	"0"	"5"	"156"	"13"	"592"	"0"	"592"	"0"
"101"	"93"	"130"	"0"	"1"	"13"	"34"	"1"	"2"	"0"	"2"	"2"	"3"	"76"	"9"	"273"	"0"	"273"	"0"
"102"	"93A"	"217"	"2"	"0"	"18"	"34"	"2"	"2"	"0"	"2"	"3"	"4"	"76"	"4"	"364"	"0"	"364"	"0"
"103"	"94"	"330"	"2"	"2"	"48"	"89"	"2"	"6"	"0"	"0"	"1"	"0"	"85"	"12"	"577"	"0"	"577"	"0"
"104"	"95"	"321"	"2"	"3"	"14"	"45"	"0"	"7"	"0"	"2"	"1"	"5"	"44"	"2"	"446"	"0"	"446"	"0"
"105"	"95A"	"394"	"2"	"0"	"6"	"27"	"0"	"2"	"0"	"1"	"1"	"1"	"53"	"3"	"490"	"0"	"490"	"0"
"106"	"96"	"617"	"4"	"1"	"11"	"13"	"2"	"10"	"3"	"1"	"5"	"3"	"77"	"13"	"760"	"0"	"760"	"0"
"107"	"97"	"536"	"4"	"1"	"5"	"12"	"0"	"17"	"0"	"1"	"1"	"3"	"89"	"2"	"671"	"0"	"671"	"0"
"108"	"98"	"244"	"1"	"0"	"6"	"7"	"0"	"23"	"1"	"0"	"0"	"2"	"75"	"3"	"362"	"0"	"362"	"0"
"109"	"99"	"575"	"3"	"0"	"5"	"6"	"1"	"79"	"0"	"1"	"2"	"1"	"42"	"7"	"722"	"0"	"722"	"0"
"110"	"100"	"114"	"2"	"0"	"5"	"20"	"0"	"1"	"1"	"0"	"1"	"4"	"215"	"4"	"367"	"0"	"367"	"0"
"111"	"101"	"254"	"1"	"0"	"6"	"15"	"1"	"4"	"1"	"0"	"0"	"3"	"77"	"3"	"365"	"0"	"365"	"0"
"112"	"102"	"360"	"2"	"5"	"20"	"70"	"1"	"41"	"3"	"3"	"2"	"1"	"222"	"9"	"739"	"0"	"739"	"0"
"113"	"103"	"281"	"3"	"1"	"24"	"17"	"1"	"45"	"1"	"1"	"2"	"2"	"107"	"6"	"491"	"0"	"491"	"0"
"114"	"104"	"350"	"3"	"3"	"80"	"35"	"0"	"11"	"5"	"3"	"2"	"6"	"143"	"6"	"647"	"0"	"647"	"0"
"115"	"105"	"417"	"2"	"2"	"11"	"34"	"2"	"7"	"3"	"1"	"1"	"2"	"52"	"5"	"539"	"0"	"539"	"0"
"116"	"106"	"350"	"2"	"1"	"13"	"54"	"0"	"2"	"0"	"4"	"3"	"3"	"27"	"6"	"465"	"0"	"465"	"0"
"117"	"107"	"197"	"1"	"0"	"4"	"39"	"3"	"2"	"2"	"2"	"6"	"2"	"52"	"11"	"321"	"0"	"321"	"0"
"118"	"108"	"444"	"4"	"0"	"3"	"12"	"2"	"9"	"1"	"0"	"1"	"3"	"83"	"4"	"566"	"0"	"566"	"0"
"119"	"109"	"313"	"4"	"3"	"3"	"16"	"1"	"17"	"3"	"5"	"3"	"2"	"42"	"6"	"418"	"0"	"418"	"0"
"120"	"110"	"389"	"4"	"0"	"3"	"15"	"1"	"18"	"1"	"2"	"3"	"5"	"117"	"18"	"576"	"0"	"576"	"0"
"121"	"111"	"189"	"1"	"3"	"28"	"73"	"1"	"7"	"0"	"3"	"0"	"3"	"102"	"7"	"417"	"0"	"417"	"0"
"122"	"112"	"386"	"8"	"5"	"8"	"11"	"4"	"7"	"3"	"2"	"4"	"5"	"93"	"75"	"611"	"0"	"611"	"0"
"123"	"113"	"347"	"3"	"1"	"7"	"38"	"1"	"18"	"2"	"0"	"2"	"4"	"84"	"57"	"564"	"0"	"564"	"0"
"124"	"114"	"411"	"6"	"7"	"8"	"37"	"1"	"13"	"2"	"1"	"0"	"3"	"115"	"68"	"672"	"0"	"672"	"0"
"125"	"115"	"266"	"10"	"5"	"11"	"54"	"3"	"1"	"3"	"8"	"4"	"7"	"177"	"21"	"570"	"0"	"570"	"0"
"126"	"116"	"312"	"5"	"0"	"10"	"31"	"1"	"4"	"2"	"1"	"3"	"2"	"70"	"19"	"460"	"0"	"460"	"0"
"127"	"117"	"297"	"3"	"0"	"11"	"77"	"3"	"6"	"1"	"2"	"2"	"2"	"118"	"44"	"566"	"0"	"566"	"0"
"128"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"129"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"130"	"118"	"236"	"0"	"1"	"3"	"50"	"1"	"6"	"0"	"3"	"2"	"3"	"52"	"103"	"460"	"0"	"460"	"0"
"131"	"119"	"53"	"0"	"0"	"7"	"81"	"0"	"0"	"0"	"1"	"3"	"2"	"140"	"16"	"303"	"0"	"303"	"0"
"132"	"120"	"311"	"0"	"4"	"5"	"41"	"2"	"22"	"2"	"1"	"4"	"1"	"99"	"61"	"553"	"0"	"553"	"0"
"133"	"121"	"291"	"1"	"2"	"9"	"49"	"0"	"5"	"1"	"0"	"0"	"0"	"65"	"4"	"427"	"0"	"427"	"0"
"134"	"122"	"232"	"8"	"0"	"21"	"101"	"4"	"10"	"1"	"4"	"3"	"7"	"125"	"8"	"524"	"0"	"524"	"0"
"135"	"123"	"199"	"1"	"5"	"9"	"24"	"5"	"2"	"1"	"3"	"1"	"5"	"132"	"11"	"398"	"0"	"398"	"0"
"136"	"123A"	"154"	"9"	"1"	"23"	"37"	"0"	"4"	"0"	"1"	"0"	"0"	"140"	"11"	"380"	"0"	"380"	"0"
"137"	"124"	"230"	"4"	"2"	"19"	"104"	"5"	"5"	"2"	"2"	"4"	"3"	"309"	"13"	"702"	"0"	"702"	"0"
"138"	"125"	"221"	"0"	"0"	"4"	"87"	"1"	"4"	"0"	"1"	"0"	"2"	"41"	"0"	"361"	"0"	"361"	"0"
"139"	"126"	"404"	"2"	"1"	"3"	"33"	"1"	"26"	"1"	"1"	"0"	"9"	"97"	"3"	"581"	"0"	"581"	"0"
"140"	"127"	"170"	"0"	"1"	"13"	"5"	"0"	"3"	"0"	"0"	"1"	"0"	"30"	"2"	"225"	"0"	"225"	"0"
"141"	"128"	"346"	"10"	"3"	"35"	"43"	"0"	"2"	"1"	"2"	"0"	"0"	"63"	"13"	"518"	"0"	"518"	"0"
"142"	"129"	"208"	"7"	"0"	"3"	"29"	"0"	"2"	"0"	"1"	"1"	"1"	"29"	"1"	"282"	"0"	"282"	"0"
"143"	"130"	"235"	"11"	"0"	"10"	"44"	"0"	"12"	"0"	"0"	"2"	"6"	"69"	"3"	"392"	"0"	"392"	"0"
"144"	"131"	"271"	"6"	"0"	"17"	"117"	"1"	"7"	"0"	"1"	"0"	"2"	"99"	"6"	"527"	"0"	"527"	"0"
"145"	"132"	"263"	"2"	"1"	"1"	"7"	"1"	"4"	"0"	"1"	"0"	"1"	"41"	"5"	"327"	"0"	"327"	"0"
"146"	"133"	"322"	"3"	"0"	"6"	"12"	"0"	"32"	"2"	"1"	"2"	"4"	"25"	"4"	"413"	"0"	"413"	"0"
"147"	"134"	"375"	"0"	"1"	"16"	"26"	"4"	"29"	"1"	"1"	"1"	"5"	"91"	"8"	"558"	"0"	"558"	"0"
"148"	"135"	"376"	"4"	"2"	"18"	"24"	"4"	"19"	"1"	"3"	"2"	"0"	"115"	"15"	"583"	"0"	"583"	"0"
"149"	"136"	"268"	"1"	"0"	"10"	"8"	"0"	"7"	"0"	"1"	"3"	"0"	"109"	"12"	"419"	"0"	"419"	"0"
"150"	"137"	"310"	"1"	"1"	"5"	"5"	"0"	"21"	"0"	"0"	"1"	"4"	"42"	"5"	"395"	"0"	"395"	"0"
"151"	"138"	"257"	"2"	"1"	"2"	"14"	"1"	"15"	"0"	"2"	"1"	"0"	"26"	"2"	"323"	"0"	"323"	"0"
"152"	"139"	"234"	"6"	"0"	"9"	"8"	"1"	"24"	"0"	"1"	"0"	"1"	"18"	"1"	"303"	"0"	"303"	"0"
"153"	"140"	"142"	"2"	"0"	"10"	"14"	"1"	"3"	"1"	"1"	"1"	"0"	"43"	"3"	"221"	"0"	"221"	"0"
"154"	"141"	"537"	"1"	"1"	"8"	"23"	"0"	"17"	"3"	"1"	"0"	"0"	"37"	"3"	"631"	"0"	"631"	"0"
"155"	"142"	"343"	"4"	"2"	"10"	"17"	"2"	"27"	"1"	"1"	"0"	"3"	"71"	"16"	"497"	"0"	"497"	"0"
"156"	"143"	"406"	"4"	"1"	"2"	"29"	"2"	"10"	"3"	"2"	"7"	"5"	"62"	"19"	"552"	"0"	"552"	"0"
"157"	"144"	"338"	"4"	"2"	"16"	"26"	"0"	"22"	"2"	"4"	"1"	"3"	"72"	"6"	"496"	"0"	"496"	"0"
"158"	"145"	"242"	"4"	"2"	"12"	"17"	"1"	"5"	"0"	"0"	"2"	"5"	"143"	"14"	"447"	"0"	"447"	"0"
"159"	"146"	"181"	"6"	"2"	"2"	"51"	"0"	"1"	"2"	"2"	"1"	"7"	"125"	"4"	"384"	"0"	"384"	"0"
"160"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"161"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"162"	"147"	"162"	"1"	"1"	"12"	"14"	"2"	"1"	"0"	"0"	"0"	"4"	"197"	"6"	"400"	"0"	"400"	"0"
"163"	"148"	"135"	"3"	"3"	"6"	"44"	"3"	"16"	"3"	"3"	"0"	"2"	"189"	"6"	"413"	"0"	"413"	"0"
"164"	"149"	"117"	"1"	"0"	"4"	"45"	"0"	"2"	"1"	"1"	"1"	"5"	"178"	"4"	"359"	"0"	"359"	"0"
"165"	"150"	"139"	"4"	"4"	"6"	"59"	"2"	"8"	"1"	"3"	"4"	"8"	"178"	"12"	"428"	"0"	"428"	"0"
"166"	"151"	"129"	"1"	"1"	"4"	"29"	"1"	"7"	"0"	"0"	"1"	"1"	"150"	"3"	"327"	"0"	"327"	"0"
"167"	"152"	"149"	"2"	"0"	"5"	"31"	"0"	"1"	"0"	"0"	"0"	"2"	"48"	"8"	"246"	"0"	"246"	"0"
"168"	"153"	"375"	"11"	"1"	"17"	"21"	"2"	"0"	"1"	"3"	"6"	"6"	"54"	"9"	"506"	"0"	"506"	"0"
