"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…87 - Jale"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 241909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"29"	"20"	"20"	"10"	"12"	"18"	"4"	"84"	""	"296"	"14"	"7"	"3"	"10"	"5"	"5"	""	"7"	"475"	"-"	"475"	""	""
"30"	"21"	"21"	"5"	"2"	"8"	"4"	"137"	""	"197"	"11"	"5"	"1"	"5"	"10"	"15"	""	"14"	"414"	"-"	"414"	""	""
"31"	"22"	"22"	"5"	"6"	"88"	"8"	"59"	""	"170"	"7"	"1"	"4"	"4"	"7"	"9"	""	"8"	"376"	"-"	"376"	""	""
"32"	"23"	"23"	"0"	"12"	"33"	"3"	"190"	""	"53"	"2"	"2"	"0"	"0"	"3"	"6"	""	"3"	"307"	"-"	"307"	""	""
"33"	"24"	"23A"	"5"	"6"	"49"	"1"	"169"	""	"84"	"2"	"2"	"2"	"1"	"3"	"2"	""	"1"	"327"	"-"	"327"	""	""
"34"	"25"	"24"	"5"	"17"	"60"	"5"	"55"	""	"223"	"9"	"6"	"3"	"5"	"5"	"9"	""	"10"	"412"	"-"	"412"	""	""
"35"	"26"	"25"	"13"	"23"	"99"	"9"	"65"	""	"158"	"9"	"8"	"3"	"7"	"7"	"8"	""	"14"	"423"	"-"	"423"	""	""
"36"	"27"	"26"	"5"	"3"	"11"	"1"	"80"	""	"274"	"12"	"18"	"9"	"14"	"20"	"11"	""	"20"	"478"	"-"	"478"	""	""
"37"	"28"	"27"	"4"	"4"	"89"	"4"	"101"	""	"165"	"9"	"7"	"5"	"7"	"15"	"12"	""	"19"	"441"	"-"	"441"	""	""
"38"	"29"	"28"	"8"	"2"	"32"	"6"	"46"	""	"278"	"10"	"10"	"4"	"0"	"7"	"5"	""	"4"	"412"	"-"	"412"	""	""
"39"	"30"	"29"	"4"	"5"	"162"	"6"	"46"	""	"39"	"3"	"1"	"1"	"2"	"2"	"3"	""	"2"	"276"	"-"	"276"	""	""
"40"	"31"	"29A"	"2"	"12"	"76"	"4"	"45"	""	"94"	"2"	"2"	"1"	"0"	"2"	"3"	""	"7"	"250"	"-"	"250"	""	""
"41"	"32"	"30"	"5"	"7"	"159"	"5"	"35"	""	"73"	"3"	"5"	"1"	"1"	"4"	"2"	""	"9"	"309"	"-"	"309"	""	""
"42"	"33"	"31"	"4"	"13"	"103"	"5"	"41"	""	"97"	"6"	"3"	"1"	"2"	"3"	"1"	""	"4"	"283"	"-"	"283"	""	""
"43"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"44"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"46"	"34"	"32"	"7"	"6"	"36"	"5"	"151"	""	"350"	"12"	"6"	"5"	"5"	"16"	"10"	""	"16"	"625"	"-"	"625"	""	""
"47"	"35"	"33"	"12"	"13"	"157"	"16"	"62"	""	"266"	"8"	"7"	"1"	"2"	"5"	"5"	""	"9"	"563"	"-"	"563"	""	""
"48"	"36"	"34"	"3"	"5"	"46"	"1"	"68"	""	"354"	"4"	"4"	"2"	"3"	"3"	"3"	""	"8"	"504"	"-"	"504"	""	""
"49"	"37"	"35"	"4"	"5"	"80"	"7"	"91"	""	"293"	"11"	"6"	"0"	"5"	"5"	"5"	""	"4"	"516"	"-"	"516"	""	""
"50"	"38"	"36"	"8"	"12"	"39"	"8"	"49"	""	"336"	"13"	"8"	"3"	"10"	"5"	"5"	""	"14"	"510"	"-"	"510"	""	""
"51"	"39"	"37"	"18"	"26"	"85"	"5"	"120"	""	"114"	"5"	"4"	"2"	"8"	"13"	"9"	""	"6"	"415"	"-"	"415"	""	""
"52"	"40"	"37A"	"3"	"18"	"26"	"8"	"89"	""	"118"	"3"	"3"	"5"	"7"	"8"	"17"	""	"4"	"309"	"-"	"309"	""	""
"53"	"41"	"38"	"19"	"10"	"28"	"3"	"132"	""	"356"	"11"	"9"	"6"	"4"	"19"	"22"	""	"3"	"622"	"-"	"622"	""	""
"54"	"42"	"39"	"16"	"14"	"46"	"3"	"195"	""	"256"	"20"	"7"	"6"	"9"	"11"	"14"	""	"8"	"605"	""	"605"	""	""
"55"	"43"	"40"	"7"	"18"	"25"	"3"	"135"	""	"333"	"10"	"7"	"5"	"4"	"15"	"20"	""	"35"	"617"	"-"	"617"	""	""
"56"	"44"	"41"	"3"	"4"	"107"	"6"	"131"	""	"54"	"2"	"1"	"0"	"1"	"3"	"4"	""	"4"	"320"	"-"	"320"	""	""
"57"	"45"	"42"	"2"	"5"	"69"	"5"	"132"	""	"4"	"1"	"1"	"1"	"3"	"6"	"11"	""	"2"	"242"	"-"	"242"	""	""
"58"	"46"	"43"	"6"	"5"	"85"	"9"	"150"	""	"43"	"3"	"1"	"3"	"8"	"14"	"17"	""	"10"	"354"	"-"	"354"	""	""
"59"	"47"	"44"	"7"	"4"	"106"	"2"	"150"	""	"28"	"0"	"2"	"5"	"3"	"4"	"2"	""	"4"	"317"	"-"	"317"	""	""
"60"	"48"	"45"	"3"	"11"	"44"	"2"	"108"	""	"50"	"3"	"4"	"5"	"3"	"15"	"12"	""	"7"	"267"	"-"	"267"	""	""
"61"	"49"	"46"	"6"	"26"	"83"	"8"	"89"	""	"42"	"4"	"4"	"1"	"2"	"4"	"6"	""	"16"	"291"	"-"	"291"	""	""
"62"	"50"	"47"	"7"	"11"	"109"	"7"	"56"	""	"443"	"11"	"2"	"2"	"5"	"7"	"2"	""	"2"	"664"	"-"	"664"	""	""
"63"	"51"	"48"	"1"	"1"	"19"	"2"	"16"	""	"78"	"3"	"1"	"4"	"2"	"6"	"1"	""	"6"	"140"	"-"	"140"	""	""
"64"	"52"	"49"	"10"	"3"	"55"	"3"	"162"	""	"380"	"8"	"6"	"2"	"3"	"7"	"7"	""	"10"	"656"	"-"	"656"	""	""
"65"	"53"	"50"	"14"	"13"	"84"	"7"	"67"	""	"378"	"9"	"9"	"4"	"4"	"7"	"10"	""	"12"	"618"	"-"	"618"	""	""
"66"	"54"	"51"	"4"	"12"	"140"	"5"	"33"	""	"281"	"9"	"3"	"3"	"4"	"7"	"6"	""	"13"	"520"	"-"	"520"	""	""
"67"	"55"	"52"	"2"	"9"	"42"	"10"	"36"	""	"118"	"6"	"5"	"4"	"15"	"19"	"13"	""	"26"	"305"	"-"	"305"	""	""
"68"	"56"	"52A"	"15"	"10"	"113"	"9"	"37"	""	"168"	"7"	"5"	"3"	"10"	"10"	"8"	""	"4"	"399"	"-"	"399"	""	""
"69"	"57"	"53"	"2"	"4"	"144"	"1"	"234"	""	"29"	"2"	"1"	"0"	"77"	"3"	"9"	""	"4"	"510"	"-"	"510"	""	""
"70"	"58"	"54"	"5"	"4"	"19"	"2"	"27"	""	"104"	"4"	"1"	"1"	"14"	"4"	"0"	""	"2"	"187"	"-"	"187"	""	""
"71"	"59"	"55"	"13"	"3"	"18"	"2"	"208"	""	"88"	"6"	"1"	"1"	"8"	"9"	"9"	""	"6"	"372"	"-"	"372"	""	""
"72"	"60"	"56"	"1"	"0"	"63"	"5"	"102"	""	"23"	"3"	"0"	"4"	"13"	"5"	"9"	""	"2"	"230"	"-"	"230"	""	""
"73"	"61"	"56A"	"6"	"0"	"21"	"3"	"120"	""	"42"	"1"	"4"	"5"	"9"	"4"	"5"	""	"13"	"233"	"-"	"233"	""	""
"74"	"62"	"57"	"16"	"5"	"56"	"8"	"207"	""	"194"	"8"	"4"	"9"	"21"	"7"	"15"	""	"25"	"575"	"-"	"575"	""	""
"75"	"63"	"58"	"11"	"4"	"4"	"0"	"22"	""	"282"	"3"	"3"	"6"	"5"	"3"	"3"	""	"49"	"395"	"-"	"395"	""	""
"76"	"64"	"59"	"17"	"55"	"81"	"7"	"176"	""	"215"	"8"	"10"	"5"	"14"	"8"	"8"	""	"38"	"642"	"-"	"642"	""	""
"77"	"65"	"60"	"15"	"16"	"128"	"7"	"241"	""	"123"	"11"	"16"	"12"	"7"	"11"	"12"	""	"19"	"618"	"-"	"618"	""	""
"78"	"66"	"61"	"7"	"33"	"137"	"17"	"81"	""	"208"	"19"	"9"	"2"	"9"	"27"	"11"	""	"32"	"592"	"-"	"592"	""	""
"79"	"67"	"62"	"14"	"4"	"43"	"4"	"42"	""	"400"	"9"	"6"	"4"	"6"	"10"	"4"	""	"51"	"597"	"-"	"597"	""	""
"80"	"68"	"63"	"2"	"7"	"135"	"5"	"77"	""	"4"	"1"	"0"	"2"	"2"	"2"	"8"	""	"13"	"258"	"-"	"258"	""	""
"81"	"69"	"64"	"3"	"11"	"157"	"12"	"125"	""	"45"	"0"	"3"	"6"	"8"	"12"	"4"	""	"10"	"396"	"-"	"396"	""	""
"82"	"70"	"65"	"16"	"6"	"97"	"6"	"180"	""	"105"	"1"	"8"	"3"	"11"	"3"	"21"	""	"15"	"472"	"-"	"472"	""	""
"83"	"71"	"66"	"6"	"5"	"37"	"6"	"59"	""	"350"	"11"	"3"	"3"	"9"	"6"	"2"	""	"12"	"509"	"-"	"509"	""	""
"84"	"72"	"67"	"9"	"4"	"16"	"5"	"132"	""	"266"	"10"	"10"	"4"	"7"	"18"	"14"	""	"17"	"512"	"-"	"512"	""	""
"85"	"73"	"68"	"7"	"15"	"23"	"5"	"174"	""	"225"	"9"	"3"	"4"	"4"	"8"	"14"	""	"17"	"508"	"-"	"508"	""	""
"86"	"74"	"69"	"13"	"7"	"10"	"5"	"246"	""	"157"	"6"	"7"	"5"	"6"	"7"	"12"	""	"12"	"493"	"-"	"493"	""	""
"87"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"88"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"90"	"75"	"70"	"4"	"4"	"124"	"14"	"34"	""	"87"	"1"	"4"	"3"	"6"	"9"	"11"	""	"6"	"307"	"-"	"307"	""	""
"91"	"76"	"71"	"3"	"15"	"117"	"8"	"42"	""	"188"	"7"	"5"	"1"	"4"	"11"	"4"	""	"5"	"410"	"-"	"410"	""	""
"92"	"77"	"72"	"13"	"9"	"15"	"9"	"372"	""	"36"	"6"	"12"	"7"	"10"	"9"	"29"	""	"17"	"544"	"-"	"544"	""	""
"93"	"78"	"73"	"4"	"3"	"27"	"2"	"57"	""	"287"	"3"	"3"	"0"	"4"	"4"	"3"	""	"0"	"397"	"-"	"397"	""	""
"94"	"79"	"74"	"7"	"13"	"16"	"2"	"6"	""	"459"	"3"	"1"	"0"	"10"	"4"	"1"	""	"2"	"524"	"-"	"524"	""	""
"95"	"80"	"75"	"7"	"9"	"27"	"3"	"8"	""	"470"	"5"	"3"	"1"	"37"	"7"	"4"	""	"1"	"582"	"-"	"582"	""	""
"96"	"81"	"76"	"6"	"19"	"68"	"8"	"23"	""	"295"	"13"	"10"	"3"	"9"	"16"	"8"	""	"14"	"492"	"-"	"492"	""	""
"97"	"82"	"77"	"14"	"45"	"66"	"3"	"41"	""	"57"	"3"	"5"	"5"	"6"	"9"	"6"	""	"20"	"280"	"-"	"280"	""	""
"98"	"83"	"78"	"6"	"23"	"83"	"4"	"55"	""	"139"	"6"	"4"	"2"	"2"	"1"	"3"	""	"3"	"331"	"-"	"331"	""	""
"99"	"84"	"79"	"15"	"11"	"31"	"7"	"37"	""	"282"	"4"	"5"	"6"	"5"	"11"	"9"	""	"7"	"430"	"-"	"430"	""	""
"100"	"85"	"80"	"8"	"13"	"179"	"7"	"16"	""	"43"	"1"	"3"	"3"	"4"	"4"	"2"	""	"6"	"289"	"-"	"289"	""	""
"101"	"86"	"81"	"4"	"6"	"22"	"3"	"8"	""	"479"	"6"	"9"	"1"	"39"	"4"	"0"	""	"3"	"584"	"-"	"584"	""	""
"102"	"87"	"82"	"19"	"10"	"159"	"3"	"232"	""	"137"	"5"	"5"	"5"	"5"	"13"	"31"	""	"11"	"635"	"-"	"635"	""	""
"103"	"88"	"83"	"8"	"8"	"12"	"5"	"198"	""	"125"	"6"	"7"	"8"	"0"	"13"	"13"	""	"12"	"415"	"-"	"415"	""	""
"104"	"89"	"84"	"10"	"4"	"9"	"3"	"65"	""	"93"	"5"	"5"	"8"	"7"	"11"	"10"	""	"9"	"239"	"-"	"239"	""	""
"105"	"90"	"85"	"8"	"4"	"49"	"2"	"133"	""	"18"	"0"	"2"	"3"	"4"	"4"	"11"	""	"2"	"240"	"-"	"240"	""	""
"106"	"91"	"85A"	"10"	"16"	"22"	"1"	"126"	""	"108"	"4"	"1"	"3"	"1"	"9"	"10"	""	"14"	"325"	"-"	"325"	""	""
"107"	"92"	"86"	"5"	"7"	"10"	"3"	"128"	""	"384"	"23"	"10"	"7"	"9"	"13"	"12"	""	"22"	"633"	"-"	"633"	""	""
"108"	"93"	"87"	"4"	"3"	"2"	"4"	"388"	""	"9"	"3"	"36"	"7"	"2"	"3"	"13"	""	"4"	"478"	"-"	"478"	""	""
"109"	"94"	"88"	"21"	"10"	"25"	"9"	"190"	""	"138"	"8"	"200"	"35"	"11"	"18"	"6"	""	"18"	"689"	"-"	"689"	""	""
"110"	"95"	"89"	"6"	"17"	"110"	"6"	"68"	""	"128"	"4"	"10"	"4"	"2"	"7"	"6"	""	"2"	"370"	"-"	"370"	""	""
"111"	"96"	"90"	"6"	"19"	"97"	"0"	"18"	""	"54"	"2"	"44"	"1"	"0"	"3"	"1"	""	"2"	"247"	"-"	"247"	""	""
"112"	"97"	"91"	"4"	"25"	"42"	"3"	"64"	""	"114"	"2"	"22"	"1"	"1"	"1"	"7"	""	"8"	"294"	"-"	"294"	""	""
"113"	"98"	"92"	"3"	"4"	"1"	"1"	"2"	""	"289"	"4"	"4"	"1"	"0"	"5"	"5"	""	"9"	"328"	"-"	"328"	""	""
"114"	"99"	"93"	"2"	"0"	"8"	"4"	"44"	""	"255"	"6"	"6"	"2"	"3"	"6"	"5"	""	"5"	"346"	"-"	"346"	""	""
"115"	"100"	"94"	"14"	"6"	"14"	"4"	"146"	""	"295"	"6"	"4"	"1"	"9"	"4"	"15"	""	"5"	"523"	"-"	"523"	""	""
"116"	"101"	"95"	"3"	"6"	"10"	"3"	"151"	""	"122"	"3"	"7"	"2"	"5"	"5"	"12"	""	"21"	"350"	"-"	"350"	""	""
"117"	"102"	"96"	"14"	"8"	"11"	"4"	"104"	""	"149"	"8"	"5"	"1"	"2"	"7"	"5"	""	"5"	"323"	"-"	"323"	""	""
"118"	"103"	"96A"	"2"	"0"	"1"	"0"	"27"	""	"227"	"1"	"1"	"0"	"0"	"1"	"0"	""	"0"	"260"	"-"	"260"	""	""
"119"	"104"	"97"	"27"	"10"	"124"	"3"	"83"	""	"364"	"9"	"5"	"2"	"5"	"16"	"5"	""	"3"	"656"	"-"	"656"	""	""
"120"	"105"	"98"	"4"	"9"	"70"	"7"	"181"	""	"83"	"4"	"4"	"2"	"20"	"10"	"24"	""	"13"	"431"	"-"	"431"	""	""
"121"	"106"	"99"	"4"	"4"	"22"	"0"	"45"	""	"203"	"7"	"17"	"1"	"44"	"9"	"5"	""	"6"	"367"	"-"	"367"	""	""
"122"	"107"	"100"	"4"	"4"	"7"	"3"	"110"	""	"152"	"6"	"6"	"9"	"22"	"16"	"13"	""	"7"	"359"	"-"	"359"	""	""
"123"	"108"	"100A"	"3"	"1"	"9"	"2"	"173"	""	"161"	"4"	"10"	"10"	"21"	"16"	"20"	""	"12"	"442"	"-"	"442"	""	""
"124"	"109"	"101"	"25"	"22"	"196"	"4"	"161"	""	"116"	"4"	"6"	"6"	"5"	"6"	"13"	""	"8"	"572"	"-"	"572"	""	""
"125"	"110"	"102"	"2"	"16"	"11"	"3"	"180"	""	"95"	"1"	"2"	"0"	"5"	"3"	"6"	""	"3"	"327"	"-"	"327"	""	""
"126"	"111"	"103"	"11"	"6"	"10"	"4"	"153"	""	"314"	"10"	"6"	"4"	"27"	"17"	"12"	""	"11"	"585"	"-"	"585"	""	""
"127"	"112"	"104"	"9"	"14"	"20"	"5"	"107"	""	"219"	"10"	"4"	"3"	"17"	"9"	"4"	""	"0"	"421"	"-"	"421"	""	""
"128"	"113"	"105"	"10"	"21"	"17"	"6"	"157"	""	"228"	"4"	"5"	"13"	"5"	"8"	"13"	""	"9"	"496"	"-"	"496"	""	""
"129"	"114"	"106"	"1"	"9"	"28"	"1"	"10"	""	"231"	"4"	"7"	"22"	"3"	"2"	"1"	""	"2"	"321"	"-"	"321"	""	""
"130"	"115"	"106A"	"5"	"9"	"18"	"2"	"37"	""	"165"	"11"	"6"	"4"	"1"	"2"	"6"	""	"3"	"269"	"-"	"269"	""	""
"131"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"132"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"133"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"134"	"116"	"107"	"10"	"21"	"141"	"10"	"119"	""	"196"	"15"	"7"	"12"	"5"	"7"	"12"	""	"10"	"565"	"-"	"565"	""	""
"135"	"117"	"108"	"7"	"47"	"267"	"10"	"114"	""	"52"	"6"	"15"	"12"	"7"	"9"	"18"	""	"23"	"587"	"-"	"587"	""	""
"136"	"118"	"109"	"14"	"4"	"13"	"3"	"43"	""	"365"	"10"	"6"	"4"	"3"	"11"	"9"	""	"2"	"487"	"-"	"487"	""	""
"137"	"119"	"110"	"1"	"3"	"18"	"3"	"12"	""	"385"	"5"	"4"	"2"	"3"	"6"	"4"	""	"1"	"447"	"-"	"447"	""	""
"138"	"120"	"111"	"10"	"11"	"72"	"3"	"262"	""	"45"	"6"	"3"	"7"	"4"	"11"	"18"	""	"6"	"458"	"-"	"458"	""	""
"139"	"121"	"112"	"1"	"41"	"114"	"1"	"69"	""	"33"	"0"	"0"	"0"	"1"	"1"	"4"	""	"3"	"268"	"-"	"268"	""	""
"140"	"122"	"113"	"8"	"22"	"109"	"1"	"47"	""	"25"	"0"	"0"	"0"	"1"	"2"	"2"	""	"0"	"217"	"-"	"217"	""	""
"141"	"123"	"114"	"12"	"48"	"63"	"12"	"187"	""	"50"	"5"	"4"	"5"	"4"	"4"	"20"	""	"5"	"419"	"-"	"419"	""	""
"142"	"124"	"114A"	"3"	"30"	"67"	"1"	"75"	""	"14"	"0"	"0"	"0"	"0"	"5"	"5"	""	"3"	"203"	"-"	"203"	""	""
"143"	"125"	"115"	"10"	"14"	"129"	"9"	"129"	""	"186"	"4"	"10"	"5"	"3"	"8"	"6"	""	"21"	"534"	"-"	"534"	""	""
"144"	"126"	"116"	"10"	"4"	"47"	"4"	"120"	""	"175"	"2"	"7"	"1"	"0"	"7"	"6"	""	"6"	"389"	"-"	"389"	""	""
"145"	"127"	"117"	"4"	"4"	"14"	"3"	"226"	""	"186"	"3"	"1"	"0"	"5"	"4"	"5"	""	"3"	"458"	"-"	"458"	""	""
"146"	"128"	"117A"	"2"	"3"	"7"	"0"	"116"	""	"186"	"6"	"2"	"2"	"0"	"5"	"2"	""	"7"	"338"	"-"	"338"	""	""
"147"	"129"	"118"	"10"	"3"	"20"	"2"	"273"	""	"354"	"7"	"13"	"5"	"12"	"6"	"23"	""	"22"	"750"	"-"	"750"	""	""
"148"	"130"	"119"	"4"	"6"	"16"	"3"	"98"	""	"305"	"2"	"2"	"1"	"58"	"4"	"3"	""	"1"	"503"	"-"	"503"	""	""
"149"	"131"	"120"	"7"	"13"	"32"	"5"	"277"	""	"284"	"6"	"10"	"4"	"24"	"16"	"11"	""	"11"	"700"	"-"	"700"	""	""
"150"	"132"	"121"	"17"	"20"	"29"	"4"	"307"	""	"175"	"9"	"8"	"7"	"4"	"18"	"10"	""	"14"	"622"	"-"	"622"	""	""
