"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 - Darbhanga Rural Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 223198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"44"	"34"	"32"	"12"	"214"	"100"	"9"	""	"94"	"10"	"6"	"34"	"8"	"40"	"7"	"13"	"18"	""	"16"	"10"	"591"	"-"	"591"	""	""
"45"	"35"	"33"	"3"	"26"	"1"	"0"	""	"101"	"2"	"1"	"3"	"1"	"73"	"3"	"6"	"1"	""	"1"	"2"	"224"	"-"	"224"	""	""
"46"	"36"	"34"	"21"	"118"	"17"	"11"	""	"84"	"6"	"11"	"41"	"9"	"29"	"5"	"3"	"5"	""	"5"	"7"	"372"	"-"	"372"	""	""
"47"	"37"	"35"	"18"	"152"	"15"	"5"	""	"59"	"4"	"5"	"25"	"6"	"81"	"1"	"52"	"6"	""	"9"	"6"	"444"	"-"	"444"	""	""
"48"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"49"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"50"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"51"	"38"	"36"	"9"	"72"	"4"	"11"	""	"58"	"3"	"3"	"14"	"6"	"57"	"7"	"25"	"7"	""	"5"	"9"	"290"	"-"	"290"	""	""
"52"	"39"	"37"	"17"	"44"	"0"	"41"	""	"2"	"0"	"0"	"4"	"0"	"13"	"3"	"26"	"4"	""	"4"	"2"	"160"	"-"	"160"	""	""
"53"	"40"	"38"	"27"	"77"	"4"	"22"	""	"137"	"11"	"2"	"5"	"2"	"32"	"4"	"8"	"1"	""	"9"	"4"	"345"	"-"	"345"	""	""
"54"	"41"	"39"	"5"	"157"	"13"	"4"	""	"72"	"3"	"2"	"26"	"9"	"78"	"5"	"3"	"4"	""	"19"	"11"	"411"	"-"	"411"	""	""
"55"	"42"	"40"	"5"	"68"	"3"	"1"	""	"47"	"5"	"1"	"7"	"4"	"60"	"5"	"5"	"3"	""	"23"	"7"	"244"	""	"244"	""	""
"56"	"43"	"41"	"19"	"129"	"46"	"2"	""	"115"	"3"	"3"	"24"	"7"	"48"	"9"	"4"	"7"	""	"13"	"7"	"436"	"-"	"436"	""	""
"57"	"44"	"42"	"9"	"38"	"4"	"0"	""	"72"	"3"	"1"	"48"	"1"	"20"	"6"	"0"	"0"	""	"1"	"2"	"205"	"-"	"205"	""	""
"58"	"45"	"43"	"8"	"102"	"52"	"6"	""	"124"	"1"	"4"	"8"	"6"	"45"	"5"	"5"	"2"	""	"13"	"1"	"382"	"-"	"382"	""	""
"59"	"46"	"44"	"6"	"88"	"9"	"1"	""	"55"	"2"	"2"	"4"	"2"	"54"	"4"	"7"	"2"	""	"22"	"0"	"258"	"-"	"258"	""	""
"60"	"47"	"45"	"9"	"99"	"4"	"1"	""	"131"	"5"	"5"	"27"	"4"	"64"	"13"	"6"	"8"	""	"23"	"6"	"405"	"-"	"405"	""	""
"61"	"48"	"46"	"2"	"89"	"3"	"3"	""	"68"	"3"	"1"	"28"	"3"	"20"	"4"	"1"	"2"	""	"3"	"6"	"236"	"-"	"236"	""	""
"62"	"49"	"47"	"20"	"105"	"3"	"2"	""	"98"	"6"	"2"	"2"	"3"	"37"	"9"	"14"	"5"	""	"56"	"18"	"380"	"-"	"380"	""	""
"63"	"50"	"47A"	"12"	"70"	"5"	"1"	""	"85"	"3"	"1"	"1"	"4"	"10"	"6"	"4"	"4"	""	"48"	"8"	"262"	"-"	"262"	""	""
"64"	"51"	"48"	"12"	"42"	"2"	"2"	""	"124"	"3"	"22"	"21"	"9"	"99"	"6"	"4"	"5"	""	"44"	"14"	"409"	"-"	"409"	""	""
"65"	"52"	"49"	"32"	"53"	"5"	"5"	""	"231"	"18"	"46"	"12"	"11"	"152"	"15"	"20"	"8"	""	"13"	"27"	"648"	"-"	"648"	""	""
"66"	"53"	"50"	"17"	"207"	"1"	"3"	""	"72"	"4"	"9"	"25"	"10"	"127"	"4"	"9"	"4"	""	"2"	"3"	"497"	"-"	"497"	""	""
"67"	"54"	"51"	"4"	"152"	"2"	"1"	""	"101"	"1"	"3"	"5"	"2"	"30"	"1"	"0"	"3"	""	"59"	"1"	"365"	"-"	"365"	""	""
"68"	"55"	"52"	"5"	"112"	"4"	"2"	""	"104"	"4"	"5"	"35"	"5"	"11"	"6"	"32"	"3"	""	"23"	"16"	"367"	"-"	"367"	""	""
"69"	"56"	"52A"	"9"	"186"	"12"	"1"	""	"52"	"4"	"5"	"7"	"3"	"11"	"8"	"30"	"9"	""	"30"	"9"	"376"	"-"	"376"	""	""
"70"	"57"	"53"	"46"	"164"	"12"	"6"	""	"63"	"2"	"3"	"32"	"1"	"23"	"5"	"16"	"2"	""	"23"	"3"	"401"	"-"	"401"	""	""
"71"	"58"	"54"	"17"	"34"	"2"	"2"	""	"49"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"3"	""	"60"	"1"	"176"	"-"	"176"	""	""
"72"	"59"	"55"	"23"	"114"	"5"	"5"	""	"90"	"5"	"5"	"24"	"10"	"43"	"19"	"7"	"6"	""	"71"	"17"	"444"	"-"	"444"	""	""
"73"	"60"	"56"	"6"	"26"	"1"	"2"	""	"25"	"0"	"1"	"5"	"1"	"5"	"7"	"6"	"3"	""	"42"	"3"	"133"	"-"	"133"	""	""
"74"	"61"	"57"	"37"	"188"	"6"	"4"	""	"177"	"2"	"4"	"6"	"1"	"24"	"6"	"4"	"2"	""	"55"	"10"	"526"	"-"	"526"	""	""
"75"	"62"	"58"	"5"	"107"	"12"	"4"	""	"206"	"1"	"4"	"7"	"1"	"10"	"7"	"7"	"0"	""	"4"	"7"	"382"	"-"	"382"	""	""
"76"	"63"	"58A"	"5"	"119"	"11"	"4"	""	"151"	"6"	"7"	"3"	"6"	"8"	"14"	"6"	"4"	""	"5"	"14"	"363"	"-"	"363"	""	""
"77"	"64"	"59"	"10"	"248"	"9"	"3"	""	"99"	"4"	"9"	"5"	"1"	"4"	"6"	"23"	"4"	""	"13"	"8"	"446"	"-"	"446"	""	""
"78"	"65"	"60"	"9"	"131"	"0"	"2"	""	"16"	"0"	"6"	"2"	"1"	"1"	"0"	"2"	"0"	""	"1"	"4"	"175"	"-"	"175"	""	""
"79"	"66"	"61"	"17"	"278"	"10"	"3"	""	"72"	"1"	"59"	"23"	"7"	"18"	"6"	"8"	"10"	""	"16"	"4"	"532"	"-"	"532"	""	""
"80"	"67"	"62"	"12"	"54"	"1"	"32"	""	"50"	"6"	"4"	"8"	"6"	"10"	"11"	"81"	"10"	""	"27"	"13"	"325"	"-"	"325"	""	""
"81"	"68"	"63"	"27"	"187"	"1"	"7"	""	"284"	"7"	"7"	"12"	"3"	"14"	"14"	"29"	"12"	""	"23"	"30"	"657"	"-"	"657"	""	""
"82"	"69"	"64"	"10"	"244"	"4"	"4"	""	"246"	"6"	"3"	"128"	"10"	"5"	"7"	"54"	"2"	""	"14"	"35"	"772"	"-"	"772"	""	""
"83"	"70"	"65"	"3"	"30"	"2"	"4"	""	"195"	"9"	"2"	"10"	"3"	"18"	"13"	"149"	"22"	""	"6"	"8"	"474"	"-"	"474"	""	""
"84"	"71"	"66"	"6"	"20"	"2"	"4"	""	"146"	"3"	"3"	"13"	"3"	"6"	"17"	"175"	"12"	""	"3"	"15"	"428"	"-"	"428"	""	""
"85"	"72"	"67"	"9"	"117"	"5"	"2"	""	"163"	"8"	"1"	"2"	"3"	"2"	"8"	"16"	"6"	""	"12"	"6"	"360"	"-"	"360"	""	""
"86"	"73"	"68"	"4"	"83"	"10"	"3"	""	"258"	"4"	"5"	"3"	"6"	"2"	"14"	"20"	"5"	""	"9"	"7"	"433"	"-"	"433"	""	""
"87"	"74"	"69"	"19"	"92"	"6"	"10"	""	"315"	"14"	"14"	"39"	"4"	"18"	"13"	"23"	"6"	""	"5"	"11"	"589"	"-"	"589"	""	""
"88"	"75"	"70"	"18"	"57"	"3"	"2"	""	"448"	"15"	"12"	"16"	"3"	"11"	"12"	"36"	"5"	""	"8"	"4"	"650"	"-"	"650"	""	""
"89"	"76"	"71"	"14"	"86"	"7"	"7"	""	"223"	"6"	"6"	"9"	"6"	"14"	"9"	"64"	"6"	""	"11"	"10"	"478"	"-"	"478"	""	""
"90"	"77"	"72"	"13"	"101"	"4"	"3"	""	"146"	"3"	"9"	"9"	"6"	"9"	"7"	"43"	"8"	""	"9"	"7"	"377"	"-"	"377"	""	""
"91"	"78"	"73"	"9"	"34"	"4"	"8"	""	"307"	"9"	"16"	"9"	"11"	"25"	"19"	"335"	"15"	""	"9"	"27"	"837"	"-"	"837"	""	""
"92"	"79"	"74"	"25"	"79"	"6"	"4"	""	"193"	"6"	"8"	"15"	"7"	"10"	"13"	"102"	"10"	""	"11"	"27"	"516"	"-"	"516"	""	""
"93"	"80"	"74A"	"13"	"126"	"4"	"2"	""	"151"	"7"	"8"	"6"	"6"	"15"	"9"	"37"	"7"	""	"18"	"13"	"422"	"-"	"422"	""	""
"94"	"81"	"75"	"17"	"292"	"14"	"6"	""	"75"	"5"	"74"	"17"	"22"	"13"	"11"	"34"	"15"	""	"36"	"29"	"660"	"-"	"660"	""	""
"95"	"82"	"76"	"21"	"265"	"9"	"12"	""	"168"	"15"	"11"	"19"	"9"	"24"	"15"	"12"	"7"	""	"51"	"20"	"658"	"-"	"658"	""	""
"96"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"97"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"99"	"83"	"77"	"7"	"19"	"3"	"5"	""	"156"	"3"	"0"	"3"	"3"	"4"	"11"	"48"	"7"	""	"4"	"6"	"279"	"-"	"279"	""	""
"100"	"84"	"78"	"17"	"194"	"4"	"2"	""	"28"	"2"	"7"	"12"	"2"	"9"	"2"	"8"	"1"	""	"15"	"4"	"307"	"-"	"307"	""	""
"101"	"85"	"79"	"13"	"165"	"6"	"9"	""	"189"	"14"	"6"	"22"	"7"	"14"	"12"	"90"	"10"	""	"3"	"7"	"567"	"-"	"567"	""	""
"102"	"86"	"80"	"6"	"171"	"4"	"1"	""	"4"	"2"	"1"	"6"	"0"	"6"	"0"	"2"	"1"	""	"2"	"2"	"208"	"-"	"208"	""	""
"103"	"87"	"81"	"15"	"409"	"5"	"6"	""	"204"	"6"	"8"	"11"	"10"	"32"	"25"	"22"	"21"	""	"32"	"49"	"855"	"-"	"855"	""	""
"104"	"88"	"82"	"17"	"282"	"2"	"4"	""	"28"	"2"	"8"	"6"	"2"	"13"	"4"	"3"	"3"	""	"5"	"12"	"391"	"-"	"391"	""	""
"105"	"89"	"83"	"13"	"320"	"6"	"5"	""	"137"	"9"	"12"	"11"	"13"	"30"	"17"	"46"	"18"	""	"41"	"28"	"706"	"-"	"706"	""	""
"106"	"90"	"84"	"6"	"203"	"3"	"5"	""	"63"	"9"	"112"	"19"	"18"	"26"	"27"	"70"	"17"	""	"43"	"16"	"637"	"-"	"637"	""	""
"107"	"91"	"85"	"20"	"93"	"4"	"7"	""	"151"	"16"	"7"	"10"	"5"	"23"	"17"	"122"	"13"	""	"18"	"13"	"519"	"-"	"519"	""	""
"108"	"92"	"86"	"8"	"25"	"4"	"3"	""	"125"	"3"	"5"	"2"	"6"	"14"	"9"	"84"	"6"	""	"4"	"15"	"313"	"-"	"313"	""	""
"109"	"93"	"87"	"8"	"202"	"3"	"5"	""	"45"	"2"	"2"	"6"	"4"	"17"	"7"	"23"	"8"	""	"38"	"19"	"389"	"-"	"389"	""	""
"110"	"94"	"88"	"16"	"146"	"8"	"10"	""	"75"	"3"	"2"	"3"	"2"	"9"	"4"	"9"	"2"	""	"5"	"6"	"300"	"-"	"300"	""	""
"111"	"95"	"89"	"22"	"206"	"11"	"7"	""	"267"	"10"	"19"	"10"	"7"	"9"	"20"	"20"	"6"	""	"15"	"14"	"643"	"-"	"643"	""	""
"112"	"96"	"90"	"20"	"124"	"5"	"19"	""	"43"	"4"	"6"	"29"	"4"	"10"	"9"	"19"	"11"	""	"62"	"8"	"373"	"-"	"373"	""	""
"113"	"97"	"91"	"10"	"56"	"3"	"1"	""	"408"	"5"	"2"	"8"	"3"	"9"	"15"	"57"	"8"	""	"14"	"2"	"601"	"-"	"601"	""	""
"114"	"98"	"92"	"19"	"77"	"4"	"9"	""	"118"	"3"	"6"	"11"	"3"	"7"	"1"	"48"	"6"	""	"5"	"6"	"323"	"-"	"323"	""	""
"115"	"99"	"93"	"13"	"130"	"4"	"5"	""	"120"	"9"	"5"	"10"	"6"	"9"	"18"	"89"	"7"	""	"27"	"18"	"470"	"-"	"470"	""	""
"116"	"100"	"94"	"6"	"46"	"2"	"81"	""	"131"	"9"	"1"	"11"	"4"	"8"	"5"	"34"	"12"	""	"14"	"10"	"374"	"-"	"374"	""	""
"117"	"101"	"95"	"9"	"112"	"5"	"3"	""	"278"	"15"	"10"	"14"	"3"	"57"	"18"	"63"	"11"	""	"32"	"10"	"640"	"-"	"640"	""	""
"118"	"102"	"96"	"11"	"236"	"12"	"11"	""	"221"	"13"	"14"	"15"	"8"	"46"	"4"	"34"	"5"	""	"5"	"10"	"645"	"-"	"645"	""	""
"119"	"103"	"97"	"22"	"163"	"6"	"13"	""	"52"	"1"	"4"	"11"	"9"	"31"	"18"	"47"	"13"	""	"34"	"23"	"447"	"-"	"447"	""	""
"120"	"104"	"98"	"55"	"187"	"1"	"44"	""	"30"	"2"	"2"	"3"	"0"	"22"	"4"	"62"	"4"	""	"7"	"8"	"431"	"-"	"431"	""	""
"121"	"105"	"99"	"6"	"106"	"2"	"7"	""	"196"	"5"	"3"	"7"	"3"	"14"	"12"	"11"	"6"	""	"63"	"11"	"452"	"-"	"452"	""	""
"122"	"106"	"100"	"20"	"151"	"11"	"3"	""	"116"	"6"	"5"	"13"	"1"	"16"	"8"	"38"	"10"	""	"17"	"10"	"425"	"-"	"425"	""	""
"123"	"107"	"101"	"16"	"179"	"6"	"72"	""	"177"	"5"	"8"	"117"	"4"	"27"	"15"	"15"	"6"	""	"26"	"21"	"694"	"-"	"694"	""	""
"124"	"108"	"102"	"13"	"241"	"3"	"72"	""	"185"	"9"	"5"	"24"	"7"	"14"	"9"	"5"	"8"	""	"8"	"18"	"621"	"-"	"621"	""	""
"125"	"109"	"103"	"19"	"78"	"1"	"6"	""	"109"	"3"	"4"	"6"	"1"	"5"	"6"	"37"	"3"	""	"6"	"8"	"292"	"-"	"292"	""	""
"126"	"110"	"104"	"33"	"131"	"0"	"7"	""	"89"	"4"	"0"	"3"	"1"	"5"	"4"	"32"	"3"	""	"4"	"6"	"322"	"-"	"322"	""	""
"127"	"111"	"105"	"50"	"156"	"8"	"15"	""	"171"	"18"	"17"	"22"	"5"	"17"	"9"	"19"	"11"	""	"24"	"15"	"557"	"-"	"557"	""	""
"128"	"112"	"106"	"29"	"204"	"3"	"9"	""	"133"	"2"	"2"	"12"	"2"	"16"	"6"	"7"	"7"	""	"6"	"11"	"449"	"-"	"449"	""	""
"129"	"113"	"107"	"32"	"162"	"5"	"44"	""	"121"	"5"	"1"	"0"	"3"	"3"	"1"	"1"	"2"	""	"2"	"4"	"386"	"-"	"386"	""	""
"130"	"114"	"108"	"21"	"226"	"6"	"31"	""	"153"	"3"	"4"	"2"	"2"	"9"	"6"	"2"	"4"	""	"3"	"7"	"479"	"-"	"479"	""	""
"131"	"115"	"108A"	"18"	"239"	"7"	"28"	""	"77"	"3"	"6"	"5"	"6"	"10"	"7"	"1"	"1"	""	"3"	"4"	"415"	"-"	"415"	""	""
"132"	"116"	"109"	"28"	"61"	"6"	"14"	""	"117"	"5"	"4"	"3"	"3"	"12"	"8"	"39"	"8"	""	"6"	"17"	"331"	"-"	"331"	""	""
"133"	"117"	"110"	"31"	"72"	"2"	"1"	""	"99"	"4"	"1"	"1"	"1"	"4"	"9"	"11"	"3"	""	"51"	"12"	"302"	"-"	"302"	""	""
"134"	"118"	"111"	"12"	"35"	"3"	"11"	""	"11"	"1"	"1"	"2"	"3"	"3"	"21"	"230"	"6"	""	"7"	"16"	"362"	"-"	"362"	""	""
"135"	"119"	"112"	"10"	"67"	"1"	"30"	""	"126"	"1"	"2"	"26"	"3"	"7"	"7"	"7"	"6"	""	"16"	"15"	"324"	"-"	"324"	""	""
"136"	"120"	"113"	"5"	"112"	"1"	"6"	""	"126"	"2"	"0"	"3"	"3"	"2"	"7"	"4"	"2"	""	"89"	"3"	"365"	"-"	"365"	""	""
"137"	"121"	"114"	"6"	"43"	"4"	"1"	""	"144"	"0"	"1"	"4"	"3"	"3"	"4"	"32"	"1"	""	"37"	"1"	"284"	"-"	"284"	""	""
