"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"11"	"2"	"11"	"3"	"196"	"5"	"4"	"62"	"3"	"6"	"3"	"3"	"1"	"2"	"5"	"12"	"10"	"12"	"1"	"2"	"22"	"1"	"3"	"3"	"4"	"3"	"377"
"12"	"3"	"26"	"8"	"153"	"9"	"13"	"383"	"31"	"2"	"5"	"7"	"11"	"6"	"6"	"5"	"44"	"5"	"4"	"8"	"15"	"2"	"8"	"6"	"1"	"2"	"760"
"13"	"4"	"4"	"4"	"99"	"2"	"2"	"149"	"11"	"1"	"1"	"0"	"10"	"1"	"3"	"2"	"23"	"2"	"6"	"14"	"48"	"4"	"3"	"13"	"2"	"6"	"410"
"14"	"5"	"7"	"2"	"255"	"8"	"7"	"58"	"5"	"2"	"2"	"1"	"1"	"3"	"4"	"4"	"17"	"9"	"1"	"0"	"5"	"0"	"6"	"1"	"0"	"0"	"398"
"15"	"6"	"8"	"4"	"244"	"5"	"3"	"126"	"13"	"4"	"5"	"2"	"6"	"2"	"6"	"20"	"52"	"14"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"6"	"540"
"16"	"7"	"25"	"7"	"132"	"7"	"20"	"337"	"33"	"8"	"5"	"3"	"26"	"4"	"3"	"14"	"8"	"12"	"2"	"4"	"8"	"2"	"3"	"6"	"4"	"5"	"678"
"17"	"8"	"9"	"10"	"98"	"5"	"1"	"44"	"5"	"1"	"3"	"3"	"4"	"5"	"2"	"5"	"131"	"5"	"11"	"14"	"17"	"4"	"1"	"4"	"2"	"3"	"387"
"18"	"9"	"18"	"5"	"248"	"10"	"9"	"155"	"5"	"3"	"3"	"0"	"5"	"1"	"5"	"5"	"27"	"14"	"6"	"4"	"26"	"3"	"1"	"5"	"2"	"6"	"566"
"19"	"10"	"10"	"2"	"150"	"7"	"7"	"275"	"17"	"4"	"3"	"4"	"10"	"1"	"4"	"4"	"61"	"18"	"12"	"9"	"20"	"5"	"0"	"6"	"5"	"8"	"642"
"20"	"11"	"8"	"7"	"223"	"13"	"4"	"108"	"7"	"2"	"3"	"3"	"7"	"4"	"2"	"6"	"39"	"7"	"5"	"4"	"10"	"2"	"5"	"4"	"1"	"3"	"477"
"21"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"22"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"24"	"12"	"24"	"8"	"473"	"16"	"1"	"117"	"8"	"6"	"1"	"5"	"5"	"5"	"3"	"12"	"31"	"7"	"17"	"9"	"41"	"13"	"17"	"23"	"7"	"24"	"873"
"25"	"13"	"10"	"35"	"195"	"4"	"4"	"204"	"22"	"1"	"1"	"1"	"9"	"2"	"5"	"4"	"99"	"9"	"4"	"9"	"15"	"2"	"3"	"5"	"8"	"12"	"663"
"26"	"14"	"21"	"10"	"519"	"16"	"4"	"47"	"11"	"2"	"4"	"5"	"6"	"4"	"11"	"23"	"15"	"12"	"4"	"1"	"22"	"10"	"4"	"5"	"3"	"4"	"763"
"27"	"15"	"2"	"19"	"159"	"3"	"2"	"43"	"1"	"3"	"3"	"1"	"7"	"1"	"8"	"11"	"327"	"8"	"4"	"2"	"14"	"4"	"0"	"2"	"1"	"2"	"627"
"28"	"16"	"13"	"26"	"220"	"5"	"4"	"146"	"13"	"1"	"2"	"3"	"4"	"2"	"3"	"3"	"87"	"3"	"2"	"3"	"11"	"1"	"1"	"2"	"2"	"2"	"559"
"29"	"17"	"16"	"7"	"329"	"11"	"3"	"177"	"16"	"4"	"5"	"1"	"3"	"3"	"0"	"3"	"18"	"4"	"3"	"4"	"20"	"3"	"0"	"5"	"0"	"1"	"636"
"30"	"18"	"15"	"5"	"308"	"7"	"27"	"212"	"24"	"4"	"3"	"11"	"19"	"2"	"17"	"15"	"20"	"34"	"5"	"2"	"10"	"0"	"1"	"5"	"2"	"3"	"751"
"31"	"19"	"3"	"3"	"214"	"6"	"5"	"176"	"4"	"2"	"2"	"0"	"6"	"2"	"2"	"3"	"10"	"3"	"6"	"4"	"21"	"3"	"1"	"7"	"2"	"1"	"486"
"32"	"20"	"4"	"2"	"71"	"2"	"3"	"121"	"6"	"1"	"0"	"2"	"11"	"1"	"0"	"4"	"3"	"8"	"1"	"1"	"3"	"0"	"0"	"0"	"2"	"5"	"251"
"33"	"21"	"8"	"5"	"219"	"8"	"7"	"117"	"11"	"4"	"1"	"2"	"8"	"0"	"3"	"6"	"70"	"4"	"3"	"8"	"9"	"4"	"1"	"4"	"5"	"3"	"510"
"34"	"22"	"3"	"4"	"36"	"2"	"1"	"101"	"10"	"2"	"1"	"4"	"12"	"0"	"2"	"1"	"6"	"77"	"9"	"8"	"12"	"4"	"5"	"9"	"1"	"2"	"312"
"35"	"23"	"9"	"21"	"111"	"9"	"9"	"112"	"9"	"4"	"4"	"1"	"3"	"3"	"5"	"9"	"239"	"8"	"5"	"6"	"10"	"3"	"0"	"4"	"3"	"10"	"597"
"36"	"24"	"15"	"9"	"255"	"5"	"4"	"123"	"4"	"1"	"1"	"1"	"7"	"0"	"4"	"1"	"58"	"6"	"15"	"20"	"43"	"7"	"2"	"8"	"5"	"12"	"606"
"37"	"25"	"39"	"15"	"149"	"12"	"27"	"489"	"27"	"3"	"5"	"7"	"15"	"1"	"11"	"3"	"26"	"3"	"2"	"1"	"12"	"0"	"6"	"3"	"2"	"3"	"861"
"38"	"26"	"12"	"4"	"189"	"9"	"5"	"54"	"10"	"2"	"2"	"2"	"16"	"1"	"7"	"6"	"76"	"3"	"9"	"2"	"5"	"4"	"5"	"2"	"2"	"5"	"432"
"39"	"26A"	"7"	"6"	"112"	"2"	"6"	"118"	"8"	"5"	"3"	"3"	"19"	"2"	"6"	"8"	"81"	"12"	"5"	"7"	"4"	"2"	"2"	"2"	"0"	"3"	"423"
"40"	"27"	"5"	"4"	"147"	"1"	"3"	"389"	"5"	"1"	"2"	"1"	"9"	"0"	"1"	"2"	"11"	"8"	"2"	"3"	"9"	"5"	"0"	"1"	"0"	"0"	"609"
"41"	"28"	"3"	"6"	"169"	"4"	"2"	"258"	"5"	"1"	"0"	"2"	"2"	"0"	"1"	"3"	"88"	"38"	"2"	"27"	"3"	"0"	"1"	"1"	"1"	"5"	"622"
"42"	"29"	"6"	"7"	"219"	"3"	"6"	"420"	"9"	"6"	"0"	"19"	"16"	"4"	"1"	"6"	"18"	"6"	"1"	"0"	"6"	"1"	"8"	"14"	"10"	"3"	"789"
"43"	"30"	"2"	"11"	"176"	"4"	"3"	"254"	"14"	"6"	"2"	"2"	"10"	"1"	"2"	"8"	"21"	"6"	"4"	"2"	"8"	"6"	"21"	"5"	"1"	"4"	"573"
"44"	"31"	"30"	"7"	"409"	"8"	"13"	"322"	"33"	"5"	"3"	"5"	"11"	"0"	"6"	"7"	"21"	"9"	"17"	"4"	"6"	"3"	"1"	"4"	"1"	"4"	"929"
"45"	"32"	"8"	"5"	"124"	"1"	"3"	"229"	"13"	"3"	"3"	"7"	"20"	"4"	"10"	"10"	"18"	"18"	"1"	"3"	"11"	"0"	"2"	"2"	"1"	"5"	"501"
"46"	"33"	"8"	"11"	"199"	"5"	"5"	"218"	"5"	"1"	"0"	"0"	"5"	"1"	"3"	"5"	"16"	"8"	"4"	"4"	"8"	"1"	"3"	"7"	"1"	"2"	"520"
"47"	"34"	"10"	"3"	"247"	"4"	"1"	"79"	"6"	"0"	"6"	"0"	"5"	"0"	"4"	"4"	"15"	"2"	"8"	"5"	"18"	"2"	"0"	"4"	"3"	"2"	"428"
"48"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"49"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"50"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"51"	"35"	"9"	"5"	"98"	"2"	"36"	"376"	"21"	"5"	"6"	"5"	"25"	"1"	"6"	"8"	"28"	"17"	"7"	"5"	"12"	"4"	"4"	"15"	"4"	"5"	"704"
"52"	"36"	"10"	"4"	"271"	"8"	"14"	"143"	"10"	"4"	"3"	"0"	"6"	"2"	"6"	"16"	"12"	"12"	"1"	"1"	"8"	"0"	"0"	"4"	"3"	"6"	"544"
"53"	"37"	"6"	"4"	"229"	"6"	"7"	"147"	"9"	"2"	"2"	"3"	"5"	"1"	"2"	"11"	"12"	"5"	"1"	"3"	"17"	"7"	"1"	"3"	"1"	"2"	"486"
"54"	"38"	"7"	"5"	"217"	"4"	"0"	"27"	"1"	"1"	"3"	"2"	"7"	"0"	"5"	"18"	"411"	"8"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"724"
"55"	"39"	"7"	"3"	"100"	"2"	"12"	"340"	"13"	"1"	"5"	"7"	"23"	"2"	"6"	"5"	"36"	"19"	"10"	"6"	"18"	"5"	"3"	"4"	"1"	"7"	"635"
"56"	"40"	"12"	"13"	"403"	"14"	"7"	"100"	"10"	"7"	"8"	"2"	"13"	"3"	"11"	"39"	"107"	"22"	"2"	"5"	"33"	"1"	"0"	"1"	"1"	"3"	"817"
"57"	"41"	"9"	"7"	"258"	"7"	"1"	"78"	"7"	"2"	"2"	"0"	"9"	"1"	"3"	"6"	"50"	"8"	"6"	"8"	"11"	"5"	"8"	"4"	"5"	"7"	"502"
"58"	"42"	"10"	"3"	"213"	"2"	"0"	"107"	"7"	"0"	"2"	"4"	"5"	"1"	"3"	"4"	"60"	"8"	"13"	"12"	"19"	"5"	"1"	"5"	"1"	"4"	"489"
"59"	"43"	"4"	"6"	"104"	"3"	"4"	"83"	"6"	"3"	"6"	"2"	"63"	"4"	"7"	"12"	"208"	"8"	"3"	"4"	"9"	"4"	"1"	"2"	"0"	"4"	"550"
"60"	"44"	"26"	"10"	"350"	"6"	"8"	"145"	"22"	"6"	"7"	"7"	"29"	"6"	"13"	"36"	"11"	"27"	"5"	"5"	"10"	"1"	"2"	"4"	"2"	"2"	"740"
"61"	"45"	"16"	"19"	"424"	"11"	"7"	"59"	"11"	"2"	"4"	"2"	"17"	"0"	"3"	"9"	"39"	"4"	"8"	"5"	"16"	"6"	"2"	"1"	"0"	"1"	"666"
"62"	"46"	"23"	"15"	"415"	"8"	"2"	"64"	"8"	"1"	"5"	"4"	"20"	"1"	"3"	"8"	"17"	"2"	"9"	"5"	"25"	"2"	"9"	"3"	"0"	"2"	"651"
"63"	"47"	"13"	"7"	"83"	"2"	"3"	"89"	"10"	"3"	"0"	"0"	"9"	"5"	"7"	"1"	"177"	"2"	"9"	"13"	"6"	"1"	"3"	"3"	"1"	"2"	"449"
"64"	"47A"	"15"	"6"	"66"	"3"	"5"	"209"	"6"	"3"	"1"	"2"	"16"	"0"	"3"	"4"	"155"	"6"	"7"	"10"	"12"	"1"	"1"	"2"	"0"	"5"	"538"
"65"	"48"	"19"	"8"	"242"	"12"	"10"	"264"	"12"	"8"	"5"	"8"	"16"	"7"	"8"	"7"	"49"	"35"	"4"	"0"	"8"	"6"	"1"	"3"	"4"	"9"	"745"
"66"	"49"	"13"	"7"	"426"	"9"	"25"	"191"	"16"	"2"	"4"	"1"	"18"	"5"	"9"	"20"	"37"	"17"	"3"	"0"	"8"	"2"	"4"	"3"	"2"	"2"	"824"
"67"	"50"	"23"	"12"	"340"	"6"	"3"	"104"	"12"	"3"	"5"	"3"	"3"	"4"	"2"	"7"	"20"	"4"	"11"	"6"	"35"	"7"	"8"	"4"	"3"	"5"	"630"
"68"	"51"	"6"	"9"	"149"	"3"	"1"	"259"	"12"	"3"	"1"	"2"	"6"	"0"	"1"	"1"	"12"	"1"	"8"	"7"	"12"	"2"	"1"	"5"	"1"	"4"	"506"
"69"	"52"	"9"	"13"	"467"	"2"	"7"	"129"	"2"	"2"	"2"	"0"	"4"	"0"	"4"	"9"	"29"	"4"	"3"	"1"	"26"	"3"	"3"	"1"	"1"	"3"	"724"
"70"	"53"	"10"	"16"	"383"	"8"	"7"	"178"	"13"	"1"	"1"	"4"	"5"	"3"	"6"	"6"	"60"	"11"	"1"	"4"	"28"	"1"	"2"	"3"	"3"	"6"	"760"
"71"	"54"	"12"	"9"	"273"	"1"	"4"	"115"	"8"	"2"	"4"	"4"	"4"	"1"	"9"	"4"	"174"	"7"	"6"	"5"	"11"	"6"	"3"	"2"	"1"	"1"	"666"
"72"	"55"	"4"	"15"	"250"	"3"	"1"	"94"	"111"	"3"	"5"	"2"	"4"	"3"	"8"	"6"	"16"	"10"	"5"	"1"	"26"	"3"	"4"	"2"	"1"	"2"	"579"
"73"	"56"	"4"	"5"	"361"	"1"	"4"	"88"	"9"	"3"	"1"	"1"	"7"	"2"	"6"	"11"	"19"	"16"	"1"	"4"	"47"	"2"	"1"	"1"	"1"	"4"	"599"
"74"	"57"	"10"	"9"	"225"	"4"	"2"	"76"	"221"	"1"	"1"	"0"	"2"	"3"	"1"	"1"	"34"	"5"	"10"	"4"	"12"	"3"	"9"	"4"	"1"	"3"	"641"
"75"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"76"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"77"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"78"	"58"	"5"	"8"	"216"	"5"	"2"	"91"	"52"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"24"	"3"	"8"	"8"	"37"	"6"	"12"	"3"	"3"	"3"	"490"
"79"	"59"	"7"	"6"	"209"	"8"	"1"	"116"	"30"	"3"	"2"	"2"	"2"	"1"	"7"	"7"	"13"	"11"	"0"	"0"	"8"	"1"	"1"	"0"	"0"	"0"	"435"
"80"	"60"	"6"	"10"	"186"	"2"	"1"	"63"	"1"	"2"	"2"	"0"	"4"	"0"	"3"	"3"	"82"	"7"	"1"	"2"	"7"	"0"	"6"	"0"	"3"	"10"	"401"
"81"	"61"	"1"	"12"	"209"	"3"	"1"	"23"	"2"	"1"	"0"	"0"	"2"	"2"	"3"	"1"	"33"	"3"	"2"	"3"	"199"	"1"	"0"	"0"	"1"	"11"	"513"
"82"	"62"	"3"	"7"	"85"	"1"	"2"	"20"	"15"	"0"	"0"	"0"	"1"	"2"	"6"	"1"	"39"	"7"	"0"	"5"	"201"	"0"	"1"	"0"	"1"	"9"	"406"
"83"	"63"	"5"	"5"	"184"	"1"	"0"	"59"	"5"	"3"	"1"	"1"	"1"	"0"	"0"	"2"	"36"	"4"	"3"	"9"	"155"	"7"	"1"	"0"	"2"	"6"	"490"
"84"	"64"	"2"	"24"	"336"	"4"	"2"	"101"	"6"	"0"	"1"	"1"	"3"	"2"	"3"	"2"	"82"	"24"	"5"	"1"	"26"	"6"	"3"	"2"	"0"	"6"	"642"
"85"	"65"	"9"	"19"	"239"	"6"	"1"	"77"	"6"	"1"	"0"	"2"	"3"	"2"	"2"	"0"	"51"	"6"	"0"	"1"	"9"	"1"	"6"	"0"	"0"	"1"	"442"
"86"	"66"	"1"	"18"	"253"	"2"	"2"	"127"	"6"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"74"	"82"	"0"	"1"	"30"	"2"	"2"	"1"	"1"	"2"	"614"
"87"	"67"	"4"	"21"	"244"	"1"	"1"	"78"	"7"	"2"	"1"	"0"	"1"	"1"	"3"	"3"	"63"	"4"	"1"	"2"	"7"	"0"	"13"	"0"	"0"	"1"	"458"
"88"	"68"	"9"	"25"	"291"	"5"	"2"	"167"	"4"	"0"	"1"	"1"	"7"	"0"	"0"	"1"	"66"	"5"	"3"	"0"	"13"	"2"	"1"	"1"	"0"	"3"	"607"
"89"	"69"	"5"	"11"	"258"	"1"	"1"	"89"	"5"	"1"	"5"	"1"	"3"	"0"	"1"	"1"	"61"	"6"	"0"	"0"	"19"	"0"	"1"	"0"	"2"	"0"	"471"
"90"	"70"	"8"	"14"	"332"	"1"	"2"	"127"	"4"	"1"	"1"	"2"	"4"	"1"	"5"	"1"	"89"	"18"	"3"	"1"	"72"	"1"	"1"	"0"	"0"	"1"	"689"
"91"	"71"	"0"	"15"	"61"	"1"	"3"	"194"	"7"	"3"	"1"	"0"	"3"	"1"	"1"	"2"	"21"	"10"	"1"	"3"	"5"	"1"	"7"	"1"	"2"	"0"	"343"
"92"	"72"	"2"	"24"	"203"	"5"	"7"	"107"	"5"	"0"	"2"	"6"	"2"	"1"	"4"	"4"	"17"	"4"	"0"	"1"	"5"	"0"	"0"	"1"	"1"	"1"	"402"
"93"	"73"	"8"	"12"	"253"	"0"	"4"	"170"	"10"	"0"	"1"	"1"	"3"	"0"	"1"	"0"	"16"	"7"	"1"	"6"	"9"	"0"	"2"	"1"	"1"	"1"	"507"
"94"	"74"	"2"	"6"	"213"	"14"	"1"	"150"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"20"	"10"	"3"	"0"	"17"	"0"	"2"	"0"	"0"	"3"	"444"
"95"	"75"	"2"	"4"	"356"	"2"	"1"	"55"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"7"	"13"	"3"	"1"	"2"	"16"	"2"	"2"	"2"	"0"	"2"	"476"
"96"	"76"	"8"	"15"	"294"	"3"	"6"	"193"	"4"	"2"	"4"	"5"	"8"	"1"	"1"	"11"	"24"	"33"	"3"	"2"	"11"	"3"	"5"	"14"	"3"	"6"	"659"
"97"	"77"	"21"	"12"	"375"	"16"	"5"	"93"	"12"	"3"	"4"	"1"	"5"	"0"	"3"	"2"	"18"	"7"	"3"	"1"	"5"	"2"	"45"	"1"	"2"	"1"	"637"
"98"	"78"	"4"	"6"	"342"	"3"	"2"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"2"	"6"	"1"	"10"	"3"	"8"	"2"	"0"	"1"	"441"
"99"	"79"	"6"	"0"	"236"	"3"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"9"	"3"	"2"	"1"	"11"	"3"	"2"	"0"	"0"	"1"	"320"
"100"	"80"	"10"	"9"	"433"	"6"	"1"	"98"	"4"	"0"	"1"	"3"	"1"	"1"	"1"	"5"	"24"	"7"	"1"	"2"	"17"	"0"	"46"	"2"	"0"	"2"	"674"
"101"	"81"	"7"	"8"	"412"	"6"	"3"	"60"	"3"	"0"	"1"	"0"	"2"	"2"	"3"	"6"	"18"	"8"	"0"	"0"	"11"	"1"	"4"	"0"	"1"	"2"	"558"
"102"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"103"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"105"	"82"	"4"	"18"	"111"	"3"	"7"	"255"	"10"	"2"	"2"	"1"	"3"	"0"	"2"	"2"	"27"	"7"	"3"	"10"	"22"	"10"	"89"	"4"	"0"	"4"	"596"
"106"	"83"	"1"	"12"	"178"	"2"	"2"	"78"	"1"	"3"	"7"	"4"	"5"	"0"	"2"	"2"	"20"	"3"	"2"	"0"	"5"	"2"	"233"	"4"	"1"	"0"	"567"
"107"	"84"	"7"	"15"	"250"	"5"	"5"	"84"	"1"	"1"	"2"	"1"	"1"	"0"	"6"	"2"	"85"	"8"	"0"	"1"	"9"	"2"	"0"	"0"	"0"	"1"	"486"
"108"	"85"	"8"	"11"	"353"	"4"	"2"	"54"	"4"	"3"	"3"	"2"	"7"	"1"	"4"	"7"	"90"	"17"	"1"	"0"	"13"	"2"	"0"	"1"	"1"	"2"	"590"
"109"	"86"	"4"	"9"	"282"	"6"	"4"	"43"	"2"	"2"	"2"	"1"	"1"	"0"	"9"	"10"	"142"	"18"	"0"	"0"	"11"	"1"	"7"	"0"	"0"	"1"	"555"
"110"	"87"	"8"	"15"	"362"	"7"	"1"	"49"	"1"	"1"	"2"	"1"	"6"	"0"	"2"	"2"	"113"	"0"	"3"	"1"	"17"	"3"	"2"	"1"	"1"	"4"	"602"
"111"	"88"	"2"	"6"	"296"	"10"	"1"	"110"	"4"	"3"	"3"	"4"	"7"	"2"	"5"	"10"	"74"	"11"	"2"	"4"	"16"	"2"	"6"	"2"	"2"	"4"	"586"
"112"	"89"	"6"	"9"	"302"	"3"	"2"	"198"	"5"	"2"	"2"	"0"	"3"	"2"	"3"	"0"	"36"	"1"	"2"	"6"	"10"	"3"	"3"	"3"	"3"	"0"	"604"
"113"	"90"	"9"	"8"	"262"	"5"	"2"	"177"	"7"	"1"	"1"	"3"	"3"	"1"	"3"	"2"	"29"	"3"	"6"	"8"	"25"	"9"	"4"	"2"	"4"	"5"	"579"
"114"	"91"	"12"	"19"	"350"	"9"	"5"	"185"	"10"	"1"	"3"	"6"	"5"	"8"	"4"	"4"	"39"	"7"	"2"	"1"	"10"	"1"	"1"	"2"	"3"	"3"	"690"
"115"	"92"	"2"	"13"	"330"	"6"	"1"	"121"	"7"	"1"	"1"	"2"	"2"	"2"	"5"	"5"	"43"	"5"	"1"	"1"	"22"	"0"	"9"	"0"	"2"	"2"	"583"
"116"	"93"	"11"	"14"	"317"	"4"	"0"	"136"	"2"	"1"	"2"	"0"	"8"	"1"	"3"	"5"	"17"	"7"	"2"	"3"	"14"	"0"	"4"	"0"	"0"	"3"	"554"
"117"	"94"	"18"	"12"	"349"	"4"	"1"	"157"	"5"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"7"	"2"	"4"	"2"	"16"	"3"	"3"	"2"	"0"	"2"	"596"
"118"	"95"	"42"	"16"	"136"	"1"	"3"	"92"	"4"	"0"	"1"	"0"	"3"	"0"	"1"	"4"	"7"	"3"	"1"	"1"	"3"	"2"	"2"	"2"	"1"	"2"	"327"
