"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X241638.97.241735.37.Rajnagar..SC."	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"32"	"22A"	"78"	"92"	"127"	"11"	"3"	"3"	"8"	"5"	"12"	"20"	"359"	""	"359"	""	""
"33"	"23"	"56"	"125"	"219"	"13"	"2"	"1"	"3"	"9"	"8"	"2"	"438"	""	"438"	""	""
"34"	"24"	"48"	"241"	"136"	"14"	"3"	"7"	"6"	"11"	"9"	"9"	"484"	""	"484"	""	""
"35"	"25"	"97"	"78"	"417"	"11"	"5"	"2"	"7"	"8"	"5"	"8"	"638"	""	"638"	""	""
"36"	"26"	"70"	"279"	"117"	"6"	"8"	"8"	"8"	"9"	"6"	"3"	"514"	""	"514"	""	""
"37"	"27"	"40"	"81"	"210"	"10"	"3"	"4"	"3"	"6"	"5"	"6"	"368"	""	"368"	""	""
"38"	"Total -2"	"847"	"2800"	"2238"	"137"	"63"	"69"	"88"	"107"	"128"	"149"	"6626"	"0"	"6626"	""	"0"
"39"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"41"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"43"	"B.F."	"2366"	"5051"	"4515"	"275"	"185"	"138"	"165"	"234"	"243"	"312"	"13484"	"0"	"13484"	""	"0"
"44"	"28"	"31"	"146"	"151"	"9"	"0"	"0"	"3"	"8"	"5"	"5"	"358"	""	"358"	""	""
"45"	"29"	"45"	"90"	"127"	"6"	"6"	"5"	"7"	"6"	"7"	"13"	"312"	""	"312"	""	""
"46"	"29A"	"27"	"70"	"44"	"1"	"0"	"3"	"2"	"1"	"0"	"2"	"150"	""	"150"	""	""
"47"	"30"	"57"	"194"	"252"	"19"	"10"	"13"	"5"	"11"	"17"	"10"	"588"	""	"588"	""	""
"48"	"31"	"57"	"101"	"115"	"6"	"4"	"4"	"4"	"4"	"6"	"1"	"302"	""	"302"	""	""
"49"	"31A"	"41"	"159"	"75"	"4"	"2"	"5"	"6"	"5"	"3"	"0"	"300"	""	"300"	""	""
"50"	"32"	"23"	"24"	"260"	"15"	"13"	"5"	"1"	"15"	"8"	"13"	"377"	""	"377"	""	""
"51"	"32A"	"79"	"54"	"80"	"12"	"46"	"10"	"6"	"11"	"8"	"18"	"324"	""	"324"	""	""
"52"	"33"	"23"	"73"	"348"	"11"	"6"	"3"	"3"	"7"	"3"	"9"	"486"	""	"486"	""	""
"53"	"34"	"30"	"356"	"65"	"8"	"8"	"1"	"5"	"6"	"15"	"9"	"503"	""	"503"	""	""
"54"	"35"	"30"	"66"	"152"	"5"	"8"	"5"	"5"	"8"	"13"	"12"	"304"	""	"304"	""	""
"55"	"36"	"26"	"125"	"233"	"16"	"12"	"13"	"9"	"20"	"18"	"11"	"483"	""	"483"	""	""
"56"	"37"	"114"	"96"	"405"	"21"	"8"	"18"	"7"	"24"	"17"	"29"	"739"	""	"739"	""	""
"57"	"38"	"60"	"152"	"267"	"20"	"8"	"5"	"9"	"9"	"15"	"16"	"561"	""	"561"	""	""
"58"	"Total -3"	"643"	"1706"	"2574"	"153"	"131"	"90"	"72"	"135"	"135"	"148"	"5787"	"0"	"5787"	""	"0"
"59"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"61"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"63"	"B.F."	"3009"	"6757"	"7089"	"428"	"316"	"228"	"237"	"369"	"378"	"460"	"19271"	"0"	"19271"	""	"0"
"64"	"39"	"58"	"201"	"197"	"7"	"5"	"6"	"4"	"6"	"11"	"20"	"515"	""	"515"	""	""
"65"	"40"	"75"	"249"	"39"	"2"	"0"	"1"	"2"	"1"	"2"	"4"	"375"	""	"375"	""	""
"66"	"41"	"61"	"204"	"198"	"5"	"12"	"8"	"8"	"7"	"8"	"10"	"521"	""	"521"	""	""
"67"	"42"	"158"	"370"	"135"	"12"	"5"	"3"	"7"	"7"	"13"	"17"	"727"	""	"727"	""	""
"68"	"43"	"92"	"256"	"137"	"13"	"4"	"11"	"6"	"9"	"15"	"19"	"562"	""	"562"	""	""
"69"	"43A"	"87"	"174"	"28"	"3"	"1"	"3"	"4"	"8"	"7"	"6"	"321"	""	"321"	""	""
"70"	"44"	"36"	"102"	"35"	"4"	"3"	"3"	"3"	"8"	"3"	"6"	"203"	""	"203"	""	""
"71"	"45"	"139"	"292"	"117"	"10"	"4"	"4"	"2"	"4"	"10"	"3"	"585"	""	"585"	""	""
"72"	"46"	"250"	"268"	"76"	"5"	"2"	"6"	"2"	"3"	"9"	"10"	"631"	""	"631"	""	""
"73"	"47"	"50"	"103"	"176"	"8"	"6"	"2"	"3"	"2"	"2"	"5"	"357"	""	"357"	""	""
"74"	"48"	"90"	"68"	"22"	"1"	"3"	"2"	"2"	"1"	"1"	"1"	"191"	""	"191"	""	""
"75"	"49"	"43"	"118"	"263"	"13"	"8"	"8"	"5"	"3"	"11"	"15"	"487"	""	"487"	""	""
"76"	"49A"	"98"	"107"	"42"	"2"	"0"	"0"	"3"	"0"	"0"	"2"	"254"	""	"254"	""	""
"77"	"50"	"59"	"239"	"249"	"7"	"6"	"8"	"8"	"16"	"14"	"11"	"617"	""	"617"	""	""
"78"	"Total -4"	"1296"	"2751"	"1714"	"92"	"59"	"65"	"59"	"75"	"106"	"129"	"6346"	"0"	"6346"	""	"0"
"79"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"81"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"83"	"B.F."	"4305"	"9508"	"8803"	"520"	"375"	"293"	"296"	"444"	"484"	"589"	"25617"	"0"	"25617"	""	"0"
"84"	"51"	"59"	"152"	"54"	"6"	"51"	"14"	"6"	"7"	"9"	"6"	"364"	""	"364"	""	""
"85"	"51A"	"33"	"40"	"98"	"1"	"5"	"4"	"2"	"0"	"2"	"3"	"188"	""	"188"	""	""
"86"	"52"	"41"	"236"	"245"	"13"	"39"	"14"	"11"	"12"	"13"	"12"	"636"	""	"636"	""	""
"87"	"53"	"67"	"184"	"96"	"10"	"69"	"5"	"8"	"8"	"17"	"12"	"476"	""	"476"	""	""
"88"	"54"	"167"	"179"	"38"	"2"	"2"	"2"	"2"	"0"	"5"	"8"	"405"	""	"405"	""	""
"89"	"55"	"115"	"113"	"52"	"2"	"3"	"1"	"1"	"4"	"1"	"5"	"297"	""	"297"	""	""
"90"	"55A"	"77"	"37"	"176"	"10"	"4"	"7"	"5"	"14"	"14"	"16"	"360"	""	"360"	""	""
"91"	"56"	"66"	"149"	"152"	"12"	"125"	"12"	"7"	"10"	"8"	"11"	"552"	""	"552"	""	""
"92"	"57"	"66"	"174"	"122"	"15"	"124"	"11"	"10"	"9"	"8"	"17"	"556"	""	"556"	""	""
"93"	"58"	"57"	"201"	"112"	"8"	"173"	"5"	"6"	"4"	"5"	"8"	"579"	""	"579"	""	""
"94"	"59"	"42"	"279"	"28"	"13"	"156"	"16"	"9"	"10"	"19"	"23"	"595"	""	"595"	""	""
"95"	"60"	"100"	"278"	"54"	"6"	"38"	"5"	"6"	"3"	"4"	"10"	"504"	""	"504"	""	""
"96"	"61"	"59"	"173"	"222"	"12"	"6"	"5"	"2"	"9"	"7"	"17"	"512"	""	"512"	""	""
"97"	"61A"	"46"	"160"	"148"	"5"	"1"	"1"	"1"	"0"	"5"	"9"	"376"	""	"376"	""	""
"98"	"Total -5"	"995"	"2355"	"1597"	"115"	"796"	"102"	"76"	"90"	"117"	"157"	"6400"	"0"	"6400"	""	"0"
"99"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"101"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"103"	"B.F."	"5300"	"11863"	"10400"	"635"	"1171"	"395"	"372"	"534"	"601"	"746"	"32017"	"0"	"32017"	""	"0"
"104"	"62"	"36"	"159"	"107"	"4"	"38"	"2"	"4"	"2"	"4"	"4"	"360"	""	"360"	""	""
"105"	"63"	"47"	"213"	"13"	"4"	"16"	"6"	"2"	"4"	"7"	"11"	"323"	""	"323"	""	""
"106"	"64"	"29"	"76"	"385"	"9"	"9"	"8"	"4"	"8"	"2"	"3"	"533"	""	"533"	""	""
"107"	"65"	"17"	"307"	"283"	"31"	"5"	"6"	"6"	"10"	"21"	"18"	"704"	""	"704"	""	""
"108"	"66"	"65"	"330"	"218"	"9"	"6"	"10"	"10"	"10"	"10"	"7"	"675"	""	"675"	""	""
"109"	"67"	"33"	"88"	"369"	"14"	"8"	"4"	"2"	"7"	"7"	"11"	"543"	""	"543"	""	""
"110"	"68"	"35"	"199"	"248"	"11"	"6"	"7"	"10"	"9"	"13"	"17"	"555"	""	"555"	""	""
"111"	"68A"	"54"	"74"	"30"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"163"	""	"163"	""	""
"112"	"69"	"32"	"91"	"330"	"20"	"21"	"7"	"11"	"12"	"8"	"8"	"540"	""	"540"	""	""
"113"	"70"	"32"	"112"	"307"	"6"	"11"	"7"	"8"	"5"	"11"	"16"	"515"	""	"515"	""	""
"114"	"71"	"33"	"104"	"134"	"7"	"3"	"6"	"8"	"6"	"8"	"7"	"316"	""	"316"	""	""
"115"	"71A"	"17"	"32"	"125"	"6"	"9"	"5"	"5"	"2"	"1"	"5"	"207"	""	"207"	""	""
"116"	"72"	"116"	"72"	"103"	"7"	"16"	"0"	"0"	"5"	"5"	"4"	"328"	""	"328"	""	""
"117"	"73"	"86"	"88"	"141"	"5"	"19"	"3"	"2"	"5"	"21"	"17"	"387"	""	"387"	""	""
"118"	"Total -6"	"632"	"1945"	"2793"	"134"	"168"	"73"	"72"	"86"	"118"	"128"	"6149"	"0"	"6149"	""	"0"
"119"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"121"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"123"	"B.F."	"5932"	"13808"	"13193"	"769"	"1339"	"468"	"444"	"620"	"719"	"874"	"38166"	"0"	"38166"	""	"0"
"124"	"73A"	"25"	"33"	"231"	"8"	"20"	"2"	"5"	"7"	"2"	"2"	"335"	""	"335"	""	""
"125"	"74"	"91"	"164"	"337"	"10"	"5"	"6"	"4"	"7"	"14"	"44"	"682"	""	"682"	""	""
"126"	"75"	"9"	"10"	"310"	"8"	"4"	"1"	"3"	"8"	"2"	"12"	"367"	""	"367"	""	""
"127"	"76"	"21"	"73"	"362"	"17"	"14"	"5"	"7"	"12"	"5"	"9"	"525"	""	"525"	""	""
"128"	"77"	"236"	"31"	"187"	"7"	"5"	"4"	"2"	"7"	"5"	"4"	"488"	""	"488"	""	""
"129"	"78"	"118"	"238"	"249"	"18"	"16"	"11"	"13"	"11"	"22"	"24"	"720"	""	"720"	""	""
"130"	"79"	"124"	"177"	"255"	"7"	"24"	"6"	"4"	"9"	"17"	"15"	"638"	""	"638"	""	""
"131"	"80"	"44"	"124"	"126"	"10"	"36"	"3"	"9"	"12"	"14"	"31"	"409"	""	"409"	""	""
"132"	"80A"	"37"	"85"	"88"	"10"	"60"	"7"	"9"	"6"	"6"	"14"	"322"	""	"322"	""	""
"133"	"81"	"60"	"338"	"89"	"3"	"4"	"0"	"2"	"5"	"13"	"0"	"514"	""	"514"	""	""
"134"	"82"	"83"	"124"	"50"	"2"	"0"	"0"	"2"	"0"	"3"	"11"	"275"	""	"275"	""	""
"135"	"83"	"51"	"151"	"193"	"10"	"7"	"8"	"6"	"6"	"9"	"25"	"466"	""	"466"	""	""
"136"	"84"	"32"	"123"	"177"	"20"	"8"	"8"	"7"	"11"	"20"	"47"	"453"	""	"453"	""	""
"137"	"84A"	"29"	"116"	"239"	"7"	"4"	"7"	"7"	"10"	"9"	"13"	"441"	""	"441"	""	""
"138"	"Total -7"	"960"	"1787"	"2893"	"137"	"207"	"68"	"80"	"111"	"141"	"251"	"6635"	"0"	"6635"	""	"0"
"139"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"141"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"143"	"B.F."	"6892"	"15595"	"16086"	"906"	"1546"	"536"	"524"	"731"	"860"	"1125"	"44801"	"0"	"44801"	""	"0"
"144"	"85"	"42"	"93"	"249"	"9"	"61"	"9"	"16"	"149"	"28"	"36"	"692"	""	"692"	""	""
"145"	"86"	"65"	"159"	"352"	"17"	"12"	"8"	"11"	"17"	"20"	"28"	"689"	""	"689"	""	""
"146"	"87"	"30"	"134"	"288"	"19"	"10"	"9"	"28"	"37"	"29"	"26"	"610"	""	"610"	""	""
"147"	"88"	"51"	"101"	"359"	"33"	"6"	"4"	"7"	"17"	"6"	"28"	"612"	""	"612"	""	""
"148"	"89"	"81"	"148"	"292"	"11"	"4"	"5"	"2"	"17"	"3"	"1"	"564"	""	"564"	""	""
"149"	"90"	"36"	"176"	"310"	"16"	"4"	"4"	"7"	"28"	"22"	"44"	"647"	""	"647"	""	""
"150"	"91"	"53"	"118"	"158"	"3"	"2"	"4"	"2"	"7"	"5"	"3"	"355"	""	"355"	""	""
"151"	"92"	"137"	"41"	"80"	"1"	"0"	"0"	"1"	"1"	"1"	"14"	"276"	""	"276"	""	""
"152"	"93"	"34"	"201"	"205"	"14"	"7"	"9"	"8"	"22"	"12"	"7"	"519"	""	"519"	""	""
"153"	"94"	"88"	"107"	"14"	"2"	"1"	"0"	"0"	"2"	"4"	"3"	"221"	""	"221"	""	""
"154"	"94A"	"98"	"80"	"51"	"2"	"2"	"1"	"0"	"3"	"2"	"5"	"244"	""	"244"	""	""
"155"	"95"	"34"	"65"	"188"	"8"	"2"	"7"	"7"	"6"	"29"	"21"	"367"	""	"367"	""	""
"156"	"96"	"134"	"228"	"33"	"5"	"2"	"4"	"2"	"4"	"9"	"4"	"425"	""	"425"	""	""
"157"	"97"	"85"	"274"	"96"	"5"	"6"	"5"	"2"	"5"	"7"	"3"	"488"	""	"488"	""	""
"158"	"Total -8"	"968"	"1925"	"2675"	"145"	"119"	"69"	"93"	"315"	"177"	"223"	"6709"	"0"	"6709"	""	"0"
"159"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"161"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"163"	"B.F."	"7860"	"17520"	"18761"	"1051"	"1665"	"605"	"617"	"1046"	"1037"	"1348"	"51510"	"0"	"51510"	""	"0"
"164"	"98"	"17"	"193"	"187"	"12"	"3"	"4"	"4"	"4"	"4"	"11"	"439"	""	"439"	""	""
"165"	"98A"	"9"	"73"	"130"	"3"	"3"	"2"	"3"	"3"	"8"	"8"	"242"	""	"242"	""	""
"166"	"99"	"21"	"84"	"400"	"12"	"9"	"5"	"2"	"8"	"7"	"5"	"553"	""	"553"	""	""
"167"	"100"	"20"	"206"	"127"	"7"	"3"	"4"	"3"	"18"	"6"	"5"	"399"	""	"399"	""	""
"168"	"100A"	"54"	"352"	"118"	"10"	"10"	"4"	"5"	"15"	"7"	"3"	"578"	""	"578"	""	""
"169"	"101"	"17"	"277"	"120"	"5"	"4"	"6"	"6"	"3"	"3"	"3"	"444"	""	"444"	""	""
"170"	"102"	"22"	"391"	"69"	"5"	"2"	"6"	"8"	"9"	"9"	"4"	"525"	""	"525"	""	""
"171"	"103"	"106"	"214"	"148"	"13"	"18"	"9"	"6"	"4"	"5"	"6"	"529"	""	"529"	""	""
"172"	"104"	"56"	"103"	"197"	"4"	"5"	"1"	"3"	"2"	"3"	"6"	"380"	""	"380"	""	""
"173"	"105"	"36"	"47"	"412"	"9"	"5"	"7"	"5"	"7"	"2"	"7"	"537"	""	"537"	""	""
"174"	"106"	"19"	"31"	"304"	"5"	"0"	"0"	"0"	"10"	"1"	"2"	"372"	""	"372"	""	""
"175"	"106A"	"11"	"213"	"76"	"8"	"3"	"5"	"5"	"3"	"5"	"8"	"337"	""	"337"	""	""
"176"	"107"	"115"	"80"	"57"	"7"	"4"	"3"	"5"	"8"	"9"	"16"	"304"	""	"304"	""	""
"177"	"108"	"71"	"152"	"85"	"6"	"1"	"0"	"3"	"7"	"3"	"10"	"338"	""	"338"	""	""
"178"	"Total -9"	"574"	"2416"	"2430"	"106"	"70"	"56"	"58"	"101"	"72"	"94"	"5977"	"0"	"5977"	""	"0"
"179"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"181"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"183"	"B.F."	"8434"	"19936"	"21191"	"1157"	"1735"	"661"	"675"	"1147"	"1109"	"1442"	"57487"	"0"	"57487"	""	"0"
"184"	"109"	"37"	"347"	"56"	"5"	"4"	"6"	"3"	"3"	"5"	"1"	"467"	""	"467"	""	""
"185"	"110"	"39"	"151"	"415"	"25"	"6"	"9"	"7"	"12"	"5"	"7"	"676"	""	"676"	""	""
"186"	"111"	"18"	"178"	"142"	"4"	"2"	"4"	"2"	"5"	"1"	"1"	"357"	""	"357"	""	""
"187"	"111A"	"40"	"228"	"35"	"6"	"1"	"5"	"6"	"8"	"3"	"15"	"347"	""	"347"	""	""
"188"	"112"	"65"	"171"	"239"	"13"	"8"	"6"	"5"	"16"	"8"	"29"	"560"	""	"560"	""	""
"189"	"113"	"124"	"230"	"173"	"10"	"10"	"4"	"7"	"11"	"17"	"34"	"620"	""	"620"	""	""
"190"	"114"	"87"	"139"	"264"	"7"	"3"	"6"	"4"	"7"	"8"	"15"	"540"	""	"540"	""	""
"191"	"115"	"78"	"213"	"49"	"3"	"5"	"6"	"3"	"1"	"5"	"4"	"367"	""	"367"	""	""
"192"	"116"	"27"	"129"	"130"	"6"	"2"	"0"	"8"	"5"	"7"	"13"	"327"	""	"327"	""	""
"193"	"117"	"16"	"256"	"160"	"12"	"3"	"3"	"7"	"8"	"5"	"11"	"481"	""	"481"	""	""
"194"	"118"	"99"	"218"	"50"	"31"	"3"	"7"	"12"	"23"	"11"	"11"	"465"	""	"465"	""	""
"195"	"119"	"31"	"144"	"221"	"29"	"5"	"6"	"3"	"21"	"8"	"19"	"487"	""	"487"	""	""
"196"	"120"	"111"	"205"	"99"	"10"	"1"	"6"	"4"	"4"	"6"	"2"	"448"	""	"448"	""	""
"197"	"121"	"111"	"80"	"177"	"9"	"2"	"11"	"6"	"9"	"17"	"19"	"441"	""	"441"	""	""
"198"	"Total -10"	"883"	"2689"	"2210"	"170"	"55"	"79"	"77"	"133"	"106"	"181"	"6583"	"0"	"6583"	""	"0"
"199"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
