"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.Valid.Votes"
"21"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"22"	"19"	"170"	"339"	"5"	"1"	"9"	"0"	"0"	"3"	"0"	"6"	"1"	"4"	"13"	"32"	"583"
"23"	"20"	"84"	"149"	"1"	"1"	"10"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"250"
"24"	"21"	"34"	"285"	"3"	"6"	"5"	"1"	"4"	"5"	"2"	"2"	"1"	"2"	"7"	"20"	"377"
"25"	"22"	"199"	"293"	"5"	"9"	"54"	"3"	"2"	"7"	"2"	"2"	"2"	"1"	"7"	"11"	"597"
"26"	"23"	"136"	"227"	"10"	"9"	"90"	"5"	"0"	"4"	"3"	"8"	"6"	"3"	"12"	"19"	"532"
"27"	"24"	"39"	"319"	"6"	"1"	"19"	"3"	"3"	"1"	"2"	"4"	"1"	"1"	"7"	"9"	"415"
"28"	"25"	"98"	"229"	"1"	"3"	"27"	"5"	"0"	"0"	"0"	"9"	"2"	"4"	"10"	"25"	"413"
"29"	"26"	"140"	"308"	"2"	"1"	"25"	"5"	"0"	"4"	"2"	"16"	"4"	"3"	"4"	"9"	"523"
"30"	"27"	"40"	"159"	"2"	"3"	"13"	"1"	"2"	"0"	"0"	"5"	"0"	"0"	"4"	"6"	"235"
"31"	"28"	"125"	"302"	"4"	"7"	"12"	"4"	"1"	"2"	"0"	"0"	"3"	"2"	"5"	"2"	"469"
"32"	"29"	"138"	"287"	"7"	"2"	"31"	"3"	"2"	"1"	"2"	"10"	"3"	"4"	"20"	"31"	"541"
"33"	"30"	"124"	"251"	"8"	"4"	"21"	"1"	"7"	"5"	"5"	"9"	"2"	"18"	"10"	"18"	"483"
"34"	"31"	"42"	"311"	"3"	"3"	"3"	"2"	"1"	"1"	"0"	"2"	"2"	"9"	"4"	"12"	"395"
"35"	"32"	"54"	"245"	"5"	"14"	"57"	"4"	"3"	"1"	"4"	"16"	"10"	"19"	"20"	"42"	"494"
"36"	"33"	"228"	"181"	"10"	"8"	"22"	"5"	"2"	"0"	"3"	"10"	"4"	"47"	"22"	"57"	"599"
"37"	"34"	"43"	"355"	"2"	"0"	"50"	"2"	"0"	"7"	"3"	"3"	"3"	"3"	"10"	"15"	"496"
"38"	"35"	"10"	"212"	"6"	"1"	"4"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"7"	"15"	"261"
"39"	"36"	"131"	"72"	"0"	"1"	"7"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"4"	"4"	"225"
"40"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"41"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"42"	"37"	"49"	"313"	"0"	"4"	"2"	"0"	"0"	"5"	"2"	"5"	"0"	"0"	"3"	"2"	"385"
"43"	"38"	"276"	"237"	"0"	"9"	"25"	"1"	"4"	"0"	"0"	"8"	"1"	"1"	"9"	"17"	"588"
"44"	"39"	"15"	"183"	"5"	"3"	"36"	"98"	"3"	"3"	"0"	"8"	"0"	"1"	"5"	"5"	"365"
"45"	"40"	"174"	"101"	"1"	"4"	"19"	"1"	"1"	"4"	"0"	"2"	"0"	"1"	"11"	"17"	"336"
"46"	"41"	"20"	"235"	"3"	"0"	"41"	"13"	"1"	"3"	"0"	"3"	"0"	"1"	"6"	"16"	"342"
"47"	"42"	"42"	"197"	"4"	"25"	"39"	"3"	"1"	"1"	"2"	"5"	"2"	"1"	"11"	"22"	"355"
"48"	"43"	"119"	"199"	"5"	"3"	"2"	"0"	"1"	"2"	"3"	"2"	"1"	"4"	"20"	"37"	"398"
"49"	"44"	"108"	"302"	"3"	"5"	"4"	"2"	"5"	"4"	"2"	"3"	"2"	"4"	"14"	"15"	"473"
"50"	"45"	"43"	"174"	"4"	"1"	"30"	"3"	"0"	"0"	"1"	"2"	"2"	"4"	"4"	"9"	"277"
"51"	"46"	"16"	"264"	"1"	"1"	"13"	"1"	"0"	"1"	"1"	"12"	"0"	"2"	"5"	"2"	"319"
"52"	"47"	"11"	"293"	"1"	"2"	"48"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"361"
"53"	"48"	"24"	"317"	"3"	"1"	"29"	"2"	"1"	"4"	"1"	"1"	"0"	"4"	"1"	"5"	"393"
"54"	"49"	"192"	"218"	"6"	"3"	"12"	"1"	"3"	"0"	"2"	"3"	"1"	"3"	"3"	"9"	"456"
"55"	"50"	"27"	"476"	"4"	"0"	"17"	"1"	"2"	"1"	"0"	"1"	"3"	"13"	"4"	"19"	"568"
"56"	"51"	"103"	"266"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"7"	"20"	"407"
"57"	"52"	"9"	"188"	"2"	"0"	"6"	"1"	"1"	"1"	"1"	"0"	"0"	"8"	"3"	"7"	"227"
"58"	"53"	"217"	"190"	"3"	"0"	"11"	"3"	"3"	"3"	"0"	"5"	"3"	"12"	"14"	"17"	"481"
"59"	"54"	"12"	"232"	"2"	"4"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"259"
"60"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"61"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"62"	"55"	"104"	"78"	"1"	"0"	"8"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"2"	"9"	"207"
"63"	"56"	"40"	"78"	"2"	"3"	"24"	"2"	"2"	"2"	"1"	"9"	"5"	"2"	"0"	"18"	"188"
"64"	"57"	"123"	"171"	"3"	"0"	"5"	"1"	"0"	"3"	"0"	"4"	"1"	"4"	"8"	"25"	"348"
"65"	"58"	"105"	"134"	"4"	"3"	"15"	"27"	"0"	"0"	"0"	"3"	"1"	"40"	"7"	"20"	"359"
"66"	"59"	"67"	"79"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"153"
"67"	"60"	"178"	"139"	"2"	"14"	"125"	"4"	"5"	"0"	"4"	"36"	"4"	"7"	"3"	"11"	"532"
"68"	"61"	"15"	"157"	"2"	"3"	"44"	"1"	"0"	"1"	"2"	"36"	"1"	"0"	"3"	"3"	"268"
"69"	"62"	"36"	"367"	"1"	"2"	"31"	"1"	"1"	"0"	"3"	"3"	"1"	"0"	"5"	"12"	"463"
"70"	"63"	"95"	"232"	"1"	"2"	"10"	"1"	"4"	"0"	"1"	"7"	"3"	"3"	"8"	"23"	"390"
"71"	"64"	"59"	"142"	"0"	"13"	"9"	"0"	"2"	"2"	"1"	"2"	"1"	"4"	"3"	"6"	"244"
"72"	"65"	"130"	"198"	"4"	"1"	"40"	"3"	"1"	"2"	"3"	"11"	"2"	"3"	"14"	"28"	"440"
"73"	"66"	"106"	"109"	"1"	"3"	"40"	"3"	"2"	"0"	"0"	"3"	"1"	"2"	"5"	"31"	"306"
"74"	"67"	"197"	"239"	"6"	"0"	"8"	"2"	"2"	"11"	"3"	"5"	"3"	"8"	"16"	"54"	"554"
"75"	"68"	"117"	"234"	"2"	"4"	"5"	"1"	"4"	"17"	"1"	"6"	"3"	"4"	"12"	"28"	"438"
"76"	"69"	"140"	"318"	"3"	"2"	"11"	"1"	"1"	"5"	"0"	"10"	"3"	"2"	"3"	"5"	"504"
"77"	"70"	"41"	"395"	"5"	"1"	"7"	"8"	"5"	"4"	"2"	"11"	"4"	"6"	"8"	"44"	"541"
"78"	"71"	"57"	"159"	"1"	"6"	"5"	"3"	"0"	"0"	"1"	"11"	"3"	"3"	"5"	"16"	"270"
"79"	"72"	"50"	"476"	"1"	"0"	"10"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"5"	"7"	"555"
"80"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"81"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"82"	"73"	"153"	"163"	"3"	"0"	"44"	"5"	"0"	"3"	"5"	"7"	"2"	"1"	"8"	"21"	"415"
"83"	"74"	"42"	"198"	"3"	"3"	"11"	"3"	"3"	"3"	"2"	"9"	"0"	"4"	"2"	"10"	"293"
"84"	"75"	"69"	"269"	"6"	"4"	"20"	"3"	"5"	"7"	"0"	"8"	"3"	"0"	"2"	"3"	"399"
"85"	"76"	"255"	"176"	"1"	"2"	"7"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"6"	"18"	"473"
"86"	"77"	"242"	"39"	"2"	"2"	"6"	"5"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"5"	"305"
"87"	"78"	"122"	"32"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"158"
"88"	"79"	"167"	"170"	"3"	"4"	"5"	"2"	"4"	"2"	"0"	"11"	"5"	"3"	"5"	"6"	"387"
"89"	"80"	"116"	"147"	"3"	"2"	"20"	"0"	"4"	"5"	"4"	"5"	"3"	"2"	"4"	"14"	"329"
"90"	"81"	"111"	"208"	"4"	"2"	"15"	"2"	"3"	"0"	"1"	"2"	"1"	"1"	"3"	"6"	"359"
"91"	"82"	"69"	"174"	"5"	"3"	"22"	"7"	"2"	"0"	"1"	"13"	"2"	"2"	"3"	"11"	"314"
"92"	"83"	"34"	"137"	"3"	"1"	"26"	"78"	"1"	"2"	"4"	"7"	"3"	"0"	"5"	"14"	"315"
"93"	"84"	"80"	"259"	"4"	"0"	"24"	"3"	"1"	"3"	"1"	"10"	"0"	"2"	"7"	"16"	"410"
"94"	"85"	"96"	"283"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"13"	"3"	"1"	"2"	"4"	"409"
"95"	"86"	"9"	"189"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"2"	"217"
"96"	"87"	"214"	"231"	"4"	"4"	"34"	"4"	"0"	"0"	"1"	"8"	"2"	"2"	"3"	"15"	"522"
"97"	"88"	"209"	"259"	"2"	"0"	"19"	"1"	"1"	"4"	"2"	"2"	"2"	"20"	"10"	"19"	"550"
"98"	"89"	"69"	"286"	"9"	"4"	"23"	"2"	"4"	"6"	"0"	"0"	"1"	"43"	"5"	"19"	"471"
"99"	"90"	"126"	"310"	"2"	"6"	"26"	"6"	"4"	"5"	"1"	"18"	"1"	"3"	"4"	"9"	"521"
"100"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"101"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"102"	"91"	"112"	"122"	"2"	"4"	"14"	"0"	"4"	"2"	"1"	"2"	"2"	"1"	"5"	"14"	"285"
"103"	"92"	"107"	"338"	"9"	"7"	"41"	"10"	"6"	"3"	"2"	"21"	"7"	"4"	"11"	"19"	"585"
"104"	"93"	"134"	"273"	"11"	"3"	"37"	"3"	"4"	"3"	"6"	"9"	"2"	"11"	"12"	"35"	"543"
"105"	"94"	"76"	"304"	"10"	"2"	"4"	"2"	"5"	"2"	"0"	"1"	"2"	"3"	"16"	"37"	"464"
"106"	"95"	"180"	"260"	"1"	"1"	"50"	"1"	"1"	"3"	"0"	"0"	"3"	"1"	"7"	"21"	"529"
"107"	"96"	"125"	"113"	"4"	"1"	"8"	"0"	"1"	"2"	"1"	"4"	"1"	"2"	"4"	"35"	"301"
"108"	"97"	"125"	"115"	"4"	"3"	"6"	"5"	"2"	"10"	"2"	"6"	"3"	"4"	"10"	"29"	"324"
"109"	"98"	"60"	"181"	"0"	"3"	"13"	"0"	"3"	"0"	"1"	"2"	"2"	"1"	"4"	"10"	"280"
"110"	"99"	"191"	"290"	"1"	"3"	"13"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"22"	"527"
"111"	"100"	"27"	"260"	"15"	"17"	"43"	"2"	"3"	"5"	"1"	"4"	"3"	"1"	"6"	"8"	"395"
"112"	"101"	"35"	"412"	"7"	"1"	"40"	"4"	"1"	"4"	"1"	"26"	"2"	"3"	"6"	"33"	"575"
"113"	"102"	"182"	"127"	"5"	"3"	"38"	"41"	"3"	"2"	"1"	"9"	"4"	"7"	"2"	"9"	"433"
"114"	"103"	"82"	"161"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"10"	"266"
"115"	"104"	"106"	"210"	"0"	"2"	"6"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"4"	"6"	"338"
"116"	"105"	"126"	"121"	"4"	"4"	"27"	"0"	"0"	"1"	"1"	"4"	"2"	"0"	"3"	"15"	"308"
"117"	"106"	"51"	"232"	"3"	"2"	"9"	"3"	"2"	"6"	"4"	"3"	"4"	"4"	"8"	"31"	"362"
"118"	"107"	"125"	"224"	"12"	"9"	"49"	"4"	"3"	"1"	"0"	"9"	"2"	"2"	"12"	"6"	"458"
"119"	"108"	"127"	"243"	"6"	"2"	"33"	"30"	"1"	"0"	"3"	"2"	"1"	"10"	"8"	"13"	"479"
"120"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"121"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"122"	"109"	"263"	"130"	"4"	"4"	"5"	"2"	"6"	"2"	"1"	"12"	"6"	"17"	"7"	"20"	"479"
"123"	"110"	"160"	"123"	"1"	"1"	"4"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"11"	"12"	"319"
"124"	"111"	"171"	"277"	"7"	"1"	"6"	"0"	"4"	"6"	"5"	"5"	"7"	"10"	"10"	"54"	"563"
"125"	"112"	"166"	"327"	"5"	"0"	"11"	"2"	"3"	"4"	"1"	"2"	"0"	"14"	"13"	"16"	"564"
"126"	"113"	"57"	"262"	"4"	"2"	"10"	"2"	"1"	"0"	"0"	"1"	"2"	"6"	"22"	"20"	"389"
"127"	"114"	"38"	"43"	"1"	"1"	"46"	"7"	"2"	"2"	"2"	"2"	"7"	"90"	"7"	"12"	"260"
"128"	"115"	"176"	"201"	"3"	"11"	"156"	"6"	"6"	"5"	"2"	"10"	"1"	"8"	"2"	"9"	"596"
"129"	"116"	"235"	"199"	"6"	"17"	"21"	"2"	"1"	"4"	"2"	"9"	"1"	"2"	"7"	"18"	"524"
"130"	"117"	"307"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"4"	"324"
"131"	"118"	"5"	"66"	"2"	"1"	"6"	"160"	"5"	"1"	"3"	"1"	"0"	"0"	"2"	"5"	"257"
"132"	"119"	"35"	"286"	"5"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"8"	"11"	"352"
"133"	"120"	"182"	"305"	"6"	"3"	"7"	"4"	"0"	"1"	"2"	"3"	"3"	"3"	"12"	"20"	"551"
"134"	"121"	"41"	"254"	"2"	"0"	"8"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"313"
"135"	"122"	"235"	"70"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"3"	"1"	"1"	"2"	"15"	"334"
"136"	"123"	"203"	"314"	"5"	"1"	"5"	"0"	"1"	"0"	"1"	"13"	"3"	"2"	"11"	"21"	"580"
"137"	"124"	"160"	"143"	"4"	"4"	"7"	"4"	"1"	"3"	"1"	"31"	"3"	"1"	"24"	"16"	"402"
"138"	"125"	"9"	"99"	"0"	"1"	"4"	"0"	"2"	"1"	"4"	"298"	"3"	"3"	"2"	"6"	"432"
"139"	"126"	"67"	"130"	"0"	"1"	"6"	"8"	"0"	"0"	"0"	"238"	"2"	"1"	"2"	"9"	"464"
"140"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"141"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"142"	"127"	"322"	"77"	"3"	"67"	"1"	"1"	"1"	"1"	"4"	"40"	"5"	"2"	"12"	"24"	"560"
"143"	"128"	"18"	"350"	"4"	"1"	"5"	"2"	"1"	"1"	"1"	"4"	"0"	"1"	"5"	"7"	"400"
"144"	"129"	"65"	"77"	"2"	"0"	"14"	"0"	"3"	"1"	"0"	"2"	"0"	"2"	"4"	"9"	"179"
"145"	"130"	"44"	"405"	"1"	"2"	"13"	"0"	"0"	"0"	"1"	"12"	"1"	"1"	"0"	"1"	"481"
"146"	"131"	"32"	"171"	"1"	"1"	"4"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"3"	"7"	"225"
"147"	"132"	"172"	"208"	"1"	"0"	"9"	"0"	"5"	"3"	"2"	"0"	"2"	"1"	"6"	"14"	"423"
"148"	"133"	"141"	"188"	"4"	"2"	"10"	"1"	"13"	"2"	"0"	"6"	"5"	"2"	"9"	"29"	"412"
"149"	"134"	"426"	"34"	"1"	"3"	"4"	"1"	"2"	"0"	"2"	"4"	"3"	"2"	"5"	"17"	"504"
"150"	"135"	"278"	"35"	"0"	"2"	"4"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"7"	"335"
"151"	"136"	"236"	"59"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"7"	"19"	"325"
"152"	"137"	"17"	"336"	"1"	"0"	"27"	"5"	"2"	"1"	"0"	"14"	"2"	"1"	"1"	"6"	"413"
"153"	"138"	"48"	"248"	"4"	"15"	"13"	"6"	"1"	"2"	"0"	"5"	"0"	"1"	"2"	"3"	"348"
"154"	"139"	"33"	"299"	"3"	"3"	"13"	"2"	"5"	"3"	"0"	"4"	"1"	"2"	"8"	"6"	"382"
"155"	"140"	"31"	"326"	"4"	"48"	"21"	"2"	"5"	"1"	"1"	"6"	"6"	"6"	"12"	"25"	"494"
"156"	"141"	"201"	"165"	"4"	"2"	"4"	"2"	"3"	"0"	"1"	"3"	"1"	"6"	"11"	"16"	"419"
"157"	"142"	"169"	"69"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"18"	"267"
"158"	"143"	"45"	"280"	"9"	"0"	"6"	"0"	"2"	"3"	"2"	"5"	"3"	"1"	"4"	"7"	"367"
"159"	"144"	"66"	"215"	"0"	"2"	"6"	"1"	"2"	"1"	"1"	"7"	"1"	"8"	"6"	"8"	"324"
"160"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"161"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"162"	"145"	"95"	"293"	"9"	"2"	"6"	"1"	"2"	"4"	"1"	"1"	"1"	"2"	"5"	"7"	"429"
"163"	"146"	"33"	"324"	"8"	"1"	"65"	"3"	"4"	"6"	"4"	"5"	"4"	"3"	"18"	"22"	"500"
"164"	"147"	"100"	"368"	"2"	"5"	"33"	"0"	"2"	"2"	"0"	"1"	"2"	"3"	"5"	"13"	"536"
"165"	"148"	"48"	"253"	"3"	"2"	"7"	"0"	"0"	"2"	"1"	"7"	"1"	"4"	"5"	"7"	"340"
"166"	"149"	"199"	"236"	"4"	"10"	"18"	"2"	"5"	"0"	"2"	"3"	"5"	"4"	"11"	"14"	"513"
"167"	"150"	"119"	"197"	"2"	"1"	"11"	"3"	"2"	"1"	"1"	"5"	"1"	"22"	"7"	"10"	"382"
"168"	"151"	"89"	"456"	"5"	"7"	"7"	"16"	"6"	"1"	"5"	"5"	"5"	"4"	"24"	"48"	"678"
"169"	"152"	"138"	"192"	"3"	"6"	"7"	"2"	"1"	"2"	"3"	"7"	"2"	"1"	"11"	"7"	"382"
"170"	"153"	"133"	"130"	"2"	"4"	"10"	"3"	"4"	"1"	"3"	"9"	"6"	"10"	"12"	"38"	"365"
"171"	"154"	"165"	"152"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"2"	"2"	"4"	"19"	"356"
"172"	"155"	"133"	"157"	"2"	"0"	"10"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"12"	"11"	"328"
"173"	"156"	"114"	"110"	"1"	"2"	"5"	"2"	"0"	"1"	"1"	"3"	"1"	"1"	"6"	"19"	"266"
"174"	"157"	"152"	"112"	"2"	"0"	"9"	"5"	"1"	"1"	"2"	"1"	"5"	"3"	"10"	"18"	"321"
"175"	"158"	"365"	"169"	"2"	"1"	"16"	"2"	"2"	"2"	"0"	"4"	"6"	"2"	"24"	"14"	"609"
"176"	"159"	"133"	"194"	"6"	"0"	"7"	"2"	"0"	"1"	"0"	"1"	"3"	"1"	"12"	"14"	"374"
"177"	"160"	"63"	"177"	"1"	"6"	"12"	"1"	"2"	"0"	"0"	"7"	"5"	"1"	"34"	"20"	"329"
"178"	"161"	"89"	"114"	"3"	"1"	"6"	"1"	"0"	"1"	"1"	"17"	"0"	"1"	"8"	"15"	"257"
"179"	"162"	"242"	"94"	"4"	"4"	"36"	"0"	"3"	"3"	"0"	"5"	"5"	"2"	"21"	"34"	"453"
"180"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"181"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"182"	"163"	"243"	"170"	"1"	"2"	"16"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"7"	"25"	"470"
