"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 231841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 220 Obra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"94"	"220"	"85"	""	"23"	"6"	"9"	"1"	"131"	"5"	"3"	"3"	"3"	"7"	"222"	"413"	"86"
"95"	"220"	"86"	""	"30"	"7"	"163"	"17"	"113"	"216"	"14"	"11"	"9"	"13"	"34"	"627"	"87"
"96"	"220"	"87"	""	"14"	"2"	"333"	"6"	"11"	"19"	"6"	"7"	"6"	"3"	"9"	"416"	"88"
"97"	"220"	"88"	""	"28"	"7"	"282"	"6"	"80"	"24"	"3"	"3"	"7"	"12"	"39"	"491"	"89"
"98"	"220"	"89"	""	"20"	"1"	"190"	"2"	"40"	"20"	"1"	"1"	"0"	"5"	"61"	"341"	"90"
"99"	"220"	"90"	""	"59"	"3"	"194"	"10"	"141"	"38"	"3"	"11"	"8"	"12"	"312"	"791"	"91"
"100"	"220"	"91"	""	"40"	"6"	"135"	"8"	"57"	"122"	"3"	"14"	"8"	"21"	"223"	"637"	"92"
"101"	"220"	"92"	""	"60"	"2"	"124"	"3"	"34"	"96"	"0"	"1"	"4"	"6"	"63"	"393"	"93"
"102"	"220"	"93"	""	"12"	"1"	"76"	"5"	"61"	"21"	"4"	"7"	"2"	"6"	"110"	"305"	"94"
"103"	"220"	"94"	""	"49"	"3"	"32"	"39"	"70"	"85"	"6"	"6"	"3"	"19"	"138"	"450"	"95"
"104"	"220"	"95"	""	"2"	"1"	"23"	"4"	"81"	"7"	"0"	"1"	"0"	"1"	"266"	"386"	"96"
"105"	"220"	"96"	""	"12"	"3"	"74"	"1"	"82"	"1"	"2"	"4"	"7"	"8"	"322"	"516"	"97"
"106"	"220"	"97"	""	"14"	"1"	"8"	"3"	"177"	"3"	"3"	"3"	"6"	"2"	"209"	"429"	"98"
"107"	"220"	"98"	""	"11"	"5"	"3"	"1"	"140"	"4"	"4"	"3"	"4"	"0"	"104"	"279"	"99"
"108"	"220"	"99"	""	"29"	"9"	"234"	"4"	"98"	"151"	"11"	"8"	"5"	"18"	"54"	"621"	"100"
"109"	"220"	"100"	""	"39"	"0"	"155"	"1"	"73"	"72"	"5"	"6"	"6"	"9"	"74"	"440"	"101"
"110"	"220"	"101"	""	"35"	"2"	"163"	"3"	"78"	"26"	"8"	"4"	"9"	"9"	"126"	"463"	"102"
"111"	"220"	"102"	""	"24"	"3"	"240"	"9"	"235"	"58"	"6"	"15"	"8"	"17"	"99"	"714"	"103"
"112"	"220"	"103"	""	"53"	"6"	"351"	"9"	"12"	"245"	"8"	"6"	"5"	"14"	"58"	"767"	"104"
"113"	"220"	"104"	""	"19"	"1"	"269"	"29"	"30"	"60"	"7"	"7"	"15"	"14"	"74"	"525"	"105"
"114"	"220"	"105"	""	"41"	"4"	"84"	"2"	"104"	"156"	"7"	"6"	"2"	"15"	"52"	"473"	"106"
"115"	"220"	"106"	""	"22"	"1"	"46"	"0"	"40"	"138"	"11"	"4"	"4"	"5"	"64"	"335"	"107"
"116"	"220"	"107"	""	"11"	"2"	"42"	"2"	"109"	"127"	"3"	"6"	"3"	"13"	"135"	"453"	"108"
"117"	"220"	"108"	""	"11"	"2"	"54"	"2"	"66"	"54"	"4"	"2"	"3"	"6"	"132"	"336"	"109"
"118"	"220"	"109"	""	"19"	"4"	"46"	"5"	"94"	"197"	"7"	"8"	"2"	"18"	"190"	"590"	"110"
"119"	"220"	"110"	""	"27"	"1"	"346"	"4"	"31"	"135"	"6"	"9"	"6"	"14"	"93"	"672"	"111"
"120"	"220"	"111"	""	"17"	"2"	"233"	"17"	"47"	"63"	"6"	"15"	"14"	"15"	"38"	"467"	"112"
"121"	"220"	"112"	""	"14"	"0"	"28"	"0"	"35"	"586"	"11"	"1"	"2"	"10"	"27"	"714"	"113"
"122"	"220"	"113"	""	"19"	"1"	"112"	"8"	"110"	"175"	"8"	"6"	"3"	"10"	"22"	"474"	"114"
"123"	"220"	"114"	""	"121"	"2"	"216"	"4"	"186"	"149"	"3"	"8"	"8"	"11"	"52"	"760"	"115"
"124"	"220"	"115"	""	"110"	"3"	"178"	"2"	"31"	"45"	"2"	"1"	"2"	"0"	"1"	"375"	"116"
"125"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"126"	"220"	"116"	""	"15"	"2"	"37"	"1"	"64"	"4"	"0"	"1"	"0"	"3"	"70"	"197"	"117"
"127"	"220"	"117"	""	"19"	"1"	"72"	"2"	"103"	"28"	"0"	"8"	"2"	"0"	"27"	"262"	"118"
"128"	"220"	"118"	""	"98"	"15"	"33"	"9"	"119"	"83"	"9"	"11"	"10"	"15"	"335"	"737"	"119"
"129"	"220"	"119"	""	"63"	"4"	"72"	"12"	"77"	"32"	"4"	"8"	"5"	"16"	"325"	"618"	"120"
"130"	"220"	"120"	""	"26"	"0"	"60"	"0"	"123"	"4"	"1"	"1"	"2"	"1"	"17"	"235"	"121"
"131"	"220"	"121"	""	"34"	"7"	"82"	"9"	"277"	"45"	"10"	"15"	"5"	"18"	"105"	"607"	"122"
"132"	"220"	"122"	""	"2"	"1"	"6"	"1"	"599"	"1"	"1"	"1"	"0"	"0"	"14"	"626"	"123"
"133"	"220"	"123"	""	"29"	"1"	"173"	"1"	"204"	"135"	"10"	"7"	"5"	"12"	"190"	"767"	"124"
"134"	"220"	"124"	""	"64"	"4"	"85"	"23"	"29"	"25"	"4"	"5"	"1"	"6"	"220"	"466"	"125"
"135"	"220"	"125"	""	"13"	"2"	"136"	"3"	"25"	"5"	"5"	"2"	"6"	"3"	"112"	"312"	"126"
"136"	"220"	"126"	""	"34"	"1"	"41"	"5"	"91"	"77"	"2"	"3"	"0"	"9"	"116"	"379"	"127"
"137"	"220"	"127"	""	"16"	"7"	"142"	"6"	"49"	"72"	"8"	"7"	"12"	"21"	"198"	"538"	"128"
"138"	"220"	"128"	""	"52"	"2"	"235"	"6"	"80"	"9"	"7"	"4"	"2"	"4"	"153"	"554"	"129"
"139"	"220"	"129"	""	"23"	"1"	"72"	"4"	"56"	"1"	"0"	"3"	"5"	"4"	"177"	"346"	"130"
"140"	"220"	"130"	""	"29"	"0"	"55"	"4"	"28"	"16"	"5"	"5"	"4"	"7"	"222"	"375"	"131"
"141"	"220"	"131"	""	"52"	"1"	"92"	"16"	"84"	"21"	"3"	"5"	"2"	"9"	"247"	"532"	"132"
"142"	"220"	"132"	""	"18"	"1"	"66"	"3"	"34"	"50"	"2"	"3"	"3"	"11"	"126"	"317"	"133"
"143"	"220"	"133"	""	"41"	"7"	"170"	"9"	"243"	"29"	"7"	"6"	"6"	"20"	"224"	"762"	"134"
"144"	"220"	"134"	""	"39"	"4"	"104"	"3"	"130"	"14"	"3"	"6"	"5"	"7"	"376"	"691"	"135"
"145"	"220"	"135"	""	"11"	"0"	"19"	"3"	"72"	"111"	"1"	"2"	"2"	"6"	"81"	"308"	"136"
"146"	"220"	"136"	""	"36"	"4"	"195"	"2"	"46"	"9"	"9"	"10"	"7"	"7"	"179"	"504"	"137"
"147"	"220"	"137"	""	"20"	"1"	"92"	"4"	"181"	"12"	"2"	"7"	"8"	"5"	"410"	"742"	"138"
"148"	"220"	"138"	""	"7"	"0"	"9"	"1"	"68"	"0"	"0"	"0"	"1"	"1"	"248"	"335"	"139"
"149"	"220"	"139"	""	"200"	"5"	"41"	"3"	"20"	"28"	"3"	"7"	"2"	"6"	"173"	"488"	"140"
"150"	"220"	"140"	""	"2"	"1"	"21"	"2"	"146"	"18"	"2"	"1"	"2"	"3"	"135"	"333"	"141"
"151"	"220"	"141"	""	"25"	"5"	"24"	"3"	"109"	"9"	"4"	"5"	"7"	"5"	"412"	"608"	"142"
"152"	"220"	"142"	""	"46"	"4"	"81"	"8"	"43"	"51"	"4"	"11"	"12"	"6"	"364"	"630"	"143"
"153"	"220"	"143"	""	"23"	"1"	"160"	"9"	"38"	"14"	"5"	"11"	"11"	"14"	"528"	"814"	"144"
"154"	"220"	"144"	""	"124"	"4"	"131"	"1"	"39"	"5"	"1"	"4"	"6"	"7"	"191"	"513"	"145"
"155"	"220"	"145"	""	"15"	"1"	"85"	"2"	"4"	"0"	"1"	"2"	"1"	"5"	"292"	"408"	"146"
"156"	"220"	"145"	"A"	"43"	"0"	"71"	"1"	"23"	"5"	"2"	"1"	"1"	"0"	"293"	"440"	"147"
"157"	"220"	"146"	""	"27"	"2"	"41"	"0"	"34"	"39"	"5"	"3"	"2"	"7"	"350"	"510"	"148"
"158"	"220"	"147"	""	"61"	"0"	"104"	"0"	"31"	"0"	"2"	"2"	"2"	"5"	"40"	"247"	"149"
"159"	"220"	"148"	""	"45"	"6"	"56"	"2"	"70"	"21"	"4"	"3"	"4"	"12"	"465"	"688"	"150"
"160"	"220"	"149"	""	"93"	"1"	"43"	"16"	"33"	"10"	"3"	"5"	"4"	"4"	"213"	"425"	"151"
"161"	"220"	"150"	""	"31"	"2"	"288"	"6"	"28"	"32"	"4"	"3"	"8"	"7"	"103"	"512"	"152"
"162"	"220"	"151"	""	"65"	"5"	"158"	"5"	"31"	"18"	"2"	"3"	"8"	"8"	"371"	"674"	"153"
"163"	"220"	"152"	""	"221"	"3"	"47"	"2"	"3"	"16"	"3"	"1"	"8"	"6"	"44"	"354"	"154"
"164"	"220"	"153"	""	"30"	"2"	"119"	"4"	"28"	"63"	"5"	"4"	"8"	"11"	"171"	"445"	"155"
"165"	"220"	"154"	""	"69"	"2"	"84"	"4"	"37"	"3"	"1"	"3"	"5"	"4"	"102"	"314"	"156"
"166"	"220"	"155"	""	"113"	"3"	"122"	"1"	"14"	"8"	"1"	"2"	"2"	"2"	"99"	"367"	"157"
"167"	"220"	"156"	""	"172"	"3"	"84"	"3"	"18"	"9"	"1"	"3"	"11"	"17"	"204"	"525"	"158"
"168"	"220"	"157"	""	"11"	"0"	"30"	"1"	"30"	"1"	"1"	"4"	"4"	"4"	"100"	"186"	"159"
"169"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"170"	"220"	"158"	""	"26"	"1"	"300"	"2"	"9"	"1"	"1"	"3"	"6"	"0"	"111"	"460"	"160"
"171"	"220"	"159"	""	"5"	"2"	"85"	"6"	"17"	"1"	"0"	"4"	"3"	"5"	"167"	"295"	"161"
"172"	"220"	"160"	""	"17"	"5"	"188"	"7"	"50"	"3"	"5"	"1"	"5"	"2"	"347"	"630"	"162"
"173"	"220"	"161"	""	"114"	"3"	"144"	"2"	"7"	"1"	"2"	"2"	"3"	"1"	"21"	"300"	"163"
"174"	"220"	"162"	""	"25"	"0"	"96"	"9"	"28"	"31"	"2"	"5"	"9"	"9"	"66"	"280"	"164"
"175"	"220"	"163"	""	"41"	"0"	"167"	"2"	"18"	"172"	"4"	"3"	"3"	"17"	"111"	"538"	"165"
"176"	"220"	"164"	""	"37"	"2"	"110"	"1"	"12"	"87"	"1"	"3"	"1"	"11"	"64"	"329"	"166"
"177"	"220"	"165"	""	"47"	"2"	"125"	"1"	"36"	"2"	"1"	"2"	"0"	"3"	"107"	"326"	"167"
"178"	"220"	"166"	""	"65"	"5"	"96"	"2"	"16"	"101"	"4"	"5"	"3"	"16"	"43"	"356"	"168"
"179"	"220"	"167"	""	"39"	"0"	"252"	"4"	"62"	"82"	"8"	"3"	"6"	"4"	"83"	"543"	"169"
"180"	"220"	"168"	""	"134"	"5"	"96"	"1"	"32"	"2"	"1"	"1"	"4"	"2"	"80"	"358"	"170"
"181"	"220"	"169"	""	"14"	"5"	"165"	"2"	"144"	"9"	"2"	"5"	"2"	"8"	"212"	"568"	"171"
"182"	"220"	"170"	""	"30"	"2"	"34"	"1"	"34"	"48"	"0"	"2"	"2"	"2"	"232"	"387"	"172"
"183"	"220"	"171"	""	"57"	"2"	"80"	"1"	"21"	"43"	"2"	"3"	"11"	"8"	"330"	"558"	"173"
"184"	"220"	"172"	""	"11"	"1"	"35"	"7"	"171"	"20"	"5"	"2"	"5"	"12"	"508"	"777"	"174"
"185"	"220"	"173"	""	"180"	"5"	"100"	"4"	"7"	"108"	"5"	"3"	"6"	"9"	"75"	"502"	"175"
"186"	"220"	"174"	""	"107"	"4"	"53"	"0"	"20"	"29"	"2"	"3"	"3"	"6"	"49"	"276"	"176"
"187"	"220"	"175"	""	"211"	"6"	"47"	"73"	"52"	"15"	"4"	"10"	"2"	"8"	"40"	"468"	"177"
"188"	"220"	"176"	""	"1"	"0"	"282"	"4"	"5"	"0"	"0"	"1"	"3"	"1"	"5"	"302"	"178"
"189"	"220"	"177"	""	"77"	"5"	"165"	"4"	"88"	"15"	"3"	"7"	"6"	"8"	"100"	"478"	"179"
"190"	"220"	"178"	""	"178"	"6"	"59"	"23"	"15"	"75"	"5"	"8"	"6"	"14"	"178"	"567"	"180"
"191"	"220"	"179"	""	"253"	"1"	"36"	"1"	"2"	"16"	"3"	"2"	"2"	"1"	"0"	"317"	"181"
"192"	"220"	"180"	""	"21"	"1"	"47"	"4"	"27"	"115"	"6"	"4"	"3"	"6"	"28"	"262"	"182"
"193"	"220"	"181"	""	"19"	"1"	"33"	"3"	"9"	"153"	"5"	"4"	"3"	"8"	"7"	"245"	"183"
