"Total.No..of.Electors.in.Assembly.Constituency.......216554"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec ted Vote s"	"Total"	"No.  of Tende red Votes"	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"32"	"14"	"82"	"343"	"15"	"60"	"54"	"2"	"2"	"18"	"5"	"4"	"4"	"9"	"5"	"11"	"10"	"18"	"0"	"642"	"0"	"642"	"0"	""
"33"	"15"	"57"	"480"	"22"	"12"	"6"	"5"	"4"	"9"	"12"	"6"	"4"	"1"	"4"	"4"	"3"	"7"	"5"	"641"	"0"	"641"	"0"	""
"34"	"16"	"174"	"452"	"15"	"26"	"52"	"4"	"2"	"10"	"12"	"16"	"7"	"5"	"6"	"4"	"4"	"7"	"5"	"801"	"0"	"801"	"0"	""
"35"	"17"	"6"	"280"	"4"	"3"	"21"	"1"	"2"	"1"	"8"	"0"	"5"	"3"	"1"	"1"	"1"	"4"	"3"	"344"	"0"	"344"	"0"	""
"36"	"18"	"40"	"213"	"1"	"1"	"0"	"1"	"2"	"1"	"7"	"1"	"3"	"1"	"1"	"1"	"1"	"4"	"6"	"284"	"0"	"284"	"0"	""
"37"	"19"	"100"	"542"	"26"	"8"	"10"	"0"	"2"	"7"	"28"	"4"	"7"	"5"	"7"	"5"	"11"	"13"	"8"	"783"	"0"	"783"	"0"	""
"38"	"20"	"319"	"366"	"15"	"22"	"7"	"1"	"3"	"9"	"4"	"8"	"4"	"3"	"7"	"14"	"7"	"10"	"23"	"822"	"0"	"822"	"0"	""
"39"	"21"	"167"	"484"	"40"	"21"	"20"	"4"	"9"	"7"	"11"	"4"	"10"	"7"	"10"	"21"	"10"	"29"	"15"	"869"	"0"	"869"	"0"	""
"40"	"22"	"102"	"332"	"61"	"32"	"17"	"1"	"3"	"6"	"10"	"0"	"4"	"2"	"3"	"3"	"5"	"7"	"13"	"601"	"0"	"601"	"0"	""
"41"	"23"	"126"	"358"	"17"	"5"	"23"	"0"	"1"	"2"	"5"	"1"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"548"	"0"	"548"	"0"	""
"42"	"24"	"184"	"228"	"19"	"47"	"40"	"3"	"105"	"9"	"19"	"6"	"16"	"9"	"8"	"6"	"13"	"13"	"1"	"726"	"0"	"726"	"0"	""
"43"	"25"	"112"	"440"	"16"	"9"	"27"	"1"	"4"	"0"	"9"	"7"	"10"	"5"	"8"	"10"	"9"	"7"	"21"	"695"	"0"	"695"	"0"	""
"44"	"26"	"230"	"277"	"27"	"38"	"218"	"3"	"14"	"0"	"6"	"10"	"9"	"6"	"9"	"2"	"4"	"8"	"3"	"864"	"0"	"864"	"0"	""
"45"	"27"	"39"	"124"	"2"	"39"	"7"	"1"	"9"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"224"	"0"	"224"	"0"	""
"46"	"Total"	"1738"	"4919"	"280"	"323"	"502"	"27"	"162"	"79"	"136"	"67"	"85"	"58"	"69"	"85"	"80"	"128"	"106"	"8844"	"0"	"8844"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"57"	"28"	"272"	"18"	"4"	"48"	"49"	"3"	"0"	"2"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"5"	"6"	"414"	"0"	"414"	"0"	""
"58"	"29"	"174"	"50"	"14"	"32"	"51"	"1"	"2"	"1"	"3"	"1"	"25"	"1"	"1"	"2"	"0"	"1"	"4"	"363"	"0"	"363"	"0"	""
"59"	"30"	"202"	"105"	"8"	"31"	"108"	"5"	"2"	"0"	"3"	"6"	"8"	"3"	"3"	"2"	"5"	"11"	"6"	"508"	"0"	"508"	"0"	""
"60"	"31"	"95"	"249"	"9"	"52"	"10"	"1"	"1"	"3"	"4"	"1"	"3"	"1"	"4"	"1"	"4"	"3"	"5"	"446"	"0"	"446"	"0"	""
"61"	"32"	"154"	"48"	"37"	"73"	"86"	"6"	"2"	"3"	"4"	"3"	"13"	"3"	"2"	"2"	"5"	"12"	"2"	"455"	"0"	"455"	"0"	""
"62"	"33"	"57"	"58"	"12"	"38"	"111"	"0"	"4"	"1"	"2"	"1"	"9"	"0"	"2"	"2"	"0"	"4"	"4"	"305"	"0"	"305"	"0"	""
"63"	"34"	"37"	"451"	"18"	"92"	"7"	"2"	"18"	"44"	"20"	"8"	"4"	"8"	"7"	"7"	"13"	"23"	"28"	"787"	"0"	"787"	"0"	""
"64"	"35"	"236"	"251"	"13"	"23"	"18"	"2"	"1"	"7"	"7"	"5"	"2"	"3"	"4"	"4"	"4"	"5"	"6"	"591"	"0"	"591"	"0"	""
"65"	"36"	"72"	"219"	"4"	"3"	"3"	"1"	"1"	"5"	"9"	"7"	"3"	"4"	"5"	"16"	"7"	"20"	"6"	"385"	"0"	"385"	"0"	""
"66"	"37"	"52"	"194"	"6"	"85"	"9"	"1"	"1"	"3"	"2"	"1"	"4"	"4"	"4"	"6"	"3"	"2"	"1"	"378"	"0"	"378"	"0"	""
"67"	"38"	"318"	"150"	"8"	"9"	"2"	"0"	"5"	"3"	"12"	"19"	"4"	"3"	"2"	"2"	"1"	"17"	"10"	"565"	"0"	"565"	"0"	""
"68"	"39"	"53"	"212"	"37"	"122"	"15"	"2"	"1"	"4"	"13"	"6"	"5"	"6"	"8"	"8"	"7"	"16"	"7"	"522"	"0"	"522"	"0"	""
"69"	"40"	"157"	"128"	"7"	"25"	"3"	"2"	"3"	"0"	"3"	"3"	"2"	"3"	"1"	"2"	"1"	"3"	"9"	"352"	"0"	"352"	"0"	""
"70"	"41"	"162"	"177"	"15"	"72"	"21"	"3"	"1"	"4"	"8"	"6"	"4"	"4"	"4"	"3"	"3"	"9"	"30"	"526"	"0"	"526"	"0"	""
"71"	"Total"	"2041"	"2310"	"192"	"705"	"493"	"29"	"42"	"80"	"94"	"68"	"86"	"43"	"48"	"58"	"53"	"131"	"124"	"6597"	"0"	"6597"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"82"	"42"	"35"	"182"	"40"	"67"	"5"	"3"	"2"	"0"	"7"	"5"	"4"	"3"	"3"	"6"	"4"	"1"	"5"	"372"	"0"	"372"	"0"	""
"83"	"43"	"273"	"264"	"24"	"25"	"19"	"4"	"4"	"8"	"12"	"3"	"0"	"4"	"2"	"2"	"5"	"3"	"2"	"654"	"0"	"654"	"0"	""
"84"	"44"	"61"	"161"	"7"	"26"	"13"	"1"	"3"	"11"	"3"	"2"	"1"	"1"	"4"	"5"	"14"	"7"	"5"	"325"	"0"	"325"	"0"	""
"85"	"45"	"149"	"196"	"8"	"58"	"10"	"1"	"2"	"8"	"0"	"2"	"3"	"4"	"3"	"3"	"2"	"11"	"13"	"473"	"0"	"473"	"0"	""
"86"	"45 A"	"140"	"135"	"8"	"15"	"4"	"1"	"1"	"1"	"5"	"3"	"1"	"0"	"0"	"5"	"2"	"6"	"12"	"339"	"0"	"339"	"0"	""
"87"	"46"	"109"	"87"	"32"	"36"	"0"	"2"	"4"	"37"	"9"	"11"	"3"	"6"	"8"	"4"	"9"	"30"	"13"	"400"	"0"	"400"	"0"	""
"88"	"47"	"137"	"87"	"17"	"165"	"4"	"2"	"0"	"22"	"6"	"3"	"2"	"1"	"1"	"2"	"1"	"3"	"1"	"454"	"0"	"454"	"0"	""
"89"	"48"	"26"	"261"	"10"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"304"	"0"	"304"	"0"	""
"90"	"49"	"108"	"394"	"17"	"32"	"6"	"3"	"2"	"0"	"15"	"9"	"7"	"5"	"5"	"12"	"7"	"13"	"28"	"663"	"0"	"663"	"0"	""
"91"	"50"	"163"	"202"	"53"	"120"	"22"	"4"	"5"	"2"	"12"	"3"	"8"	"7"	"5"	"11"	"13"	"26"	"26"	"682"	"0"	"682"	"0"	""
"92"	"51"	"111"	"261"	"23"	"93"	"49"	"4"	"4"	"2"	"5"	"8"	"6"	"1"	"5"	"8"	"4"	"7"	"1"	"592"	"0"	"592"	"0"	""
"93"	"52"	"165"	"123"	"39"	"65"	"15"	"1"	"0"	"6"	"4"	"3"	"10"	"3"	"7"	"5"	"2"	"10"	"4"	"462"	"0"	"462"	"0"	""
"94"	"53"	"58"	"151"	"61"	"80"	"28"	"0"	"3"	"1"	"7"	"3"	"6"	"4"	"1"	"6"	"3"	"4"	"3"	"419"	"0"	"419"	"0"	""
"95"	"54"	"62"	"31"	"14"	"117"	"103"	"2"	"1"	"1"	"8"	"1"	"5"	"3"	"1"	"0"	"1"	"1"	"4"	"355"	"0"	"355"	"0"	""
"96"	"Total"	"1597"	"2535"	"353"	"902"	"278"	"28"	"31"	"99"	"94"	"56"	"56"	"43"	"45"	"69"	"68"	"122"	"118"	"6494"	"0"	"6494"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"107"	"55"	"79"	"20"	"6"	"162"	"206"	"5"	"4"	"1"	"10"	"7"	"3"	"4"	"5"	"0"	"2"	"3"	"7"	"524"	"0"	"524"	"0"	""
"108"	"56"	"100"	"229"	"14"	"59"	"24"	"2"	"3"	"3"	"9"	"4"	"5"	"4"	"6"	"6"	"4"	"1"	"2"	"475"	"0"	"475"	"0"	""
"109"	"57"	"37"	"304"	"6"	"4"	"15"	"0"	"0"	"0"	"3"	"1"	"5"	"5"	"0"	"2"	"3"	"2"	"4"	"391"	"0"	"391"	"0"	""
"110"	"58"	"79"	"196"	"2"	"1"	"6"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"290"	"0"	"290"	"0"	""
"111"	"59"	"116"	"413"	"16"	"6"	"48"	"1"	"1"	"1"	"5"	"2"	"8"	"3"	"0"	"0"	"0"	"1"	"3"	"624"	"0"	"624"	"0"	""
"112"	"60"	"73"	"466"	"10"	"12"	"32"	"1"	"0"	"2"	"8"	"2"	"6"	"2"	"2"	"3"	"2"	"2"	"5"	"628"	"0"	"628"	"0"	""
"113"	"61"	"134"	"310"	"11"	"123"	"13"	"3"	"1"	"6"	"10"	"5"	"23"	"10"	"7"	"12"	"7"	"16"	"16"	"707"	"0"	"707"	"0"	""
"114"	"62"	"203"	"321"	"15"	"33"	"96"	"5"	"3"	"8"	"3"	"4"	"6"	"6"	"6"	"2"	"7"	"6"	"2"	"726"	"0"	"726"	"0"	""
"115"	"63"	"288"	"263"	"8"	"34"	"30"	"3"	"3"	"5"	"3"	"3"	"6"	"2"	"3"	"2"	"4"	"6"	"14"	"677"	"0"	"677"	"0"	""
"116"	"64"	"112"	"377"	"10"	"38"	"17"	"2"	"1"	"1"	"8"	"1"	"8"	"1"	"2"	"3"	"2"	"2"	"2"	"587"	"0"	"587"	"0"	""
"117"	"65"	"129"	"224"	"12"	"221"	"9"	"2"	"3"	"2"	"3"	"3"	"5"	"2"	"5"	"2"	"5"	"15"	"9"	"651"	"0"	"651"	"0"	""
"118"	"66"	"58"	"235"	"1"	"3"	"13"	"1"	"0"	"0"	"4"	"0"	"4"	"1"	"1"	"1"	"0"	"0"	"3"	"325"	"0"	"325"	"0"	""
"119"	"67"	"104"	"149"	"5"	"14"	"16"	"0"	"0"	"0"	"3"	"2"	"0"	"2"	"5"	"2"	"2"	"2"	"11"	"317"	"0"	"317"	"0"	""
"120"	"68"	"81"	"424"	"5"	"22"	"40"	"1"	"1"	"3"	"5"	"2"	"8"	"2"	"2"	"7"	"7"	"2"	"3"	"615"	"0"	"615"	"0"	""
"121"	"Total"	"1593"	"3931"	"121"	"732"	"565"	"26"	"20"	"33"	"74"	"36"	"89"	"44"	"46"	"42"	"45"	"59"	"81"	"7537"	"0"	"7537"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"132"	"69"	"102"	"252"	"12"	"91"	"58"	"2"	"1"	"10"	"3"	"2"	"1"	"2"	"2"	"4"	"0"	"0"	"1"	"543"	"0"	"543"	"0"	""
"133"	"70"	"219"	"132"	"5"	"58"	"12"	"0"	"2"	"2"	"13"	"0"	"5"	"3"	"4"	"7"	"3"	"11"	"15"	"491"	"0"	"491"	"0"	""
"134"	"70 A"	"39"	"143"	"1"	"20"	"9"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"218"	"0"	"218"	"0"	""
"135"	"71"	"234"	"254"	"7"	"117"	"32"	"3"	"3"	"15"	"6"	"3"	"2"	"4"	"5"	"2"	"5"	"6"	"15"	"713"	"0"	"713"	"0"	""
"136"	"72"	"261"	"203"	"6"	"59"	"71"	"1"	"1"	"5"	"1"	"2"	"3"	"2"	"2"	"8"	"4"	"3"	"2"	"634"	"0"	"634"	"0"	""
"137"	"73"	"90"	"398"	"9"	"18"	"26"	"0"	"1"	"1"	"6"	"2"	"3"	"2"	"5"	"4"	"5"	"4"	"14"	"588"	"0"	"588"	"0"	""
"138"	"74"	"75"	"326"	"5"	"18"	"11"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"2"	"444"	"0"	"444"	"0"	""
"139"	"75"	"137"	"330"	"8"	"58"	"28"	"2"	"0"	"2"	"12"	"3"	"10"	"2"	"6"	"3"	"5"	"2"	"3"	"611"	"0"	"611"	"0"	""
"140"	"76"	"302"	"126"	"2"	"4"	"29"	"1"	"4"	"2"	"0"	"0"	"3"	"3"	"2"	"19"	"10"	"4"	"1"	"512"	"0"	"512"	"0"	""
"141"	"77"	"74"	"288"	"11"	"42"	"18"	"0"	"8"	"2"	"7"	"2"	"4"	"3"	"3"	"18"	"10"	"3"	"6"	"499"	"0"	"499"	"0"	""
