"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X233808...149...233957.32.Benipatti"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"1"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"2"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"13"	""	"9"	""	"20"	""	"71"	""	"4"	""	"74"	""	"4"	""	"279"	""	"14"	""	"10"	""	"4"	""	"7"	""	"4"	""	"11"	""	"15"	""	"9"	""	"6"	""	"16"	""	"5"	""	"8"	""	"1"	""	"8"	""	"24"	""	"594"	""	""	""	"594"	""	""	""
"14"	""	"10"	""	"15"	""	"61"	""	"3"	""	"121"	""	"9"	""	"243"	""	"23"	""	"14"	""	"12"	""	"9"	""	"12"	""	"12"	""	"24"	""	"20"	""	"9"	""	"28"	""	"11"	""	"5"	""	"4"	""	"11"	""	"11"	""	"657"	""	""	""	"657"	""	""	""
"15"	""	"11"	""	"12"	""	"23"	""	"2"	""	"150"	""	"6"	""	"44"	""	"3"	""	"7"	""	"8"	""	"4"	""	"5"	""	"1"	""	"7"	""	"3"	""	"5"	""	"2"	""	"34"	""	"1"	""	"3"	""	"6"	""	"6"	""	"332"	""	""	""	"332"	""	""	""
"16"	""	"12"	""	"15"	""	"78"	""	"2"	""	"8"	""	"2"	""	"238"	""	"5"	""	"5"	""	"1"	""	"4"	""	"2"	""	"1"	""	"3"	""	"0"	""	"2"	""	"1"	""	"2"	""	"2"	""	"0"	""	"4"	""	"0"	""	"375"	""	""	""	"375"	""	""	""
"17"	""	"13"	""	"11"	""	"57"	""	"6"	""	"98"	""	"3"	""	"52"	""	"5"	""	"4"	""	"2"	""	"1"	""	"3"	""	"2"	""	"5"	""	"4"	""	"3"	""	"7"	""	"15"	""	"6"	""	"1"	""	"10"	""	"4"	""	"299"	""	""	""	"299"	""	""	""
"18"	""	"Total  RN- 1"	""	"283"	""	"881"	""	"73"	""	"914"	""	"108"	""	"1934"	""	"95"	""	"85"	""	"66"	""	"54"	""	"55"	""	"57"	""	"104"	""	"90"	""	"164"	""	"133"	""	"104"	""	"48"	""	"29"	""	"66"	""	"91"	""	"5434"	""	"0"	""	"5434"	""	"0"	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"21"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"22"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"23"	"Round- 2"	"B.F."	""	"283"	""	"881"	""	"73"	""	"914"	""	"108"	""	"1934"	""	"95"	""	"85"	""	"66"	""	"54"	""	"55"	""	"57"	""	"104"	""	"90"	""	"164"	""	"133"	""	"104"	""	"48"	""	"29"	""	"66"	""	"91"	""	"5434"	""	"0"	""	"5434"	""	""	""
"24"	""	"14"	""	"18"	""	"101"	""	"6"	""	"62"	""	"7"	""	"255"	""	"9"	""	"12"	""	"6"	""	"7"	""	"4"	""	"7"	""	"8"	""	"6"	""	"4"	""	"8"	""	"10"	""	"11"	""	"6"	""	"17"	""	"9"	""	"573"	""	""	""	"573"	""	""	""
"25"	""	"15"	""	"9"	""	"27"	""	"1"	""	"27"	""	"10"	""	"238"	""	"11"	""	"6"	""	"2"	""	"5"	""	"1"	""	"1"	""	"11"	""	"5"	""	"69"	""	"10"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"436"	""	""	""	"436"	""	""	""
"26"	""	"16"	""	"21"	""	"119"	""	"43"	""	"73"	""	"14"	""	"160"	""	"12"	""	"7"	""	"4"	""	"3"	""	"11"	""	"2"	""	"14"	""	"7"	""	"8"	""	"10"	""	"11"	""	"11"	""	"10"	""	"16"	""	"14"	""	"570"	""	""	""	"570"	""	""	""
"27"	""	"17"	""	"31"	""	"16"	""	"4"	""	"35"	""	"7"	""	"110"	""	"4"	""	"3"	""	"3"	""	"5"	""	"1"	""	"2"	""	"4"	""	"13"	""	"11"	""	"3"	""	"4"	""	"1"	""	"0"	""	"3"	""	"3"	""	"263"	""	""	""	"263"	""	""	""
"28"	""	"18"	""	"10"	""	"39"	""	"1"	""	"80"	""	"6"	""	"28"	""	"6"	""	"4"	""	"2"	""	"3"	""	"3"	""	"5"	""	"11"	""	"29"	""	"64"	""	"27"	""	"2"	""	"1"	""	"1"	""	"1"	""	"11"	""	"334"	""	""	""	"334"	""	""	""
"29"	""	"19"	""	"122"	""	"41"	""	"15"	""	"10"	""	"2"	""	"153"	""	"3"	""	"6"	""	"5"	""	"4"	""	"4"	""	"2"	""	"7"	""	"13"	""	"6"	""	"161"	""	"11"	""	"3"	""	"1"	""	"3"	""	"8"	""	"580"	""	""	""	"580"	""	""	""
"30"	""	"20"	""	"87"	""	"45"	""	"3"	""	"38"	""	"8"	""	"70"	""	"6"	""	"5"	""	"13"	""	"6"	""	"2"	""	"0"	""	"3"	""	"3"	""	"2"	""	"2"	""	"6"	""	"4"	""	"4"	""	"2"	""	"3"	""	"312"	""	""	""	"312"	""	""	""
"31"	""	"21"	""	"10"	""	"126"	""	"4"	""	"28"	""	"4"	""	"8"	""	"3"	""	"1"	""	"22"	""	"1"	""	"6"	""	"2"	""	"4"	""	"6"	""	"5"	""	"7"	""	"17"	""	"1"	""	"1"	""	"0"	""	"1"	""	"257"	""	""	""	"257"	""	""	""
"32"	""	"22"	""	"13"	""	"131"	""	"12"	""	"46"	""	"1"	""	"13"	""	"5"	""	"4"	""	"26"	""	"0"	""	"0"	""	"3"	""	"2"	""	"5"	""	"4"	""	"3"	""	"9"	""	"4"	""	"1"	""	"5"	""	"2"	""	"289"	""	""	""	"289"	""	""	""
"33"	""	"23"	""	"27"	""	"88"	""	"14"	""	"65"	""	"7"	""	"229"	""	"16"	""	"12"	""	"4"	""	"10"	""	"5"	""	"7"	""	"12"	""	"16"	""	"8"	""	"11"	""	"3"	""	"0"	""	"0"	""	"2"	""	"6"	""	"542"	""	""	""	"542"	""	""	""
"34"	""	"24"	""	"44"	""	"46"	""	"11"	""	"30"	""	"5"	""	"128"	""	"6"	""	"6"	""	"0"	""	"2"	""	"1"	""	"6"	""	"12"	""	"51"	""	"18"	""	"25"	""	"10"	""	"6"	""	"3"	""	"6"	""	"16"	""	"432"	""	""	""	"432"	""	""	""
"35"	""	"25"	""	"15"	""	"43"	""	"5"	""	"24"	""	"6"	""	"162"	""	"3"	""	"7"	""	"2"	""	"7"	""	"1"	""	"5"	""	"3"	""	"5"	""	"2"	""	"5"	""	"2"	""	"3"	""	"0"	""	"1"	""	"1"	""	"302"	""	""	""	"302"	""	""	""
"36"	""	"26"	""	"15"	""	"33"	""	"5"	""	"65"	""	"5"	""	"256"	""	"6"	""	"5"	""	"1"	""	"5"	""	"7"	""	"0"	""	"2"	""	"15"	""	"0"	""	"3"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"425"	""	""	""	"425"	""	""	""
"37"	""	"27"	""	"19"	""	"58"	""	"177"	""	"9"	""	"3"	""	"77"	""	"3"	""	"3"	""	"1"	""	"1"	""	"4"	""	"1"	""	"0"	""	"3"	""	"5"	""	"2"	""	"6"	""	"2"	""	"9"	""	"0"	""	"0"	""	"383"	""	""	""	"383"	""	""	""
"38"	""	"Total RN - 2"	""	"441"	""	"913"	""	"301"	""	"592"	""	"85"	""	"1887"	""	"93"	""	"81"	""	"91"	""	"59"	""	"50"	""	"43"	""	"93"	""	"177"	""	"206"	""	"277"	""	"92"	""	"48"	""	"36"	""	"57"	""	"76"	""	"5698"	""	"0"	""	"5698"	""	"0"	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"41"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"42"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"43"	"Round- 3"	"B.F."	""	"724"	""	"1794"	""	"374"	""	"1506"	""	"193"	""	"3821"	""	"188"	""	"166"	""	"157"	""	"113"	""	"105"	""	"100"	""	"197"	""	"267"	""	"370"	""	"410"	""	"196"	""	"96"	""	"65"	""	"123"	""	"167"	""	"11132"	""	"0"	""	"11132"	""	"0"	""
"44"	""	"28"	""	"53"	""	"15"	""	"12"	""	"118"	""	"3"	""	"89"	""	"3"	""	"5"	""	"1"	""	"4"	""	"3"	""	"6"	""	"13"	""	"6"	""	"1"	""	"10"	""	"4"	""	"0"	""	"2"	""	"5"	""	"1"	""	"354"	""	""	""	"354"	""	""	""
"45"	""	"29"	""	"15"	""	"33"	""	"4"	""	"160"	""	"7"	""	"118"	""	"7"	""	"6"	""	"9"	""	"3"	""	"2"	""	"1"	""	"4"	""	"0"	""	"1"	""	"1"	""	"5"	""	"5"	""	"2"	""	"4"	""	"5"	""	"392"	""	""	""	"392"	""	""	""
"46"	""	"30"	""	"18"	""	"45"	""	"8"	""	"128"	""	"8"	""	"185"	""	"3"	""	"5"	""	"15"	""	"4"	""	"1"	""	"3"	""	"5"	""	"2"	""	"2"	""	"1"	""	"18"	""	"5"	""	"3"	""	"8"	""	"5"	""	"472"	""	""	""	"472"	""	""	""
"47"	""	"31"	""	"19"	""	"97"	""	"6"	""	"125"	""	"5"	""	"27"	""	"1"	""	"1"	""	"27"	""	"3"	""	"0"	""	"1"	""	"6"	""	"0"	""	"0"	""	"2"	""	"18"	""	"9"	""	"3"	""	"16"	""	"4"	""	"370"	""	""	""	"370"	""	""	""
"48"	""	"32"	""	"1"	""	"37"	""	"1"	""	"197"	""	"3"	""	"8"	""	"2"	""	"1"	""	"8"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"14"	""	"6"	""	"0"	""	"1"	""	"0"	""	"281"	""	""	""	"281"	""	""	""
"49"	""	"33"	""	"8"	""	"1"	""	"1"	""	"9"	""	"1"	""	"9"	""	"3"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	"5"	""	"2"	""	"138"	""	"4"	""	"2"	""	"0"	""	"1"	""	"1"	""	"2"	""	"191"	""	""	""	"191"	""	""	""
"50"	""	"34"	""	"3"	""	"50"	""	"1"	""	"8"	""	"5"	""	"0"	""	"3"	""	"0"	""	"3"	""	"2"	""	"2"	""	"5"	""	"1"	""	"7"	""	"0"	""	"6"	""	"404"	""	"14"	""	"6"	""	"3"	""	"15"	""	"538"	""	""	""	"538"	""	""	""
"51"	""	"35"	""	"6"	""	"21"	""	"4"	""	"66"	""	"3"	""	"5"	""	"1"	""	"1"	""	"2"	""	"3"	""	"1"	""	"0"	""	"3"	""	"3"	""	"1"	""	"2"	""	"62"	""	"3"	""	"1"	""	"3"	""	"4"	""	"195"	""	""	""	"195"	""	""	""
"52"	""	"36"	""	"31"	""	"95"	""	"10"	""	"25"	""	"5"	""	"243"	""	"9"	""	"19"	""	"5"	""	"6"	""	"3"	""	"3"	""	"3"	""	"1"	""	"1"	""	"3"	""	"8"	""	"10"	""	"2"	""	"3"	""	"5"	""	"490"	""	""	""	"490"	""	""	""
"53"	""	"37"	""	"18"	""	"44"	""	"4"	""	"9"	""	"2"	""	"192"	""	"4"	""	"35"	""	"0"	""	"3"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"6"	""	"0"	""	"3"	""	"1"	""	"326"	""	""	""	"326"	""	""	""
"54"	""	"38"	""	"6"	""	"81"	""	"2"	""	"14"	""	"4"	""	"150"	""	"2"	""	"9"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"3"	""	"1"	""	"2"	""	"0"	""	"6"	""	"1"	""	"0"	""	"1"	""	"284"	""	""	""	"284"	""	""	""
"55"	""	"39"	""	"11"	""	"27"	""	"1"	""	"101"	""	"7"	""	"106"	""	"3"	""	"32"	""	"6"	""	"6"	""	"0"	""	"3"	""	"6"	""	"6"	""	"4"	""	"7"	""	"7"	""	"9"	""	"5"	""	"11"	""	"12"	""	"370"	""	""	""	"370"	""	""	""
"56"	""	"40"	""	"37"	""	"28"	""	"5"	""	"66"	""	"5"	""	"62"	""	"5"	""	"10"	""	"1"	""	"2"	""	"4"	""	"6"	""	"1"	""	"5"	""	"2"	""	"6"	""	"27"	""	"231"	""	"7"	""	"9"	""	"8"	""	"527"	""	""	""	"527"	""	""	""
"57"	""	"41"	""	"15"	""	"15"	""	"0"	""	"69"	""	"3"	""	"238"	""	"4"	""	"4"	""	"1"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"6"	""	"12"	""	"2"	""	"5"	""	"3"	""	"381"	""	""	""	"381"	""	""	""
"58"	""	"Total RN - 3"	""	"241"	""	"589"	""	"59"	""	"1095"	""	"61"	""	"1432"	""	"50"	""	"130"	""	"80"	""	"36"	""	"17"	""	"32"	""	"49"	""	"36"	""	"153"	""	"46"	""	"576"	""	"316"	""	"35"	""	"72"	""	"66"	""	"5171"	""	"0"	""	"5171"	""	"0"	""
"59"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"61"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"62"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"63"	"Round- 4"	"B.F."	""	"965"	""	"2383"	""	"433"	""	"2601"	""	"254"	""	"5253"	""	"238"	""	"296"	""	"237"	""	"149"	""	"122"	""	"132"	""	"246"	""	"303"	""	"523"	""	"456"	""	"772"	""	"412"	""	"100"	""	"195"	""	"233"	""	"16303"	""	"0"	""	"16303"	""	"0"	""
"64"	""	"42"	""	"33"	""	"23"	""	"1"	""	"66"	""	"4"	""	"220"	""	"5"	""	"25"	""	"0"	""	"8"	""	"1"	""	"2"	""	"3"	""	"0"	""	"3"	""	"3"	""	"0"	""	"10"	""	"0"	""	"4"	""	"1"	""	"412"	""	""	""	"412"	""	""	""
"65"	""	"43"	""	"27"	""	"96"	""	"11"	""	"112"	""	"12"	""	"281"	""	"20"	""	"14"	""	"5"	""	"11"	""	"4"	""	"7"	""	"11"	""	"3"	""	"6"	""	"9"	""	"1"	""	"2"	""	"0"	""	"0"	""	"3"	""	"635"	""	""	""	"635"	""	""	""
"66"	""	"44"	""	"30"	""	"151"	""	"2"	""	"7"	""	"3"	""	"341"	""	"2"	""	"9"	""	"3"	""	"2"	""	"4"	""	"2"	""	"3"	""	"1"	""	"5"	""	"11"	""	"11"	""	"2"	""	"0"	""	"3"	""	"2"	""	"594"	""	""	""	"594"	""	""	""
"67"	""	"45"	""	"20"	""	"102"	""	"8"	""	"80"	""	"14"	""	"258"	""	"9"	""	"2"	""	"6"	""	"10"	""	"3"	""	"11"	""	"15"	""	"6"	""	"32"	""	"17"	""	"2"	""	"4"	""	"2"	""	"4"	""	"5"	""	"610"	""	""	""	"610"	""	""	""
"68"	""	"46"	""	"11"	""	"71"	""	"3"	""	"154"	""	"10"	""	"176"	""	"2"	""	"4"	""	"4"	""	"0"	""	"0"	""	"3"	""	"13"	""	"5"	""	"214"	""	"10"	""	"3"	""	"9"	""	"2"	""	"8"	""	"9"	""	"711"	""	""	""	"711"	""	""	""
"69"	""	"47"	""	"13"	""	"12"	""	"1"	""	"72"	""	"4"	""	"248"	""	"13"	""	"37"	""	"7"	""	"5"	""	"6"	""	"1"	""	"7"	""	"8"	""	"0"	""	"10"	""	"4"	""	"8"	""	"1"	""	"12"	""	"14"	""	"483"	""	""	""	"483"	""	""	""
"70"	""	"48"	""	"34"	""	"27"	""	"1"	""	"8"	""	"1"	""	"212"	""	"6"	""	"11"	""	"2"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"2"	""	"1"	""	"1"	""	"26"	""	"1"	""	"1"	""	"5"	""	"344"	""	""	""	"344"	""	""	""
"71"	""	"49"	""	"12"	""	"23"	""	"2"	""	"100"	""	"10"	""	"78"	""	"8"	""	"99"	""	"12"	""	"4"	""	"0"	""	"2"	""	"6"	""	"2"	""	"0"	""	"1"	""	"7"	""	"4"	""	"3"	""	"12"	""	"4"	""	"389"	""	""	""	"389"	""	""	""
"72"	""	"49A"	""	"9"	""	"4"	""	"3"	""	"52"	""	"6"	""	"173"	""	"8"	""	"49"	""	"2"	""	"2"	""	"1"	""	"3"	""	"3"	""	"1"	""	"0"	""	"2"	""	"5"	""	"1"	""	"0"	""	"7"	""	"6"	""	"337"	""	""	""	"337"	""	""	""
"73"	""	"50"	""	"9"	""	"9"	""	"3"	""	"109"	""	"11"	""	"67"	""	"10"	""	"44"	""	"2"	""	"13"	""	"2"	""	"5"	""	"17"	""	"1"	""	"2"	""	"4"	""	"13"	""	"5"	""	"1"	""	"13"	""	"9"	""	"349"	""	""	""	"349"	""	""	""
"74"	""	"50A"	""	"4"	""	"8"	""	"0"	""	"15"	""	"1"	""	"70"	""	"6"	""	"130"	""	"10"	""	"8"	""	"1"	""	"5"	""	"4"	""	"2"	""	"8"	""	"1"	""	"19"	""	"9"	""	"6"	""	"43"	""	"14"	""	"364"	""	""	""	"364"	""	""	""
"75"	""	"51"	""	"31"	""	"15"	""	"1"	""	"17"	""	"3"	""	"95"	""	"16"	""	"170"	""	"5"	""	"5"	""	"11"	""	"2"	""	"4"	""	"5"	""	"4"	""	"5"	""	"14"	""	"10"	""	"7"	""	"76"	""	"16"	""	"512"	""	""	""	"512"	""	""	""
"76"	""	"51A"	""	"18"	""	"5"	""	"18"	""	"17"	""	"7"	""	"66"	""	"8"	""	"161"	""	"5"	""	"3"	""	"3"	""	"0"	""	"2"	""	"1"	""	"3"	""	"5"	""	"3"	""	"5"	""	"0"	""	"15"	""	"4"	""	"349"	""	""	""	"349"	""	""	""
