"Candidates.Name"	"ANIL.KUMAR.TRIVEDI"	"KUNWAR.VIJAY.SINGH"	"MANJU.PRAKASH"	"YOGEN.DRA.CHOUH.AN"	"SHYAM.LAL.SINGH.KUSHWA.HA"	"PROF..SUKHADA.PANDE"	"AGNI.DEO.RAY"	"UPENDR.A.KUMAR.DUBEY"	"UMA.SANKAR.RAY"	"OM.PRAKASH.SINGH"	"RAJ.ROUSHA.N.YADAV"	"RAM.KRIPAL.SINGH"	"HARI.KISHUN.RAM"	"TAFIR.HUSSIN"	"TARKE.SHWA.R.PASW.AN"	"DEV.NARAYA.N.SINGH.YADAV"	"BANSH.NARAYA.N.PANDEY"	"BRAHMA.NAND.YADAV"	"BHARTI.KUMARI.PANDEY"	"RAJIV.KUMAR"	"BIR.BAHADUR.UPADHAYA.Y"	"SUNITA.DEVI"	"HRIDAY.A.NARAYA.N.SINGH"	"ANOOP.PRAKASH"	"GAYAT.RI.DEVI"	"Total"
"14"	"10"	"24"	"3"	"25"	"1"	"140"	"335"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"556"
"15"	"11"	"17"	"5"	"7"	"0"	"55"	"494"	"4"	"3"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"4"	"0"	"598"
"16"	"12"	"26"	"7"	"17"	"0"	"106"	"427"	"3"	"7"	"3"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"0"	"2"	"2"	"3"	"1"	"3"	"3"	"4"	"624"
"17"	"13"	"43"	"19"	"1"	"0"	"75"	"575"	"5"	"2"	"1"	"3"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"18"	"0"	"753"
"18"	"14"	"40"	"10"	"4"	"2"	"26"	"309"	"1"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"1"	"432"
"19"	"15"	"15"	"29"	"40"	"1"	"80"	"542"	"9"	"3"	"2"	"0"	"8"	"0"	"2"	"1"	"3"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"1"	"6"	"7"	"762"
"20"	"16"	"58"	"1"	"12"	"1"	"72"	"367"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"517"
"21"	"17"	"14"	"28"	"2"	"0"	"31"	"354"	"4"	"1"	"3"	"1"	"2"	"2"	"0"	"4"	"4"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"3"	"3"	"4"	"467"
"22"	"18"	"18"	"36"	"4"	"1"	"38"	"479"	"11"	"3"	"1"	"6"	"11"	"3"	"3"	"5"	"6"	"10"	"2"	"1"	"0"	"0"	"5"	"7"	"1"	"20"	"10"	"681"
"23"	"19"	"32"	"110"	"59"	"9"	"228"	"253"	"5"	"2"	"5"	"2"	"17"	"19"	"7"	"12"	"10"	"9"	"2"	"1"	"4"	"2"	"3"	"7"	"2"	"2"	"21"	"823"
"24"	"20"	"34"	"17"	"2"	"0"	"21"	"229"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"8"	"331"
"25"	"21"	"12"	"8"	"12"	"5"	"230"	"379"	"5"	"2"	"2"	"6"	"8"	"16"	"8"	"3"	"4"	"12"	"3"	"2"	"0"	"2"	"3"	"3"	"0"	"5"	"13"	"743"
"26"	"22"	"43"	"29"	"5"	"0"	"66"	"431"	"1"	"1"	"2"	"1"	"3"	"4"	"4"	"3"	"4"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"606"
"27"	"23"	"15"	"6"	"4"	"2"	"161"	"436"	"3"	"1"	"1"	"7"	"5"	"5"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"9"	"2"	"666"
"28"	"24"	"27"	"28"	"3"	"0"	"44"	"317"	"3"	"3"	"0"	"2"	"7"	"5"	"2"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"2"	"3"	"3"	"7"	"9"	"472"
"29"	"25"	"24"	"40"	"3"	"3"	"24"	"328"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"4"	"1"	"11"	"2"	"452"
"30"	"26"	"14"	"1"	"56"	"3"	"161"	"445"	"6"	"2"	"1"	"4"	"1"	"3"	"4"	"3"	"2"	"5"	"5"	"2"	"1"	"5"	"3"	"0"	"4"	"5"	"11"	"747"
"31"	"27"	"25"	"6"	"5"	"0"	"26"	"340"	"4"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"10"	"1"	"7"	"0"	"432"
"32"	"28"	"28"	"22"	"2"	"3"	"158"	"567"	"6"	"0"	"2"	"1"	"3"	"5"	"1"	"1"	"1"	"4"	"2"	"0"	"2"	"4"	"0"	"2"	"0"	"1"	"2"	"817"
"33"	"29"	"50"	"9"	"9"	"0"	"21"	"381"	"8"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"488"
"34"	"30"	"25"	"7"	"15"	"1"	"49"	"633"	"3"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"4"	"1"	"2"	"2"	"752"
"35"	"31"	"37"	"5"	"26"	"1"	"179"	"585"	"7"	"2"	"2"	"0"	"2"	"11"	"3"	"4"	"4"	"3"	"5"	"0"	"1"	"1"	"3"	"0"	"2"	"9"	"12"	"904"
"36"	"32"	"18"	"66"	"4"	"3"	"185"	"83"	"3"	"0"	"1"	"16"	"1"	"11"	"4"	"1"	"1"	"7"	"13"	"4"	"4"	"8"	"6"	"5"	"4"	"5"	"57"	"510"
"37"	"33"	"16"	"58"	"7"	"3"	"201"	"135"	"1"	"2"	"1"	"4"	"2"	"10"	"1"	"0"	"2"	"4"	"2"	"3"	"0"	"3"	"5"	"6"	"2"	"8"	"19"	"495"
"38"	"34"	"11"	"50"	"12"	"3"	"209"	"128"	"3"	"1"	"1"	"15"	"5"	"6"	"6"	"4"	"3"	"12"	"6"	"0"	"0"	"1"	"6"	"1"	"3"	"2"	"70"	"558"
"39"	"35"	"11"	"8"	"2"	"4"	"216"	"388"	"6"	"1"	"2"	"10"	"3"	"4"	"5"	"2"	"4"	"3"	"8"	"0"	"1"	"3"	"8"	"6"	"2"	"4"	"24"	"725"
"40"	"36"	"9"	"8"	"10"	"1"	"72"	"338"	"1"	"1"	"0"	"6"	"7"	"2"	"2"	"3"	"1"	"6"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"24"	"501"
"41"	"37"	"30"	"25"	"7"	"1"	"201"	"326"	"3"	"3"	"3"	"8"	"4"	"5"	"5"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"1"	"5"	"53"	"691"
"42"	"38"	"34"	"16"	"11"	"1"	"100"	"530"	"7"	"3"	"2"	"16"	"3"	"7"	"2"	"3"	"3"	"12"	"1"	"1"	"1"	"2"	"7"	"18"	"0"	"3"	"21"	"804"
"43"	"39"	"23"	"12"	"46"	"3"	"149"	"312"	"9"	"2"	"1"	"3"	"4"	"1"	"2"	"6"	"1"	"5"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"5"	"38"	"629"
"44"	"40"	"11"	"11"	"6"	"0"	"67"	"284"	"4"	"0"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"21"	"2"	"12"	"26"	"455"
"45"	"41"	"6"	"6"	"6"	"1"	"54"	"78"	"4"	"0"	"1"	"0"	"4"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"175"
"46"	"42"	"17"	"20"	"44"	"0"	"86"	"273"	"2"	"0"	"3"	"0"	"3"	"1"	"1"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"5"	"468"
"47"	"43"	"8"	"2"	"39"	"2"	"94"	"253"	"5"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"5"	"0"	"2"	"2"	"0"	"2"	"0"	"7"	"43"	"470"
"48"	"44"	"7"	"10"	"79"	"4"	"261"	"310"	"6"	"3"	"3"	"4"	"5"	"8"	"4"	"6"	"3"	"10"	"1"	"2"	"4"	"1"	"7"	"5"	"4"	"8"	"12"	"767"
"49"	"45"	"24"	"21"	"62"	"3"	"143"	"378"	"5"	"4"	"2"	"1"	"0"	"4"	"2"	"2"	"5"	"8"	"2"	"1"	"0"	"2"	"1"	"6"	"4"	"22"	"20"	"722"
"50"	"Candidates Name"	"ANIL KUMAR TRIVEDI"	"KUNWAR VIJAY SINGH"	"MANJU PRAKASH"	"YOGEN DRA CHOUH AN"	"SHYAM LAL SINGH KUSHWA HA"	"PROF. SUKHADA PANDE"	"AGNI DEO RAY"	"UPENDR A KUMAR DUBEY"	"UMA SANKAR RAY"	"OM PRAKASH SINGH"	"RAJ ROUSHA N YADAV"	"RAM KRIPAL SINGH"	"HARI KISHUN RAM"	"TAFIR HUSSIN"	"TARKE SHWA R PASW AN"	"DEV NARAYA N SINGH YADAV"	"BANSH NARAYA N PANDEY"	"BRAHMA NAND YADAV"	"BHARTI KUMARI PANDEY"	"RAJIV KUMAR"	"BIR BAHADUR UPADHAYA Y"	"SUNITA DEVI"	"HRIDAY A NARAYA N SINGH"	"ANOOP PRAKASH"	"GAYAT RI DEVI"	"Total"
"51"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"55"	"46"	"25"	"11"	"30"	"0"	"111"	"273"	"5"	"4"	"3"	"4"	"3"	"8"	"10"	"7"	"1"	"13"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"99"	"616"
"56"	"47"	"19"	"23"	"5"	"1"	"101"	"237"	"4"	"1"	"1"	"2"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"25"	"432"
"57"	"48"	"26"	"48"	"8"	"1"	"104"	"293"	"1"	"2"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"4"	"2"	"0"	"2"	"0"	"1"	"8"	"2"	"3"	"22"	"537"
"58"	"49"	"22"	"40"	"23"	"1"	"66"	"295"	"10"	"4"	"1"	"2"	"3"	"3"	"1"	"8"	"2"	"2"	"2"	"0"	"2"	"2"	"1"	"5"	"2"	"2"	"20"	"519"
"59"	"50"	"23"	"6"	"58"	"2"	"200"	"302"	"4"	"2"	"2"	"1"	"0"	"2"	"2"	"1"	"2"	"13"	"8"	"5"	"2"	"10"	"22"	"7"	"2"	"8"	"82"	"766"
"60"	"51"	"24"	"3"	"44"	"8"	"289"	"292"	"4"	"0"	"2"	"4"	"4"	"2"	"4"	"4"	"3"	"10"	"1"	"0"	"0"	"3"	"2"	"5"	"1"	"6"	"9"	"724"
"61"	"52"	"32"	"8"	"84"	"1"	"69"	"520"	"12"	"2"	"0"	"3"	"5"	"2"	"1"	"4"	"2"	"10"	"4"	"0"	"0"	"1"	"7"	"3"	"1"	"16"	"9"	"796"
"62"	"53"	"10"	"12"	"55"	"5"	"67"	"228"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"5"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"6"	"21"	"421"
"63"	"54"	"25"	"8"	"3"	"1"	"112"	"391"	"5"	"0"	"1"	"1"	"1"	"5"	"1"	"2"	"1"	"7"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"29"	"596"
"64"	"55"	"32"	"32"	"1"	"0"	"36"	"352"	"1"	"3"	"0"	"2"	"4"	"0"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"475"
"65"	"56"	"11"	"22"	"7"	"0"	"41"	"259"	"10"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"4"	"0"	"1"	"4"	"2"	"370"
"66"	"57"	"20"	"21"	"5"	"0"	"57"	"244"	"3"	"3"	"1"	"2"	"22"	"6"	"1"	"3"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"5"	"403"
"67"	"58"	"23"	"15"	"38"	"2"	"176"	"280"	"2"	"3"	"3"	"3"	"8"	"16"	"13"	"4"	"3"	"23"	"7"	"2"	"2"	"4"	"10"	"8"	"7"	"3"	"74"	"729"
"68"	"59"	"12"	"13"	"30"	"3"	"100"	"307"	"7"	"3"	"0"	"0"	"0"	"3"	"5"	"2"	"3"	"8"	"1"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"13"	"516"
"69"	"60"	"12"	"21"	"112"	"7"	"320"	"216"	"7"	"3"	"2"	"7"	"10"	"8"	"6"	"6"	"4"	"9"	"0"	"1"	"1"	"3"	"2"	"6"	"1"	"29"	"71"	"864"
"70"	"61"	"10"	"19"	"176"	"6"	"253"	"58"	"4"	"4"	"7"	"2"	"4"	"5"	"3"	"7"	"0"	"8"	"0"	"0"	"5"	"2"	"7"	"4"	"2"	"13"	"58"	"657"
"71"	"62"	"3"	"49"	"3"	"0"	"33"	"275"	"6"	"2"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"32"	"3"	"417"
"72"	"63"	"26"	"71"	"70"	"5"	"250"	"275"	"8"	"1"	"3"	"1"	"2"	"12"	"2"	"4"	"2"	"5"	"8"	"1"	"2"	"2"	"3"	"2"	"5"	"11"	"24"	"795"
"73"	"64"	"12"	"18"	"7"	"2"	"174"	"247"	"6"	"1"	"0"	"2"	"13"	"1"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"3"	"0"	"2"	"8"	"24"	"528"
"74"	"65"	"17"	"249"	"8"	"8"	"74"	"240"	"9"	"3"	"0"	"0"	"0"	"4"	"2"	"8"	"1"	"5"	"2"	"5"	"2"	"1"	"1"	"2"	"1"	"3"	"7"	"652"
"75"	"66"	"25"	"44"	"2"	"0"	"75"	"380"	"4"	"2"	"1"	"0"	"8"	"5"	"1"	"0"	"0"	"4"	"10"	"6"	"3"	"3"	"13"	"12"	"2"	"56"	"14"	"670"
"76"	"67"	"5"	"18"	"2"	"0"	"23"	"299"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"11"	"1"	"0"	"0"	"2"	"0"	"12"	"4"	"384"
"77"	"67A"	"7"	"8"	"2"	"0"	"13"	"232"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"5"	"1"	"18"	"5"	"300"
"78"	"68"	"14"	"2"	"3"	"0"	"179"	"328"	"3"	"2"	"2"	"3"	"5"	"6"	"4"	"4"	"4"	"16"	"0"	"0"	"0"	"0"	"1"	"4"	"3"	"0"	"12"	"595"
"79"	"69"	"20"	"125"	"12"	"2"	"247"	"177"	"6"	"4"	"8"	"4"	"58"	"26"	"11"	"16"	"6"	"30"	"3"	"4"	"1"	"3"	"9"	"5"	"1"	"4"	"62"	"844"
"80"	"70"	"20"	"2"	"3"	"1"	"204"	"346"	"5"	"3"	"2"	"4"	"1"	"4"	"3"	"2"	"0"	"8"	"1"	"1"	"1"	"1"	"12"	"11"	"2"	"10"	"18"	"665"
"81"	"71"	"31"	"101"	"71"	"4"	"75"	"171"	"7"	"2"	"1"	"4"	"2"	"3"	"7"	"10"	"9"	"16"	"8"	"7"	"16"	"4"	"15"	"12"	"8"	"37"	"17"	"638"
"82"	"72"	"9"	"1"	"0"	"0"	"39"	"267"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"28"	"2"	"361"
"83"	"72A"	"1"	"0"	"3"	"3"	"26"	"278"	"4"	"0"	"0"	"2"	"3"	"0"	"3"	"4"	"2"	"4"	"6"	"4"	"1"	"5"	"4"	"15"	"9"	"25"	"13"	"415"
"84"	"73"	"6"	"76"	"13"	"4"	"87"	"264"	"10"	"2"	"0"	"1"	"1"	"5"	"1"	"0"	"2"	"1"	"4"	"2"	"1"	"2"	"2"	"3"	"3"	"9"	"11"	"510"
"85"	"74"	"31"	"15"	"2"	"0"	"108"	"115"	"2"	"1"	"0"	"1"	"4"	"6"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"0"	"0"	"5"	"300"
"86"	"75"	"16"	"218"	"10"	"5"	"73"	"275"	"8"	"2"	"0"	"2"	"1"	"15"	"2"	"5"	"2"	"4"	"3"	"1"	"2"	"0"	"2"	"1"	"2"	"3"	"7"	"659"
"87"	"76"	"4"	"19"	"5"	"1"	"23"	"180"	"6"	"3"	"0"	"0"	"1"	"4"	"2"	"0"	"6"	"11"	"4"	"1"	"0"	"1"	"0"	"3"	"3"	"5"	"6"	"288"
"88"	"77"	"1"	"26"	"0"	"0"	"36"	"252"	"1"	"1"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"1"	"9"	"2"	"1"	"0"	"0"	"7"	"0"	"1"	"5"	"349"
"89"	"78"	"8"	"71"	"14"	"2"	"50"	"69"	"2"	"2"	"1"	"1"	"0"	"8"	"5"	"3"	"3"	"3"	"0"	"2"	"0"	"0"	"3"	"1"	"2"	"1"	"1"	"252"
"90"	"79"	"0"	"79"	"1"	"1"	"43"	"206"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"4"	"347"
"91"	"80"	"6"	"185"	"5"	"3"	"50"	"236"	"4"	"1"	"0"	"1"	"0"	"3"	"3"	"1"	"3"	"10"	"1"	"0"	"1"	"1"	"2"	"4"	"2"	"3"	"14"	"539"
"92"	"81"	"49"	"2"	"73"	"1"	"119"	"164"	"0"	"4"	"1"	"2"	"3"	"8"	"3"	"11"	"1"	"7"	"1"	"0"	"0"	"0"	"3"	"4"	"1"	"14"	"15"	"486"
"93"	"82"	"33"	"9"	"42"	"2"	"122"	"279"	"8"	"3"	"2"	"2"	"4"	"6"	"3"	"5"	"1"	"24"	"9"	"0"	"3"	"1"	"8"	"9"	"2"	"4"	"7"	"588"
"94"	"83"	"6"	"58"	"26"	"5"	"206"	"156"	"4"	"4"	"7"	"9"	"6"	"5"	"3"	"6"	"1"	"3"	"1"	"0"	"0"	"1"	"2"	"5"	"1"	"81"	"4"	"600"
"95"	"84"	"4"	"14"	"5"	"3"	"97"	"342"	"18"	"5"	"0"	"5"	"5"	"3"	"1"	"3"	"4"	"13"	"2"	"0"	"1"	"0"	"3"	"3"	"3"	"82"	"19"	"635"
"96"	"85"	"17"	"31"	"17"	"1"	"52"	"205"	"6"	"0"	"2"	"4"	"8"	"7"	"5"	"2"	"4"	"2"	"13"	"2"	"2"	"0"	"3"	"8"	"5"	"11"	"10"	"417"
"97"	"85A"	"31"	"69"	"4"	"0"	"120"	"120"	"6"	"1"	"1"	"1"	"1"	"6"	"3"	"0"	"2"	"4"	"7"	"1"	"4"	"1"	"3"	"0"	"3"	"8"	"19"	"415"
"98"	"86"	"21"	"69"	"15"	"2"	"97"	"326"	"7"	"2"	"1"	"6"	"11"	"5"	"6"	"9"	"6"	"18"	"1"	"1"	"1"	"1"	"2"	"3"	"1"	"1"	"14"	"626"
"99"	"87"	"8"	"150"	"1"	"0"	"30"	"50"	"3"	"2"	"1"	"1"	"16"	"10"	"2"	"5"	"4"	"21"	"6"	"2"	"0"	"2"	"2"	"1"	"3"	"3"	"195"	"518"
"100"	"Candidates Name"	"ANIL KUMAR TRIVEDI"	"KUNWAR VIJAY SINGH"	"MANJU PRAKASH"	"YOGEN DRA CHOUH AN"	"SHYAM LAL SINGH KUSHWA HA"	"PROF. SUKHADA PANDE"	"AGNI DEO RAY"	"UPENDR A KUMAR DUBEY"	"UMA SANKAR RAY"	"OM PRAKASH SINGH"	"RAJ ROUSHA N YADAV"	"RAM KRIPAL SINGH"	"HARI KISHUN RAM"	"TAFIR HUSSIN"	"TARKE SHWA R PASW AN"	"DEV NARAYA N SINGH YADAV"	"BANSH NARAYA N PANDEY"	"BRAHMA NAND YADAV"	"BHARTI KUMARI PANDEY"	"RAJIV KUMAR"	"BIR BAHADUR UPADHAYA Y"	"SUNITA DEVI"	"HRIDAY A NARAYA N SINGH"	"ANOOP PRAKASH"	"GAYAT RI DEVI"	"Total"
"101"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"105"	"88"	"13"	"204"	"14"	"5"	"110"	"41"	"4"	"2"	"7"	"5"	"72"	"10"	"5"	"6"	"11"	"22"	"2"	"9"	"1"	"4"	"4"	"3"	"3"	"5"	"18"	"580"
"106"	"89"	"15"	"50"	"40"	"5"	"109"	"159"	"4"	"2"	"1"	"1"	"14"	"6"	"0"	"1"	"1"	"3"	"5"	"2"	"1"	"0"	"4"	"1"	"0"	"4"	"5"	"433"
"107"	"89A"	"2"	"47"	"6"	"0"	"27"	"102"	"3"	"0"	"0"	"9"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"0"	"1"	"0"	"5"	"1"	"2"	"216"
"108"	"90"	"22"	"68"	"254"	"8"	"166"	"251"	"5"	"0"	"1"	"0"	"8"	"3"	"5"	"34"	"1"	"7"	"4"	"9"	"28"	"5"	"9"	"11"	"3"	"1"	"23"	"926"
"109"	"91"	"38"	"70"	"163"	"8"	"202"	"235"	"2"	"2"	"0"	"2"	"7"	"1"	"2"	"2"	"2"	"3"	"3"	"2"	"3"	"2"	"5"	"4"	"3"	"1"	"10"	"772"
"110"	"92"	"19"	"27"	"19"	"3"	"139"	"171"	"5"	"1"	"1"	"0"	"2"	"4"	"0"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"3"	"3"	"21"	"1"	"8"	"434"
"111"	"93"	"48"	"3"	"3"	"1"	"30"	"258"	"5"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"358"
"112"	"94"	"26"	"120"	"2"	"3"	"97"	"192"	"5"	"1"	"0"	"4"	"8"	"10"	"1"	"4"	"2"	"6"	"7"	"1"	"1"	"3"	"1"	"3"	"3"	"3"	"41"	"544"
"113"	"95"	"11"	"36"	"32"	"5"	"212"	"95"	"4"	"2"	"3"	"4"	"17"	"9"	"3"	"11"	"3"	"15"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"7"	"472"
"114"	"96"	"21"	"27"	"25"	"1"	"79"	"281"	"3"	"3"	"3"	"2"	"6"	"9"	"0"	"5"	"0"	"8"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"4"	"9"	"489"
