"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy,  mi ; ksx esa yk; k t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"------------------------------------------------- fuokZpu {ks= esa   --------------------------------------------- ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"¼l l anh;  vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"22"	"12"	"15"	""	""	"92"	""	""	"13"	""	""	"324"	""	""	""	"27"	""	"132"	""	""	"9"	""	""	""	"5"	""	""	""	"23"	""	""	"640"	""	""	"0"	""	""	"640"	""	""	"0"	""	""	""	""	""	""
"23"	"13"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""
"24"	"14"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	""	""	""
"25"	"15"	"19"	""	""	"185"	""	""	"30"	""	""	"302"	""	""	""	"49"	""	"130"	""	""	"14"	""	""	""	"11"	""	""	""	"24"	""	""	"764"	""	""	"0"	""	""	"764"	""	""	"0"	""	""	""	""	""	""
"26"	"16"	"28"	""	""	"29"	""	""	"25"	""	""	"229"	""	""	""	"39"	""	"230"	""	""	"3"	""	""	""	"5"	""	""	""	"9"	""	""	"597"	""	""	"0"	""	""	"597"	""	""	"0"	""	""	""	""	""	""
"27"	"17"	"37"	""	""	"279"	""	""	"40"	""	""	"145"	""	""	""	"21"	""	"58"	""	""	"8"	""	""	""	"4"	""	""	""	"20"	""	""	"612"	""	""	"0"	""	""	"612"	""	""	"0"	""	""	""	""	""	""
"28"	"18"	"22"	""	""	"87"	""	""	"10"	""	""	"162"	""	""	""	"41"	""	"259"	""	""	"20"	""	""	""	"11"	""	""	""	"19"	""	""	"631"	""	""	"0"	""	""	"631"	""	""	"0"	""	""	""	""	""	""
"29"	"19"	"4"	""	""	"30"	""	""	"7"	""	""	"159"	""	""	""	"13"	""	"78"	""	""	"3"	""	""	""	"4"	""	""	""	"11"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	"0"	""	""	""	""	""	""
"30"	"20"	"13"	""	""	"237"	""	""	"7"	""	""	"32"	""	""	""	"28"	""	"38"	""	""	"4"	""	""	""	"3"	""	""	""	"9"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	"0"	""	""	""	""	""	""
"31"	"21"	"3"	""	""	"53"	""	""	"10"	""	""	"388"	""	""	""	"6"	""	"13"	""	""	"3"	""	""	""	"3"	""	""	""	"7"	""	""	"486"	""	""	"0"	""	""	"486"	""	""	"0"	""	""	""	""	""	""
"32"	"22"	"17"	""	""	"192"	""	""	"18"	""	""	"223"	""	""	""	"9"	""	"89"	""	""	"10"	""	""	""	"2"	""	""	""	"11"	""	""	"571"	""	""	"0"	""	""	"571"	""	""	"0"	""	""	""	""	""	""
"33"	"23"	"4"	""	""	"13"	""	""	"0"	""	""	"84"	""	""	""	"5"	""	"14"	""	""	"3"	""	""	""	"3"	""	""	""	"5"	""	""	"131"	""	""	"0"	""	""	"131"	""	""	"0"	""	""	""	""	""	""
"34"	"24"	"7"	""	""	"18"	""	""	"4"	""	""	"151"	""	""	""	"7"	""	"108"	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	"0"	""	""	""	""	""	""
"35"	"25"	"10"	""	""	"43"	""	""	"4"	""	""	"154"	""	""	""	"6"	""	"47"	""	""	"4"	""	""	""	"4"	""	""	""	"10"	""	""	"282"	""	""	"0"	""	""	"282"	""	""	"0"	""	""	""	""	""	""
"36"	"26"	"6"	""	""	"71"	""	""	"3"	""	""	"44"	""	""	""	"8"	""	"31"	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"172"	""	""	"0"	""	""	"172"	""	""	"0"	""	""	""	""	""	""
"37"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"38"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"27"	"18"	""	""	"134"	""	""	"17"	""	""	"149"	""	""	"17"	""	""	"9"	""	""	"3"	""	""	""	"1"	""	""	""	"15"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	"0"	""	""	""	""	""	""
"40"	"28"	"8"	""	""	"67"	""	""	"9"	""	""	"215"	""	""	"16"	""	""	"39"	""	""	"4"	""	""	""	"2"	""	""	""	"7"	""	""	"367"	""	""	"0"	""	""	"367"	""	""	"0"	""	""	""	""	""	""
"41"	"29"	"3"	""	""	"46"	""	""	"7"	""	""	"180"	""	""	"5"	""	""	"22"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"266"	""	""	"0"	""	""	"266"	""	""	"0"	""	""	""	""	""	""
"42"	"30"	"2"	""	""	"19"	""	""	"8"	""	""	"126"	""	""	"4"	""	""	"12"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	"177"	""	""	"0"	""	""	"177"	""	""	"0"	""	""	""	""	""	""
"43"	"31"	"15"	""	""	"178"	""	""	"7"	""	""	"145"	""	""	"12"	""	""	"66"	""	""	"9"	""	""	""	"2"	""	""	""	"11"	""	""	"445"	""	""	"0"	""	""	"445"	""	""	"0"	""	""	""	""	""	""
"44"	"32"	"15"	""	""	"286"	""	""	"10"	""	""	"107"	""	""	"4"	""	""	"6"	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	"435"	""	""	"0"	""	""	"435"	""	""	"0"	""	""	""	""	""	""
"45"	"33"	"18"	""	""	"154"	""	""	"8"	""	""	"206"	""	""	"10"	""	""	"29"	""	""	"5"	""	""	""	"5"	""	""	""	"10"	""	""	"445"	""	""	"0"	""	""	"445"	""	""	"0"	""	""	""	""	""	""
"46"	"34"	"8"	""	""	"34"	""	""	"42"	""	""	"117"	""	""	"6"	""	""	"7"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	"216"	""	""	"0"	""	""	"216"	""	""	"0"	""	""	""	""	""	""
"47"	"35"	"9"	""	""	"309"	""	""	"17"	""	""	"77"	""	""	"5"	""	""	"33"	""	""	"5"	""	""	""	"8"	""	""	""	"14"	""	""	"477"	""	""	"0"	""	""	"477"	""	""	"0"	""	""	""	""	""	""
"48"	"36"	"10"	""	""	"246"	""	""	"7"	""	""	"28"	""	""	"3"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	"301"	""	""	"0"	""	""	"301"	""	""	"0"	""	""	""	""	""	""
"49"	"37"	"10"	""	""	"244"	""	""	"8"	""	""	"93"	""	""	"7"	""	""	"11"	""	""	"4"	""	""	""	"1"	""	""	""	"3"	""	""	"381"	""	""	"0"	""	""	"381"	""	""	"0"	""	""	""	""	""	""
"50"	"38"	"7"	""	""	"116"	""	""	"6"	""	""	"64"	""	""	"2"	""	""	"7"	""	""	"7"	""	""	""	"3"	""	""	""	"5"	""	""	"217"	""	""	"0"	""	""	"217"	""	""	"0"	""	""	""	""	""	""
"51"	"39"	"19"	""	""	"107"	""	""	"16"	""	""	"495"	""	""	"25"	""	""	"20"	""	""	"9"	""	""	""	"7"	""	""	""	"28"	""	""	"726"	""	""	"0"	""	""	"726"	""	""	"0"	""	""	""	""	""	""
"52"	"40"	"12"	""	""	"241"	""	""	"17"	""	""	"163"	""	""	"25"	""	""	"38"	""	""	"13"	""	""	""	"10"	""	""	""	"17"	""	""	"536"	""	""	"0"	""	""	"536"	""	""	"0"	""	""	""	""	""	""
"53"	"41"	"10"	""	""	"123"	""	""	"7"	""	""	"170"	""	""	"18"	""	""	"18"	""	""	"7"	""	""	""	"10"	""	""	""	"13"	""	""	"376"	""	""	"0"	""	""	"376"	""	""	"0"	""	""	""	""	""	""
"54"	"42"	"25"	""	""	"319"	""	""	"31"	""	""	"265"	""	""	"30"	""	""	"50"	""	""	"5"	""	""	""	"2"	""	""	""	"15"	""	""	"742"	""	""	"0"	""	""	"742"	""	""	"0"	""	""	""	""	""	""
"55"	"43"	"4"	""	""	"34"	""	""	"1"	""	""	"113"	""	""	"0"	""	""	"11"	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	"169"	""	""	"0"	""	""	"169"	""	""	"0"	""	""	""	""	""	""
"56"	"44"	"18"	""	""	"323"	""	""	"14"	""	""	"81"	""	""	"10"	""	""	"22"	""	""	"6"	""	""	""	"7"	""	""	""	"19"	""	""	"500"	""	""	"0"	""	""	"500"	""	""	"0"	""	""	""	""	""	""
"57"	"45"	"11"	""	""	"188"	""	""	"8"	""	""	"152"	""	""	"10"	""	""	"35"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	"409"	""	""	"0"	""	""	"409"	""	""	"0"	""	""	""	""	""	""
"58"	"46"	"1"	""	""	"84"	""	""	"0"	""	""	"30"	""	""	"1"	""	""	"38"	""	""	"0"	""	""	""	"1"	""	""	""	"6"	""	""	"161"	""	""	"0"	""	""	"161"	""	""	"0"	""	""	""	""	""	""
"59"	"47"	"7"	""	""	"69"	""	""	"2"	""	""	"75"	""	""	"3"	""	""	"38"	""	""	"4"	""	""	""	"3"	""	""	""	"9"	""	""	"210"	""	""	"0"	""	""	"210"	""	""	"0"	""	""	""	""	""	""
"60"	"48"	"1"	""	""	"131"	""	""	"13"	""	""	"153"	""	""	"29"	""	""	"13"	""	""	"9"	""	""	""	"7"	""	""	""	"10"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	"0"	""	""	""	""	""	""
"61"	"49"	"9"	""	""	"58"	""	""	"3"	""	""	"210"	""	""	"72"	""	""	"22"	""	""	"2"	""	""	""	"3"	""	""	""	"11"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	"0"	""	""	""	""	""	""
"62"	"50"	"20"	""	""	"134"	""	""	"22"	""	""	"325"	""	""	"20"	""	""	"31"	""	""	"12"	""	""	""	"14"	""	""	""	"22"	""	""	"600"	""	""	"0"	""	""	"600"	""	""	"0"	""	""	""	""	""	""
"63"	"51"	"12"	""	""	"318"	""	""	"7"	""	""	"47"	""	""	"11"	""	""	"6"	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	"414"	""	""	"0"	""	""	"414"	""	""	"0"	""	""	""	""	""	""
"64"	"52"	"8"	""	""	"5"	""	""	"4"	""	""	"340"	""	""	"11"	""	""	"4"	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	"379"	""	""	"0"	""	""	"379"	""	""	"0"	""	""	""	""	""	""
"65"	"53"	"3"	""	""	"24"	""	""	"2"	""	""	"50"	""	""	"5"	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	"93"	""	""	"0"	""	""	"93"	""	""	"0"	""	""	""	""	""	""
"66"	"54"	"8"	""	""	"60"	""	""	"4"	""	""	"222"	""	""	"17"	""	""	"16"	""	""	"4"	""	""	""	"3"	""	""	""	"13"	""	""	"347"	""	""	"0"	""	""	"347"	""	""	"0"	""	""	""	""	""	""
"67"	"55"	"15"	""	""	"76"	""	""	"10"	""	""	"196"	""	""	"40"	""	""	"16"	""	""	"5"	""	""	""	"5"	""	""	""	"8"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	"0"	""	""	""	""	""	""
"68"	"56"	"16"	""	""	"184"	""	""	"15"	""	""	"187"	""	""	"12"	""	""	"13"	""	""	"6"	""	""	""	"5"	""	""	""	"17"	""	""	"455"	""	""	"0"	""	""	"455"	""	""	"0"	""	""	""	""	""	""
"69"	"57"	"8"	""	""	"203"	""	""	"6"	""	""	"117"	""	""	"10"	""	""	"26"	""	""	"3"	""	""	""	"3"	""	""	""	"9"	""	""	"385"	""	""	"0"	""	""	"385"	""	""	"0"	""	""	""	""	""	""
"70"	"58"	"7"	""	""	"47"	""	""	"2"	""	""	"131"	""	""	"3"	""	""	"16"	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	"216"	""	""	"0"	""	""	"216"	""	""	"0"	""	""	""	""	""	""
"71"	"59"	"27"	""	""	"168"	""	""	"19"	""	""	"252"	""	""	"40"	""	""	"34"	""	""	"7"	""	""	""	"24"	""	""	""	"9"	""	""	"580"	""	""	"0"	""	""	"580"	""	""	"0"	""	""	""	""	""	""
"72"	"60"	"7"	""	""	"151"	""	""	"10"	""	""	"435"	""	""	"54"	""	""	"27"	""	""	"3"	""	""	""	"6"	""	""	""	"7"	""	""	"700"	""	""	"0"	""	""	"700"	""	""	"0"	""	""	""	""	""	""
"73"	"61"	"21"	""	""	"180"	""	""	"27"	""	""	"369"	""	""	"117"	""	""	"23"	""	""	"12"	""	""	""	"7"	""	""	""	"24"	""	""	"780"	""	""	"0"	""	""	"780"	""	""	"0"	""	""	""	""	""	""
"74"	"62"	"23"	""	""	"61"	""	""	"5"	""	""	"191"	""	""	"68"	""	""	"46"	""	""	"9"	""	""	""	"3"	""	""	""	"20"	""	""	"426"	""	""	"0"	""	""	"426"	""	""	"0"	""	""	""	""	""	""
"75"	"63"	"3"	""	""	"21"	""	""	"3"	""	""	"81"	""	""	"45"	""	""	"22"	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	"180"	""	""	"0"	""	""	"180"	""	""	"0"	""	""	""	""	""	""
"76"	"64"	"10"	""	""	"153"	""	""	"12"	""	""	"212"	""	""	"14"	""	""	"31"	""	""	"8"	""	""	""	"4"	""	""	""	"18"	""	""	"462"	""	""	"0"	""	""	"462"	""	""	"0"	""	""	""	""	""	""
"77"	"65"	"6"	""	""	"45"	""	""	"6"	""	""	"154"	""	""	"10"	""	""	"23"	""	""	"4"	""	""	""	"5"	""	""	""	"4"	""	""	"257"	""	""	"0"	""	""	"257"	""	""	"0"	""	""	""	""	""	""
"78"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"79"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"66"	"0"	""	""	"181"	""	""	"2"	""	""	"42"	""	""	""	"3"	""	"32"	""	""	""	"3"	""	""	""	"0"	""	""	"6"	""	""	"269"	""	""	""	"0"	""	""	"269"	""	"0"	""	""	""	""	""	""
"81"	"67"	"11"	""	""	"161"	""	""	"11"	""	""	"257"	""	""	""	"37"	""	"21"	""	""	""	"8"	""	""	""	"8"	""	""	"18"	""	""	"532"	""	""	""	"0"	""	""	"532"	""	"0"	""	""	""	""	""	""
"82"	"68"	"7"	""	""	"76"	""	""	"6"	""	""	"514"	""	""	""	"16"	""	"13"	""	""	""	"5"	""	""	""	"0"	""	""	"7"	""	""	"644"	""	""	""	"0"	""	""	"644"	""	"0"	""	""	""	""	""	""
"83"	"69"	"12"	""	""	"148"	""	""	"10"	""	""	"351"	""	""	""	"49"	""	"7"	""	""	""	"6"	""	""	""	"2"	""	""	"4"	""	""	"589"	""	""	""	"0"	""	""	"589"	""	"0"	""	""	""	""	""	""
"84"	"70"	"12"	""	""	"45"	""	""	"5"	""	""	"159"	""	""	""	"6"	""	"138"	""	""	""	"7"	""	""	""	"4"	""	""	"4"	""	""	"380"	""	""	""	"0"	""	""	"380"	""	"0"	""	""	""	""	""	""
"85"	"71"	"6"	""	""	"35"	""	""	"18"	""	""	"335"	""	""	""	"7"	""	"78"	""	""	""	"5"	""	""	""	"2"	""	""	"12"	""	""	"498"	""	""	""	"0"	""	""	"498"	""	"0"	""	""	""	""	""	""
"86"	"72"	"9"	""	""	"25"	""	""	"5"	""	""	"185"	""	""	""	"9"	""	"117"	""	""	""	"9"	""	""	""	"3"	""	""	"11"	""	""	"373"	""	""	""	"0"	""	""	"373"	""	"0"	""	""	""	""	""	""
"87"	"73"	"13"	""	""	"102"	""	""	"19"	""	""	"215"	""	""	""	"26"	""	"66"	""	""	""	"8"	""	""	""	"3"	""	""	"11"	""	""	"463"	""	""	""	"0"	""	""	"463"	""	"0"	""	""	""	""	""	""
"88"	"74"	"3"	""	""	"4"	""	""	"0"	""	""	"365"	""	""	""	"3"	""	"8"	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	"391"	""	""	""	"0"	""	""	"391"	""	"0"	""	""	""	""	""	""
"89"	"75"	"6"	""	""	"44"	""	""	"2"	""	""	"203"	""	""	""	"17"	""	"72"	""	""	""	"2"	""	""	""	"3"	""	""	"1"	""	""	"350"	""	""	""	"0"	""	""	"350"	""	"0"	""	""	""	""	""	""
"90"	"76"	"2"	""	""	"37"	""	""	"4"	""	""	"144"	""	""	""	"47"	""	"9"	""	""	""	"4"	""	""	""	"1"	""	""	"5"	""	""	"253"	""	""	""	"0"	""	""	"253"	""	"0"	""	""	""	""	""	""
"91"	"77"	"10"	""	""	"370"	""	""	"9"	""	""	"74"	""	""	""	"0"	""	"16"	""	""	""	"3"	""	""	""	"1"	""	""	"4"	""	""	"487"	""	""	""	"0"	""	""	"487"	""	"0"	""	""	""	""	""	""
