"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"45"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"46"	"38"	"8"	"198"	"14"	"4"	"22"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"49"	"301"	"0"	"301"	"0"
"47"	"39"	"7"	"209"	"10"	"2"	"13"	"3"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"40"	"291"	"0"	"291"	"0"
"48"	"39A"	"10"	"186"	"14"	"1"	"33"	"1"	"3"	"2"	"1"	"0"	"0"	"2"	"3"	"0"	"45"	"301"	"0"	"301"	"0"
"49"	"40"	"2"	"257"	"10"	"2"	"41"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"6"	"2"	"43"	"368"	"0"	"368"	"0"
"50"	"41"	"9"	"420"	"49"	"4"	"52"	"5"	"1"	"1"	"0"	"0"	"0"	"2"	"9"	"2"	"41"	"595"	"0"	"595"	"0"
"51"	"42"	"2"	"303"	"50"	"4"	"15"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"27"	"405"	"0"	"405"	"0"
"52"	"43"	"3"	"344"	"44"	"0"	"23"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"3"	"1"	"21"	"445"	"0"	"445"	"0"
"53"	"44"	"1"	"348"	"57"	"2"	"27"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"38"	"483"	"0"	"483"	"0"
"54"	"45"	"7"	"285"	"36"	"8"	"35"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"3"	"4"	"50"	"437"	"0"	"437"	"0"
"55"	"46"	"1"	"194"	"15"	"3"	"10"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"20"	"246"	"0"	"246"	"0"
"56"	"47"	"0"	"156"	"20"	"4"	"24"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"5"	"0"	"28"	"241"	"0"	"241"	"0"
"57"	"48"	"2"	"321"	"33"	"1"	"10"	"3"	"1"	"0"	"9"	"0"	"1"	"0"	"5"	"2"	"13"	"401"	"0"	"401"	"0"
"58"	"49"	"1"	"324"	"33"	"0"	"26"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"17"	"410"	"0"	"410"	"0"
"59"	"50"	"2"	"379"	"27"	"8"	"19"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"19"	"458"	"0"	"458"	"0"
"60"	"51"	"0"	"248"	"33"	"8"	"16"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"8"	"317"	"0"	"317"	"0"
"61"	"52"	"0"	"237"	"28"	"10"	"34"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"16"	"332"	"0"	"332"	"0"
"62"	"53"	"2"	"332"	"34"	"1"	"16"	"2"	"2"	"3"	"0"	"0"	"1"	"2"	"1"	"1"	"10"	"407"	"0"	"407"	"0"
"63"	"54"	"1"	"350"	"50"	"0"	"8"	"0"	"6"	"1"	"0"	"0"	"1"	"1"	"5"	"0"	"47"	"470"	"0"	"470"	"0"
"64"	"55"	"2"	"309"	"43"	"2"	"14"	"0"	"3"	"2"	"0"	"2"	"0"	"0"	"2"	"3"	"29"	"411"	"0"	"411"	"0"
"65"	"56"	"1"	"418"	"31"	"6"	"29"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"4"	"503"	"0"	"503"	"0"
"66"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"67"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"68"	"57"	"0"	"215"	"36"	"0"	"42"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"3"	"0"	"14"	"315"	"0"	"315"	"0"
"69"	"58"	"6"	"191"	"42"	"5"	"32"	"2"	"2"	"2"	"186"	"2"	"1"	"5"	"2"	"7"	"31"	"516"	"0"	"516"	"0"
"70"	"59"	"1"	"82"	"15"	"0"	"12"	"1"	"2"	"1"	"120"	"0"	"1"	"0"	"1"	"3"	"9"	"248"	"0"	"248"	"0"
"71"	"60"	"0"	"279"	"25"	"0"	"22"	"4"	"1"	"0"	"85"	"0"	"0"	"0"	"5"	"1"	"38"	"460"	"0"	"460"	"0"
"72"	"61"	"1"	"172"	"29"	"1"	"27"	"3"	"3"	"6"	"198"	"1"	"0"	"5"	"3"	"8"	"12"	"469"	"0"	"469"	"0"
"73"	"62"	"5"	"77"	"31"	"2"	"30"	"1"	"0"	"4"	"310"	"2"	"0"	"4"	"2"	"1"	"9"	"478"	"0"	"478"	"0"
"74"	"63"	"4"	"147"	"34"	"3"	"24"	"4"	"3"	"23"	"112"	"1"	"0"	"0"	"1"	"0"	"19"	"375"	"0"	"375"	"0"
"75"	"64"	"4"	"228"	"26"	"2"	"28"	"5"	"4"	"5"	"163"	"4"	"2"	"4"	"1"	"1"	"23"	"500"	"0"	"500"	"0"
"76"	"65"	"0"	"138"	"35"	"2"	"18"	"0"	"3"	"6"	"133"	"4"	"2"	"4"	"0"	"1"	"14"	"360"	"0"	"360"	"0"
"77"	"66"	"7"	"397"	"18"	"2"	"37"	"0"	"0"	"3"	"28"	"1"	"1"	"2"	"3"	"6"	"47"	"552"	"0"	"552"	"0"
"78"	"67"	"1"	"128"	"41"	"4"	"34"	"2"	"2"	"17"	"121"	"2"	"2"	"0"	"1"	"3"	"23"	"381"	"0"	"381"	"0"
"79"	"68"	"2"	"117"	"24"	"3"	"29"	"3"	"7"	"28"	"70"	"0"	"0"	"1"	"8"	"1"	"29"	"322"	"0"	"322"	"0"
"80"	"68A"	"1"	"90"	"7"	"0"	"18"	"0"	"1"	"19"	"34"	"0"	"1"	"0"	"1"	"0"	"4"	"176"	"0"	"176"	"0"
"81"	"69"	"3"	"208"	"38"	"2"	"15"	"1"	"4"	"2"	"53"	"2"	"0"	"3"	"4"	"3"	"33"	"371"	"0"	"371"	"0"
"82"	"70"	"8"	"343"	"48"	"1"	"26"	"0"	"0"	"0"	"5"	"1"	"1"	"1"	"0"	"2"	"29"	"465"	"0"	"465"	"0"
"83"	"71"	"0"	"280"	"24"	"1"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"65"	"385"	"0"	"385"	"0"
"84"	"72"	"2"	"248"	"22"	"0"	"25"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"56"	"364"	"0"	"364"	"0"
"85"	"73"	"1"	"173"	"34"	"0"	"23"	"1"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"34"	"273"	"0"	"273"	"0"
"86"	"73A"	"2"	"161"	"31"	"0"	"12"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"31"	"242"	"0"	"242"	"0"
"87"	"74"	"2"	"195"	"16"	"0"	"55"	"2"	"1"	"5"	"1"	"1"	"0"	"4"	"1"	"1"	"62"	"346"	"0"	"346"	"0"
"88"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"89"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"90"	"75"	"0"	"301"	"35"	"3"	"50"	"3"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"4"	"44"	"447"	"0"	"447"	"0"
"91"	"76"	"5"	"205"	"30"	"3"	"18"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"66"	"335"	"0"	"335"	"0"
"92"	"77"	"1"	"149"	"26"	"2"	"15"	"0"	"2"	"4"	"0"	"0"	"0"	"1"	"1"	"2"	"42"	"245"	"0"	"245"	"0"
"93"	"78"	"6"	"326"	"70"	"0"	"63"	"5"	"3"	"6"	"0"	"1"	"1"	"3"	"0"	"0"	"22"	"506"	"0"	"506"	"0"
"94"	"79"	"3"	"210"	"24"	"1"	"80"	"9"	"4"	"2"	"1"	"0"	"1"	"1"	"3"	"2"	"20"	"361"	"0"	"361"	"0"
"95"	"80"	"2"	"86"	"18"	"0"	"24"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"19"	"153"	"0"	"153"	"0"
"96"	"81"	"1"	"160"	"17"	"0"	"33"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"59"	"274"	"0"	"274"	"0"
"97"	"82"	"1"	"155"	"22"	"0"	"22"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"68"	"271"	"0"	"271"	"0"
"98"	"83"	"0"	"148"	"15"	"0"	"17"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"59"	"246"	"0"	"246"	"0"
"99"	"84"	"0"	"252"	"21"	"0"	"14"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"60"	"357"	"0"	"357"	"0"
"100"	"85"	"2"	"245"	"29"	"0"	"28"	"2"	"3"	"2"	"2"	"1"	"0"	"1"	"3"	"1"	"87"	"406"	"0"	"406"	"0"
"101"	"86"	"3"	"183"	"20"	"0"	"13"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"1"	"121"	"350"	"0"	"350"	"0"
"102"	"87"	"0"	"263"	"26"	"0"	"37"	"1"	"0"	"2"	"0"	"0"	"1"	"3"	"1"	"5"	"53"	"392"	"0"	"392"	"0"
"103"	"88"	"1"	"336"	"30"	"1"	"36"	"2"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"61"	"477"	"0"	"477"	"0"
"104"	"89"	"8"	"173"	"15"	"1"	"138"	"7"	"2"	"0"	"0"	"0"	"0"	"3"	"4"	"4"	"14"	"369"	"0"	"369"	"0"
"105"	"90"	"3"	"177"	"14"	"1"	"87"	"11"	"3"	"2"	"1"	"1"	"5"	"5"	"3"	"1"	"12"	"326"	"0"	"326"	"0"
"106"	"91"	"0"	"149"	"36"	"0"	"37"	"3"	"2"	"0"	"4"	"0"	"0"	"1"	"3"	"1"	"26"	"262"	"0"	"262"	"0"
"107"	"92"	"1"	"98"	"19"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"8"	"135"	"0"	"135"	"0"
"108"	"93"	"2"	"165"	"42"	"1"	"82"	"7"	"0"	"3"	"1"	"3"	"0"	"1"	"3"	"0"	"23"	"333"	"0"	"333"	"0"
"109"	"94"	"6"	"183"	"25"	"1"	"17"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"22"	"259"	"0"	"259"	"0"
"110"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"111"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"112"	"95"	"0"	"263"	"46"	"0"	"33"	"2"	"5"	"3"	"2"	"0"	"1"	"2"	"4"	"4"	"46"	"411"	"0"	"411"	"0"
"113"	"96"	"3"	"129"	"24"	"0"	"14"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"25"	"200"	"0"	"200"	"0"
"114"	"97"	"4"	"168"	"26"	"29"	"55"	"13"	"4"	"2"	"1"	"2"	"0"	"2"	"2"	"9"	"12"	"329"	"0"	"329"	"0"
"115"	"98"	"0"	"171"	"11"	"1"	"15"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"4"	"0"	"16"	"222"	"0"	"222"	"0"
"116"	"99"	"3"	"333"	"17"	"4"	"43"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"6"	"1"	"14"	"425"	"0"	"425"	"0"
"117"	"100"	"13"	"327"	"39"	"4"	"45"	"6"	"6"	"6"	"25"	"3"	"1"	"3"	"6"	"10"	"29"	"523"	"0"	"523"	"0"
"118"	"101"	"3"	"458"	"20"	"0"	"13"	"2"	"4"	"1"	"2"	"0"	"0"	"2"	"5"	"4"	"36"	"550"	"0"	"550"	"0"
"119"	"102"	"0"	"276"	"17"	"0"	"33"	"0"	"1"	"2"	"1"	"0"	"2"	"3"	"3"	"0"	"15"	"353"	"0"	"353"	"0"
"120"	"102A"	"3"	"202"	"8"	"0"	"16"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"24"	"260"	"0"	"260"	"0"
"121"	"103"	"6"	"298"	"20"	"0"	"25"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"25"	"385"	"0"	"385"	"0"
"122"	"104"	"1"	"347"	"23"	"2"	"45"	"0"	"4"	"2"	"0"	"1"	"0"	"3"	"4"	"2"	"50"	"484"	"0"	"484"	"0"
"123"	"105"	"2"	"253"	"31"	"0"	"38"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"3"	"5"	"21"	"360"	"0"	"360"	"0"
"124"	"106"	"1"	"242"	"42"	"0"	"46"	"4"	"3"	"2"	"4"	"1"	"0"	"0"	"1"	"6"	"35"	"387"	"0"	"387"	"0"
"125"	"107"	"4"	"347"	"32"	"1"	"56"	"3"	"5"	"2"	"5"	"0"	"0"	"4"	"12"	"6"	"17"	"494"	"0"	"494"	"0"
"126"	"108"	"6"	"366"	"33"	"0"	"24"	"4"	"4"	"1"	"2"	"0"	"2"	"4"	"8"	"2"	"26"	"482"	"0"	"482"	"0"
"127"	"109"	"1"	"276"	"39"	"1"	"44"	"3"	"3"	"3"	"3"	"1"	"0"	"0"	"0"	"5"	"5"	"384"	"0"	"384"	"0"
"128"	"110"	"0"	"381"	"29"	"3"	"78"	"6"	"3"	"0"	"14"	"1"	"2"	"3"	"6"	"5"	"6"	"537"	"0"	"537"	"0"
"129"	"111"	"3"	"222"	"14"	"0"	"31"	"1"	"1"	"0"	"8"	"0"	"1"	"0"	"3"	"0"	"5"	"289"	"0"	"289"	"0"
"130"	"112"	"2"	"356"	"33"	"2"	"25"	"1"	"3"	"3"	"48"	"2"	"1"	"6"	"3"	"0"	"11"	"496"	"0"	"496"	"0"
"131"	"113"	"1"	"372"	"26"	"2"	"77"	"11"	"0"	"3"	"4"	"0"	"3"	"3"	"8"	"2"	"45"	"557"	"0"	"557"	"0"
"132"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"133"	""	"AKHILESHWA R KUMAR"	"PUNAM DEVI"	"RAJESH
KUMAR SINHA"	"SANJAY KUMAR"	"SATYA NAND SHARMA"	"BRAHMANAN
D SINGH ALIAS KAKKU SINGH"	"MAYA
SHRIVASTAV A"	"MURTAJA ALI"	"MD. DANISH KHAN"	"SHUBH NARAYAN SINGH YADAV"	"ANIL KUMAR"	"ABHITAB NIRANJAN"	"RANJAN KUMAR"	"RAJIB
RANJAN SINHA"	"HARENDRA PRASAD SINGH"	""	""	""	""
"134"	"114"	"1"	"243"	"15"	"0"	"38"	"5"	"2"	"4"	"15"	"1"	"1"	"4"	"4"	"2"	"25"	"360"	"0"	"360"	"0"
"135"	"115"	"1"	"293"	"12"	"3"	"24"	"1"	"2"	"10"	"8"	"0"	"2"	"2"	"6"	"2"	"15"	"381"	"0"	"381"	"0"
"136"	"116"	"3"	"258"	"17"	"0"	"68"	"7"	"4"	"2"	"5"	"0"	"1"	"0"	"3"	"3"	"6"	"377"	"0"	"377"	"0"
"137"	"117"	"1"	"151"	"12"	"0"	"105"	"11"	"3"	"5"	"3"	"2"	"1"	"3"	"3"	"4"	"19"	"323"	"0"	"323"	"0"
"138"	"118"	"9"	"243"	"25"	"1"	"176"	"16"	"3"	"5"	"9"	"4"	"3"	"4"	"11"	"3"	"12"	"524"	"0"	"524"	"0"
"139"	"119"	"3"	"354"	"31"	"0"	"124"	"9"	"9"	"5"	"6"	"4"	"4"	"2"	"9"	"3"	"97"	"660"	"0"	"660"	"0"
"140"	"120"	"3"	"387"	"25"	"4"	"50"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"3"	"2"	"35"	"518"	"0"	"518"	"0"
"141"	"121"	"5"	"331"	"37"	"4"	"49"	"11"	"7"	"1"	"2"	"1"	"3"	"2"	"8"	"5"	"14"	"480"	"0"	"480"	"0"
"142"	"122"	"2"	"295"	"14"	"2"	"79"	"5"	"1"	"5"	"4"	"2"	"1"	"3"	"6"	"7"	"16"	"442"	"0"	"442"	"0"
"143"	"123"	"1"	"195"	"10"	"2"	"100"	"7"	"2"	"3"	"70"	"2"	"4"	"3"	"6"	"3"	"21"	"429"	"0"	"429"	"0"
"144"	"124"	"2"	"134"	"15"	"1"	"103"	"4"	"3"	"1"	"81"	"0"	"2"	"1"	"5"	"3"	"29"	"384"	"0"	"384"	"0"
"145"	"125"	"8"	"169"	"50"	"1"	"129"	"12"	"4"	"5"	"85"	"0"	"3"	"2"	"11"	"6"	"8"	"493"	"0"	"493"	"0"
"146"	"126"	"6"	"97"	"24"	"4"	"172"	"21"	"3"	"11"	"62"	"12"	"4"	"3"	"14"	"8"	"12"	"453"	"0"	"453"	"0"
