"Total.No..of.Electors.in.Assembly.Constituency........199137"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"41"	"23"	"54"	"0"	"1"	"8"	"160"	"11"	"2"	"1"	"3"	"4"	"3"	"5"	"2"	"10"	"262"	"526"	"0"	"526"	"0"	""
"42"	"24"	"90"	"24"	"111"	"3"	"121"	"11"	"1"	"3"	"5"	"3"	"4"	"4"	"1"	"9"	"105"	"495"	"0"	"495"	"0"	""
"43"	"25"	"179"	"4"	"52"	"18"	"89"	"4"	"2"	"5"	"7"	"5"	"1"	"2"	"4"	"6"	"318"	"696"	"0"	"696"	"0"	""
"44"	"26"	"21"	"3"	"2"	"28"	"18"	"6"	"1"	"2"	"3"	"5"	"0"	"4"	"0"	"13"	"261"	"367"	"0"	"367"	"0"	""
"45"	"27"	"272"	"10"	"11"	"17"	"167"	"5"	"2"	"5"	"3"	"2"	"2"	"5"	"1"	"3"	"36"	"541"	"0"	"541"	"0"	""
"46"	"Total"	"1413"	"72"	"474"	"278"	"1851"	"64"	"16"	"32"	"52"	"37"	"32"	"77"	"25"	"104"	"2831"	"7358"	"0"	"7358"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"57"	"28"	"228"	"6"	"7"	"5"	"360"	"9"	"6"	"1"	"0"	"3"	"3"	"15"	"1"	"4"	"9"	"657"	"0"	"657"	"0"	""
"58"	"29"	"128"	"9"	"5"	"156"	"33"	"2"	"1"	"2"	"2"	"4"	"0"	"10"	"3"	"3"	"288"	"646"	"0"	"646"	"0"	""
"59"	"30"	"116"	"7"	"75"	"15"	"25"	"3"	"2"	"2"	"7"	"5"	"4"	"5"	"2"	"16"	"200"	"484"	"0"	"484"	"0"	""
"60"	"31"	"87"	"2"	"1"	"10"	"201"	"3"	"2"	"1"	"5"	"5"	"4"	"2"	"5"	"7"	"127"	"462"	"0"	"462"	"0"	""
"61"	"32"	"105"	"4"	"12"	"45"	"613"	"10"	"3"	"7"	"7"	"2"	"6"	"8"	"3"	"0"	"13"	"838"	"0"	"838"	"0"	""
"62"	"33"	"180"	"3"	"3"	"14"	"550"	"2"	"1"	"1"	"8"	"2"	"9"	"7"	"2"	"8"	"15"	"805"	"0"	"805"	"0"	""
"63"	"34"	"232"	"4"	"2"	"33"	"463"	"6"	"3"	"5"	"11"	"5"	"16"	"21"	"2"	"11"	"24"	"838"	"0"	"838"	"0"	""
"64"	"35"	"141"	"5"	"7"	"15"	"483"	"12"	"5"	"4"	"7"	"4"	"3"	"6"	"1"	"5"	"24"	"722"	"0"	"722"	"0"	""
"65"	"36"	"195"	"10"	"6"	"13"	"144"	"5"	"1"	"2"	"4"	"0"	"3"	"8"	"2"	"7"	"186"	"586"	"0"	"586"	"0"	""
"66"	"37"	"309"	"5"	"11"	"24"	"143"	"19"	"2"	"5"	"6"	"4"	"1"	"6"	"0"	"4"	"178"	"717"	"0"	"717"	"0"	""
"67"	"38"	"378"	"14"	"31"	"10"	"231"	"13"	"3"	"6"	"10"	"4"	"8"	"8"	"5"	"12"	"144"	"877"	"0"	"877"	"0"	""
"68"	"39"	"84"	"1"	"12"	"10"	"228"	"6"	"2"	"1"	"5"	"2"	"3"	"17"	"0"	"5"	"38"	"414"	"0"	"414"	"0"	""
"69"	"39 A"	"72"	"5"	"3"	"14"	"108"	"1"	"0"	"4"	"4"	"0"	"1"	"2"	"2"	"10"	"249"	"475"	"0"	"475"	"0"	""
"70"	"40"	"124"	"1"	"6"	"33"	"460"	"10"	"5"	"2"	"14"	"5"	"19"	"24"	"6"	"9"	"9"	"727"	"0"	"727"	"0"	""
"71"	"Total"	"2379"	"76"	"181"	"397"	"4042"	"101"	"36"	"43"	"90"	"45"	"80"	"139"	"34"	"101"	"1504"	"9248"	"0"	"9248"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"82"	"41"	"114"	"1"	"2"	"4"	"159"	"5"	"0"	"4"	"10"	"1"	"6"	"0"	"1"	"8"	"72"	"387"	"0"	"387"	"0"	""
"83"	"42"	"129"	"8"	"8"	"17"	"29"	"1"	"2"	"3"	"4"	"5"	"3"	"8"	"11"	"36"	"592"	"856"	"0"	"856"	"0"	""
"84"	"43"	"324"	"4"	"16"	"76"	"274"	"6"	"3"	"4"	"10"	"4"	"4"	"10"	"3"	"9"	"7"	"754"	"0"	"754"	"0"	""
"85"	"44"	"204"	"2"	"4"	"177"	"17"	"6"	"3"	"4"	"10"	"2"	"5"	"19"	"7"	"7"	"74"	"541"	"0"	"541"	"0"	""
"86"	"45"	"107"	"4"	"2"	"133"	"10"	"6"	"0"	"2"	"3"	"2"	"1"	"7"	"1"	"4"	"99"	"381"	"0"	"381"	"0"	""
"87"	"46"	"56"	"5"	"5"	"77"	"8"	"6"	"1"	"1"	"2"	"1"	"2"	"7"	"0"	"3"	"227"	"401"	"0"	"401"	"0"	""
"88"	"46 A"	"47"	"5"	"1"	"6"	"9"	"0"	"0"	"2"	"2"	"6"	"2"	"0"	"3"	"15"	"299"	"397"	"0"	"397"	"0"	""
"89"	"47"	"464"	"3"	"3"	"8"	"15"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"24"	"522"	"0"	"522"	"0"	""
"90"	"48"	"318"	"14"	"22"	"6"	"91"	"0"	"1"	"7"	"5"	"1"	"1"	"4"	"5"	"10"	"142"	"627"	"0"	"627"	"0"	""
"91"	"49"	"136"	"7"	"2"	"1"	"44"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"283"	"480"	"0"	"480"	"0"	""
"92"	"50"	"117"	"3"	"8"	"68"	"320"	"10"	"8"	"9"	"11"	"4"	"2"	"4"	"3"	"7"	"35"	"609"	"0"	"609"	"0"	""
"93"	"51"	"68"	"1"	"6"	"27"	"220"	"7"	"2"	"2"	"3"	"3"	"0"	"7"	"1"	"2"	"10"	"359"	"0"	"359"	"0"	""
"94"	"51 A"	"160"	"29"	"39"	"54"	"151"	"3"	"2"	"5"	"5"	"2"	"4"	"5"	"3"	"2"	"13"	"477"	"0"	"477"	"0"	""
"95"	"52"	"25"	"1"	"6"	"8"	"19"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"4"	"197"	"269"	"0"	"269"	"0"	""
"96"	"Total"	"2269"	"87"	"124"	"662"	"1366"	"55"	"22"	"47"	"66"	"33"	"30"	"75"	"40"	"110"	"2074"	"7060"	"0"	"7060"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"107"	"53"	"127"	"6"	"13"	"6"	"261"	"5"	"0"	"5"	"5"	"2"	"7"	"4"	"0"	"7"	"12"	"460"	"0"	"460"	"0"	""
"108"	"53 A"	"121"	"6"	"3"	"10"	"245"	"7"	"4"	"7"	"20"	"7"	"10"	"5"	"2"	"7"	"42"	"496"	"0"	"496"	"0"	""
"109"	"54"	"166"	"5"	"59"	"11"	"156"	"6"	"1"	"2"	"8"	"2"	"1"	"3"	"2"	"2"	"32"	"456"	"0"	"456"	"0"	""
"110"	"55"	"62"	"10"	"18"	"14"	"199"	"1"	"0"	"2"	"5"	"2"	"1"	"4"	"1"	"8"	"84"	"411"	"0"	"411"	"0"	""
"111"	"56"	"82"	"1"	"12"	"5"	"117"	"0"	"0"	"3"	"6"	"3"	"2"	"6"	"2"	"10"	"246"	"495"	"0"	"495"	"0"	""
"112"	"57"	"120"	"3"	"8"	"14"	"184"	"4"	"1"	"6"	"5"	"2"	"0"	"3"	"2"	"7"	"79"	"438"	"0"	"438"	"0"	""
"113"	"58"	"117"	"6"	"9"	"8"	"186"	"6"	"4"	"3"	"7"	"3"	"7"	"11"	"7"	"11"	"275"	"660"	"0"	"660"	"0"	""
"114"	"59"	"17"	"0"	"6"	"27"	"175"	"1"	"0"	"0"	"1"	"3"	"3"	"1"	"2"	"4"	"41"	"281"	"0"	"281"	"0"	""
"115"	"60"	"59"	"3"	"2"	"8"	"264"	"3"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"33"	"379"	"0"	"379"	"0"	""
"116"	"61"	"274"	"8"	"16"	"25"	"216"	"3"	"0"	"4"	"9"	"2"	"1"	"7"	"2"	"8"	"26"	"601"	"0"	"601"	"0"	""
"117"	"62"	"10"	"5"	"0"	"24"	"16"	"35"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"3"	"139"	"241"	"0"	"241"	"0"	""
"118"	"63"	"215"	"7"	"4"	"47"	"352"	"9"	"6"	"6"	"16"	"5"	"6"	"10"	"2"	"13"	"78"	"776"	"0"	"776"	"0"	""
"119"	"64"	"205"	"8"	"23"	"51"	"245"	"6"	"5"	"5"	"12"	"7"	"6"	"13"	"3"	"9"	"149"	"747"	"0"	"747"	"0"	""
"120"	"65"	"387"	"5"	"26"	"19"	"93"	"34"	"2"	"4"	"6"	"3"	"3"	"3"	"6"	"5"	"105"	"701"	"0"	"701"	"0"	""
"121"	"Total"	"1962"	"73"	"199"	"269"	"2709"	"120"	"25"	"49"	"103"	"42"	"47"	"73"	"34"	"96"	"1341"	"7142"	"0"	"7142"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"132"	"66"	"142"	"6"	"5"	"36"	"31"	"20"	"3"	"1"	"3"	"4"	"1"	"3"	"6"	"16"	"247"	"524"	"0"	"524"	"0"	""
"133"	"67"	"81"	"6"	"5"	"10"	"59"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"2"	"3"	"108"	"280"	"0"	"280"	"0"	""
"134"	"68"	"539"	"7"	"13"	"8"	"118"	"4"	"2"	"5"	"8"	"9"	"5"	"10"	"6"	"11"	"136"	"881"	"0"	"881"	"0"	""
"135"	"69"	"400"	"2"	"0"	"6"	"115"	"3"	"1"	"2"	"7"	"0"	"0"	"5"	"3"	"3"	"14"	"561"	"0"	"561"	"0"	""
"136"	"70"	"223"	"5"	"14"	"53"	"179"	"19"	"1"	"7"	"12"	"6"	"3"	"8"	"5"	"17"	"167"	"719"	"0"	"719"	"0"	""
"137"	"71"	"392"	"2"	"0"	"37"	"135"	"4"	"3"	"1"	"2"	"3"	"1"	"9"	"3"	"5"	"40"	"637"	"0"	"637"	"0"	""
"138"	"72"	"73"	"9"	"9"	"86"	"281"	"6"	"2"	"3"	"9"	"2"	"6"	"6"	"3"	"4"	"106"	"605"	"0"	"605"	"0"	""
"139"	"73"	"135"	"7"	"30"	"27"	"300"	"5"	"3"	"2"	"5"	"3"	"5"	"10"	"1"	"6"	"56"	"595"	"0"	"595"	"0"	""
"140"	"74"	"56"	"0"	"21"	"6"	"352"	"6"	"1"	"2"	"3"	"0"	"3"	"5"	"2"	"3"	"60"	"520"	"0"	"520"	"0"	""
"141"	"75"	"22"	"3"	"23"	"23"	"212"	"10"	"2"	"2"	"7"	"3"	"2"	"4"	"1"	"4"	"60"	"378"	"0"	"378"	"0"	""
"142"	"76"	"61"	"8"	"19"	"14"	"144"	"2"	"6"	"3"	"6"	"0"	"4"	"7"	"4"	"13"	"198"	"489"	"0"	"489"	"0"	""
"143"	"77"	"55"	"0"	"0"	"13"	"113"	"1"	"1"	"3"	"1"	"0"	"2"	"11"	"6"	"0"	"34"	"240"	"0"	"240"	"0"	""
"144"	"78"	"82"	"4"	"17"	"29"	"276"	"10"	"4"	"10"	"13"	"2"	"4"	"7"	"6"	"11"	"43"	"518"	"0"	"518"	"0"	""
"145"	"79"	"132"	"4"	"9"	"32"	"131"	"3"	"3"	"0"	"5"	"3"	"0"	"3"	"3"	"3"	"12"	"343"	"0"	"343"	"0"	""
"146"	"Total"	"2393"	"63"	"165"	"380"	"2446"	"93"	"32"	"43"	"81"	"37"	"37"	"89"	"51"	"99"	"1281"	"7290"	"0"	"7290"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
