"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"36"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"37"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"38"	"28"	""	"3"	"6"	"10"	"126"	"64"	"7"	"1"	"4"	"3"	"4"	"13"	"5"	""	"13"	"16"	"8"	"8"	"7"	"159"	"9"	"466"
"39"	"29"	""	"9"	"6"	"14"	"168"	"156"	"13"	"10"	"4"	"4"	"7"	"11"	"20"	""	"7"	"17"	"10"	"28"	"7"	"26"	"119"	"636"
"40"	"30"	""	"15"	"8"	"12"	"126"	"33"	"11"	"5"	"8"	"7"	"13"	"15"	"17"	""	"18"	"17"	"8"	"16"	"6"	"13"	"65"	"413"
"41"	"31"	""	"6"	"5"	"34"	"184"	"93"	"7"	"10"	"6"	"2"	"5"	"3"	"1"	""	"11"	"7"	"0"	"8"	"3"	"7"	"21"	"413"
"42"	"32"	""	"0"	"1"	"1"	"130"	"56"	"0"	"0"	"2"	"0"	"3"	"2"	"4"	""	"5"	"6"	"2"	"3"	"1"	"17"	"12"	"245"
"43"	"33"	""	"2"	"7"	"7"	"401"	"59"	"9"	"3"	"3"	"6"	"7"	"9"	"10"	""	"15"	"11"	"4"	"19"	"7"	"58"	"73"	"710"
"44"	"34"	""	"19"	"12"	"7"	"137"	"111"	"12"	"4"	"5"	"2"	"3"	"7"	"4"	""	"11"	"8"	"10"	"18"	"14"	"66"	"13"	"463"
"45"	"35"	""	"10"	"3"	"15"	"91"	"42"	"8"	"4"	"4"	"3"	"4"	"13"	"12"	""	"10"	"15"	"14"	"28"	"3"	"48"	"47"	"374"
"46"	"36"	""	"10"	"4"	"6"	"168"	"37"	"4"	"8"	"2"	"2"	"3"	"15"	"10"	""	"18"	"6"	"3"	"2"	"7"	"52"	"51"	"408"
"47"	"37"	""	"10"	"5"	"4"	"156"	"83"	"17"	"13"	"5"	"8"	"8"	"13"	"13"	""	"12"	"10"	"8"	"22"	"3"	"28"	"12"	"430"
"48"	"38"	""	"4"	"2"	"26"	"202"	"102"	"3"	"3"	"2"	"4"	"4"	"2"	"2"	""	"2"	"4"	"4"	"3"	"18"	"65"	"25"	"477"
"49"	"39"	""	"9"	"13"	"34"	"363"	"58"	"18"	"11"	"3"	"5"	"5"	"4"	"10"	""	"7"	"4"	"8"	"14"	"6"	"32"	"66"	"670"
"50"	"40"	""	"0"	"4"	"9"	"180"	"108"	"6"	"3"	"4"	"2"	"1"	"7"	"0"	""	"4"	"3"	"3"	"10"	"2"	"17"	"10"	"373"
"51"	"41"	""	"9"	"21"	"21"	"146"	"103"	"6"	"10"	"1"	"2"	"1"	"6"	"1"	""	"2"	"4"	"0"	"2"	"0"	"27"	"4"	"366"
"52"	"42"	""	"0"	"2"	"0"	"134"	"21"	"4"	"0"	"3"	"0"	"2"	"3"	"4"	""	"6"	"3"	"0"	"5"	"5"	"16"	"15"	"223"
"53"	"43"	""	"2"	"0"	"47"	"36"	"36"	"4"	"2"	"4"	"6"	"4"	"7"	"4"	""	"6"	"3"	"3"	"7"	"1"	"13"	"16"	"201"
"54"	"44"	""	"4"	"1"	"0"	"13"	"249"	"10"	"2"	"1"	"0"	"0"	"1"	"0"	""	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"287"
"55"	"45"	""	"0"	"15"	"13"	"15"	"264"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	""	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"316"
"56"	"45"	"A"	"0"	"2"	"10"	"13"	"324"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	""	"9"	"2"	"0"	"0"	"0"	"1"	"0"	"365"
"57"	"46"	""	"8"	"11"	"3"	"37"	"80"	"8"	"8"	"6"	"3"	"11"	"7"	"12"	""	"6"	"26"	"13"	"39"	"15"	"115"	"89"	"497"
"58"	"47"	""	"9"	"5"	"6"	"53"	"167"	"15"	"12"	"2"	"7"	"13"	"18"	"23"	""	"17"	"24"	"12"	"38"	"14"	"82"	"91"	"608"
"59"	"48"	""	"1"	"0"	"1"	"0"	"13"	"1"	"2"	"3"	"0"	"2"	"75"	"3"	""	"1"	"5"	"2"	"8"	"2"	"68"	"113"	"300"
"60"	"49"	""	"4"	"0"	"9"	"2"	"7"	"1"	"0"	"0"	"1"	"4"	"14"	"11"	""	"1"	"4"	"2"	"5"	"6"	"12"	"226"	"309"
"61"	"50"	""	"7"	"6"	"6"	"7"	"42"	"4"	"3"	"4"	"3"	"5"	"23"	"17"	""	"15"	"26"	"11"	"40"	"7"	"124"	"94"	"444"
"62"	"51"	""	"2"	"4"	"1"	"5"	"7"	"3"	"0"	"0"	"1"	"2"	"7"	"16"	""	"8"	"106"	"4"	"12"	"4"	"8"	"61"	"251"
"63"	"52"	""	"14"	"11"	"22"	"15"	"11"	"7"	"1"	"2"	"4"	"9"	"37"	"12"	""	"17"	"24"	"7"	"28"	"17"	"49"	"183"	"470"
"64"	"53"	""	"3"	"18"	"25"	"74"	"117"	"18"	"4"	"3"	"11"	"9"	"25"	"25"	""	"33"	"26"	"15"	"26"	"10"	"104"	"70"	"616"
"65"	"54"	""	"17"	"7"	"6"	"92"	"231"	"18"	"4"	"1"	"2"	"4"	"6"	"6"	""	"4"	"6"	"3"	"4"	"16"	"76"	"22"	"525"
"66"	"55"	""	"10"	"15"	"2"	"108"	"153"	"14"	"16"	"6"	"2"	"7"	"6"	"22"	""	"16"	"11"	"6"	"24"	"14"	"34"	"91"	"557"
"67"	"56"	""	"6"	"10"	"4"	"61"	"68"	"8"	"5"	"2"	"0"	"17"	"11"	"19"	""	"7"	"21"	"8"	"16"	"8"	"45"	"99"	"415"
"68"	"57"	""	"4"	"10"	"1"	"23"	"356"	"18"	"21"	"4"	"1"	"1"	"9"	"8"	""	"48"	"7"	"0"	"6"	"2"	"32"	"6"	"557"
"69"	"58"	""	"21"	"17"	"25"	"103"	"126"	"117"	"32"	"5"	"4"	"7"	"11"	"11"	""	"6"	"13"	"5"	"11"	"23"	"75"	"131"	"743"
"70"	"59"	""	"5"	"14"	"24"	"12"	"63"	"8"	"1"	"3"	"4"	"9"	"8"	"10"	""	"16"	"15"	"4"	"24"	"15"	"122"	"32"	"389"
"71"	"60"	""	"6"	"64"	"18"	"179"	"36"	"10"	"7"	"5"	"3"	"10"	"14"	""	"7"	"15"	"20"	"9"	"30"	"8"	"46"	"127"	"614"
"72"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"74"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"75"	"61"	""	"3"	"10"	"8"	"51"	"49"	"3"	"3"	"0"	"1"	"10"	"7"	"14"	""	"5"	"23"	"4"	"27"	"3"	"4"	"75"	"300"
"76"	"62"	""	"5"	"3"	"6"	"63"	"27"	"1"	"1"	"2"	"1"	"4"	"22"	"17"	""	"8"	"20"	"5"	"38"	"40"	"32"	"212"	"507"
"77"	"62"	"A"	"7"	"14"	"12"	"43"	"144"	"7"	"13"	"9"	"2"	"11"	"42"	"8"	""	"6"	"7"	"12"	"18"	"14"	"194"	"50"	"613"
"78"	"63"	""	"1"	"2"	"15"	"27"	"287"	"21"	"26"	"1"	"1"	"1"	"0"	"1"	""	"17"	"3"	"1"	"8"	"0"	"13"	"5"	"430"
"79"	"63"	"A"	"0"	"1"	"3"	"21"	"226"	"7"	"18"	"2"	"0"	"1"	"0"	"2"	""	"11"	"3"	"1"	"3"	"1"	"21"	"14"	"335"
"80"	"64"	""	"7"	"3"	"10"	"30"	"309"	"11"	"47"	"4"	"2"	"6"	"0"	"7"	""	"70"	"14"	"1"	"8"	"3"	"1"	"59"	"592"
"81"	"65"	""	"5"	"7"	"80"	"107"	"13"	"3"	"5"	"2"	"1"	"4"	"3"	"4"	""	"13"	"5"	"4"	"10"	"5"	"89"	"20"	"380"
"82"	"66"	""	"20"	"8"	"25"	"247"	"18"	"8"	"4"	"1"	"3"	"4"	"7"	"3"	""	"10"	"3"	"3"	"9"	"11"	"71"	"84"	"539"
"83"	"67"	""	"2"	"4"	"29"	"21"	"30"	"3"	"5"	"3"	"0"	"1"	"4"	"4"	""	"2"	"5"	"1"	"3"	"4"	"12"	"40"	"173"
"84"	"68"	""	"6"	"4"	"120"	"26"	"31"	"11"	"9"	"1"	"2"	"1"	"2"	"3"	""	"3"	"3"	"2"	"3"	"2"	"27"	"13"	"269"
"85"	"69"	""	"3"	"3"	"64"	"73"	"12"	"6"	"6"	"0"	"4"	"3"	"11"	"9"	""	"6"	"10"	"4"	"11"	"7"	"36"	"146"	"414"
"86"	"70"	""	"8"	"2"	"170"	"97"	"28"	"6"	"12"	"2"	"1"	"6"	"7"	"10"	""	"13"	"32"	"3"	"28"	"3"	"15"	"84"	"527"
"87"	"71"	""	"5"	"2"	"354"	"15"	"16"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	""	"0"	"2"	"0"	"2"	"1"	"6"	"0"	"405"
"88"	"72"	""	"4"	"5"	"295"	"21"	"13"	"2"	"8"	"0"	"2"	"1"	"2"	"1"	""	"4"	"3"	"1"	"5"	"4"	"6"	"14"	"391"
"89"	"73"	""	"2"	"0"	"49"	"40"	"43"	"0"	"38"	"2"	"2"	"1"	"6"	"4"	""	"3"	"0"	"0"	"4"	"0"	"0"	"3"	"197"
"90"	"74"	""	"3"	"4"	"114"	"156"	"135"	"1"	"10"	"1"	"2"	"0"	"1"	"6"	""	"3"	"4"	"1"	"9"	"4"	"49"	"70"	"573"
"91"	"75"	""	"5"	"5"	"4"	"101"	"9"	"4"	"3"	"2"	"0"	"2"	"9"	"7"	""	"13"	"7"	"5"	"9"	"3"	"182"	"15"	"385"
"92"	"76"	""	"8"	"11"	"12"	"179"	"18"	"7"	"4"	"1"	"3"	"5"	"2"	"7"	""	"26"	"4"	"4"	"9"	"4"	"46"	"19"	"369"
"93"	"77"	""	"6"	"5"	"12"	"218"	"6"	"2"	"10"	"2"	"2"	"1"	"3"	"9"	""	"13"	"6"	"6"	"16"	"5"	"28"	"38"	"388"
"94"	"78"	""	"2"	"6"	"1"	"88"	"67"	"5"	"0"	"2"	"2"	"1"	"0"	"8"	""	"3"	"3"	"1"	"5"	"11"	"28"	"28"	"261"
"95"	"79"	""	"8"	"3"	"2"	"121"	"7"	"2"	"6"	"1"	"1"	"9"	"18"	"8"	""	"18"	"11"	"8"	"24"	"6"	"74"	"40"	"367"
"96"	"80"	""	"13"	"8"	"12"	"222"	"29"	"6"	"2"	"2"	"2"	"4"	"7"	"9"	""	"12"	"9"	"7"	"8"	"10"	"82"	"39"	"483"
"97"	"81"	""	"2"	"5"	"4"	"41"	"7"	"1"	"3"	"3"	"0"	"3"	"2"	"0"	""	"7"	"3"	"1"	"1"	"10"	"101"	"10"	"204"
"98"	"82"	""	"6"	"4"	"26"	"49"	"67"	"6"	"2"	"1"	"4"	"0"	"8"	"6"	""	"13"	"9"	"6"	"8"	"7"	"93"	"38"	"353"
"99"	"83"	""	"4"	"12"	"7"	"438"	"12"	"6"	"2"	"4"	"3"	"1"	"11"	"8"	""	"11"	"6"	"3"	"10"	"3"	"244"	"14"	"799"
"100"	"84"	""	"6"	"4"	"8"	"72"	"36"	"6"	"4"	"3"	"1"	"3"	"11"	"11"	""	"14"	"9"	"10"	"10"	"18"	"109"	"32"	"367"
"101"	"85"	""	"0"	"9"	"4"	"63"	"7"	"3"	"2"	"1"	"1"	"0"	"14"	"4"	""	"4"	"9"	"2"	"3"	"3"	"477"	"9"	"615"
"102"	"86"	""	"11"	"7"	"4"	"172"	"17"	"5"	"4"	"2"	"1"	"3"	"2"	"8"	""	"11"	"10"	"4"	"9"	"2"	"48"	"15"	"335"
"103"	"87"	""	"9"	"13"	"18"	"95"	"68"	"15"	"4"	"2"	"1"	"3"	"4"	"11"	""	"49"	"15"	"11"	"7"	"6"	"143"	"34"	"508"
"104"	"88"	""	"9"	"11"	"9"	"68"	"8"	"7"	"1"	"2"	"5"	"3"	"12"	"7"	""	"17"	"14"	"11"	"19"	"16"	"160"	"95"	"474"
"105"	"89"	""	"0"	"9"	"5"	"42"	"15"	"3"	"0"	"2"	"3"	"3"	"3"	"5"	""	"2"	"7"	"4"	"13"	"7"	"28"	"315"	"466"
"106"	"90"	""	"4"	"12"	"4"	"219"	"21"	"9"	"6"	"5"	"3"	"12"	"12"	"22"	""	"31"	"22"	"5"	"18"	"14"	"104"	"32"	"555"
"107"	"91"	""	"6"	"1"	"2"	"47"	"14"	"5"	"2"	"4"	"1"	"6"	"6"	"5"	""	"3"	"10"	"3"	"8"	"16"	"31"	"249"	"419"
"108"	"92"	""	"5"	"3"	"21"	"137"	"4"	"7"	"5"	"2"	"2"	"7"	"2"	""	"6"	"8"	"8"	"1"	"15"	"3"	"30"	"61"	"327"
"109"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"111"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"112"	"93"	""	"10"	"7"	"10"	"229"	"50"	"11"	"4"	"4"	"5"	"11"	"19"	"15"	""	"22"	"12"	"1"	"8"	"5"	"16"	"144"	"583"
"113"	"94"	""	"4"	"0"	"2"	"87"	"14"	"0"	"4"	"2"	"0"	"8"	"8"	"7"	""	"4"	"6"	"2"	"12"	"3"	"14"	"93"	"270"
"114"	"95"	""	"12"	"2"	"7"	"91"	"6"	"9"	"3"	"3"	"4"	"5"	"9"	"24"	""	"8"	"19"	"3"	"32"	"39"	"43"	"216"	"535"
"115"	"96"	""	"8"	"1"	"3"	"137"	"6"	"5"	"3"	"0"	"0"	"4"	"2"	"7"	""	"2"	"12"	"3"	"14"	"7"	"2"	"93"	"309"
"116"	"97"	""	"1"	"0"	"4"	"39"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	""	"4"	"4"	"2"	"4"	"3"	"78"	"41"	"240"
"117"	"98"	""	"1"	"2"	"4"	"11"	"20"	"1"	"3"	"1"	"1"	"2"	"8"	"1"	""	"8"	"3"	"14"	"9"	"4"	"152"	"11"	"256"
"118"	"99"	""	"8"	"5"	"7"	"288"	"112"	"5"	"5"	"2"	"5"	"5"	"9"	"12"	""	"17"	"19"	"2"	"8"	"5"	"38"	"120"	"672"
"119"	"100"	""	"3"	"4"	"4"	"151"	"9"	"5"	"2"	"4"	"1"	"3"	"1"	"3"	""	"7"	"5"	"0"	"6"	"7"	"11"	"63"	"289"
"120"	"101"	""	"7"	"15"	"8"	"127"	"75"	"10"	"3"	"5"	"3"	"2"	"11"	"10"	""	"17"	"14"	"11"	"12"	"3"	"69"	"43"	"445"
"121"	"102"	""	"8"	"7"	"12"	"58"	"79"	"3"	"3"	"3"	"2"	"1"	"4"	"14"	""	"8"	"19"	"4"	"9"	"6"	"102"	"211"	"553"
"122"	"103"	""	"3"	"4"	"2"	"11"	"139"	"87"	"4"	"1"	"1"	"1"	"5"	"6"	""	"9"	"1"	"1"	"2"	"2"	"2"	"17"	"298"
"123"	"103"	"A"	"3"	"4"	"0"	"46"	"150"	"32"	"6"	"3"	"3"	"5"	"2"	"10"	""	"15"	"8"	"4"	"9"	"9"	"2"	"29"	"340"
"124"	"104"	""	"6"	"5"	"4"	"51"	"46"	"4"	"1"	"1"	"3"	"7"	"15"	"16"	""	"20"	"20"	"6"	"33"	"12"	"106"	"110"	"466"
"125"	"105"	""	"8"	"6"	"11"	"44"	"5"	"4"	"1"	"5"	"0"	"4"	"3"	"11"	""	"15"	"42"	"8"	"43"	"13"	"19"	"294"	"536"
"126"	"106"	""	"10"	"9"	"8"	"95"	"147"	"8"	"4"	"5"	"4"	"8"	"10"	"17"	""	"20"	"21"	"11"	"10"	"37"	"102"	"133"	"659"
"127"	"107"	""	"9"	"14"	"9"	"135"	"13"	"5"	"5"	"7"	"6"	"5"	"10"	"25"	""	"21"	"26"	"12"	"15"	"18"	"74"	"225"	"634"
"128"	"107"	"A"	"13"	"6"	"9"	"40"	"12"	"7"	"1"	"0"	"2"	"3"	"7"	"9"	""	"17"	"9"	"5"	"21"	"8"	"27"	"14"	"210"
"129"	"108"	""	"5"	"8"	"11"	"90"	"164"	"11"	"9"	"3"	"3"	"10"	"5"	"20"	""	"17"	"14"	"7"	"16"	"4"	"75"	"50"	"522"
"130"	"109"	""	"8"	"7"	"11"	"40"	"121"	"8"	"1"	"4"	"5"	"5"	"6"	"11"	""	"6"	"34"	"8"	"21"	"31"	"90"	"348"	"765"
"131"	"110"	""	"15"	"9"	"6"	"330"	"24"	"3"	"0"	"3"	"1"	"1"	"2"	"3"	""	"13"	"6"	"4"	"7"	"10"	"22"	"92"	"551"
"132"	"111"	""	"221"	"7"	"22"	"93"	"53"	"12"	"5"	"3"	"3"	"2"	"1"	"9"	""	"7"	"8"	"5"	"9"	"4"	"31"	"36"	"531"
"133"	"112"	""	"2"	"4"	"4"	"170"	"99"	"8"	"3"	"3"	"1"	"6"	"4"	"13"	""	"11"	"16"	"4"	"9"	"3"	"3"	"123"	"486"
"134"	"113"	""	"5"	"4"	"14"	"151"	"76"	"5"	"5"	"4"	"0"	"8"	"5"	"23"	""	"7"	"23"	"5"	"26"	"3"	"10"	"219"	"593"
"135"	"114"	""	"7"	"9"	"15"	"29"	"134"	"7"	"2"	"4"	"2"	"6"	"4"	"23"	""	"122"	"15"	"4"	"11"	"6"	"8"	"80"	"488"
"136"	"115"	""	"2"	"16"	"1"	"8"	"209"	"3"	"1"	"1"	"0"	"1"	"1"	"4"	""	"181"	"9"	"1"	"10"	"0"	"2"	"5"	"455"
"137"	"116"	""	"1"	"6"	"8"	"28"	"83"	"3"	"0"	"2"	"0"	"2"	"0"	"3"	""	"88"	"6"	"0"	"1"	"0"	"0"	"32"	"263"
"138"	"117"	""	"7"	"29"	"6"	"109"	"67"	"8"	"4"	"3"	"0"	"3"	"4"	"17"	""	"33"	"14"	"0"	"5"	"9"	"4"	"190"	"512"
"139"	"118"	""	"7"	"12"	"5"	"22"	"120"	"2"	"2"	"2"	"3"	"3"	"5"	"21"	""	"29"	"29"	"6"	"17"	"26"	"17"	"289"	"617"
