"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"13"	"12"	"119"	"3"	"5"	"259"	"7"	"3"	"1"	"2"	"2"	"5"	"66"	"10"	"6"	"6"	"11"	"505"	"0"	"505"	"0"
"14"	"13"	"70"	"3"	"6"	"437"	"12"	"7"	"6"	"1"	"3"	"0"	"17"	"7"	"2"	"1"	"0"	"572"	"0"	"572"	"0"
"15"	"14"	"123"	"2"	"8"	"542"	"13"	"6"	"2"	"0"	"3"	"3"	"15"	"13"	"6"	"4"	"23"	"763"	"0"	"763"	"0"
"16"	"15"	"244"	"10"	"8"	"373"	"14"	"2"	"1"	"1"	"1"	"12"	"82"	"14"	"6"	"9"	"16"	"793"	"0"	"793"	"0"
"17"	"16"	"61"	"3"	"5"	"227"	"3"	"3"	"4"	"6"	"5"	"18"	"153"	"23"	"13"	"5"	"23"	"552"	"0"	"552"	"0"
"18"	"17"	"157"	"5"	"5"	"272"	"8"	"0"	"10"	"1"	"3"	"2"	"10"	"10"	"4"	"4"	"6"	"497"	"0"	"497"	"0"
"19"	"18"	"77"	"4"	"2"	"17"	"9"	"8"	"5"	"7"	"4"	"10"	"278"	"4"	"2"	"6"	"16"	"449"	"0"	"449"	"0"
"20"	"19"	"65"	"6"	"17"	"446"	"11"	"2"	"4"	"1"	"2"	"1"	"38"	"15"	"5"	"3"	"17"	"633"	"0"	"633"	"0"
"21"	"20"	"77"	"2"	"9"	"233"	"2"	"1"	"2"	"1"	"2"	"0"	"43"	"6"	"4"	"1"	"8"	"391"	"0"	"391"	"0"
"22"	"21"	"69"	"2"	"3"	"335"	"3"	"1"	"1"	"2"	"0"	"1"	"0"	"11"	"6"	"0"	"6"	"440"	"0"	"440"	"0"
"23"	"22"	"99"	"3"	"6"	"167"	"4"	"1"	"1"	"1"	"1"	"0"	"10"	"0"	"3"	"0"	"7"	"303"	"0"	"303"	"0"
"24"	"23"	"274"	"5"	"6"	"220"	"8"	"2"	"2"	"1"	"1"	"1"	"11"	"17"	"6"	"10"	"27"	"591"	"0"	"591"	"0"
"25"	"24"	"92"	"0"	"9"	"192"	"5"	"1"	"4"	"0"	"1"	"0"	"11"	"9"	"8"	"1"	"6"	"339"	"0"	"339"	"0"
"26"	"25"	"326"	"6"	"5"	"89"	"4"	"0"	"8"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"3"	"445"	"0"	"445"	"0"
"27"	"26"	"286"	"6"	"15"	"126"	"5"	"3"	"5"	"0"	"2"	"0"	"8"	"6"	"3"	"9"	"15"	"489"	"0"	"489"	"0"
"28"	"27"	"268"	"1"	"11"	"131"	"3"	"4"	"5"	"3"	"3"	"19"	"132"	"1"	"2"	"3"	"3"	"589"	"0"	"589"	"0"
"29"	"28"	"248"	"7"	"6"	"295"	"8"	"1"	"5"	"1"	"2"	"0"	"10"	"11"	"9"	"10"	"7"	"620"	"0"	"620"	"0"
"30"	"29"	"148"	"2"	"6"	"465"	"14"	"5"	"3"	"5"	"3"	"2"	"16"	"13"	"9"	"10"	"18"	"719"	"0"	"719"	"0"
"31"	"30"	"219"	"0"	"7"	"75"	"1"	"0"	"1"	"2"	"0"	"0"	"8"	"7"	"3"	"9"	"19"	"351"	"0"	"351"	"0"
"32"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"33"	""	"GYANENDRA KUMAR SINGH"	"RANA RANBIR SINGH"	"BIJOY KUMAR SINGH"	"VIJAY KRISHNA"	"SUNIL KUMAR AMBEDKER"	"DULARCHAND YADAV"	"BHIM PRASAD"	"VIJAY KUMAR SINGH"	"AJAY SINGH"	"ANVESH KUMAR CHAUDHARY"	"JITENDRA PRASAD SINGH"	"PUSHPA DEVI"	"BABALU SINGH"	"BINAY KUMAR BHAGAT"	"SUSHIL KUMAR"	""	""	""	""
"34"	"31"	"73"	"2"	"2"	"216"	"5"	"2"	"2"	"3"	"0"	"1"	"43"	"5"	"3"	"1"	"11"	"369"	"0"	"369"	"0"
"35"	"32"	"271"	"6"	"3"	"22"	"2"	"2"	"7"	"1"	"0"	"1"	"66"	"0"	"1"	"4"	"5"	"391"	"0"	"391"	"0"
"36"	"33"	"151"	"4"	"37"	"350"	"41"	"5"	"7"	"2"	"3"	"13"	"15"	"18"	"8"	"10"	"19"	"683"	"0"	"683"	"0"
"37"	"34"	"295"	"2"	"14"	"75"	"10"	"2"	"6"	"1"	"0"	"16"	"3"	"2"	"0"	"5"	"4"	"435"	"0"	"435"	"0"
"38"	"35"	"179"	"1"	"6"	"321"	"2"	"1"	"0"	"2"	"3"	"3"	"7"	"6"	"3"	"0"	"7"	"541"	"0"	"541"	"0"
"39"	"36"	"312"	"4"	"15"	"185"	"9"	"4"	"11"	"1"	"4"	"10"	"20"	"6"	"8"	"7"	"36"	"632"	"0"	"632"	"0"
"40"	"37"	"144"	"5"	"55"	"286"	"10"	"16"	"14"	"4"	"3"	"8"	"51"	"25"	"9"	"5"	"13"	"648"	"0"	"648"	"0"
"41"	"38"	"163"	"3"	"107"	"176"	"4"	"2"	"6"	"2"	"2"	"3"	"47"	"20"	"11"	"4"	"12"	"562"	"0"	"562"	"0"
"42"	"39"	"307"	"1"	"21"	"212"	"9"	"2"	"5"	"1"	"1"	"3"	"14"	"16"	"8"	"8"	"22"	"630"	"0"	"630"	"0"
"43"	"40"	"181"	"1"	"12"	"117"	"4"	"3"	"5"	"2"	"0"	"3"	"90"	"9"	"3"	"5"	"15"	"450"	"0"	"450"	"0"
"44"	"41"	"225"	"3"	"19"	"93"	"6"	"3"	"4"	"2"	"2"	"2"	"40"	"10"	"4"	"2"	"17"	"432"	"0"	"432"	"0"
"45"	"42"	"325"	"9"	"7"	"50"	"1"	"0"	"8"	"2"	"1"	"5"	"46"	"3"	"0"	"15"	"23"	"495"	"0"	"495"	"0"
"46"	"43"	"351"	"4"	"24"	"175"	"3"	"2"	"2"	"1"	"2"	"5"	"4"	"9"	"4"	"9"	"27"	"622"	"0"	"622"	"0"
"47"	"44"	"112"	"5"	"9"	"185"	"4"	"5"	"5"	"2"	"4"	"13"	"10"	"16"	"4"	"8"	"35"	"417"	"0"	"417"	"0"
"48"	"45"	"94"	"0"	"6"	"79"	"0"	"1"	"1"	"0"	"0"	"1"	"7"	"2"	"3"	"1"	"8"	"203"	"0"	"203"	"0"
"49"	"46"	"71"	"4"	"6"	"373"	"12"	"8"	"4"	"4"	"1"	"4"	"22"	"19"	"12"	"10"	"26"	"576"	"0"	"576"	"0"
"50"	"47"	"179"	"3"	"1"	"103"	"1"	"2"	"4"	"1"	"1"	"29"	"78"	"8"	"8"	"5"	"8"	"431"	"0"	"431"	"0"
"51"	"48"	"185"	"4"	"8"	"186"	"3"	"1"	"4"	"0"	"0"	"34"	"15"	"15"	"8"	"4"	"9"	"476"	"0"	"476"	"0"
"52"	"49"	"205"	"2"	"9"	"211"	"6"	"15"	"6"	"1"	"0"	"22"	"13"	"6"	"8"	"6"	"22"	"532"	"0"	"532"	"0"
"53"	"50"	"155"	"2"	"2"	"64"	"1"	"1"	"2"	"1"	"1"	"148"	"14"	"4"	"1"	"3"	"5"	"404"	"0"	"404"	"0"
"54"	"51"	"156"	"2"	"6"	"41"	"2"	"0"	"1"	"1"	"2"	"17"	"3"	"3"	"5"	"6"	"9"	"254"	"0"	"254"	"0"
"55"	"52"	"261"	"6"	"4"	"174"	"3"	"3"	"5"	"2"	"4"	"53"	"13"	"13"	"5"	"14"	"20"	"580"	"0"	"580"	"0"
"56"	"53"	"130"	"7"	"1"	"53"	"26"	"1"	"8"	"2"	"0"	"7"	"12"	"3"	"9"	"5"	"17"	"281"	"0"	"281"	"0"
"57"	"54"	"285"	"5"	"7"	"72"	"2"	"1"	"4"	"3"	"0"	"5"	"77"	"4"	"1"	"2"	"15"	"483"	"0"	"483"	"0"
"58"	"55"	"207"	"2"	"5"	"144"	"1"	"4"	"4"	"2"	"3"	"22"	"7"	"9"	"2"	"4"	"11"	"427"	"0"	"427"	"0"
"59"	"56"	"444"	"2"	"1"	"15"	"0"	"0"	"2"	"2"	"0"	"21"	"12"	"1"	"2"	"5"	"11"	"518"	"0"	"518"	"0"
"60"	"57"	"387"	"9"	"8"	"205"	"18"	"1"	"5"	"7"	"3"	"8"	"81"	"17"	"7"	"9"	"24"	"789"	"0"	"789"	"0"
"61"	"58"	"133"	"1"	"2"	"35"	"0"	"0"	"3"	"1"	"0"	"1"	"48"	"2"	"3"	"0"	"2"	"231"	"0"	"231"	"0"
"62"	"59"	"13"	"3"	"0"	"146"	"2"	"1"	"1"	"1"	"0"	"7"	"37"	"11"	"2"	"2"	"13"	"239"	"0"	"239"	"0"
"63"	"60"	"245"	"7"	"4"	"25"	"1"	"2"	"3"	"1"	"0"	"6"	"3"	"0"	"3"	"5"	"21"	"326"	"0"	"326"	"0"
"64"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"65"	""	"GYANENDRA KUMAR SINGH"	"RANA RANBIR SINGH"	"BIJOY KUMAR SINGH"	"VIJAY KRISHNA"	"SUNIL KUMAR AMBEDKER"	"DULARCHAND YADAV"	"BHIM PRASAD"	"VIJAY KUMAR SINGH"	"AJAY SINGH"	"ANVESH KUMAR CHAUDHARY"	"JITENDRA PRASAD SINGH"	"PUSHPA DEVI"	"BABALU SINGH"	"BINAY KUMAR BHAGAT"	"SUSHIL KUMAR"	""	""	""	""
"66"	"61"	"187"	"0"	"4"	"41"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"8"	"246"	"0"	"246"	"0"
"67"	"62"	"296"	"3"	"0"	"12"	"0"	"0"	"1"	"0"	"0"	"28"	"3"	"2"	"1"	"5"	"5"	"356"	"0"	"356"	"0"
"68"	"63"	"334"	"3"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"53"	"0"	"0"	"2"	"4"	"5"	"407"	"0"	"407"	"0"
"69"	"64"	"218"	"2"	"8"	"142"	"11"	"2"	"5"	"2"	"2"	"18"	"6"	"8"	"17"	"12"	"27"	"480"	"0"	"480"	"0"
"70"	"65"	"62"	"2"	"4"	"47"	"2"	"2"	"6"	"2"	"1"	"47"	"4"	"4"	"2"	"2"	"10"	"197"	"0"	"197"	"0"
"71"	"66"	"247"	"6"	"6"	"207"	"9"	"1"	"5"	"0"	"2"	"4"	"40"	"7"	"4"	"5"	"10"	"553"	"0"	"553"	"0"
"72"	"67"	"108"	"3"	"1"	"169"	"3"	"1"	"2"	"1"	"0"	"3"	"6"	"14"	"1"	"1"	"12"	"325"	"0"	"325"	"0"
"73"	"68"	"340"	"6"	"3"	"40"	"6"	"3"	"10"	"0"	"3"	"11"	"21"	"2"	"4"	"9"	"22"	"480"	"0"	"480"	"0"
"74"	"69"	"286"	"6"	"6"	"93"	"6"	"2"	"11"	"5"	"3"	"6"	"65"	"8"	"8"	"7"	"25"	"537"	"0"	"537"	"0"
"75"	"70"	"121"	"1"	"4"	"38"	"7"	"2"	"2"	"3"	"1"	"6"	"61"	"1"	"3"	"10"	"37"	"297"	"0"	"297"	"0"
"76"	"71"	"186"	"2"	"3"	"40"	"0"	"3"	"2"	"4"	"3"	"3"	"52"	"4"	"4"	"2"	"12"	"320"	"0"	"320"	"0"
"77"	"72"	"257"	"4"	"1"	"88"	"3"	"2"	"3"	"5"	"2"	"17"	"136"	"7"	"4"	"7"	"11"	"547"	"0"	"547"	"0"
"78"	"73"	"381"	"2"	"1"	"8"	"0"	"0"	"2"	"0"	"0"	"47"	"3"	"2"	"0"	"2"	"4"	"452"	"0"	"452"	"0"
"79"	"74"	"221"	"5"	"4"	"142"	"4"	"6"	"5"	"2"	"1"	"16"	"37"	"6"	"2"	"3"	"5"	"459"	"0"	"459"	"0"
"80"	"75"	"39"	"4"	"4"	"125"	"12"	"3"	"5"	"1"	"3"	"11"	"135"	"18"	"6"	"5"	"18"	"389"	"0"	"389"	"0"
"81"	"76"	"216"	"5"	"5"	"120"	"1"	"0"	"1"	"0"	"0"	"3"	"24"	"6"	"5"	"3"	"16"	"405"	"0"	"405"	"0"
"82"	"77"	"133"	"1"	"3"	"75"	"0"	"1"	"1"	"0"	"1"	"0"	"10"	"5"	"0"	"1"	"6"	"237"	"0"	"237"	"0"
"83"	"78"	"363"	"9"	"1"	"40"	"0"	"0"	"3"	"1"	"1"	"16"	"17"	"5"	"2"	"5"	"31"	"494"	"0"	"494"	"0"
"84"	"79"	"44"	"2"	"4"	"194"	"9"	"2"	"1"	"2"	"2"	"0"	"4"	"9"	"2"	"1"	"3"	"279"	"0"	"279"	"0"
"85"	"80"	"320"	"2"	"4"	"41"	"5"	"1"	"7"	"0"	"0"	"2"	"4"	"2"	"1"	"3"	"2"	"394"	"0"	"394"	"0"
"86"	"81"	"404"	"0"	"5"	"2"	"3"	"1"	"2"	"1"	"0"	"3"	"2"	"1"	"1"	"7"	"7"	"439"	"0"	"439"	"0"
"87"	"82"	"281"	"5"	"14"	"55"	"20"	"2"	"6"	"1"	"2"	"3"	"46"	"2"	"0"	"3"	"15"	"455"	"0"	"455"	"0"
"88"	"83"	"112"	"0"	"2"	"50"	"4"	"3"	"1"	"1"	"0"	"2"	"9"	"1"	"1"	"0"	"3"	"189"	"0"	"189"	"0"
"89"	"84"	"288"	"1"	"11"	"23"	"1"	"1"	"1"	"0"	"1"	"7"	"6"	"0"	"2"	"0"	"7"	"349"	"0"	"349"	"0"
"90"	"85"	"207"	"5"	"11"	"129"	"12"	"4"	"1"	"0"	"2"	"4"	"37"	"12"	"7"	"5"	"11"	"447"	"0"	"447"	"0"
"91"	"86"	"53"	"1"	"6"	"427"	"16"	"3"	"0"	"1"	"0"	"0"	"15"	"21"	"6"	"1"	"3"	"553"	"0"	"553"	"0"
"92"	"87"	"188"	"4"	"15"	"93"	"3"	"0"	"2"	"0"	"0"	"1"	"12"	"1"	"3"	"3"	"4"	"329"	"0"	"329"	"0"
"93"	"88"	"66"	"1"	"5"	"62"	"4"	"2"	"1"	"1"	"0"	"2"	"18"	"5"	"3"	"3"	"6"	"179"	"0"	"179"	"0"
"94"	"89"	"262"	"1"	"5"	"32"	"5"	"0"	"1"	"0"	"0"	"8"	"13"	"3"	"1"	"1"	"8"	"340"	"0"	"340"	"0"
"95"	"90"	"373"	"0"	"4"	"13"	"5"	"1"	"1"	"0"	"0"	"15"	"8"	"1"	"0"	"1"	"4"	"426"	"0"	"426"	"0"
"96"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"97"	""	"GYANENDRA KUMAR SINGH"	"RANA RANBIR SINGH"	"BIJOY KUMAR SINGH"	"VIJAY KRISHNA"	"SUNIL KUMAR AMBEDKER"	"DULARCHAND YADAV"	"BHIM PRASAD"	"VIJAY KUMAR SINGH"	"AJAY SINGH"	"ANVESH KUMAR CHAUDHARY"	"JITENDRA PRASAD SINGH"	"PUSHPA DEVI"	"BABALU SINGH"	"BINAY KUMAR BHAGAT"	"SUSHIL KUMAR"	""	""	""	""
"98"	"91"	"256"	"3"	"8"	"129"	"6"	"1"	"5"	"1"	"5"	"3"	"83"	"21"	"4"	"8"	"22"	"555"	"0"	"555"	"0"
"99"	"92"	"141"	"1"	"20"	"153"	"2"	"0"	"2"	"0"	"0"	"0"	"36"	"2"	"0"	"2"	"4"	"363"	"0"	"363"	"0"
"100"	"93"	"95"	"2"	"39"	"241"	"17"	"3"	"1"	"1"	"2"	"0"	"14"	"5"	"3"	"16"	"7"	"446"	"0"	"446"	"0"
"101"	"94"	"214"	"6"	"132"	"129"	"1"	"0"	"4"	"2"	"0"	"0"	"20"	"4"	"6"	"8"	"9"	"535"	"0"	"535"	"0"
"102"	"95"	"192"	"3"	"44"	"283"	"7"	"5"	"11"	"2"	"1"	"5"	"40"	"12"	"20"	"10"	"26"	"661"	"0"	"661"	"0"
"103"	"96"	"254"	"2"	"34"	"179"	"5"	"1"	"2"	"2"	"0"	"6"	"2"	"6"	"1"	"4"	"9"	"507"	"0"	"507"	"0"
"104"	"97"	"219"	"5"	"7"	"188"	"27"	"0"	"4"	"0"	"1"	"4"	"8"	"13"	"6"	"5"	"40"	"527"	"0"	"527"	"0"
"105"	"98"	"301"	"1"	"10"	"153"	"12"	"1"	"4"	"0"	"2"	"1"	"5"	"7"	"3"	"9"	"9"	"518"	"0"	"518"	"0"
"106"	"99"	"305"	"2"	"1"	"80"	"0"	"2"	"2"	"1"	"0"	"4"	"2"	"2"	"2"	"5"	"10"	"418"	"0"	"418"	"0"
"107"	"100"	"105"	"1"	"5"	"212"	"4"	"1"	"1"	"3"	"2"	"1"	"20"	"10"	"5"	"4"	"2"	"376"	"0"	"376"	"0"
"108"	"100 A"	"158"	"1"	"5"	"282"	"7"	"1"	"4"	"3"	"0"	"0"	"23"	"1"	"2"	"2"	"6"	"495"	"0"	"495"	"0"
"109"	"101"	"177"	"3"	"12"	"123"	"28"	"2"	"6"	"5"	"1"	"2"	"96"	"6"	"3"	"3"	"6"	"473"	"0"	"473"	"0"
"110"	"102"	"244"	"1"	"3"	"48"	"10"	"1"	"7"	"1"	"1"	"1"	"41"	"6"	"4"	"12"	"21"	"401"	"0"	"401"	"0"
"111"	"103"	"144"	"16"	"12"	"289"	"13"	"6"	"17"	"13"	"6"	"8"	"133"	"14"	"13"	"6"	"11"	"701"	"0"	"701"	"0"
"112"	"104"	"285"	"4"	"11"	"222"	"10"	"2"	"14"	"4"	"3"	"2"	"18"	"8"	"4"	"11"	"5"	"603"	"0"	"603"	"0"
"113"	"105"	"311"	"3"	"1"	"138"	"108"	"0"	"6"	"1"	"2"	"1"	"15"	"8"	"3"	"6"	"9"	"612"	"0"	"612"	"0"
"114"	"106"	"306"	"2"	"17"	"172"	"1"	"0"	"7"	"3"	"0"	"1"	"16"	"6"	"3"	"11"	"30"	"575"	"0"	"575"	"0"
"115"	"107"	"160"	"0"	"12"	"56"	"2"	"1"	"1"	"1"	"0"	"0"	"10"	"0"	"3"	"1"	"6"	"253"	"0"	"253"	"0"
"116"	"108"	"254"	"1"	"8"	"70"	"2"	"2"	"6"	"2"	"0"	"5"	"18"	"1"	"2"	"6"	"5"	"382"	"0"	"382"	"0"
"117"	"109"	"228"	"2"	"16"	"212"	"1"	"3"	"10"	"1"	"2"	"0"	"17"	"13"	"5"	"5"	"7"	"522"	"0"	"522"	"0"
"118"	"110"	"137"	"2"	"5"	"309"	"10"	"2"	"3"	"1"	"4"	"2"	"10"	"7"	"9"	"4"	"7"	"512"	"0"	"512"	"0"
"119"	"111"	"140"	"1"	"5"	"201"	"11"	"6"	"6"	"0"	"7"	"11"	"262"	"12"	"3"	"11"	"30"	"706"	"0"	"706"	"0"
"120"	"112"	"158"	"8"	"11"	"454"	"17"	"7"	"7"	"6"	"6"	"4"	"37"	"26"	"15"	"10"	"26"	"792"	"0"	"792"	"0"
"121"	"113"	"254"	"4"	"12"	"241"	"9"	"3"	"3"	"4"	"0"	"6"	"41"	"9"	"7"	"13"	"11"	"617"	"0"	"617"	"0"
"122"	"114"	"276"	"2"	"22"	"78"	"5"	"1"	"3"	"1"	"0"	"1"	"13"	"3"	"2"	"2"	"2"	"411"	"0"	"411"	"0"
"123"	"115"	"315"	"5"	"11"	"40"	"3"	"2"	"4"	"0"	"1"	"0"	"7"	"2"	"1"	"2"	"1"	"394"	"0"	"394"	"0"
"124"	"116"	"367"	"2"	"5"	"60"	"1"	"1"	"7"	"0"	"1"	"5"	"28"	"0"	"0"	"4"	"3"	"484"	"0"	"484"	"0"
"125"	"117"	"237"	"12"	"8"	"124"	"14"	"2"	"1"	"1"	"0"	"0"	"15"	"4"	"7"	"9"	"10"	"444"	"0"	"444"	"0"
"126"	"118"	"233"	"6"	"11"	"40"	"18"	"2"	"4"	"0"	"0"	"1"	"33"	"0"	"3"	"8"	"14"	"373"	"0"	"373"	"0"
"127"	"119"	"267"	"3"	"9"	"99"	"1"	"1"	"3"	"2"	"3"	"3"	"9"	"1"	"2"	"6"	"5"	"414"	"0"	"414"	"0"
"128"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"129"	""	"GYANENDRA KUMAR SINGH"	"RANA RANBIR SINGH"	"BIJOY KUMAR SINGH"	"VIJAY KRISHNA"	"SUNIL KUMAR AMBEDKER"	"DULARCHAND YADAV"	"BHIM PRASAD"	"VIJAY KUMAR SINGH"	"AJAY SINGH"	"ANVESH KUMAR CHAUDHARY"	"JITENDRA PRASAD SINGH"	"PUSHPA DEVI"	"BABALU SINGH"	"BINAY KUMAR BHAGAT"	"SUSHIL KUMAR"	""	""	""	""
"130"	"120"	"175"	"9"	"8"	"107"	"1"	"1"	"2"	"2"	"0"	"1"	"7"	"2"	"1"	"1"	"1"	"318"	"0"	"318"	"0"
"131"	"121"	"264"	"4"	"12"	"109"	"3"	"3"	"9"	"2"	"1"	"6"	"17"	"7"	"1"	"5"	"2"	"445"	"0"	"445"	"0"
"132"	"122"	"144"	"0"	"15"	"334"	"12"	"0"	"3"	"2"	"0"	"0"	"8"	"10"	"3"	"2"	"7"	"540"	"0"	"540"	"0"
"133"	"123"	"268"	"3"	"11"	"253"	"1"	"2"	"5"	"0"	"0"	"1"	"40"	"7"	"4"	"6"	"15"	"616"	"0"	"616"	"0"
"134"	"124"	"113"	"2"	"22"	"47"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"1"	"0"	"0"	"1"	"193"	"0"	"193"	"0"
"135"	"125"	"461"	"1"	"20"	"103"	"2"	"1"	"5"	"2"	"0"	"0"	"15"	"3"	"1"	"10"	"9"	"633"	"0"	"633"	"0"
"136"	"126"	"120"	"1"	"14"	"102"	"3"	"0"	"3"	"0"	"0"	"1"	"6"	"2"	"2"	"6"	"1"	"261"	"0"	"261"	"0"
"137"	"127"	"170"	"0"	"30"	"117"	"0"	"0"	"1"	"0"	"0"	"2"	"61"	"1"	"0"	"0"	"0"	"382"	"0"	"382"	"0"
"138"	"128"	"368"	"6"	"7"	"180"	"13"	"3"	"5"	"2"	"0"	"13"	"32"	"3"	"7"	"21"	"28"	"688"	"0"	"688"	"0"
"139"	"129"	"207"	"1"	"6"	"86"	"2"	"2"	"2"	"0"	"1"	"1"	"31"	"2"	"2"	"8"	"17"	"368"	"0"	"368"	"0"
"140"	"130"	"321"	"5"	"8"	"135"	"0"	"3"	"10"	"2"	"0"	"3"	"14"	"7"	"4"	"2"	"6"	"520"	"0"	"520"	"0"
"141"	"131"	"194"	"1"	"17"	"106"	"0"	"0"	"1"	"0"	"0"	"1"	"20"	"1"	"0"	"8"	"2"	"351"	"0"	"351"	"0"
"142"	"132"	"266"	"1"	"3"	"16"	"0"	"0"	"2"	"3"	"1"	"0"	"32"	"1"	"0"	"8"	"3"	"336"	"0"	"336"	"0"
"143"	"133"	"416"	"2"	"8"	"98"	"11"	"4"	"5"	"1"	"1"	"3"	"17"	"6"	"3"	"15"	"4"	"594"	"0"	"594"	"0"
"144"	"134"	"496"	"1"	"10"	"64"	"0"	"1"	"5"	"1"	"1"	"11"	"19"	"2"	"3"	"12"	"11"	"637"	"0"	"637"	"0"
"145"	"135"	"275"	"5"	"6"	"60"	"1"	"0"	"1"	"0"	"1"	"0"	"15"	"3"	"4"	"4"	"1"	"376"	"0"	"376"	"0"
"146"	"136"	"346"	"4"	"8"	"192"	"9"	"2"	"13"	"2"	"1"	"8"	"20"	"3"	"2"	"3"	"5"	"618"	"0"	"618"	"0"
"147"	"137"	"392"	"3"	"5"	"96"	"11"	"6"	"4"	"4"	"1"	"4"	"33"	"6"	"3"	"13"	"12"	"593"	"0"	"593"	"0"
"148"	"138"	"212"	"2"	"4"	"49"	"1"	"1"	"0"	"0"	"1"	"11"	"27"	"1"	"2"	"9"	"9"	"329"	"0"	"329"	"0"
"149"	"139"	"214"	"4"	"10"	"115"	"12"	"3"	"8"	"0"	"2"	"7"	"39"	"7"	"9"	"20"	"16"	"466"	"0"	"466"	"0"
"150"	"140"	"186"	"2"	"6"	"20"	"2"	"2"	"3"	"1"	"0"	"2"	"11"	"3"	"4"	"8"	"3"	"253"	"0"	"253"	"0"
"151"	"141"	"409"	"1"	"21"	"59"	"5"	"4"	"8"	"0"	"1"	"4"	"41"	"0"	"2"	"71"	"9"	"635"	"0"	"635"	"0"
"152"	"142"	"302"	"1"	"5"	"75"	"0"	"0"	"5"	"4"	"2"	"1"	"15"	"2"	"7"	"22"	"12"	"453"	"0"	"453"	"0"
