"BOOTH.NO"	"AKHATARUL.IMAN"	"DINESH.KUMAR.RAM"	"MUJAHID.ALAM"	"MUHAMMAD.INTEKHAB.ALAM"	"SADIQUE.SAMDANI"	"ASHOK.KUMAR.SINGH"	"MASRUR.ALAM"	"MINHAJ.ALAM"	"BINAY.KUMAR.DAS"	"NASIR.UDDIN"	"MUZAFFAR.KARIM.RIZVI"	"MUMTAZ.AHAMAD"	"YOGENDERA.SINGH"	"SUNITA.GUPTA"	"MD..YUSSOUF"	"Total"
"123"	114	142	9	270	243	54	7	4	4	35	3	50	7	2	4	6	840
"124"	115	205	12	259	75	56	16	3	2	38	3	12	4	4	5	16	710
"125"	116	100	5	202	98	73	12	5	6	35	2	3	19	3	1	5	569
"126"	117	418	10	166	11	111	5	3	3	31	4	8	2	0	1	4	777
"127"	118	239	3	197	5	29	2	5	3	17	4	205	9	2	9	19	748
"128"	119	185	6	249	8	18	5	5	4	111	5	25	8	3	5	6	643
"129"	120	196	8	295	52	42	11	3	6	64	4	17	17	6	2	14	737
"130"	121	168	3	153	3	21	3	7	0	13	6	134	17	6	7	10	551
"131"	122	45	1	236	5	15	0	12	5	24	1	6	4	2	0	3	359
"132"	123	225	3	57	7	249	7	10	4	12	3	7	6	3	7	16	616
"133"	124	105	3	167	19	14	7	19	0	10	12	4	22	2	3	6	393
"134"	125	86	4	240	27	22	8	14	2	25	5	0	39	5	8	7	492
"135"	126	374	11	214	17	72	3	8	2	28	3	5	7	8	3	17	772
"136"	127	47	1	87	15	15	1	3	1	10	1	4	5	1	6	5	202
"137"	128	200	5	184	23	39	4	5	4	23	2	1	5	2	0	5	502
"138"	129	20	1	257	2	8	7	1	0	17	1	5	6	1	3	5	334
"139"	130	128	1	104	4	8	4	33	2	13	0	0	3	3	2	8	313
"140"	131	156	4	301	1	23	2	9	2	20	4	4	6	3	1	4	540
"141"	132	165	3	258	2	21	2	10	2	46	2	13	2	2	2	4	534
"142"	133	200	4	102	13	19	7	32	2	9	0	5	16	1	2	2	414
"143"	NA	82	6	129	0	3	2	12	0	8	0	1	7	1	0	2	253
"144"	134	394	5	182	5	90	5	11	5	37	3	33	3	1	6	8	788
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	135	330	10	80	0	12	2	2	0	35	1	0	0	1	0	2	475
"147"	136	373	16	218	13	109	8	2	9	43	4	91	10	9	12	19	936
"148"	137	61	2	56	4	24	3	0	3	12	5	334	5	3	14	9	535
"149"	NA	117	2	69	16	44	2	3	2	14	10	142	3	3	10	10	447
"150"	138	85	22	97	23	216	11	5	11	22	8	210	8	4	16	9	747
"151"	139	159	8	50	13	108	8	0	2	6	0	103	3	0	4	4	468
"152"	NA	38	4	49	18	178	5	3	1	10	5	161	8	2	8	16	506
"153"	140	128	9	128	22	181	12	1	10	17	13	272	5	4	23	12	837
"154"	141	127	5	41	9	243	4	6	7	10	5	96	2	2	4	16	577
"155"	142	206	7	37	5	64	4	4	8	55	3	170	8	2	6	4	583
"156"	143	75	6	157	32	39	5	7	12	35	13	256	5	5	11	12	670
"157"	144	72	5	240	58	28	14	2	4	60	3	31	4	4	6	29	560
"158"	NA	33	8	184	41	26	7	2	3	71	1	71	6	1	5	16	475
"159"	145	298	4	32	1	38	1	0	2	3	2	70	2	1	8	17	479
"160"	NA	184	11	88	4	62	0	3	0	31	4	89	3	1	2	1	483
"161"	146	206	4	139	16	22	1	1	0	18	2	7	1	1	3	6	427
"162"	147	54	7	74	1	72	3	1	2	83	4	11	2	0	3	8	325
"163"	148	121	2	81	1	38	2	2	2	27	2	49	1	0	3	10	341
"164"	NA	140	7	99	4	142	5	3	3	28	2	119	3	6	11	6	578
"165"	149	119	4	74	3	18	3	2	2	13	3	190	5	3	9	6	454
"166"	NA	236	1	51	0	11	3	0	3	39	1	66	5	1	7	20	444
"167"	150	269	10	202	9	55	7	3	9	41	6	58	5	6	10	12	702
"168"	151	182	4	98	5	18	9	4	4	33	9	155	4	4	4	14	547
"169"	152	401	8	99	5	15	2	2	7	11	3	183	2	0	11	18	767
"170"	153	250	6	216	9	31	1	3	30	40	8	158	15	12	22	19	820
"171"	154	182	5	1	1	4	2	2	6	0	4	243	4	0	9	4	467
"172"	155	180	3	22	3	14	4	3	1	23	5	344	14	2	8	12	638
"173"	156	449	8	225	4	12	4	2	5	47	5	60	6	1	5	9	842
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	157	66	3	38	5	22	4	2	8	1	13	420	10	1	12	7	612
"176"	158	32	1	103	7	48	9	2	83	19	5	188	2	2	4	9	514
"177"	159	481	11	92	3	45	4	4	12	60	4	43	1	1	3	5	769
"178"	160	115	1	60	2	11	2	1	1	16	0	30	1	1	6	3	250
"179"	161	23	5	97	2	8	5	9	1	23	4	142	3	0	17	2	341
"180"	162	154	2	36	1	76	8	3	4	11	9	241	5	0	11	20	581
"181"	163	202	79	82	6	43	4	10	7	17	5	74	2	4	7	9	551
"182"	164	94	10	156	2	95	6	4	2	18	3	83	4	3	14	11	505
"183"	165	147	10	49	11	157	5	3	4	13	1	48	2	2	9	4	465
"184"	166	106	7	206	5	51	3	2	4	40	5	65	3	2	1	13	513
"185"	167	139	1	20	2	110	3	1	7	7	1	67	4	0	8	5	375
"186"	168	140	6	160	9	65	15	2	7	29	4	105	3	4	12	10	571
"187"	169	206	11	106	4	24	2	3	1	22	3	14	1	2	5	12	416
"188"	NA	200	6	119	4	31	6	3	1	26	9	32	3	2	3	11	456
"189"	NA	37268	1317	28264	6957	9858	977	1509	607	3896	619	6644	1567	607	901	1831	102822
"190"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	NA	108	1	87	9	3	2	1	0	1	0	2	0	0	0	0	214
"192"	NA	37376	1318	28351	6966	9861	979	1510	607	3897	619	6646	1567	607	901	1831	103036
"193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
