"Serial.No..of.Polling.Stition"	"Md..Imran"	"Dr..Chandrama.Singh"	"Vikram.Kunwar"	"Samrun.Nisa"	"HamidRaza.Khan"	"AmarNath.Yadav"	"Dr..C..B..Mishra"	"Anil.Kumar.Singh"	"Kamarul.Hak"	"Kaushlendra.Kumar.Singh"	"Tribhuwan.Singh"	"Munni.Devi"	"Rameshwar.Singh"	"Vishwakarma.Bhagat"	"Total.of.Valid.Votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.voters"
"54"	35	5	15	197	4	60	80	7	22	138	11	6	16	13	28	602	NA	602	NA
"55"	36	16	25	343	15	98	55	12	28	99	10	9	28	12	34	784	NA	784	NA
"56"	37	13	25	345	22	74	55	18	22	112	9	11	17	10	9	742	NA	742	NA
"57"	38	9	10	84	3	28	71	3	17	129	5	4	6	4	14	387	NA	387	NA
"58"	NA	12	2	96	6	11	39	3	12	172	4	5	11	10	11	394	NA	394	NA
"59"	39	12	4	283	6	267	28	4	1	19	0	2	2	1	3	632	NA	632	NA
"60"	40	4	4	413	4	63	138	7	28	19	3	9	11	12	5	720	NA	720	NA
"61"	NA	170	135	2201	151	1790	965	85	219	1425	68	73	128	113	175	7698	0	7698	0
"62"	NA	525	269	4814	276	3918	2401	183	529	830	214	227	419	515	560	15680	0	15680	0
"63"	NA	695	404	7015	427	5708	3366	268	748	2255	282	300	547	628	735	23378	0	23378	0
"64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"70"	41	18	16	449	16	80	74	5	14	7	8	11	13	11	22	744	NA	744	NA
"71"	42	14	9	182	6	119	44	10	8	24	12	11	13	18	17	487	NA	487	NA
"72"	43	35	7	81	6	120	109	13	26	267	7	8	8	7	16	710	NA	710	NA
"73"	44	7	10	24	5	99	105	11	17	101	5	5	9	1	4	403	NA	403	NA
"74"	NA	11	7	19	1	39	23	1	11	227	2	7	1	5	8	362	NA	362	NA
"75"	45	6	15	267	7	52	92	8	28	31	17	14	27	13	17	594	NA	594	NA
"76"	46	20	18	235	7	89	151	12	28	11	12	8	15	10	14	630	NA	630	NA
"77"	47	0	38	12	22	228	15	2	6	141	7	2	2	2	15	492	NA	492	NA
"78"	48	4	23	3	7	264	23	7	4	120	4	2	4	6	21	492	NA	492	NA
"79"	49	131	61	168	13	45	26	6	10	127	5	2	4	2	14	614	NA	614	NA
"80"	50	2	5	0	1	40	7	0	8	144	1	0	2	1	5	216	NA	216	NA
"81"	51	35	72	134	14	107	45	7	15	223	8	15	12	15	26	728	NA	728	NA
"82"	52	18	5	22	4	98	70	3	17	194	2	1	4	4	31	473	NA	473	NA
"83"	53	12	3	40	3	129	36	4	15	66	4	3	3	5	50	373	NA	373	NA
"84"	NA	313	289	1636	112	1509	820	89	207	1683	94	89	117	100	260	7318	0	7318	0
"85"	NA	695	404	7015	427	5708	3366	268	748	2255	282	300	547	628	735	23378	0	23378	0
"86"	NA	1008	693	8651	539	7217	4186	357	955	3938	376	389	664	728	995	30696	0	30696	0
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"93"	54	38	16	138	2	119	99	8	25	108	8	7	15	14	123	720	NA	720	NA
"94"	55	8	5	43	1	170	65	9	7	135	5	2	2	4	21	477	NA	477	NA
"95"	56	2	3	98	2	30	15	2	23	46	0	2	6	7	12	248	NA	248	NA
"96"	57	11	13	69	8	298	15	3	11	80	8	6	10	14	241	787	NA	787	NA
"97"	58	12	6	83	7	146	40	3	6	33	5	11	10	13	25	400	NA	400	NA
"98"	NA	24	4	110	3	124	58	21	19	26	7	6	14	12	28	456	NA	456	NA
"99"	59	15	27	103	16	153	201	16	36	49	10	12	20	17	25	700	NA	700	NA
"100"	60	41	10	32	4	145	75	5	13	139	9	4	7	5	13	502	NA	502	NA
"101"	61	10	32	121	5	70	200	8	36	46	3	5	5	6	15	562	NA	562	NA
"102"	62	8	9	66	2	98	102	4	15	135	1	5	3	5	7	460	NA	460	NA
"103"	63	3	15	163	6	87	69	1	13	103	2	4	2	3	2	473	NA	473	NA
"104"	64	0	10	24	2	173	17	2	4	197	4	3	0	2	10	448	NA	448	NA
"105"	65	3	10	192	4	59	96	4	32	159	10	11	14	16	16	626	NA	626	NA
"106"	66	2	16	142	8	47	130	6	30	272	10	8	14	12	13	710	NA	710	NA
"107"	NA	177	176	1384	70	1719	1182	92	270	1528	82	86	122	130	551	7569	0	7569	0
"108"	NA	1008	693	8651	539	7217	4186	357	955	3938	376	389	664	728	995	30696	0	30696	0
"109"	NA	1185	869	10035	609	8936	5368	449	1225	5466	458	475	786	858	1546	38265	0	38265	0
"110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"116"	67	13	47	101	6	37	246	12	51	161	10	11	15	12	11	733	NA	733	NA
"117"	68	18	12	37	3	90	115	3	30	127	5	4	8	8	16	476	NA	476	NA
"118"	69	88	4	117	2	15	84	4	15	58	3	5	8	2	15	420	NA	420	NA
"119"	70	200	2	6	1	26	22	2	4	46	3	0	5	7	31	355	NA	355	NA
"120"	71	248	5	34	0	44	6	0	3	26	0	1	4	1	14	386	NA	386	NA
"121"	72	34	34	180	3	33	146	10	16	107	4	7	7	27	19	627	NA	627	NA
"122"	73	11	59	185	6	27	156	10	25	32	5	7	20	12	16	571	NA	571	NA
"123"	74	9	3	150	8	166	94	7	24	124	6	6	1	2	9	609	NA	609	NA
"124"	75	3	0	44	2	102	67	1	18	121	4	6	12	2	12	394	NA	394	NA
"125"	76	3	20	235	12	70	33	4	8	58	1	9	18	7	16	494	NA	494	NA
"126"	77	3	17	68	1	42	113	5	11	16	4	10	4	5	8	307	NA	307	NA
"127"	78	17	33	16	2	30	407	18	51	28	11	12	2	4	9	640	NA	640	NA
"128"	79	26	12	138	4	37	158	4	35	169	7	11	13	17	28	659	NA	659	NA
"129"	80	18	4	382	7	5	78	1	12	72	1	9	16	6	7	618	NA	618	NA
"130"	NA	691	252	1693	57	724	1725	81	303	1145	64	98	133	112	211	7289	0	7289	0
"131"	NA	1185	869	10035	609	8936	5368	449	1225	5466	458	475	786	858	1546	38265	0	38265	0
"132"	NA	1876	1121	11728	666	9660	7093	530	1528	6611	522	573	919	970	1757	45554	0	45554	0
"133"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"139"	81	6	6	143	8	13	69	12	18	109	9	12	12	12	21	450	NA	450	NA
"140"	NA	3	5	188	11	44	45	3	3	40	3	1	11	2	12	371	NA	371	NA
"141"	82	9	7	142	8	157	146	5	37	237	10	6	6	5	16	791	NA	791	NA
"142"	83	3	2	246	7	69	26	1	8	3	3	3	11	4	17	403	NA	403	NA
"143"	84	21	18	162	7	55	94	9	26	40	0	3	5	3	5	448	NA	448	NA
"144"	85	33	8	91	2	192	20	3	3	17	7	1	1	2	4	384	NA	384	NA
"145"	86	7	8	205	8	105	51	5	8	20	2	1	6	0	4	430	NA	430	NA
"146"	87	1	2	215	10	55	8	3	8	4	4	8	13	8	15	354	NA	354	NA
"147"	NA	2	3	288	6	76	21	4	4	1	4	6	10	8	8	441	NA	441	NA
"148"	88	17	14	253	14	148	170	11	19	16	7	5	11	3	7	695	NA	695	NA
"149"	89	15	5	12	3	243	227	15	42	106	13	19	2	4	20	726	NA	726	NA
"150"	90	5	5	68	2	84	48	0	8	144	2	1	3	2	6	378	NA	378	NA
"151"	NA	13	7	62	3	121	52	4	9	82	6	5	2	0	5	371	NA	371	NA
"152"	91	3	3	223	3	51	237	10	29	77	17	11	2	7	25	698	NA	698	NA
"153"	NA	138	93	2298	92	1413	1214	85	222	896	87	82	95	60	165	6940	0	6940	0
"154"	NA	1876	1121	11728	666	9660	7093	530	1528	6611	522	573	919	970	1757	45554	0	45554	0
"155"	NA	2014	1214	14026	758	11073	8307	615	1750	7507	609	655	1014	1030	1922	52494	0	52494	0
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"162"	92	14	2	112	6	37	77	4	15	10	3	9	7	6	25	327	NA	327	NA
"163"	93	7	2	34	11	217	56	2	7	37	7	3	4	2	7	396	NA	396	NA
"164"	94	11	1	24	19	248	74	7	12	39	8	7	6	5	4	465	NA	465	NA
"165"	95	1	3	76	3	165	63	3	7	58	2	2	10	3	5	401	NA	401	NA
"166"	96	6	3	69	6	186	18	1	11	44	4	5	8	1	11	373	NA	373	NA
"167"	97	5	6	181	9	219	25	2	8	63	3	5	11	5	17	559	NA	559	NA
"168"	98	9	5	41	1	125	17	0	6	288	4	3	3	2	13	517	NA	517	NA
"169"	99	10	26	89	4	29	364	21	66	35	8	5	13	12	18	700	NA	700	NA
"170"	100	31	20	226	12	61	168	10	56	5	10	8	18	17	29	671	NA	671	NA
"171"	101	11	9	180	16	67	57	11	17	32	6	9	10	2	26	453	NA	453	NA
"172"	102	6	17	93	6	111	16	2	14	3	1	3	5	6	7	290	NA	290	NA
"173"	103	9	5	157	7	4	9	1	13	7	1	5	13	2	9	242	NA	242	NA
"174"	104	5	4	77	6	120	69	5	19	153	6	5	7	2	8	486	NA	486	NA
"175"	105	2	6	49	5	75	53	3	19	77	2	10	8	2	13	324	NA	324	NA
"176"	NA	127	109	1408	111	1664	1066	72	270	851	65	79	123	67	192	6204	0	6204	0
"177"	NA	2014	1214	14026	758	11073	8307	615	1750	7507	609	655	1014	1030	1922	52494	0	52494	0
"178"	NA	2141	1323	15434	869	12737	9373	687	2020	8358	674	734	1137	1097	2114	58698	0	58698	0
"179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"184"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"185"	106	8	27	182	2	23	81	4	5	58	0	2	9	5	11	417	NA	417	NA
"186"	107	7	8	80	13	92	8	0	7	73	5	2	3	3	1	302	NA	302	NA
"187"	108	18	7	166	10	33	59	6	12	6	2	3	7	5	9	343	NA	343	NA
"188"	NA	7	2	125	3	18	146	5	38	5	5	5	16	3	14	392	NA	392	NA
"189"	109	17	24	555	14	38	18	8	28	84	3	4	11	15	22	841	NA	841	NA
"190"	110	13	3	157	6	9	9	0	10	17	2	2	4	12	6	250	NA	250	NA
"191"	111	9	5	441	5	27	159	1	15	23	3	3	7	6	8	712	NA	712	NA
"192"	112	2	3	215	2	4	42	1	1	5	0	2	1	0	2	280	NA	280	NA
"193"	113	8	4	113	9	19	123	6	28	41	9	5	13	4	15	397	NA	397	NA
"194"	NA	5	18	181	5	48	47	4	20	10	0	2	6	2	15	363	NA	363	NA
"195"	114	23	10	376	9	32	151	14	43	27	2	9	14	27	16	753	NA	753	NA
"196"	115	16	2	293	7	14	17	1	10	3	3	8	14	3	19	410	NA	410	NA
"197"	116	5	8	250	8	2	35	2	6	7	2	5	24	21	17	392	NA	392	NA
"198"	NA	12	6	190	3	4	32	5	8	27	1	5	18	12	34	357	NA	357	NA
"199"	NA	150	127	3324	96	363	927	57	231	386	37	57	147	118	189	6209	0	6209	0
"200"	NA	2141	1323	15434	869	12737	9373	687	2020	8358	674	734	1137	1097	2114	58698	0	58698	0
"201"	NA	2291	1450	18758	965	13100	10300	744	2251	8744	711	791	1284	1215	2303	64907	0	64907	0
"202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"208"	117	1	40	19	4	164	21	5	88	143	5	3	2	3	6	504	NA	504	NA
"209"	118	47	62	170	9	68	88	7	62	72	13	9	11	16	19	653	NA	653	NA
"210"	119	1	14	93	2	9	147	8	29	41	2	1	5	3	7	362	NA	362	NA
"211"	120	6	20	110	2	6	66	5	31	12	0	1	1	1	1	262	NA	262	NA
"212"	121	26	8	294	11	6	189	13	90	36	9	12	32	7	37	770	NA	770	NA
"213"	122	7	6	491	7	25	23	7	68	27	1	4	22	5	20	713	NA	713	NA
"214"	123	64	11	244	11	12	257	7	38	13	2	3	9	3	14	688	NA	688	NA
"215"	124	30	9	293	6	22	84	5	20	56	3	6	16	7	26	583	NA	583	NA
"216"	125	16	20	261	10	13	299	9	49	9	2	4	5	3	8	708	NA	708	NA
"217"	126	4	40	188	6	32	296	6	56	40	1	3	9	7	10	698	NA	698	NA
"218"	127	11	7	133	8	22	147	12	70	19	4	4	2	3	7	449	NA	449	NA
"219"	128	2	3	60	2	3	161	12	131	11	2	6	3	2	4	402	NA	402	NA
"220"	129	3	8	460	11	56	73	6	21	3	0	4	12	4	11	672	NA	672	NA
"221"	130	2	3	358	1	4	52	0	11	2	1	1	13	34	2	484	NA	484	NA
"222"	NA	220	251	3174	90	442	1903	102	764	484	45	61	142	98	172	7948	0	7948	0
"223"	NA	2291	1450	18758	965	13100	10300	744	2251	8744	711	791	1284	1215	2303	64907	0	64907	0
"224"	NA	2511	1701	21932	1055	13542	12203	846	3015	9228	756	852	1426	1313	2475	72855	0	72855	0
"225"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"231"	131	15	19	271	7	3	81	4	102	16	1	0	1	2	10	532	NA	532	NA
"232"	132	15	11	131	5	52	63	3	84	12	2	3	2	52	9	444	NA	444	NA
"233"	133	13	16	210	7	27	92	2	66	6	2	3	3	4	2	453	NA	453	NA
"234"	134	3	10	14	2	30	11	5	250	9	2	1	2	1	2	342	NA	342	NA
"235"	NA	0	1	51	1	15	6	3	249	10	3	0	1	0	2	342	NA	342	NA
"236"	135	0	1	37	0	45	42	11	170	10	2	1	3	7	7	336	NA	336	NA
"237"	NA	3	7	56	0	20	10	9	283	10	8	3	2	0	3	414	NA	414	NA
"238"	136	9	12	193	9	5	74	10	251	11	4	6	7	11	18	620	NA	620	NA
"239"	137	11	19	88	2	23	142	11	87	8	2	4	1	1	6	405	NA	405	NA
"240"	138	10	5	83	0	45	193	9	84	5	2	4	5	7	5	457	NA	457	NA
"241"	139	15	13	70	4	27	436	12	73	21	5	9	4	5	7	701	NA	701	NA
"242"	140	13	7	124	6	31	363	21	96	15	8	8	7	12	16	727	NA	727	NA
"243"	141	13	8	124	4	21	166	8	149	12	5	2	6	5	5	528	NA	528	NA
"244"	142	4	43	222	6	3	103	5	49	11	6	3	6	7	14	482	NA	482	NA
"245"	NA	124	172	1674	53	347	1782	113	1993	156	52	47	50	114	106	6783	0	6783	0
"246"	NA	2511	1701	21932	1055	13542	12203	846	3015	9228	756	852	1426	1313	2475	72855	0	72855	0
"247"	NA	2635	1873	23606	1108	13889	13985	959	5008	9384	808	899	1476	1427	2581	79638	0	79638	0
"248"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"249"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"254"	143	4	2	56	2	77	108	8	49	18	3	4	6	9	11	357	NA	357	NA
"255"	144	3	2	44	3	72	9	4	83	81	1	1	3	10	10	326	NA	326	NA
"256"	145	14	96	431	14	10	34	5	14	8	3	6	22	8	16	681	NA	681	NA
"257"	146	19	10	132	10	30	80	3	39	149	2	4	5	13	6	502	NA	502	NA
"258"	147	5	16	204	10	19	90	9	19	67	2	9	14	27	26	517	NA	517	NA
"259"	148	5	17	279	3	8	33	2	29	97	1	0	5	77	2	558	NA	558	NA
"260"	149	3	5	175	3	89	79	6	39	97	6	4	7	9	13	535	NA	535	NA
"261"	150	6	11	107	4	64	92	6	33	52	4	5	8	9	19	420	NA	420	NA
"262"	151	11	24	245	8	15	139	2	16	22	2	2	1	2	2	491	NA	491	NA
"263"	152	5	43	256	4	9	147	5	26	11	6	4	4	9	15	544	NA	544	NA
"264"	153	10	8	188	7	1	12	1	9	61	2	5	10	3	5	322	NA	322	NA
"265"	NA	16	16	101	7	46	109	7	17	45	2	2	5	1	9	383	NA	383	NA
"266"	154	17	3	128	6	3	68	3	10	1	2	0	16	2	8	267	NA	267	NA
"267"	155	0	4	160	5	7	21	1	27	4	3	5	2	5	6	250	NA	250	NA
"268"	NA	118	257	2506	86	450	1021	62	410	713	39	51	108	184	148	6153	0	6153	0
"269"	NA	2635	1873	23606	1108	13889	13985	959	5008	9384	808	899	1476	1427	2581	79638	0	79638	0
"270"	NA	2753	2130	26112	1194	14339	15006	1021	5418	10097	847	950	1584	1611	2729	85791	0	85791	0
"271"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"272"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"275"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"276"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"277"	156	4	12	189	7	2	16	1	7	17	0	6	10	7	9	287	NA	287	NA
"278"	157	7	7	249	4	9	168	5	30	9	1	2	3	9	8	511	NA	511	NA
