"BOOTH.NO"	"KRISHANA.NANDAN.PASWAN"	"DINESH.KUMAR.RAJ"	"MAHABALI.PASWAN"	"VIJAY.KUMAR.RAM"	"SAJAWAL.RAM"	"SURENDRA.KUMAR.CHANDRA.ALIAS.SATISH.PASWAN"	"PRAMOD.RAM"	"BINDESHWARI.RAM"	"MUKHLAL.MAJHI"	"KUSUM.DEVI"	"KRISHAN.MOHAN.KUMAR"	"JAMDAR.RAM"	"BADARI.PASWAN"	"MUNNI.MANJHI"	"SURESH.KUMAR"	"TOTAL"
"98"	91	181	9	20	19	1	102	8	0	1	3	3	1	0	0	1	349
"99"	92	332	16	6	5	4	73	1	1	2	0	1	1	2	1	17	462
"100"	93	257	9	2	12	4	88	6	0	1	0	0	4	0	2	9	394
"101"	94	300	14	1	49	13	66	0	1	3	0	6	3	2	2	12	472
"102"	95	163	8	26	14	34	331	7	3	0	3	3	3	3	2	10	610
"103"	96	258	12	1	8	11	296	9	2	1	6	4	2	3	3	14	630
"104"	97	344	10	4	33	7	198	9	2	4	8	5	13	4	3	31	675
"105"	98	368	13	3	8	2	181	3	1	5	16	5	1	5	2	9	622
"106"	99	116	5	0	16	66	17	1	1	1	1	0	0	0	0	1	225
"107"	100	132	13	2	24	43	113	2	1	0	7	5	5	3	4	13	367
"108"	101	167	15	8	23	12	139	15	18	9	304	22	7	9	19	22	789
"109"	102	74	5	2	57	2	251	4	2	1	7	3	1	3	2	13	427
"110"	103	149	7	4	10	2	186	0	0	2	4	2	1	3	0	5	375
"111"	104	186	10	5	33	17	249	10	9	6	54	11	6	10	6	43	655
"112"	105	173	9	2	42	10	165	10	6	2	11	2	5	6	6	23	472
"113"	106	165	8	0	24	7	148	2	2	1	15	5	0	2	5	12	396
"114"	107	504	25	4	9	17	181	4	3	2	16	2	3	0	2	10	782
"115"	108	280	6	3	36	23	306	1	1	1	9	0	10	0	1	3	680
"116"	109	330	34	23	28	78	38	9	2	3	24	4	8	3	4	16	604
"117"	110	305	21	3	24	67	38	1	6	1	21	3	1	1	3	5	500
"118"	111	226	13	4	2	6	118	4	4	3	8	1	0	4	2	5	400
"119"	112	147	17	2	76	21	406	17	14	6	64	10	3	7	9	28	827
"120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"122"	113	279	12	1	44	13	85	19	17	7	188	10	1	4	8	19	707
"123"	114	169	11	2	59	9	195	9	3	3	33	2	4	3	4	24	530
"124"	115	271	14	4	24	11	445	7	2	3	18	7	4	7	2	18	837
"125"	116	96	6	4	46	2	284	5	11	7	100	7	1	4	6	11	590
"126"	117	354	20	1	11	8	136	4	4	3	58	7	7	8	4	18	643
"127"	118	60	5	2	11	8	173	6	13	3	89	8	2	2	1	18	401
"128"	119	109	5	2	4	2	123	5	1	0	8	2	2	2	1	14	280
"129"	120	89	6	3	7	5	233	5	17	4	251	4	3	4	2	4	637
"130"	121	182	16	2	92	11	97	1	5	3	5	3	6	2	5	17	447
"131"	122	244	15	4	41	3	212	2	3	1	6	3	0	7	2	8	551
"132"	123	339	14	2	23	18	160	9	4	4	10	8	6	6	6	47	656
"133"	124	376	15	4	6	10	156	5	4	2	9	6	4	3	8	37	645
"134"	125	387	15	2	10	13	448	4	7	7	31	17	4	6	8	25	984
"135"	126	506	24	8	23	3	70	0	3	2	14	3	1	7	2	39	705
"136"	127	294	21	1	12	10	108	3	5	2	23	9	2	2	8	15	515
"137"	128	283	26	6	22	7	87	2	7	2	60	9	5	16	4	26	562
"138"	129	247	10	5	21	4	178	7	1	2	11	1	4	1	6	6	504
"139"	130	100	5	1	66	63	137	6	1	4	2	4	3	4	4	4	404
"140"	131	216	11	1	20	3	59	5	17	2	97	7	1	3	3	23	468
"141"	132	107	11	3	6	3	460	5	0	4	9	3	11	1	3	14	640
"142"	133	339	37	4	83	5	186	5	7	37	13	4	10	12	3	29	774
"143"	134	338	26	7	22	12	109	3	10	4	21	49	7	7	3	11	629
"144"	135	425	19	3	63	10	27	2	3	7	8	8	3	5	12	25	620
"145"	136	595	39	6	79	13	34	2	6	59	11	3	4	12	6	35	904
"146"	137	424	19	4	36	11	122	1	2	2	9	1	4	2	0	6	643
"147"	138	120	5	1	15	1	205	0	4	2	46	3	2	15	5	21	445
"148"	139	114	6	4	103	4	117	9	8	4	85	11	4	8	4	18	499
"149"	140	322	1	0	40	2	61	0	0	0	4	1	1	12	0	0	444
"150"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"152"	141	247	12	3	39	2	61	0	1	0	0	0	1	4	1	5	376
"153"	142	259	17	4	53	6	60	2	4	6	19	1	26	33	6	19	515
"154"	143	382	21	5	85	3	116	5	5	2	28	8	2	15	10	37	724
"155"	144	140	2	0	22	2	31	0	0	0	4	0	0	0	0	2	203
"156"	145	402	14	2	45	2	84	5	0	3	17	2	2	1	0	17	596
"157"	146	527	19	1	30	7	165	3	3	2	7	13	1	2	3	32	815
"158"	147	106	9	1	80	21	281	8	2	0	6	8	3	4	3	20	552
"159"	148	138	3	2	77	10	158	2	1	2	0	7	2	4	2	14	422
"160"	149	102	7	0	21	2	203	4	3	0	2	1	0	4	2	12	363
"161"	150	449	31	2	58	16	151	3	4	0	1	1	3	4	2	5	730
"162"	151	176	13	3	37	10	224	7	6	0	13	2	2	2	0	7	502
"163"	152	113	7	0	3	1	204	4	5	15	51	2	3	7	2	9	426
"164"	153	307	8	0	21	14	279	2	1	1	11	2	0	4	1	6	657
"165"	154	161	7	3	61	6	111	1	2	5	1	3	0	3	2	8	374
"166"	155	179	14	3	123	7	271	6	2	5	4	6	2	8	2	13	645
"167"	156	319	16	6	98	5	267	9	4	3	29	4	10	12	9	14	805
"168"	157	426	15	7	10	4	219	10	0	0	1	4	2	16	6	16	736
"169"	158	261	11	3	14	12	289	5	6	5	13	6	3	30	4	24	686
"170"	159	254	9	2	22	16	323	6	2	1	18	11	4	8	6	19	701
"171"	160	211	7	6	34	13	517	8	0	2	23	5	3	11	4	31	875
"172"	161	372	31	3	29	7	220	7	15	8	48	6	3	5	2	15	771
"173"	162	301	13	0	30	7	125	6	5	2	21	2	2	8	5	17	544
"174"	163	204	10	1	27	7	211	5	2	2	17	4	2	45	5	18	560
"175"	164	87	6	0	11	1	146	3	2	1	6	3	0	7	0	9	282
"176"	165	198	9	6	14	24	166	1	3	1	27	4	0	3	4	13	473
"177"	166	226	10	4	8	5	113	4	3	5	2	5	2	4	7	16	414
"178"	167	222	13	2	44	27	285	4	4	11	53	10	2	7	10	24	718
"179"	168	104	5	0	4	0	149	2	2	1	10	3	1	2	1	11	295
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"182"	169	170	5	3	39	8	102	8	10	6	109	6	3	3	3	7	482
"183"	170	178	3	2	10	2	42	0	1	0	17	0	3	2	1	5	266
"184"	171	216	14	10	10	21	309	7	8	4	20	6	5	16	5	23	674
"185"	172	37	2	3	6	3	368	2	1	4	1	2	1	5	1	2	438
"186"	173	213	15	2	39	8	290	3	4	2	3	5	2	2	3	15	606
"187"	174	486	11	1	14	1	111	2	4	0	7	1	0	4	0	6	648
"188"	175	268	8	5	63	4	116	2	8	1	5	3	2	4	1	14	504
"189"	176	285	13	3	14	0	119	4	1	1	3	1	1	5	2	24	476
"190"	177	244	12	4	17	5	113	5	2	4	7	2	2	6	5	14	442
"191"	178	105	2	0	31	30	157	3	6	4	18	2	12	4	4	11	389
"192"	179	80	7	2	136	16	106	3	2	3	2	4	5	7	1	7	381
"193"	180	108	5	0	148	4	21	1	0	0	13	4	6	5	1	9	325
"194"	181	349	22	3	17	8	170	6	6	5	9	13	2	51	2	19	682
"195"	182	177	8	0	9	4	310	12	2	5	10	3	4	17	3	24	588
"196"	183	82	5	0	13	6	347	12	3	3	9	2	4	3	3	16	508
"197"	184	211	7	0	4	7	220	4	3	4	4	2	2	2	1	9	480
"198"	185	221	8	1	16	7	207	11	11	1	68	4	3	4	3	14	579
"199"	186	164	10	4	20	6	184	9	3	1	18	3	3	19	1	20	465
"200"	187	194	6	4	2	4	433	3	1	0	0	1	0	7	0	4	659
"201"	188	90	4	0	17	1	187	0	0	0	2	0	2	2	1	5	311
"202"	189	256	12	1	16	0	30	0	2	0	0	1	10	2	1	10	341
"203"	190	36	10	2	94	9	176	12	2	2	7	3	6	7	3	10	379
"204"	191	146	14	2	38	5	163	10	3	0	7	4	6	4	5	18	425
"205"	NA	48130	2449	829	6202	2133	30066	881	707	651	3324	1722	656	953	636	3353	102692
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"207"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"208"	NA	48130	2449	829	6202	2133	30066	881	707	651	3324	1722	656	953	636	3353	102692
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
